Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Sex is only a tool in love, not love itself.
Barry Williams|Don't threaten me with love, baby. Let's just go walking in the rain.
Carl Sagan, Cosmos|Part of the resistance to Darwin and Wallace derives from our difficulty in imagining the passage of the millennia, much less the aeons. What does seventy million years mean to beings who live only one-millionth as long? We are like butterflies who flutter for a day and think it is forever.
Mark Sisson, Primal Blueprint 21-Day Total Body Transformation: A Step-by-Step, Gene Reprogramming Action Plan|Our ancestors, who were able to survive and reproduce under unimaginably harsh environmental circumstances, refined and perfected the human genetic recipe.
Cindy C. Bennett, Rapunzel Untangled|At the end of the week, you told me that you were going on a long trip, but someday you would come back and marry me.”Arianna giggled. “Did I really say that?” she asked, mortified at her bold younger self.“Yes, but I suppose it doesn’t count if you don’t remember. Oh yeah, not to mention the fact you told two of the butlers, three maids, and your favorite cook you wanted to marry them also
Laura Smith|The next morning, I woke up to hear Becky moaning and rustling around in her bed covers.“I’m so itchy!” she cried.“So scratch!” I said, groggily, but suddenly, I felt itchy too. So, I started scratching my legs. They felt better until I stopped scratching. Then, it started to burn. I threw back the covers and saw that my legs were covered in red bumps.“My legs!” I yelled.Becky looked over at me. Then, she pulled back her covers. Her legs were even worse. She gasped.“Mom!” I cried.Mom came in. She was ready for work, wearing her dress shirt and gym shorts. She only had to dress up the top half of her body in case she had to use her webcam to talk to her boss.“What is it?” she asked.“Look!” I said, showing her our legs.“Oh no! That’s poison ivy!” she cried, “Where were you guys playing yesterday?” “The woods,” I said.“You must have been sitting in it,” she said.- The Castle Park Kids
Ambrose Bierce|I came into this environment where there was so much love, so much positive energy. I never heard my parents say, 'We have adopted kids.' The minute my sister Linda and I landed in Sweden, we were their kids.
Ayaan Hirsi Ali, Infidel|Infuriatingly stupid analysts - especially people who called themselves Arabists, yet who seemed to know next to nothing about the reality of the Islamic world - wrote reams of commentary [after 9/11]. Their articles were all about Islam saving Aristotle and the zero, which medieval Muslim scholars had done more than eight hundred years ago; about Islam being a religion of peace and tolerance, not the slightest bit violent. These were fairy tales, nothing to do with the real world I knew.
Napoleon Bonaparte|Well, look at what people are doing for returned veterans now. The wounded warriors. They're working hard to make the wounded veterans feel that they are loved and welcomed home, unlike Vietnam. It was not a very kind, gentle world then. I think we are kinder and gentler.
Amy Lane, Chase in Shadow|The library door was thick and none of the ordinary sounds that might have reminded them, might have held them back, could reach them. They were beyond the present, outside time, with no memories and no future,
William J. Bennett|Happiness is like a cat. If you try to coax it or call it, it will avoid you. It will never come. But if you pay no attention to it and go about your business, you'll find it rubbing up against your legs and jumping into your lap.
Karl Pearson, The Grammar of Science|… scientific thought does not mean thought about scientific subjects with long names. There are no scientific subjects. The subject of science is the human universe; that is to say, everything that is, or has been, or may be related to man.
Dong Dong|The key to success is to keep growing in all areas of life - mental, emotional, spiritual, as well as physical.
Elijah Parish Lovejoy|The olive branch has been consecrated to peace, palm branches to victory, the laurel to conquest and poetry, the myrtle to love and pleasure, the cypress to mourning, and the willow to despondency.
Paulo Coelho, Warrior of the Light|We spend so long trying to be what other people want,that when we look in the mirror,we see a stranger.
Ash Krafton, Bleeding Hearts|Raymond continued circling me, and I looked back at him. “Anyway, I know Lilith hates your guts, and she would have killed you yesterday if you hadn’t managed to escape.”He stopped and stepped closer, I didn’t back away. His gaze traveled the length of my body and fixed on my face, he seemed to like what he saw. I barely kept myself from flinching. “If I were king, things would be different. I could make you my queen.” Eew. I left my face blank, and raised an eyebrow. “Thanks for the offer, but no thanks. I’m not really into necrophilia.
Francis of Assisi|We should always look upon ourselves as God's servants, placed in God's world, to do his work; and accordingly labour faithfully for him; not with a design to grow rich and great, but to glorify God, and do all the good we possibly can.
Himanshu Chhabra|It was the happiest moment of my life, though I didn't know it.
David Petraeus|Authenticity is everything! You have to wake up every day and look in the mirror, and you want to be proud of the person who's looking back at you. And you can only do that if you're being honest with yourself and being a person of high character. You have an opportunity every single day to write that story of your life.
Jeanette Winterson, Gut Symmetries|Material possessions do not last, but memories last forever.
Laurie Nadel, Dr. Laurie Nadel's Sixth Sense: Unlocking Your Ultimate Mind Power|When in doubt, reinforce your self-trust.
Ralph Waldo Emerson, Nature|I don't think I'll ever grow old and say, "What was I thinking eating all those fruits and vegetables?
Vladimir Nabokov|But after all we are not children, not illiterate juvenile delinquents, not English public school boys who after a night of homosexual romps have to endure the paradox of reading the Ancients in expurgated versions.
A.P.J. Abdul Kalam, Indomitable Spirit|When learning is purposeful, creativity blossoms. When creativity blossoms, thinking emanates. When thinking emanates, knowledge is fully lit. When knowledge is lit, economy flourishes.
Neal Stephenson, Zodiac|Were it not Folly, Spider-like to spinThe Thread of present Life away to win-What? for ourselves, who know not if we shallBreathe out the very Breath we now breathe in!
Stephen Richards, Be First: Achieve Every Dream|Just like a sailor who knows before reaching land that it is nearing, life too gives certain signals which indicate how closer you are to manifesting.
Clive Barker|I really should be studying now, but you're much more important to me than a .50 calibre machine gun.
Karen  Gibbs, A Gallery of Scrapbook Creations|Recipe for friendship:2 cups of TRUST, 1 dash of CARING, 2 cups of UNDERSTANDING, 2 spoonfuls of SHARED SECRETS, 1 cup of MUTUAL AFFECTION, 1 spoonful of CRAZY, and a whole bag of FUN
Richelle E. Goodrich, Smile Anyway|To persist with a goal, you must treasure the dream more than the costs of sacrifice to attain it.
Tom Wolfe, The Bonfire of the Vanities|In New York, the buildings are like mountains in some ways, but they are only alive because of the people living in them. Real mountains are alive all over.
Charles Baxter|If you want to see the consequences of ideas, write a story. If you want to see the consequences of belief, write a story in which somebody is acting on the ideas or beliefs that she has. 
Cole McCade, A Second Chance at Paris|He was a Parisian,’ he said. ‘You can never be sure what Parisians believe in – beyond Paris of course.
Seraphim Rose, Genesis, Creation, and Early Man: The Orthodox Christian Vision|I would urge us to be not too certain of our accustomed ways of looking at Genesis, and to open ourselves to the wisdom of the God-bearing men of the past who have devoted so much intellectual effort to understanding the text of Genesis as it was meant to be understood. These Holy Fathers are our key to understanding Genesis.
Charbel Tadros|Knowledge, degrees and diplomas are not for everyone, but wisdom is. True wisdom is in being happy doing what you do best no matter how trivial it may seem as long as it is beneficial to you and to those around you.
Nanamoli Thera|If you can find no way of getting the Notes duplicated, why not try the Ministry of Cultural Affairs, who might be sympathetic (provided they do not actually read them)? I must, however, confess to a rooted dislike—perhaps you share it?—of seeking the help of Official (particularly Government) Bodies. Whenever anyone addresses me in his official capacity, I am at once filled with a desire to attack the Official Body he represents. I have every sympathy with the Irishman who, on being fined five shillings for Contempt of Court, asked the Magistrate to make it ten shillings; 'Five shillings' he explained 'do not adequately express the Contempt I have for this Court'. I am quite unable to identify myself with any organized body or cause (even if it is a body of opposition or a lost cause). I am a born blackleg. I thoroughly approve of E. M. Forster's declaration, 'If I had to choose between betraying my country and betraying my friend, I hope I should have the guts to betray my country'. For me, there is no doubt that the very small word in the centre of the blank canvas at the end of 'The Artist at Work' is solitaire, not solidaire.
Jim Lynch, The Highest Tide|In that shrinking moment he discovered that he had never hated anyone until now. It was a feeling as pure as love, but dispassionate and icily rational.
Shailene Woodley|I always loved family holidays, and I had this vision and dream as a little girl of having a big family of my own.
Sarah Addison Allen, The Sugar Queen|Nothing is as tedious as the limping days,When snowdrifts yearly cover all the ways,And ennui, sour fruit of incurious gloom,Assumes control of fate’s immortal loom
Bobby F. Kimbrough Jr.|All human beings desire to be in a better space and a better place. We all want a peaceful and prosperous life for ourselves and our families. When you don't manage your emotions in high stress, high-pressure situations, you get the opposite of what you want. The domino affect impacts how you live, eat and provide for your family. Is it worth it? Never. Control your emotions. Manage your choices. Your life is depending on it.
Sirio Maccioni|Celebrity, to me, is not a thing to seek.
Deyth Banger, The Life Of One Kid|Nearly everyday life leans over and says, ‘Come on down!’ But standing at the bottom looking up, it’s finally dawned on me that it’s not these invitations that have dug this hole. Rather, it’s the fact that I accepted them.
Ortega y Gasset|He had not the benefit of existentialist terminology; but what he felt was a very clear case of the anxiety of freedom - that is, the realization that one is free and the realization that being free is a situation of terror
A.H. Septimius|If we act in clean way, we shall clear the city of any dirt.
Abhysheq Shukla, Feelings Undefined: The Charm of the Unsaid|Life is about the moments you create,that you can keep with you forever.After everything is over,That is what we have or what we are left with.
Theodore Roethke|Dark, dark my light, and darker my desire.My soul, like some heat-maddened summer fly,Keeps buzzing at the sill. Which I is I?
Julie   Johnson, The Monday Girl|I read once that the best thing that can happen to a woman is to get her heart broken. Before that, she has no real sense of herself. No real sense of pain, because only in love does she know what it’s like to find the one thing that gives her breath and then to lose it. After that she knows she can survive. No matter what relationships come and go, she can count on herself to pull through, and although it hurts, the break is necessary.
Titanic|Where to, Miss?To the stars.
Hugh Ross|To doubt God is to doubt one's own conscience, and in consequence, it would be to doubt everything; and then what is life for?
David Gilmour|I got hold of a copy of the video that showed how Saddam Hussein had actually confirmed himself in power. This snuff-movie opens with a plenary session of the Ba'ath Party central committee: perhaps a hundred men. Suddenly the doors are locked and Saddam, in the chair, announces a special session. Into the room is dragged an obviously broken man, who begins to emit a robotic confession of treason and subversion, that he sobs has been instigated by Syrian and other agents. As the (literally) extorted confession unfolds, names begin to be named. Once a fellow-conspirator is identified, guards come to his seat and haul him from the room. The reclining Saddam, meanwhile, lights a large cigar and contentedly scans his dossiers. The sickness of fear in the room is such that men begin to crack up and weep, rising to their feet to shout hysterical praise, even love, for the leader. Inexorably, though, the cull continues, and faces and bodies go slack as their owners are pinioned and led away. When it is over, about half the committee members are left, moaning with relief and heaving with ardent love for the boss. (In an accompanying sequel, which I have not seen, they were apparently required to go into the yard outside and shoot the other half, thus sealing the pact with Saddam. I am not sure that even Beria or Himmler would have had the nerve and ingenuity and cruelty to come up with that.)
Idries Shah, Reflections|The stupidest man I ever met had a favourite saying. It was: 'What do you think I am, stupid, or something?
Nityananda Das, Divine Union|I wanted to bathe in plum juice, rediscover my body and adorn it in kiwi circles.
Paul Valéry|Follow the path of your aroused thought, and you will soon meet this infernal inscription: There is nothing so beautiful as that which does not exist.
Jessica Valenti, Full Frontal Feminism|What’s the worst possible thing you can call a woman? Don’t hold back, now.You’re probably thinking of words like slut, whore, bitch, cunt (I told you not to hold back!), skank.Okay, now, what are the worst things you can call a guy? Fag, girl, bitch, pussy. I’ve even heard the term “mangina.”Notice anything? The worst thing you can call a girl is a girl. The worst thing you can call a guy is a girl. Being a woman is the ultimate insult. Now tell me that’s not royally fucked up.
Seal|You know, I think the greatest gift in the world is a good employee, you know, or people who can do your work for you and do it well the way you'd like to have it done. And I've always been able to surround myself with really good people.
David Brion Davis, Inhuman Bondage: The Rise and Fall of Slavery in the New World|It was the mission of the Confederacy, ordinary whites were told, to carry out God’s design for an inferior and dependent race. Slaveholders claimed that owning slaves always entailed a duty and a burden — a duty and burden that defined the moral superiority of the South. And this duty and burden was respected by millions of nonslaveholding whites, who were prepared to defend it with their lives. That, perhaps, was the ultimate meaning of a “slave society.
Alice Paul|During my pre-college years, I went on many trips with my father into the oil fields to visit their operations. On Saturday mornings, I often went with him to visit the company shop. I puttered around the machine, electronics, and automobile shops while he carried on his business.
Mahmoud Darwish|I believe in the power of poetry, which gives me reasons to look ahead and identify a glint of light.
David Cronenberg|I have no rules. For me, it's a full, full experience to make a movie. It takes a lot of time, and I want there to be a lot of stuff in it. You're looking for every shot in the movie to have resonance and want it to be something you can see a second time, and then I'd like it to be something you can see 10 years later, and it becomes a different movie, because you're a different person. So that means I want it to be deep, not in a pretentious way, but I guess I can say I am pretentious in that I pretend. I have aspirations that the movie should trigger off a lot of complex responses.
Zoe Forward, The Way You Bite|We can’t do this on so many levels,” she whispered. But I don’t care." Vee, The Way You Bite
Tom McDonough, The Situationists and the City: A Reader|We are bored in the city, to still discover mysteries on the signs along the street, latest state of humor and poetry, requires getting damned tired...Gilles Ivain (aka Ivan Chtcheglov)
Babe Ruth|You can't put a limit on anything. The more you dream, the farther you get.
Annie Fisher, The Greater Picture|He was always worrying about me – even when we were kids. If I scraped my knee or fell off my bike, he was the first one to help me up and make sure Mom got a Band-Aid.” “I remember.” I smile. “He was the quintessential big brother.” “He was. But that’s just it – he’s not here to protect me anymore, Anna. And you don’t have to be, either. I know I let stuff get crazy. I didn’t mean to be like that – it just kind of happened. You couldn’t have changed that. I – it was something I had to go through myself.” My throat tightens. “I felt like I let him down,” I say. “All that stuff with smoking and Johan and Jake – I didn’t take care of you. I couldn’t even keep that one simple promise.” “Anna, my brother died. There’s no way you could protect me from that. It’s up to me, now. I let him down. I let me down.
Mehmet Murat ildan|This is our Country, there is nobody else who is going to come from outside to defend us. We need to wake up and defend ourselves to make this Country a beautiful and better Country for all of us.
Stephanie Pearl-McPhee, Knitting Rules!: The Yarn Harlot Unravels the Mysteries of Swatching, Stashing, Ribbing & Rolling to Free Your Inner Knitter|Sweaters need to be imagined, dreamed over.
Lea Michele, Brunette Ambition|We live in a world of self-deprecation, and while it’s healthy to make fun of ourselves from time to time, it bothers me when I see women of all ages belittling their accomplishments because they don’t want to appear boastful or overconfident. You don’t see a lot of guys out there underplaying their strengths or making light of what they’re good at, so why should women? While I get that there’s a fine line between owning your accomplishments and reciting every line of your résumé, there is absolutely no shame in being proud of what you’ve managed to achieve! Own it!
Robert C. Solomon, No Excuses: Existentialism and the Meaning of Life|We choose our friends on the basis of, among other things, our conception of ourselves. That's not to say that friendship is narcissistic, it doesn't follow that we choose people 'like ourselves'; in fact we might choose people very different than ourselves. For example, if I'm not very intelligent, and I'm concerned about my lack of intelligence, I might take up with an extremely intelligent woman, precisely in order to have her intelligence, in some sense, radiate onto me.The idea is that in friendship what we do is we pick people who are going to reinforce, in some sense, our own conception of ourselves. So if I think of myself as intelligent, or I want to think of myself as intelligent, whether or not I pick a partner who is also intelligent, what is going to be essential is that it's going to be a partner who somehow expands my notion of my own intelligence, either by telling me all the time, perhaps, how intelligent I am, or maybe by always contradicting me in such a way that I can prove my intelligence with her or him.
Billy Graham, Billy Graham in Quotes|A Christian’s citizenship may be in heaven, but he has obligations as a citizen of earth. Both living with Christ and going to be with Him in death are greatly to be desired.
Jerome Hart, Argonaut Letters|Even if you enter the dirty water, stay neat like a white swan!
Ehsan Sehgal|What is the hardest, but best thing in life? Love <3
Charlie Higson, The Enemy|IF YOU WISH TO BRING PEACE UPON YOUR OWN, YOU MUST FIGHT THOSE WHO WISH FOR THE SAME PEACE.
Derek Landy, Death Bringer|Valkyrie patted Fletcher’s arm. “Don’t worry,” she said. “If the bad man comes, I’ll protect you.”“If the bad man comes,” Fletcher responded, “I’ll bravely give out a high-pitched scream to distract him. I may even bravely faint, to give him a false sense of security. That will be your signal to strike.”“We make a great team.”“Just don’t forget to stand in front of me the whole time,” he said.
Debasish Mridha|Wealth is the byproduct of thoughts. To be wealthy, think of wealth.
Margaret Atwood, The Handmaid's Tale|As all historians know, the past is a great darkness, and filled with echoes. Voices may reach us from it; but what they say to us is imbued with the obscurity of the matrix out of which they come; and try as we may, we cannot always decipher them precisely in the clearer light of our day.
Irina Binder, Fluturi|- Te iubesc atat de mult, mi-a zis incet. Daca as putea , ti-as lua toate tristetile si toate durerile.- Cu anumite dureri traiesti toata viata. Nici macar Dumnezeu nu te scapa de ele. Le porti in suflet toata viata, de parca soarta ar vrea sa nu te lase niciodata sa uiti ca ai fost ranit.
Flynn Meaney, The Boy Recession|Veeva should count her blessings. Three years ago it was cocaine and a year ago it was crack and lemme tell you, that stuff you got to have. You do anything for that high." He laughed again, savoring his memories. "Where do you think the furniture went? Up my nose, that’s where. She finally had me carted out of here screaming like an insane man. Spent some time in Bellevue with little sparkly bugs coming out my orifices. Compared to that being a drunk is practically a sensible existence.
Thea Gonzales, Falling Petals: A Story About First Chances|If a man, having lashed two hulls together, is crossing a river, and an empty boat happens along and bumps into him, no matter how hot-tempered the man may be, he will not get angry. But if there should be someone in the other boat, then he will shout out to haul this way or veer that. If his first shout is unheeded, he will shout again, and if that is not heard, he will shout a third time, this time with a torrent of curses following. In the first instance, he wasn't angry; now in the second he is. Earlier he faced emptiness, now he faces occupancy. If a man could succeed in making himself empty, and in that way wander through the world, then who could do him harm?
M.E. Thomas, Confessions of a Sociopath: A Life Spent Hiding in Plain Sight|When you grow up as a girl, it is like there are faint chalk lines traced approximately three inches around your entire body at all times, drawn by society and often religion and family and particularly other women, who somehow feel invested in how you behave, as if your actions reflect directly on all womanhood.
Melanie Shankle, Nobody's Cuter Than You: A Memoir about the Beauty of Friendship|Because that's what friends do. They speak the truth when you've lost your way, pick you up and brush you off , tell you that you're going to make it to the other side, and cheer you on until you get there.
John Paul Warren|Men of God are not just born, they are formed
Patti Roberts, The Angels Are Here|Whatever. I know that when a monster is chasing you. You take your high-heeled shoes off. I’ve learned that … And you never, ever dangle your legs over the edge of the bed at night … And clowns, well, you get rid of them right away; they are just way too freaky. If the monster doesn’t get you, the clown sure will.
Veronica Roth, Insurgent|I think we cry to release the animal parts of us without losing our humanity. Becauseinside me is a beast that snarls, and growls, and strains toward freedom, toward Tobias, and, aboveall, toward life. And as hard as I try, I cannot kill it.
Sara Sheridan|To write a good book, you must read one book for each page of the book you are about to write.
Rodolfo Costa, Advice My Parents Gave Me: and Other Lessons I Learned from My Mistakes|Do not empower your negative thoughts by giving them “legs” so they can run around your mind, creating worries,frustrations, and anxiety in your life.
Lailah Gifty Akita|My journey in life, my footprints in the world.
Stephenie Meyer, New Moon|Only you could be more important than what I wanted...what I needed. What I want and what I need is to be with you, and I know I'll never be strong enough to leave again.
Heidi Hayes Jacobs|The Washington Redskin fan base represents honor, represents respect, represents pride.
Brandon Mull, A World Without Heroes|My father once admonished me to master the laws that govern fine writing until I could weave my words into worlds. If ever I accomplish that feat, I will sign my name to the tale.
Pearl Zhu, Change Insight: Change as an Ongoing Capability to Fuel Digital Transformation|Organizational maturity is not just about technical excellence or process efficiency, but also about business effectiveness, agility, innovation intelligence, and people-centricity.
Nancy Gibbs|I believe we all want the same thing - it doesn't matter who you are or where you're living. We all want to be healthy, happy, to live in peace and prosper. That's what I connect to.
Thomas,  Lynne|Show your love by giving your spouse incredible admiration and encouragement. - A Love Forever, Creating An Amazing Marriage.
Jorge Luis Borges, In Praise of Darkness|We are our memory,we are that chimerical museum of shifting shapes,that pile of broken mirrors.
Ashly Lorenzana|Never do anything that you can't admit doing, because if you are that ashamed of whatever it is, it's probably wrong.
Hermann Hesse|I believe in the salvation of humanity, in the future of cyanide...
Patrick Rothfuss, The Name of the Wind|Only poets and philosophers see the world as it really is, for only to them is it given to live without illusions. To see clearly is to not act.
Kami Garcia, Beautiful Creatures|You climbed into my window in the middle of the night. So, either you're some kind of Vampire or some kind of Perv. Which is it?
Clive Veroni, Spin: How Politics Has the Power to Turn Marketing on Its Head|My name had become a brand. (I have mixed emotions about that part of our (Christian media) industry, for sure.)
Emil M. Cioran|He gasped in despair while he wrote to her knowing everything is going to end.He: Why did you ruin my image in front of your mother and family though I wasn't the bad guy?She replied Coldly: I acted childish and took revenge, I wanted to end this relation.He kept asking all that she accused him of.She kept admitting false allegations, something kept breaking inside him.Silence kept creeping into him, sorrow enveloped his soul and tears fell of his eyes for he knew all had ended.
Paulo Coelho, Veronika Decides to Die|Oddly enough I never used to suffer from depression on cold, gray, cloudy days like this. I felt as if nature was in harmony with me, that it reflected my soul.
Mario Vargas Llosa, The Temptation of the Impossible: Victor Hugo and "Les Miserables"|Fictions exist because of this fact. Because we have only one life, and our desires and fantasies demand a thousand lives. Because the abyss between what we are and what we would like to be has to be bridged somehow. That was why fictions were born: so that, through living this vicarious, transient, precarious, but also passionate and fascinating life that fiction transports us to, we can incorporate the impossible into the possible and our existence can be both reality and unreality, history and fable, concrete life and marvellous adventure.
Emma Watson|That's how hearts get broken, you know. When you believe in promises.
Kristen Ashley, Fire Inside|With women, it’s about the slow soak, babe. Assholes pour shit on the surface and women keep goin’ not even knowin’ that shit is soakin’ in. Then one day, out of fuckin’ nowhere, that acid has burned deep in a way it leaves a wound that will never heal. Wipe that shit away, Lanie. Don’t let it soak in. He doesn’t know me. He cannot make that call about me.
Charlotte Brontë|Keep exploring, you will discover new path.
Kristen Clark|When we believe we can, we do – even when it seems all odds are against us.
Steven Redhead, Keys to Creating Your Reality|Don't be a creation of circumstances, create your dreams, take full control of your destiny.
Arthur C. Clarke, Rama II|No, look, there's a blue box. It's bigger on the inside than it is on the outside. It can go anywhere in time and space and sometimes even where it's meant to go. And when it turns up, there's a bloke in it called The Doctor and there will be stuff wrong and he will do his best to sort it out and he will probably succeed 'cause he's awesome. Now sit down, shut up, and watch 'Blink'.
Debasish Mridha|Learn by reading, listening, observing, imitating, and emulating.
Kent Alan Robinson, UnSend: Email, text, and social media disasters...and how to avoid them|An organization's proprietary, internal information is constrained only by an understanding that stake-holders will keep organizational matters within the organization.
David Cameron|You know the fairy-tale drill, especially from the Disney versions: the heroines endure awful stuff in rites of passage that lead to a joyous resolution of, usually, marriage to a prince. 'Into the Woods' follows that template, then asks, 'What happens after Happy Ever After?'
Paul Gosar|I look forward to taking on issues regarding the Constitution, intellectual property, terrorism, and other legal and regulatory reforms.
Rainer Maria Rilke, Duino Elegies|Friedrich Nietzsche, who famously gave us the ‘God is dead’ phrase was interested in the sources of morality. He warned that the emergence of something (whether an organ, a legal institution, or a religious ritual) is never to be confused with its acquired purpose: ‘Anything in existence, having somehow come about, is continually interpreted anew, requisitioned anew, transformed and redirected to a new purpose.’	This is a liberating thought, which teaches us to never hold the history of something against its possible applications. Even if computers started out as calculators, that doesn’t prevent us from playing games on them. (47) (quoting Nietzsche, the Genealogy of Morals)
Laurell K. Hamilton, Guilty Pleasures|Don't you even think of holding back, or I'll...I'll tell Spade you let me get away from you," she improvised."And that I got mugged," she added for good measure.Cries of "Mon Dieu!" and "That's not fair!" echoed immediately from the two vampires."I'm a crazy human female, you know I'll do it," Denise warned them
Sara Evans, Softly and Tenderly|The Lord gives us a spirit of hope and a feeling of comfort and confidence that we can overcome the obstacles we face. He has shown the way to gain strength during our struggles. With His assistance, we have the ability to succeed. Listen to His words of counsel and comfort: 'Fear not, little children, for you are mine, and I have overcome the world and none of them that my Father hath given me shall be lost.
Sunday Adelaja, The Mountain of Ignorance|Whatever your passion, make sure you hold unto a philosophy that is bigger and greater than you.
Roman Payne|I’ve only been to jail a few times, but in several different countries, at that. No, I've only been to jail a few times. But I still claim the ability to write a "serious" novel.
Innocent Mwatsikesimbe, What Is Love? - A Collection of Poems|I tell her that the best thing to do when you fall is to get up,And she is up, so she's moving in the right direction.
Swami Dhyan Giten, Presence - Working from Within. The Psychology of Being|I had a day when I was busy in the world, where the activity created a turmoil on the surface of my consciousness like waves on the surface of the ocean, which made it difficult to see through the waves to the inner silence. It reminded me that we need to develop both the capacity to use the mind when engaged in activity and social relations, and to be able to let go of the activity and to come in contact with the deep inner silence. The relationship between being active in the world and in social relations and the inner silence is like the relationship between the waves on the surface of the ocean and the deep inner silence on the bottom of the ocean.
China Miéville, Kraken|Of all the skills necessary for her work, what she was perhaps worst at was being polite to inanimate things.
Zach Cregger|The more we learn, the more we will be confronted with decisions that we've never had to make before about life, about death, about parenting.
Stephan Attia|Self as such was not normal ..will be like the Justice, which lost its wings !! Both are rivals for the same man ..
TemitOpe Ibrahim|To be fearless, you must simply fear less.
Ernest Agyemang Yeboah|They never had a better computer. They never had better lights. They never had better communication apparatus. They never had the finest tools. They never had the best transport system. They never had a perfect comfort. They never had all people loving them and their works. They never had all the financial resources. They never had the best garments. They never had the best and the most of all things. They never had all that they needed but they had ideas. They had a vision. Their hearts were filled with reasons to move. Their minds were pregnant with great thoughts and they wanted to prove what was in them. They took bold steps in wisdom and they were able to do distinctive things with what they had, and they left distinctive marks on minds before they left.
Marcia Willett, A Summer in the Country|Don't try to fight depression and fear with violent physical or mental exercise. But don't give into them either. Just think. Oh, here they are again, and look past them, as if you were looking over someone's shoulder at something beyond. Fix your mind on what's be
Justin Huntly McCarthy, The Dryad|She looked at the girl in the mirror and the girl in the mirror looked back at her. I will be brave, thought Coraline. No, I am brave.
Alejandro Cremades, The Art of Startup Fundraising|Don’t expect investors to be throwing millions on the table for you to go off and buy a bigger house, get a new car, party half the week away, and generally upgrade your lifestyle.
Sarah Ockler, The Book of Broken Hearts|I’ve watched you for a very long time now. And in this time, I’ve come to discover just as I first suspected. We are perfect for one another.
Widad Akreyi, The Viking's Kurdish Love: A True Story of Zoroastrians' Fight for Survival, Years 988-1003|The world is a huge space, but the space that will take you in - and itdoesn't have to be very big - is nowhere to be found. You seek a voice, but what doyou get? Silence. You look for silence, but guess what? All you hear over and overand over is the voice of this omen. And sometimes this prophetic voice pushes asecret switch hidden deep inside your brain.
Fakeer Ishavardas|Learn to accept life in toto. A perfect life is only in the dream world. This, my dear, with all it's heartaches, is it. Our world.
Guy Gavriel Kay, Tigana|Bright star of Eanna, forgive me the manner of this, but you are the harbor of my soul’s journeying.
Piet Hein|One of the problems with climate change, global warming and global air pollution is that it may change the frequency and intensity of electrical storm activity. Too much lightning activity may cause excessive mating, aggression, fatigue, illness and disease to occur. Too little may turn off the animal and plant breeding cycles.
Michael  Grant, Plague|She still held back her tears, as if subjecting herself to some terrible endurance test.
Thomas Jefferson|I am for freedom of religion, and against all maneuvers to bring about a legal ascendency of one sect over another.
Ashley Earley, Alone in Paris|One of his hands move away from my face to flatten against my back, pulling me closer to him as he deepens the kiss. He parts my lips under his as my mind seems to sign quietly in content. I kiss him back as fiercely as he kisses me, unable to control the infatuation that rushes through me - feeling almost like fireworks. Not so careful anymore.Little shivers of urgency shoot through me. I push off the window, pressing closer to him. The rush of sensation that is coursing through me feels like I've drunk a gallon of coffee. It feels like an electric buzz is flooding between us.
Jalaluddin Rumi|If it is bread that you seek, you will have bread. If it is the soul you seek, you will find the soul. If you understand this secret, you know you are that which you seek.
Douglas Wynne, Steel Breeze|It seemed to him that there was a scarlet thread running through the fabric of life, one that joined events across the years, piercing human hearts and plunging underground, only to reemerge without warning, a thread connecting lives and sometimes dates.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Peace does not mean an absence of conflict, because opposition, polarity and conflict are natural and universal laws.
Richard Paul Evans, The Four Doors|You are thinking of failure as the enemy of success. But it isn't at all. You can be discouraged by failure-or you can learn from it. So go ahead and make mistakes. Make all you can. Because, remember, that's where you will find success.
Lorrie Moore|A short story is a love affair, a novel is a marriage. A short story is a photograph; a novel is a film.
Terry Eagleton, Why Marx Was Right|After all, if you do not resist the apparently inevitable, you will never know how inevitable the inevitable was.
Shauna Granger, Earth|Shayna thinking about Jensen:" ....From my first glance I knew he was atleast three or four inches taller than me and I could tell his lightweight sweater hid a well muscled chest and arms, but lean, not meaty. I was aware of an excess of saliva in my mouth and forced myself to swallow, trying not to blush when I heard Jodi snicker quietly next to me.
Emily aka xXxWhitelipsxXx|I felt a numb shock as I drove home anxious to get my chocolate flowers and wondering how my mother arranged to get them delivered to me at the exact time of her passing as promised. I arrived home to a note on my door to go to the neighbor on the right. I knocked at the door and the grouchy older man answered. Without saying a word, he went to his refrigerator, opened it and said, "I think these are for you."He handed me the large bouquet of fruits all cut out like flowers and dipped in chocolate."It looks like chocolate flowers." he said with a grin, adding "I had a few, and they were great!" I held my delivery. I opened the small envelope and read the card: Dear Jori, We appreciate you showing us homes and although it has been months, we thought of you and wanted to do something nice for you today. I hope you remember us. The Johnsons This was a previous client who was a pastor. He never knew I had a mother who had cancer nor did I ever mention the conversation about the chocolate flowers. It had been several months since I had heard from this couple who were considering purchasing a home. I called the client, whom I haven't spoken to in such a long time. I was confused and wanted to know what made them decide to send me chocolate flowers, and why that day, of all days? He said it was his wife's idea to do something nice for someone and they agreed it on it being me. Mrs. Johnson thought of the chocolate flowers.
