L.J. Vanier|Because the best gift in life, is just having someone to drink hot chocolate with
Neil Shubin, Your Inner Fish: A Journey into the 3.5-Billion-Year History of the Human Body|We’ve been put into war, between body and soul. 28.06.11
Alison Espach, The Adults|Inside my house, nobody was home, except everybody, but it was easy to feel like those were one and the same.
Kevin Keenoo|I had faith in the mountains. Where they would take me to, I barely knew but I knew that the steps made weren't backward, but forward. I didn't climb mountains; I befriended them.
Anna Banks, Of Triton|Any time I get to spend with you alone, away from school and the pressures of classes and stuff I’ve gotta do, is you spoiling me. Seriously, Mikey. All I need is you.
Randy Komisar, The Monk and the Riddle: The Education of a Silicon Valley Entrepreneur|Passion and drive are not the same at all. Passion pulls you toward something you cannot resist. Drive pushes you toward something you feel compelled or obligated to do. If you know nothing about yourself, you can't tell the difference. Once you gain a modicum of self-knowledge, you can express your passion.....It's not about jumping through someone else's hoops. That's drive.
Lailah Gifty Akita|If you think, you are important, you are not.
Farshad Asl|Doug Rauch, former President of Trader Joe’s, views employees and customers as two wings of a bird: you need both of them to fly. They go together—if you take care of your employees, they’ll take care of your customers. When your customers are happier and they enjoy shopping, it also makes your employees’ lives happier, so it’s a virtuous cycle.
Mike Bidlo|I worship pianos like they are prize diamonds, and I never willfully do damage to them. But I grew up playing guitars, and you treat a guitar like a best friend or a little brother or a lover you have a tempestuous relationship with.
David Foster Wallace, The Pale King|What if the preacher or father’s saying ‘Someone here’s lost and hopeless’ was tantamount to those Sun-Times horoscopes that are specially designed to be so universally obvious that they always give their horoscope readers that special eerie feeling of particularity and insight, exploiting the psychological fact that most people are narcissistic and prone to the illusion that they and their problems are uniquely special and that if they’re feeling a certain way then surely they’re the only person who is feeling like that.
Mary Astor, A Life On Film|Borges is particularly stimulating to a man who works in the cinema, because the unusual thing about his writing is that it is like a dream, extraordinarily farsighted in calling up from the unconscious complete images in which the thing itself, and its meaning, coexist - exactly as happens in a film. And, just as happens in dreams, in Borges the incongruous, the absurd, the contradictory, the arcane and the repetitive, although as powerfully imaginative as ever, are at the same time illumined like the careful details of something larger, something unknown, and are the faultless elements of a cruelly perfect, indifferent mosaic. Even the fact that Borges's work is strangely fragmentary makes me think of a broken dreamlike flow; and the heterogeneous quality of his work - stories, essays, poems - I prefer to see not as the union of the multiple threads in a greedy, impatient talent, but as a mysterious sign of unending change.
Tristram Stuart|I absolutely adore Agatha Christie; so much so that when I received a kitten for my Christmas present, I called her Agatha, and I already have a cat called Hercule!
George Orwell, 1984|The girl with dark hair was coming towards them across the field. With what seemed a single movement she tore off her clothes and flung them disdainfully aside. Her body was white and smooth, but it aroused no desire in him, indeed he barely looked at it. What overwhelmed him in that instant was admiration for the gesture with which she had thrown her clothes aside. With its grace and carelessness it seemed to annihilate a whole culture, a whole system of thought, as though Big Brother and the Party and the Thought Police could all be swept into nothingness by a single splendid movement of the arm. That too was a gesture belonging to the ancient time. Winston woke up with the word ‘Shakespeare’ on his lips.
Daniel Suelo, The Man Who Quit Money|Wasn't that what Jesus said: do what I do? He was here as an example for us to follow. Same with all prophets. Didn't the prophets tell us to be like them? That's what's wrong with Christianity. They make Jesus and the prophets into icons, take them off of earth, and put them in heaven to worship them, so they're no longer accessible. You've taken a reality and made it into a worthless idol. Christians talk about the idolatry of other religions, but when they no longer live principles and just worship the people who taught them, that's exactly what they're doing.
Derek Jeter|I think we all have blocks between us and the best version of ourselves, whether it's shyness, insecurity, anxiety, whether it's a physical block, and the story of a person overcoming that block to their best self. It's truly inspiring because I think all of us are engaged in that every day.
Nathan  Hill, The Nix|You know, there used to be a difference between authentic music and sellout music. I'm talking about when I was young, in the sixties? Back then we knew there was a soullessness to the sellouts, and we wanted to be on the side of the artists. But now? Being a sellout is the authentic thing. When Molly Miller says 'I'm just being real,' what she means is that everyone wants money and fame and any artist who claims otherwise is lying. the only fundamental truth is greed, and the only question is who is up front about this. That's the new authenticity. Molly Miler can never be accused of selling out because selling out was her goal all along.
Richard Diaz|But what are facts, really, except things we’ve already proven? There could be lots of almost-facts out there, still waiting for proof.
Rick Riordan|After the satyrs filed in to dinner, the Hermes cabin brought up the rear. They were always the biggest cabin. Last summer it had been led by Luke, the guy who fought with Thalia and Annabeth on top of Half-Blood Hill. For a while, before Poseidon had claimed me, I'd lodged in the Hermes cabin. Luke had befriended me...and then he'd tried to kill me.
Jeremy Holmes, John Bowlby and Attachment Theory|Bowlby's conviction that attachment needs continue throughout life and are not outgrown has important implications for psychotherapy. It means that the therapist inevitably becomes an important attachment figure for the patient, and that this is not necessarily best seen as a 'regression' to infantile dependence (the developmental 'train' going into reverse), but rather the activation of attachment needs that have been previously suppressed. Heinz Kohut (1977) has based his 'self psychology' on a similar perspective. He describes 'selfobject needs' that continue from infancy throughout life and comprise an individual's need for empathic responsiveness from parents, friends, lovers, spouses (and therapists). This responsiveness brings a sense of aliveness and meaning, security and self-esteem to a person's existence. Its lack leads to narcissistic disturbances of personality characterised by the desperate search for selfobjects - for example, idealisation of the therapist or the development of an erotic transference. When, as they inevitably will, these prove inadequate (as did the original environment), the person responds with 'narcissistic rage' and disappointment, which, in the absence of an adequate 'selfobject' cannot be dealt with in a productive way.
April Moran, Taming Ivy|Let me touch you, Ivy. Let me have you...let me love you. This is madness, what is between us...a fire that cannot be extinguished. A thirst I cannot seem to quench. Somehow, you've destroyed me and I cannot bear it. God, I've missed you so terribly." --Sebastian Cain
Chuck Palahniuk, Damned|Therefore, when we neglect to fear such a brittle monstrosity, we render it powerless.
Nate Silver|Words are but wind; and learning is nothing but words; ergo, learning is nothing but wind.
Chuck Klosterman, Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto|...I've spent the last fifteen years of my life railing against the game of soccer, an exercise that has been lauded as "the sport of the future" since 1977. Thankfully, that future dystopia has never come.
Karen Joy Fowler, Black Glass|Every mother can easily imagine losing a child. Motherhood is always half loss anyway. The three-year-old is lost at five, the five-year-old at nine. We consort with ghosts, even as we sit and eat with, scold and kiss, their current corporeal forms. We speak to people who have vanished and, when they answer us, they do the same. Naturally, the information in these speeches is garbled in the translation.
Avery Flynn, Make Me Up|He smiled. "You didn't think we were going to follow orders from a psychopath and run scared, did you?
Madison Thorne Grey, Malevolence|He was determined to save her, to be her hero, to give her a reason why the gods had seen fit to place him inside her visions. Gods, he wanted to rescue her. After all, she had rescued him; she had become his heroine a long time ago, before his death became imminent.
R. Alan Woods, The Journey Is The Destination: A Photo Journal|As long as a man has, he must give. And when he has nothing more, he is free. This freedom is far nobler than the former giving, for he no longer gives in accident but in essence, and he no longer gives one gift, but all gifts, and he no longer gives to just one man, but to all men.
Cassandra Clare, City of Bones|to love is to destroy, and that to be loved is to be the one destroyed.
Lailah Gifty Akita, Think Great: Be Great!|When you hear the voice of God, obey Him.
Pearl  Zhu, It Innovation: Reinvent It for the Digital Age|The digital philosophy is to live as “customers,” when practicing IT management.
Caroline Kepnes, You|They tell us, love, that eternity awaits.
Jelly Roll Morton|I found that dance, music, and literature is how I made sense of the world... it pushed me to think of things bigger than life's daily routines... to think beyond what is immediate or convenient.
Richard Wright, The Outsider|Maybe man is nothing in particular,' Cross said gropingly. 'Maybe that's the terror of it. Man may be just anything at all. And maybe man deep down suspects this, really knows this, kind of dreams that it is true; but at the same time he does not want really to know it? May not human life on this earth be a kind of frozen fear of man at what he could possibly be? And every move he makes might not these moves be just to hide this awful fact? To twist it into something which he feels would make him rest and breathe a little easier? What man is is perhaps too much to be borne by man...
David Hilbert|Leonardo Da Vinci combined art and science and aesthetics and engineering, that kind of unity is needed once again.
H.P. Lovecraft|Beyond the lake the waning moon has slowed,And stands there like a window open wideInto a hushed and brightly lit abodeWhere something dreadful has occurred inside.
Carlos Barrios|Flexibility makes buildings to be stronger, imagine what it can do to your soul.
Kiersten White, Mind Games|As she climbed a ladder and started boarding up the smashed front windows, Helen realized that some things stay a little bit broken forever—even after they’ve been fixed.
|As you strive to acquire wealth, try not to ignore the benefits of being in good health. Sacrificing your health for wealth would be a very unwise decision.
Jennifer Coolidge|High school is when I started to get my sense of fashion together. My queen was Candice Swanepoel, who is a friend of mine now, which is kind of funny, but in high school, I was obsessed. I love her street style: she is always in cool boyfriend jeans, boots, and an awesome coat, which is very much like what I wear.
Vladimir Nabokov|One is necessary, one is a piece of fate, one belongs to the whole, one is the whole – there exists nothing which could judge, measure, compare, condemn our being, for that would be to judge, measure, compare, condemn the whole…But nothing exists apart from the whole!
Milorad Pavić|If something wants to be a story, it will be.
Helen Fisher|Any kind of novelty or excitement drives up dopamine in the brain, and dopamine is associated with romantic love.
Paul Copan|New Rule: If an Evangelical tries to use Halloween to pimp Jesus to kids, they get to egg his house. On Halloween, the president of the American Family Association urged his flock to hand out a Christian-based comic book instead of candy. Excuse me, Halloween isn't a time to push your beliefs. You don't see me handing out pot to kids...Okay, well not the little kids.
Nayomi Munaweera, What Lies Between Us|For me, this baby was the most precious thing I had ever had. He was my treasure, my joy, my world, my everything now.
James Joyce, A Portrait of the Artist as a Young Man|The soul ... has a slow and dark birth, more mysterious than the birth of the body. When the soul of a man is born in this country there are nets flung at it to hold it back from flight. You talk to me of nationality, language, religion. I shall try to fly by those nets.
Sharon Kay Penman, Devil's Brood|He’d passed the longest night of his life locked in mortal combat with his ghosts, calling up and then disavowing twenty years of memories. He would banish that bitch from his heart if it meant cutting her out with his own dagger. And when at last he allowed himself to grieve, he did so silently and unwillingly, his tears hidden by the darkness, his rage congealing into a core of ice.
Michael Spencer, Mere Churchianity: Finding Your Way Back to Jesus-Shaped Spirituality|It is rare to find an established community of Christians that encourages radical expressions of following Jesus. The natural conservatism of institutions is deeply rooted in the desire to survive, and that desire colors and limits the way they read the Bible and how they see God functioning in the world.
Laura Bates, Everyday Sexism|Our experiences of all forms of gender prejudice - from daily sexism to distressing harassment to sexual violence - are part of a continuum that impacts all of us, all the time, shaping ourselves, and our ideas about the world. To include stories of assault and rape within a project documenting everyday experiences of gender imbalance is simply to extend its boundaries to the most extreme manifestations of that prejudice. To see how great the damage can become when the minor, "unimportant" issues are allowed to pass without comment. To prove how the steady drip-drip-drip of sexism and sexualization and objectification is connected to the assumption of ownership and control over women's bodies, and how the background noise of harassment and disrespect connects to the assertion of power that is violence and rape.
Elon Musk|According to String Theory, what appears to be empty space is actually a tumultuous ocean of strings vibrating at the precise frequencies that create the 4 dimensions you and I call height, width, depth and time.
Jason Medina, A Ghost In New Orleans|My opinion is, of course, completely my own. I would not impose it on anyone else and decline any pressure to change it.
Steven Wright|It is usually the imagination that is wounded first, rather than the heart; it being much more sensitive.
Rafe Esquith, There Are No Shortcuts|To quote the exceptional teacher Marva Collins, "I will is more important than IQ." It is wonderful to have a terrific mind, but it's been my experience that having outstanding intelligence is a very small part of the total package that leads to success and happiness. Discipline, hard work, perserverance, and generosity of spirit are, in the final analysis, far more important.
Winston Graham, The Four Swans|Took long enough,” she called out, not wanting to admit how the sight of him made her throat hitch, how the man was so gorgeous she lost her mind. “I thought you drowned in the mirror from staring into your reflection too long.
Louis C.K.|Entrepreneur, if your're going to start up, make sure you start up with excellence in mind.
E. B. White|It's like driving a car at night. You never see further than your headlights, but you can make the whole trip that way.
Debasish Mridha|Love to live, live to love—nothing else matters.
Judith Krantz, Scruples|For my part, I think that the mystery is always greatest where there is the most - emptiness.
Tessa Dare, Twice Tempted by a Rogue|I knew right then you were the only one for me." He pulled her handfrom his face, kissed her palm, then pressed it flat against his chest. "Beatings, battles, fights. No matter how bleak the circumstance, no matter how my soul despaired ... this heart never once gave up." His voice deepened, went thick with emotion. "I've a theory as to why. Do you want to hear it?"She nodded."This heart is yours. It's yours," he said. "It always will be.
Thea Euryphaessa, Running Into Myself|Our destiny is aligned with our heart's innermost longing, a longing embedded within our soul before birth. This longing is a unique pattern or configuration reminiscent of the constellations in the night sky. When we express (press out) our unique configuration, it shines through us with an otherworldly luminosity, manifesting abundance in our lives and the lives of others. Our sole task is to yoke our inner destiny, thread it through our lives and weave it into the world. All else is just shadows and dust.
Fyodor Dostoyevsky, The Brothers Karamazov|I thought of the old proverb: Where there are three physicians, there are two atheists.
Sonya Hartnett, Surrender|My life was pouring out my feet and seeping through cracks in the floor; yet still I knelt and did not move, for fear she'd let go my hands. Let me stay, I wanted to beg: Please don't make me go.
Tamara L. Chilver|[Home educator] take time during the holidays to catch your breath and enjoy homeschooling in a new, refreshing way (and to learn the value of bookmarks like I did.☺)
A.A. Milne, Winnie-the-Pooh|It is more fun to talk with someone who doesn't use long, difficult words but rather short, easy words like "What about lunch?
Beloo Mehra, ABC's of Indian National Education|By educating the young, we are building a liberating potential force indirectly.
Elizabeth Gilbert, Eat, Pray, Love|But I explained that deep grief sometimes is almost like a specific location, a coordinate on a map of time. When you are standing in that forest of sorrow, you cannot imagine that you could ever find your way to a better place. But if someone can assure you that they themselves have stood in that same place, and now have moved on, sometimes this will bring hope.
Amanda Palmer, The Art of Asking; or, How I Learned to Stop Worrying and Let People Help|If you like tiger cubs,you got to get into the den!
Shannon L. Alder|The moment you have to recruit people to put another person down, in order to convince someone of your value is the day you dishonor your children, your parents and your God. If someone doesn't see your worth the problem is them, not people outside your relationship.
Rose Kennedy|Projects are usually undertaken to either solve a problem or take advantage of an opportunity. The probability that the project - even if precisely executed - will complete on time, on budget, and on performance is typically small. Project management is utilized to increase this probability. So in a sense, project management is risk management.
Richard Rohr, Falling Upward: A Spirituality for the Two Halves of Life|In previous centuries, the Church was the great controller, dictating morality, stifling free expression and posing as conservator of all great art and music. Instead we have TV, doing just as good a job at dictating fashions, thoughts, attitudes, objectives as did the Church, using many of the same techniques but doing it so palatably that no one notices. Instead of ‘sins’ to keep people in line, we have fears of being judged unacceptable by our peers (by not wearing the right shoes, not drinking the right kind of beer, or wearing the wrong kind of deodorant). Coupled with that fear is imposed insecurity concerning our own identities. All answers and solutions to these fears come through the television, and only through television. Only through exposure to TV can the new sins of alienation and ostracism be absolved.
Stephen Levine, A Year to Live: How to Live This Year as If It Were Your Last|Our life is composed of events and states of mind. How ewe appraise our life from our deathbed will be predicated not only on what came to us in life but how we lived with it. It will not be simply illness or health, riches or poverty, good luck or bad, which ultimately define whether we believe we have had a good life or not, but the quality of our relationship to these situations: the attitudes of our states of mind. (34)
Peter Campbell|In these few seconds Finn lived such a long time, that the marble fell back into the bottom of an exhausted world.
Claudia Gray, Evernight|Self-knowledge is better than self-control any day," Raquel said firmly. "And I know myself well enough to know how I act around cookies.
George William Curtis|We 'chicks' have munched our popcorn while romantic comedies became just comedies, and then each female protagonist got recast for Matthew McConaughey or Seth Rogan.
Pat Brisson, The Best and Hardest Thing|What was he like afterwards?Totally adorable-he fell asleep right on top of me!What was he like afterwards?I thought he'd died. No, Really! He fell asleep-I had to roll him off of me so i could breathe
Jean-Jacques Rousseau, Discourse on the Origin of Inequality|From this moment there would be no question of virtue or morality; for despotism cui ex honesto nulla est spes, wherever it prevails, admits no other master; it no sooner speaks than probity and duty lose their weight and blind obedience is the only virtue which slaves can still practice.
Johnny Depp|If someone were to harm my family or a friend or somebody I love, I would eat them. I might end up in jail for 500 years, but I would eat them.
CLAMP|The hell with your secrets,” shouted Bonnie.“Language, language! How about this: One of you has kept a secret alltheir life, and is doing so even now. One of you is a murderer—and I amnot speaking of a vampire, or a mercy killing, or anything like that. Andthen there is the question of the true identity of Sage—good luck on yourresearch there!One of you has already had their memory erased—and I don’t meanDamon or Stefan. And what about the secret, stolen kiss? And then there isthe question of what happened the night of the motel, that it seems that nobodybut Elena can recall. You might ask her sometime about her theories aboutCamelot.
Ian McEwan, Sweet Tooth|I was irritated by the way he conflated his own shifting needs with an impersonal destiny. I want it, therefore...it's in the stars!
Toussaint Louverture|Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal.
Milena Veen, Just Like a Musical|It seemed to me that life was a giant ice skating rink, and I was the only one who didn’t have skates. Most people fear death. I don’t. I’m only afraid of not living. I don’t want to be the one behind the ice rink fence, watching other people having fun.
Kami Garcia, Beautiful Darkness|There’s something about sitting alone in the dark that reminds you how big the world really is, and how far apart we all are. The stars look like they’re so close, you could reach out and touch them. But you can’t. Sometimes things look a lot closer than they are.
Jiah Khan|People's attitude seems to be that if you don't have a television, you're not connected to reality - somehow you're not in reality. It's quite interesting, because I suspect that possibly it's the reverse.
Scott O'Dell, Island of the Blue Dolphins|Below me Rontu was running along the cliffs barking at the screaming gulls. Pelicans were chattering as they finished the blue water. But suddenly I thought of Tutok, and the island seemed very quiet.
Suzanne Collins, Gregor the Overlander|You asked why the rate hate Overlanders so deeply. It is because they know one will be the warrior of the prophecy," said Vikus."Oh, I see," said Gregor. "So, when's he coming?"Vikus fixed his eyes on Gregor. "I believe he is already here.
Iain M. Banks, Look to Windward|The rest were nondescript, as yet undifferentiated—yet nondescripts, thought Harriet, were the most difficult of all human beings to analyze. You scarcely knew they were there, until—bang! Something quite unexpected blew up like a depth charge and left you marveling, to collect strange floating debris.
Joyce Brothers|To fulfill a dream, to be allowed to sweat over lonely labor, to be given a chance to create, is the meat and potatoes of life. The money is the gravy.
Nadia Bolz-Weber, Accidental Saints: Finding God in All the Wrong People|I'm surprisingly unconcerned with what people in my church believe. Belief is going to be influenced by all sorts of things that I have nothing to do with, so I don't feel responsible for that. I'm responsible for what they hear — and hearing the gospel, the good news about who God is, slowly forms us over time.
Gary North|I have never been religious. I talk to God every day, but He's never said a word to me about religion! I think the most powerful prayer is surrender.
Norman Lock, The Boy in His Winter: An American Novel|There are many injustices in the world, but some are worse than others. You can hate someone because he's poor, because of the clothes he wears, or for his political views. But a person can change that. If you hate someone for being a Jew or an Arab, he cannot rub off his skin. That sort of prejudice is the greatest injustice...next to taking someone's life.
Mark Capell, RIOT MURDER - Myles Morgan Undercover #2|I refer to what is called mysterium iniquitatis, meaning, as I see it, that a crime in the final analysis remains inexplicable inasmuch as it cannot be fully traced back to biological, psychological and/or sociological factors. Totally explaining one’s crime would be tantamount to explaining away his or her guilt and to seeing in him or her not a free and responsible human being but a machine to be repaired. Even criminals themselves abhor this treatment and prefer to be held responsible for their deeds. From a convict serving his sentence in an Illinois penitentiary I received a letter in which he deplored that 'the criminal never has a chance to explain himself. He is offered a variety of excuses to choose from. Society is blamed and in many instances the blame is put on the victim.
Elle Macpherson|My mom used to make my costumes when I was little; she sews a lot. One year, I was a bride and I had a big wedding dress and a bouquet. Another year I was a medieval princess with a long teal dress and a veil. It was a little extravagant, but it was cute!
Hunter Wilde, Erebus|Time: her heart wretched. What a useless thing, her mind growled. Only humans would be so arrogant and so stupid as to count down their own deaths.
Kele Moon, Beyond Eden|He kissed him like a man starved, thrusting his tongue past his parted lips and drowning himself in the taste and feel of Paul after three weeks without him.
Tarryn Fisher, F*ck Love|Do you have regrets that we were so overwhelmed? Do you ever wish to live those hours over again and differently, with more confidence.
Neil Gorsuch|Whether you're working in corporate America or you're a journalist, construction worker, a teacher or an actor - we're all trying to keep working. If one job is ending, you look for another job. When 'Psych' ends, I will be looking for another job.
Gena Showalter, Last Kiss Goodnight|If you believe that humans are animals, there can be no such thing as the history of humanity, only the lives of particular humans. If we speak of the history of the species at all, it is only to signify the unknowable sum of these lives. As with other animals, some lives are happy, others wretched. None has a meaning that lies beyond itself.
Vanessa Fewings, A Vampire's Reckoning|I vow that from this day forward you shall not walk alone. My strength is your protection, my heart is your shelter, and my arms are your home. I shall serve you in all those ways that you require. I pledge to you my living and my dying, each equally in your care. Yours is the name I whisper at the close of each day and the eyes into which I smile each morning. I give you all that is mine to give. My heart and my soul I pledge to you. You are my Chosen One, you are my mate, and you are bound to me for eternity.
John Muir, The Wilderness World of John Muir|Every hidden cell is throbbing with music and life, every fiber thrilling like harp strings.
Nauman Khan|Wars bring the best out of men, it can b good for some, bad for others but it is the best that man can offer
Candi Kay, Willy the Kinky Elf & His Bad-Ass Reindeer|There’s something inherently majestic about Christmas that seems to have been abandoned by us; something flippantly cast aside, something that was foolishly abandoned and was tragically forgotten in the abandonment.
John Locke, An Essay Concerning Human Understanding|We have to believe in free will, we have no other choice.
Melanie Shankle, Nobody's Cuter Than You: A Memoir about the Beauty of Friendship|Which is why we have now added a vow to our friendship that we will never ever "Do You Want to Build a Snowman?" each other. That at we will always talk things out and never allow miscommunication to derail our relationship. But the whole conversation made me think about times in my life when I've felt that way, like I've been dropped with no sign that it was about to happen. And I think Gulley is right- it's the worst feeling in the world because it leaves you feeling completely helpless.
Ayn Rand|Coffee makes us severe, and grave and philosophical.
Jalaluddin Rumi|My Soul is my Guide, for my Soul is of that Abode I will not Speak of the Earthly, I am of the Unknown.
Toby Frost, Space Captain Smith|My soul is chaos, how can it be at all? There is everything in me: search and you will find out ... in me anything is possible, for I am he who at the supreme moment, in front of absolute nothingness, will laugh.
Cassandra Clare, City of Bones|What are all these?" Clary asked."Vials of holy water, blessed knives, steel and silver blades," Jace said, piling the weapons on the floor beside him, "electrum wire - not much use at the moment but it's always good to have spares - silver bullets, charms of protetion, crucifixes, stars of David-""Jesus," said Clary"I doubt he'd fit.""Jace." Clary was appalled.
Johnnie Dent Jr.|By the time others begin to make moves, you should be mastering maneuvers
Alison Croggon|We are all mistaken sometimes; sometimes we do wrong things, things that have bad consequences. But it does not mean we are evil, or that we cannot be trusted ever afterward.
Debasish Mridha|It is not important what you see, but it is important the way you see it.
Mary J. McCoy-Dressel, Tristan's Destiny|As I stared at him, elation,excitement, and lust began exploding within me like a fireworks display, rising within and bursting with a range of exquisite emotion that I had never known existed, let alone experienced, leaving me breathless, nervous, and excited.
Marc Augé, Oblivion|We must forget in order to remain present, forget in order not to die, forget in order to remain faithful.
Henning Mankell|Of all the home remedies, a good wife is best.
Jonathan Anthony Burkett, Friends 2 Lovers V.2: Closed Doors Open|It's risky most of the time, but its better to listen to your heart.
H.P. Lovecraft|In most circumstances and mostly, what hinders people from leaving distinctive footprints of life is less of physical barriers and much of mental barriers. What dominates your thought each day? Mind your mind.
Patti Lather|Moving across levels of the particular and the abstract, trying to avoid a transcendent purchase on the objects of study, we set ourselves up for necessary failure in order to learn how to find our way into post-foundational possibilities.
Charles R. Swindoll|[Jesus] tilted His head back, pulled up one last time to draw breath and cried, "Tetelestai!" It was a Greek expression most everyone present would have understood. It was an accounting term. Archaeologists have found papyrus tax receipts with "Tetelestai" written across them, meaning "paid in full." With Jesus' last breath on the cross, He declared the debt of sin cancelled, completely satisfied. Nothing else required. Not good deeds. Not generous donations. Not penance or confession or baptism or...or...or...nothing. The penalty for sin is death, and we were all born hopelessly in debt. He paid our debt in full by giving His life so that we might live forever.
S.T. Joshi, Atheism: A Reader|Refer me to one atheist who denies the existence of God.... Etymologically, as well as philosophically, an atheist is one without God. That is all the 'A' before 'Theist' really means.
Christina Engela, Other Kids Are Kids Almost Just Like You|The woman with hair of flames knelt over me. She might have been pretty if not for the anger in every corner of her face. Emerald eyes glowed with almost seeping venom as her nostrils flared. - Lord Tristan Dracanburh, Ethandun
Stanley Kubrick|The meanings of life aren’t inherited. What is inherited is the mandate to make meanings of life by how we live. The endings of life give life’s meanings a chance to show. The beginning of the end of our order, our way, is now in view. This isn’t punishment, any more than dying is a punishment for being born.
Peter York|There is an interior style we intellectuals and design policy wonks know as Haut Euro Pooftastic, which really takes the biscuit.
J. Tonzelli, The End of Summer: Thirteen Tales of Halloween|She didn’t know that my heart was a sandstorm waiting to open her skin in a desert of cuts. She didn’t know the animal that waited in my stomach, silently shredding the walls. For her, my heart wore small white shoes and carried a purse, went to bed early. I wanted to shoot myself into her arms so she understood the need to crash cars with me, to tear up pavement because we were beautiful.
Jerry Seinfeld|I guess when you turn off the main road, you have to be prepared to see some funny houses.
William S. Burroughs, Junky|The first week is the hardest. Then little by little the world opens up, and you realize there are all these people around you with their own needs that have nothing to do with you. Then you forget, and everything’s about you again. And maybe that cycle continues for the rest of your life. Maybe the world keeps expanding and contracting. Maybe you know you’re well when it finally stays the same size.
Will Advise|A kid is what you feed it,plus from that what can be gathered.
Sharath Nazre|A persons emotions should be the strength, should not be the weakness
Jay-Z|But it's important, while we are supporting lessons in respecting others, to remember that many of our youngest kids need to learn to respect themselves. You learn your worth from the way you are treated.
Justin Jordan, Deep State, Vol. 1|[T]hat they may believe you, you must say it as obscurely as possible, just like that, simply in hints. You must only give them a peep of the truth, just enough to tantalize them. They'll tell a story better than ours, and of course they'll believe themselves more than they would us...
Sara Barnard|People in pain can be very self-destructive. And sometimes they pull in the people who are close to them, often without realizing.
Mokokoma Mokhonoana|The more you know, the less you talk. The less you talk, the more you know.
Ernest Hemingway, A Farewell to Arms|I know that the night is not the same as the day: that all things are different, that the things of the night cannot be explained in the day, because they do not then exist, and the night can be a dreadful time for lonely people once their loneliness has started.
Sahara Sanders, INDIGO DIARIES: A Series of Novels|The process of creation can be unpredictable and, in some way, similar to love: the brightest waves of inspiration may sometimes occur in wrong timing, wrong places, or even with wrong people.
Acharya Balrkrishna|•Don't do yoga to get peace. It is possibly occultic. It seems innocent, but it can open a door to Satan in your life. I know this from personal experience. Seek God for peace, not things of this world.
Pete Hamill, North River|One thing I learned in this world? Things don't last. People say they do. They don't. Your friends, they die. The wars go on and on and on, then they end. People say they will love each other for the rest of their lives, and they don't.
Todd Alcott|Never allow anyone to take you out of character, some people know which buttons to press. (Zip it instead)
Donna Grant, Smoke and Fire|Reapers are the hands of Death. Death might be the judge, but the Reapers are the executioners. They police all Fae."	"So kill the bastards."	Taraeth glanced at his glass. "MNo one knows who the Reapers are. No one as even seen Death. We can't fight what we don't see or know."	"So... you're afraid of some whispers?"	"What do you think has been hunting the Fae besides the Kings? The Reapers."	Mikkel made a sound at the back of his throat. "Has anyone ever seen one of these Reapers?"	"You see one, you die."	"Of course you do," Mikkel scoffed.
Bill Maher, The New New Rules: A Funny Look At How Everybody But Me Has Their Head Up Their Ass|If they told us what to believe, and we didn't come to it on our own, is it still true?
Hanif Kureishi, The Nothing|Sex is like art: if you know what you’re doing, you don’t know what you’re doing.
Chaim Potok|...a blink of an eye in itself is nothing. But the eye that blinks, that is something.
Damien Rice|Jazz can be so serious, no sense of humor.
Christopher Hitchens|Francie was ten years old when she first found an outlet in writing. What she wrote was of little consequence. What was important was that the attempt to write stories kept her straight on the dividing line between truth and fiction. If she had not found this outlet in writing, she might have grown up to be a tremendous liar.
Sylvia Plath, The Unabridged Journals of Sylvia Plath|The human mind is so limited it can only build an arbitrary heaven — and usually the physical comforts they endow it with are naively the kind that can be perceived as we humans perceive — nothing more. No: perhaps I will awake to find myself burning in hell. I think not. I think I will be snuffed out. Black is sleep; black is a fainting spell; and black is death, with no light, no waking.
H. N. Ellessy|Mainly, it’s not that there are things you can’t say. It’s that there are things you can’t say without the risk that people who previously lacked a voice might use their own freedom of speech to object.
Suzie Burke, Wholeness: My Healing Journey from Ritual Abuse|I'm back in the basement of the Ascension Catholic Church, Francisco. And Little Suzie is here. She's lying on an alter, and they're hurting her. The bastards. They're hurting her. There is blood all over the place. There are candles burning and people chanting." I could hardly believe what I was seeing and I cried out, "What is this? I don't understand. What the hell is this?""Ask your unconscious mind to tell you, Suzie," he responded, ever so gently. "Ask."I did ask. And the answer swept over me with a force so strong that I felt as if I had been knocked backward."Lord! Oh, Lord. This is satanic ritual abuse, Francisco. That's what this is! That's what this is!" I screamed. "Satanic ritual abuse. And they're using Little Suzie as part of their goddamned ritual.p150
Ann Voskamp, One Thousand Gifts: A Dare to Live Fully Right Where You Are|If tribulation is a necessary element in redemption, we must anticipate that it will never cease till God sees the world to be either redeemed or no further redeemable.
Catherynne M. Valente, Deathless|I will not let her speak because I love her, and when you love someone, you do not make them tell war stories. A war story is a black space. On the one side is before and on the other side is after, and what is inside belongs only to the dead.
Sunday Adelaja|Junior based all of his decisions on his dreams and visions, which created a lot of problems.
