S.A. Tawks, Misadventurous|Now comes the hard part. Peyton, Peyton, Peyton. Just say Peyton.
Billy Graham, Billy Graham in Quotes|[Jesus] had only three years of public ministry, but He was never too hurried to spend hours in prayer . . . No day began or closed in which He was not in communion with His Father.
Amalie Howard, Bloodspell|I already fear for my life just because of who I am, you think adding a little inconsequential vampire to the equation will change any of that?
Giovanna Fletcher, Billy and Me|Back at home I spent so much time on my own, but never once felt lonely. Here, even though I see hundreds more people each day, I've never felt lonelier.
Sylvia Plath, The Bell Jar|I began to see why woman-haters could make such fools of women. Woman-haters were like gods: invulnerable and chock full of power. They descended, and then they disappeared. You could never catch one.
Garth Risk Hallberg, City on Fire|In almost 25 years of experience as a high school guidance counselor, a regional college representative, and a private college counselor, I have noted the kinds of things that make the college process productive, successful, and enjoyable. I have worked with so many students who have blossomed in part due to their college search and application process. It can be a period of maturation and of self-exploration, with an honest assessment of skills and interests, development of task organization and discipline, renewed intrafamily communication, and travel to interesting cities and small college towns. I firmly believe when the journey to college is fully embraced, it can truly be loved.
Hollis Seamon, Somebody Up There Hates You|Sometimes, you know, human kindness just knocks you off your feet.
Felicity Brandon, Destination Anywhere|Feed the beast, ladies, and it’ll come to you every time it’s hungry. Make your man feel like he’s the biggest, baddest motherfucker on earth, inside and outside of the bedroom, and he’ll adore you
Robin M. Bertram|Character is what is hidden deep, shows up in the worst of times, be it good or bad, and reflects the heart of a man.
William K. Mahony, The Artful Universe: An Introduction to the Vedic Religious Imagination|Whether divine or human, it is precisely the imagination that fashions and recognizes the universe as meaningful, abiding, and valuable, that is to say, as real.
Leonard Cohen, Let Us Compare Mythologies|Somewhere, somehow, something arises out of the ashes of our losses to remind us that nothing ever ceases. Nothing ever vanishes. Nothing ever comes to nothing.
Joyce, T.S.|Maybe her parents had picked a favorite kid, but that hadn’t bowed Kate. It had made her lock her legs and stand strong instead.
Tamara Rose Blodgett, Death Screams|Then the Skopamish showed up. Their chests heaving, rotting eyes like dull raisins in their skulls. Their eyes found mine like a witching wand seeking water.
Benvenuto Cellini|We strolled to the end of the platform. We came to a man with a signal lamp and I saw that as he passed us he looked at a conductor standing on another platform and made a drinking movement with his hand near his mouth. We stopped past the end of the roof and looked at the sun. "You see the sun, Koekebakker?" The sun was especially clear, right in front of us, close by, bigger and redder than I had ever seen it. It almost touched the rails, it didn't flash brightly on things anymore, there was a dull glow only on the frosted windowpanes of the train shed to the right of the track. "You think I'm drunk?" I did indeed. "It doesn't matter, Koekebakker, when I'm sober I don't understand anything anyway.""Do you understand what the sun wants from me? I have thirty-four setting suns leaning against the wall, one on top of the other, all facing the wall. But every evening it's there again.""Unless it's cloudy," I said. But he wouldn't let himself be distracted."Koekebakker, you've always been my best friend. I've known you since--how long has it been?""Thirteen years. That's a long time. You know what you need to do? Do me a favor. You have a hatbox?"I didn't say anything."Put it in a hatbox, Koekebakker. In a hatbox. I want to be left alone. Put it in a hatbox, a plain old hatbox. That's all it's worth."Bavinck blubbered drunkard's tears. I looked around helplessly. A man in a uniform with a yellow stripe on his cap came up to us and spoke to me."I think it would be better, sir, if you took the gentleman home.
Abhijit Naskar, Neurosutra: The Abhijit Naskar Collection|For a man, the optimal evolutionary strategy is to disseminate his genes as widely as possible, given his few minutes (or, alas, seconds) of investment in each encounter. It all makes simple evolutionary sense, since a woman invests a good deal of time and effort -a nine month long, risky, strenuous pregnancy, in each offspring. Naturally she has to be very discerning in her choice of sexual partners.
Patience Johnson|If all you are looking for is a miracle you are wide open to follow the antichrist and the false prophets because they are going to have a big league of signs and wonders ministry.If signs and wonders do not bring glory and honour to Jesus Christ, then you must be watching a false prophet whose anointing does not come from the Holy Spirit of God.
Emma Cameron, Cinnamon Rain|Be Strong , Have Faith and Always Smile .
Archibald Marwizi, Making Success Deliberate|Reprogram your life and mind-set by replacing the bad with the positive, the weakness with the strength.
Khalil Gibran|If you don't know where you are going, you might wind up someplace else.
Clifton Fadiman, Clifton Fadiman's Fireside Reader|Is stuffed, de world, wif feeding girls.
Alexa Riley, Claimed Princess|TOBIAS: No one ever said this would be easy, and you don’t seem like the type of woman to take the easy way out.
George Washington Carver|How do I talk to the flower?Through it I walk to the Infinite.And what is the infinite?It is that silent, small force. It isn't the outer physical contact. No, it isn't that. The infinite is not confirmed in the visible world.It is not in the earthquake, the wind or the fire. It is that still small voice that calls up the fairies. Yet when you look out upon God's beautiful world- there it is. When you look onto the heart of a rose there you experience it- but you can't explain it. There are certain things, often very little things, like the peanut, the little piece of clay, the little flower that cause you to look within-and then you see the soul of things.
Kilroy J. Oldster, Dead Toad Scrolls|Writing allows a person to explore both physical reality and the internal workings of their mind. Writing places us in touch with our unconsciousness. Writing purposefully, applying the white heat of self-examination, can act to transform oneself. Writing allows a person with sufficient resolve to anneal their basic constitution, make their mind more flexible.
Sara Raasch, Snow Like Ashes|That's why literature is so fascinating. It's always up for interpretation, and could be a hundred different things to a hundred different people. It's never the same thing twice.
Carolyn Bramhall, Am I a Good Girl Yet?: Childhood Abuse Had Shattered Her. Could She Ever Be Whole?|Humans are animals and like all animals we leave tracks as we walk: signs of passage made in snow, sand, mud, grass, dew, earth or moss.... We easily forget that we are track-markers, through, because most of our journeys now occur on asphalt and concrete--and these are substances not easily impressed.
Catherynne M. Valente, Radiance|Buck up, baby blowfish. Just puff up bigger than your sadness and scare it right off. That's the only way to live in the awful old ocean.
Craig Groeschel, Weird: Because Normal Isn't Working|What is it that makes you so angry, bothers you so deeply, that you're compelled to act?
Joshua Foer, Moonwalking with Einstein: The Art and Science of Remembering Everything|To the extent that experience is the sum of our memories and wisdom the sum of experience, having a better memory would mean knowing not only more about the world, but also more about myself.
Milan Kundera|If excitement is a mechanism our Creator uses for His own amusement, love is something that belongs to us alone and enables us to flee the Creator. Love is our freedom. Love lies beyond "Es Muss sein!
Frances Beinecke|Many environmental battles are won by delaying a destructive project long enough to change the conversation - to allow new economic, political and social dynamics to emerge.
Nathan Fillion|When I see Bruce Banner becoming the Hulk, it's only a picture. My imagination has to do some of the work there, to impute feeling and everything. We're talking about something that's so surreal, it's just not possible within the world as we know it. So that requires a form that is not so literal.
Craig D. Lounsbrough|I feign fullness, but in reality I am achingly empty. And it is because I too often sit at the table of the world instead of the feet of God.
John Michael Greer, The Long Descent: A User's Guide to the End of the Industrial Age|While the invisible hand looks after the private sector, the invisible foot kicks the public sector to pieces.
Holly Duckworth, Ctrl+Alt+Believe: Reboot Your Association For Success|To be effective as future organizations, we must know our fellow leaders better, deeper.
Lucy Larcom|When I read 'Stand By Me,' it was like, 'This is a look back at the same time period when I was growing up, and it was about kids, but it really felt like what it was like to have those powerful feelings of friendship at age 12.' That's what got to me.
Lisa Ann Sandell, A Map of the Known World|They say no land remains to be discovered, no continent is left unexplored. But the whole world is out there, waiting, just waiting for me. I want to do things-- I want to walk the rain-soaked streets of London, and drink mint tea in Casablanca. I want to wander the wastelands of the Gobi desert and see a yak. I think my life's ambition is to see a yak. I want to bargain for trinkets in an Arab market in some distant, dusty land. There's so much. But, most of all, I want to do things that will mean something.
Joel Salatin, Folks, This Ain't Normal: A Farmer's Advice for Happier Hens, Healthier People, and a Better World|Read things you're sure will disagree with your current thinking. If you're a die-hard anti-animal person, read Meat. If you're a die-hard global warming advocate, read Glenn Beck. If you're a Rush Limbaugh fan, read James W. Loewen's Lies My Teachers Told Me. It'll do your mind good and get your heart rate up.
Susan  Fletcher, Corrag|I've heard fate talked of. It's not a word I use. I think we make our own choices. I think how we live our lives is our own doing, and we cannot fully hope on dreams and stars. But dreams and stars can guide us, perhaps. And the heart's voice is a strong one. Always is.Your heart's voice is your true voice. It is easy to ignore it, for sometimes it says what we'd rather it did not - and it is so hard to risk the things we have. But what life are we living, if we don't live by our hearts? Not a true one. And the person living it is not the true you.
Zack Love, The Doorman|At one point, I began to think that I had a divine doorman. Lenny was the most unlikely incarnation of God I could imagine, and yet, I kept drifting irresistibly towards this absurd conclusion. Despite my staunchly atheistic inclinations, I couldn't explain Lenny any other way. But eventually I came to my senses and realized that he was just one of those game show freaks with an encyclopedic memory. That didn't make him God, did it? Would God proclaim so regularly how much he likes Patsy's Pizza?
Shelley K. Wall, Bring It On|He had always liked a good mess—God knows he had sure made a few. In typical form, he squared his shoulders, furrowed his brows and muttered, “bring it on.
Michelle Bachelet|Hey 'Bachelor,' take notes! Trusting one another and sharing a journey to health leads to lasting relationships!
Glendon Swarthout|A man's life consist not of the things he possess, nor Facebook likes and approval.But some of it damn sure consist of his favorite hobbies and love of girls with guns
Denis Healey|World events do not occur by accident. They are made to happen, whether it is to do with national issues or commerce; and most of them are staged and managed by those who hold the purse strings.
Eduardo Galeano, The Book of Embraces|Personalized filters play to the most compulsive parts of you, creating "compulsive media" to get you to click things more.
Louise O'Neill|Put it on record--I am an ArabAnd the number of my card is fifty thousandI have eight childrenAnd the ninth is due after summer.What's there to be angry about?Put it on record.--I am an ArabWorking with comrades of toil in a quarry.I have eight childernFor them I wrest the loaf of bread,The clothes and exercise booksFrom the rocksAnd beg for no alms at your doors,--Lower not myself at your doorstep.--What's there to be angry about?Put it on record.--I am an Arab.I am a name without a tide,Patient in a country where everythingLives in a whirlpool of anger.--My roots--Took hold before the birth of time--Before the burgeoning of the ages,--Before cypess and olive trees,--Before the proliferation of weeds.My father is from the family of the plough--Not from highborn nobles.And my grandfather was a peasant--Without line or genealogy.My house is a watchman's hut--Made of sticks and reeds.Does my status satisfy you?--I am a name without a surname.Put it on Record.--I am an Arab.Color of hair: jet black.Color of eyes: brown.My distinguishing features:--On my head the 'iqal cords over a keffiyeh--Scratching him who touches it.My address:--I'm from a village, remote, forgotten,--Its streets without name--And all its men in the fields and quarry.--What's there to be angry about?Put it on record.--I am an Arab.You stole my forefathers' vineyards--And land I used to till,--I and all my childern,--And you left us and all my grandchildren--Nothing but these rocks.--Will your government be taking them too--As is being said?So!--Put it on record at the top of page one:--I don't hate people,--I trespass on no one's property.And yet, if I were to become starved--I shall eat the flesh of my usurper.--Beware, beware of my starvation.--And of my anger!
Mehek Bassi, Chained: Can you escape fate?|Love happens only once, what happens after that is just compromise; with your heart and with your life...
James Fenton|The poetry and transgression that was so much of surrealism's anarchic force has been recruited into mainstream culture. It has been made commonplace by television and magazine merchandising, by computer games and Internet visuals, by film and MTV, by the fashion shoot.
Mokokoma Mokhonoana|Once a woman goes over 25, she prioritizes 'financial security' in a potential lover. Love and good looks are just a bonus.
Elena Ferrante, My Brilliant Friend|To cause pain was a disease. As a child I imagined tiny, almost invisible animals that arrived in the neighborhood at night, they came from the ponds, from the abandoned train cars beyond the embankment, from the stinking grasses called fetienti, from the frogs, the salamanders, the flies, the rocks, the dust, and entered the water and the food and the air, making our mothers, our grandmothers as angry as starving dogs.
Henry Rollins|Being in New York is an almost overwhelming experience. While Washington, D.C., is my favorite American city, I regard New York City as the most amazing city in the world. No other comes close. It is an incredible, inexhaustible engine.
James     Baldwin, The Fire Next Time|Accept what it, forget what was.
R. Buckminster Fuller|If you think about brewing, it is biotechnology. And I would say that I was a technologist at heart. So whether I... fermented beer or whether I fermented enzymes, the base technology was the same.
A.R. Von, Blood Dance|You don’t look injured to me. What am I supposed to think? Have you been with them this whole time? My god, Brook. Where were you?
Yann Martel, Life of Pi|Her hair is full of icy wind and daylight. She is every princess, every queen, in the history book.
Brownell Landrum, Repercussions: DUET stories Volume IV - Adult Version|Fuck 'em. Call it whatever you want. Maybe it's just two people clinging to each other to stay alive. Maybe sometimes that's all love gets to be. And, maybe, if they hold onto each other long enough . . . maybe something good finally happens.
Richard Baxter, A Christian Directory|Thinking of a problem as a situation that is unwelcome or harmful can be limiting and distracting. When we attach ourselves to dissecting and focusing on the negativity of the problem, we take away valuable time and effort from finding the solution. When we allow our problem to emotionally outweigh our search for a solution, we aren’t as open to the many possible solutions. In fact, both solutions and problems are just options—except one works and the other doesn’t.
Martin Luther King Jr.|Only remember this: to seek justice is a good and noble thing, to seek revenge out of hatred is something that wiil devour your very soul.
Alain de Botton, Status Anxiety|We feel happy when we accomplish something great, and our hearts filled with satisfaction about what we achieved
Bruno Schulz, The Street of Crocodiles|When a seed sprouts, it's a violent process. The skin breaks and splits in two. Something dies and something is born. Anytime you paint a strong or violent image, you may be expressing that part of yourself that's opening in order to let the new emerge.
Jen Hatmaker|But it was never actually that big a deal. Jenkins didn't really disbelieve in the Resurrection: he merely questioned the historical veracity of the New Testament narratives. It was mildly interesting: one side saying "I really believe that Jesus was the Son of God, and that the Bible gives a journalistically accurate account of the circumstances surrounding his birth," and the other saying "I also really believe that Jesus was the Son of God, but I think that the story of Mary and Gabriel may be a legend." A real disagreement, an important one, but not a fundamental fault line along which a church can split. The people who think that the stone really was rolled away, and the people who think that it was rolled away in a very real sense are clearly part of the same religion. But it is hard to see how people who think that it doesn't particularly matter whether or not the stone was rolled away, provided we live in the way that Jesus would have wanted us to, are part of the same religion; or, indeed, of any religion at all. I think that this is what some evangelicals think some liberals think. I think they may be right.
Ray Bradbury, Fahrenheit 451|For a moment I think we were turned into information, and that in that instant we were linked to every other piece of information ever known; every thought ever thought, or at least ever captured by the light.
Ben Sweetland|Success is a journey, not a destination.
Jean Webster, When Patty Went to College|For an educated person, intelligence is important but character is more important.
John W. Gardner|We pay a heavy price for our fear of failure. It is a powerful obstacle to growth. It assures the progressive narrowing of the personality and prevents exploration and experimentation. There is no learning without some difficulty and fumbling. If you want to keep on learning, you must keep on risking failure all your life.
Robert A. Caro, The Passage of Power|Misery, after all, loves company.
Malala Yousafzai|Life can be a misunderstanding, if we are ignorant of the right language or don’t try to learn it. « If lions could speak, we would not understand them. » says Ludwig Wittgenstein. If we make an effort, however, we could manage to understand. ( “ Life was a misunderstanding » )
D.S. Mixell|If you put me on a pedestal, I will fall off because I can never achieve the perfection of your expectations.
Colum McCann, Fishing the Sloe-Black River|The moment you tell someone else is the moment you become a whiner and the world’s smallest violin starts to play. The truth is, we all have problems.
Alejandro Jodorowsky|I used to be prettier than I am, but I think I look better now. I was a pretty boy. Particularly in my early movies. I don't like looking at them so much. There's a sort of pretty thing about me.
Gregory Benford|Picking my topics is sort of a process of elimination for me. Most things don't work for me. I like to cover science and unexpected things happening in labs. Also, theoretical research doesn't work for my style. I need scenes and interactions. Then, humor. I'm having the most fun when I can have fun with my work.
Bryant McGill, Voice of Reason|No construct on earth will stand, that does not stand for the least among them, as their advocate and humble servant.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|We know that children with autism like order, that they are often very visual and that they can be quite literal. They deserve beautiful resources and symbols that make sense. If a picture does not explain visually, it is pointless and the child will stop looking to the pictures for information.
Craig M. Gay, The Way of the (Modern) World: Or, Why It's Tempting to Live As If God Doesn't Exist|Christian hope frees us to act hopefully in the world. It enables us to act humbly and patiently, tackling visible injustices in the world around us without needing to be assured that our skill and our effort will somehow rid the world of injustice altogether. Christian hope, after all, does not need to see what it hopes for (Heb. 11:1); and neither does it require us to comprehend the end of history. Rather, it simply requires us to trust that even the most outwardly insignificant of faithful actions - the cup of cold water given to the child, the widow's mite offered at the temple, the act of hospitality shown to the stranger, none of which has any overall strategic socio-political significance so far as we can now see - will nevertheless be made to contribute in some significant way to the construction of God's kingdom by the action of God's creative and sovereign grace.
Lauren Myracle, Let It Snow: Three Holiday Romances|Did I do and say these things? Yes, I did. Are there any mitigating circumstances? Not really, unless any circumstances {in other words, context) can be regarded as mitigating. And before you judge, although you have probably already done so, go away and write down the four worst things you have done to a partner, even if - especially if - your partner doesn't know about them. Don't dress things up, or try to explain them; just write them down, in a list, in the plainest language possible. Finished? Ok, so who's the arsehole now?
Norman Vincent Peale|When you get up in the morning, you have two choices - either to be happy or to be unhappy. Just choose to be happy
Jennifer T. Webb, The Last Wave Near Death Experience, A Life Of Miracles|It is impossible to be creative if you live in the past or the future. To practice the discipline of keeping our consciousness in present time allows our full ability to manifest all physical matter through the power of thought".
Chris Chocola|I've teamed up with PetSmart Charities to celebrate the five million homeless pets who've found homes through their in-store adoption centers, and to spread the word about how we can work together to save millions more pets' lives and, ultimately, end pet homelessness.
Hilary Flower, Adventures in Gentle Discipline: A Parent-to-Parent Guide|There are no moments more painful for a parent than those in which you contemplate your child's perfect innocence of some imminent pain, misfortune, or sorrow. That innocence (like every kind of innocence children have) is rooted in their trust of you, one that you will shortly be obliged to betray; whether it is fair or not, whether you can help it or not, you are always the ultimate guarantor or destroyer of that innocence.
Ramana Pemmaraju|Never take someone for granted based on your perception and act on it, for that would yield in ultimate disaster!
Thomas de Quincey|Big words from a guy who's trussed up like a turkey. What are you going to do, wobble over here like an upside- down turtle to snap me in half?""The logistics of breaking you are easy. The only question is when.
Judith A. Wright, Collected Poems, 1942 1970|Two Songs For The World's End I Bombs ripen on the leafless tree under which the children play. And there my darling all alone dances in the spying day. I gave her nerves to feel her pain, I put her mortal beauty on. I taught her love that hate might find, its black work the easier done. I sent her out alone to play; and I must watch, and I must hear, how underneath the leafless tree, the children dance and sing with Fear. II Lighted by the rage of time where the blind and dying weep, in my shadow take your sleep, though wakeful I. Sleep unhearing while I pray - Should the red tent of the sky fall to fold your time away, wake to weep before you die. Die believing all is true that love your maker said to you Still believe that had you lived you would have found love, world, sight, sound, sorrow, beauty - all true. Grieve for death your moment - grieve. The world, the lover you must take, is the murderer you will meet. But if you die before you wake never think death sweet.
Joseph M. Kyrillos|I don't think anyone has qualms in saying victory to the people of India. But when a political party appropriates such a slogan and says this is the definition of patriotism, those who say it are patriotic and those who don't are not patriotic, then I reject that definition.
Joseph Gordon-Levitt, The Tiny Book of Tiny Stories, Vol. 1|If peace comes from seeing the whole,then misery stems from a loss of perspective.We begin so aware and grateful. The sun somehow hangs there in the sky. The little bird sings. The miracle of life just happens. Then we stub our toe, and in that moment of pain, the whole world is reduced to our poor little toe. Now, for a day or two, it is difficult to walk. With every step, we are reminded of our poor little toe.Our vigilance becomes: Which defines our day—the pinch we feel in walking on a bruised toe, or the miracle still happening?It is the giving over to smallness that opens us to misery. In truth, we begin taking nothing for granted, grateful that we have enough to eat, that we are well enough to eat. But somehow, through the living of our days, our focus narrows like a camera that shutters down, cropping out the horizon, and one day we’re miffed at a diner because the eggs are runny or the hash isn’t seasoned just the way we like.When we narrow our focus, the problem seems everything. We forget when we were lonely, dreaming of a partner. We forget first beholding the beauty of another. We forget the comfort of first being seen and held and heard. When our view shuts down, we’re up in the night annoyed by the way our lover pulls the covers or leaves the dishes in the sink without soaking them first.In actuality, misery is a moment of suffering allowed to become everything. So, when feeling miserable, we must look wider than what hurts. When feeling a splinter, we must, while trying to remove it, remember there is a body that is not splinter, and a spirit that is not splinter, and a world that is not splinter.
Janvier Chouteu-Chando, Disciples of Fortune|...We find our greatest peace when we embrace something that gives meaning to our lives. Often, it is love for somebody or something we can give up our lives for, or somebody or something that we are sure will never betray us. That love could be for a partner, for our offspring, for a country or for a belief...
Susan Elizabeth Phillips, Heaven, Texas|You couldn't be satisfied with being an amateur asshole, could you, Jimbo! You had to go and turn pro on me!
Gregory Hartley|When you understand the mechanincs of stress and master the techniques to manipulate someone's fears and dreams, you will be powerful.
Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass|A busy, vibrant, goal-oriented woman is so much more attractive than a woman who waits around for a man to validate her existence.
Hanif Kureishi, Midnight all Day|The minute you settle for less than you deserve, you get even less than you settled for. 
Evan Stark|The majority of people I've come across in life have treated me unfairly. I'd be a liar if I said it didn't hurt; I have this deep wound in my soul I feel all the time, but I still choose to love despite my moments of anger and selfishness. Love is the only true, everlasting thing we all live for and who am I to rob someone of experiencing that?
Marieta Maglas|I am bound to accord you, in the name of free speech, the full right to shout, lie and write to your heart’s content. But you are bound to grant me, in the name of freedom of association, the right to enter into, or withdraw from, association with people advocating this or that view.
Melissa Marr, Ink Exchange|Talking won't change it. But sometimes it was what she wanted most, to tell someone; often, though, she just wanted to escape those horrid feelings, to escape herself, so there was no pain, no fear, no ugliness.
Atul Gawande, Being Mortal: Medicine and What Matters in the End|When push comes to shove we can afford to lose an arm or a leg, but I am operating on peoples thoughts and feelings... and if something goes wrong I can destroy that persons character... forever.
Richard Siken, Crush|4. Ditties of Life – 4.39 HUMANITY & DIVINITYWhen you lose reasoning you forget humanity,When you forget laughter you lose Divinity.[222]	– 4
Jean-Paul Sartre, No Exit|You are -- your life, and nothing else.
Socrates|I'm giving into my tendency to want to blur and blend the lines between art and life, and privacy and sharing.
Dominic Riccitello|I never expected you to understand, but I did expect you to be there.
Oscar Wilde, The Picture of Dorian Gray|most people come to know only one corner of their room, one spot near the window, one narrow strip on which they keep walking back and forth.
Hermann Hesse, Siddhartha|I called the world of phenomena an illusion, I called my eyes and my tongue and accident, valueless phenomena. No, that is all over; I have awakened, I have really awakened and have just been born today.
Duff Brenna, The Altar of the Body: A Novel|She had stayed home and worked hard and a posthumous recognition had eventually followed. Not that Buck hadn't worked hard, sure he did, but in the end the body won't hold up as a work of art.
Paul Auster|Painting, by its nature, cannot provide an object of simultaneous collective reception... as film is able to do today... And while efforts have been made to present paintings to the masses in galleries and salons, this mode of reception gives the masses no means of organizing and regulating their response. Thus, the same public which reacts progressively to a slapstick comedy inevitably displays a backward attitude toward Surrealism.
Paulo Coelho, The Alchemist|You must understand that love never keeps a man from pursuing his destiny. If he abandons that pursuit, it's because it wasn't true love.
Anthony T. Hincks|If you don't believe in yourself,How can you ever believe in another?
Criss Jami, Killosophy|For who could better describe the eye than God, Who made it? But as it is clearer than the day that God has left a good deal to our own efforts ... we should really follow in these things the thread of nature, by which first principles, reason and daily experience lead us. Therefore, He prompts the minds of great men to inquire into the nature which He created, and He furthers and conducts their studies. These things must be enough to us, and from Holy Scripture we should seek in the first place only those things which are necessary to salvation.
Neil Gaiman, Anansi Boys|As a child, my mother told me not to talk to strangers. I did my best to obey. She hadn’t realized that everyone is a stranger to the part of us that makes us who we truly are. The part of us that prays for the rest in ways we cannot comprehend. In a sense, we are our own monsters, lying in wait under our own beds--our own angels and demons. The lives we lead will judge us. This is as natural as the sun rising and setting, something that happens whether or not we’re alive.
Ron Baratono|It's always the people who strive to find, and tell you about one of your imperfections, that want to feel one step above you. The truth is their ten steps below you with nothing better to say.
Donna Lynn Hope|Which is better: to dare to look directly into the blinding present, no matter how painful, or to await the detachment of hindsight -- which, being less painful, is more objective?
Arthur W. Pink|I see people teaching how to make an impact, but i don't want to make dents, i want to walk lightly on the earth, grateful for universal grace.
Katherine Boo, Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity|The passion for defiling things was inborn in her. It was not enough for her to destroy them, she had to soil them too.
Beth Neff, Getting Somewhere|Then Cassie told her story. The feeling was like gathering up everything she's ever done or felt or known up to that moment and tying it into a ball and pitching it with all her might as far away as she could, and then watching to see what would happen next, what would roll back to her, what would have gotten left behind.
Wendy Werneth|My love for languages and my love for travel really go hand in hand and feed off of each other. There’s no better way to learn a language than by immersing yourself in a culture where it’s spoken, and there’s no better way to immerse yourself in a culture than by learning to speak the local language.
Epictetus|One of the most interesting things about the cognitive theory is the idea that anger and interpersonal conflict ultimately result from a mental con. In other words, you're telling yourself things that aren't entirely true when you're fighting with someone.
Alexander McCall Smith, A Distant View of Everything|. . . there was something that Isabel had said that always stuck in his mind. Remember what you have and the other person doesn't. It was simple--almost too simple--advice and yet, like all such home advice, it expressed a profound truth.
Emily Eaton (Me)|Don't strive to be beautiful from the outside, instead, strive to be beautiful from the inside, Surface beauty will fade through time & age, beauty from the heart, however, never will!
Olafur Eliasson|In the 20th century alone, there have been 1,600 books about the circus. My adding one more would be superfluous unless I do something totally new and different.
Christine Lewry, Thin Wire: A Mother's Journey Through Her Daughter's Heroin Addiction|He's exasperated. "I'm saying I'm in love with you! I've been in love with you this whole bleeding year!
Meera Uberoi, Leadership Secrets From The Mahabharata|A king should first gain the confidence of the foe and when he has gained it should spring on him like a wolf. The foe should be struck down so effectively that he may never agin raise his head. The foe should be slain by the arts of conciliation, expenditure of money, creating disunion among his allies or by employment of force. Indeed every means in the king’s power should be used to destroy the foe. The king should never strike in ignorance but having slain his foe should never indulge in sorrow. The king should speak with soft words before he smites and even as he is smiting. Grieve for the victim after he is down.
Rob Riggle|If money help a man to do good to others, it is of some value; but if not, it is simply a mass of evil, and the sooner it is got rid of, the better.
Pam Houston, Selfish, Shallow, and Self-Absorbed: Sixteen Writers on The Decision Not To Have Kids|I guess I don't believe you can have it all. I don't believe any of us can. In fact, I believe the very expression having it all is not only a myth but also a symptom of how sick we are in our contemporary culture. Nobody gets to have it all...You will have one thing or another depending on what choice you make. Or you will have both things in limited amounts, and that might turn out to be perfect, just exactly the life you want'" (175).
Judah Smith, Jesus Is: Find a New Way to Be Human|Make rules and follow rules as needed, but don't focus on riles. Focus on faith. Focus on grace. Focus on Jesus.
David H. Martinez|What made you fall in love with a prostitute?'I didn't understand it myself at the time. But I've thought about it since, and I think it was because, knowing that your body would never be mine alone, I had to concentrate on conquering your soul.''Weren't you jealous?"'You can't say to the spring: "Come now and last as long as possible." You can only say: "Come and bless me with your hope, and stay as long as you can.
Justin Bienvenue, Opium Warfare|she had experienced something beautiful, and he had failed to experience it with her. The two ways in which their memories reacted to the evening storm sharply delimit love and non-love.
Mary Crocker Cook, Codependency & Men|Dissociation from the body and emotions – numbness – is a basic requirement of the male ideal. Hardy and Hough point out that the patriarchal culture’s influence is so strong on this point that it interferes with men ever recognizing that pain is a normal indicator of a problem. And as the pain or discomfort increases, men are forced to choose between two problematic alternatives:If I admit I’m sick then I must do something about it. That may entail seeing a doctor which implies I’m weak, not in control of myself, not tough enough.However, if I don’t get help, I’ll get sicker and more vulnerable, really helpless
Charles Bukowski, You Get So Alone at Times That it Just Makes Sense|sometimes when everything seems atits worstwhen all conspiresand gnawsand the hours, days, weeksyearsseem wasted – stretched there upon my bedin the darklooking upward at the ceilingi get what many will consider anobnoxious thought:it’s still nice to beBukowski.
T.S. Eliot|Believe me, Michael:Those who flee from the past will always lose the race.I know this from experience. When you reach your goal,Your imagined paradise of success and grandeur,You will find your past failures waiting there to greet you.
Rudolfo Anaya, Bless Me, Ultima|When you're dealing with these forces or powers in a philosophic and scientific way, contemplating them from an armchair, that rationalistic approach is useful. It is quite profitable then to regard the gods and goddesses and demons as projections of the human mind or as unconscious aspects of ourselves. But every truth is a truth only for one place and one time, and that's a truth, as I said, for the armchair. When you're actually dealing with these figures, the only safe, pragmatic and operational approach is to treat them as having a being, a will, and a purpose entirely apart from the humans who evoke them. If the Sorcerer's Apprentice had understood that, he wouldn't have gotten into so much trouble.
Alan Arkin|Asian American success is often presented as something of a horror - robotic, unfeeling machines psychotically hellbent on excelling, products of abusive tiger parenting who care only about test scores and perfection, driven to succeed without even knowing why.
Steven Pinker|Effective use of Braille is as important to the blind as independent mobility, knowledge in the use of adaptive technology, and the core belief that equality, opportunity and security are truly possible for all people who are blind.
Una LaMarche, Like No Other|If you saw the size of the BLESSING YOU ARE BECOMING, you would understand the magnitude of the battle you are fighting!
Alan Moore, V for Vendetta|The best thing is to walk on the right path without looking back, without knowing who is following you because you must walk with your own speed, with your own freedom! Your followers will catch you or your ideas somehow somewhere ahead, somewhere in time!
Charles Bukowski|if you are going to try, go all the way.. Otherwise, don’t even start.. If you are going to try, go all the way.. This could mean losing girlfriends, wives, relatives and maybe even your mind. Go all the way.. It could mean not eating for three or four days.. It could mean freezing on a park bench.. It could mean jail, derision, mockery, isolation.. Isolation is the gift. All the others are a test for endurance, of how much you really want to do it.. And you’ll do it, despite rejection and the worst odds. And it will be better than anything else you can imagine.. if you are going to try, go all the way.. there’s no other feeling like that. You will be alone with the gods and the nights will flame with fire. Do it, do it , do it.. all the way .. all the way.. You will ride life straight to perfect laughter. It’s the only good fight there is ….
Philip Zimbardo|Growth is painful. Change is painful. But, nothing is as painful as staying stuck where you do not belong.
