Michael Bassey Johnson|Music replays the past memories, awaken our forgotten worlds and make our minds travel.
Cindy Gerard, Show No Mercy|The feel of her body against his was exhilarating, driving all rational thought from his head. “All right, prepareyourself, Claire Brennan.”She looked up at him curiously. “Prepare myself forwhat?”He gazed at her affectionately. “Repeat your mantra, orwhatever it is you do. Because I’m about to kiss you.
Dejan Stojanovic, The Sun Watches the Sun|After Homer and Dante, is a whole century of creating worth one Shakespeare?
Christine Iliadis, Paradox of Freedom|It is not the one that falls first that matters, but the one that gets up to help the other
Catrice M. Jackson|Step into the marketplace with some sizzle, spice, spunk and shazam!
Thomas Hardy, Far from the Madding Crowd|The larger the group, the more toxic, the more of your beauty as an individual you have to surrender for the sake of group thought. And when you suspend your individual beauty you also give up a lot of your humanity. You will do things in the name of a group that you would never do on your own. Injuring, hurting, killing, drinking are all part of it, because you've lost your identity, because you now owe your allegiance to this thing that's bigger than you are and that controls you.
Steven Chopade|A good lecturer is shaped from a good researcher with good philosophy, but not vice verse.
Ally Condie, Matched|I want to reach out and grab his hand and hold it to me, right over my heart, right where it aches the most. I don't know if doing that would heal me or make my heart break entirely, but either way this constant hungry waiting would be over.
Robert A. Heinlein, Stranger in a Strange Land|If God existed (a question concerning which Jubal maintained a meticulous intellectual neutrality) and if He desired to be worshiped (a proposition which Jubal found inherently improbable but conceivably possible in the dim light of his own ignorance), then (stipulating affirmatively both the above) it nevertheless seemed wildly unlikely to Jubal to the point of reductio ad absurdum that a God potent to shape galaxies would be titillated and swayed by the whoop-te-do nonsense the Fosterites offered Him as "worship.
Johann Wolfgang von Goethe, The Sorrows of Young Werther and Selected Writings|The black land slid by and he was going into the country among the hills. For the first time in a dozen years the stars were coming out above him, in great processions of wheeling fire. He saw a great juggernaut of stars form in the sky and threaten to roll over and crush him... the river was mild and leisurely, going away from the people who ate shadows for breakfast and steam for lunch and vapors for supper. The river was very real; it held him comfortably and gave him the time at last, the leisure, to consider this month, this year, and a lifetime of years. He listened to his heart slow. His thoughts stopped rushing with his blood.
Nabil TOUSSI|when they asked me : why you still you use this old photo?my answer : photo? it's not a simple photo, it's a cover of a book that i can remember his story, page by page.
Orrin Woodward|Most complain about dried up lawns; others envy a neighbor's green lawn, but winners learn from all lawns while cultivating their own.
Walter Scott, The Heart of Mid-Lothian|My name is Inigo Montoya, you killed my father, prepare to die!
kamal parvez, A girl braked a poor boys heart when he was alone in his city for her .#1|There are two types of people in the world,someone believes in love and someone does not:~>
Tessa Dare, Beauty and the Blacksmith|I am like a little child naked in a strong wind. I have a fever, I shiver, I'm too hot or too cold. My lips retain the unusual fruity taste of your mouth, & the bitter taste of your saliva lingers on my tongue, making me find everything I eat bland, sickening since nothing is as good as your love.
George R.R. Martin, A Dance with Dragons|One voyage to the East and a man could live as rich as a lord until the end of his days. When he'd been younger, Davos had dreamed of making such voyages himself. But the years went dancing by like moths around a flame, and somehow the time had never been quite right.
D.H. Lawrence, Lady Chatterley's Lover|I am extraordinarily patient, provided I get my own way in the end.
Richelle Mead, The Indigo Spell|We try so hard to hide everything we're really feeling from those who probably need to know our true feelings the most. People try to bottle up their emotions, as if it's somehow wrong to have natural reactions to life.
Kang Chol-Hwan, The Aquariums of Pyongyang: Ten Years in the North Korean Gulag|At the time, I remained relatively calm before that spectacle of horrors, which is perhaps the most telling indication of just how desensitized I had become. The more I witnessed such atrocities and rubbed shoulders with death, the more I desired to stay alive, no matter the cost.
Edith Wharton|The visible world is a daily miracle, for those who have eyes and ears.
John Geddes, A Familiar Rain|The game had to be played the same way every day or the pieces would fall to the floor, the board would collapse, and the illusion that you were shaping your own life, that you were in control, would break.
John Patrick Hickey, Oops! Did I Really Post That|We watch death and destruction on TV, in movies, over the news and online so much that it is just a part of our lives. It was never meant to be that way. In the end, we have paid a heavy price for our curiosity.
Sanhita Baruah|Sometimes, he gets on my nerves;At other times, I burn the ladder.
Sheri Cobb South, The Weaver Takes a Wife|If your brother can't 'old 'is own against a bunch of orphans, 'e'd best leave off playing 'azard altogether!
Mary Karr, Lit|In the meantime, Mary's mother continued to stock her daughter's 'bottom drawer' which she started when Mary was only five years old.  When we got engaged the 'drawer' was already well stocked but by the time we got married it was more like a well-endowed wardrobe. 
Edward Hirsch|When I was writing pretty poor poetry, this girl with midnight black hair told me to go on.
Preeti Shenoy, It Happens for a Reason|Nothing like the pure, unpolluted air we get to breathe in these mountains, and nothing like being away from cities.
Eliza Coupe|Sure, the comedians who swear or use scatological humor can get laughs, but they're uncomfortable laughs.
Kurt Vonnegut Jr.|A book is an arrangement of twenty-six phonetic symbols, ten numerals, and about eight punctuation marks, and people can cast their eyes over these and envision the eruption of Mount Vesuvius or the Battle of Waterloo.
Helen Grant, The Vanishing of Katharina Linden|What was really unfair about the whole thing was that Oma Kristel hadn't so much exploded as spontaneously combusted. But Gossip is Baron Münchhausen's little sister, and never lets the truth get in the way of a good story.
Maria Montessori|Don't get hung up on the size. If you feel bad about yourself because a 12 is what fits, take a Sharpie, and write '6' on the label.
Veronica Rossi, Under the Never Sky|Your voice sounds like a midnight fire. All warm and worn in and golden. I could listen to you talk forever." "I could never do that". She laughed at him. He brought his lips to her ear. "Your scent is like violets early in spring," he whispered. Then he laughed at himself because though it was true, he sounded like the worst kind of fool.
Galina Nelson|For good-intentioned people making decisions, there's no such thing as a bad choice. So it doesn't matter what you choose. Choose something, then deliberately line up with the choice you make. This is the art of alignment and allowing. (paraphrased)
David Wu|The president has listened to some people, the so-called Vulcans in the White House, the ideologues. But you know, unlike the Vulcans of Star Trek who made the decisions based on logic and fact, these guys make it on ideology. These aren't Vulcans. There are Klingons in the White House. But unlike the real Klingons of Star Trek, these Klingons have never fought a battle of their own. Don't let faux Klingons send real Americans to war.
Mahatma Gandhi|Talent develops in tranquility, character in the full current of human life.
Euginia Herlihy|Saying ‘I love you’ every day’ to your loved ones is not required, but if you say it, what will you lose?
Madonna|I stand for freedom of expression, doing what you believe in, and going after your dreams.
Pat Mora|I did realize, as do you, how blessed I was to know bookjoy, the private pleasure of savoring text.
Clifford Cohen|The last week hadn’t been any better, come to think of it. On Monday they arrived at Gorda, just to find that the cargo of electronics he was to ship to Beowulf had been taken by another freighter for a lower fee. It took him until Wednesday before he found another cargo – which had to reach Earth by Saturday. The last straw was when his crew mutinied a day out of the Hermes system and demanded a pay increase. The union tended to call that sort of thing “collective bargaining”, not actually mutiny, but hey – the results are the same. He tended to favor the term “piracy”, but this wasn’t the high seas and out here, there were real pirates to worry about. His former crew had also wanted more time off and a better cook – at least one who knew how which end of a frying pan to hold. He was unable to comply, and so was forced to stop at Beowulf anyway. That was the last time he saw them. Fortunately for him, Weaver, Fuller and Jang opted to stay with him. Whether it was out of loyalty, or perhaps just convenience, he never knew.
M.F.K. Fisher, The Art of Eating|I sat in the gradually chilling room, thinking of my whole past the way a drowning man is supposed to, and it seemed part of the present, part of the gray cold and the beggar woman without a face and the moulting birds frozen to their own filth in the Orangerie. I know now I was in the throes of some small glandular crisis, a sublimated bilious attack, a flick from the whip of melancholia, but then it was terrifying...nameless....
Sara Shepard, Twisted|Remember Grace, if you let anger into your heart, it will push out your ability to love.
John Geddes, A Familiar Rain|...you can have a dark heart and be a writer, but you can't have a black one..
Arthur Schopenhauer, The Art of Literature|No one writes anything worth writing, unless he writes entirely for the sake of his subject.
Leslie Ludy, When God Writes Your Life Story: Experience the Ultimate Adventure|[There] is . . . a problem that bedevils all of us as members of communities of believers. I call this problem our disagreement deficit, and it comes in four parts. . . . First, our communities expose us to disproportionate support for our own ideas. Second, they shield us from the disagreement of outsiders. Third, they cause us to disregard whatever outside disagreement we do encounter. Finally, they quash the development of disagreement from within.
T. J. Thyne|Fighting for one's freedom, struggling towards being free, is like struggling to be a poet or a good Christian or a good Jew or a good Muslim or good Zen Buddhist. You work all day long and achieve some kind of level of success by nightfall, go to sleep and wake up the next morning with the job still to be done. So you start all over again.
Lailah Gifty Akita|The problem with the prosperity gospel is that it makes prosperity the Gospel. God's word is flawless, however if your interpretation of the word is wrong, your application will be wrong also.
Stieg Larsson, The Girl with the Dragon Tattoo|Armageddon was yesterday, today we have a serious problem.
Abhijit Naskar, The Islamophobic Civilization: Voyage of Acceptance|Why should a religion claim that it is not bound to abide by the standpoint of reason! If one does not take the standard of reason, there cannot be any true judgment, even in the case of religion.
Hiccup Horrendous Haddock, How to Train Your Dragon|Toothless? Hey, it’s me, bud. It’s me. It’s me, I’m right here, bud. Come back to me. It wasn’t your fault, bud. They… made you do it. You’d never hurt him. You’d never hurt me! Please, you.. are my best friend, bud… My best friend.
Nicholas Carr, The Shallows: What the Internet Is Doing to Our Brains|I call it the Goldilocks effect: We can't get enough of each other if we can have each other at a digital distance—not too close, not too far, just right. But human relationships are rich, messy, and demanding. When we clean them up with technology, we move from conversation to the efficiency of mere connection. I fear we forget the difference.
Richard Wagner|I always loved designing, but the context needs to be right, and have a positive perspective.
Federico Fellini|I feel like the Internet needs to be disarmed in some way. There needs to be a philosophical undermining of the Internet. We take it too seriously and too literally. For a reference we go to Wikipedia, which is full of inaccuracies and misinformation. It's kind of beautiful - it's all the product of imagination; it's not reality at all.
James Ferron Anderson, TERMINAL CITY|What kind of man will feel depressed at being idle? There is nothing finer than to be alone with nothing to distract him.If you follow the ways of the world, your heart will be drawn to its sensual defilements and easily led astray; if you go among people, your words will be guided by others' responses rather than come from your heart. There is nothing firm or stable in a life spent between larking about together and quarreling exuberant one moment, aggrieved and resentful the next. You are forever pondering pros and cons, endlessly absorbed in questions of gain and loss. And on top of delusion comes drunkenness, and in that drunkenness you dream.
Unarine Ramaru|Change or you will be changed: leaders who neglect the good of their people will be forsaken. Leadership is a service, not a gateway to privilege.
Oscar Wilde, The Picture of Dorian Gray|Every plant is an individual.Wrong again. We are not individuals at all, we are all connected. We are individuals the way each blossom on an apple tree is an individual.
Mary Karr, Lit|Such a small, pure object a poem could be, made of nothing but air a tiny string of letters, maybe small enough to fit in the palm of your hand. But it could blow everybody's head off.
Dan Simmons|To see and feel one's beloved naked for the first time is one of life's pure, irreducible epiphanies. If there is a true religion in the universe, it must include that truth of contact or be forever hollow.
Lindsey Johnson|If a black black cat crosses your path, it suggests that the animal is going somewhere.
Jim Bouton, Ball Four|We can choose to humble ourselves by receiving counsel and chastisement. We can choose to humble ourselves by forgiving those who have offended us. We can choose to humble ourselves by rendering selfless service. We can choose to humble ourselves by going on missions and preaching the word that can humble others. We can choose to humble ourselves by getting to the temple more frequently. We can choose to humble ourselves by confessing and forsaking our sins and being born of God. We can choose to humble ourselves by loving God, submitting our will to His, and putting Him first in our lives. Let us choose to be humble. We can do it. I know we can.
Jason R. Thrift, The Civilization Loop: The End Is the Beginning|The world's a headmaster who works on your faults. I don't mean in a mystical or Jesus way. More how you'll keep tripping over a hidden step, over and over, till you finally understand: Watch out for that step! Everything that's wrong with us, if we're too selfish or too Yessir, Nosir, Three bags full sir or too anything, that's a hidden step. Either you suffer the consequences of not noticing your fault forever or, one day, you do notice it, and fix it. Joke is, once you get it into your brain about that hidden step and think, Hey, life isn't such a shithouse after all again, then BUMP! Down you go, a whole new flight of hidden steps.There are always more.
Jill Shalvis, Slow Heat|There was a group of fans who wanted autographs, and several women who managed to write their phone numbers on Wade's hand before he pulled free.Sam sent him an arched brow, but he just shrugged. He got numbers written on him a lot; he'd never figured out how to stop that from happening.
Maggie Stiefvater|I want to fall asleep next to you every night even when you’re cranky. I want to wake up next to you every morning even when I’m grumpy. I love the fact that when you snore it sounds a little like your wolf. I love that your mind is just as scheming as mine. I love the tiny smile you show only me after we’ve made love. I love the compassion you show to your subjects when other Rulers wouldn’t, but at the same time your intelligence and determination when you know you can’t. I love how loyal you are to those you love. And when it’s time to have children, you’re the one I want to have them with.
Nikki Rowe|Love is not a shining star. Love is not the warm glow of the sun. Love is a river. Sometimes it’s shallow and other times a mile deep. It flows toward some and away from others. It’s rocky, slippery, and you can drown in it if you’re not careful. It creates ripples in the lives around us, and all we can hope for is to be a part of that river, no matter where it leads or how short the journey may be.I hoped one day to be deep in the waters of a river that flowed back to me, one that spanned such a distance that I couldn’t see the shore.But I knew in my heart I would always be the one standing on the outside, watching others fall into the deep end.
Jon Morrison, Clear Minds & Dirty Feet: A Reason to Hope, a Message to Share|What we got is NOW, Huck, and now is forever. Until it ain't. So, you can't worry over nothing except putting off the end a your story as long as you can, and finishing it with a bang.
Craig D. Lounsbrough|We are quick to surrender that which we deem as long dead, when God is quick to restore that which He deems as never really having lived.
Mokokoma Mokhonoana|To see a man’s true colours, tell him that you don’t plan on having sex with him. To see a woman’s true colours, tell her that you don’t plan on marrying her.
Matt      Chandler, The Explicit Gospel|I think we should stop treating ["God works in mysterious ways"] as any kind of wisdom and recognize it as the transparently defensive propaganda that it is. A positive response might be, "Oh good! I love a mystery. Let's see if we can solve this one, too. Do you have any ideas?
Farooq A. Shiekh|.......Love is such a biological feeling, which kills, without killing you biologically.
Grimes|I always said that if I could just find a guy who could chop wood and had a nice smile, it wouldn't bother me if he was a thug or an aristocrat, as long as he was a good guy. And I've ended up with an educated thug.
Andrew Davidson|Some day soon," Lance said, "you'll walk out of here and have to decide how you're going to live the rest of your lives. Will you be defined by what other people see, or by the essence of your soul?
Roy T. Bennett|The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure. You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.
Carolyn Jewel, In the Duke's Arms|She laughed, and the duke might actually have smiled, though one could never be certain.
Sam Harris, Free Will|You are not controlling the storm, and you are not lost in it. You are the storm.
Hannah Hart|Not giving him booze, are you? He's a little young for it.
Dembe Michael|Don’t let your dream die! Keep it sharp and clear in your own mind. Honor it and vow to keep moving toward it, no matter what it takes.
Gift Gugu Mona|There are consequence every action, whether evil or good.
Marcel Proust, Jean Santeuil|When Jean and his mother left Etreuilles, Monsieur Sureau had gathered for them great boxfuls of hawthorn and of snowballs which Madame Santeuil had not the courage to refuse. But, as soon as Jean's uncle had gone home, she threw them away, saying that they already had more than enough in the way of luggage. And then Jean cried because he had been separated from the darling creatures which he would have liked to take with him to Paris, and because of his mother's naughtiness.
John R. Dallas Jr., We Need to Have a Word: Words of Wisdom, Courage and Patience for Work, Home and Everywhere|With best thoughts, words and actions we align our past, present and future.
Jennifer Lawrence|I like to look like a person. It drives me crazy when you see women in movies playing teachers, and they have biceps. It totally takes me out of the movie. I start thinking, Wow, that actress playing this part really looks great!
Ralph Waldo Emerson|The pain passes, but the beauty remains.
Neal A. Maxwell|Each of us will have our own Fridays—those days when the universe itself seems shattered and the shards of our world lie littered about us in pieces. We all will experience those broken times when it seems we can never be put together again. We will all have our Fridays. But I testify to you in the name of the One who conquered death—Sunday will come. In the darkness of our sorrow, Sunday will come. No matter our desperation, no matter our grief, Sunday will come. In this life or the next, Sunday will come.
Oriana Fallaci|The society in 'The Handmaid's Tale' is a throwback to the early Puritans whom I studied extensively at Harvard under Perry Miller, to whom the book is dedicated.
Salman Rushdie|It was important not to offend against the laws of magic. If a woman left you it was because you did not cast the right spell over her, or else because someone else cast a stronger enchantment than yours, or else because your marriage was cursed in such a way that it cut the ties of love between husband and wife. Why did So-and-so enjoy success in his businesses? Because he visited the right enchanter. There was a thing in the emperor that rebelled against all this flummery, for was it not a kind of infantilization of the self to give up one's power of agency and believe that such power resided outside oneself rather than within? This was also his objection to God, that his existence deprived human beings of the right to form ethical structures by themselves.
Lailah Gifty Akita|If we knew all the answers, there will be no research.
Alfred de Vigny, Stello|Hope is the greatest madness. What can we expect of a world that we enter with the assurance of seeing our fathers and mothers die? A world where, if two beings love each other and give their lives to each other, both can be sure that one will watch the other perish?
kent Ian N. Cny|A minute or so passed by--not long, but long enough to make me wonder whether Oliver was setting up mood lighting or hiding dead bodies. Or if someone was up there waiting to stab me again. Or if someone was up there waiting to hand me a crown and tell me I was the long-lost princess of Genovia. Or if I'd tumble into a pit of lava, only to get saved at the last second by a flying carpet.
Cassandra Clare, Nothing but Shadows|Would you like me to magically strip you and put you in gear?” Mr. Fell asked. “In front of everybody?”“That would be a thrill for everybody, I’m sure,” said Matthew. Ragnor Fell wiggled his fingers, and green sparks spat from his fingertips. James was pleased to see Matthew actually take a step back. “Might be too thrilling for a Wednesday,” Matthew said. “I’ll go put on my gear then, shall I?”“Do,” said Ragnor.
Anurag Shourie, Half A Shadow|I have walked in Death to the very precipice of the Ninth Gate," Abhorsen said quietly. "I know the secrets and horrors of the Nine Precincts. I do not know what lies beyond, but everything that lives must go there, in the proper time. That is the rule that governs our work as the Abhorsen, but it also governs us. You are the fifty-third Abhorsen, Sabriel. I have not taught you as well as I should—let this be my final lesson. Everyone and everything has a time to die.
Steve Bivans, Be a Hobbit, Save the Earth: the Guide to Sustainable Shire Living|What’s interesting is that most free-marketers don’t seem to want a free market at all, but a status quo market. The market in the United States is anything but free. If it were, big business would have to survive without corporate welfare to the tune of about $1 trillion (that’s trillion) in government subsidies, the majority of which, about $650 billion, go to the fossil fuel industry! They are living off of the public dole on subsidies totaling billions of dollars—that we hand out either directly, or through tax breaks for their big corporations—with the false assumption that they are creating jobs. They are not. They are creating yachts, Leer Jets, and McMansions with swimming pools.
T. J. Miller|I have a teacher friend who gets nervous when there's $200 in her account. But at least she knows that in a week, she'll get another paycheck. I have no idea.
Olaotan Fawehinmi, If I Were A Girl, I Would Not...|When you truly love someone, his/her weaknesses are not meant to be discussed with other people, they are meant to be understood by you.
Julian Fellowes, Past Imperfect|Los Angeles is a town where status is all and status is only given to success. Dukes and millionaires and playboys by the dozen may arrive and be glad-handed for a time, but they are unwise if they choose to live there because the town is, perhaps even creditably, committed to recognising only professional success, and nothing else, to be of lasting value. The burdensome obligation imposed on all its inhabitants is therefore to present themselves as successes, because otherwise they forfeit their right to respect in that environment ... There is no place in that town for the "interesting failure" or for anyone who is not determined on a life that will be shaped in a upward-heading curve.
Peter Kreeft, Pocket Handbook of Christian Apologetics|Argumentation is a human enterprise that is embedded in a larger social and psychological context. This context includes (1) the total psyches of the two persons engaged in dialogue, (2) the relationship between the two persons, (3) the immediate situation in which they find themselves and (4) the larger social, cultural and historical situation surrounding them.
Alice Oswald|I don't think I've ever read poetry, ever. I'm not really book-smart.
Madhuri Dixit|In an instant, the law was transformed: from the last passenger on the safe-haven bandwagon to a pioneer into uncharted territory. For the first time in American history, it was not only legal to relinquish a baby; in Nebraska, it was okay to abandon any child of any age for any reason at any time - with the full protection of the law.
John Steinbeck, The Moon Is Down|He committed the crime of stupidity while under my command," said Citizen."Oh my," said Rigg. "They're handing out the death penalty for that these days?
Auliq-Ice|Happiness softens trials, changes perspective, elevates attitudes, focuses attention, redirects negativity, empowers us to see more clearly, and expands, widens, lifts, ennobles and deepens the sense of meaning and purpose we discover in life.
Tehya Sky, A Ceremony Called Life: When Your Morning Coffee Is as Sacred as Holy Water|As we stand before this sacred doorway [the doorway to meaning], we realize its response to us is conditional, albeit only in the sense that it’s reflective. If we stand before it arrogant and haughty, indeed the door will remained locked. If we stand before it in doubt, it will disappear. If we knock upon it distracted, our minds somewhere else, we fail to see it open. Anyone in the world can go through it, and there could never be a key. Yet it opens only when we approach it in a certain, truthful way. Otherwise, we may not notice its openness and its infinite offering again and again.To pass into this fertile land of meaning, we must arrive in reverence. We must approach the door in silence, focused upon the primordial pulse of our beings and all of life. We must allow ourselves to open into acceptance, for within acceptance lives our accountability and, therefore, our ability to extract meaning for our growth—and the possibility for things to come to life. We must allow ourselves to be released into the current, the movement of acceptance, otherwise known as surrender, so that we may be taken and discovered unto ourselves. And once we are through, by God, we must celebrate, for what else is there to do?
Tana French, The Secret Place|I always thought I wasn't afraid to die. No... no one is afraid of death itself. Your pain and suffering is over in an instant. What really makes me suffer... Is seeing you crying over me... From the darkness of the Milky Way.I'm sorry... Please don't make that face. You look best shdn you're smiling, you know.
Sherman Alexie|Dear Josh, we stopped by to fuck you but you didn't answer the door. Therefore you are gay. Sincerely, Tiffany and Amber.
Arnold Edinborough|Curiosity and irreverence go together. Curiosity cannot exist without the other. Curiosity asks, "Is this true?" "Just because this has always been the way, is the best or right way of life, the best or right religion, political or economic value, morality?" To the questioner, nothing is sacred. He detests dogma, defies any finite definition of morality, rebels against any repression of a free, open search of ideas no matter where they may lead. He is challenging, insulting, agitating, discrediting. He stirs unrest.
Tim McGraw|The purpose of a moral philosophy is not to look delightfully strange and counterintuitive or to provide employment to bioethicists. The purpose is to guide our choices toward life, health, beauty, happiness, fun, laughter, challenge, and learning.
John Crowley, Little, Big|If you know how to read, the World of Books is open to you, after all; and if you like to read, you'll read. If you don't, you'll forget whatever anybody makes you read, anyway.
Amy Harmon, From Sand and Ash|They Learn to speak... and when they were at level "AVERAGE", they started making the rules and starting to shout.
Margaret Atwood|I try to combine in my paintings cinematic feeling, emotional feeling, and sometimes actually writing on the page to combine all the different elements of communication.
Gerald Durrell, My Family and Other Animals|Autumn is an interesting season, even in the metaphor of life, is a time of decline, of loss, but also intense and haunting beauty.Some places, like some people, never are, or have been, as beautiful in their fall.
Mia Asher, Arsen: A Broken Love Story|Love is never supposed to hurt. Love is supposed to heal, to be your haven from misery, to make living fucking worthwhile.
Rachel La Rae Wilhelm|Life is not a journey to the grave with the intention of arriving safely in a pretty and well-preserved body. But rather, to skid in broadside, thoroughly used up, totally worn out, and loudly proclaiming .... WoW, what a ride.
Muhammad Iqbal|It is through science that we prove, but through intuition that we discover.
Le Testament d'Orphée|We clear the harbor and the wind catches her sails and my beautiful ship leans over ever so gracefully, and her elegant bow cuts cleanly into the increasing chop of the waves. I take a deep breath and my chest expands and my heart starts thumping so strongly I fear the others might see it beat through the cloth of my jacket. I face the wind and my lips peel back from my teeth in a grin of pure joy.
Debasish Mridha|Love, just to love. Don't wait for a reason to love. That is selfishness.
Neil Gorsuch|We have always been prepared to negotiate with the U.S. government everything that has to do with bilateral relations, on a basis of the strictest mutual respect for the sovereign rights of each country. We will never try to ask the government of the United States to change its economic and political system.
Augustine of Hippo|But perhaps there are insensitive hearts, still incapable of receiving this Light because the weight of their sins prevents them from seeing it. Let them not imagine that they Light is absent because they do not see it, for on account of their sins they are in darkness. ‘And the Light shone in the darkness, and the darkness understood it not’ (Jn 1:5). Therefore, Brothers, like the blind man exposed to the sun, the sun being present to him but he being absent from the sun, so the insensitive one, the sinner, the impious has a blind heart.
Jim Butcher, Small Favor|The characters within a book were, from a certain point of view, identical on some fundamental level ‒ there weren't any images of them, no physical tangibility whatsoever. They were pictures in the reader's head, constructs of imagination and ideas, given shape by the writer's work and skill and the reader's imagination. Parents, of a sort.
Gary Larson, The Far Side|The relief of opening one's hand and letting go was immense. But soon after, I tightened again. A desire for revenge, a strange revenge.
Anthony Liccione|Don't play to beat someone, play to win.
Marie Rutkoski, Bridge of Snow|Underwater madness slipping into a haze, drowning and choking in repugnant nostalgic thoughts.
Susie Morgenstern, Secret Letters From 0 To 10|Do other dads not end their phone calls with existential despair? Because that's what my dad does. Papa ends most of his calls with me the way you might close a conversation with someone you want to menace. "Anyway," he'll say, "I'll be here. Staring into the abyss." Or, when I have given him good news, "The talented will rule and the rest will perish in the sea of mediocrity." Or, when I have given him bad news, "I am for for everything that happens to you, as everything is my fault." He never ends with anything that couldn't one day be construed as a tragic yet comic last word.
Douglas Adams, The Hitchhiker's Guide to the Galaxy|The argument goes something like this: "I refuse to prove that I exist," says God, "for proof denies faith, and without faith I am nothing.
S.R. Ford, Mimgardr|If you’re so far down the totem pole that someone considers it a favor to you just to have you in their circle (no matter how far outside the ring you are), you should probably cut them out of yours.
Tonny K. Brown|My Prayer? Oh' Lord give me the mind of a warrior that has been taught to fear your name, The soul of a prophet with the tongue and courage to speak truth though I be surrounded by those that despise it and the heart of a boy that believes he can slay a giant
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|If you never love, then you never lived.
Olga Kurylenko|I think it's important for us as a society to remember that the youth within juvenile justice systems are, most of the time, youths who simply haven't had the right mentors and supporters around them - because of circumstances beyond their control.
John Paul II, Pope John Paul II: In My Own Words|I plead with you--never, ever give up on hope, never doubt, never tire, and never become discouraged. Be not afraid.
Paul J. Meyer|It seems to me we can never give up longing and wishing while we are thoroughly alive. There are certain things we feel to be beautiful and good, and we must hunger after them.
Seneca|I began to recall my own experience when I was Mercutio’s age (late teens I decided, a year or two older than Romeo) as a pupil at a public school called Christ’s Hospital. This school is situated in the idyllic countryside of the Sussex Weald, just outside Horsham. I recalled the strange blend of raucousness and intellect amongst the cloisters, the fighting, the sport, and general sense of rebelliousness, of not wishing to seem conventional (this was the sixties); in the sixth form (we were called Grecians) the rarefied atmosphere, the assumption that of course we would go to Oxford or Cambridge; the adoption of an ascetic style, of Zen Buddhism, of baroque opera, the Velvet Underground, Frank Zappa, and Mahler; of Pound, Eliot and e. e. cummings. We perceived the world completely through art and culture. We were very young, very wise, and possessed of a kind of innocent cynicism. We wore yellow stockings, knee breeches, and an ankle length dark blue coat, with silver buttons. We had read Proust, we had read Evelyn Waugh, we knew what was what. There was a sense, fostered by us and by many teachers, that we were already up there with Lamb, Coleridge, and all the other great men who had been educated there. We certainly thought that we soared ‘above a common bound’. I suppose it is a process of constant mythologizing that is attempted at any public school. Tom Brown’s Schooldays is a good example. Girls were objects of both romantic and purely sexual, fantasy; beautiful, distant, mysterious, unobtainable, and, quite simply, not there. The real vessel for emotional exchange, whether sexually expressed or not, were our own intense friendships with each other. The process of my perceptions of Mercutio intermingling with my emotional memory continued intermittently, up to and including rehearsals. I am now aware that that possibly I re-constructed my memory somewhat, mythologised it even, excising what was irrelevant, emphasising what was useful, to accord with how I was beginning to see the part, and what I wanted to express with it. What I was seeing in Mercutio was his grief and pain at impending separation from Romeo, so I suppose I sensitised myself to that period of my life when male bonding was at its strongest for me.
Neil Postman, Amusing Ourselves to Death: Public Discourse in the Age of Show Business|Light always trumps darkness. It always has, and it always will. Therefore... if you believe that your world is darkening...if you believe that the culture of your nation is growing dimmer by the year...don't blame it on the dark! Darkness is only doing what darkness does."If darkness is winning the battles, my friend, it is because light is not doing it's job. You are light. So wake up. Wake up.
Asper Blurry, Train to the Edge of the Moon|Illusion"A man wants to be freeflying in the emptiness of the universeHe thinks he means somethingin the endlessness of natureA man wakes upbeing only a dust
Swami Vivekananda, Complete Works of Swami Vivekananda, 9 Vols.|My dear Arjuna, only by undivided devotional service can I be understood as I am, standing before you, and can thus be seen directly. Only in this way can you enter into the mysteries of My understanding.
Rodney Page, Powers Not Delegated|As the campaign progressed, Armistead remembered what his parents had taught him: If you never tell a lie, you won't have to remember what you said.He subsequently developed a perverse respect for politicians who had mastered the art of spin. It was a skill to produce an answer having nothing to do with the question.He didn't think he was crafty enough to do it.
Rachael Wade, Love and Relativity|You think when someone you love passes away, everything becomes clearer, that your priorities and perspectives align in a way they’ve never aligned before because of the sobriety of it all. But it doesn’t. Those revelations just become skewed and distorted until you’re forced to rewrite them entirely. You can’t walk straight on a new path when you have too much luggage on your back. You just keep swerving, trying to find a way to accommodate the weight, but it’s all dead and you know it’s going to take you down. The only answer is to reroute.-Emma
Clyde Tombaugh|Death is the ugly fact which Nature has to hide, and she hides it well.
Mark  Lawrence, Prince of Thorns|When they killed him, Mother wouldn't hold her peace, so they slit her throat. I was stupid then, being only nine, and I fought to save them both. But the thorns held me tight. I've learned to appreciate thorns since. The thorns taught me the game. They let me understand what all those grim and serious men who've fought the Hundred War have yet to learn. You can only win the game when you understand that it IS a game. Let a man play chess, and tell him that every pawn is his friend. Let him think both bishops holy. Let him remember happy days in the shadows of his castles. Let him love his queen. Watch him loose them all.
