P.C. Cast|Damien has died and gone straight to gay boy heaven,' Shaunee said...
Cornelia Funke, Inkheart|The only thing that you absolutely have to know, is the location of the library.
Leslie Fiedler|You have this ability in hip hop to be invincibly cool, and that is a part of G-Eazy.
Winston Graham, Jeremy Poldark|What the hell do you think you are doing, creeping about in the night in woman's clothing? I could just as easily have killed you?"	The sheer audacity of her remark rendered him speechless for a moment, and then Finlay laughed. "This, senorita, is a kilt, not a skirt, and you did not for a moment come close to killing me, though I don't doubt that you'd have tried if I'd given you half a chance.
Eve Forward, Villains by Necessity|Now you see. We are all fugitives. We have always been fugitives from the void. Whatever comfort, whatever power we gain from outside of ourselves diminishes us -- because comfort and power, unless they are won from the void inside of us, are illusions that make us forget the emptyness that carries us. When we forget that, we believe we deserve comfort and power and so are capable of any evil. We deserve nothing but what we make of ourselves. We deserve nothing else. And when we understand that, then nothing is enough.
Abhijit Naskar, Principia Humanitas|Fundamentalism of any kind, be it religious, atheistic, political or educational, is the greatest threat to human excellence – it is a threat to progress – it is a threat to greatness.
Irfa Rahat|We always talk about our feelings, neglecting the important matters that have to be look over.
Milan Kundera, Identity|Just ask how I'm feeling, I want to say. Just ask and I may tell you.But no one does.
Marcel Proust, Swann's Way|It has since struck me as one of the most touching aspects of the part played in life by these idle, painstaking women that they devote all their generosity, all their talent, their transferable dreams of sentimental beauty (for, like all artists, they never seek to realise the value of those dreams, or to enclose them in the four-square frame of everyday life), and their gold, which counts for little, to the fashioning of a fine and precious setting for the rubbed and scratched and ill-polished lives of men.
Jan Karon, A Light in the Window|Love is an actual need, an urgent requirement of the heart," he read aloud from an old essay on marriage that he found in his files."Every properly constituted human being who entertains an appreciation of loneliness...and looks forward to happiness and content feels the necessity of loving. Without it, life is unfinished...
Ally Carter, Heist Society|You know" - Hale's breath was warm against Kat's ear in the chilly ballroom- "I don't know that both of us really have to be here...." The slide changed. While hundreds of mathematicians waited with baited breath, the boy beside Kat whispered,"I could go make some calls... check on some things...""Play some blackjack?""Well, when in Rome...""Rome is tomorrow, babe," Kat reminded him.He nodded. "Right.
Peggy Kopman-Owens, The Mist of Montmartre|In Paris, women were not considered interesting until they were middle-aged. The Mist of Montmartre
Libba Bray, Going Bovine|She righted herself, her balance returning. Had she really thought the world didn't change? She was a fool. The world was made of miracles, unexpected earthquakes, storms that came from nowhere and might reshape a continent. The boy beside her. The future before her. Anything was possible.
Maria V. Snyder, Power Study|It's ironic..here is life passing, like clouds drifting over the sky, yet they don't see what's in front of them. They believe there is something more substantial going on in that little screen in their hands.
Crystal Woods, Write like no one is reading 2|Sometimes, as in a game of chess, we must strategically regress so that we might progress toward our ultimate objective.
Marian Deegan, Relevance: Matter More|At the end of the day, only what we do for Christ will last. Appreciate each day, one another, and the vessels God may use to acknowledge our individual and collective skillsets and let’s always remember the importance of planting seeds in our own lives, i.e., investing in ourselves and our spiritual purpose. If we can achieve this, we will be able to reflect on the journey and see the legacy we have built for our loved ones and the blessings we have sewn for God’s glory.
Carl Hiaasen, Nature Girl|From the bow of the canoe she asked, "Do you know a rain dance?""First I need a virgin.
Tony Dovale|Greeders who plunder and steal from their people - not only steal their supporters and their childrens' future, but they also smash their mindsets and create learned helplessness that ensures people stay small.
Dianna Hardy, The Witching Pen|He pulled out a dagger from ... she wasn't sure where. Did he have that in his loin cloth? What else does he have in there? (Amy's thoughts, The Witching Pen)
Gayle Forman, Just One Day|A photograph can communicate a couple things— and sometimes only one thing—very well. The more you try to say with your photograph, the greater the chance that you will say nothing at all.
Julie Anne Peters|If he had learned anything from his father’s fate, it was to win, no matter how you did it. It was not important if someone else was hurt, or killed. If you won, you would be forgiven anything. You could be taken from a stinking ger and forced through the ranks until a thousand men followed your orders as if they came from the khan himself. Blood and talent. The nation was built on both.
George Lucas|It is not in life, but in art that self-fulfillment is to be found.
Ana Claudia Antunes, ACross Tic|In peace we play and freedom ring, Now let us enjoy a mantra to sing, Down here we know that today Elated it's a really sunny day,Play: It's Independence Day!Ensure you celebrate with joyful thought Never forget that for freedom we fought Dance and sing we never forgot Erase all doubts of what we got.Now it's time to celebrate, Chant hymns and vibrate! Expectations must be met. Don't give up and don't forget.As sometimes it's the only wayYield for freedom, learn to play.
Ketan Waghmare|Look, he's winding up the watch of his wit; by and by it will strike.
Will Advise, Nothing is here...|While you're taking your minute to think, consider the possible outcomes. Immediately discard any that involve making the Bully back down and admit that you're right. You cannot be right and effective at the same time.
Maggie Stiefvater, Shiver|It's rude to stare, but the great thing about staring at a sedated person is that they don't know you're doing it.
Kahlil Gibran, The Prophet|Your joy is your sorrow unmasked. And the selfsame well from which your laughter rises was oftentimes filled with your tears. And how else can it be? The deeper that sorrow carves into your being, the more joy you can contain. When you are joyous, look deep into your heart and you shall find it is only that which has given you sorrow that is giving you joy.When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.
H.G. Wells, The Time Machine|We should strive to welcome change and challenges, because they are what help us grow. With out them we grow weak like the Eloi in comfort and security. We need to constantly be challenging ourselves in order to strengthen our character and increase our intelligence. 
Pet Torres, Ardent Affection|However, I have an enormous desire to change his way of life and try to re-educate him with the ingredient called ardent affection.~Emily
Bangambiki Habyarimana, Pearls Of Eternity|When the world around is ready to back one unconditionally, one can become as unreasonable, unfair, and coldly sadistic as one likes.
Katharine Hepburn|What courage basically comes down to as human beings is to protect the lives of others, to go out of your way to save others.” “When a baby comes out of its mother and it moves and breathes and it’s alive, you have to do the courageous . . . you have to do the right thing,” Cameron said. “You have to protect it.
Kathleen Norris, Dakota: A Spiritual Geography|Change is still resented on the Plains, so much so much so that many small-town people cling to the dangerous notion that while the world outside may change drastically, their town does not...... when myth dictates that the town has not really changed, ways of adapting to new social and economic conditions are rejected: not vigorously, but with a strangely resolute inertia...Combatting inertia in a town such as Lemmon can seem like raising the dead. It is painful to watch intelligent business people who are dedicated to the welfare of the town spend most of their energy combatting those more set in their ways. Community spirit can still work wonders here - people raised over $500,000 in the hard times of the late 1980s to keep the Lemmon nursing home open...By the time a town is 75 or 100 years old, it may be filled with those who have come to idealize their isolation. Often these are people who never left at all, or fled back to the safety of the town after a try at college a few hundred miles from home, or returned after college regarding the values of the broader, more pluralistic world they had encountered as something to protect themselves and their families from...More than ever, I've come to see conspiracy theories as the refuge of those who have lost their natural curiosity to cope with change.
Thomas Mann, Death in Venice and Other Tales|He took in the squeaky music, the vulgar and pining melodies, because passion immobilizes good taste and seriously considers what soberly would be thought of as funny and to be resented.
Crystal Woods, Write like no one is reading|My lips and eyes and heart were stinging when you kissed me in the dark. — Jack Garton to Jennifer Hammer, 2008 (age 24)
Alfa H, Abandoned Breaths|I never asked anything of him, yet he gave me everything. he did not run...
|Never permit fears, doubts, circumstances, laziness or the lack of ambition to force you into leaving any stone unturned.
Peter Kreeft, Making Choices: Practical Wisdom for Everyday Moral Decisions|Morality means choice. Choice means priorities. Priorities mean a hierarchy. A hierarchy means something at the top, a standard. That is the greatest good. If you have no greatest good, you have no hierarchy, you have no priorities. If you have no priorities, you cannot make intelligent choices. If you cannot make intelligent moral choices, you have no morality. You can still guide your life by your feelings or by social fashions, but that is not choice – not free, responsible, moral choice. Both feelings and fashions push you; you are passive. But moral choice is your own doing; you are active. You are responsible for your choices but not for your feelings or for your environment’s fashions.
Caz Greenham, The Adventures of Eric Seagull 'Story-Teller': Book 2 A Fairy's Wish|You must return to the fairy cave while children sleep. Fairies only exist if children believe in Fairyland. If you return after they wake from their dreams, you could remain frozen between two worlds for all eternity.
William Tecumseh Sherman|Anyone can support a team that is winning - it takes no courage. But to stand behind a team to defend a team when it is down and really needs you, that takes a lot of courage.
Kerrigan Byrne, The Scot Beds His Wife|Though her muscles went rigid, her tongue sparred with his, as he might have guessed it would. Each lick and swirl, each plunge and retreat became a point counted for or against.	Gavin had never enjoyed a woman’s mouth so much in his entire life.
Doris Lessing, The Summer Before the Dark|Younger woman says, “I’m not going to be like my mother. You’re maniacs. You’re mad.”“Yes,” [older woman responds] “I know it. And so you won’t be. The best of luck to you. And what are you going to be instead?
Jupiter Hammon|The feeling of longing for home is born into us. That wonderful dream cannot become real without great faith - enough for the Holy Ghost to lead us to repentance, baptism, and the making and keeping of sacred covenants with God. This faith requires enduring bravely the trials of mortal life.
Lori J. Fitzgerald, The Dragon's Message|When Rhiannon was small and had just learned to read, her mother brought her into the hall one day when her father was on campaign, and led her to the large table upon which a great map of their lands lay. She instructed Rhiannon to read the words of the landmarks: castle, road, mountain, forest, village. The young girl touched words inscribed over a place where trees met craggy peaks. “What does that say, my love?” her mother prompted. “Here be dragons,” Rhiannon answered, glancing up at her mother. Her mother nodded, smiling. She knelt down in front of Rhiannon so they were at the same height. The lady’s hazel eyes sparkled as she whispered, “I have a secret to share. But I can only share it with a little girl with red and gold hair,” she pulled playfully on Rhiannon’s braid,” who knows how to read.” Rhiannon giggled. “Are you a little girl such as this?” Rhiannon nodded eagerly, and her mother laughed. She stood up and gestured at a tapestry on the wall. “Come, child, the dragon guards our treasure.” Hand in hand they walked to the tapestry of the sleeping dragon. “Your great-great grandmother wove this tapestry when she was an old woman. It took her a long time to complete, with her hands gnarled so, like the twisted oak by the drawbridge.” The dragon was curled up in front of a turret, with stone dolmens in a semi-circle behind it, interspersed with trees and a mountain peak in the background and bright blue sky above. The dragon’s scales were crimson and woven through with glittering gold thread, and its curved horns and talons were gold. As they paused in front of the large tapestry, Rhiannon looked closely at the eyes of the dragon; she thought perhaps she could see a slit of gold, as if the dragon were only pretending to be asleep.  Rhiannon’s mother stood on tiptoe and moved part of the tapestry to the side, revealing a slit in the stone wall. With her free hand she reached in and drew out a large leather-bound tome. She motioned her daughter to come sit with her on one of the benches that lined the walls. “Look and listen well, my daughter,” she said, and ran her fingers along the smooth cover, “this book is our special treasure, and it contains many secrets within its pages. I am going to teach you how to read them.” She opened the book as Rhiannon snuggled closer to her, her mother’s loose red-gold hair falling over the girl’s shoulder and brushing the crinkly parchment pages of the book which she turned until she came to the picture of a girl.
Ally Condie, Matched|Basically, I believe the world is a jungle, and if it's not a bit of a jungle in the home, a child cannot possibly be fit to enter the outside world.
Santosh Kalwar, 25 Sexy Poems|Life is not all about only sex, just try once to control this disaster, you may turn out to be a religious worshiper or prophet, but everything fails when you see naked women in your bed.
Sandeep Sharma, Let The Game Begin|The moment when your heart’s rhythm synchronises with the chants of the holy temple, you find God in your soul. It was noisy yet peaceful. They were all dancing in the packed hall, with eyes closed and hands swinging up in the air. It was as if the motto of life was nothing but to enjoy this very moment and taste the love of the almighty.
Renee Askins|The wild is where you find it, not in some distant world relegated to a nostalgic past or an idealized future; its presence is not black or white, bad or good, corrupted or innocent... We are of that nature, not apart from it. We survive because of it, not instead of it.
Peter Ustinov|I imagine hell like this: Italian punctuality, German humour and English wine.
George    Miller|Bouillabaisse is only good because cooked by the French, who, if they cared to try, could produce an excellent and nutritious substitute out of cigar stumps and empty matchboxes.
Michael Bassey Johnson|If you lead me astray, then my wanderings will bring me to my destination.
Dan Harris, 10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works|I learned early on that most yoga poses are about showing off. You find something amazing you can do, and suddenly, Shazam—you’re a guru, ready for your groupies.
Lauren Willig|I don't need to control anything. Even with romantic partnerships, I don't need to control anyone.
Yasser Arafat|The charm of fame is so great that we like every object to which it is attached, even death.
Michael Dorris, A Yellow Raft in Blue Water|One day the sun will shine brighter than ever,and the stars will twinkle and shine more than ever,One day the pain will feel like it was there never,That’s when I will sing again, even if just in the shower, but louder and happier than ever.
Frank Herbert, God Emperor of Dune|Maturity: knowing where you're crazy, trying to warn others of the fact and striving to keep yourself under control.
John Mayer|Life is like a box of crayons. Most people are the 8 color boxes, but what you're really looking for are the 64 color boxes with the sharpeners on the back. I fancy myself to be a 64 color box, though I've got a few missing. It's okay though, because I've got some more vibrant colors like periwinkle at my disposal. I have a bit of a problem though in that I can only meet the 8 color boxes. Does anyone else have that problem? I mean there are so many different colors of life, of feeling, of articulation. So when I meet someone who's an 8 color type...I'm like, hey girl, Magenta! and she's like, oh, you mean purple! and she goes off on her purple thing, and I'm like, no I want Magenta!
Vishwas Chavan|Insecurity is lack of self love. When your fountain of self love is alive, you will be one with people.
Antonella Gambotto-Burke, The Eclipse: A Memoir of Suicide|Repeat the same action over and over again, and eventually it will feel right. Eventually, there isn't even any guilt.
Marshall Ramsay, Dreaming is for lovers|I should think a dead language would be rather boring, sociallyspeaking.
Upton Sinclair, Dragon's Teeth I|In football, side netting can sometimes look like a real goal and it can make spectators jubilate for a moment, and then ponder! So is life!
Faraaz Kazi|Little did I realise how much I would miss those ten minutes, those ten minutes in which I lived an entire lifetime.
Thomas Hardy, Jude the Obscure|Why then, O brawling love! O loving hate!O any thing, of nothing first create!O heavy lightness, serious vanity,Misshapen chaos of well-seeming forms,Feather of lead, bright smoke, cold fire, sick health,Still-waking sleep, that is not what it is!This love feel I, that feel no love in this.
Thomas C. Foster, How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines|A.Coward," he repeated, and I briefly considered picking up the vase in the center of the island and throwing it at him."Not making a choice is the coward's way out. You love both of them. I get that. But you don't feel the same kind of love for both of them, and the sooner you accept that the better.
Courtney Milan, Once Upon a Marquess|It's like you're a mirror and you show me who I want to be, instead of who I am.
R.A. Salvatore|If you can quit, then quit. If you can't quit, you're a writer.
Marjory Stoneman Douglas|A smart manager will establish a culture of gratitude. Expand the appreciative attitude to suppliers, vendors, delivery people, and of course, customers.
Colleen Hoover, It Ends with Us|I remember one time we were walking into a grocery store and an old man was ringing a bell for the Salvation Army. I asked my dad if we could give him some money and he told me no, that he works hard for his money and he wasn’t about to let me give it away. He said it isn’t his fault that other people don’t want to work. He spent the whole time we were in the grocery store telling me about how people take advantage of the government and until the government stops helping those people by giving them handouts, the problem won’t ever go away… I believed him. That was three years ago and all this time I thought homeless people were homeless because they were lazy or drug addicts or just didn’t want to work like other people. But now I know that’s not true. Sure, some of what he said was true to an extent, but he was using the worst-case scenarios. Not everyone is homeless because they choose to be. They’re homeless because there isn’t enough help to go around. And people like my father are the problem. Instead of helping others, people use the worst-case scenarios to excuse their own selfishness and greed.
Goitsemang Mvula|The battle is not with the human flesh, but the mind.
Edna St. Vincent Millay, Collected Poems|I know not how such things can be;I only know there came to meA fragrance such as never clingsTo aught save happy living things;A sound as of some joyous elfSinging sweet songs to please himself,And, through and over everything,A sense of glad awakening.The grass, a-tiptoe at my ear,Whispering to me I could hear;I felt the rain’s cool finger-tipsBrushed tenderly across my lips,Laid gently on my sealed sight,And all at once the heavy nightFell from my eyes and I could see!—A drenched and dripping apple-tree,A last long line of silver rain,A sky grown clear and blue again.And as I looked a quickening gustOf wind blew up to me and thrustInto my face a miracleOf orchard-breath, and with the smell,—I know not how such things can be!—I breathed my soul back into me.
Matshona Dhliwayo|There is no limit to what your mind can achieve, what your heart can accomplish, and what your soul can realize.
Kaori Yuki, Angel Sanctuary, Vol. 20|You're the insane one. You don't even love the world you created. So how can you expect us to love and respect you?An endless repetition of natural destruction and stupid, meaningless wars. Because we don't understand it, we have no way to stop it.We may be stupid and not know what to do... But we fight to move forward towards that which we think is right. Not just sticking to the arbitrary boundaries you created.We make lots of mistakes, and get hurt... But we keep believing in miracles. Looking for a truth we can't yet see.We do it our own way. Because we believe our lives mean something.
Demi Lovato|Do you have to make me feel like there's nothing left of me? You can take everything I have, you can break everything I am, like I am made of glass, like I am made of paper.Go on and try to tear me down I will be rising from the ground like a Skyscraper...
Russell Brand, Booky Wook 2: This Time it's Personal|When we turn life’s little pleasures into remedies for life’s troubles, we are setting up idols in our hearts, which actually push God aside.
Sade Andria Zabala, War Songs|Do not settle for people who do not appreciate you, who do not know how lucky they are. Remember it is a privilege to be loved by you or even just to be touched by you. And the warmth of another body does not define your worth.
BinYamin Gulzar|In the stillness of my mind , I surrender to a place I call "my own"....Where everything that I see ,is real ,and every thing that I don't ,doesn't exist!Yet , in that very stillness I find my mind drifting in search of solace and when I open my eyes ,I find myself in the Elysian Fields of my existence !
Eknath Easwaran, The Mantram Handbook|True love takes time to find, but once it's found, the rest is eternal.
Richelle Mead, The Fiery Heart|Somehow, Sydney had an internal clock that told her when time was up. I think it was part of her inherent ability to keep track of a hundred things at once. Not me. In these moments, my thoughts were usually focused on getting her shirt off and whether I’d get past the bra this time. So far, I hadn’t.
Frederick Reines|Leaders of the future will have to be visionary and be able to bring people in - real communicators. These are things that women bring to leadership and executive positions, and it's going to be incredibly valuable and incredibly in demand.
S.C. Stephens, Thoughtless|Any sentence that combined "I love you" and "but" could not be good.
Richard C. Armitage|They still have negligent auditing, they still have things going for a walk, and they have no idea where they're coming from, and they have no idea where they're going. And if that's the case, how can we, as the public, trust the NSA with all of our information, with all of our private records, the permanent record of our lives?
George Eliot, The Mill on the Floss|[She was] a creature full of eager, passionate longings for all that was beautiful and glad; thirsty for all knowledge; with an ear straining after dreamy music that died away and would not come near to her; with a blind unconscious yearning for something that would link together the wonderful impressions of this mysterious life, and give her soul a sense of home in it.
Vladimir Putin|Harry Truman, who was a Bible-believing Christian Zionist, defied the secretary of state he so admired, George C. Marshall, and won a place in Israel's history by recognizing the new state 11 minutes after it declared its independence in 1948.
Patience Johnson, Why Does an Orderly God Allow Disorder|Romans 12:2What is the difference between a person born with a silver spoon that later eat with the pig and someone born among the pigs without a silver spoon in his mouth and later eat with a golden spoon? One must have changed his mind. If you can renew your mind, you can change your destiny.
Barbara Gurr, Reproductive Justice: The Politics of Health Care for Native American Women|For a kid in crisis, there is no "make it happen," only "survive today." Who am I to have the cojones to think my "critical questions" are the most important thing in this kid's life? I think of the times I was in crisis and failed to pay attention to the manila folders on my desk as an adult.
Terry Pratchett, The Science of Discworld III: Darwin's Watch|I don’t belong here,” I said. “I don’t even believe in gods.”“Yeah,” he said. “That’s how we all started. Once you start believing in them? It doesn’t get any easier.
(R. Menachem M. Schneerson)|Photography is not a lens but eye, not a business but art
Sarah Dessen, Someone Like You|You should climb around inside my brain, Dan. It's like this dark room surrounded by quicksand.""I know what you mean," her brother said quietly. "I hate being in my brain sometimes. I have to get out.""What do you do?" Amy asked.Dan shrugged "I go to other places. My toes. My shoulders. But mostly here." He tapped his chest and immediately reddened. "I know. It's stupid.""Not really," Amy said. "I wish I could do that, too.
Idries Shah, Tales of the Dervishes: Teaching Stories of the Sufi Masters over the Past Thousand Years|In the distorting mirror of your mind, an angel can seem to have a devil's face.
Jeff Bezos|In modern business it is not the crook who is to be feared most, it is the honest man who doesn't know what he is doing.
Jasleen Kaur Gumber|Her question was clear-“Father, where does the Loss reside?”In the sighs?Cheeks with tears wiped?A lost appetite?Owning a room confined?Or in the smiles all falsified?Thus, the Father decide,It is no matter to hide, he replied-“I think its deep inside,Probably,In the layers of your soul,Where the body provides it,Ample food to be-Magnified, multiplied, intensified.But once you clarify,That its not to be occupied inside,It starves of supplies,And dies.So child, when there is loss,Make sure you refuse to invite it inward, And absolutely never make it your lifelong parasite.
John Stuart Mill|All women are brought up from the very earliest years in the belief that their ideal of character is the very opposite to that of men; not self-will,and government by self-control, but submission and yielding to the control of others. All the moralities tell them that it is their nature to live fir others;to make complete abnegation of themselves,and to have no life but in their affections.
Elizabeth Gilbert, Eat, Pray, Love|When you go to an Indian temple, it is just to behold an energy form. You want to take an imprint of the Divine within yourself.
Korey G. Miracle|The point to life is not only to live it, but to enjoy it.
Deepak Chopra, Fire in the Heart: A Spiritual Guide for Teens|Stop looking for flaws, and kindness come much more easily.
Alexandra Katehakis, Mirror of Intimacy: Daily Reflections on Emotional and Erotic Intelligence|People often ask: If there’s a God, how can He allow so much suffering in the world? Realize all world suffering you perceive is a mirror to your own psychological self-abuse, gender imbalance, prejudice, poverty, and hunger. You couldn’t even perceive each suffering aspect of external reality if it didn’t already exist within you. Touch and transmute your own psychological suffering, and perceive the world in kind.
Bill Ripley, Prisoners|One day I was telling him that I thought that cars had replaced guns as phallic symbols for American men, and I thought it was interesting that he had one that was so small and fast. The next day he gave me the Datsun and went out and bought a Lincoln.
Unknown|By tapping into flowers and their elixirs, we have a method at our fingertips that helps us be our happiest, clearest, and most loving selves. With this book I invite you to catalyze your own personal Flowerevolution and create a worldwide ripple effect of positivity—transforming the world from the inside out.
Kip S. Thorne, The Science of Interstellar|I don't do it for Michael. I do it for them.""Them?""People.""They're broken! Flawed!""Yes, but some of them try to do better. Try to forgive.
Winston S. Churchill, Painting as a Pastime|If you cannot read all your books, at any rate handle, or as it were, fondle them – peer into them, let them fall open where they will, read from the first sentence that arrests the eye, set them back on the shelves with your own hands, arrange them on your own plan so that if you do not know what is in them, you at least know where they are. Let them be your friends; let them at any rate be your acquaintances. If they cannot enter the circle of your life, do not deny them at least a nod of recognition.
Pew Research Center, The Next America: Boomers, Millennials, and the Looming Generational Showdown|CEOs should be measured by the value they create into the community, the shareholders and the members of the company.
Sigmund Brouwer, Devil's Pass|Demon possession strains the boundaries of credulity, given the sheer number of times it seems to happen. One would really hope demons had better things to do with their time.
Margaret Atwood|I have always tried to avoid talking to pretty girls, because pretty girls have a vicious effect on me in which every part of my brain is shut down except for the part that says unbelievably stupid things and the part that is aware that I am saying unbelievably stupid things.
Thomas Hardy, Far from the Madding Crowd|There's a line in the picture where he (Johnny - The Wild One) snarls, 'Nobody tells me what to do.' That's exactly how I've felt all my life.
Felicity Brandon, Hide & Seek|Straddling him intimately, he slides his hands up my thighs, pushing the silk aside and caressing my pale, exposed skin. Even against his uniform, I can feel his hardness. His body feels taut and poised for action.
Matshona Dhliwayo|Amazing grace, amazing life.
Peter T. King|I think the very idea of character, of developing not just grit, but empathy and curiosity, emotional intelligence - you know, the things that I want my own daughters to develop - the idea that we're going to get there through rewards and punishments seems completely at odds with the idea of character itself.
Rick Riordan, The House of Hades|He understood how dangerous oaths could be. But Leo didn't care. "I'm coming back for you, Calypso," he said to the night wind. "I swear it on the River Styx.
Bart D. Ehrman, Jesus, Interrupted: Revealing the Hidden Contradictions in the Bible & Why We Don't Know About Them|In Matthew, Jesus declares, “Whoever is not with me is against me.” In Mark, he says,“Whoever is not against us is for us.” Did he say both things? Could hemean both things? How can both be true at once? Or is it possible thatone of the Gospel writers got things switched around?
Sunday Adelaja|Almost all absurdity of conduct arises in individual, when displayed ego and self portrayed images are not recognised by anyone.
Hank Bracker|He was now wealthy beyond his wildest dreams and wanted for nothing, so Columbus retired to Valladolid, which at one time was considered the capital of Castile and Leon, a historic region of northwestern Spain. On October 19, 1469, Queen Isabella and King Ferdinand had been married at the Palacio de los Vivero, in the city of Valladolid, giving it great significance for Columbus. It was only a year and a half after retiring, on May 20, 1506, that Christopher Columbus quietly died. Dr. Antonio Rodriguez Cuartero, a professor of Internal Medicine at the University of Granada, stated that the Admiral died of a heart attack caused by Reiter's Syndrome, also known as reactive arthritis. He was only 54 years of age; however, he had been suffering from arthritis for quite some time prior to his death.
Django Wexler, The Forbidden Library|Much later, Alice would wonder what might have happened if she had gone to bed when she was supposed to.
Jieun Baek, North Korea's Hidden Revolution: How the Information Underground Is Transforming a Closed Society|People say mountains change in about ten years. If something as stubborn and mammoth as a mountain can change in a decade, the hearts of ordinary North Koreans can change. I'm sure of it. I'm living proof." --Ha Young, a North Korean defector interviewed in Jieun Baek's book "North Korea's Hidden Revolution: How the Information Underground is Transforming a Closed Society
Charlotte Huang, Going Geek|He looked out of the window to think, because without a window he couldn’t think. Or maybe it was the other way around: When there was a window, he automatically started to think. Then he wrote, “When I grow up, I am going to be happy.
Matthew Quick, The Silver Linings Playbook|Real life often ends badly, like our marriage did, Pat. And literature tries to document this reality, while showing us it is still possible for people to endure nobly.
Honoré de Balzac, Père Goriot|What moralists describe as the mysteries of the human heart are solely the deceiving thoughts, the spontaneous impulses of self-regard. The sudden changes in character, about which so much has been said, are instinctive calculations for the furtherance of our own pleasures. Seeing himself now in his fine clothes, his new gloves and shoes, Eugène de Rastignac forgot his noble resolve. Youth, when it swerves toward wrong, dares not look in the mirror of conscience; maturity has already seen itself there. That is the whole difference between the two phases of life.
Pearl S. Buck|"Will you walk into my parlour?" Said the spider to a fly: '"Tis the prettiest little parlour That ever you did spy."
Frederick Douglass|The dull mind, once arriving at an inference that flatters the desire, is rarely able to retain the impression that the notion from which the inference started was purely problematic.
Fyodor Dostoyevsky|Perception does not define who we are, but it does define where we are limited, and where we are not yet free.
H.P. Lovecraft|The most merciful thing in the world, I think, is the inability of the human mind to correlate all its content. We live on a placid island of ignorance in the midst of black seas of infinity, and it was not meant we should voyage far. The sciences, each straining in its own direction, have hitherto harmed us little; but some day the piecing together of dissociated knowledge will open up such terrifying vistas of reality, and of our frightful position therein, that we shall either go mad from the revelation or flee from the deadly light into peace and safety of a new dark age.
Elizabeth Gilbert, Eat, Pray, Love|What were the Mechanic's elders like? She had said they were like his own, strange though that sounded. Did they listen to her? Had she passed on the warning, only to have her elders dismiss her words as Alain's elders had dismissed his?He suddenly felt certain that this Mechanic had no choice but to go onward to danger. Once again, he knew how she must feel. A strange sensation, worrisome. How to make it go away? How to release the hold she had placed upon him?She had saved his life. Alain almost smiled before he caught himself. That was it. Several times she had "helped" him. The Mechanic had used that to influence him. No wonder the elders warned against helping. How to cancel it out? Like cancelled like. Power could defeat power. She had saved him, she had helped him. He would help her, perhaps even save her life. That would cancel whatever the Mechanic had done to him. He would be free of her. The logic had no flaws.
Mike Birbiglia|I get labelled as just being about one thing, but there's lots of layers to what I do. It's just lazy journalism, but people start to accept it. If people spent an hour in my car driving around London and listening to the stuff I listen to, they'd hear some interesting stuff.
Domonique Bertolucci, The Happiness Code: Ten Keys to Being the Best You Can Be|If you want to bethe best you can be,don’t judge anyone.Not even yourself.
John Geddes|I guess we are juste two lost souls swimming in a fish bowl," I say.Her eyes narrow. "I've heard that somewhere before."I smile and point at her briefly. "Pink Floyd. But it's the truth.""You think we're lost?"I tilt my head back a little and look up at the stars behind her and say, "In society maybe. But together, no. I think we're right where we need to be.
John Ajvide Lindqvist, Little Star|Mark nodded even though she couldn't see. He'd suddenly lost any desire to talk, and his plans for a perfect day washed away with the stream. The memories. They never let him go, not even for a half hour. They always had to rush back in, bringing all the horror.
Jim Stovall|The clown may be the source of mirth, but - who shall make the clown laugh?
Sheree' Griffin, A Trap Of Malicious Blind Love A Memoir Of Sex, Seduction, Manipulation & Betrayal|There is always a curve n the road when it comes to a relationship,don't let others bring you down to their level because of their own unhappiness and insecurities that they have within themselves.
George Orwell, 1984|The worst thing to call somebody is crazy. It's dismissive. "I don't understand this person. So they're crazy." That's bullshit. These people are not crazy. They strong people. Maybe their environment is a little sick.
Georg C. Lichtenberg|When a novel has 200,000 words, then it is possible for the reader to experience 200,000 delights, and to turn back to the first page of the book and experience them all over again, perhaps more intensely.
Mary Warnock, Imagination and Time|Without imagination we should be lost; for only with its help can we interpret our experience, turn it into experience of an outer world, and thus make use of it in understanding what and where we are, and what we need to do.
Tony DiTerlizzi, A Hero For WondLa|If you only enjoy the journey of writing, that's reward enough.
Kayla Mueller|Some people find God in love; I find God in suffering. I've known for some time what my life's work is, using my hands as tools to relieve suffering.
Roshan Sharma|You can create absolutely new reality, both in your personal and professional life and with the same people, by altering your perception towards life, and by putting necessary work into it.
Ben Bernanke|Whether that's positive or not, people are talking about the Old Vic Theater again with passion and commitment and controversy and debate.
Joss Stirling, Finding Sky|When the wound is fresh it hurts, more so when you are reminded to the hurt time and again
Anaïs Nin|I am an excitable person who only understands life lyrically, musically, in whom feelings are much stronger as reason. I am so thirsty for the marvelous that only the marvelous has power over me. Anything I can not transform into something marvelous, I let go. Reality doesn't impress me. I only believe in intoxication, in ecstasy, and when ordinary life shackles me, I escape, one way or another. No more walls.
