Matthew Syed|If you list down whatever you didn’t get to do, then whatever you did won’t feel like it mattered.
Michael Thomas Sunnarborg, 21 Steps to Better Relationships: Find More Balance with Others|Neither the life of anarchy nor the life enslaved by tyrants, no, worship neither. Strike the balance all in all and god will give you power.
James R. Tuck, Blood and Silver|Women already come equipped with a core of steel fiber strength, depths of resolve a man cannot comprehend. It’s not the dynamic strength men have, all power and show. It’s a strength of endurance, fortitude. It is the strength that allows women to conceive life and to carry that life until the day it can stand on its own.
Anonymous|Couldn’t we camp down by the lakes?” Nynaeve asked, patting her face with her kerchief. “It must be cooler down by the water.”“Light,” Mat said, “I’d just like to stick my head in one of them. I might never take it out.”Just then something roiled the waters of the nearest lake, the dark water phosphorescing as a huge body rolled beneath the surface. Length on man-thick length sent ripples spreading, rolling on and on until at last a tail rose, waving a point like a wasp’s stinger for an instant in the twilight, at least five spans into the air. All along that length fat tentacles writhed like monstrous worms, as many as a centipede’s legs. It slid slowly beneath the surface and was gone, only the fading ripples to say it had ever been.Rand closed his mouth and exchanged a look with Perrin. Perrin’s yellow eyes were as disbelieving as he knew his own must be. Nothing that big could live in a lake that size. Those couldn’t have been hands on those tentacles. They couldn’t have been.“On second thought,” Mat said faintly, “I like it right here just fine.
Ludwig Feuerbach, The Essence of Christianity|[This philosophy] does not … regard the pen as the only fit organ for the revelation of truth, but the eye and ear, the hand and foot
Kim Fielding, Equipoise|If she understood the difference between referring to me as "the gay guy" and using my name, the knowledge was lost between her vapid gaze and her single AAA-battery brain.
Charli XCX|We must welcome the future, remembering that soon it will be the past; and we must respect the past, remembering that it was once all that was humanly possible.
Isaiah Berlin, The Roots of Romanticism|Romanticism embodied "a new and restless spirit, seeking violently to burst through old and cramping forms, a nervous preoccupation with perpetually changing inner states of consciousness, a longing for the unbounded and the indefinable, for perpetual movement and change, an effort to return to the forgotten sources of life, a passionate effort at self-assertion both individual and collective, a search after means of expressing an unappeasable yearning for unattainable goals.
Robert Sternberg|I believe that the testing of the student's achievements in order to see if he meets some criterion held by the teacher, is directly contrary to the implications of therapy for significant learning.
Paulo Coelho, The Alchemist|Boys, tell your mother to shut her lying whore mouth before I shove the nearest apple down her throat.
Kathy Acker, Pussy, King of the Pirates|Death is another bar which lies several steps below the normal world. I'm at its threshold, but not yet in it. Its doorway is doorless.
Sean Condon, Lonely Planet Journeys: Drive Thru America|New York is unruly, tangled. The city woos first, then mangles, then pastes back together in a fresh, dazzling mosaic.
Kevin McCloud|I had more clothes than I had closets, more cars than garage space, but no money.
Paige Davis|I always clean before the cleaning lady comes. If not, when I come home, I can't find anything. Cleaning ladies are always hiding things you leave out.
Mark      Miller, Chess, Not Checkers: Elevate Your Leadership Game|Motivating people is more than having the right incentives, the right programs and the right benefit packages. It's about tapping into the unique passions, personalities and strengths of those entrusted to our care.
jainder|Life is one, enjoy with fun
Emmiem|You know you’ve come a long way when the thought of quitting scares you. You’ve made some… well, call them 'remarkable achievements', and you’ve managed to draw some attention to yourself.But SUCCESS is really not how far you’ve gone. It’s not even how well. It is how much farther you are ready to go and how much more sacrifices you are willing to make. Not until you get to the point where you are willing to give up your life for a purpose… not until you get to that point will you be celebrated.
Matshona Dhliwayo|Sages shine so they can see the world, not so the world can see them.
Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love|Become a man or woman of prayer...Let your heart and mind be kept close to the principal calling of your life, which is to hunger and thirst after God and His righteousness...Let the thoughts and intents of your heart be shaped and guided by time spent in His presence.
Jennifer Crusie, Getting Rid of Bradley|Clearly, his winks were some sort of superpower, because I swear that if he asked me to jump from the roof of a tall building and then winked, I’d jump.
Rachel Hanna, The One for Me: Kyle & Jenna|On the flat expanse of pancake ice, War stood by the Pale Rider’s side. Though their forms did not touch, their shadows intertwined, black on black, in a smoky caress.“Knew you’d come,” Death said cheerfully.She smiled, and that slow motion of her lips hinted at many things. “The White Rider divided, and the world on the brink of destruction. How could I stay away?”“I could set my watch by you.”“You don’t have a watch.” Her smile broadened into a grin. “An hourglass, maybe . . .”“Please, not another joke about a scythe . . .”She mimed zipping her mouth shut.A pause, as they listened to the sounds of the boy healing and the man summoning doom.“I like him,” War said.Even though she hadn’t specified whether she meant the boy or the man, Death smiled and nodded. “Me too.”“You like everyone.”“Well, yes.”The two shared a quiet laugh, their voices mingling in perfect harmony.A longer pause, and then War asked, “What of Famine?”“What of her? She’s not mine. Not yet, anyway. She will be soon enough.”The Red Rider slid him a look. “That’s cold, even for you.”“Eh, just practical.” A shrug. “Everyone comes to me eventually. It’s the journey that makes it interesting.”“Such a people person!”He flashed her a grin. “My best quality.”“Oh,” said War, sliding her gloved hand into his pale one, “I can think of others that are better.
Julieanne O'Conner|When you get clear on your own boundaries, you will find it easy to decide what you are willing to accept in your career.
Barbara Ehrenreich, Living with a Wild God: A Nonbeliever's Search for the Truth about Everything|The impasse was this: If I let myself speculate even tentatively about that something, if I acknowledged the possibility of a nonhuman agent or agents, some mysterious Other, intervening in my life, could I still call myself an atheist?
J.K. Rowling|Hasn't your experience with the Time-Turner taught you anything, Harry? The consequences of our actions are always so complicated, so diverse, that predicting the future is a very difficult business indeed...
Janet Evanovich, Hard Eight|I don't need handcuffs to enslave a woman." -Ranger to Stephanie
J.R. Ward, Dark Lover|They massacred the servants before killing my parents. I saw it all through a knothole in the wood. As I said, my eyes were better back then.
Louis Bayard, Roosevelt's Beast|Intelligence is a necessity, but when one is without a supernatural sense, intelligence becomes senseless.
H. Rap Brown|For more than 20 years, Camfed has supported a generation of African girls and women with access to secondary and higher education, employment opportunities, and, ultimately, into positions of leadership.
Samar Sudha|-Wherever you go, there you are! You can’t run away from yourself, or the underlying situation, no matter where you go. You won’t find happiness anywhere, unless it’s already there in your heart, and therefore you have carried it with you.
Debasish Mridha|As a physician, I try to heal the mind before healing the body. That’s why most of my patients get better even before they start any medication.
M. J. Carter|What you achieve, endures throughout time
Umar ibn Al-Khattab|No amount of worrying can change the future. Go easy on yourself, for the outcome of all affairs is determined by God's decree. If something is meant to go elsewhere, it will never come your way, but if it is yours by destiny, from you it cannot flee.
Shirley Corder, Strength Renewed: Meditations for Your Journey through Breast Cancer|Help me to get my eyes off my suffering and onto you, God.
Jessica Haight and Stephanie Robinson|It will take some time to adjust, but I promise you, this will be a real adventure for all of us.
Ivan Turgenev|Lost wealth may be replaced by industry, lost knowledge by study, lost health by temperance or medicine, but lost time is gone forever.
Lauren Myracle, Kissing Kate|We’re born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for a moment that we’re not alone.
Idries Shah, Sufi Thought and Action|The answer to what we're looking for, fixing the world with love, has to be traced back to something, and we can only trace it back to the God who is love. If we dive into the rest of Genesis and say, "What is this 'day' nonsense? As modern people, we can't believe that," then we have already missed the point. God has revealed to us through Moses the foundations of our desire for love and we want to talk about matter? When we lie in bed at night, do we miss matter or do we miss love? We miss love.
Cate Blanchett|Old age has its pleasures, which, though different, are not less than the pleasures of youth.
Stanley Victor Paskavich, Return to Stantasyland|Just to let you know I don't post my books and things on the net in hopes of being rich. The reason is. "I am a person with Bipolar Disorder" and they're are a lot of great minds on the "Famous Bipolar" list that died penniless. If I do the same it's no big deal but having a form of mental Illness I would love to get my name on the Bipolar list also one day. Preferably while I'm still living so I can make sure they spelled it right
Kim Cormack|He understood now why she was so much calmer, so much happier when he held her hand while they walked. When he first did that, she had looked at their linked fingers quizzically, but didn't pull away, even though she had been as skittish as a stray cat. limit.
Charles Babbage|For my own part, I would rather excel in knowledge of the highest secrets of philosophy than in arms.
Helen Fielding, Bridget Jones: The Edge Of Reason|Very few people do this any more. It's too risky. First of all, it's a hell of a responsibility to be yourself. It's much easier to be somebody else or nobody at all.
Hyman G. Rickover|I'm not interested in anybody's guilt. Guilt is a luxury that we can no longer afford. I know you didn't do it, and I didn't do it either, but I am responsible for it because I am a man and a citizen of this country and you are responsible for it, too, for the very same reason... Anyone who is trying to be conscious must begin to dismiss the vocabulary which we've used so long to cover it up, to lie about the way things are.
Douglas Coupland|I once went on the most grueling radio tour. Living in hotel rooms, sleeping in the backs of rental cars as my mom drove to three different cities in one day.
Sorin Cerin, Wisdom Collection: The Book of Wisdom|Does anybody know which are the thoughts of God, even if they are plants, mountains, sky, stars or whatever else?
Ryan McCartan|With respect to sticking accelerator pedals, we failed to connect the dots between problems in Europe and problems in the United States because the European situation related primarily to right-hand-drive vehicles. Toyota will increase its outreach to government agencies charged with protecting the safety of motorists and passengers.
Thanhha Lai|I tell you of loss, my child, so you will listen, slowly, and know that in life every emotion is fated to rear itself within your being. Don't judge it proper or ugly. It's simply there and yours. When you should happen to cry, then cry, knowing that just as easily you will laugh again and cry again. Your feelings will enter the currents of your core and there they shall remain
Paula Pell|The last Christmas movie I really liked was 'It's a Wonderful Life,' probably. It's sort of a schmaltzy movie, but it's not without its dark moments. It still gets to me every year.
Tracey Bond, Spirit Fed Entrepreneur: Grow Your Business with a Fearless Mindset|Harmony is everything, your central nervous system can bear witness to that in every area of your life...if you let your soul step to the open MIC!
Alex Pattakos, Prisoners of Our Thoughts: Viktor Frankl's Principles for Discovering Meaning in Life and Work|The search for meaning in our lives takes us on paths large and small. When we go beyond ourselves-whether in forgiveness, unselfishness, thoughtfulness, generosity and understanding toward others-we enter into the spiritual realm of meaning. By giving beyond ourselves, we make our own lives richer. This is a truth long understood at the heart of all meaningful spiritual traditions. It's a mystery that can only be experienced. And when we do experience it, we are in the heart of meaning. We are no longer a prisoner of our thoughts.
Peter James West|If I could split myself into five people, I would still be behind on my writing schedule. I see now why James Patterson cloned himself so many times.
Diyar Harraz, One Minute to Midnight|He’d managed to take hold of her being, her poise and twisted it that it’d mutilated so bad. Even she had forgotten how it had felt to be sane.
Suzanne  Johnson, Pirate's Alley|Since when do wizards wear robes?" I whispered. "That's falling into every human stereotype ever created." Jeezum. Next thing you knew, they'd be waving around magic wands."The First Elder thought they'd look more intimidating in robes than in business suits," Alex whispered back. "They look like they're on their way to a costume party at Hogwarts.
Maggie Stiefvater, Shiver|I wonder, he wondered, if any human has ever felt this way before about an android.
Adam Ross, Mr. Peanut|It is possible, he thought, to be completely happy in marriage--though you must be willing to hold on when your ship was lost at sea and there was no guarantee of rescue.
Douglas Wood, The Secret of Saying Thanks|Some of our struggles involve making decisions, while others are a result of the decisions we have made. Some of our struggles result from choices others make that affect our lives. We cannot always control everything that happens to us in this life, but we can control how we respond. Many struggles come as problems and pressures that sometimes cause pain. Others come as temptations, trials, and tribulations.
Dashama Konah Gordon, Journey to Joyful: Transform Your Life with Pranashama Yoga|Whether you’re at the peak or the valley of any given wave, remember that this too shall pass.
Harrish Sairaman|People say keep your emotions outside, how the hell is that possible!!!!
Eric Idle|Home is where you are appreciated, safe and protected, creative, and where you are loved - not where you are put in prison.
Margaret Atwood, MaddAddam|The sun sees your body, the moon sees your soul.
Richard M. DeVos|A person who has not done one half his day's work by ten o clock, runs a chance of leaving the other half undone.
William Marshall, The Far Away Man|It was as though the man-eater - for no other leopard would have killed the goat and laid it on the track- had said, 'Here, if you want your goat so badly, take it; and as it is now dark and you have a long way to go, we will see which of you lives to reach the village.
Rod Serling|In eleven or twelve years of writing, Mike, I can lay claim to at least this: I have never written beneath myself. I have never written anything that I didn't want my name attached to. I have probed deeper in some scripts and I've been more successful in some than others. But all of them that have been on, you know, I'll take my lick. They're mine and that's the way I wanted them.
Amanda Quick, Ravished|When you are rich and powerful, no one will challenge you to your face or give you a chance to explain yourself. All the whispers are behind your back. You are left with no means of clearing your own name. And after a while you realize there is no point in even attempting to do so. No one wants the truth. All anyone wants is the chance to add more fuel to the fires of gossip. The whispers become so loud that sometimes you think you will drown in them.
Dan Pearce, Single Dad Laughing|Smile at people everywhere you go. Don’t just give them one of those half-smirk/head nod things. Raise your eyebrows, show those teeth, and chuckle while you smile. Next time you’re at the store, give a full-hearted smile to at least three complete strangers. You’ll be amazed at what this does for them and for you.
Robert H. Lieberman, The Last Boy|. . . the authors had developed indices that could be employed to measure the state of a civilization, to determine if society was healthy, in decline, or perhaps even dead. The indicators keyed in on everything from the accumulation of refuse to declines in everyday civility. They looked at how a society treated its most vulnerable citizens; examined a culture's architecture, gauging its scale in relation to humans and the surrounding natural world. One of the primary indicators, however, was a measure of the ability of a society's citizens to listen to each other and truly hear what was being said. It evaluated by gradations the ability of individuals to stand motionless for prolonged periods, receptive to their surroundings.
Joseph Conrad, Lord Jim|We wander in our thousands over theface of the earth, the illustrious and the obscure, earning beyond theseas our fame, our money, or only a crust of bread; but it seems to methat for each of us going home must be like going to render an account.We return to face our superiors, our kindred, our friends--those whom weobey, and those whom we love; but even they who have neither, the mostfree, lonely, irresponsible and bereft of ties,--even those for whomhome holds no dear face, no familiar voice,--even they have to meet thespirit that dwells within the land, under its sky, in its air, in itsvalleys, and on its rises, in its fields, in its waters and its trees--amute friend, judge, and inspirer.
Stephen M. Irwin, The Dead Path|A month ago, Gavin had given his employer four weeks' notice. "I'll get a job around here," he'd told her. "Something low-stress, part-time, maybe. We're not paying rent, and Dad's left us plenty. You should quit, too." A year earlier this news would have filled her with delicious, full fat, chocolate-coated joy. But now, after a grueling routine of shitty work, shitty- weird home life in a house where the shadow of a dead boy walked more solidly than the grownups, shitty headaches, shitty worry about a husband who couldn't keep his dick out of other women, the golden offer just weirded Laine out. She didn't trust it.
Anthony Liccione|When we want something, we have to have a clear purpose in mind for the thing that we want. The only reason for seeking a reward is to know what to do with that reward
Truth Devour, Unrequited|Love and lust are both four letter words that start with L, but they don’t appear in the dictionary side by side so we shouldn’t have to think they go hand in hand in life.
Lawren Leo, Dragonflame: Tap Into Your Reservoir of Power Using Talismans, Manifestation, and Visualization|Desire creates a starting point. Without it, no magic can be put into action.
Norman Davies, Europe|The title ‘Lord of All-Rus'’ did not possess much basis either in history or in current reality. It came into the same category as that whereby the kings of England laid claim to France. In the 1490s, two-and-a-half centuries after all traces of a united Kievan Rus' had been destroyed, it had the same degree of credibility that the king of France might have enjoyed if, in his struggle with the German Empire, he had proclaimed himself ‘Lord of all the Franks’. By that time, it conflicted with the separate identity that the ‘Ruthenes’ of Lithuania had assumed from the ‘Russians’ of Moscow. Indeed, it all seemed sufficiently unreal for the Lithuanians to accept it as a small price to pay for Ivan’s good humour. They were not to know it, but they were conceding the ideological cornerstone of territorial ambitions that would be pursued for 500 years.
Rim Ibrahim|Areila walked like she had somewhere to go. I stood by the fountain and watched her pass, but I didn't speak. It was the lady's prerogative to pretend she didn't see me. She got to the edge of the park; I swear, her foot hovered right over the line, when she turned with military precision and marched back. She stopped in front of me and said, "Hello.
Santosh Kalwar|Ultimately, we will lose each otherto something. I would hope for grandcircumstance—death or disaster.But it might not be that way at all.It might be that you walk outone morning after making loveto buy cigarettes, and never return,or I fall in love with another …It might be a slow drift into indifference.Either way, we’ll have to learnto bear the weight of the eventualitythat we will lose each other to something.So why not begin now, while your headrests like a perfect moon in my lap …?Why not reach for the seam in this …night and tear it, just a little, so the fallingcan begin? Because later, when we crosseach other on the streets, and are forcedto look away, when we’ve thrownthe disregarded pieces of our togethernessinto bedroom drawers and the smellof our bodies is disappearing like the sweetdecay of lilies—what will we call it,when it’s no longer love?
Deeanne Gist, A Bride Most Begrudging|Where are you going?""To get my Bible.""Right now? You can't get your Bible out right now! I'm, I'm, we're just about to..."She'd never be able to go through with this if he got out his Bible. She wiped all humor from her face."I believe you. Proverbs 5:18. Rejoice, relish, and romp with your husband."He chuckled. "I'm serious, Connie, and I won't have you feeling ashamed or unclean over anything we do in that bed, tonight or any other night.""I won't. I feel unashamed and very clean. I promise. But please don't get out that Bible.""What? Think you that God can't see us right now?"Groaning, she slid off his lap and covered her face with her hands. He sunk to his knees in front of her, drawing her hands down."I love you. You love me. We are man and wife. God is watching, Connie, and He is very, very pleased.
Susan Freinkel|You've got nothing that lasts, you know. That's not the first town that ever stood there. There was one before that, and one before that, and one before that one, on back for 900 years. But this tree has stood here all along. What do you make of that, boy?
Jay Asher, Thirteen Reasons Why|And perhaps that in itself was the great secret---not just for legacy, but also for life. You could carry a story inside you and hold it up to the light when you needed it the most. You could peer through it, like a frame, and see how it changed your view when you looked out onto the world.
Keith Barry|I'm pretty much a dinosaur in the studio. I like things hand-drawn, even today. The story artists use Cintiqs, but I'm the only person who hasn't completely converted to computers. I like the Cintiq, but there's something about the raw emotional power of using paper and pencil.
Daniel M. Gilbert, Stumbling on Happiness|In short, we derive support for our preferred conclusions by listening to the words that we put in the mouths of people who have already been preselected for their willingness to say what we want to hear.
Luisa Valenzuela, Dark Desires and the Others|Because fear called her by her name. (Her own name, not fear’s name. Fear doesn’t have a name; it’s just the steady beat underneath a smile.)
Dag Hammarskjöld|Today I will work when others procrastinate, I will confront my fears when others hide from theirs, and I will create solutions when others find excuses; today I refuse to allow my enemies to out work me.
Bodie Thoene, Of Men and of Angels|All dreams. If there was love or pity for him, it was only in his dreams.
Jhumpa Lahiri, The Lowland|I cannot do anything fake; that is why even when I sleep with a prostitute, she falls in love with me.
Margaret D. Nadauld|If you're lucky like me, your relationship with your brother has resolved itself on the peaceful side of the fence and has stayed there. But if you're someone who's got a family that's all fractured and finding it hard to relate, that's a very sad place to be.
Shannon L. Alder|Theory and knowledge remain suspect, not because of inherent worthlessness, but because of their historic isolation from action. Without theoretical orientation, however, action is vulnerable to oversimplified and glib imitativeness-even mimicry-and to the use of the gimmick.
Craig D. Lounsbrough, Flecks of Gold on a Path of Stone: Simple Truths for Profound Living|How often is my tidy and well-appointed world nothing but the thin veneer of an imagination that I’ve chosen to use in the service of denial, rather than a gift I’ve chosen to exercise out of a passion for change?
Matshona Dhliwayo|If you are willing to kill for your beliefs, you are a murderer; if you are willing to die for your beliefs, you are a martyr.
Rufi Thorpe, The Girls from Corona del Mar|God, don't laugh!" Jamie said, alarmed. "I didna mean to make ye laugh! Christ, Jenny will kill me if ye cough up a lung and die out here!
Caroline Mitchell, Paranormal Intruder|The Presence and the manifestation of the Presence are not the same. There can be the one without the other. God is here when we are wholly unaware of it. He is manifest only when and as we are aware of His Presence. On our part there must be surrender to the Spirit of God, for His work it is to show us the Father and the Son. If we co-operate with Him in loving obedience God will manifest Himself to us, and that manifestation will be the difference between a nominal Christian life and a life radiant with the light of His face.
Charlie Brooker|Many people find bald, unvarnished truths so disturbing, they prefer to ram their heads in the sand and start dreaming at the first sign of scientific reality.
Herbert Spencer, An Autobiography, Part 1|Today the artist has inherited the combined functions of hermit, pilgrim, prophet, priest, shaman, sorcerer, soothsayer, alchemist.
Jordan Hoechlin|The worst mistake is to live life day by day, life was meant to be lived like there will be no tomorrow.
Milton Rokeach, The Three Christs of Ypsilanti: A Psychological Study|By what criteria can one decide which of a person's countless beliefs are primitive? The essential factor is that they are taken for granted: a person's primitive beliefs represent the basic truths he holds about physical reality, social reality, and himself and his own nature. Like all beliefs, conscious or unconscious, they have a personal aspect: they are rooted in the individual's experience and in the evidence of his senses. Like all beliefs, they also have a social aspect: with regard to every belief a person forms, he also forms some notion of how many other people have the experience and the knowledge necessary to share it with him, and of how close the agreement is among this group. Unlike other beliefs, however, primitive beliefs are normally not open to discussion or controversy. Either they do not come up in conversation because everyone shares them and everyone takes them for granted, or, if they do come up, they are virtually unassailable by outside forces. The criterion of social support is totally rejected; it is as if the individual said: "Nobody else could possibly know or have experienced what I have." Or, to quote a popular refrain: "Nobody knows the trouble I've seen." A person's primitive beliefs thus lie at the very core of his total system of beliefs, and they represent the subsystem in which he has the heaviest emotional commitment.
Mehmet Murat ildan|She grew up in the ordinary paradise of the English countryside. When she was five she walked to school, two miles, across meadows covered with cowslips, buttercups, daisies, vetch, rimmed by hedges full of blossom and then berries, blackthorn, hawthorn, dog-roses, the odd ash tree with its sooty buds.
Jason Isbell|Mom was so funny and loving to us kids. She was our first audience. When my dad died, I was suddenly alone in the house with her because my two older brothers were away at college. I was the man of the house, and she was the grieving woman.
David Levithan, Every Day|We come to a corner where there are a few people protesting the festivities. I don't understand this at all. It's like protesting the fact that some people are red-haired. In my experience, desire is desire, love is love.
Osho, The Book of Secrets|I am not my mind, because I can observe my thoughts. So the observer is different from the observed – I am not my mind.” he found that there is no atman, no soul, because this atma is nothing but your mental information – just doctrines, words, philosophies.
Amit Kalantri|Power is not pleasure, power is pain.
Julie Kagawa, The Iron King|Personally, I say, "Out of the frying pan and into the deadly pit filled with sharks who are wielding chainsaws with killer kittens stapled to them." However, that one's having a rough time catching on.
Janny Wurts, Initiate's Trial|You cannot trust yourself,’ she agreed, bed-rock calm. ‘Therefore, let go. Seize life and place trust in me.
|Some people only get on their knees to pray to God when they are going through some dire obstacles or in need of something. But when things start to go well in their lives, they forget to get on their knees to say thanks to God.
James A. Michener|Being goal-oriented instead of self-oriented is crucial. I know so many people who want to be writers. But let me tell you, they really don't want to be writers. They want to have been writers. They wish they had a book in print. They don't want to go through the work of getting the damn book out. There is a huge difference.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|If we find ourselves in unfamiliar circumstance, what do we do? We ought to keep calm and pray.
Stella Adler, Stella Adler on Ibsen, Strindberg, and Chekhov|When I say to the Moment flying;'Linger a while -- thou art so fair!'Then bind me in thy bonds undying,And my final ruin I will bear!
Edward G. Bulwer-Lytton|Depression is internal. The upswings and downswings have pretty much nothing to do with what's going on in the external world. It's not like something sad happens to you and then you feel sad. Good things happen, but you feel sad anyway.
John Muir, A Thousand-Mile Walk to the Gulf|All you really need to know for the moment is that the universe is a lot more complicated than you might think, even if you start from a position of thinking it's pretty damn complicated in the first place.
Daniel Woodrell, Tomato Red|Sammy, wouldn’t you like to add up to something? In the future? Amount to something?”“Naw. I just figure to roll on, stackin’ days, you know, till the day I fuck up big enough the future gets canceled. Or else all planned out for me, maybe. There’s a somewhat likely chance of that.”“Man, Sammy, I can’t live thinking that way""Well,I don't think about it.
Catullus, I Hate and I Love|Everything with me is either worship and passion or pity and understanding. I hate rarely, though when I hate, I hate murderously. But I am more preoccupied with loving.
Jim Fowler|I do believe in humanism, and I believe that we should treat each other with respect and care and look after each other. All human beings should have an equal chance to survive in society, and inequality is a big problem in society.
Anaïs Nin|You have a right to experiment with your life. You will make mistakes. And they are right too. No, I think there was too rigid a pattern. You came out of an education and are supposed to know your vocation. Your vocation is fixed, and maybe ten years later you find you are not a teacher anymore or you're not a painter anymore. It may happen. It has happened. I mean Gauguin decided at a certain point he wasn't a banker anymore; he was a painter. And so he walked away from banking. I think we have a right to change course. But society is the one that keeps demanding that we fit in and not disturb things. They would like you to fit in right away so that things work now.
Bede Jarrett|May He give usall the courage that we needto go the way He shepherds us.That when He callswe may go unfrightened. If He bids us come to Himacross the waters,that unfrightened we may go. And if He bids us climb a hill,may we not notice that it is a hill,mindful only ofthe happiness of His company. He made us for Himself,that we should travel with Himand see Him at the lastin His unveiled beautyin the abiding city whereHe is lightand happinessand endless home.
Rose Christo, Gives Light|And you are mine, and you will be mine. Theywill not get you. - Eric from Dead and Gone
Florence Falk, On My Own: The Art of Being a Woman Alone|Begin. . . where you are, NOT where you want to be. Begin stuck in the doldrums of your false story--if that is where you are. Begin there because, in truth, there is no other place to start from. Tell yourself that you are going to listen for the sound of your own voice--and remind yourself when you forget. And you will forget, over and over again.
Emma Goldman, Anarchism and Other Essays|Modernity has abandoned the household gods, not because we have rejected the idolatry as all Christians must, but because we have rejected the very idea of the household. We no longer worship Vesta, but have only turned away from her because our homes no longer have any hearths. Now we worship Motor Oil. If our rejection of the old idols were Christian repentance, God would bless it, but what is actually happening is that we are sinking below the level of the ancient pagans. But when we turn to Christ in truth, we find that He has ordained every day of marriage as a proclamation of his covenant with the church. A man who embraces what is expected of him will find a good wife and a welcoming hearth. He who loves his wife loves himself.
Sami Abouzid|My music genres, New Age Music, Electronic synth – pop, Disco, Electro house, Electronica- ambient, Electro pop. Hi-NRG, Electronic; ambient; folk; world; classical; easy listening, Latin salsa , Latin cha cha, latin bolero , latin – pop , Rock , Metal , ambient – rock , Arab dance , Nubian music ,jazz . World music , Trance , House music , Techno , Industrial music, Electronic dance music, Ambient house; chill-out …. Mood Music and Sami Abouzid
Harrish Sairaman|If time is linear, every moment is new! Monotony is just an experience of Ignorance!
Ralph Waldo Emerson|When I got large enough to go to work, while employed I was reflecting on many things that would present themselves to my imagination; and whenever an opportunity occurred of looking at a book, when the school-children were getting their lessons, I would find many things that the fertility of my own imagination had depicted to me before.
Mary E.Martin|In his landscapes, Alex expresses the totality of everything in the universe. At the same time, within each leaf, each drop of water or human hair, he conveys a light or glow, which seems to come—how shall I put this—from another dimension. And each brushstroke contains every ounce of his own life and vitality.From The Fate of Pryde, the second in The Trilogy of Remembrance. Enter the giveaway to win one of ten personalized, autographed copies of this novel starting July 31st to August 31st. You can sample the first fifty pages of it on my page. Also, for the same time period, The Drawing Lesson, the first in the trilogy is offered as a giveaway.
Richard Morris|‎In modern physics, there is no such thing as "nothing." Even in a perfect vacuum, pairs of virtual particles are constantly being created and destroyed. The existence of these particles is no mathematical fiction. Though they cannot be directly observed, the effects they create are quite real. The assumption that they exist leads to predictions that have been confirmed by experiment to a high degree of accuracy.
Donna Grant, Passion Ignites|She was so wound up that she reacted before she thought twice about it and stabbed him. "Damnit" he said between clenched teeth. His fingers tightyened around her wrist. "Stop doing that.
Corey Ann Haydu, The Careful Undressing of Love|It sounds like love just sort of happens, whether you want it to or not, whether you’re married or not.
Markus Zusak, Fighting Ruben Wolfe|It's funny, don't you think, how time seems to do a lot of things? It flies, it tells, and worst of all, it runs out.
Charlie Caruso, Understanding y|Social media is much more than self-promotion. It is a two-way street, a set of tools that allow you to reach out to people and become the bringer of positive things and experiences. In turn, these people will not just support you. They will be there to help you increase your reach and audience – and turn your business into a viable endeavour.
Marcus Aurelius, Meditations|Developing better people should be the number one goal for any coach when dealing with kids. In trying to develop better people, we are going to develop more and better pros.
Ray Bradbury, Something Wicked This Way Comes|How men envy and often hate these warm clocks, these wives, who know they will live forever. So what do we do? We men turn terribly mean, because we can't hold to the world or ourselves or anything. We are blind to continuity, all breaks down, falls, melts, stops, rots, or runs away. So, since we cannot shape Time, where does that leave men? Sleepless. Staring.
Chris     Murray, The Extremely Successful Salesman's Club|What you deserve will be down to you, and you alone.
Eileen Granfors|to split the very sea into ours and theirs." Border at the BeachAnd More White Sheets
Debasish Mridha|To expand life, love more; to get more from life, give more.
Kateryna Kei, Raven Boy|Quotes from BEGINNINGS: Where A Life Begins..........Life did not improve for Maria; it just became slowly less unbearableAlia’s mother was more than twice her age. Not yet old enough to be expected to die of old age but now no longer a woman with a future; except that which can be lived through her children and theirs. Her head told her that there was no justice but her heart was unconvinced.She was relieved that her soul no longer weighed as heavily as it had before, or maybe she had learned how to bear its weight a little more skillfully.At first she thought it was her son's spirit that spoke to her. But he was gone; and slowly she realized that the voice was coming from within her but was not her own. It was stronger and braver and, perhaps, even crueller, than she could be. It could only be coming from within her womb. It had to be the voice of her unborn child."Maybe there is really no justice in the world; just survival and revenge," she said.
Panashe Chigumadzi, Sweet Medicine|Silently, she wondered whether this was the same desperation, the same impotence that grips many men by their shirts, their T-shirts, their work vests, gripping them equally hard, shaking them and leading them to drink,to beating or the noose. Was this it?
Henri J.M. Nouwen, Bread for the Journey: A Daybook of Wisdom and Faith|Our minds are always active. We analyze, reflect, daydream, or dream. There is not a moment during the day or night when we are not thinking. You might say our thinking is 'unceasing.' Sometimes we wish that we could stop thinking for a while; that would save us from many worries, guilt feelings, and fears. Our ability to think is our greatest gift, but it is also the source of our greatest pain. Do we have to become victims of our unceasing thoughts? No, we can convert our unceasing thinking into unceasing prayer by making our inner monologue into a continuing dialogue with our God, who is the source of all love.Let’s break out of our isolation and realize that Someone who dwells in the center of our beings wants to listen with love to all that occupies and preoccupies our minds.
