Gautama Buddha|If you do not change direction, you may end up where you are heading
Lucas J. Robak|Anything I can do, you can do better. It is a matter of belief backed by desire.
Jodi Picoult, The Pact|She has never been a pretty crier. She sobbed the way she did everything else - with passion and excess. That she had managed to keep it inside her this long was astounding to James. He thought of pushing open the half-closed door and kneeling before his wife, wrapping his arms around her shoulders and helping her upstairs. He raised his hand, stroking the wood of the door, planning to say something to calm her. But what wisdom could he offer Gus, when he could not even heed it himself? James walked upstairs again, got into bed, covered his head with a pillow. And hours later, when Gus crept beneath the sheets, he tried to pretend that he did not feel the weight of her grief, lying between them like a fitful child, so solid that he could not reach past it to touch her.
Billy Graham, Billy Graham in Quotes|There is legitimate pleasure, which is not wrong, but we are not to become so preoccupied with its activities that it takes the place of God.
Dennis Weaver|The truth is, natural organisms have managed to do everything we want to do without guzzling fossil fuels, polluting the planet or mortgaging the future.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Allow your hearts to be driven by principle, not bias. Love, not hate. Unity, not division. The fire of your dreams, not the rain of your sorrows.
William Stafford, The Way It Is: New and Selected Poems|I is for immortality, which for some poets is a necessary compensation. Presumably miserable in this life, they will be remembered when the rest of us are long forgotten. None of them asks about the quality of that remembrance--what it will be like to crouch in the dim hallways of somebody's mind until the moment of recollection occurs, or to be lifted off suddenly and forever into the pastures of obscurity. Most poets know better than to concern themselves with such things. They know the chances are better than good that their poems will die when they do and never be heard of again, that they'll be replaced by poems sporting a new look in a language more current. They also know that even if individual poems die, though in some cases slowly, poetry will continue: that its subjects, it constant themes, are less liable to change than fashions in language, and that this is where an alternate, less lustrous immortality might be. We all know that a poem can influence other poems, remain alive in them, just as previous poems are alive in it. Could we not say, therefore, that individual poems succeed most by encouraging revisions of themselves and inducing their own erasure? Yes, but is this immortality, or simply a purposeful way of being dead?
William Cowper|I'm planning to be here forever, but I know at some point I'll probably have to give it up. If you live to 100, there's a very good chance you'll live forever. Because very few people die after 100.
Ruth McLeod-Kearns, Love, Loss, Trauma|Becky was a weed.  Nobody ever wanted them taking over the bigger, prettier plants.  People went to all extremes to make them go away.  They sprayed poison, pulled until the roots gave way. They felt only like their garden was complete when every tendril was extirpated.  This was how she felt from birth.
William Shakespeare, Macbeth|Man is mostly a collection of emotions, most of which he would do better not to be feeling.
Amy Chua|I love surfing, rock climbing, cycling - all that stuff. But it's just amazing that I can inspire people with my running. It's humbling, really.
Mary Renault, The Last of the Wine|When you want to talk about honor, they want to talk about money. When you want to talk about money, they want to talk about gentility. They either get the notion of honor or they don't. And if they don't, you probably shouldn't be fucking with them.
Idries Shah, Learning How to Learn: Psychology and Spirituality in the Sufi Way|One can give or withhold in a manner far more effective, sophisticated, useful, which is quite invisible to people who think that giving or withholding is done by external assessment. If you seek some mark of favour or 'promotion', know that you are not ready for it. Progress comes through capacity to learn, and is irresistible. Nobody can stand between you and knowledge if you are fit for it.
Kevin McCarthy|It's so easy to be there when it's all sunshine, but it really takes strength and courage to be there for each other during the dark times.
Paul Celan|Reachable, near and not lost, there remained in the midst of the losses this one thing: language. It, the language, remained, not lost, yes, in spite of everything. But it had to pass through its own answerlessness, pass through frightful muting, pass through the thousand darknesses of deathbringing speech. It passed through and gave back no words for that which happened; yet it passed through this happening. Passed through and could come to light again, “enriched” by all this.
James Lovegrove, The Age of Ra|Hierarchy and discipline gave shape to the world;that was what he had always believed.Life was made easy by adherence toa rigid structure.But maybe that only really worked when you were at the top of the ladder,when you were doing well.The further down the rungs you went,the more of a victim of circumstances you became and the less it mattered whether or not you were in control.
Daniel C. Dennett, Darwin's Dangerous Idea: Evolution and the Meanings of Life|Science, however, is not just a matter of making mistakes, but of making mistakes in public. Making mistakes for all to see, in the hopes of getting the others to help with the corrections.
Foz Meadows|As a fantasist, I well understand the power of escapism, particularly as relates to romance. But when so many stories aimed at the same audience all trumpet the same message – And Lo! There shall be Two Hot Boys, one of them your Heart’s Intended, the other a vain Pretender who is also hot and with whom you shall have guilty makeouts before settling down with your One True Love – I am inclined to stop viewing the situation as benign and start wondering why, for instance, the heroines in these stories are only ever given a powerful, magical destiny of great importance to the entire world so long as fulfilling it requires male protection, guidance and companionship, and which comes to an end just as soon as they settle their inevitable differences with said swain and start kissing.I mean to invoke is something of the danger of mob rule, only applied to narrative and culture. Viz: that the comparative harmlessness of individuals does not prevent them from causing harm en masse. Take any one story with the structure mentioned above, and by itself, there’s no problem. But past a certain point, the numbers begin to tell – and that poses a tricky question. In the case of actual mobs, you’ll frequently find a ringleader, or at least a core set of agitators: belligerent louts who stir up feeling well beyond their ability to contain it. In the case of novels, however, things aren’t so clear cut. Authors tell the stories they want to tell, and even if a number of them choose to write a certain kind of narrative either in isolation or inspired by their fellows, holding any one of them accountable for the total outcome would be like trying to blame an avalanche on a single snowflake. Certainly, we may point at those with the greatest (arguable) influence or expostulate about creative domino effects, but as with the drop that breaks the levee, it is impossible to try and isolate the point at which a cluster of stories became a culture of stories – or, for that matter, to hold one particular narrative accountable for the whole.
Kris Courtney, Norma Jean's Sun|You are putting yourself in serious danger...'I think that I preferred to put myself in serious danger rather than confront my shame. My shame at not having become someone, the shame of not having made my parents proud after all the sacrifices they had made for me. The shame of having become a mediocre nihilist.
Karen Chance, Midnight's Daughter|If truth prevails, the contributions of a courageous physician and a brilliant engineer to the conquest of waterborne disease will still be remembered in another hundred years.
Maggie Stiefvater, Forever|It was her eyes and my eyes and I felt a surging sensation of rightness, of saying the right thing at the right time to the right person.
C. S. Lewis|I think it's something that needs to be said - that there are interracial marriages out there, and the couples live happy lives, and there's nothing wrong with it.
Heather R. Blair, Blood in Fire|When the twilight of all my evenings reaches me, after a long dark day, my complicated thoughts suffocate inside all of my uncomplicated longings. Evenings refuse to end. And the dawns that constantly swallow up my nights, always shows me an extremely long road I still need to tread, and discover. And get hurt.
Rebecca McNutt, Smog City|People say that a time machine can’t be invented, but they’ve already invented a device that can stop time, cameras are the world’s first time machines.
George Orwell, 1984|The problem was how to keep the wheels of industry turning without increasing the real wealth of the world. Goods must be produced, but they must not be distributed.
Rob Liano|Many people see a brick wall as an obstacle, when it's really a 'how to' for achieving success. You have to build either of them one brick at a time.
Sunday Adelaja|When we allow ourselves to show some patience and take time to listen to the others, we may learn a lot about ourselves. Patience does not endure instant gratification, though, and self-knowledge may take a lifetime. (“I am on my own side, but I can listen “ )
Wallace Shawn|Such is the condition of organic nature! whose first law might be expressed in the words 'Eat or be eaten!' and which would seem to be one great slaughter-house, one universal scene of rapacity and injustice!
Søren Kierkegaard|Everyone take his revenge on the world. My revenge consists in bearing my distress and anguish enclosed deeply within me while my laughter entertains everyone. If I see someone suffer I give him my sympathy, console him as best I can, and listen to him calmly when he assures me that I am fortunate. If only I can keep this up until the day I die I shall have had my revenge
F. Scott Fitzgerald, This Side of Paradise|There were days when Amory resented that life had changed from an even progress along a road stretching ever in sight, with the scenery merging and blending, into a succession of quick, unrelated scenes... He felt that it would take all time, more than he could ever spare, to glue these strange cumbersome pictures into the scrap-book of his life.
Ellen DeGeneres|My views are very fluctuating. I have very contradictory takes on the subject. Dating is easier, while marriage is hard work. You see your friends having early divorces, and on the other hand, you see your parents having a successful marriage.
Suzanne  Johnson, Elysian Fields|The fight wasn’t over,” I said through gritted teeth. “I’d have won it.”  Probably. “Right,” he said. “And something just flew past your window. It was oinking.
Kourtney Kardashian|Outstanding leaders go out of their way to boost the self-esteem of their personnel. If people believe in themselves, it's amazing what they can accomplish.
Erika Johansen, The Invasion of the Tearling|Anger was the indulgence of a child, not a queen.
Woody Allen|Where logic reaches, religion leaves.
Debasish Mridha|Faith and beliefs are the common things in all religion, so God is the faith and the belief without exception.
Rachael Wade, The Gates|I saw it in his eyes, first—the beginning of the end, the beginning of things to come. The blackest night, they cut into me, paralyzing my trembling body. Not even the gods could sense my fear now, for the celebration of the monsters who’d claimed me drowned out all perception of pain. It was all-powerful, all-knowing, the definition of infinite, an overwhelming possession that consumed every inch of my being.
Christina Engela, Dead Man's Hammer|If you 'don't do politics' , trust me - politics will do you.
Jeremy Vaeni, Urgency.|In that pallid and sullen shadow in which he crawled, whenever he turned his head and endeavoured to raise his eyes, he saw, with mingled rage and terror, forming, massing, and mounting up out of sight above him with horrid escarpments, a kind of frightful accumulation of things, of laws, of prejudices, of men, and of acts, the outlines of which escaped him, the weight of which appalled him, and which was no other than that prodigious pyramid that we call civilization.
Joel Fuhrman|New York apartments are notoriously small, and my cute little studio is no exception - space is at a premium, which is one of the reasons that I only have a mini-fridge. Great for leftovers, cheese, and chilling Diet Coke.
Liane Moriarty, Truly Madly Guilty|We are born crying, and for good reason,' he reflected. 'And the rest of our lives is bound to be a muted reiteration of that cry.
Kurt Vonnegut|If trees can create art, if they can encircle the globe seven times in one year, if prisoners can grow plants and raise frogs, then perhaps there are other static entities that we hold inside ourselves, like grief, like addictions, like racism, that can also change.
Cassie Mae, No Interest in Love|She stepped over to the model. "The little town looks so sweet in the moonlight."	And so did Lindsey. Her sexy silhouette had him riveted in place. He knew better, but his instincts urged him to go to her. Joining her next to the model, he skimmed his fingertips over her bare shoulder and down her arm. He reached her hand and languidly laced his fingers between hers. "Not nearly as sweet as you look," he whispered close to her ear...
Nilantha Ilangamuwa|The obvious definition of a monarchy seems to be that of a state, in which a single person, by whatsoever name he may be distinguished, is entrusted with the execution of the laws, the management of the revenue, and the command of the army. But, unless public liberty is protected by intrepid and vigilant guardians, the authority of so formidable a magistrate will soon degenerate into despotism. The influence of the clergy, in an age of superstition, might be usefully employed to assert the rights of mankind; but so intimate is the connection between the throne and the altar, that the banner of the church has very seldom been seen on the side of the people. A martial nobility and stubborn commons, possessed of arms, tenacious of property, and collected into constitutional assemblies, form the only balance capable of preserving a free constitution against enterprises of an aspiring prince.
Laiah Gifty Akita|Rabbi, the great Teacher, Jesus Christ.
Bryant McGill, Voice of Reason|I think love and hate intertwine far too much for humanity's own good, yet we choose to compare them like vinegar and water.
Shūsaku Endō, The Final Martyrs|Over the years I have forged intimate familial ties with these characters, who are reflections of a portion of myself. Consequently, even a character who appeared only once in a short story waits now in the wings, concealed by the curtain, for his next appearance on-stage. Not one of them has ever broken free of his familial ties with me and disappeared for ever - at least, not within the confines of my heart.
Brent Weeks, Beyond the Shadows|You don’t need to wait for God to show up, in order to be rescued from your bad situation. God has been trying to get your attention for a really long time.
Ricky Martin|If a country is to be corruption free and become a nation of beautiful minds, I strongly feel there are three key societal members who can make a difference. They are the father, the mother and the teacher.
Barton Goldsmith, The Happy Couple: How to Make Happiness a Habit One Little Loving Thing at a Time|But, he thought, what does it mean, insane? A legal definition. What do I mean? I feel it, see it, but what is it?He thought, It is something they do, something they are. It is their unconsciousness. Their lack of knowledge about others. Their not being aware of what they do to others, the destruction they have caused and are causing. No, he thought. That isn't it. I don't know; I sense it, I intuit it. But -- they are purposelessly cruel... is that it? No, God, he thought. I can't find it, make it clear. Do they ignore parts of reality? Yes. But it is more. It is their plans. Yes, their plans. The conquering of the planets. Something frenzied and demented, as was their conquering of Africa, and before that, Europe and Asia.Their view; it is cosmic. Not a man here, a child there, but an abstraction : race, land. Volk. Land. Blut. Ehre. Not of honourable men but of Ehre itself, hounor; the abstract is real, the actual is invisible to them. Die Güte, but not good men, this good man. It is their sense of space and time.
Scott Stabile|And then it hit me—I don’t have to participate in these toxic conversations.But if I choose to, I can set a different example. I can bring love to the moment, regardless of the response.I can choose to be kind, no matter what.My power lives in my love.
Ken Bain, What the Best College Teachers Do|In short, we much struggle with the meaning of learning within our discipline and how best to cultivate and recognize it. For that task, we don't need routine experts who know all the right procedures but adaptive ones who can apply fundamental principles to all the situations and students they are likely to encounter, recognizing when invention is both possible and necessary and that there is no single 'best way' to teach.
Eugene Field|"Christ the Lord is risen today " Sons of men and angels say. Raise your joys and triumphs high  Sing  ye heavens  and earth reply.
Janette Oke, Love Comes Softly|If she remember right, people who had a God didn't seem to hold to drinking' an' beating' their women. With a little luck maybe she wouldn't have to put up with that anyway.
Travis Kalanick|The thing we're all looking for is happiness, and if we achieve just a modicum of that or even a little piece of serenity even for five minutes a day, we're very lucky.
Alexej Savreux, Graffiti on the Window|I don't need to write light, to see light. You are only disabled, if you disable yourself. I may have an illness, but I am not the illness Truth is, despite what they may say, I'll get out of this world alive. I am the Gospel of Myself.
Kristin Cavallari|I auditioned on my own. I tried to make a mark for myself without anybody's help, not even Mom's.
Sunday Adelaja|Unfortunately, we do not often see the advantages in the power of values and virtues. We are easily taken away by physical wealth, material possessions and the power of money.
Andie MacDowell|There's plenty of room for humor in politics, God knows, but it's a serious business.
Alfred Korzybski, Science and Sanity: An Introduction to Non-Aristotelian Systems and General Semantics|The Beaver is an amphibious creature: by day it lives hidden in rivers, but at night it roams the land, feeding itself with anything that it can find. Now it understands the reason why hunters come after it with such eagerness and impetuosity, and it puts down its head and with its teeth cuts off its testicles and throws them in their path, as a prudent man who, falling into the hands of robbers, sacrifices all that he is carrying, to save his life, and forfeits his possessions by way of ransom. If however it has already saved its life by self-castration and is again pursued, then it stands up and reveals that it offers no ground for their eager pursuit, and releases the hunters from all further exertions, for they esteem its flesh less. Often however Beavers with testicles intact, after escaping as far away as possible, have drawn in the coveted part, and with great skill and ingenuity tricked their pursuers, pretending that they no longer possessed what they were keeping in concealment.
Joe Namath|I've always been really active. I grew up playing sports, so I'm always shooting hoops or throwing the football with my friends. I'm super-active in that sense.
Alexandra Iff, More Than Just a Pair of Pumps|Love always finds its way, but if you love someone just say...
Sallust|To feel envy is human, to savour schadenfreude is devilish.
Alan Chains, Return to Island X|The cultural problem was 'the fallacy of insignificance', and it was a philosophical form of this fallacy that had somehow landed existentialism in a cul de sac.
Munia Khan|She didn't do anything at allexcept arrived without warningin the middle of the night(right when I least expected it)She walked by me, with a strut in her stepsmelling like summercausing me to turn my head(even the leaves swayed her way)All she did was look at mewith bright, curious eyesfilled with mirth and secrets(as if an adventure was about to happen)I tried not to think of her at allnot the curves of her bodyor the stories that she told(you knew there'd never be dull conversations)By then, I couldn't walk awayI got caught up in her stormwithout a care in the world(I was a very good swimmer)She was a hurricane who created her own sunshine.
Russell Simmons, Do You!: 12 Laws to Access the Power in You to Achieve Happiness and Success|Fear was the worst evil ever to plague a man, for with it came hesitation and with that, inaction, failure, death.
Lisa Bedrick, On Christian Apologetics|Satan is behind the theory of evolution. Satan hates God and us.  Satan is the father of all lies. So he wants nothing more than to make every human being alive believe lies about God, ourselves and how and why we exist.
Jeff Shaara quoting Colonel "Chesty" Puller|I first saw you as you crossed the street. It was then that my heart began a brand new beat. As I continued to drive, I felt a deep inside yearn, I immediately looked for an opportunity to make a U-turn.
Nikolaj Coster-Waldau|Yes, I think it's really important to acknowledge that Dr. King, precisely at the moment of his assassination, was re-conceptualizing the civil rights movement and moving toward a sort of coalitional relationship with the trade union movement.
Matthew Quick, Forgive Me, Leonard Peacock|She took a deep breath. "Let me begin again." If this girl wanted to play ball in front of her department head, Christine would bring it. She closed her eyes and accessed the most expensive Philo Department vocabulary words she possessed."Well, as human beings, when we immanentize the eschaton…
Mimi Kennedy|We need stem-cell research, no question about it. It is absolutely crucial for moving our medical science forward. We are trying to harness an untapped source of energy that can provide cures and possibly even prevent disease and suffering.
Ellen Hopkins, Identical|In fact, since the accident, Mom doesn't love anyone. She is marble. Beautiful. Frigid. Easily stained by her family. What's left of us anyway. We are corpses.At first, we sought rebirth. But resurrection devoid of her love has made us zombies. We get up every morning, skip breakfast, hurry off to work or school. For in those other places, we are more at home.And sometimes we stagger beneath the weight of grief, the immensity of aloneness.
Dragos Bratasanu, Ph.D.|The only way to heal is to help others heal, and the only way to find love and keep love in our lives is to give it to others.
Ilchi Lee, Change: Realizing Your Greatest Potential|To change, you need to accept your past and deny to be challenged and overcome by your future.
Stephen Colbert, I Am America|All Dogs Go To Heaven? Sorry, kids. It's only the dogs who've accepted Christ.
George Lakoff, Philosophy in the Flesh: The Embodied Mind and its Challenge to Western Thought|There is nothing worse then being surrounded by a bunch of people telling you to do what is right, when they can't define that definition, without a lot of hatred and judgment behind it.
Carrie Ann Ryan, Prowled Darkness|It wasn't every day that a lion shifter next in line to the throne, dealing with a possible uproar and war in his Pride, found himself a soon-to-be father with a not-so-human potential mate after he'd left her all alone because he'd been forced to hurt her. There weren't any manuals for this sort of thing....
Marcel Proust, Swann's Way|My aunt must have been perfectly well aware that she would not see Swann again, that she would never leave her own house any more, but this ultimate seclusion seemed to be accepted by her with all the more readiness for the very reason which, to our minds, ought to have made it more unbearable; namely, that such a seclusion was forced upon her by the gradual and steady diminution in her strength which she was able to measure daily, which, by making every action, every movement 'tiring' to her if not actually painful, gave to inaction, isolation and silence the blessed, strengthening and refreshing charm of repose.
Georgia Clark, She's with the Band|The most intimate moments in the world don't happen in nightclubs or backstage or even on the movie screen. They were moments like this: sitting silently, comfortably, holding hands on a darkened bedroom floor.
John Drane|I started off in England and very few people knew I was Australian. I mean, the clues were in the poems, but they didn't read them very carefully, and so for years and years I was considered completely part of the English poetry scene.
William Giraldi|We know by intuition and study that great books approach a condition both above and below human — what Lesser means by “grandeur and intimacy” — and our job is to place ourselves somewhere on the continuum between those shifting poles, to welcome a gravid agitation or be willing to undergo some form of personal torsion; to have our personhood both threatened and amplified.
Kim Stanley Robinson, The Years of Rice and Salt|In China the egalitarian movement came not just from Zhu's vision, but also the Taoist ideas of balance, as Zhu would always point out. In Travancore it rose out of the Buddhist idea of compassion, in Yingzhou from the Hodenosaunee idea of the equality of all, in Firanja from the idea of justice before God. Everywhere the idea existed, but the world still belonged to a tiny minority of rich; wealth had been accumulating for centuries in a few hands, and the people lucky enough to be born into this old aristocracy lived in the old manner, with the rights of kings now spread among the wealthy of the Earth. Money had replaced land as the basis of power, and money flowed according to its own gravity, its laws of accumulation, which though divorced from nature, were nevertheless the laws ruling most countries on Earth, no matter their religious or philosophical ideas of love, compassion, charity, equality, goodness, and the like. Old Zhu had been right: humanity's behavior was still based on old laws, which determined how food and land and water and surplus wealth around, how the labor of the eight billions was owned. If these laws did not change, the living shell of the earth might well be wrecked, and inherited by seagulls and ants and cockroaches.
Julie Metz, Perfection: A Memoir of Betrayal and Renewal|Really, for a man who had been out of practice for so many years it was a splendid laugh!
Mary Taylor Young, The Guide to Colorado Mammals|I feel that the Photograph creates my body or mortifies it, according to its caprice (apology of this mortiferous power: certain Communards paid with their lives for their willingness or even their eagerness to pose on the barricades: defeated, they were recognized by Thiers's police and shot, almost every one).
|If you don't want the world to judge you wrongly, then let your frequent decisions and actions clearly define who you truly are.
Jane Costello, The Nearly-Weds|I am attracted to certain types of people: the outrageous, outstanding and the one's pegged as odd. The 3 O's remind me not to be ordinary.
Garcelle Beauvais|Because I live in the countryside, I want a building which encourages me to have a fully formed relationship with the environment. It gives me an opportunity to not just be inside or outside, but in a range of contexts.
Lailah Gifty Akita, Think Great: Be Great!|Heavenly Father, let your glory be seen in our lives.
John J. Ratey, Spark: The Revolutionary New Science of Exercise and the Brain|#36:...Something has happened to our intelligence. My reasoning is this: arrangements of part of the Brain is a language. We are parts of the Brain; therefore, we are language. Why, then, do we not know this?
J. Raymond|Something about her was different that day. In an instant, she swallowed her regrets, choked back her past, and swore to make history every damn day. There I stood, struggling to make sense of the strength of a woman.
V.S. Atbay|All beautiful distractions, ignites from you.
Fakeer Ishavardas|When one has attained a state of mind from which the evil passions of the present world have been so utterly winnowed, fear too is forgotten. Thus it was that the priest no longer could understand why Hell should exist.
Kate Bernheimer, The Complete Tales of Lucy Gold|Thankfully, the farmers understand my request that the children not be allowed to peer through the windows at me.It would be alarming for them to see me with their dolls, to see me using the knife on their faces. There are some things children never should see.
David Chang|Follow your heart. Do what you love. Because I was constantly struggling with that. If it's in your heart, go for it. Don't listen to other people.
Lord Acton|Science gives us knowledge, but only philosophy can give us wisdom.
Lynn Hoffman|In an age when mass pleasures like television are becoming more feeble and homogeneous, the very act of discrimination becomes a form of protest. At a time when mass marketing of food produces a product so disgusting that it has to be wrapped in distracting gimmicks to be sold, the mere fact of paying attention to what you eat and drink and telling the truth about taste is a revolutionary act.
Santosh Kalwar|There are no perfect human beings and even those who we pray such as Allah, Buddha, Jesus, Krishna among others, were not perfect.
Charles Soule|It's so funny, because when I was growing up in a small town in New Hampshire, I was obsessed with Leonardo DiCaprio - from the 'Growing Pains'/'What's Eating Gilbert Grape' era, because he was superhot - and I carried a laminated photo of him in my wallet and said he was my boyfriend. But no one believed me.
|It is quite awful how some people are constantly saying that they are superior to others, but deep down they know that they are suffering from a lot of insecurities.
Thomas Arnold|I never really felt like my age stopped people from wanting to work with me. I was speaking at conferences and lecturing at universities at 18, and I think that was mainly because web developing and management was a really young industry.
Alfred Adler|The wrath of God is a way of saying that I have been living in a way that is contrary to the love that is God. Anyone who begins to live and grow away from God, who lives away from what is good, is turning his life toward wrath.
Jacqueline Novogratz, The Blue Sweater: Bridging the Gap Between Rich and Poor in an Interconnected World|Once you go on welfare it changes you. Even if you get off welfare, you never escape the stigma that you were a charity case. You're scarred for life.
Renee James|If we're building high quality companies, if the customers like the products, if the technology innovation is real, then the substance is going to win out in the end.
Kendrick Lamar|When people hear good music, it makes them homesick for something they never had, and never will have.
Shannon A. Thompson, Death Before Daylight|Sometimes we hurt the ones we love, but hurting ourselves to avoid it doesn’t make it better.
Naoko Takeuchi|You’re so unfair, Michiru…To leave into your own world…Don’t leave me alone…-Haruka Tenoh/Sailor Uranus
Paul Russell, The Coming Storm|If I make you read, then I'll keep quiet. If I make you think, then I'll keep reading. If I make you smile, then I'll keep writing.
Anthony T. Hincks|Max always mumbles; not in a shy way, but rather as if he's telling you what it will cost to take out your worst enemy, or how much you'd have to pay to rig a horse race.
C.I. Dennis, Tanzi's Ice|No wonder Thanksgiving was my favorite—you can't buy it, wrap it, or put it under a tree, and even the greeting card companies can't seem to make a buck off of it. It's just a meal, with people who you love and who love you back, no matter what.
Barbara Demick, Nothing to Envy: Ordinary Lives in North Korea|To congratulate oneself on one's warm commitment to the environment, or to peace, or to the oppressed, and think no more is a profound moral fault.
Billy Graham, Billy Graham in Quotes|What greater glory can we anticipate than to stand before the throne of God, to humble ourselves before His great and incomparable majesty.
Tom Robbins|A philosopher once asked, "Are we human because we gaze at the stars, or do we gaze at them because we are human?" Pointless, really..."Do the stars gaze back?" Now, that's a question.
Mitch Albom, The Time Keeper|It is too late." The old man shook his head. "It is never too late or too soon. It is when it is supposed to be." He smiled. "There is a plan, Dor.
Emily Oster|I believe that at least 70 percent of parenting goes to the mother. In our house, I'm the one who knows about all the school stuff, helps with the homework, organizes the play dates, and remembers the birthday parties.
Jalaluddin Rumi|You are an ocean in a drop of dew,all the universes in a thin sack of blood.What are these pleasures then,these joys, these worldsthat you keep reaching for,hoping they will make you more alive?
Auliq-Ice|Entrepreneurship is like a weighing machine whose load content should tilt towards passion to solve a pressing need, more than passion to make money.
Rosie McKinley, Gypsy Girl|My other boy thing is that I sort of have a teeny tiny superpower. It’s not a jump-over-buildings, see-through-people’s-clothes, or lift-a-train-over-my-head one, which is good, because when you can do those kinds of things you probably have to live in a secret hideout instead of at home with your mom and dad. And I really like my room….
Confucius|Character contributes to beauty. It fortifies a woman as her youth fades. A mode of conduct, a standard of courage, discipline, fortitude, and integrity can do a great deal to make a woman beautiful.
Suellen Drysdale|Figured that most of life's dilemmas could be solved by asking yourself this one question: " Is it worth it--to me? 
Ruta Sepetys, Salt to the Sea|War had bled color from everything, leaving nothing but a storm of gray.
Larissa Lai, Salt Fish Girl: A Novel|He thought of the deep crevasses and windy caves of Underlay, and the stories of the creatures that dwelt there. Of course, he didn’t believe in them. He’d told them, because the handing on of an oral mythology was very important to a developing culture, but he didn’t believe in supernatural monsters. He shivered. He hoped they didn’t believe in him.
Joan Swan|The reality is that the only people who count are those who believe in you no matter what. The ones who stand beside you when hell crawls through, nipping at your heels because they know who you really are.
George Packer|As a lawyer, I could engage in killer litigation with the best of them. It was war, after all.
Elle Newmark, The Book of Unholy Mischief|Guilt isn't in cat vocabulary. They never suffer remorse for eating too much, sleeping too long or hogging the warmest cushion in the house. They welcome every pleasurable moment as it unravels and savour it to the full until a butterfly or falling leaf diverts their attention. They don't waste energy counting the number of calories they've consumed or the hours they've frittered away sunbathing.Cats don't beat themselves up about not working hard enough. They don't get up and go, they sit down and stay. For them, lethargy is an art form. From their vantage points on top of fences and window ledges, they see the treadmills of human obligations for what they are - a meaningless waste of nap time.
Samuel Johnson|Knowledge is of two kinds. We know a subject ourselves, or we know where we can find information upon it.
Laurie Colwin|The beet is the most intense of vegetables. The radish, admittedly, is more feverish, but the fire of the radish is a cold fire, the fire of discontent not of passion. Tomatoes are lusty enough, yet there runs through tomatoes an undercurrent of frivolity. Beets are deadly serious.Slavic peoples get their physical characteristics from potatoes, their smoldering inquietude from radishes, their seriousness from beets.The beet is the melancholy vegetable, the one most willing to suffer. You can't squeeze blood out of a turnip...The beet is the murderer returned to the scene of the crime. The beet is what happens when the cherry finishes with the carrot. The beet is the ancient ancestor of the autumn moon, bearded, buried, all but fossilized; the dark green sails of the grounded moon-boat stitched with veins of primordial plasma; the kite string that once connected the moon to the Earth now a muddy whisker drilling desperately for rubies.The beet was Rasputin's favorite vegetable. You could see it in his eyes.
Edward M. Hallowell, Dare to Forgive: The Power of Letting Go & Moving on|Forgiveness takes intelligence, discipline, imagination, and persistence, as well as a special psychological strength, something athletes call mental toughness and warriors call courage.
Alexandra Bracken, The Darkest Minds|Those rabbits stopped fighting the system, because it was easier to take the loss of freedom, to forget what it was like before the fence kept them in, than to be out there in the world struggling to find shelter and food. They had decided that the loss of some was worth the temporary comfort of many.
Ali Smith|When you see that many people with a smile on their face, then you must be doing something right.
Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts|Appreciation and respect are mutual needs. We may be wired differently as men and women, but some needs are parallel human needs.
Israelmore Ayivor, Dream Big!: See Your Bigger Picture!|Pray without ceasing, say all you can to God and lay all your difficulties before him. He’ll take away your tears and make a way where there seems to be none. Wake up and do it!
Tite Kubo, Bleach―ブリーチ― 46 [Burīchi 46]|Truth only exists for those who cling to it."Sosuke Aizen
Matshona Dhliwayo|If an eagle is teaching you to fly, ignore the advice of turkeys.
Phyllis Reynolds Naylor, Now I'll Tell You Everything|You could be the ugliest, nastiest most miserable piece of shit known to man, but if you had a beating heart there was always a chance you'd turn into a diamond after a million years.
Pat Summitt|But you know, my dad called me the laziest white kid he ever met. When I screamed back at him that he was putting down a race of people to call me lazy, his answer was that's not what he was doing, and that I was also the dumbest white kid he ever met.
Victor Hugo, Les Misérables|Sleep came on him as a thief, consciousness stolen like a forgotten coin from his pocket.
Nick Hornby, Fever Pitch|I fell in love with football as I was later to fall in love with women: suddenly, inexplicably, uncritically, giving no thought to the pain or disruption it would bring with it.
George MacDonald, Mary Marston|The clouds were gathering over Mary, too--deep and dark, but of altogether another kind from those that enveloped Letty: no troubles are for one moment to be compared with those that come of the wrongness, even if it be not wickedness, that is our own. Some clouds rise from stagnant bogs and fens; others from the wide, clean, large ocean. But either kind, thank God, will serve the angels to come down by. In the old stories of celestial visitants the clouds do much; and it is oftenest of all down the misty slope of griefs and pains and fears, that the most powerful joy slides into the hearts of men and women and children.
Anna White, Mended: Thoughts on Life, Love, and Leaps of Faith|No, on the outside view there was nothing for anyone to notice about me. I remained one pillar of a trinity, another pillar was lying only temporarily (temporarily! temporarily! temporarily!) in the hospital, I was the pilot of a three-engine aircraft, one of whose engines had stalled: there is no reason to panic, this is not a crash landing, the pilot has thousands of flight hours behind him, he will land the plane safely on the ground.
Walter Payton|The best clubs in the world are always the clubs where you have a variety of people. Like, you have the crazy people, you have the nicely dressed people, you have the office people, you have the regular guys - that makes it fun.
