John Irving, A Prayer for Owen Meany|Great words, arranged with cunning and artistry, could change the perceived world for some readers
Amy Leach, Things That Are|for the first time in an age, he saw the beauty of the stars, rather than the darkness between them.
Joe Dispenza, Breaking The Habit of Being Yourself: How to Lose Your Mind and Create a New One|We should never wait for science to give us permission to do the uncommon; if we do, then we are turning science into another religion.
Masanobu Fukuoka, The One-Straw Revolution|This for many people is what is most offensive about hunting—to some, disgusting: that it encourages, or allows, us not only to kill but to take a certain pleasure in killing. It's not as though the rest of us don't countenance the killing of tens of millions of animals every year. Yet for some reason we feel more comfortable with the mechanical killing practiced, out of view and without emotion by industrial agriculture.
Mark Z. Danielewski, House of Leaves|...and there you have it, another body on the floor surrounded by things that don't mean much to anyone except to the one who can't take any of them along. 
José N. Harris, Mi Vida|Even after three hundred maps have been handed out, Ama and I still melt the moment people switch from being suspicious that we want to sell them something--"Hey? What do you want? Money? Directions?--to realising that we just want to know their stories, their memories, what they love--"Oh, in that case, thanks, sweeties!
Richard Kadrey, Sandman Slim|Fuck you, angel. Fuck you and all God's little prison bitches. He slips you some cigarettes and a con job smile and you run off to do his dirty work for him. Go and scare some sinners. No one's listening to you here.
Noam Chomsky|Israel's demonstration of its military prowess in 1967 confirmed its status as a 'strategic asset,' as did its moves to prevent Syrian intervention in Jordan in 1970 in support of the PLO. Under the Nixon doctrine, Israel and Iran were to be 'the guardians of the Gulf,' and after the fall of the Shah, Israel's perceived role was enhanced. Meanwhile, Israel has provided subsidiary services elsewhere, including Latin America, where direct US support for the most murderous regimes has been impeded by Congress. While there has been internal debate and some fluctuation in US policy, much exaggerated in discussion here, it has been generally true that US support for Israel's militarization and expansion reflected the estimate of its power in the region.The effect has been to turn Israel into a militarized state completely dependent on US aid, willing to undertake tasks that few can endure, such as participation in Guatemalan genocide. For Israel, this is a moral disaster and will eventually become a physical disaster as well. For the Palestinians and many others, it has been a catastrophe, as it may sooner or later be for the entire world, with the growing danger of superpower confrontation.
A.S. Byatt, Babel Tower|But she knew it would never happen. She had no intention of visiting him there. Even if she were open to the idea, as Mom and Dad both hoped she would be, the mathematics of it seemed utterly impossible to her. What was she supposed to do, spend Christmas there and Easter here? See her dad every other holiday and one week during the summer, just enough to glimpse his new life in fragments, tiny slivers of a world she had no part in? And all the while missing out on those moments of her mom’s life—her mom, who’d done nothing to deserve to spend Christmas alone?That, it seemed to Hadley, was no way to live. Perhaps if there were more time, or if time were more malleable; if she could be both places at once, live parallel lives; or, simpler yet, if Dad would just come home. Because as far as she was concerned, there was no in-between: She wanted all or nothing, illogically, irrationally, even though something inside of her knew that nothing would be too hard, and all was impossible.
Ken Kesey|One of the dumbest things you were ever taught was to write what you know. Because what you know is usually dull. Remember when you first wanted to be a writer? Eight or ten years old, reading about thin-lipped heroes flying over mysterious viny jungles toward untold wonders? That's what you wanted to write about, about what you didn't know. So. What mysterious time and place don't we 
Chuck Norris|All experience is an arch, to build upon.
Debasish Mridha|I dream my life, and then l live in my dreams.
Wole Soyinka, Climate of Fear: The Quest for Dignity in a Dehumanized World|I am a cypher...I carry no weight, no worth, no influence. I represent nothing. I do not exist.
Jeaniene Frost, This Side of the Grave|The 1st day, I stood in the kitchen leaning against the counter watching Annie feed the cats, and I knew I wanted to do that forever.
Jerry Springer|I've never believed much in that holding hands kind of love. I've always thought that love is about two different personalities trying to confront life, trying to make sense of their responsibilities, to themselves, to each other, and to the wider society.
Keigo Higashino|...that the decline in reading among children was largely the fault of their parents. Parents these days don't read books, themselves, but they feel they should make their children read. Since they aren't readers, however, they have no idea what to give their children. That's why they cling to the recommendations from the Ministry of Education. Those books are all insufferably boring and, as a result, the kids learn to hate books. It's a vicious cycle with no end in sight.
V.E. Schwab, A Darker Shade of Magic|Well, if my crime is love, then I am indeed guilty
Richard Rohr, Falling Upward: A Spirituality for the Two Halves of Life|I'm not going to be hardened by these people, to these things, I'm not going to let them destroy my feelings or my emotions.
Terry Spear, Between a Wolf and a Hard Place|Unless the she-wolf agrees, there’s always a chance of rejection.
Howard Dunkley, The EF76 Strain: The Complete Narrative|Eche, eche, AB32, CD54, EF76, Amanda thought as she kissed Steven. At any moment, she would either kill or transform him.
Nafisa Joseph|I wake up some mornings and sit and have my coffee and look out at my beautiful garden, and I go, 'Remember how good this is. Because you can lose it.'
Matt      Chandler|I’m feeling very thin and vulnerable, in a good way.
David Levithan, How They Met, and Other Stories|Music is everywhere. It’s in the air between us, waiting to be sung.
Kelly R. Michaels, Prince of the Vale|Caelfel squared her shoulders. “I’m not afraid.”Geri turned away. “Good, because if you were, you are definitely in the wrong place.
Michelle M. Pillow, Determined Prince|I first witnessed the paranormal at the tender age of eight. This experience unlocked a doorway to a world full of unexplained mysteries, miraculous insights, and terrifying ghostly visits that have spanned a lifetime. Join me as I explore these stories…one book at a time.” ~L. Sydney Fisher
Adlai E. Stevenson II|Speaking as a Christian, I find the Apostle Paul appealing and the apostle Peale appalling.
Lynda Cheldelin Fell|Just as it is impossible to explain childbirth to a woman who has never given birth, it is impossible to explain child loss to a person who has never lost a child.
Steven Wright|I think that art is still a site for resistance and for the telling of various stories, for validating certain subjectivities we normally overlook. I'm trying to be affective, to suggest changes, and to resist what I feel are the tyrannies of social life on a certain level.
Isaac Newton|Being that 'reason is not antithetical to faith' (Woods) and that Pentecost established the Reality of super-nature (Lewis) and that 'theology matters' (Wimber), then 'empowered evangelicalism' (Nathan) is the natural expression of discipleship."~R. Alan Woods [2013]
Kamal Khanzada|If you can't do it today, You can not do it in your whole life! Do it NOW!
Tony DeLiso, Legacy: The Power Within|Keep your best wishes, close to your heart and watch what happens
Stephen Covey|I used to measure myself against other people, but I always came up short. Now, I try to figure out what I really want, and measure myself against that.
Christina Engela, For Love of Leelah|If you're in your 20s now, by the time you're 75, you'll be able to live 'til you're 150. By the time you're 150 you'll be able to live 'til you're 300. See you at your 1000th birthday party!
Peter S. Beagle, Tamsin|Ghosts,” Doktor Messerli continued, “aren’t always the spirits of the human dead bound to the earth. A ghost can be the residual feeling that follows an act you have accomplished but feel bad about. Or the act itself. Something you’ve been or done that you cannot escape.
Alexandra Potter, Do You Come Here Often?|...when you decide you want to be with someone forever, you want forever to start right now.
Eli Of Kittim, The Little Book of Revelation: The First Coming of Jesus at the End of Days|The medieval period based its scriptural exegesis upon the Vulgate translation of the Bible. There was no authorized version of this text, despite the clear need for a standardized text that had been carefully checked against its Hebrew and Greek originals. A number of versions of the text were in circulation, their divergences generally being overlooked. It was not until 1592 than an 'official' version of the text was produced by the church authorities, sensitive to the challenges to the authority of the Vulgate by Renaissance humanist scholars and Protestant theologians.
Ben Fountain|It's not only children who grow. Parents do too. As much as we watch to see what our children do with their lives, they are watching us to see what we do with ours. I can't tell my children to reach for the sun. All I can do is reach for it, myself.
Terry Tempest Williams, When Women Were Birds: Fifty-four Variations on Voice|It’s easy to point out someone else’s mistake, harder to recognize your own. Especially because most people—except the lucky few like ourselves—are forced to live with their mistakes. So they learn to justify their mistakes, build on them, until they can look back and convince themselves that their mistake was inevitable all along, a good choice, in fact. An unwed teenage mother can look back at her unexpected pregnancy fondly six years down the road once the child’s out of her hair and in school all day. She wouldn’t dare go back and fix that mistake because it’s become part of her life.
Martin O'Malley|It took a while to learn to eat healthy on road. It's really hard. Really, really hard. But on the bus, I can use the stovetop in the morning to make a veggie scramble. And have lots and lots and lots of coffee. I try to have protein for dinner so I have energy for the show.
Julie Klassen|Where has God promised to fulfill our every whim according to the minutia of our earthly desires? Where has He promised to keep us from suffering or disappointment? Things He did not spare His own Son? You were raised in one of the finest manors in the borough, by a man and woman who could not have loved you better. You have been given the best education, the best of everything. You are of sound mind and limb, and yet you dare to rail at God? I for one grow weary of it. Now leave off simpering like an ungrateful brat and make something of this new life you've been given.
Bianca McCormick-Johnson, "I'm G.O.O.D.":|Don't be afraid to take risks, for you take them every day without realizing it. I'd rather fail at trying something new or different than to lose just for not trying at all.
William Shakespeare, Richard III|Ultimately it is the Christian attitude which is self-interested and hedonistic, since the aim is always to get away from the painful struggle of earthly life and find eternal peace in some kind of Heaven or Nirvana. The humanist attitude is that the struggle must continue and that death is the price of life.
Joanna Faber, How to Talk so Little Kids Will Listen: A Survival Guide to Life with Children Ages 2-7|Even the kids, behind the slice of streetscape floating in the glass, had mastered the art of pretending not to see.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Love keeps my heart warm.,
Lenang Manggala, Perempuan Dalam Hujan: Sealbum Puisigrafi|Plato, along with the latest pope, recognised how dangerous it is to have an artist around making mischief, stirring things up with the spoon of truth and intoxicant of fantasy and magic. And so, for crossing the line, and for stealing God’s fire, artists were banned, imprisoned, condemned, silenced, killed – they always would be, these sometimes Christs of the page.
Erich Fromm|When you take a solemn oath your heart and soul listens, then perception of consciousness and unity comes.
S.R. Crawford, No Secrets: Eternity series|…I bet I’ll haunt your dreams tonight. I just wan’ed to paint a picture in your head. I wan’ed you to see me as the monster I can often be. You see, you are what you allow people to know ‘bout you. Truth or lies or some combination of the two, is what makes you who you are. So, you don’t know me yet. But what I need you to know about me for now, is that I can’t be trusted.
Purba Chakraborty|We are all watching and not knowing what to do because when grown-ups cry, it's not like you can ask them what's wrong, or tell them to shut up; there are just no words for a grown-up's tears.
Debasish Mridha|When you smile, you bloom.
V.C. Andrews, Flowers in the Attic|I thought of the new stone, of my new wife, and of the newly buried white bones beneath us, and I felt that fate had made sport of us all.
Harrish Sairaman|If love is EVERYTHING, you are missing out a whole spectrum of emotions and would want to end life if there is no love!
J.R.R. Tolkien, The Fellowship of the Ring|I lay in bed that night, a first-time drunkard at seven years of age, pondering the punishment I knew would arrive on callused palms. In the forest, as if sensing my plight, wolves howled nocturnal laments. The magnificent lunar lullabies of my lupine brethren wooed me into a deep and cleansing sleep.
Adolf Hitler, The Political Testament Of Adolf Hitler: Recorded By Martin Bormann|Once you become aware that the main business that you are here for is to know God, most of life's problems fall into place of their own accord.
Toni Sorenson|No matter where you are along life’s path, your next step is your first step.
Christopher Hitchens|On page 605, Blumenthal says that 'I made friends with Hitchens's friends the novelists Martin Amis and Salman Rushdie.' True in its way. I particularly remember the occasion when he called me up and invited me to dinner with Dick Morris, but only on condition that I brought Rushdie (who was staying in my house) along with me. No Rushdie: no invitation. So I never did get to meet Dick Morris.
Lorri Faye|Achieving your goals depends more on the way you manage to push through the bad days, than shine on the good ones.
Aldous Huxley|I am following Nature without being able to grasp her, I perhaps owe having become a painter to flowers.
Craig D. Lounsbrough|The challenge is never based on the size of the obstacle that stands before me. Rather, it is dictated by the degree of faith that rests within me.
E.A. Bucchianeri, Lord of the Rings: Apocalyptic Prophecies|Tolkien did admit that, 'As a guide, I had only my own feelings for what is appealing or moving.' In other words ~ he wrote about what interested him ~ and despite his protestation of including anything allegorical into his tale, Catholic history and mystic prophecy obviously received its fair share of attention ...
Mark F. LaMoure|When you step up to being excellent, use hard work and determination as the powerful force they are. By also being devoted and persistent, over time it will reward you with sparkling success.
Michelle Franklin, I Hate Summer: My tribulations with seasonal depression, anxiety, plumbers, spiders, neighbours, and the world.|Books are an absolute necessity. I always have at least two with me wherever I go, to say nothing of my digital collection, and whenever I can get my hands on a delicious new reading piece, I will finish it at a slackened pace, to savour it with all the esteem it deserves, gratulating in its pleasance, deliciating in every word with ardent affection. I have an extensive library that I could never do without, and there are at least four books decorating every surface in my house. A table is not properly set without a book to furnish it. Half of my great collection is non-fiction, mostly science and history books, ranging from the archaeological to the agricultural, and my fiction section is dedicated to the classics, mostly books published before the world forgot about exquisite prose. I have all the greats in hardcover, but I do not read those: hardcover is for smelling and touching only. For all my favourite authors, I have reading copies, which I might take with me anywhere, to read in cafes or to be used as a swatting tool for unwanted visitors, but books are always fashionable even as ornaments; everyone likes a reader, for a good collection of books betrays a intellectualism that is becoming at anytime. Never succumb to the friable wills of those who reject the majesty of books: there is nothing so repelling as willful illiteracy.
Isaac Asimov|Many years later he looked through one of my books and said, "How did you learn all this, Isaac?""From you, Pappa", I said."From me? I don't know any of this"."You didn't have to, Pappa", I said. "You valued learning and you taught me to value it. Once I learned to value it, the rest came without trouble."- Isaac Asimov (Isaak Yudovich Ozimov). It's been a good life.
Alexandra Robbins|One of the most difficult speeches to prepare is an address to a graduation class, which is why I don't often do them.
Jean Nouvel|The essential function of art is moral. But a passionate, implicit morality, not didactic. A morality which changes the blood, rather than the mind.
Kirtida Gautam, #iAm16iCan|Think or don't think, but don't think that you are thinking when you are postulating.
Carrie Newcomer|The attributes of a great lady may still be found in the rule of the four S's: Sincerity, Simplicity, Sympathy and Serenity.
Foster "Raul" Mkhabele|You always lose a lot of money chasing after women, but you will never lose a lot of women chasing after money
Ian McEwan, Atonement|It was not their irritating assumption of equality that annoyed Nicholai so much as their cultural confusions. The Americans seemed to confuse standard of living with quality of life, equal opportunity with institutionalized mediocrity, bravery with courage, machismo with manhood, liberty with freedom, wordiness with articulation, fun with pleasure - in short, all of the misconceptions common to those who assume that justice implies equality for all, rather than equality for equals.
Harry Seidler|I started collecting aerial photographs of Native American and South Pacific architecture; only the African ones were fractal. And if you think about it, all these different societies have different geometric design themes that they use. So Native Americans use a combination of circular symmetry and fourfold symmetry.
Christopher  Gerard, Talon: A Jack Rawson Saga|Few celebrate a dog who jumps at people as they approach--but start with the premise that it is we who keep ourselves (and our faces) unbearably far away, and we can come to a mutual understanding.
Bethany Wiggins, The Dragon's Price|I do not see how my agreeing to marry a scruffy old brute will have the power to keep a fire-breathing dragon locked beneath a mountain. And if I don’t agree to marry him, will I truly be fed to the dragon? That is savage, and inhumane, and crazy.
Mehmet Murat ildan|He honestly believed, for an instant, that what he'd heard was music-a tune piped, a burble of notes, a little scrap of melody floating by on wind and breaking his heart.
Israelmore Ayivor, Leaders' Ladder|Leaders don't pray to God for money. They simply ask for His grace to solve problems. By solving problems, the money comes.
Kristiane Backer, From MTV to Mecca: How Islam Inspired My Life|The words of the Quran all seemed strangely familiar yet so unlike anything I had ever read before,’ he told us. He embraced Islam in 1977, and changed his name to Yusuf, the Arabic for Joseph. ‘I identified with the story of Joseph in the Quran,’ he said. ‘His brothers sold him like goods in the market place.’ Yusuf felt the music business had treated him not like an artist but as a commodity.
A.J. Darkholme, Rise of the Morningstar|Bullying is an attack upon the runts of the litter - the weak of the species, and it is predicated on a lack of bond with the parents. If a child has a secure bond with the parents, that forms a force-field around the child in terms of bullying. If the child does not have a strong bond with the parents, then it's like being separated from the herd - those are the ones who get picked off by the human predators in childhood and adulthood. So keep your contacts as close as you can, they provide an amazing shield against bullies and users.
Mayur Ramgir|Let the sun shine on the darkness created by my Ignorance. One World One identity. peace, liberty, and justice for all.
Dean Koontz, Brother Odd|In all well-organised brains, the predominating idea—and there always is one—is sure to be the last thought before sleeping, and the first upon waking in the morning. Andrea had scarcely opened his eyes when his predominating idea presented itself, and whispered in his ear that he had slept too long.
Mark Strand|Nobody sees it happening, but the architecture of our timeIs becoming the architecture of the next time. And the dazzleOf light upon the waters is as nothing beside the changesWrought therein, just as our waywardness meansNothing against the steady pull of things over the edge.Nobody can stop the flow, but nobody can start it either.Time slips by; our sorrows do not turn into poems,And what is invisible stays that way. Desire has fled,Leaving only a trace of perfume in its wake,And so many people we loved have gone,And no voice comes from outer space, from the foldsOf dust and carpets of wind to tell us that thisIs the way it was meant to happen, that if only we knewHow long the ruins would last we would never complain.
Richard Paul Evans|The truest grace is not to forgive, but to have never found fault.
Aaron Eckhart|In those days, boxing was very glamorous and romantic. You listened to fights on the radio, and a good announcer made it seem like a contest between gladiators.
Craig Groeschel, Weird: Because Normal Isn't Working|God promises you a way out. Find that way out, and take it.
Sam Miller, A Strange Kind of Paradise: India Through Foreign Eyes|Kashayam [was] a drink the vanaras had morning, noon and night, and a few times in between. It was a kind of brew with all kinds of herbs thrown in: the thick, sharp-tasting furry karpuravalli, the strong spicy tulsi, the slightly bitter bark of the coconut tree, pungent pepper roots, the breathcatching nellikai, the cool root of vetriver, and just about anything else that was considered edible. And some things that weren’t. In their craze for novelty, vanaras sometimes flung in new kinds of leaves or berries just because they smelt interesting; whole families had been known to fall ill, or even die. Gind’s family were not a very adventurous lot, and stuck to things they knew not to be poisonous. Still, every day’s kashayam was different, and this was a great topic of conversation among the vanaras.
Cheryl L. Ilov|Why isn't the manuscript ready? Because every book is more work than anyone intended. If authors and editors knew, or acknowledged, how much work was ahead, fewer contracts would be signed. Each book, before the contract, is beautiful to contemplate. By the middle of the writing, the book has become, for the author, a hate object. For the editor, in the middle of editing, it has become a two-ton concrete necklace. However, both author and editor will recover the gleam in their eyes when the work is completed, and see the book as the masterwork it really is.
Sanober  Khan|Once in a while i am struckall over again... by just how blue the sky appears .. on wind-played autumn mornings, blue enoughto bruise a heart.
Susan Glaspell|I had more friends on my hockey team than I did on my soccer team. I might have been better at soccer, to be honest. But I think it was more the friendship, and my family was more of a hockey family than a soccer family, so when I had to make a decision, I tried hockey, and it turned out to be a good decision.
Heather Locklear|Save a boyfriend for a rainy day - and another, in case it doesn't rain.
Billie Joe Armstrong|There are going to be good times and bad times, but lighten up.
William Goldman, Adventures in the Screen Trade|Writing is finally about one thing: going into a room alone and doing it. Putting words on paper that have never been there in quite that way before. And although you are physically by yourself, the haunting Demon never leaves you, that Demon being the knowledge of your own terrible limitations, your hopeless inadequacy, the impossibility of ever getting it right. No matter how diamond-bright your ideas are dancing in your brain, on paper they are earthbound.
Robert Whitaker, Anatomy of an Epidemic: Magic Bullets, Psychiatric Drugs, and the Astonishing Rise of Mental Illness in America|Everyone wanted me to feed them that story—darkness to light, weakness to strength, broken to whole. I wanted it, too.
Woodson Merrell, The Detox Prescription: Supercharge Your Health, Strip Away Pounds, and Eliminate the Toxins Within|We forget that we humans are animals, inextricably connected to the world and everything in it. In the rush to bring GMO food to the world because it was good for us, nobody had asked the question whether it would be good for the world.
Lauren Oliver, Delirium|Lord, help us root our feet to the earthAnd our eyes to the roadAnd always remember the fallen angelsWho, attempting to soar,Were seared instead by the sun and, wings melting,Came crashing back to the sea.Lord, help root my eyes to the earthAnd stay my eyes to the roadSo I may never stumble.)
Jerry Hirschfield, The Twelve Steps for Everyone: Who Really Wants Them|1.	We admitted we were powerless over our emotions, that our lives had become unmanageable.2.	Came to believe that a Power greater than ourselves could restore us to sanity.3.	Made a decision to turn our will and our lives over to the care of God as we understood Him.4.	Made a searching and fearless moral inventory of ourselves.5.	Admitted to God, to ourselves and to another human being the exact nature of our wrongs.6.	Were entirely ready to have God remove all these defects of character.7.	Humbly asked Him to remove our shortcomings.8.	Made a list of all persons we had harmed, and became willing to make amends to them all.9.	Made direct amends to such people wherever possible, except when to do so would injure them or others.10.	Continued to take personal inventory and when we were wrong promptly admitted it.11.	Sought through prayer and meditation to improve our conscious contact with God as we understood Him, praying only for knowledge of His will for us and the power to carry that out.12.	Having had a spiritual awakening as the result of these steps, we tried to carry this message to emotionally and mentally ill persons and to practice these principles in all our affairs.
Danielle Fishel|I like to have a massage therapist come to my house, get a massage, take a bath, go to bed. That's a perfect night alone for me.
Richard  Beck, Reviving Old Scratch: Demons and the Devil for Doubters and the Disenchanted|Being a parent is joyful, but it's also haunted by the specter of loss.
Gabriel García Márquez, Love in the Time of Cholera|She would walk through the kitchen at any hour, whenever she was hungry, and put her fork in the pots and eat a little of everything without placing anything on a plate, standing in front of the stove, talking to the serving women, who were the only ones with whom she felt comfortable, the ones she got along with best.
Richelle E. Goodrich, Making Wishes|It seems a peculiar thing when I go to fill my own cup; it remains empty as if the liquid evaporates as soon as it touches the glass. Yet when I reach to top off the cups of others, my own spills over. This is the crazy magic of charity.
Susan C. Foster, It's Not Rocket Science: Leading, Motivating and Inspiring Your Team To Be Their Best|Meet your people where they are. They may not be as good as they can be, but they are as good as they believe they can be. They are waiting for you to lead them.
Dolls Bowman, Seasons of a Single Girl|Never give up! With every step you take in your journey, you are forming your dreams.
Anita R. Sneed-Carter|Time is precious, so use it wisely in every area of your life including having a relationship with God through"The Door", Jesus Christ! No one knows how much time that they have to live, so don't allow time to run out on you!
Christopher Herz, Pharmacology|Soon, nobody was leaving their cubicles to talk anymore, and we were either e-mailing each other random thoughts or scheduling meetings, or speaking over an instant message chat.
Ernest Agyemang Yeboah|We wake up to be alive and to revive our lives; we don’t wake up to keep sleeping! We wake up not just to be alive, but also to keep our works alive and mind the business of the day! When you wake up, revive your work! Sometimes you may just feel reluctant to do something when day breaks, but you must remember that there is always something that needs to be done when day breaks, for each day we meet as we journey in life comes with its own agenda! He who fails to know the real reasons why day breaks shall always abuse the real and true essence of each day, knowingly or unknowingly! Be alive when you wake up and do something with all your might when day breaks for you surely leave a footprint each day you wake up! When you wake up, wake up!
Lauren Groff, Fates and Furies|Tell me, why did Lotto write a war play? Because works about war always trump works about emotions, even if the smaller, more domestic plays are better written, smarter, more interesting. The war stories are the ones that gets the prizes. But your husband's voice is strongest when he speaks most quietly and clearly.
Michael Pollan, In Defense of Food: An Eater's Manifesto|(We loved Mother too, completely, but we were finding out, as Father was too, that it is good for parents and for children to be alone now and then with one another...the man alone or the woman, to sound new notes in the mysterious music of parenthood and childhood.)That night I not only saw my Father for the first time as a person. I saw the golden hills and the live oaks as clearly as I have ever seen them since; and I saw the dimples in my little sister's fat hands in a way that still moves me because of that first time; and I saw food as something beautiful to be shared with people instead of as a thrice-daily necessity.
Saurabh Sharma|Fantasy and drama appeal to us. They are socially acceptable and make you feel good about yourself. Moreover, you get rewarded for being cleverly ignorant.
Paolo Bacigalupi, The Drowned Cities|You are a Chosen Man. You are Parmenion, the Death of Nations. A hundred thousand souls will yousend to the dark river, screaming and wailing, lamenting their fate. It is right and just that youshould know your choices.
Michelle Cruz-Rosado|When you are like the tree, there is oneness with the Earth, Sun and Moon, but still steadfast in your purpose.
Shauna Niequist, Bittersweet: Thoughts on Change, Grace, and Learning the Hard Way|When life is sweet, say thank you and celebrate. And when life is bitter, say thank you and grow.
Shannon Noelle Long, Second Coming|But friendship meant you at least planted the seed for them, love meant allowing them the ability to weed their own garden until it was something healthy and thriving, blooming and bright and smelling of heather and tiger lilies.
John Paul Warren|She never says gracias because life is made of survival not grace, she says, and servants are paid to bring what they're asked.
Jamie Scallion, Losing It|Go back to the band, Egg. Please.” - Bex
Kate Moretti, The Vanishing Year|Henry and I have always talked about partnership, working together to make things work. He's always said he'd never divorce. That divorced rich men are inevitably poor men. That any marriage can be fixed, that love fluctuates.
James Scott, Senior Fellow, Institute for Critical Infrastructure Technology|After Congress passed SJ Res 34, we are no longer merely battling a cyber-kinetic war on all fronts, we are now in a state of perpetual cyber-kinetic-meta war, and there will be no end.
Charles Givens|To design the future effectively, you must first let go of your past.
Nick Lowe|A series of rumors about my attitude, as well as derogatory remarks about myself and my family showed me that the personal resentment of the Detroit general manager toward me would make it impossible for me to continue playing hockey in Detroit.
Steve Backley, The Champion in all of Us: 12 Rules for Success|You have to create your self-belief by going to your core to find the probable reasons for the negativity in you, and then demolish them.
Simona Panova, Nightmarish Sacrifice|Have a look around, my pretty, we are surrounded by Death in all forms – just the two of us are still alive –
Raven K. Asher, The Invisible Butterfly|When you have those moments just think of me, call or text me when you feel weak and I will always be there for you. Nothing about this will be easy, life is hard, we just feel it more than most because our souls have been broken and are raw.
Innocent Mwatsikesimbe, The Reason|No one is perfect and we all make mistakes, but not all of us admit to mistakes made.
Gertrude Atherton, The Bell in the Fog & Other Stories|The amusements of life, he argued, should be accepted with the same philosophy as its ills. ("The Striding Place")
Ellen Hopkins, Burned|Choices are exhibited through the notions of free will,temptation challenges them.
Robert Bolt, A Man for All Seasons|We imagine always when we speak that it is our own ears, our own mind, that are listening. The truth which one puts into one's words does not carve out a direct path for itself, it is not irresistibly self-evident. A considerable time must elapse before a truth of the same order can take shape in them.
Arthur Schnitzler, Später Ruhm: Novelle|The bigger the star, the bigger the target.
Katandra Jackson Nunnally, Carnal Sobriety|Life is a delicate dance. We live in a society that governs we all get along. The invisible fine print, the unwritten rules and regulations state that we appease to each other's nature and in doing so, we by nature, seek to please.
R. Y.S. Perez, I Hope You Fall in Love: Poetry Collection|I will never ask of you the impossible, I just ask you to love me in the best way you can.
S.E. Cupp|When women turn on women, and take cheap shots at their decisions purely to score political points it serves as proof that feminism, as a movement, is dead and no longer relevant or credible.
Meredith T. Taylor|There, amongst the angry water was the glow of green eyes, hundreds of them encompassed the entire area...We were completely and totally surrounded. They all hung just below the water waiting for a sign to attack. There was no hope. We would all perish...
Israelmore Ayivor, Dream Big!: See Your Bigger Picture!|Bear it in mind that tomorrow must also have its own brand of assignments. Shifting today’s work to tomorrow is an inevitable step towards massing up difficult tasks for yourself, whose risk of leading into failure is high.
Lloyd Alexander|People respect those who know how to admit their own mistakes and see their own weaknesses. If you heart is as transparent as crystal, people will respect you.
Kirsten Hubbard, Wanderlove|But what I do know is this: you got to find your own places. The places you get, girl, the ones that stick in your heart. And if you’re lucky, you find people to share them with.
Warren G. Bennis, Organizing Genius: The Secrets of Creative Collaboration|Too many companies believe people are interchangeable. Truly gifted people never are. They have unique talents. Such people cannot be forced into roles they are not suited for, nor should they be. Effective leaders allow great people to do the work they were born to do.
Christopher Hitchens|In the same essay, Said (who is reviewing Peter Stansky and William Abrams, co-authors obsessed with the Blair/Orwell distinction) congratulates them on their forceful use of tautology:This is rather extraordinary. Orwell did indeed meet Garrett in Liverpool in 1936, and was highly impressed to find that he knew him already through his pseudonymous writing—under the name Matt Lowe—for John Middleton Murry’s Adelphi. As he told his diary:Thus the evidence that supposedly shames Orwell by contrast is in fact supplied by—none other than Orwell himself! This is only slightly better than the other habit of his foes, which is to attack him for things he quotes other people as saying, as if he had instead said them himself. (The idea that a writer must be able to ‘afford’ to write is somewhat different and, as an idea, is somewhat—to use a vogue term of the New Left—‘problematic’. If it were only the bourgeois who were able to write, much work would never have been penned and, incidentally, Orwell would never have met Garrett in the first place.)
Anthony  Ryan, The Waking Fire|Why does God ask traumatized people to look at the trauma they initiated through their sin and rebellion? For the same reason God asks us to: it is the truth, and we are free only when we lift up the truth.
Lauren Willig, The Secret History of the Pink Carnation|It would be, like all of Pammy's parties, hot and crowded and filled with impossibly glamorous people with hip bones so sharp they could qualify as concealed weapons.
John Steinbeck, Of Mice and Men|Even still, we run. We have not reached our average of 57.92 years without knowing that you run through it, and it hurts and you run through it some more, and if it hurts worse, you run through it even more, and when you finish, you will have broken through. In the end, when you are done, and stretching, and your heartbeat slows, and your sweat dries, if you've run through the hard part, you will remember no pain.
Ray Palla, H: Infidels of Oil|I swear if Washington moved any slower, we could be at war and it would all be over before they could even lift their sluggish, naked, dead asses off of their comfortable heated-seat toilets. -Fitzhugh to Captain Jeeter
Denis Diderot|All things must be examined, debated, investigated without exception and without regard for anyone's feelings.
Clint Van Winkle, Soft Spots: A Marine's Memoir of Combat and Post-Traumatic Stress Disorder|I missed the war and the freedom that came with it. When you are that close to death, you feel free. Every breath you take could be your last. So you inhale and savor each breath, try not to think about your death even though signs of it are all around you. The freedom comes from knowing that if anybody gives you crap, you can eliminate them and the situation. Just shoot and get it over with.
L.T. Gibbons, Project Ark|Everything not forbidden by the laws of nature, he assured her - quoting a colleague down the hall - is mandatory.
William Hazlitt|If you ever find happiness by hunting for it, you will find it, as the old woman did her lost spectacles, safe on her own nose all the time.
Robert Goolrick|A book can be as dangerous as a sword in the right hands, said Haldon.
Clarice Lispector, The Complete Stories|Meeting Hettie again made him achingly conscious once more of the irrefutable nature of his obsession with her. Obsession - or love? Or was it something more unhealthy - a kind of craving, an addiction?
John Frusciante|Brevity is the best recommendation of speech, whether in a senator or an orator.
