Sherilyn Fenn|Today I trust my instinct, I trust myself. Finally.
Elle Kennedy, The Mistake|And all those things you listed right now, they’rethings Garrett and I do together. Dude, you don’t want me. You want me andGarrett.
Otsuichi, ZOO|Tell me I'm not crazy," He said. I couldn't do that. I was nowhere near sane enough at the moment to advise anyone else on rational behavior.
Veronica Purcell, I'm Kita Duran|There is one myth about writers that I have always felt was particularly pernicious and untruthful—the myth of the "lonely writer," the myth that writing is a lonely occupation, involving much suffering because, supposedly, the writer exists in a state of sensitivity which cuts him off, or raises him above, or casts him below the community around him. This is a common cliché, a hangover probably from the romantic period and the idea of the artist as a Sufferer and a Rebel.Probably any of the arts that are not performed in a chorus-line are going to come in for a certain amount of romanticizing, but it seems to me particularly bad to do this to writers and especially fiction writers, because fiction writers engage in the homeliest, and most concrete, and most unromanticizable of all arts. I suppose there have been enough genuinely lonely suffering novelists to make this seem a reasonable myth, but there is every reason to suppose that such cases are the result of less admirable qualities in these writers, qualities which have nothing to do with the vocation of writing itself.
Rihanna|Sometimes when we think about femininity, we think also fragile. But I think you can be feminine and very strong. I think make-up goes with that femininity. I think it's a natural gesture for women and one they do more for themselves than for others.
Craig D. Lounsbrough|I am not a man of my time. In fact I find it hard not to declare myself its enemy. Not, as I often remark, that I fail to understand it. My comment is merely a pious one. Because I am easy-going I prefer not to be aggressive or hostile and therefore I say that I do not understand those matters which I ought to say I hate or despise. I have sharp hears but I pretend to be hard of hearing, finding as I do that is more elegant to feign this handicap than to admit that I have heard some vulgar sound
Kenneth Eade, Beyond All Recognition|It Follows, can become a great story....So far the "Clown", is awesome it shows something incredible...
Brian Eno|If you want to make computers that really work, create a design team composed only of healthy, active women with lots else to do in their lives, and give them carte blanche.
James Polshek|I had it drummed into me from an early age that personalizing everything was not a good thing. Besides, I don't think that kind of commodity-driven system makes for the most productive architecture.
|In order to achieve massive success, you must learn to drastically decrease your talking, and continuously increase your actions.
Darius Rucker|I don't really remember the day we lost our home in the floods, but looking back I can understand how devastating it was for my parents. I was only six, so I remember us having to move to Adelaide - but not much of the actual day and night of the flood. We had to start all over again and my parents opened a cafe.
Immanuel Kant, Basic Writings|And you have to understand this, that a prince, especially a new one, cannot observe all those things for which men are esteemed, being often forced, in order to maintain the state, to act contrary to faith, friendship, humanity, and religion. “ The Prince, XVIII, 5
Trevanian, The Summer of Katya|I won't fatten them in cages, though. I won't ply them with poisoned fruit items. I won't change them into clockwork images or talking shadows. I won't drain out their life's blood. They can do all those things for themselves.
Gene Weingarten|In places where this beauty has already disappeared, we will reconstruct it.
Mikhail Bulgakov, The Master and Margarita|To get what we want we must be subtle as snakes; more deadly, more cunning, more patient, more mean. Think of the serpent, how it slithers through the garden. It's such a beautiful creature, slow and delicate, rarely seen but effective, low, and not loved, but gloriously efficient! The serpent is now our model; we must pattern our work after him. So go to your old friends and stand by their sides. Pretend you want to help them while whispering deceits in their ears. Only lie when you have to. Speak the truth when you can; for the truth, once it's twisted, is the most effective tool we have. Coat your lies with enough truth, and they will swallow it down.Now listen to me, people, for this is the key - evil can be twisted into virtue if you phrase it just right. Any vice is acceptable if you cloak it as an issue of freedom. Any immorality is worth fighting for it you tell them they are fighting for choice, if you wrap it in the mantle of privacy and freedom. So take their moral agency and turn it on them. But be patient. . . be patient. . . it takes time to turn the truth upside down.
Terry Eagleton, Why Marx Was Right|I, too, sing America.I am the darker brother.They send me to eat in the kitchenWhen company comes,But I laugh,And eat well,And grow strong.Tomorrow,I'll be at the tableWhen company comes.Nobody'll dareSay to me,"Eat in the kitchen,"Then.Besides,They'll see how beautiful I amAnd be ashamed--I, too, am America.
Tijan, Evil|It was the calm before the storm, and holy crap, my bones knew it was going to be the storm of my life.
Trudy Wallis, Longbourn Library: A Novel of Pride, Prejudice, and Books|And, the treasure? A library card: key to all the doors in the story world.
Mary Street, The Confession of Fitzwilliam Darcy|When I left, Lydia was prattling about new clothes for her wedding and expressing her ownsatisfaction that she, the youngest of the Bennet sisters, would be the first of them to be married.Wickham smiled indulgently and said pretty things to her. I, disgusted with them both, was persuaded they deserved each other.
A.E. Housman, A Shropshire Lad|When the lad for longing sighs,Mute and dull of cheer and pale,If at death's own door he lies,Maiden, you can heal his ail.Lovers' ills are all to buy:The wan look, the hollow tone,The hung head, the sunken eye,You can have them for your own.Buy them, buy them: eve and mornLovers' ills are all to sell.Then you can lie down forlorn;But the lover will be well.
Maggie Osborne, Silver Lining|I love you, Louise Downe McCord. You drive me absolutely crazy sometimes, and this is one of those times, but I love you.
Babette James, Clear As Day|[while dancing] The man who was supposed to be her new partner had taken the caller’s final instruction to extremes. From the way Adam’s mouth was locked against Kitty’s he seemed to be anticipating not a temporary split but a lengthy separation. More of a French Fancy than a farmer’s fancy, thought Coralie.
Ivan Goncharov, Oblomov|The moments of nature's universal, triumphant silence had come, those minutes when the creative mind works harder, poetic thoughts seethe more ardently, the heart's passion blazes more brightly and its longing aches more painfully, the grain of criminal thought ripens in a cruel soul more imperturbably and powerfully.
Steven Magee|Paul needed to come out, not as gay or straight, but as human.
Debasish Mridha|Forget to criticize, but never forget to enjoy criticism.
Syed Sharukh|Nothing Can Beat Hard Work, But Hard Work Itself
Ljupka Cvetanova, The New Land|So, yeah, my people figured that maybe there's something at the back of it all, a creator, a great spirit, and so we say thank you to it, because it's always good to say thank you. But we never built churches. We didn't need to. The land was the church. The land was the religion. The land was older and wiser than the people who walked on it.
Travis Bradberry|Life ain't always beautiful, but it's a beautiful ride.
Kilroy J. Oldster, Dead Toad Scrolls|A person must face the root cause of their relentless personal pain. Irrespective of whatever bricks buttress our youthful personal philosophy, pain avoidance, and pain therapy are likely two of its foundation stones.
Matthew Heines|Wisdom of the Ages: "Brian Williams Week" Now that NBC is giving him a sixth month "leave" I wonder if he will be "Killing Time-In Saudi Arabia!
Ikechukwu Joseph, Insight for Fruitful Living: Bible Faith Nuggets Series - Book One|If you do not manage power, it will burn you.
Willa Cather, My Antonia|I was entirely happy. Perhaps we feel like that when we die and become a part of something entire, whether it is sun and air. or goodness and knowledge. At any rate, that is happiness; to be dissolved into something complete and great. When it comes to one, it comes as naturally as sleep.
Thomas à Kempis, The Imitation of Christ|It is good for us to have trials and troubles at times, for they often remind us that we are on probation and ought not to hope in any worldly thing. It is good for us sometimes to suffer contradiction, to be misjudged by men even though we do well and mean well. These things help us to be humble and shield us from vainglory. When to all outward appearances men give us no credit, when they do not think well of us, then we are more inclined to seek God Who sees our hearts. Therefore, a man ought to root himself so firmly in God that he will not need the consolations of men.
Patrick Mendis, Peaceful War: How the Chinese Dream and the American Destiny Create a New Pacific World Order|Within this historic and optimistic future in mind, I have made no value judgment of the destiny bestowed on each nation. For all this, however, leadership matters; so do the institutional structures and the system of political governance.
Shelley Lubben, Truth Behind the Fantasy of Porn: The Greatest Illusion on Earth|...Trust in the LORD with all your heart and lean not on your own understanding; in all your ways acknowledge him, and he will make your paths straight. Proverbs 3: 5-6.
Walt Whitman, Leaves of Grass|Books , like landscapes, leave their marks in us. (...) Certain books, though, like certain landscapes, stay with us even when we left them, changing not just our weathers but our climates.
Chris Bohjalian, The Light in the Ruins|The sins of my sex... A woman who is ugly is pitiable, but a man who is ugly is forgiven.
M.R.C. Kasasian, Death Descends on Saturn Villa|And, as I lie in bed that night looking out into the starless sky, I think about that shadow on my guardian's face. The sadness has been there since the day I met Sidney Grice and I cannot imagine it will ever go away.
John Steinbeck, East of Eden|...a great man who is vicious will only be a great doer of evil, and a rich man who is not liberal will be only a miserly beggar; for the possessor of wealth is not made happy by possessing it, but by spending it - and not by spending as he please but by knowing how to spend it well. To the poor gentleman there is no other way of showing that he is a gentleman than by virtue, by being affable, well-bred, courteous, gentle-mannered and helpful; not haughty, arrogant or censorious, but above all by being charitable...and no one who sees him adorned with the virtues I have mentioned, will fail to recognize and judge him, though he know him not, to be of good stock.
Keith Hammond|Drama, can never outrun, outweigh, or outlast Dreams.Dreams, always has hope cheering it on.And Victory, is always waiting at the finish line.
Lisa Kleypas, Marrying Winterborne|Celebrating love, wherever it is found" (Trevor Dennis). I'm using this sermon title as the essence of my novel
Oliver|My job is to entertain people by playing my music well. You shouldn't really be upset because people like you, should you?
Florie Jo Alicer|Pride has traditionally been regarded as the foremost of the Seven Deadly Sins, but it has rather obviously been overtaken by Greed.
Gary Bauer|Marriage is a reflection of your life in general: how you treat people, how you argue, how secure you are in your own thoughts. How vehemently do you argue your point of view? With what disdain do you view the other's point of view?
T R Reid, A Fine Mess: A Global Quest for a Simpler, Fairer, and More Efficient Tax System|Does the flat tax work?...The flat tax works in a country that is a former Communist state, with no investment capital, and low wage rates, which needs to build a capitalist economy from a base of approximately zero. The flat tax works if people are willing to pay a 20% sales tax on everything they buy to make up for lower revenue. The flat tax works if employers are willing to pay 34%, or more, in Social Security taxes for every employee they hire. The flat tax works in a country where almost everyone has the same amount of wealth so there's no need for the distributive effect of graduated rates. And if all these conditions are met, the flat-rate tax will probably work as long as the economy is on a path of steady growth.
Priyanka Naik, Twists Of Fate|Oh, listen. Listen!' A sound like a big crowd a good way off, excited and shouting, getting closer. We stand up and scan the empty sky. Suddenly there they are (the geese), a wavering V headed directly over the hilltop, quite low, beating southward down the central flyway and talking as they pass. We stay quiet suspending our human conversation until their garulity fades and their wavering lines are invisible in the sky.They have passed over us like an eraser over a blackboard, wiping away whatever was there before they came.
Nayyirah Waheed|never trust anyone who says they do not see color. this means to them,you are invisible.
Liu Cixin, The Three-Body Problem|Brain-like in function and speed, the internet connected over one-third of the global population. Three million searches every minute; one-hundred-trillion emails every year; more Facebook users than people in North America, all with with personal photos, videos, apps, and chats. There were dozens of dating sites, an immersive universe called 2nd Life that boasted a country-sized GDP, a slew of viruses, obnoxious advertising, more than a billion photos of naked women, and seventy-two hours of video uploaded to YouTube every minute. This was the environment where the friendship flourished.
John Green, Looking for Alaska|Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.
Leylah Attar, 53 Letters for My Lover|But we do not choose our deaths. The Norns do that at the foot of Yggdrasil and I imagined one of those three Fates holding the shears above my thread. She was ready to cut, and all that mattered now was to keep tight hold of my sword so that the winged women would take me to Valhalla's feasting-hall.
Agatha Christie, Murder in the Mews|A Correct Message Is A Correct Attitude.Petra Cecilia Maria HermansSeptember 2, 2016
Osman Gulum, Climbing Mountains|I don,t just want success for my self ,I want my success to benefit others .Osman Gulum
Jane Austen, Catharine and Other Writings|A shy smile, strong arms, clever fingers, and two sure swords. What more could any woman want?
Henry Rollins|I used to work at a school as a teacher's assistant, and my mom is a principal at an elementary school. I don't know, I think that's a pretty good life, teaching kids.
Sinclair Lewis, Kingsblood Royal|In a matter of weeks, he had learned that without suffering and doubt, there can be no whole human being.
Dada Bhagwan|Where are you looking for samadhi (enlightened blissful state)? You just come into your own original Self-form of the Soul, final liberation and samadhi are the natural qualities of the Soul!
Karen Blixen, Out of Africa|They look upon fraud as a greater crime than theft, and therefore seldom fail to punish it with death; for they allege, that care and vigilance, with a very common understanding, may preserve a man's goods from thieves, but honesty has no defence against superior cunning; and, since it is necessary that there should be a perpetual intercourse of buying and selling, and dealing upon credit, where fraud is permitted and connived at, or has no law to punish it, the honest dealer is always undone, and the knave gets the advantage.
Alexia Casale, House of Windows|It’s always better to accomplish something than nothing, but coming of age is about more than learning who you are inside: it’s as much about who you are in relation to others – and who you want to be
Friedrich Nietzsche|Whoever fights monsters should see to it that in the process he does not become a monster. And if you gaze long enough into an abyss, the abyss will gaze back into you.
Deyth Banger|You are crazy how?? Just delete everything around you, starting from friends, bus, objects and everything delete everything leave space and delete our planet what do you see?? Yourself, there and laughing like an crazy mental guy! - So I proved that you are crazy
Debasish Mridha|When you are beloved and happy, you are a great success.
David I. Kertzer, Ritual, Politics, and Power|Revolution is simple. It's like a breath; out with the old, and in with the new.
Jennifer L. Armentrout, Opal|And I learned that sometimes when someone says something so devastatingly perfect, there isn't a need for a response. The words said it all.
Unknown Author Searching|Love is indeed its own hallucinogenic affecting the mind, heart and mood
Kitty French, Knight & Stay|When people say sex is a filth of society, I say, yes! You're born by enchanting mantras and breaking coconuts!
Steven Pinker, The Better Angels of Our Nature: Why Violence Has Declined|It Begins with skepticism. The history of human folly, and our own susceptibility to illusions and fallacies, tell us that men and women are fallible.
Sogyal Rinpoche, The Tibetan Book of Living and Dying|We are fragmented into so many different aspects. We don´t know who we really are, or what aspects of ourselves we should identify with or believe in. So many contradictory voices, dictates, and feelings fight for control over our inner lives that we find ourselves scattered everywhere, in all directions, leaving nobody at home.Meditation, then, is bringing the mind home.
Jennifer L. Armentrout, White Hot Kiss|I need you, the reader, to imagine us, for we don't really exist if you don't.
Steve Irwin|Mental illness can happen to anybody. You can be a dustman, a politician, a Tesco worker... anyone. It could be your dad, your brother or your aunt.
Rebecca McNutt, Smog City|You should find something better to do with your time,” Mandy told him. “I spend my time shooting people, and then I take them to darkrooms and blow them up.”“…Come again?” Alecto questioned with a tone of alarm in his voice. “I take photographs and develop them myself, I’ve got my own darkroom… it was a joke,” Mandy laughed. “I love photography and I’m gonna be a photojournalist someday.”“Really?” Alecto asked. For the first time since she’d met him, he sounded slightly enthusiastic. “…I take photographs and I film my own home movies, I have a darkroom as well… but I can’t be a photojournalist like you… I can’t be anything… still, at least I can take photographs, it’s fun.
Harold Holzer, Lincoln and the Power of the Press: The War for Public Opinion|The press-savy Lincoln looked not to the future, but to the past.
Steve Kluger, Almost Like Being in Love|We make families of our own, Travis whispered in my arms on the last night we spent together. It starts with you and me and then it spreads. And whatever happens, there’ll always be a part of me that’s part of you. No matter what.
Nalini Singh, Archangel's Kiss|The more often we see the things around us - even the beautiful and wonderful things - the more they become invisible to us. That is why we often take for granted the beauty of this world: the flowers, the trees, the birds, the clouds - even those we love. Because we see things so often, we see them less and less.
Lucy Punch|Well the wedding in the words of the Archbishop of Canterbury was a fairy tale and there was a huge public impress, investment of goodwill, affection and indeed money in this Institution. It was a huge success at the time.
Harrish Sairaman|The day you discover the GOD within, your quest to meet GOD outside stops!!!
Diego Rivera, My Art, My Life|They are ill discoverers that think there is no land, when they can see nothing but sea.
Lailah Gifty Akita|If you can play with your pain, every day would be a party.
Immanuel Kant|Make no mistake, adolescence is a war. No one gets out unscathed.
Sara Sheridan, On Starlit Seas|A flock of small birds took off from the wall of the fort. They moved like a length of dark silk caught by the breeze as they headed out to sea. Behind them, the sky was the colour of forget-me-nots. The sun blazed.
Anna M. Aquino|Ninja mom's understand that life is a balancing act, and in order to keep the balance they have to learn to enjoy the moment!
Cassandra Clare, Welcome to Shadowhunter Academy|Without memory, they were lost. And nobody wanted someone they loved to be lost.
Halldór Laxness, The Atom Station|Immoral women do not exist", said the organist. "That this only a superstition. On the other hand there exist women who sleep thirty times with one man, and women who sleep once with thirty men.
Arthur C. Clarke, 3001: The Final Odyssey|Three million years! The infinitely crowded panorama of written history, with its empires and its kings, its triumphs and its tragedies, covered barely one thousandth of this appalling span of time.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|To win the heart of men, always be yourself.
Glenda Millard, A Small Free Kiss in the Dark|I'll think about you every day. Part of me is scared that there will come a time when you don't feel the same way,that you'll somehow forget what we shared, so this is what I want to do. Wherever you are and no matter what's going on in your life, when it's the first night of the full moon-like it was the first time we met-I want you to find it in the nighttime sky. I want you to think about me and the week we shared, because wherever I am and no matter what's going on in my life, that's exactly what I'll be doing. If we can't be together, at least we can share that, and maybe between the two of us, we can make it last forever.
C.S. Lewis, The Lion, the Witch, and the Wardrobe|All shall be done, but it may be harder than you think.
Valerie Bertinelli|To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.
Jill Shalvis, Once in a Lifetime|Ben was in his truck, window down, idling at the curb, dark lenses hiding his eyes from her, looking effortlessly big and badass.The way she wished she felt.
Anonymous, Holy Bible: New International Version|And you will know the truth, and the truth will set you free.
Cristiano Ronaldo|Life is often compared to a marathon, but I think it is more like being a sprinter; long stretches of hard work punctuated by brief moments in which we are given the opportunity to perform at our best.
Eric Samuel Timm, Static Jedi: The Art of Hearing God Through the Noise|My goal in going into the entertainment world is not solely on the aspect of fame and fortune. But, solely on the aspect that I love creating new things as both hobby and professionally; because my profession is my hobby.Yes; the fame, fortune and chicks will come. But, the aspect of creating things is eternal and awesome. The fortune to thrive on earth and fame to get more projects, more friends, fans and meet new people.
Mychal Denzel Smith, Invisible Man, Got the Whole World Watching: A Young Black Man's Education|The world seemed to go red. He wanted to scream his outrage, to charge at Skarn and tear the murdering bastard's face off with his bare teeth. But he knew that meant certain death. No, he had to be ice. Not fire, but ice.
David Mitchell, The Bone Clocks|Like a warrior in the battlefield, a writer must endeavour to use his pen to stamp the paper with his identity.
William Longgood|Can we be sure that they are incapable of the feelings or sentiments that are believed to place them on a lower scale than humans? Do we deny sensitivity to all of the so-called lower orders to blunt, protect, and, ultimately, deny our own? We will see that bees can grieve over teh loss of a queen, sound war cries or hum with contentment; they can be angry, docile, ferocious, playful, aggressive, appear happy, or utter pitiful sounds of distress. are these not emotions akin to ours, merely expressed differently?
Donald G. Mitchell|Here's what I see all across this great city - people working together to make Boston a better place to live and to raise children, to grow and pursue dreams.
Henry Fairlie|Tom King, the chief operating officer of U.S. Soccer, said that the federation invested $4.4 million on the women's team in 1999 and lost $2.7 million. The federation receives about $3 million from FIFA, soccer's world governing body, for qualifying for the men's World Cup, and $700,000 to $1 million per game, American officials said. The federation receives no money from FIFA for qualifying for the Women's World Cup. The men's team also receives guarantees from other countries when it travels of up to $140,000, King said, compared with zero for the women.'I don't see the WNBA players asking for the same salaries as the NBA players,' Contiguglia said.In the case of soccer, however, the women are the NBA.It is the women's team that is more popular and higher achieving. And to suggest the men's team is a cash cow is incorrect. The men's team didn't pay for itself either in 1999, King said, losing $700,000 on a budget of $5.9 million. An argument could be made that the American women deserve more money than the men, not just equal pay. They have won two world championships and an Olympic gold medal, while the men have won nothing. The biggest men's home crowds often come at matches where the ethnic population is cheering for the other team.
Trevor Noah, Born a Crime: Stories From a South African Childhood|In any society built on institutionalized racism, race-mixing doesn't merely challenge the system as unjust, it reveals the system as unsustainable and incoherent.
Diana Holquist, Sexiest Man Alive|True Love is a spiritual force that binds two hearts, and two souls, together as one.
Jude Okwuzulike|Whatever you cannot commonize, you cannot conquer, commonize it to conquer it.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|God-ordained dreams aren't just born. They are reborn. If they become more important to you than God, you have to sacrifice them for the sake of your soul. You have to put them on the altar and raise the knife. And once the dream is dead and buried, it can be resurrected for God's glory.
Elizabeth Barrett Browning|I love you not only for what you are, but for what I am when I am with you. I love you not only for what you have made of yourself, but for what you are making of me. I love you for the part of me that you bring out.
Amit Kalantri|Beliefs are stronger than mere ideas, thoughts and notions, be careful about what you believe.
Ken Liu, The Grace of Kings|As a jailer, I never got to understand my charges. But when I became a bandit, I spent a lot of time being close to the lowliest of the low: criminals, the enslaved, deserters, men who had nothing to lose. Contrary to what I had expected, I found that they had a hardscrabble beauty and grace. They were not mean in their nature, but made mean by the meanness of their rulers. The poor were willing to endure much, but the emperor had taken everything from them.
Ann Voskamp, One Thousand Gifts Devotional: Reflections on Finding Everyday Grace|The mind would rather fret about the future or pine over the past — so the mind can cling to its own illusion of control. But the current moment? It cannot be controlled. And what a mind can’t control, it tends to discount. Brush past ... over. It’s the battle plan of the enemy of the soul — to keep us blind to this current moment, the one we can’t control, to keep us blind to Him, the One who controls everything.
Jim Stovall, The Lamp|Remember that a wish held fervently turns into belief, and a belief held diligently becomes reality.
Nikki Rowe|If you don't know what to do next take the oath that will enhance your soul and erase your ego, & from the quiet space inside yourself, you will know what to do.
John C. Maxwell|Look at the average American diet: ice cream, butter, cheese, whole milk, all this fat. People don't realize how much of this stuff you get by the end of the day. High blood pressure is from all this high-fat eating.
Carson McCullers, The Heart is a Lonely Hunter|Next to music, beer was best.
Debasish Mridha|Failure is not an option, winning or learning are the options.
Guus Gelsing|When you show compassion instead of being judgemental. You will not undergo your own judgement, but you will receive your own love
Tahir Shah, House of the Tiger King: The Quest for a Lost City|The quest for a lost city erodes your body, damaging you beyond all reason. But it is your mind that bears the heaviest toll. Listen to the doubters, the worriers and the weak, and the vaguest hope of success evaporates.
Riccardo Bruni, The Lion and the Rose|But that day it was raining, and since they couldn't very well sit on the rooftop in the rain to watch the flotilla parade, they stayed in the little room that led to the roof. It had just one tiny window through which the gray light of day filtered in. They sat on the floor, and Lorenzo's senses were aroused by the sound of the rain falling outside, the musky smell of his own body, and the fragrant scent of Caterina's hair. A single blonde strand wound down her slim neck.They kissed, taking off their rain-washed summer clothes so that their bodies pressed, naked, against one another. Long, delicate lovemaking. Caresses, kisses, shivers, and sighs of delight.Lorenzo would have gladly spend the rest of his life preserved in that single moment, as if in amber, abandoning reality to live in the memory of that one single day.
Albert Camus, The Stranger|One must always be prepared to switch sides with justice, that fugitive of the winning camp.
Germany Kent|If you're reading this, I hope God opens incredible doors for your life this year. Greatness is upon you. You must believe it though.
Vladimir Nabokov, Lolita|You know when you mix butt and Angel in the same sentence, it becomes an insult,” I say and take a big gulp from the can. With his back to me, he says, “Trust me, I would never dream of insulting your butt. I’m sure it’s better than anything I’m cooking out here.
Catherynne M. Valente, Deathless|When a poet's mind is perfectly equipped for its work, it is constantly amalgamating disparate experience; the ordinary man's experience is chaotic, irregular, fragmentary. The latter falls in love, or reads Spinoza, and these two experiences have nothing to do with each other, or with the noise of the typewriter or the smell of cooking; in the mind of the poet these experiences are always forming new wholes.
Dennis Leary 1992|...and what's his reason? I am a Jew. Hath not a Jew eyes? Hath not a Jew hands, organs, dimensions, senses, affections, passions? Fed with the same food, hurt with the same weapons, subject to the same diseases, healed by the same means, warmed and cooled by the same winter and summer as a Christian is? If you prick us, do we not bleed? If you tickle us; do we not laugh? If you poison us, do we not die? And if you wrong us, shall we not revenge? If we are like you in the rest, we will resemble you in that. If a Jew wrong a Christian, what is his humility? Revenge. If a Christian wrong a Jew, what should his sufferance be by Christian example? Why, revenge! The villainy you teach me I will execute, and it shall go hard but I will better the instruction.
Kate Elliott, Buried Heart|Above all else, do not fear to climb the victory tower.
|There is always something to learn from everyone you cross paths with, because it's either you learn how to succeed or how to become a failure in life by looking at someone else's life.
Richard Finney, Demon Days: Angel of Light|A lizard brain fired the gun that wounded you, but it was the combination of three brains that orchestrated the elaborate circumstances in which the trigger was pulled. Way back when, the Landlord believed a second brain would endow some of his lower life forms with the capacity for emotional connections. By adding the third brain, he probably planned on having his... higher forms empowered with the ability to not only think before acting, but to feel regret afterwards when their actions were wrong. But that’s not what happened, is it?
R. Alan Woods|We do not look for reason for logic in the passionate entreaties of those who are sick unto death; we are stung with the recollection of a thousand slighted opportunities of fulfilling the wishes of those who will soon pass away from among us: and do they ask us for the future happiness of our lives, we lay it at their feet, and will it away from us.
Walt Whitman|You must not know too much or be too precise or scientific about birds and trees and flowers and watercraft; a certain free-margin , or even vagueness - ignorance, credulity - helps your enjoyment of these things.
Z.A. Maxfield, Physical Therapy|I've never had a boy in here," Martin said in a serious voice. "I've never touched another man, as a matter of fact. . . .except for my father. That was my duty."Blomkvist's temples were pounding. He could not put his weight on his feet without being strangled. He tried to use his fingers to get a grip on the concrete wall behind him, but there was nothing to hold onto."It's time," Martin Vanger said.He put a hand on the strap and pulled down. Blomkvist instantly felt the noose cut into his neck."I've always wondered how a man tastes." He increased the pressure on the noose and leaned forward to kiss Blomkvist on the lips at the same time that a cold voice cut through the room."Hey you fucking creep, in this shithole I've got a monopoly on that one.
Aishabella Sheikh, Jungle Princess|Deandre gazed at her like she was the stars, and he was a mere astronomer, searching her face for the constellations, admiring the beauty that was there
John Steinbeck|If a story is not about the hearer, he will not listen. And here I make a rule—a great and interesting story is about everyone or it will not last.
G.K. Chesterton, What's Wrong with the World|The future is a blank wall on which every man can write his own name as large as he likes; the past I find already sovered with scribbles, such as Plato, Isaiah, Shakespeare, Michael Angelo, Napoleon. I can make the future as narrow as myself; the past is obliged to be as broad and turbulant as humanity.
Maggie O'Farrell, Instructions for a Heatwave|They have been together for so many years that they are no longer like two people but one strange four-legged creature. For her, so much of their marriage is about talk: she likes to talk, he likes to listen. Without him, she has no one to whom she can address her remarks, her observations, her running commentary about life in general.
Jenny Han, Fire with Fire|One day at a time, sweet Jesus. Whoever wrote that one hadn’t a clue. A day is a fuckin’ eternity
Pearl Zhu, Digitizing Boardroom: The Multifaceted Aspects of Digital Ready Boards|The world is desperately imperfect. Even if a quarter of the working people were engrossed in new thoughts and inventions and lived off the others, humanity would still gain tremendously thanks to the constant stream of inventions and intellectual work emerging from this horde of people striving upward.
RVM|To live with Faith, eliminate Fear. Only one can exist in our Life at any point of time. -RVM
Leslie Esdaile, Love Notes|And how do you explain to your wife that you don't have all the answers, and that you might not know what you are doing, and that you are afraid you are going to fail? How do you admit that you are most afraid that, one day, she'll walk - and replace you with an educated, professor-type guy, who shares her same interests, schedule, and the way she was used to living, especially when all of your friends, your business associates, even your own damned brother, are all just waiting for you to mess up so they can have a shot at taking her away from you? How do you look the woman you love in her eyes and tell her that?
Arabella Weir|You might think the thinner version of yourself is going to be the most positive or confident, but that's not how it is for me. When I'm over 200 pounds, that's when I'm the most confident version of myself.
Maria V. Snyder, Magic Study|Why did Mother ask you to help me rescue Gelsi?" I asked Leif."She thought I could assist you in some way. Instead, I had tried to-""Kill me? You can join the 'I Want to Kill Yelena Guild.' I hear they have sixmembers in good standing.Valek is president since he had wanted to kill me twice."--Yelena to Leif
Saint Vardapet Eghishē|Լաւ է աչքով կոյր ըլլալ՝ քան մտքով:It is preferable to be blind by eyesight, than by mind.
Billy Graham, Billy Graham in Quotes|The words of this Book have a way of filling in the missing pieces, of bridging the gaps, of turning the tarnished colors of our life to jewel-like brilliance. Learn to take your every problem to the Bible. Within its pages you will find the correct answer.
Laura Spinella, Perfect Timing|If everyone had the luxury to pursue a life of exactly what they love, we would all be ranked as visionary and brilliant. … If you got to spend every day of your life doing what you love, you can’t help but be the best in the world at that. And you get to smile every day for doing so. And you’ll be working at it almost to the exclusion of personal hygiene, and your friends are knocking on your door, saying, “Don’t you need a vacation?!,” and you don’t even know what the word “vacation” means because what you’re doing is what you want to do and a vacation from that is anything but a vacation — that’s the state of mind of somebody who’s doing what others might call visionary and brilliant.
Lailah Gifty Akita|Transform soul, change spirit.
Douglas Coupland|He was sorry for himself as well, for he was doomed to find life and identity in death letters.
Breyten Breytenbach, Intimate Stranger|History is a succession of things that ought never to have happened, and the writing act is a kind of revenge against this.
Thomas Lynch|Properly speaking, history is nothing but the crimes and misfortunes of the human race.
Aristotle|When men are full of envy they disparage everything, whether it be good or bad.
Edith Pattou, East|Neither Rose nor Charles liked to talk much of their adventures with the trolls, but some of the so-called "softskins" whom they had brought out of Niflheim, as well as the crew of the ship Soren had hired to go north to find Rose, must have spread the story, because for many years afterward, there were tales of a race of trolls living on top of the world.Only Rose and her white bear know the whole truth of it.
Nash Grier|If we desire respect for the law, we must first make the law respectable.
Katie MacAlister, Dragon Fall|No, I didn't enjoy that in the least. Do it again so I can not enjoy it some more.
Emmuska Orczy|The Indian temperament is so excitable, you know.
