Nelson Rodrigues|The Human Being, as we imagine it, does not exist.
Katie Crouch and Grady Hendrix, The White Glove War|I'm sorry. I just meant that all this is new to me. I get lost sometimes." I give her my most honest expression.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|If we are not registering bad events in history to learn from them, then why are we even still registering them at all? Is it really an outlandish ideal to want a peaceful and prosperous nation, ruled only by compassion, truth and justice? As of now, there is no peace, no truth, no prosperity, no compassion - and NO COMMON SENSE. Since when did the words human and inhumane share the same meaning? Think, people. I am only asking you to THINK.
Augustine of Hippo|I had not known before that love is obedience. You want to love, and you can’t, and you hate yourself because you can’t, and all the time love is not some marvelous thing that you feel but some hard thing that you do. And this in a way is easier because with God’s help you can command your will when you can’t command your feelings. With us, feelings seem to be important, but He doesn’t appear to agree with us.
Vironika Tugaleva|To persevere is one thing, but to push on ignoring your intuition is something quite different. Self-awareness is the practice of learning the difference.
Marsha Blackburn|I've thought hard about my psychological connections and I think I've managed to separate out the psychological from the legal, moral, and political.
Aporva Kala, Life... Love... Kumbh...|He stands on the stone table and selects a large fig, bites into the skin, then opens it with his fingers. He thinks of a woman's sex, ancient and eternal, no young girl would have such gritty sweetness. Was this not perhaps the fruit that got Adam and Eve thrown out of Eden? Who would want to give up an unblemished state of immortality for the insipid apple?
Matshona Dhliwayo|Genius is in you, but like a seed, you determine whether it dies or grows.
David Mitchell, The Thousand Autumns of Jacob de Zoet|Let us agree that we are marrying so we can go on quarreling in the greatest comfort and convenience. Oh, please, Althea, look at me. Do say yes.
Michael Koryta, Rise the Dark|Never be absolutely certain that either those claiming to be the terrorists, ot those accused of committing an act of terrorism, were the perpetrators. The only absolute certainties are forever victims.
Terry Pratchett, Soul Music|In theory it was, around now, Literature. Susan hated Literature. She'd much prefer to read a good book.
Matthew De Abaitua, If Then|Losing him would, she realised, be unlike anything she had ever experienced before. A marriage is a conspiracy, a shared aspect toward the rest of the society, a code devised over a long history of negotiation and habit. That code would vanish. Her thoughts would be unobserved, her memories would be hers alone, without the heft that comes from sharing them with another. She would become insubstantial to herself.
Liane Moriarty, Truly Madly Guilty|This was historical revisionism at its best, and hadn't Sam always specialized in that, hadn't she always said she wished she had a permanent film rolling of their life so she could go back and prove that, yes, he did so say that thing he now denied?
Diana Ross|Many of us who have cars have felt some form of extreme anger at other drivers because we feel they have put us in harm's way. We might even envision ramming their cars or cutting them off in return, but do we actually do it? No, because the overwhelming majority of us never want to take another human life.
W. Somerset Maugham|Mrs. MacAndrew shared the common opinion of her sex that a man is always a brute to leave a woman who is attached to him, but that a woman is much to blame if he does.
Carolyn Turgeon, Mermaid|Gray, the colour of forgetting.
John Green, The Fault in Our Stars|Apparently if you want to get a boy to like you, you go sort of mysterious and icy and cool. That’s what my cousin said and she has loads of boyfriends and snogging-type experiences.
Pippa DaCosta, Devil May Care|When demons call you the Mother of Destruction, sh*t gets real." Muse.
ack Kerouac WD|If life takes you long way, take a shortcut!
H.D. Gordon, Half Black Soul|There is no feeling that is comparable to that of being truly lost. I don’t mean lost in the woods, or desert, but lost in the way that only can happen internally. Lost to the deepest,blackest pit of your soul, clinging to ghosts of past times, when you thought you knew who andwhat you were. When this happens, you have two choices; you can give in to your darkest inclinations,and accept what you are, or you can fight, knowing that it is a losing battle, that the good halfof your soul is strong, but can never erase the bad part.
Nicholas D. Kristof and Sheryl WuDunn|So was it cultural imperialism for Westerners to criticize foot-binding and female infanticide? Perhaps. But it was also the right thing to do. If we believe firmly in certain values, such as the equality of all human beings regardless of color or gender, then we should not be afraid to stand up for them; it would be feckless to defer slavery, torture, foot-binding, honor killings, or genital cutting just because we believe in respecting other faiths or cultures.
Erica Larsen, Bad Boy Nice Guy: A New Adult Romance Novel|In somebody’s mind, some upper-level suit that was looking at the bottom line and all those red numbers, it made more sense to unload five employees who collectively made a hundred thousand a year and ruin five lives, than it did to get rid of one job-redundant, mid-level manager earning the same amount.
Ken Kesey, One Flew Over the Cuckoo's Nest|Have to be honest with you Darquesse, I cannot feel that. That must be one of your special abilities, because to me, it looks like you just killed a whole bunch of people for no reason.""Oh," said Darquesse. "That's so sad
Md. Ziaul Haque|If you want to be a good actor or director, firstly see life, secondly see films and thirdly read books!
C. JoyBell C.|In the world that we live in— purity and innocence are the true strengths. It is strength to live in a world like this and remain pure of heart, it is strength to live in a world like this and retain innocence. These are things that the world wants to take away from you, that experiences tend to alter and attempt to redefine. The wild ones aren’t the defiled ones— the wild ones are the pure ones, the innocent ones. It takes a true wildness to retain these things through the fire and through the storms. It takes a real wildness to remain in the wild— not contorted and maligned by circumstance and experiences. And it takes power to stand up and to choose what experiences we allow to take root or to even come into our lives.
Sherrilyn Kenyon|Nick... I hope one day you find you a woman who loves you like my Melissa loved me. Whatever you do, boy, don't turn your back on her. If she says she needs you for something, don't matter how stupid it sounds or what deadline you got, you go to her and you do it. Screw work or whatever else. In the end, the only things that matter are the people in your life. The ones who make your life worth living and whose smiles light up your world. Don't ever push them aside for fair-weather friends. Everything else is just cheap window dressing that you can replace. But once them people are gone..." He winced. "You can't buy back time, Nick. Ever. It's the only thing in life you can't get more of, and it's the one thing that will mercilessly tear you up when it's gone. It takes pity on no soul and no heart. And all those fools who tell you it gets easier in time are lying dumb-asses. Losing someone you really love don't never get easier. You just go a few hours longer without breaking down. That's all... that's all. - Bubba
Patrick O'Brian, Master and Commander|There is much that is strange, but nothing that surpasses man in strangeness
Brian Eno|I actually hated dancing. My mum used to have to bribe me to go by buying me things. A year before I stopped going, I was going to go for an audition with the Royal Ballet. It turned out I was a year too young. Because I was tall, they thought I was older. But before I had the chance to go back, I quit.
Anna   Stevens, Turn Your Dreams And Wants Into Achievable SMART Goals!|We all know many people who come from hard-working families, where they had to grow up with a bare minimum and become self-sufficient and independent at a very young age. We look at them now and see responsible citizens, self-reliant adults, successful members of the business community, outstanding performers, and just happy people. Yes, they’re happy, because they know the meaning of labor, they appreciate the pleasure of leisure, they value relationships with others, and they respect themselves. In contrast, there are people who come from wealthy families, had nannies to do everything for them, went to private schools where they were surrounded with special attention, never did their own laundry, never learned how to cook an omelet for themselves, never even gained the essential skills of unwinding on their own before bedtime, and of course, never did anything for anyone else either. You look at their adult life and see how dependent they are on others and how unhappy they are because of that. They need someone to constantly take care of them. They may see no meaning in their life as little things don’t satisfy them, because they were spoiled at a very young age. They may suffer a variety of eating disorders, use drugs, alcohol and other extremes in search of satisfaction and comfort. And, above all, in search of themselves.
Bette Davis|[S]he stood for some moments gazing at the sisters, with affection beaming in one eye, and calculation shining out of the other.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Fear and anxiety many times indicates that we are moving in a positive direction, out of the safe confines of our comfort zone, and in the direction of our true purpose.
Emm Cole, The Short Life of Sparrows|She lifted a shoulder casually and slowly blinked."Where do you want to be?""With you," he answered without hesitation.
Shelley Ramsey, Grief: A Mama's Unwanted Journey|My experience is that God will meet us anywhere. Grieving badly and under the covers? He's there. Sitting at the cemetery, wishing it were you? You're not alone. Sitting on your child's bedroom floor still in your nightgown in the middle of the afternoon? He's holding you up. God will meet you anywhere
Eileen Anglin|Dare to be different. Find the courage to accept that you may always fit in, and the peace within to stop looking for the approval of others. Just be the amazing being that you are. People who shine the light of who they truly are, are inspiring to others.
Mark Henwick, Cool Hand|If you don’t believe your whole life has been a path leading to this one point, you’re not focused enough.” Master Sergeant Gabriel Luther Wells.
Hopal Green|You are in control of your destiny. Start making plans, set goals and work as best towards them.
Brian Kolodiejchuk, Mother Teresa: Come Be My Light: The Private Writings of the "Saint of Calcutta"|To commit herself to becoming "an apostle of Joy" when humanly speaking she might have felt at the brink of despair, was heroic indeed. She could do so because her joy was rooted in the certitude of the ultimate goodness of God's loving plan for her. And though her faith in this truth did not touch her soul with consolation, she ventured to meet the challenges of life with a smile. Her one lever was her blind trust in God.
Robert Liparulo, House of Dark Shadows|Her eye fell everywhere on lawns and plantations of the freshest green; and the trees, though not fully clothed, were in that delightful state when farther beauty is known to be at hand, and when, while much is actually given to the sight, more yet remains for the imagination.
Julie Kagawa, Soldier|Of course, I believe most of the older noblemen are actually bringing their sons - only ones eligible for marriage, of course - to dance with me. The consensus seems to be that I would make a pretty good catch.You aren't going to marry a boring nobleman's boring son.No?No, because if one proposes to you, he'll be eaten by morning. Dragons have very healthy appetites.Draconi don't eat people.I've been looking for a new hobby.
Queen Victoria|Men marry because they are tired; women, because they are curious; both are disappointed.
Innocent Mwatsikesimbe, The Reason|As days are numbered and life is short, why waste days feeling bad for yourself?
Herman Koch, The Dinner|I amazed myself, above all, with how well I was able to manage. Michel got to school on time, his teeth brushed and his clothes clean. More or less clean: I was less critical of a few spots on his trousers than Claire would have been, but then I was his father. I’ve never tried to be ‘both father and mother’ to him, the way some half-assed, home-made-sweater-wearing head of a single-parent household put it once in some bullshit programme I saw on afternoon TV.
Alec Baldwin|Everything I hated about L.A. I'm beginning to crave. L.A. is a place where you live behind a gate, you get in a car, your interaction with the public is minimal. I used to hate that.
Radhika Swarup, Where the River Parts|It was too quiet for hope, and then too loud for safety.She thought of the people she had lost, of the affection, the smiles, the belonging she could never again take for granted. It was the end of a life, and as she stood there, shivering in the brief night-time chill, it dawned on her that it was the end of her childhood.
Susanna Kaysen, Girl, Interrupted|Nothing," I said. "It's quiet. It's like― I don't know. It's like falling off a cliff." I laughed. "I guess my life will just stop when I get married."It didn't. It wasn't quiet either. And in the end, I lost him. I did it on purpose, the way Garance lost Baptiste in the crowd. I needed to be alone, I felt. I wanted to be going on alone to my future.
E.L. Doctorow, Ragtime|Poor Father, I see his final exploration. He arrives at the new place, his hair risen in astonishment, his mouth and eyes dumb. His toe scuffs a soft storm of sand, he kneels and his arms spread in pantomimic celebration, the immigrant, as in every moment of his life, arriving eternally on the shore of his Self.
Bamigboye Olurotimi|Even if doors are open to the fool, he/she will still be foolish in accessing them.
Cedric Nye, Jango's Anthem|I'm a man born to blood and pain, and peace would be a killing blow for me.
Jane Howard|Whenever anyone says, 'theoretically,' they really mean, 'not really.'
Federico García Lorca|If I were dead, I wouldn't be sad, and I wouldn't be glad, because I wouldn't be.
Josiah Bancroft, Senlin Ascends|The handkerchief is the universal utensil of the seasoned traveler. It can be a sanitizing device, a seat cover, a dust mask, a garrote, a bandage, a gag, or a white flag. One may feel well-prepared with nothing but a pocket square.
Ben Roethlisberger|Wear what you want to wear. Do what you want to do. Be who you are. Pick out your own clothes. Be a man. And if that's too much to ask, as it almost always is for me, think of someone you consider to be a man and pretend to be like him. I pretend to be like my dad.
Wangari Maathai|My mama told me in college, 'I love you, and you're God's child, but natural beauty will only take you so far.'
Rofithah Omar|Free ourselves from fear, insecure and scared of others judgement and opinions. Build up with our own confident, self-esteem and self-satisfaction.Just be yourself for being better person.
C.S. Lewis, A Grief Observed|Is it rational to believe in a bad God? Anyway, in a God so bad as all that? The Cosmic Sadist, the spiteful imbecile?
Alexander McCall Smith, The Woman Who Walked in Sunshine|Ignorance is more than bliss, it is a recipe for potential disaster.
Milan Ljubincic|When we choose to live a heart-centered life, we've chosen to live in the Light.
Judah Smith, Jesus Is: Find a New Way to Be Human|But freedom starts with honesty. We aren’t doing ourselves any favors by defining our- selves as good and others as bad. Let’s just agree that we all need help, that we are all in this together.
William Shakespeare, Julius Caesar|Why, man, he doth bestride the narrow worldLike a Colossus; and we petty menWalk under his huge legs, and peep aboutTo find ourselves dishonourable graves.
Dietrich Bonhoeffer, Letters and Papers from Prison|If we look more closely, we see that any violent display of power, whether political or religious, produces an outburst of folly in a large part of mankind; indeed, this seems actually to be a psychological and sociological law: the power of some needs the folly of others. It is not that certain human capacities, intellectual capacities for instance, become stunted of destroyed, but rather that the upsurge of power makes such an overwhelming impression that men are deprived of their independent judgment, and...give up trying to assess the new state of affairs for themselves.
Kate Nash|I wish you couldn't figure me out, but you'd always want to know what I was about
Noah Feldman|Sitting at a candidate rally is similar to sitting in a ballyard. Both give you the opportunity to assess the technical metrics and reflect on the intangibles - what baseball calls 'make up' and politics calls 'character' - the leadership, talent and maturity to add value to a venture.
Donna Tartt, The Secret History|The San Francisco skyline sparkles in the distance, the bay spread out before it like a shark-infested welcome mat.
Amanda Coplin, The Orchardist|He had pulled out of that grief, eventually – out from under the suffocating weight of it. Suffering had formed him: made him silent and deliberate, thoughtful: deep.
Jim Geraghty, The Weed Agency: A Comic Tale of Federal Bureaucracy Without Limits|The UFOs were explicable enough, just experimental aircrafts from the airport. Of course the government was not going to tell people what was actually going on. She would not be surprised if the government encouraged the UFO cultists to flock there as the perfect cover, since no one would ever believe them.
Sam Harris, Letter to a Christian Nation|While believing strongly, without evidence, is considered a mark of madness or stupidity in any other area of our lives, faith in God still holds immense prestige in our society. Religion is the one area of our discourse where it is considered noble to pretend to be certain about things no human being could possibly be certain about. It is telling that this aura of nobility extends only to those faiths that still have many subscribers. Anyone caught worshipping Poseidon, even at sea, will be thought insane.
S.D. Lawendowski, Snapped|Here’s one secret no one will tell you about getting laid after a date. DON’T TALK. Most girls blame either their looks or excessive timidity for their virginity. This is only true to an extent. These girls are also horribly annoying.”—Aurelia Nichols & Jillie Bean, 101 Tips to Lose Your Virginity after 25
Joseph Joubertber|Any coward can fight a battle when he's sure of winning; but give me the man who has pluck to fight when he's sure of losing. That's my way, sir; and there are many victories worse than a defeat.
Rabih Alameddine, The Hakawati|...What happens is of little significance compared with the stories we tell ourselves about what happens. Events matter little, only stories of events affect us.
Alexander Hamilton|December 29, 1946: Snowing this morning. The year seems to be dying in a light white blanket. Only three more days of this year, then comes a new one. Then, what? No one knows.  -- Diary of Bertha Kate Gaddis who passed away 6 months later, age 78, West Lafayette, IN.
Barack Obama|There is always space for improvement, no matter how long you've been in the business.
Christopher Dines, Mindfulness Meditation: Bringing Mindfulness into Everyday Life|When I say ‘practice’ I don’t meanrepeating an act until you get it right. In this use, it means to instill regular discipline to accomplish a specific task, ritual without which we feel incomplete, or that our experience of each day is less.
Christopher Isherwood, A Single Man|The harassed look is that of a desperately tired swimmer or runner; yet there is no question of stopping. The creature we are watching will struggle on and on until it drops. Not because it is heroic. It can imagine no alternative.Staring and staring into the mirror, it sees many faces within its face - the face of the child, the boy, the young man, the not-so-young-man - all present still, preserved as fossils, dead. Their message to this live dying creature is: Look at us - we have died -what is there to be afra
J.G. Ballard, The Atrocity Exhibition|All over the world major museums have bowed to the influence of Disney and become theme parks in their own right. The past, whether Renaissance Italy or Ancient Egypt, is re-assimilated and homogenized into its most digestible form. Desperate for the new, but disappointed with anything but the familiar, we recolonize past and future. The same trend can be seen in personal relationships, in the way people are expected to package themselves, their emotions and sexuality, in attractive and instantly appealing forms.
Salvatore J. Cordileone|I would expect illegal alien parents to take care of their children. If it means the kids go back home with them, that's what happens. If it means there are legal relatives in the United States that can take care of them, that can happen to. But I believe it's the parents responsibility to take care of the kids.
Harry Styles|There's a schizoid streak within the family anyway so I dare say that I'm affected by that. The majority of the people in my family have been in some kind of mental institution, as for my brother he doesn't want to leave. He likes it very much.
Babe Ruth|It is not up to me whether I win or lose. Ultimately, this might not be my day. And it is that philosophy towards sports, something that I really truly live by. I am emotional. I want to win. I am hungry. I am a competitor. I have that fire. But deep down, I truly enjoy the art of competing so much more than the result.
Dale Mayer, Scales|Promises are born broken, to fix them you keep them..
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Participate in your dreams today. There are unlimited opportunities available with this new day. Take action on those wonderful dreams you've had in your mind for so long. Remember, success is something you experience when you act accordingly.
Francis G. Slay|Even in the most peaceful communities, an appetite for violence shows up in dreams, fantasies, sports, play, literature, movies and television. And, so long as we don't transform into angels, violence and the threat of violence - as in punishment and deterrence - is needed to rein in our worst instincts.
Pamela Clare, Breaking Point|Marc to Gabe: "What do you know about the lemon stuff? You weren't in desert combat. You were a park ranger. I'm not dissing that. It's an important job. Someone has to keep the chipmunks in line. I've watched Chip and Dale. I know how sneaky those little bastards can be.
Richard Bach|My mother's dad dropped out of the eighth grade to work. He had to. By the time he was 30, he was a master electrician, plumber, carpenter, mason, mechanic. That guy was, to me, a magician. Anything that was broken, he could fix. Anybody anywhere in our community knew that if there was a problem, Carl was there to fix it.
Peter Capaldi|When you are young, do not get involved in steady dating. When you reach an age where you think of marriage, then is the time to become so involved.
Levon Peter Poe|There is nothing wrong with being Human. What is wrong is how so many take for granted the gift of our being human and never learn that we are also to be HUMANE, hence our HUMANITY. We are born Man but it takes years of education, trial and error to be TRULY HUMAN. It takes an ability to see beyond yourself, and to be able to RELINQUISH YOUR EGO And that is something that far too many neglects to consider in their chase for life, liberty and the pursuit of PRODUCTS. Things can never make us happy and the accumulation of wealth only aids in separating us from our common cause to be ONE SOCIETY. ONE RACE. ONE MANKIND. Until we are equal and able to see eye to eye with our most base concerns of housing, Food, education and financial well-being solved, we shall never have a society of ONE!
Dave Pelzer, A Child Called "It"|Childhood should be carefree, playing in the sun; not living a nightmare in the darkness of the soul.
Lailah Gifty Akita, Think Great: Be Great!|Our sacred character develops, when we connect to source of life, the Creator.
John Guinan, The Supernatural Omnibus: Being a Collection of Stories of Apparitions, Witchcraft, Werewolves, Diabolism, Necromancy, Satanism, Divination, Sorcery, Goetry, Voodoo, Possession, Occult, Doom and Destiny|There is no man but carries in his breast the makings of a story, which, though never told, comes more home to him, than any the mind of another man can find and fashion in words("The Watcher O' The Dead")
Hina Hashmi, Your Life A Practical Guide to Happiness Peace and Fulfilment|What if all I ever wanted out of everything I have been chasing was not the thing itself but to be happy, to feel good?Heidi C.
Lev Grossman, The Magician King|That’s what death did, it treated you like a child, like everything you had ever thought and done and cared about was just a child’s game, to be crumpled up and thrown away when it was over. It didn’t matter. Death didn’t respect you. Death thought you were bullshit, and it wanted to make sure you knew it.
Dan Groat, A Punctual Paymaster|If the forest has a day of fire and the heat of the flames does not consume a special tree, it will still be changed; charred, but still standing.
Jinat Rehana Begum, First Fires|Anger is essential if one is to survive this world. It’s not just a degenerate emotion that destroys everything in its path. If it were so completely destructive, why would people of every religion in the world imbue God with it? “Don’t do that! Allah will get angry,” my aunts used to say. People use it with children all the time. Be good and avoid the wrath of those with the capacity to strike you down in an instant. Your entire life may be governed by this simple principle — Be good to avoid angering those who have more power than you.
Olga Goa|You are like the winged goddess from Greek mythology. As beautiful and soaring like an angel as her". #MilanoVeneziani. #ItalianPassion
John C. Maxwell|Success is...knowing your purpose in life,growing to reach your maximum potential, andsowing seeds that benefit others.
Jack Frost, Experiencing Father's Embrace|I didn't know that love is not about what we do, but who we are, convincing others of our love for them...and about who loves us.
Mike Massimino, Spaceman: An Astronaut's Unlikely Journey to Unlock the Secrets of the Universe|My childhood dream came true, but now I have a new one. I dream that some of these young people, while they're out there clicking around, maybe they'll find out about this book and find a way to get their hands on it - and when they do, they'll know that even if you're a skinny kid from Long Island who's scared of heights, if you dream of walking among the stars you can do it. They'll know that finding a purpose, being dedicated to the service of others and to a calling higher than yourself, that is what's truly important in life. They'll be able to close their eyes and imagine what it's like in space, and when they open them again, they'll look up at the sun and the moon and the Milky Way and see them with the sense of awe and wonder that they deserve.And those young boys and girls, whatever their space dream is, they'll go for it. Whatever hurdles are in their way, they'll get past them. When they fall down, they'll get back up. They'll keep going and going, working harder and harder and running faster and faster until one day, before they know it, they'll find themselves flying through the air. The hand of a giant science fiction monster will reach down and grab them by the chest and hurl them up and up and up, out to the furthest limits of the human imagination, where they'll take the next giant leap of the greatest adventure mankind has ever known.
Helen Fisher|In America, we are demanding everything from our marriage.
Pawan Mishra, Coinman: An Untold Conspiracy|Grace, if you have used an iron within the last six months, I will eat that fork," Ms. Chancellor says."Which one?" I try to tease. "You've got a lot of forks to choose from.""From which to choose, Grace. Do not end your sentences in prepositions, dear.""Of course, I totally see what you're getting at. I mean, at what you're getting.
Bruce Schneier|I'm not a DJ, I don't know how to scratch and I don't know how to mix, but I do know how to party. One of my jobs is actually to travel the world and party.
Robert Frost|But bid life seize the present? It lives less in the present Than in the future always, And less in both together Than in the past. The present Is too much for the senses, Too crowding, too confusing— Too present to imagine.
J.M. Coetzee, Slow Man|The great Japanese film director Akira Kurosawa said that to be an artist means never to avert your eyes. And that's the hardest thing, because we want to flinch. The artist must go into the white hot center of himself, and our impulse when we get there is to look away and avert our eyes.
Shimon Peres|This is a global fight to get the right people in the right place and we're talking about people with PhDs in engineering, computer science, mathematics.
Melody Beattie|We Are Lovable Even if the most important person in your world rejects you, you are still real, and you are still okay. —Codependent No More Do you ever find yourself thinking: How could anyone possibly love me? For many of us, this is a deeply ingrained belief that can become a self-fulfilling prophecy. Thinking we are unlovable can sabotage our relationships with co-workers, friends, family members, and other loved ones. This belief can cause us to choose, or stay in, relationships that are less than we deserve because we don’t believe we deserve better. We may become desperate and cling as if a particular person was our last chance at love. We may become defensive and push people away. We may withdraw or constantly overreact. While growing up, many of us did not receive the unconditional love we deserved. Many of us were abandoned or neglected by important people in our life. We may have concluded that the reason we weren’t loved was because we were unlovable. Blaming ourselves is an understandable reaction, but an inappropriate one. If others couldn’t love us, or love us in ways that worked, that’s not our fault. In recovery, we’re learning to separate ourselves from the behavior of others. And we’re learning to take responsibility for our healing, regardless of the people around us. Just as we may have believed that we’re unlovable, we can become skilled at practicing the belief that we are lovable. This new belief will improve the quality of our relationships. It will improve our most important relationship: our relationship with our self. We will be able to let others love us and become open to the love and friendship we deserve. Today, help me be aware of and release any self-defeating beliefs I have about being unlovable. Help me begin, today, to tell myself that I am lovable. Help me practice this belief until it gets into my core and manifests itself in my relationships.
James Hauenstein|People think I am younger then I really am,because I act so immature.
Alan Hollinghurst, The Swimming-Pool Library|When I first met Cara, she was twelve and angry at the world. Her parents had split up, her brother was gone, and her mom was infatuated with some guy who was missing vowels in his unpronounceable last name. So I did what any other man in that situation would do: I came armed with gifts. I bought her things that I thought a twelve-year-old would love: a poster of Taylor Lautner, a Miley Cyrus CD, nail polish that glowed in the dark. "I can't wait for the next Twilight movie," I babbled, when I presented her with the gifts in front of Georgie. "My favorite song on the CD is 'If We Were a Movie.' And I almost went with glitter nail polish, but the salesperson said this is much cooler, especially with Halloween coming up."Cara looked at her mother and said, without any judgment, "I think your boyfriend is gay.
Carlos Ruiz Zafón, The Shadow of the Wind|A story is a letter that the author writes to himself, to tell himself things that he would be unable to discover otherwise.
Marine Le Pen|Look, I think Hispanic community - the values that resonate in our community are fundamentally conservative. They are faith, family and patriotism.
Mohsin Hamid|There's a rule of writing: if everything is funny, nothing is funny; if everything is sad, nothing is sad. You want that contrast.
Tyler Perry|If you have abandoned one faith, do not abandon all faith. There is always an alternative to the faith we lose. Or is it the same faith under another mask?
Hugh Ross, More Than a Theory: Revealing a Testable Model for Creation|What I'll think is that you are clearly, maddeningly not me. It will remind me, again, that you won't be a clone of me; you can be wonderful, a daily delight, but you won't be someone I could have created by myself.
John Lubbock, The Use Of Life|Rest is not idleness, and to lie sometimes on the grass under trees on a summer's day, listening to the murmur of the water, or watching the clouds float across the sky, is by no means a waste of time.
Isobel Irons, Wake for Me|He's tall with shaggy blond hair and muscular arms. He's holding a twenty-dollar bill. He's muscular. And he's holding a twenty--wait, I already said that.
Brian Eshleman|By Allah, how _thankful_ he is (_yes, madam, one moment, madam_), how _gladdened_ by the thought that Magid, Magid at least, will, in a matter of four hours, be flying east from this place and its demands, its constant cravings, this place where there exists neither patience nor pity, where the people want what they want _now_, right now (_We've been waiting twenty minutes for the vegetables_), expecting their lovers, their children, their friends, and even their gods to arrive at little cost and in little time, just as table ten expect their tandoori prawns. . . .
Cory Booker|Patriotism is a love of country. If you love your country, you should love your countrymen and women. It doesn't mean you always agree with them or even like them. It is understanding that we have interwoven destiny.
Venus Williams|There is no one-size-fits-all solution to the challenges facing our cities or to the housing crisis, but the two issues need to be considered together. From an urban design and planning point of view, the well-connected open city is a powerful paradigm and an engine for integration and inclusivity.
Joseph Telushkin, Jewish Wisdom|Whoever cannot survive without taking charity, such as an old, sick, or greatly suffering individual, but who stubbornly refuses to accept aid, is guilty of murdering himself…yet one who needs charity but postpones taking it and lives in deprivation so as to not trouble the community, shall live to provide for others." —Rabbi Joseph Karo (1488–1575), Shulkhan Arukh (The Code of Jewish Law), Yoreh Deah 255:2
John F. Kennedy|There is hardly an absurdity of the past that cannot be found flourishing somewhere in the present. Underneath all civilization, ancient or modern, moved and still moves a sea of magic, superstition and sorcery. Perhaps they will remain when the works of our reason have passed away.
Kurt Vonnegut Jr.|I will say further, as an officer of an enormous international conglomerate, that nobody who is doing well in this economy ever even wonders waht is really going on.We are chimpanzees. We are orangutans.
Abraham Joshua Heschel|Because today, I think I'm leaning on the side of wonder.
Jorge Bucay, Déjame que te cuente|Elle wondered if he had regrets. But she didn't let herself wonder for too long. She had locked her heart up against him, and it would take something extraordinarily strong to break it open.
Sahara Sanders, INDIGO DIARIES: A Series of Novels|At first, I thought it was only your body I wanted. But something about you has made me greedy as hell. I want everything. Your love. Your mind. Your secrets. Your soul.
Myra McEntire, Hourglass|If you were my child, I would staple you to your bedroom wall.
Muriel Barbery, The Elegance of the Hedgehog|I wound my arms around his neck and kissed him back, trying to capture this moment, to clasp it, so I could always remember what it felt like to hold him this way.
Leo Tolstoy, Essays, Letters and Miscellanies|If, then, I were asked for the most important advice I could give, that which I considered to be the most useful to the men of our century, I should simply say: in the name of God, stop a moment, cease your work, look around you.
Mark Twain|Find a job you enjoy doing, and you will never have to work a day in your life.
Charmaine J. Forde|Don't let anyone control how much, and who you give to-people have a way of spending your money
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|To get to ‘yes’ from ‘no’, you may have to journey through ‘maybe’.
Arthur Gordon, A Touch of Wonder|Words. Just little black marks on paper. Just sounds in the empty air. But think of the power they have! They can make you laugh or cry, love or hate, fight or run away. They can heal or hurt. They even come to look and sound like what they mean. Angry looks angry on the page. Ugly sounds ugly when you say it.
Gracia Hunter|Hunger does not come from body; it comes from mind. Once a person starts to feel hungry all the time, nothing satisfies him whatsoever. This hunger covers up all the aspects of life ... The only thing wrong in following your hunger blindly is that people never know when to stop and when to feel satisfied.
Storm Constantine, Burying the Shadow|Lift your head to me...’ His is the kiss of a timorous lover. Feel his inhuman lips on the throat, the heat of it. The bite, when it comes, is cold. Begin to sink as the blood flows into his mouth; it is almost soothing. No pain. No pain at all. His teeth grind into the muscles; ecstasy and torment. Life, the very being, is flowing out. Unholy nourishment. Holy nourishment. Drained slowly.The trauma of it feels like being torn, but it is no more than suddenly having the ability to experience reality in a different way. Waiting for the end... for what? Cannot foretell. No longer flesh, no longer blood. Soul. Free.
Corey Feldman|The truth is, I think we are a self-less society, not a selfish society. Because we're so busy now.
Charles C. Ryrie|The Bible is the greatest of all books; to study it is the noblest of all pursuits; to understand it, the highest of all goals.
Charlaine Harris, Dead in the Family|They were like her rocks. Imperfect and surprising and maybe better in the long run than certainties. Chances, she thought, were life
Wendell Berry, Given|I’ve come down from the skylike some damned ghost, delayedtoo long…To the abandoned fieldsthe trees returned and grew.They stand and grow. Time comesTo them, time goes, the treesStand; the only placeThey go is where they are.Those wholly patient ones…They do no wrong, and theyAre beautiful. What moreCould we have thought to ask?...I stand and wait for lightto open the dark night.I stand and wait for prayerto come and find me here.” Sabbaths 2000 IX
Johnny Iuzzini|I find writing very difficult. It's hard and it hurts sometimes, and it's scary because of the fear of failure and the very unpleasant feeling that you may have reached the limit of your abilities.
Adam Gopnik, Through the Children's Gate: A Home in New York|Oh, Williamsburg. There was a point when you seemed like a scary, tough neighborhood, but now it's obvious that the graffiti on your walls gets put there by art students.
