Ivan Goncharov, Oblomov|In the bitter waves of woe, Beaten and tossed about By the sullen winds that blow From the desolate shores of doubt,­­ When the anchors that faith had cast Are dragging in the gale, I am quietly holding fast To the things that cannot fail: In the darkest night of the year,  When the stars have all gone out,  That courage is better than fear,  That faith is truer than doubt; And fierce though the fiends may fight,  And long though the angels hide, I know that Truth and Right Have the universe on their side; And somewhere, beyond the stars, Is a Love that is better than fate; When the night unlocks her bars I shall see Him, and I will wait
Richard Russo, Nobody's Fool|The evil of technology was not technology itself, Lindbergh came to see after the war, not in airplanes or the myriad contrivances of modern technical igenuity, but in the extent to which they can distance us from our better moral nature, or sense of personal accountability.
Walker Percy|Christianity is not a doctrine, not, I mean, a theory about what has happened & will happen to the human soul, but a description of something that actually takes place in human life.
Raymond Carver, Where I'm Calling From: New and Selected Stories|But I can hardly sit still. I keep fidgeting, crossing one leg and then the other. I feel like I could throw off sparks, or break a window--maybe rearrange all the furniture.
Scott Spencer, A Ship Made Of Paper|On a ship that's made of paper, I would sail the seven seas. (Just to be with you.)
Georg Büchner, Dantons Tod|Once you've caught a glimpse of the cosmos through the back doors of your church, it doesn't seem like such a big deal to suggest to a sweet young couple that they quit sleeping with other people.
Ratish Edwards|It is not the small number of big decisions that we take but the large number of small decisions that we take in life, shapes our life.
L.R.W. Lee|Frustration is your belief that things should be different than they are. So, when frustrated, ask yourself 'what should be different?'. In the end, you will find things are the way they are, as a result of your choices. Accept responsibility and start making different choices. Your life will be more peaceful as a result.
Kathryn Fogleman, Tales of the Wovlen: The Dragon' Son|Lord, did he have the best smile. It was in turns sweet, seductive, and downright sexy. How could a man look so good without even seeming to try? Laith was charming, enticing, handsome, and fascinating.If she had to classify him, it would be sex-on-a-stick.
Joseph de Maistre, St Petersburg Dialogues: Or Conversations on the Temporal Government of Providence|You have neither the clout nor the experience to make a threat like that, Victor.
Adam Hamilton|We consider Christmas as the encounter, the great encounter, the historical encounter, the decisive encounter, between God and mankind. He who has faith knows this truly; let him rejoice.
Mary Roach, Spook: Science Tackles the Afterlife|It would be especially comforting to believe that I have the answer to the question, What happens when we die? Does the light just go out and that’s that—the million-year nap? Or will some part of my personality, my me-ness, persist? What will that feel like? What will I do all day? Is there a place to plug in my laptop?
Michael Ende, The Neverending Story|The difference was not that one was a pessimist and the other an optimist, it was that one's pessimism had led to an ethos of fear, and the other's pessimism had led to a noisy, fractious disdain for Everything-That-Was. One shrank, the other flailed. One toed the line, the other crossed it out. Much of the time they were at loggerheads, and because Willy found it so easy to shock his mother, he rarely wasted an opportunity to provoke an argument. If only she'd the wit to back off a little, he probably wouldn't have been so insistent about making his points. Her antagonism inspired him, pushed him into ever more extreme positions, and by the time he was ready to leave the house and go off to college, he had indelibly cast himself in his chosen role: as malcontent, as rebel, as outlaw poet prowling the gutters of a ruined world.
Jacqueline Novogratz|My first grade nun had instructed me that from those to whom much is given, much is expected. I was learning that this lesson had to be combined with Shakespeare's wisdom that one must 'to thine own self be true.' Add to this humility, empathy, a sense of curiosity, courage, and plain old hard work, and I was finally seeing the real path to leadership. Of course, humor is always a plus. (158)
Golda Poretsky|Sometimes you need a reminder that negative comments about your body aren’t even really about your body, they’re about society and our society’s wrongheaded and impossibly narrow definition of a “good” body. Your body didn’t do anything wrong. What’s fucked up about your body is not your body at all, but that your body has to live in a society that thinks it has a right to say fucked up things about your body.
Harry Lauder, Between You and Me|Tho' you're tired and weary, still journey on, Till you come to your happy abode,Where all the love you've been dreaming of,Will be there at the end of the road.
Annie Dillard, Pilgrim at Tinker Creek|The answer must be, I think, that the beauty and grace are performed whether or not we will or sense them. The least we can do is try to be there.
karan godara|It may take a lifetime for an individual to live, but it takes just under four seconds for the occupants of the Seville to live a collective life.
Toni Sorenson|If you think you are unworthy to pray, that thought is not coming from Jesus Christ. More than anything, He wants us to approach Heavenly Father, to have our prayers heard and answered.
A.E. Via|Day got back into bed and fully climbed on top of him, laying his head down on his chest. God laughed. “Uhh, sweetheart. You going to sleep like this?”“Yep. I’ve imagined sleeping like this for years,” Day said settling in comfortably.God kissed Day’s forehead and wrapped his arms around him, trying to calm his mind. Please don’t have a nightmare. Not tonight. Just let this night be perfect.
Miranda Hart|What is more important than the name is that people know that I really like acting, I enjoy it and I want people to know that I am serious. The name thing: I will always be L.L. Cool J.
Ian  Ayris, Abide With Me|Cos there's holes in this world,see. Holes. And the likes of Thommo, and Keith, and me, and Kenny, we just sort of fall through em. We weren't never bad kids, we just didn't have nothing to hold on to, that's all.
Sunday Adelaja|When you find out the field you were gifted, what you were created for, you will get guaranteed success
Kelly Bartlett, Encouraging Words for Kids|Love, my child, is a thing that every mother learns; it is not born with a baby, but made; and for eleven years, I have learned to love you as my son.
Miriam Toews, All My Puny Sorrows|A hopeless man is a very desperate and dangerous man, almost a dead man.
J. Paul Getty, How to Be Rich|She loves filming and taking photographs. I can imagine her making beautiful films in France or India or somewhere with a gorgeously colourful culture. She somehow reminds me of my favourite place in the world, she and Paris I can romanticize and immortalize in ceaseless poetry for the rest of my life.
Patience Johnson, Why Does an Orderly God Allow Disorder|God didn´t bless me so I can backslide, He didn´t give me a status so that I can become a statue.
Pierre Marshesso, Double Life: The JFK Assassinations|As they say: A baking man will grasp at a hangman. Whoever gets the job will be dragged into the heat, forced to wear a massive pair of iron shoes, and frogmarched across the minefield at gunpoint.
Alexander Schmemann, For the Life of the World: Sacraments and Orthodoxy|Whether we "spiritualize" our life or "secularize" our religion, whether we invite men to a spiritual banquet or simply join them at the secular one, the real life of the world, for which we are told God gave his only begotten Son, remains hopelessly beyond our religious grasp.
Stuart McLean|We live through evolution ourselves, each of us, progressing through different apprehensions of the world, at each age forgetting the last age, every previous mind erased. We no longer see the same world at all.
I wrote it|Every book is a safe heaven, many people don't see it but I do.I see my chance to escape and be safe, I see the choice to stop or jump over the yelling, I see the key to help me get a better person.I see not different worlds, no, I see my universe.
Haruki Murakami, The Wind-Up Bird Chronicle|Is it possible, in the final analysis, for one human being to achieve perfect understanding of another?We can invest enormous time and energy in serious efforts to know another person, but in the end, how close can we come to that person's essence? We convince ourselves that we know the other person well, but do we really know anything important about anyone?
Mason Cooley|Taste refers to the past, imagination to the future.
Geoff Colvin|In our own lives, we will try something new and, finding that it isn't easy for us, we conclude we don't have a talent for it.
C.S. Lewis, The Voyage of the Dawn Treader|As we enter the path of transformation, the most valuable thing we have working in our favor is our yearning.
Pablo Neruda|Tonight I can write the saddest lines.Write, for example,'The night is shatteredand the blue stars shiver in the distance.'The night wind revolves in the sky and sings.Tonight I can write the saddest lines.I loved her, and sometimes she loved me too.Through nights like this one I held her in my armsI kissed her again and again under the endless sky.She loved me sometimes, and I loved her too.How could one not have loved her great still eyes.Tonight I can write the saddest lines.To think that I do not have her. To feel that I have lost her.To hear the immense night, still more immense without her.And the verse falls to the soul like dew to the pasture.What does it matter that my love could not keep her.The night is shattered and she is not with me.This is all. In the distance someone is singing. In the distance.My soul is not satisfied that it has lost her.My sight searches for her as though to go to her.My heart looks for her, and she is not with me.The same night whitening the same trees.We, of that time, are no longer the same.I no longer love her, that's certain, but how I loved her.My voice tried to find the wind to touch her hearing.Another's. She will be another's. Like my kisses before.Her voide. Her bright body. Her inifinite eyes.I no longer love her, that's certain, but maybe I love her. Love is so short, forgetting is so long.Because through nights like this one I held her in my armsmy sould is not satisfied that it has lost her.Though this be the last pain that she makes me sufferand these the last verses that I write for her.
Peter Ackroyd, The House of Doctor Dee|There is a camaraderie that grows up among those who work with old books and old papers, largely, I suspect, because we understand that we are at odds with the rest of the world: we are travelling backwards, while all those around us are still moving forward.
Joseph P. Kauffman, The Answer Is YOU: A Guide to Mental, Emotional, and Spiritual Freedom|Examples of fractals are everywhere in nature. They can be found in the patterns of trees, branches, and ferns, in which each part appears to be a smaller image of the whole. They are found in the branch-like patterns of river systems, lightning, and blood vessels. They can be seen in snowflakes, seashells, crystals, and mountain ranges. We can even see the holographic and fractal-like nature of reality in the structure of the Universe itself, as the clusters of galaxies and dark matter resemble the neurons in our brain, the mycelium network of fungi, as well as the network of the man-made Internet.
Debasish Mridha|In life, there is always something to feel wonderful about.
A.E. Samaan, From a "Race of Masters" to a "Master Race": 1948 to 1848|Past is PrologueThis book was written observing the premise that the seeds of Holocaust denial take root and prosper with misinformation. Clarity and transparency are imperative, as they leave no room for denial theories that would deprive the victims justice, or rob the living of a future. Generations of historians have enthusiastically gone about their craft knowing full well that 'he who owns the past, owns the future'. Improperly documented history, or more precisely, fraudulent versions of history not only deprive the victims of pasts injustices due recognition of their suffering, but also rob the living of a fair chance at a future free from the dangers of repeating past injustices.
J.D. Salinger, The Catcher in the Rye|Loving you is loosing my soul,I was in a lost battle, Death at my door,A dog in a backyard feels for my pain,Beer in a broken bottle wet paint and rain.
Henry Ford|He who learns but does not think, is lost! He who thinks but does not learn is in great danger.
Richard Tedor, Hitler's Revolution|Hitler scheduled joint plebiscites in Austria and Germany for April 10, 1938. Both populations voted on whether to incorporate the two countries into a single state. The people of Austria cast 99.73 percent of their ballots in favor of Anschluss with Germany. The Germans voted 99.08 percent for unification....On March 18. 1938, the German government notified the League of Nations that Austria had cancelled its affiliation. This international body, which had never manifest concern for the plight of the distressed little nation, now debated whether Germany was responsible for paying Austria's delinquent membership dues of 50,000 Swiss francs from January 1 to March 13. This ended the chain of circumstances leading to the unification of Hitler's homeland with the German Reich, an event known to history as "the rape of Austria.
Dave Barry|I've always wanted to be a journalist, but what am I going to do? Write articles about which movie star had the fat sucked from her ass and injected into her face? Which professional athlete just confessed to shooting steroids? The last celebrity baby names?" Cara lowered both brows in frustration. "Who cares?
Adria Arjona|I'm fascinated by the idea of disparate, difficult people learning to trust each other when they're thrust into hellish circumstances.
Steve Maraboli|When we look back into our lives we see that our life is but a collection, a collage of these moments which take the shape of images, images which lower our spirits, images which inspire, images which help us remember the people that have come along our way, touched us and silently left, images that go on to become memories and leave a lasting impression as long as we are here, as long as we are here to be.
John Phillips|I wish I had it in my power to furnish you with accommodation I should feel proud to do it, shall be happy to hear from you at anytime when you engagements will allow you an hour and remain with best wishes for yourself, family and circuit.
Rae Hachton, Frankie's Monster|For there has never been a story nearly as tragic as the one of Frankenstein, except for that of Johnny Heart and his Francesca Valentine.
L. G. Estrella|And suddenly, the earth was an alien place, and she a voyager without sure destination.
Scott Adams|I would like nuclear fusion to become a practical power source. It would provide an inexhaustible supply of energy, without pollution or global warming.
M.B. Dallocchio, The Desert Warrior|In movies, war only looks romantic. “Tell my gal I love her…” close-up shot, and fade out. It doesn’t work as beautifully and neat in real life. Flying chunks of human flesh and screaming orphans really put that Hollywood take into perspective and there is nothing clean or sterile about any of it. When people die, it’s fucking horrible.
Aayush Jain|Behind every successful innovation, was a presentation in a closed room
Jenny Holiday, The Miss Mirren Mission|Celeste grabbed his arm. “You see, you are running away from the truth. Why won’t you talk about it?”“Take your hands off me. Now.”She had gone too far. She knew it would be insane to push him further, but she knew with certainty that was exactly what she was going to do. Celeste tilted her head and met his stormy eyes. “No.
Justin Cronin, The Passage|What strange places our lives can carry us to, what dark passages.
Tony Parsons, Man and Boy|A man and wife should see the best in each other, should work together, should enjoy each other.
Maurice Merleau-Ponty, Phenomenology of Perception|The world is inseparable from the subject, but from a subject which is nothing but a project of the world, and the subject is inseparable from the world, but from a world which the subject itself projects.
Irving Stone|I glanced over, he was still looking at me. ''Uh... do you need something?''''No.''''Oh, okay.''''It's just...'' he leaned in, ''...you have an onion ring taped to your back.''''...Excuse me?''''There is a ring of onion applied to you back with an adhesive strip.''I searched his eyes, he seemed amused, but sincere.My hand flew to my back with a look of horror and there it was, with ketchup and everything.
Belsebuub|It doesn't matter what you think about consciousness, higher truths, or different dimensions - it's what you do and what you are that counts.
T.L. Swan|The best way to deal with your past is not to avoid thinking about it or trying to forget it, but to accept it happened, forgive yourself and move on.
Stephenie Meyer, New Moon|Before you, Bella, my life was like a moonless night. Very dark, but there were stars, points of light and reason. ...And then you shot across my sky like a meteor. Suddenly everything was on fire; there was brilliancy, there was beauty. When you were gone, when the meteor had fallen over the horizon, everything went black. Nothing had changed, but my eyes were blinded by the light. I couldn’t see the stars anymore. And there was no more reason, for anything.
Katlyn Charlesworth, A Thousand Deaths|He is not a man wedded to action, Boleyn, but rather a man who stands by, smirking and stroking his beard; he thinks he looks enigmatic, but instead he looks as if he's pleasuring himself.
Chris Dee, Polishing Silver: The Journal of Alfred Pennyworth|They are married, after all, in every way that matters. The difficulty is that they appear not to have noticed. And one is somewhat wary, given the history, of bringing that fact to their attention.
John Wooden|What does matter is that you understand this one great truth I have learned in my life: having knowledge, even at the expense of leaving the Garden, has been worth it. For it is through this great gift of knowledge that I have understood something of the Creator's power - yes, even the Creator's love. Out of what seemed punishment, came a great good; out of physical pain, all of you have emerged. The pain has been forgotten while the pleasure of your presence endures. Adam and I have known joy - how would we have tasted it had we not known its opposite, sorrow? And we have seen how darkness is dispelled when light arrives, night and day, after night and day. We never tire of it.
Andrew Marr|The remedy for speech that is false is speech that is true. This is the ordinary course in a free society. The response to the unreasoned is the rational; to the uninformed, the enlightened; to the straight-out lie, the simple truth.
Chris     Murray, The Extremely Successful Salesman's Club|It’s your own personal statement of who you want to become, based on how you wish to be remembered.
Jill Telford, Walk Like a Giant|People say they walk on the shoulders of giants. True, but have you ever walked like one?
Marguerite Kaye, The Soldier's Rebel Lover|The Jock Upstart, is what Wellington calls - called me. A man who does not know his allotted place in the scheme of things.
Gray Scott|It was the labor movement that helped secure so much of what we take for granted today. The 40-hour work week, the minimum wage, family leave, health insurance, Social Security, Medicare, retirement plans. The cornerstones of the middle-class security all bear the union label.
Sophie Avett, 'Twas the Darkest Night (Darkest Hour Saga, #1)|Mrs. Pott's beady black eyes narrowed,"Do you know how many glass slippers I have to stitch when I get home? There's a Mad Hatter serenading a toaster as we speak. There could be mayhem wreaking havoc all over the love in New Gotham, granted what thankless ingrates you are. But here I am! I've taken a chance on you..
T.M.  Williams, Moonlight|He realized then that he’d never want to be with anyone else, he’d never want to be anywhere else, and he would surely crumble to ash if this woman walked out his life.
Jocelyn  Murray, The English Pirate|Next morning the not-yet-subsided sea rolled in long slow billows of mighty bulk, and striving in the Pequod's gurgling track, pushed her on like giants' palms outspread. The strong, unstaggering breeze abounded so, that sky and air seemed vast outbellying sails; the whole world boomed before the wind. Muffled in the full morning light, the invisible sun was only known by the spread intensity of his place; where his bayonet rays moved on in stacks. Emblazonings, as of crowned Babylonian kings and queens, reigned over everything. The sea was as a crucible of molten gold, that bubblingly leaps with light and heat.
Richard Tillotson, Acts of God While on Vacation|You are asking us to lie, Colonel?""I am asking you to omit. Surely, amidst the...the infinite gradations of human venality, that particular sin ranks low." The old man kneaded the folds of his throat. "What happened out there belongs out there. The jungle has it; let the jungle keep it...
Kenneth Eade, HOA Wire|Jail is more commonly-suited to those less-commonly able to finance a defense (or to potentially pander the prosecution). The choices for council is either a retained lawyer or, by default, a public defender. In the later of these two, the common title in jail was 'public pretender'.
Abraham Joshua Heschel, Moral Grandeur and Spiritual Audacity: Essays|The primary purpose of prayer is not to make requests. The primary purpose is to praise, to sing, to chant. Because the essence of prayer is a song, and man cannot live without a song. Prayer may not save us. But prayer may make us worthy of being saved.
Michael Erard, Babel No More: The Search for the World's Most Extraordinary Language Learners|One of the first things to understand was how people knew what language to speak to whom. Where I've lived in the American Southwest, choosing to speak English or Spanish based on how someone looks is risky. If you try English and they don't speak it, you can switch to Spanish if you know it. But if you start with Spanish, you might offend: 'You don't think I speak English?' This can be the case if you're Anglo, even if you speak Spanish very well and just heard the other person speaking Spanish. When I described such an scenario to Indians, they couldn't relate — to them, choosing the wrong language wasn't embarrassing or politically charged. Or so they said.
bell hooks|Fame is fun, money is useful, celebrity can be exciting, but finally life is about optimal well-being and how we achieve that in dominator culture, in a greedy culture, in a culture that uses so much of the world’s resources. How do men and women, boys and girls, live lives of compassion, justice and love? And I think that’s the visionary challenge for feminism and all other progressive movements for social change.
Debasish Mridha|I am the symbol of peace, I am the humanityI am the symbol of goodness I am the communityI am the symbol of changeI am the light in darknessI am the symbol of compassion I am the soul of kindnessI am the symbol of joyful futureI will bring brightnessI am the symbol of unity and harmonyI will bring happiness.
Elizabeth Gilbert, Eat, Pray, Love|He wasn't a great man, but he had a great life.
Franz Kafka, Letters to Milena|My Japanese isn’t much better today, but at least now I appreciate my duality more than when I was a punk kid.
Zoë Heller, What Was She Thinking? Notes on a Scandal|But about the drip drip of long-haul, no-end-in-sight solitude, they know nothing. They don't know what it is to construct an entire weekend around a visit to the laundrette. Or to sit in a darkened flat on Halloween night, because you can't bear to expose your bleak evening to a crowd of jeering trick-or-treaters. Or to have the librarian smile pityingly and say, ‘Goodness, you're a quick reader!’ when you bring back seven books, read from cover to cover, a week after taking them out. They don't know what it is to be so chronically untouched that the accidental brush of a bus conductor's hand on your shoulder sends a jolt of longing straight to your groin.
Virginia M. Sanders, Kiss Chronicles|When you begin to expect that there is always room for improvement, you put yourself in the driver’s seat. Why wait for someone else to figure it out or do it? Expect that you are the one. Expect great outcomes. Expect that you are the best candidate and that you will achieve your goals.
Chuck Norris|Altruism raises your mood because it raises your self-esteem, which increases happiness. Plus, giving to others gets you outside of yourself and distracts you from your problems.
Vasily Grossman, An Armenian Sketchbook|Right now I'm thinking a good deal about emancipation. One of our sins was slavery, another was emancipation. It's a paradox. In theory, emancipation was one of the glories of our democracy - and it was. But the way it was done led to tragedy, turning four million people loose with no jobs or trades or learning. And then in 1877 for a few electoral votes, just abandoning them entirely. A huge amount of pain and trouble resulted. Everybody in America is still paying for it.
Andy Rooney|If you smile when you are alone, then you really mean it.
John Lydon|True Scouts are the best friends of animals, for from living in the woods and wilds, and practising observation and tracking, they get to know more than other people about the ways and habits of birds and animals, and therefore they understand them and are more in sympathy with them.
Mario Teguh|Music is love, love is music, music is life, and I love my life. Thank you and good night.
David Sedaris, Me Talk Pretty One Day|At the end of a miserable day, instead of grieving my virtual nothing, I can always look at my loaded wastepaper basket and tell myself that if I failed, at least I took a few trees down with me.
James Marcus Bach, Secrets of a Buccaneer-Scholar: How Self-Education and the Pursuit of Passion Can Lead to a Lifetime of Success|GREAT SECRET Whenever I’m learning something difficult, I keep expectations low, and aspirations high.
Santosh Kalwar|My first world is humanity. My second world is humanism. And, I live in the third world being merely a human.
Lady  Grey, All Her Starry Fates|My bottom is my deliquent daughter. I lavish praise upon her cheeks when she's well behaved and when she gets out of control, I pretend she isn't mine.
Edith Wharton, The House of Mirth|Little as she was addicted to solitude, there had come to be moments when it seemed a welcome escape from the empty noises of her life.
Leslie Anthony, Snakebit: Confessions of a Herpetologist|Most importantly, I'd learned how to question and why ("when" had never been an issue: always).
Michael Flynn|One recalls the literary writer who, after grasping a story of a Mars voyage as a metaphor for isolation and the precariousness of relationships, realized that at a deeper, more subtle level it might even be a story about an actual trip to Mars!
Bo-Young Kim, Clarkesworld Magazine, Issue 104|I always worried because whenever a drought struck, an accursed storm of blood always followed.
Bavia Dinesh|whenever i am in pain,i just think of watching your eye's in rain!
Kate Meader, Taking the Score|This pride of yours, it’s admirable as all get-out, but there has to come a point in your life where you admit you need a hand. Pain might be necessary, but suffering is optional. Are you going to let me be the fucking man here and help my woman?
Joan Collins|I've been fortunate enough to travel the world because of my career, but the downside has been spending long spells apart from my daughters.
Daniel Heller-Roazen, The Inner Touch: Archaeology of a Sensation|Darwin called such a process artificial, as opposed to natural, selection, but from the flower’s point of view, this is a distinction without a difference: individual plants in which a trait desired by either bees or Turks occurred wound up with more offspring.
Tracy Kidder, Good Prose: The Art of Nonfiction|To write a profound thought, I have to put myself onto a very special stratum, otherwise the ideas and words just don't come. I have to forget myself and at the same time be superconcentrated. But it's not a question of the will, it is a mechanism I can set in motion or not, like scratching my nose or doing a backward roll.
Michael Cunningham, A Home at the End of the World|How are you feeling, man?" he asks me."Great," I tell him, and it is purely the truth. Doves clatter up out of a bare tree and turn at the same instant, transforming themselves from steel to silver in the snow-blown light. I know at that moment that the drug is working. Everything before me has become suddenly, radiantly itself. How could Carlton have known this was about to happen? "Oh," I whisper. His hand settles on my shoulder."Stay loose, Frisco," he says. "There's not a thing in this pretty world to be afraid of. I'm here."I am not afraid. I am astonished. I had not realized until this moment how real everything is. A twig lies on the marble at my feet, bearing a cluster of hard brown berries. The broken-off end is raw, white, fleshly. Trees are alive."I'm here," Carlton says again, and he is.
Lawren Leo, Dragonflame: Tap Into Your Reservoir of Power Using Talismans, Manifestation, and Visualization|Creation and Free Will are constantly moving, hand in hand, like children traveling along a path full of impulses and inspirations.Through the use of the Dragonflame philosophy they become superior artistic beings able to enjoy and share the fruits of creative labor.
Lisa Kleypas, Cold-Hearted Rake|It's a sin.""How do you know?""Because it feels like one," she managed to say.He laughed quietly and pulled her hips farther toward him with a decisiveness that drew a little yelp from her. "In that case...I never sin by half measures.
Monica Johnson|There is a lot to celebrate about that little Babe who was laid in a manger. Christians celebrate Christmas because they are thankful for the promise of salvation, which was delivered in human flesh and named Jesus.
Greg Rutherford|I definitely try to eat a healthy diet, but I am the first person to say I love unhealthy food. I would never tell you I don't. I love fried chicken or mac and cheese. Do I order them all the time when I'm out at restaurants? No, though I do have one splurge meal a week.
Dada Bhagwan|Where you don’t see pure love, there is indeed no path to moksha [ultimate liberation] there. Where there is a fee, there is no pure love there!
Ezra Taft Benson|When our children obey the Lord and go to the temple to receive their blessings and enter into the marriage covenant, they enter into the same order of the priesthood that God instituted in the very beginning with father Adam.
Charmaine J. Forde|When we know that His plans are to prosper us and give us hope and future, we bow down at once to the blessing of pruning, knowing that the change that will take place in us, will take us places.
Azim Jamal & Brian Tracy|The closest analogy, the one her brain reached for and rejected and reached for again, was splashing into a lake. It was cold, but not cold. There was a smell, rich and loamy. The smell of growth and decay. She was aware of her body, the skin, the sinew, the curl of her gut. She was aware of the nerves that were firing in her brain as she became aware of the nerves firing in her brain. She unmade herself and watched herself being unmade. All the bacteria on her skin and in her blood, the virii in her tissues. The woman who had been Elvi Okoye became a landscape. A world. She fell farther in.
Jeff Goins, It's not too late|Discomfort is the sign, you are on right track.
Darwun St. James, T+E=C a formula for happiness|Don't Live in the Darkness of Fear, Abandon Fear and Live in Joy!
Augusten Burroughs|I liked his attention. But I also felt like there was something sick and wrong about it. Like it might make me sick later. I thought of my grandmother, my father's mother. How when I used to visit her in Georgia she would always let me eat all the cookies and frozen egg rolls I wanted. "Go ahead, sweetheart, there's more," she would say. And it seemed okay because she was a grown-up, and I wanted all the Chips Ahoy! cookies in the bag. But I always ended up feeling extremely sick afterward. I looked at book, his eyes swollen with emotion.
Hugh Lamb, Terror by Gaslight: More Victorian Tales of Terror|A word can change a mind, a sentence can change a life and a book can change the world.
Pierre-Augustin Caron de Beaumarchais, The Marriage of Figaro (Le Nozze Di Figaro): Vocal Score|Only one thing to it: a strong stomach. The guts to gladhand a man you're going to stab in the back; pledge allegiance to principles you stomp on every day; righteously denounce some despot in the press and sell him arms under the table. The talent to whip up the voters' worst passions while you seem to call on their highest instincts, and the sense to stay wrapped in the flag. That's politics: I'll take the simple life.
Raymond Carver, Where I'm Calling From: New and Selected Stories|You see, this happened a few months ago, but it's still going on right now, and it ought to make us feel ashamed when we talk like we know what we're talking about when we talk about love.
Rebecca O’Dwyer|The only person we have the right or the power to forgive is ourselves. For everything else, there is the Art of Acceptance.
Kathleen Hanna|My dear brother Barack Obama has a certain fear of free black men. As a young brother who grows up in a white context, brilliant African father, he's always had to fear being a white man with black skin. All he has known culturally is white. He has a certain rootlessness, a deracination.
Shayla Black, Theirs to Cherish|Do not worry, Rose. I do not bite unless you wish me to.
Muni Natarajan|Awareness can be controlled by the world or you can be in control of it. You have the choice. Who is in control, that's the question to keep asking yourself.
Hannah Arendt, The Origins of Totalitarianism|The most striking difference between the ancient and modern sophists is that the ancients were satisfied with a passing victory of the argument at the expense of truth, whereas the moderns want a more lasting victory at the expense of reality. In other words, one destroyed the dignity of human thought whereas the others destroy the dignity of human action. The old manipulators of logic were the concern of the philosopher, whereas the modern manipulators of facts stand in the way of the historian. For history itself is destroyed, and its comprehensibility—based upon the fact that it is enacted by men and therefore can be understood by men—is in danger, whenever facts are no longer held to be part and parcel of the past and present world, and are misused to prove this or that opinion.
Arthur Machen|I turn away and stare through the window at the field where the scotch broom creeps yellow as hell toward my doorstep. Six years and it has advanced from the hinterlands to the picket fence in the back yard. Six more years and it will have chewed this house to the foundation, braided my bones in its hair.
John Stuart Mill, On Liberty|Socialism needs to pull down wealth; liberalism seeks to raise up poverty. Socialism would destroy private interests, Liberalism would preserve [them] ... by reconciling them with public right. Socialism would kill enterprise; Liberalism would rescue enterprise from the trammels of privilege and preference. Socialism assails the preeminence of the individual; Liberalism seeks ... to build up a minimum standard for the mass. Socialism exalts the rule; Liberalism exalts the man. Socialism attacks capitalism; Liberalism attacks monopoly.
Karen Maitland, Company of Liars|Rain slips through your fingers as easily as words blow away in the wind, and yet it has the power to destroy your whole world.
Loretta Young|A horse is the projection of peoples' dreams about themselves - strong, powerful, beautiful - and it has the capability of giving us escape from our mundane existence.
Rick Riordan, The Lightning Thief|You do understand that I must find a way to return to Olympus,” I said. “This will probably involve many harrowing trials with a high chance of death. Can you turn down such glory?”“Yeah, I’m pretty sure I can. Sorry.”I pursed my lips. It always disappointed me when mortals put themselves first and failed to see the big picture—the importance of putting me first—but I had to remind myself that this young man had helped me out on many previous occasions
Doris Kearns Goodwin, No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II|If he could not go out into the world, the world could come to him.
AC/DC|It's under my skin but out of my hands (Tears for Fears - Womain in Chains, 1992)
L.J. Kentowski, Seeker of Fate|Breathing heavily near his ear as he rested his head next to mine, I whispered, “I wish we could stay this way forever.”“You only need to say the word, and I would take you away from all of this. We could make love for eternity. I can be very creative, Cassandra.
Rick Steves, Travel as a Political Act|As a traveler, I've often found that the more a culture differs from my own, the more I am struck by its essential humanity.
Stephen King, 11/22/63|... it would matter ... to the tens of thousands of young Americans ... who would ... be invited to put on uniforms, fly to the other side of the world, spread their nether cheeks, and sit down on the big green dildo that was Vietnam.
Osho|respect life,revere life.there is nothing more holy than life,nothing more divine than life.
Duane Michals|Photography is essentially an act of recognition by street photographers, not an act of invention. Photographers might respond to an old man’s face, or an Arbus freak, or the way light hits a building—and then they move on. Whereas in all the other art forms, take William Blake, everything that came to that paper never existed before. It’s the idea of alchemy, of making something from nothing.
Gabriel Marcel|The principle of the endless melody is the perpetual becoming of a music that never had any reason for starting, any more than it has any reason for ending.
Raquel Cepeda, Bird of Paradise: How I Became Latina|I fall in love with Paraíso. It’s like a giant playground where I’m never scolded for running around recklessly, where I’m almost overwhelmed with the amount of attention and love I receive from Mami’s family. In New York, I’m invisible.
Emma Jane Unsworth|In the quantum multiverse all eventualities are possible. Which means, paradoxically, that all eventualities are inevitable. They have also quite possibly already happened. Make of that what you will, not that your will has much to do with it. Because here's the thing. If you believe that consciousness is an accumulation of memory; if you believe that you often know what's going to occur either through some animal instict or a human subscription to fate, then you are a walking and talking embodiment of everything happening all at once.
Bertrand Russell, Sceptical Essays|Intellectually, what is stimulating to a young man is a problem of obvious practical importance. A young man learning economics, for example, ought to hear lectures from individualists and socialists, protectionists and free-traders, inflationists and believers in the gold standard. He ought to be encouraged to read the best books of the various schools, as recommended by those who believe in them. This would teach him to weigh arguments and evidence, to know that no pinion is certainly right, and to judge men by their quality rather than by their consonance with preconceptions.
Cassandra Clare|I'm here because she's here, and she belongs to me. ~Rephaim
A.J. Mendez Brooks, Crazy Is My Superpower:  How I Triumphed by Breaking Bones, Breaking Hearts, and Breaking the Rules|I knew my value because the world seemed to be denying it, and that just made me want to prove it even more.
Lailah Gifty Akita, Think Great: Be Great!|Do not let your hearts be overwhelmed by adversity. May you have the strength, hope and courage to overcome the situation.
