Victoria Kahler, Luisa Across the Bay|Through the veil of Love, one finds the heaven on Earth
Emily Brontë|You cannot change someone using fear, degradation, humiliation, or by comparing them to others. It can only be done through love, with love, for love.
Martina Navratilova|The goal for the Laureus Sport For Good Foundation is to give kids an opportunity to be involved in sports and hopefully learn some lessons along the way. We want to put them in a safe environment, help them if they need it and maybe they will get a scholarship to a school because of the skills that they learn. Sport is just a starting point.
Simon Sinek, Start with Why: How Great Leaders Inspire Everyone to Take Action|Great companies don`t hire skilled people and motivate them, they hire already motivated people and inspire them. People are either motivated or they are not. Unless you give motivated people something to believe in, something better than their job to work toward, they will motivate themselves to find a new job and you`ll be stuck with whoever`s left.
Brie Larson|I like to think if something scares me, then there's a very good chance an audience will feel the same way. The key is creating scenarios that people can relate to.
Thomas Paine, The Crisis|The truth unquestionably is, that the only path to a subversion of the republican system of the Country is, by flattering the prejudices of the people, and exciting their jealousies and apprehensions, to throw affairs into confusion, and bring on civil commotion.
Compton Gage|Like as a young child may not bring forth the things that belong to the aged, even so have I disposed the world which I created.
Rebecca McNutt, Super 8: The Sequel to Smog City|Creosote made Mandy think of the thrill of rushing through a garden sprinkler as a kid, of playing washer toss in the backyard, of spending nights in the neighbors’ huge in-ground swimming pool when she was twelve, throwing glow sticks in the turquoise water during Canada Day block parties. She thought of Jud for a moment, how he’d loved doing all those things when he was a kid, but how, as he got older, it was all about popularity, sports, a life of illusion… and without warning, a totally different kind of memory filled her mind – the dull feeling of her head hitting the concrete walls near the wood shop at her old high school, the sounds of kids laughing, the sharp smell of sawdust, the buzzing of electric sanders nearby, the sound of Jud laughing while he beat her up… without realizing it, she’d started crying noiselessly.
Rainer Maria Rilke, The Book of Images|People dread silence because it is transparent; like clear water, which reveals every obstacle—the used, the dead, the drowned, silence reveals the cast-off words and thoughts dropped in to obscure its clear stream. And when people stare too close to silence they sometimes face their own reflections, their magnified shadows in the depths, and that frightens them. I know; I know.
Artie Lange|As soon as I realized you could be funny as a job, that was the job I wanted.
Julie Anne Long, How the Marquess Was Won|Magnanimous of you.'His mouth twitched. 'Mmm. Use more words like that, please. Schoolmistress words. Long, impressive ones.' He'd made the last three words sound like an innuendo.
Sherrilyn Kenyon, Invincible|Then what's the point of trying if you can't even win?""You win in lots of different ways," Asher said. "Lots of little wins. The point of this life is not to be good all the time. It's to be as good as you can. No one is perfect. No one does it right all the time. That's not what life is.
Friedrich Nietzsche, Twilight of the Idols|One must reach out and try to grasp this astonishing finesse, that the value of lif cannot be estimated.
Indu Muralidharan, The Reengineers|If you know that God may soon be entrusting you with a particular ministry, then it's important that you look ahead to what may be awaiting you in the future and see how you can prepare yourself for it
Anonymous|Your sincere and honest effort only,shall lead you to the path of SUCCESS!!!								 - Adbhut
M. Scott Peck|Anger is a great force. If you control it, it can be transmuted into a power which can move the whole world.
Marcia Lebhar|This is what I have. The dull hangover of waiting, the blush of my heart on the damp grass,the flower-faced moon. A gull broods on the shore where a moment ago there were two. Softly my right hand fondles my left hand as though it were you.
Suzanne Collins, The Hunger Games|Peeta,” I say lightly. “You said at the interview you’d had a crush on me forever. When did forever start?”“Oh, let’s see. I guess the first day of school. We were five. You had on a red plaid dress and your hair... it was in two braids instead of one. My father pointed you out when we were waiting to line up,” Peeta says.“Your father? Why?” I ask.“He said, ‘See that little girl? I wanted to marry her mother, but she ran off with a coal miner,’” Peeta says.“What? You’re making that up!” I exclaim.“No, true story,” Peeta says. “And I said, ‘A coal miner? Why did she want a coal miner if she could’ve had you?’ And he said, ‘Because when he sings... even the birds stop to listen.’”“That’s true. They do. I mean, they did,” I say. I’m stunned and surprisingly moved, thinking of the baker telling this to Peeta. It strikes me that my own reluctance to sing, my own dismissal of music might not really be that I think it’s a waste of time. It might be because it reminds me too much of my father.“So that day, in music assembly, the teacher asked who knew the valley song. Your hand shot right up in the air. She stood you up on a stool and had you sing it for us. And I swear, every bird outside the windows fell silent,” Peeta says.“Oh, please,” I say, laughing.“No, it happened. And right when your song ended, I knew—just like your mother—I was a goner,” Peeta says. “Then for the next eleven years, I tried to work up the nerve to talk to you.”“Without success,” I add.“Without success. So, in a way, my name being drawn in the reaping was a real piece of luck,” says Peeta. For a moment, I’m almost foolishly happy and then confusion sweeps over me. Because we’re supposed to be making up this stuff, playing at being in love not actually being in love. But Peeta’s story has a ring of truth to it. That part about my father and the birds. And I did sing the first day of school, although I don’t remember the song. And that red plaid dress... there was one, a hand-me-down to Prim that got washed to rags after my father’s death.It would explain another thing, too. Why Peeta took a beating to give me the bread on that awful hollow day. So, if those details are true... could it all be true?“You have a... remarkable memory,” I say haltingly. “I remember everything about you,” says Peeta, tucking a loose strand of hair behind my ear. “You’re the one who wasn’t paying attention.”“I am now,” I say.“Well, I don’t have much competition here,” he says. I want to draw away, to close those shutters again, but I know I can’t. It’s as if I can hear Haymitch whispering in my ear, “Say it! Say it!”I swallow hard and get the words out. “You don’t have much competition anywhere.” And this time, it’s me who leans in.
Yasmina Khadra, Swallows of Kabul|Basically, being alive means keeping yourself ready for the sky to fall in on you at any time. If you start from the assumption that existence is only an ordeal, a test we have to pass, then you’re equipped to deal with its sorrows and its surprises. If you persist in expecting it to give you something it can’t give, that just proves that you haven’t understood anything. Take things as they come; don’t turn them into a drama. You’re not piloting the ship, you’re following the course of your destiny.
Thomas Ligotti, The Conspiracy Against the Human Race|We did not make ourselves, nor did we fashion a world that could not work without pain, and great pain at that, with a little pleasure, very little, to string us along--a world where all organisms are inexorably pushed by pain throughout their lives to do that which will improve their chances to survive and create more of themselves. Left unchecked, this process will last as long as a single cell remains palpitating in this cesspool of the solar system, this toilet of the galaxy. So why not lend a hand in nature's suicide? For want of a deity that could be held to account for a world in which there is terrible pain, let nature take the blame for our troubles. We did not create an environment uncongenial to our species, nature did. One would think that nature was trying to kill us off, or get us to suicide ourselves once the blunder of consciousness came upon us. What was nature thinking? We tried to anthropomorphize it, to romanticize it, to let it into our hearts. But nature kept its distance, leaving us to our own devices. So be it. Survival is a two-way street. Once we settle ourselves off-world, we can blow up this planet from outer space. It's the only way to be sure its stench will not follow us. Let it save itself if it can--the condemned are known for the acrobatics they will execute to wriggle out of their sentences. But if it cannot destroy what it has made, and what could possibly unmake it, then may it perish along with every other living thing it has introduced to pain.
Holly Smale, Picture Perfect|My Best Friend and I have spent plenty of time together, despite me being in my First Ever Relationship. This is because friends should always come first.
J. Kenner, Heated|Everyone should feel alive. Should smash up against passion and danger, against temptation and anticipation. You have to push the envelope sometimes,because otherwise how do you know what your limits really are?
Philip Zaleski, The Fellowship: The Literary Lives of the Inklings: J.R.R. Tolkien, C.S. Lewis, Owen Barfield, Charles Williams|Oxford in the Inklings' day was not so different in look and smell from the Oxford of today. Then, as now, one was tempted to fantasize one's surroundings as a Camelot of intellectual knight-errantry or an Eden of serene contemplation. Then, as now, there was bound to be disappointment.
Saaif Alam|Unfair prejudice can result people being living with fear and unfair treatment if it is based on physical appearance. Therefore, this conflict should be intervened seriously and violators of this act of hate crime should get punished and understand deeply about the significance of human existence, so they can get pressured to change and act morally.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|Whatever our fears are, reflect on our deep core beliefs and insecurities.
Asa Don Brown|A book is open in front of me and this is what it has tosay about the symptoms of morphine withdrawal:'... morbid anxiety, a nervous depressed condition,irritability, weakening of the memory, occasionalhallucinations and a mild impairment of consciousness...'I have not experienced any hallucinations, but I canonly say that the rest of this description is dull, pedestrianand totally inadequate.'Depressed condition' indeed!Having suffered from this appalling malady, I hereby enjoinall doctors to be more compassionate toward theirpatients. What overtakes the addict deprived of morphinefor a mere hour or two is not a 'depressed condition': it isslow death. Air is insubstantial, gulping it down is useless... there is not a cell in one's body that does not crave... but crave what? This is something which defies analysisand explanation. In short, the individual ceases to exist:he is eliminated. The body which moves, agonises andsuffers is a corpse. It wants nothing, can think of nothingbut morphine. To die of thirst is a heavenly, blissful deathcompared with the craving for morphine. The feeling mustbe something like that of a man buried alive, clawing at theskin on his chest in the effort to catch the last tiny bubblesof air in his coffin, or of a heretic at the stake, groaning andwrithing as the first tongues of flame lick at his feet.Death. A dry, slow death. That is what lurks behindthat clinical, academic phrase 'a depressed condition'.
Bauvard, Some Inspiration for the Overenthusiastic|I'd never undetstood how Hana Could lie so often and easily. But just like anyhting else, lying becomes easier the more you do it.
Kim Stanley Robinson, Red Mars|They were so ignorant! Young men and women, educated very carefully to be apolitical, to be technicians who thought they disliked politics, making them putty in the hands of their rulers, just like always. It was appalling how stupid they were, really, and he could not help lashing into them.
Ashly Lorenzana, Speed Needles|It took me years to stop feeling the guilt she made sure I kept feeling about what happened with him. He is a sick person that molests children, but I felt so bad about it for so long. I couldn't talk to a single person about any of this. No one. And she made me feel so bad about it all that I felt I shouldn't talk about it, even if there was someone. I felt ashamed and thought I was an awful person. Sometimes I still do. My mother abandoned me in the worst ways possible.
Robin Sacredfire|I'm not into writing many more books or more pages. My goal is to increase the value of each sentence I write. And for that, I have to just erase my past and bring only forward what matches the new me, things I can easily rewrite and adapt to my new perspective.
Christina Lauren, The House|She was like a fire-cracker standing too close to a match: all potential energy, still wrapped up so neatly. He wanted to watch her explode. Hell, he was the match. He wanted to make her explode.
Ryan Lilly|The heart pointed to the brain and said with great disdain, “Those who live their lives in here live the lives most full of fear.
Peter DeFazio|What causes autism? As far as we know in 2013, there is no single gene or single environmental factor that accounts for the more than 1 million Americans with ASDs.
Suzanne Brockmann, Do or Die|Her business, more than any other, proved how much vulnerability could cost you. And she'd paid for every good thing she had, again and again, until the pain of exposure had made her choose her vulnerabilities sparingly. Pleasure, tenderness, intimacy... these were all luxuries Sam stole where she could find them...
Debi Tibbles, All Aboard! How Ollie Tibbles Became a Train|We live in a time that hungers for HOPE; to believe in MIRACLES and DREAMS, for without these soul gems, humanity is ripped at the seams.
Criss Jami, Healology|There are 2 kinds of artists, essentially: those who want to make something popular, and those who want to make something dignified. But then there is still that rare hybrid case, and perhaps by that unintentional stroke of genius, in which one's work uncontrollably becomes both popular and dignified yet beyond its time.
A.P.J. Abdul Kalam|I knew I was putting you under immense pressure when I rejected your work the other day. I set an impossible deadline - yet you have met it with work that I can only call outstanding. As your teacher, I had to push you to your limits so that you could recognize your own true potential.
Socrates|He is richest who is content with the least, for content is the wealth of nature.
John Steinbeck|Ideas are like rabbits. You get a couple and learn how to handle them, and pretty soon you have a dozen.
Quintin Smith|There will come a time in life, when you have to take decisions from your own. Choose wisely.As whatever you choose, will require your “complete time” & “attention”.So you must need to trust yourself,whenever you have to make a life’s decision.
Tehya Sky|We are the local embodiment of a Cosmos grown to self-awareness. We have begun to contemplate our origins: starstuff pondering the stars; organized assemblages of ten billion billion billion atoms considering the evolution of atoms; tracing the long journey by which, here at least, consciousness arose.
F. Scott Fitzgerald, A Short Autobiography|I lived here once," the author said after a moment."Here? For a long time?""No. For just a little while when I was young.""It must have been rather cramped.""I didn't notice.""Would you like to try it again?""No. And I couldn't if I wanted to."He shivered slightly and closed the windows. As they went downstairs, the visitor said, half apologetically: "It's really just like all houses, isn't it?"The author nodded."I didn't think it was when I built it, but in the end I suppose it's just like other houses after all.
Donna Leon, Acqua Alta|Time and Nemesis will do that which I would not, were it in my power remote or immediate. You will smile at this piece of prophecy - do so, but recollect it: it is justified by all human experience. No one was ever even the involuntary cause of great evils to others, without a requital: I have paid and am paying for mine - so will you.
Toba Beta, Master of Stupidity|Smartass Disciple: If there were two masters, which one should I listen to?Master of Stupidity: Use the ears to the one who looks so stupid, eyes to else.
Mokokoma Mokhonoana, The Use and Misuse of Children|Among other possibilities, money was invented to make it possible for a foolish man to control wise men; a weak man, strong men; a child, old men; an ignorant man, knowledgeable men; and for a dwarf to control giants.
Thomas Szasz|It is only you, treading in the blessed path of peace and freedom, who can bring about the true regeneration of society, and with it the true happiness of your own lives.
Herman Melville, Moby-Dick or, The Whale|...then the rushing Pequod, freighted with savages, and laden with fire, and burning a corpse, and plunging into that blackness of darkness, seemed the material counterpart of her monomaniac commander's soul.
Willa Cather|O Sacred Heart of Mary!" she murmured by his side, and he felt how that name was food and raiment, friend and mother to her. He received the miracle in her heart into his own, saw through her eyes, knew that his poverty was as bleak as hers. When the Kingdom of Heaven had first come into the world, into a cruel world of torture and slaves and masters, He who brought it had said, "And whosoever is least among you, the same shall be first in the Kingdom of Heaven.
Marty Rubin|What is true today may be false tomorrow, and true again the day after tomorrow.
Jonathan Shapiro|I don't care how big and fast computers are, they're not as big and fast as the world.
Leah Land|Never stop falling in love with your significant other.Don't lose your desire to have sex with your significant other. It can ruin your relationship no matter how much you love them.If you can see your life without them, they are not The One.Be happy with what you have because you probably have a lot more then most people will ever get, but that doesn't mean settle for something less.
A.A. Milne, Winnie-the-Pooh|I wonder what Piglet is doing," thought Pooh. "I wish I were there to be doing it, too.
Seanan McGuire, Ashes of Honor|A white lie is not a lie at all. It is where you tell the truth but you do not tell all of the truth. This means that everything you say is a white lie because when someone says, for example, "What do you want to do today?" you say, "I want to do painting with Mrs. Peters," but you don't say, "I want to have my lunch and I want to go to the toilet and I want to go home after school and I want to play with Toby and I want to have my supper
Ramana Pemmaraju|Ah! That glance of yours did some magic on me, you were not aware of. For once I died and was reborn. To put it simple you did (CRL+ALT+DELETE) to my mind!
Ellen Hopkins|It occurred to me that if I were a ghost, this ambiance was what I'd miss most: the ordinary, day-to-day bustle of the living. Ghosts long, I'm sure, for the stupidest, most unremarkable things.
Rose Wynters, My Wolf Fighter|Women have got it all wrong now. They give it up too soon, and the men don't respect them. And before you tell me I don't have a clue, let me tell you something. By the time I let my future husbands climb into my bed, I'd made them work for it. And you know what? By the time they left it the next morning, they were begging for me to marry them.
William Hazlitt|To be loved at first sight, a man should have at the same time something to respect and something to pity in his face.
Roopleen|You have the ability to shine and make a mark in some field. Your job is to find your niche, excel and build a lasting legacy.
Lang Leav, Love & Misadventure|It happens like this. "One day you meet someone and for some inexplicable reason, you feel more connected to this stranger than anyone else--closer to them than your closest family. Perhaps this person carries within them an angel--one sent to you for some higher purpose; to teach you an important lesson or to keep you safe during a perilous time. What you must do is trust in them--even if they come hand in hand with pain or suffering--the reason for their presence will become clear in due time."Though here is a word of warning--you may grow to love this person but remember they are not yours to keep. Their purpose isn't to save you but to show you how to save yourself. And once this is fulfilled; the halo lifts and the angel leaves their body as the person exits your life. They will be a stranger to you once more.-------------------------------------------------It's so dark right now, I can't see any light around me. That's because the light is coming from you. You can't see it but everyone else can.
Damon Galgut|The great advance of personal computers was not the computing power per se but the fact that it brought it right to your face, that you had control over it, that were confronted with it and could steer it.
Robert Gray|The world's an incessant transformation, and to meditateis awareness, with noclinging to,no working on, the mind.It is a floating; ever-moving; 'marvellous emptiness'.Only absorption in such a practice will release usfrom the accidents, and appetites,of life.And upon this leaf one shall cross overthe stormy sea,among the dragon-like waves.
John Vaillant, The Golden Spruce: A True Story of Myth, Madness, and Greed|In a forest of a hundred thousand trees, no two leaves are alike. And no two journeys along the same path are alike.
Laura Anderson Kurk, Perfect Glass|Henry drew a shaky breath. “Do me a favor, Meg.”“Anything,” I whispered.“Don’t fall for Quinn O’Neill. If you’re going to do this thing with him…go to this dance, don’t fall for him.”“Never,” I said. “I promise.”“Because I’m all filled up on sad right now.” He sniffed again and I could tell he was more in control. “And you can’t ask me to sit by and watch you get all caught up in this guy. I can’t handle that—thinking he swept you off your feet because he bathed in body spray and dressed up.” His voice sounded rough. “I know you think I’m being funny right now, but I’m completely serious. Don’t make me watch that happen.”“You know my heart,” I said. “It’s yours.
Sarra Manning, You Don't Have to Say You Love Me|But really it says everything that’s wrong about the publishing industry, that a quarter of a million people bought and read a sex and shopping novel that wasn’t even written by one of those footballer girlfriends, and yet most of the shortlisted titles on the Orange Prize, which is an award for women writers, don’t even sell ten thousand copies. It’s just not right.
Sunday Adelaja|I believe in this march, You will still love me much, God
Geoff Dyer, Yoga for People Who Can't Be Bothered to Do It|We'd never seen anything as green as these rice paddies. It was not just the paddies themselves: the surrounding vegetation - foliage so dense the trees lost track of whose leaves were whose - was a rainbow coalition of one colour: green. There was an infinity of greens, rendered all the greener by splashes of red hibiscus and the herons floating past, so white and big it seemed as if sheets hung out to dry had suddenly taken wing. All other colours - even purple and black - were shades of green. Light and shade were degrees of green. Greenness, here, was less a colour than a colonising impulse. Everything was either already green - like a snake, bright as a blade of grass, sidling across the footpath - or in the process of becoming so. Statues of the Buddha were mossy, furred with green.
José Ortega y Gasset, The Revolt of the Masses|Culture makes people understand each other better. And if they understand each other better in their soul, it is easier to overcome the economic and political barriers. But first they have to understand that their neighbour is, in the end, just like them, with the same problems, the same questions.
Cuthbert Soup, Another Whole Nother Story|Advice to explorers everywhere: if you would like to recieve due credit for your discoveries, keep a detailed account of your journeys as Columbus did. On Septemeber 28, 1492, after four weeks at sea, he writes: Dear diary...I means journal. Yes, dear journal. That's what I meant to say. Whew. Anyway, we have yet to discover America, and the crew has become increasingly rebellious. I have decided to turn back if we have not spotted it by Columbus Day. Will write again later if not killed by crew. P.S. Last night's buffet was fabulous, the ice sculptures magnificent.
George Orwell, 1984|1. TEMPERANCE. Eat not to dullness; drink not to elevation. 2. SILENCE. Speak not but what may benefit others or yourself; avoid trifling conversation. 3. ORDER. Let all your things have their places; let each part of your business have its time. 4. RESOLUTION. Resolve to perform what you ought; perform without fail what you resolve. 5. FRUGALITY. Make no expense but to do good to others or yourself; i.e., waste nothing. 6. INDUSTRY. Lose no time; be always employ'd in something useful; cut off all unnecessary actions. 7. SINCERITY. Use no hurtful deceit; think innocently and justly, and, if you...
Terry Tempest Williams, When Women Were Birds: Fifty-four Variations on Voice|It is not possible to satisfy women," a friend said. "We are disturbed if we have children too young. Disturbed if we have then later. Disturbed if we don't have children at all.
Sun Tzu, The Art of War|Attack him where he is unprepared, appear where you are not expected.
Diane von Furstenberg|Beauty is but a flower, which wrinkles will devour.
Winston Samuels|Miriam felt astonished at herself. It was a new thing for her to step out so independently. Somehow, in the past month a tough little root of determination had been growing in her. Whether it was strong enough to support the desperate plan she had undertaken she would soon find out.
Mehmet Murat ildan|Any belief which encourages you to use your own intellect, which motivates you to question everything and points out your own mind as the only road for your salvation is a good belief!
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|HungerYou are only here now, and then you are gone. So be hungry. Hunger toward beauty. Hunger toward love. Hunger towards the unimaginable and unthinkable.
Debra Crown LPC-S Journal of Family Violence 2006|Battered women who were physically abused as children develop an active coping style as adults, typically with obsessive-compulsive tendencies. It is as if she can "just get things right" then the battering will stop. Those who were sexually abused as children tend to be severely depressed and a more passive coping style.
Sharon Salzberg, Real Love: The Art of Mindful Connection|By accepting and learning to embrace the inevitable sorrows of life, we realize that we can experience a more enduring sense of happiness.
Louis-Ferdinand Céline, Journey to the End of the Night|The sadness of the world has different ways of getting to people, but it seems to succeed almost every time.
M.F. Moonzajer, A moment with God ; Poetry|In everyone’s life, there is a line between reality and dreams; but poets don’t have that line.
Ho Chi Minh|I always have a positive reaction to Times Square - you've got so many people passing through here, so many cultures, and so many people merging into the central community of New York City. This is the hub of America.
Tony Gwynn|I think baking is very rewarding, and if you follow a good recipe, you will get success.
Liza Lapira|We were young, we were pilots, and we were hungry to test the new technology of 'space machines.' And we all wanted to be first.
عبادة زياد الحمدان, سراج - عشيقة من سحر|Good and evil are a great deal more complex than a princess and a dragon, or a wolf and a scarlet-clad little girl. And is not the dragon the hero of his own story?
Elle Lothlorien, Alice in Wonderland|I use the word “man” loosely. A better description would be “the most beautiful specimen of Homo sapiens sapiens with a set of XY chromosomes to grace the planet Earth at this moment, or any other era, epoch, or age in history.
Paulo Coelho, Warrior of the Light|In order to have faith in his own path, he does not need to prove that someone else's path is wrong.
Neil Gaiman, American Gods|There was only one guy in the whole Bible Jesus ever personally promised a place with him in Paradise. Not Peter, not Paul, not any of those guys. He was a convicted thief, being executed. So don't knock the guys on death row. Maybe they know something you don't.
Becky Crabtree|When the deputies asked me if I needed anything, I told them I could use a cigarette. I don't smoke but it seemed like the thing someone handcuffed in the back seat of a police car should say.
David Gemmell, Shield of Thunder|I may be stupid, as you say, to believe in honour and friendship and loyalty without price. But these are virtues to be cherished, for without them we are no more than beasts roaming the land.
Grandma Moses|We are all here for a spell, get all the good laughs you can.
Rajat|Take a deep breath and start again . When things are not turning in your way , sometimes it is good to take a break and try it again because the life may sometimes offer a surprising chance which will be waiting for you.
Stephen King, Bag of Bones|For men, I think, love is a thing formed of equal parts lust and astonishment. The astonishment part women understand. The lust part they only think they understand.
Akshay Vasu|When fears are screaming in your ears, try to hear the whispers of your faith and run into that dark path. That is how you reach the paradise.
Whitney Otto, Eight Girls Taking Pictures|If the photographer isn't going to pay attention to the picture he is making, that if he thinks the camera is just a machine and not an avenue of expression, then he has no business asking anyone for anything, let alone their time and interest. Don't show the world, he said, invent the world.
G.S. Jennsen, Transcendence: Aurora Rising Book Three|Is it painful?" the groundskeeper asked. "I am asking for science.
J.J. Gadd, Lunation|I don’t think I would be very good at killing,” Merla said.“To be honest, nor do I. But you may have to.”A disturbing thought came to Merla. “Faye,” she asked, “have you killed a person?”There was a moment’s silence. “Let’s just say that I am familiar with the techniques.
Roman Payne|There comes a time when we realize that our parents cannot save themselves or save us, that everyone who wades through time eventually gets dragged out to sea by the undertow - that, in short, we are all going.
Ashley Olsen|If you dream of something worth doing and then simply go to work on it and don't think anything of personalities, or emotional conflicts, or of money, or of family distractions; it is amazing how quickly you get through those 5,000 steps.
Boris Pasternak, Doctor Zhivago|When you judge a woman by her appearance, it doesn't define her, it defines you. Ladies, never allow yourself to be defined by someone's inability to appreciate your unique beauty.
Mahatma Gandhi|To believe in something, and not to live it, is dishonest.
Robert Teeter|Now, the essence, the very spirit of Christmas is that we first make believe a thing is so, and lo, it presently turns out to be so.
Quinn Loftis, Prince of Wolves|If I have to choose between a person who has everything but loyalty and another who has nothing but loyalty, I go for the latter. Go loyal!
Nikolai Grozni, Wunderkind|Once you take to the habit of deception, every new lie comes that much easier. Though to me it wasn't so much lies as a matter of judicious editing. We all inevitable present a version of ourselves that is a collection of half-truths and exclusions. The way I saw it, the truth was too complicated, whereas the well-chosen lie would put everyone's mind at ease.
Costas Taktsis, The Third Wedding|Hecuba had the mistaken notion, just like my poor mama, that all a girl had to do was to get married and all her problems were solved overnight.
J.W. Dunne, An Experiment with Time|The universe had no choice but to create intelligent life so that there would be someone else that could simply laugh at how unbelievably, ridiculously and senselessly huge the universe is and how utterly insignificant the rest of us are.
Ashly Lorenzana|Never try to do anything that is outside of who you are. A forced smile is a sign of what feels wrong in your heart, so recognize it when it happens. Living a lie will reduce you to one.
Wendi Nunnery, The Best Kept Secret|Sex is like God, really. I know they're both important, but if I think about them too much my head hurts." -The Best Kept Secret
David McCullough|Measurements "are never enough. The artist's eye and desire to breathe life into the subject must be the deciding factors.
Robyn Carr, The Wanderer|That’s the thing you girls never get. It doesn't matter if you just woke up, or just got done bawling, or just finished your make-up. When a guy’s all love-sick over a chick, she looks exactly the same to him all the time: perfect.
Maria Erving|For us, then, life is a confidence trick we must run on ourselves, hoping we do not catch on to any monkey business that would leave us stripped of our defense mechanisms and standing stark naked before the silent, staring void. To end this self-deception, to free our species of the paradoxical imperative to be and not to be conscious, our backs breaking by degrees upon a wheel of lies, we must cease reproducing. Nothing less will do.
Jeffrey Eugenides, Middlesex|Society has provided [children] no rituals by which they become members of the tribe, of the community. All children need to be twice born, to learn to function rationally in the present world, leaving childhood behind.
Thomas Middleditch|True, a little learning is a dangerous thing, but it still beats total ignorance.
Will Durant, Our Oriental Heritage|, civilization is an ever-changing tacit agreement, culturally inherited, not chosen at birth. Civilization is the invention of man, my big friend. It is a means of ensuring order and structure; it is man’s attempt to expunge all and every act of randomness from daily life. The ultimate goal of civilization is determinism, the complete absence of freewill. If everyone adhered to every rule, every demand, every decree of civilization, there would be no accidents, no arguments, no crime! Man would move through his life smoothly, like a well-oiled cog in a grandfather clock.
Dennis Prager|I am in politics because of the conflict between good and evil, and I believe that in the end good will triumph.
Fakeer Ishavardas|The inability to rise above one's inherited ism and ideology makes one live and die a fool, just a folly.
Simon Sinek|I have long been a supporter of The Prince's Trust, and so when American Express asked me to launch 'Amex Be Inspired' and help young people build their confidence and fulfil their potential, I was delighted to get involved.
Ralph Ellison|Sometimes I worry that science communication is just preaching to the choir, speaking to the converted. Social media gives us an amazing opportunity to reach new people.
Alex Berenson|As technology continues to increase our possibilities, what we're seeing is a shrinking of the lag time between what we dream about and what we create.
Chris Avellone|The critical issues here concern what is right, what is just -- not the balancing of benefits.
Ida Tarbell|The obligation of subjects to the sovereign is understood to last as long, and no longer, than the power lasteth by which he is able to protect them.
Lailah Gifty Akita|If Christian, we open the Holy Bible. And read, they shall grow in the knowledge of Christ Jesus.
Paz Vega|'Immortals' was very much a martial arts based training program - a lot of body weight stuff, very little in the way of actually lifting heavy weights, and a very, very low calorie diet.
R. W.  Patterson, Dark Night of the Soul|Inside, a deep-rooted force raged, buried in her psyche from eons before, percolating with a primordial awakening that had been long forgotten, until now.
Karl Marx, Eleven Theses on Feuerbach|Philosophers have hitherto interpreted the world in various ways; the point, however, is to change it
Bill Forsyth|If you approach Cannes with a sense of humor, nothing is that bad. You have to take it for what it is; otherwise, it's silly.
Audrey Greathouse, The Neverland Wars|Their meal was illuminated by torches, which Gwen found were utterly without fire. What the children called torches were really just small platforms on tall, wooden poles. The reason they radiated light was because fairies had flown up to them to waltz and glow on the tiny dance floors.
Philip J. Hilts, Memory's Ghost: The Nature Of Memory And The Strange Tale Of Mr. M|...I still cannot tap on your walls and discover by the hollow or firm sounds which of your walls are merely decorative, and which ones hold everything up.
Lauren Willig, The Masque of the Black Tulip|Miles was still mourning the loss of his Romantic Plan. 'There was going to be champagne, and oysters, and you' -- he held out both hands as though shifting a piece of furniture -- 'were going to be sitting there, and I was going to get down on one knee, and...and...
John Pipkin, The Blind Astronomer's Daughter|It is one of the great blessings of youth, this guiltlessness, the source of gentle sleep and peaceful days.
David Wroblewski, The Story of Edgar Sawtelle|It is, of course, necessary to have rules and procedures if we wish to accomplish large and complex tasks, but the question of whether or not it is worth the cost must be perennially re-examined. (117)
Lemony Snicket, Shouldn't You Be in School?|Get scared later, and if you're scared now remember what Kit always said. If you're not scared, she told me, it's not bravery. And you want to be brave, don't you, Snicket?
