Paolo Bacigalupi, The Water Knife|Jesus walked on water, so maybe he makes aquifers, too.
Tegan Quin|Here's what I think I'm having trouble with: this is what happiness is. When I was a kid, I thought I'd just get happier and happier as I got older, and have more things to be happy about. I based this theory on observation of select adults. The problem with my results is that I couldn't tell the difference then between happy and fake-happy. Now I know you pretend to be just frigging ecstatic over everything, maybe because you're so glad it's not worse.
Noam Chomsky|There was nothing so special about First Class, apart from the amount of uncalled for, almost disturbing, attention I got from the various six-feet tall heavily made up air hostesses, that I would come back for more given the steep price tag.
Stefan Molyneux|There is nothing that is going to make people hate you more, and love you more, than telling the truth.
bell hooks, The Will to Change: Men, Masculinity, and Love|When feminist women told the world that patriarchy promotes woman-hating, the response was that feminists were being too extreme, exaggerating the problem. Yet when men who knew nothing about feminism claimed that feminists were man-hating, there was no response from the nonfeminist world saying that they were being too extreme. No feminists have murdered and raped men. Feminists have not been jailed day after day for their violence against men. No feminists have been accused of ongoing sexual abuse of girl children, including creating a world of child pornography featuring little girls. Yet these are some of the acts of men that led some feminist women to identify men as woman-hating.
Karon Waddell|Life has simply decided to open the floodgates, trying to drown me in a whirlwind of twists and turns.
Jenni Schaefer, Goodbye Ed, Hello Me: Recover from Your Eating Disorder and Fall in Love with Life|Being stress and anxiety free is a human preset, I just show you how to 'flick the switch' to off. Permanent stress and anxiety recovery is possible quickly and simply despite what many are told.
Joseph Conrad, Heart of Darkness|This is Africa, my friends … These folks do things differently.” Sven Taxel, who regards himself as an expert on South Africa because he has read Wilbur Smith, Rian Malan and André Brink, tries to calm his fellow congregation members.
Melina Marchetta, The Piper's Son|Granny looked up at the zombie. He was - or, technically, had been - a tall, handsome man. He still was, only now he looked like someone who had walked through a room full of cobwebs.'What's your name, dead man?' she said.
Yōko Ogawa, The Housekeeper and the Professor|I am neither foe nor friend to my brothers, but such as each of them shall deserve of me. And to earn my love, my brothers must do more than to have been born. I do not grant my love without reason, nor to any chance passer-by who may wish to claim it. I honor men with my love. But honor is a thing to be earned.I shall choose friends among men, but neither slaves nor masters. And I shall choose only such as please me, and them I shall love and respect, but neither command not obey.
Cornell Woolrich, Angels of Darkness|And the blood remembers what the heart has never learned. The approach to kill. ("The Moon Of Montezuma")
Dada Bhagwan|That which cures all worldly miseries, is called ‘Scientific’ Knowledge.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|This moment is yours and yours alone! Take charge, seize this moment and allow it to propel you to the high levels of an empowered life. Allow upon this fertile moment to be planted the seeds of your happiness and success.
Richard Powers, The Time of Our Singing|If my journey was so easy, I would have missed out on life's invaluable lessons. From misery I learnt to comfort those in tears, from lack I learnt to give to the needy; from uncertainty I learnt to understand others and from my silence I learnt to speak for the voiceless.
C. JoyBell C.|In all things in this life, we are told "It's okay if you don't make it the first time!", "It's fine if you don't get it right the first time, just try again and again!" We are told this in learning how to ride a bike, in learning how to bake a cake, in solving our math equations...in everything. Except marriage. Why are we all expected to get such an enormous and weighty thing right, the very first time, and if we don't we're considered as failures? I beg to differ! This is a stupidity!
Julius Evola|This kind of renunciation, in fact, has often been the strength, born of necessity, of the world's disinherited, of those who do not fit in with their surroundings or with their own body or with their own race or tradition and who hope, by means of renunciation, to assure for themselves a future world where, to use a Nietzschean expression, the inversion of all values will occur.
