Emily Brontë, Wuthering Heights|Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.
Auberon Herbert|Why should you desire to compel others; why should you seek to have power— that evil, bitter, mocking thing, which has been from of old, as it is today, the sorrow and curse of the world—over your fellow-men and fellow-women? Why should you desire to take from any man or woman their own will and intelligence, their free choice, their own self-guidance, their inalienable rights over themselves; why should you desire to make of them mere tools and instruments for your own advantage and interest; why should you desire to compel them to serve and follow your opinions instead of their own; why should you deny in them the soul—that suffers so deeply from all constraint—and treat them as a sheet of blank paper upon which you may write your own will and desires, of whatever kind they may happen to be? Who gave you the right, from where do you pretend to have received it, to degrade other men and women from their own true rank as human beings, taking from them their will, their conscience, and intelligence—in a word, all the best and highest part of their nature—turning them into mere empty worthless shells, mere shadows of the true man and women, mere counters in the game you are mad enough to play, and just because you are more numerous or stronger than they, to treat them as if they belonged not to themselves, but to you? Can you believe that good will ever come by morally and spiritually degrading your fellow-men? What happy and safe and permanent form of society can you hope to build on this pitiful plan of subjecting others, or being yourselves subjected by them?
Wolfgang Amadeus Mozart|People don't appreciate music any more. They don't adore it. They don't buy vinyl and just love it. They love their laptops like their best friend, but they don't love a record for its sound quality and its artwork.
Sun Yat-sen|Feminism is nothing but equality, and actually, feminism benefits men because it liberates us and it releases us from many stigmas imposed by the macho culture on us as well. So if more of us could understand that it's nothing but equality, I think many agendas in terms of equality would have advanced quicker because it really helps us as well.
David Baldacci, The Christmas Train|Brave Americans in past wars didn't die for the actual flag--they died for the freedom it represents, including the freedom to burn it.
Sebastian Barry|While I can’t walk on water, I can certainly wobble on whisky.
Theodore Sturgeon|Astronauts have been stuck in low-Earth orbit, boldly going nowhere. American attempts to kick-start a new phase of lunar exploration have stalled amid the realisation that NASA's budget is too small for the job.
Toba Beta, Master of Stupidity|It's the mind that sees, not eyes.
Andre Rieu|I didn't really want to live, so anything that was an investment in time made me angry... but also I just felt sad. When the hopelessness is hurting you, it's the fixtures and fittings that finish you off.
Bryan Cranston|I don't see divorce as a failure. I see it as the end to a story. In a story, everything has an end and a beginning.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|In moments of prayer, people tend to pose as a critic and point out perceived flaws in God's art.
Russell Means|If our nation goes over a financial Niagara, we won't have much strength and, eventually, we won't have peace. We are currently borrowing the entire defense budget from foreign investors. Within a few years, we will be spending more on interest payments than on national security. That is not, as our military friends say, a 'robust strategy.'
Magda Szubanski, Reckoning: A Memoir|In the aftermath of destruction, a silence settles – the stillness of fresh loss. People’s cheerful chatter is fainter, the blue color of sky dimmer; now that horror is undeniable and feels inescapable, the value of life seems lessened.
Dieter F. Uchtdorf|Guess that's thirty-one pieces of silver you've got now, huh? Sleep well, Judas.
F. Scott Fitzgerald, The Beautiful and Damned|I feel love is like a cigarette –you know it is not good for you but by the time you realize, you are so addicted to it that you can't leave it.
E.G. Kardos, The Amulet: Journey to Sirok|Yes, I am your enemy, as I was in my other incarnations, but that is my nature, and it is something I cannot escape. As I am defeated today, I tell you to believe what you will. Just as you believe in yourself, your worst enemies believe in themselves
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|In the hands of thinking humanity, the purpose of the tool of Divinity or Religion is not the service of bookish doctrines, but the realization of the self.
Holly Hood, Wingless|Death is around everyone’s corner, people try to run and hide from it, but it al-ways catches up with them. Like a bad scene from a horror movie. Death stalks you like a lion, waiting for just the right moment to attack. You can run but sooner or later you’ll trip and death will devour you. Did anyone know the secret to outrun death? No one that lived to tell about it, that’s saying something right?
Billy Graham, Billy Graham in Quotes|Make it your goal to become more like Christ by refusing to let sin have its way, and pursuing instead that which is pure and good in the sight of God.
John Marsden, So Much to Tell You|I feel like I'm dropping such a long way down again." "I seem to be dropping into a cold dark wet place, where no one's been before and noone can every follow. There's no future there; just a past that sometimes fools you into thinking it's the future. It's the most alone place you can ever be and, when you go there, you not only cease to exist in real life, you also cease to exist in their consciousness and in their memories.
Yasmina Khadra|Was I still myself? If so, who was I? I wasn’t really interested in knowing that. It had no sort of importance for me anymore. Some moorings had broken, some taboos had fallen, and a world of spells and anathemas was springing up from their ruins. What was terrifying about this whole affair was the ease with which I passed from one universe to another without feeling out of place. Such a smooth transition. I had gone to bed a docile, courteous boy, and I’d awakened with an inextinguishable rage lodged in my very flesh. I carried my hatred like a second nature; it was my armor and my shirt of Nessus, my pedestal and my stake; it was all that remained to me in this false, unjust, arid, and cruel life.
Cora Carmack, Losing It|Garrick was panting when he replied, “You’re not forcing me to do anything. I just want you to be sure. You can say stop at anytime.” His lips pulled wide. “You don’t need to make up a new pet.
Leila Sales, Past Perfect|The harder you slam a ball into the ground, the higher it bounces back up... A divorce, a breakup, losing a job, or just feeling seriously down can ground you, rough you up a bit, leave calluses on your feet and grit under your finger nails. But more than that, it leaves you wiser and stronger next time... Life is about experiencing opposites isn’t it?
Lisa Kessler, New Moon|My father’s corporation, the Nero Organization, supplied assassins for hire. Killing was our business, and business had been good for years.
Santosh Kalwar|I am not protecting myself or preaching you my story, Reasons will be many but life will move on even in painful journey.
Tamara Hughes|Food stall owners reach out with menus, calling out their dinner selections like midway prizes
Christina Engela, Other Kids Are Kids Almost Just Like You|How did that go” [Butler] asked. “Your first lengthy conversation with a girl your own age.”“Fabulous,” said Artemis, his voice dripping with sarcasm. “We’re planning a June wedding.
Michelle Rowen, Dark Kiss|Now, now. Southern ladies don’t French-kiss and tell.
Mehek Bassi|Whenever I use to think of others, I had to sacrifice myself...., Its called life in earth where you had to think a lot to do or not to do, the things you like or dislike.....
Jay Crownover, Riveted|No one had ever given me any idea on how to handle it when the right one came along, but you weren't the right one for him.
Thomas Paine, The Age of Reason|That which isn’t love, isn’t god.
Tanya Masse|Hana yori dango. Dumplings over flowers. It basically means that someone should value needs over wants, substance over appearance. As in, make sure you have food and shelter before you burn money on something extravagant. And, you know, choose genuine friends who will be there for you over pretty, shallow ones. Don't get carried away by beauty if it leaves you empty.
Kilroy J. Oldster, Dead Toad Scrolls|The mind provides a person with the mental fortitude to survive any physical or spiritual crisis. For the present time, I am satisfying myself by building a little shop in the back of my mind, a place where stillness resides and a jangle of thoughts can come and visit. I am building a room of my own, a room that I can retreat to when needed, a place where I am always welcomed regardless of the trappings of this ordinary and finite life. I do not need much as far as earthy rewards, but I certainly will not spurn food, drink, companionship, love, affection, friendship, or other physical, emotional, spiritual, aesthetic, and sensuous pleasures that find their way to my humble doorstep.
Nancy Yi Fan, Sword Quest|A pair of starfighters. Jedi starfighters. Only two.Two is enough.Two is enough because the adults are wrong, and their younglings are right.Though this is the end of the age of heroes, it has saved its best for last.
Peter Ackroyd, Hawksmoor|None of these apparent sightings interested Hawksmoor, since it was quite usual for members of the public to come forward with such accounts and to describe unreal figures who took on the adventitious shape already suggested by newspaper accounts. There were even occasions when a number of people would report sightings of the same person, as if a group of hallucinations might create their own object which then seemed to hover for a while in the streets of London. And Hawksmoor knew that if he held a reconstruction of the crime by the church, yet more people would come forward with their own versions of time and event; the actual killing then became blurred and even inconsequential, a flat field against which others painted their own fantasies of murderer and victim.
John Darnielle, Wolf in White Van|I am metaphysical being, mystical and emotional, skeptical and cynical, happy and boisterous, loud and bawdy, quiet and melancholy, tender and cruel, full of mirth and despair. Inherent inconsistences mark me as part of nature, which is neither cruel nor fair, or reliable or predictable.
Billy Graham, Billy Graham in Quotes|If you are a true Christian, you will not give way at home to bad temper, impatience, fault-finding, sarcasm, unkindness, suspicion, selfishness, or laziness.
Sanjay Dutt|When I was in Philadelphia during the Depression in 1930 or '31, I got a very sad job as a night watchman in a garage. The cars in the garage had been abandoned by their owners, since they had lost their jobs and couldn't keep up the payments.
Fennel Hudson, Traditional Angling - Fennel's Journal - No. 6|Preserve the spirit of a ‘lost’ age, when time moved slower.
James Dashner, The Scorch Trials|seriously. “Just because you can’t experience everything doesn’t mean you shouldn’t experience anything.-Nicola Yoon, Everything, Everything
Warren E. Burger|The legal system is often a mystery, and we, its priests, preside over rituals baffling to everyday citizens.
Brent Green, Questions of the Spirit: The Quest for Understanding at a Time of Loss|Looking at death can be life-affirming. It doesn’t need to mire us in thoughts of uselessness, nihilism, self-recrimination, and indifference to the future. Just a reminder that our days are numbered invites us to consider our blessings, strengthen our resolve to carry on, and escalate our compassion for all creatures, great and small.
Steve Mnuchin|Spend the first six to 12 months building a great product or service that people love, rather than chasing investors. When the time comes to engage investors, you will be meeting them from a position of strength. This makes all the difference.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Remember, I am always 12 steps ahead..
Colson Whitehead, The Underground Railroad|Now that she had run away and seen a bit of the country, Cora wasn't sure the document described anything real at all. America was a ghost in the darkness, like her.
Jay Woodman|Whenever he can, Werner records what the partisans say on magnetic tape. Everybody, he is learning, likes to hear themselves talk. Hubris, like the oldest stories. They raise the antenna too high, broadcast for too many minutes, assume the world offers safety and rationality when of course it does not.
M.E. Thomas, Confessions of a Sociopath: A Life Spent Hiding in Plain Sight|He has been known to devour men.” “He’s a cannibal?” Cadmus asked in horror. “Well, not really,” Daemon replied. “He is a Cyclops. He does not eat his own kind — just men and only those who challenge him … he does not hunt them.
Ed Begley, Jr.|Each of us should take personal responsibility for our diet, and our children's diet, and the government's role should be to make certain it provides the best information possible to help people stay healthy.
Aleister Crowley, Magick Without Tears|That will solve nothing, my lord.” His wife strode into the kitchen, stiff pride shining in her eyes. “I told you to keep her in hand.” Brodick glared at his cousin, wondering just when his life had turned inside out. Druce scowled at the sweet smile Brodrick’s wife cast toward him. He lifted his finger and pointed at her. “She bit me.
Jiddu Krishnamurti|The more people explore the world, the more they realize in every country there's a different aesthetic. Beauty really is in the eye of the beholder.
Stewart Stafford, The Vorbing|But a vague jealousy, one of those dormant jealousies that develop between brothers or sisters almost unnoticed until maturity, only to burst out when one of them marries or has a stroke of good fortune, kept them constantly on the alert in a fraternal, unaggressive hostility. They did love each other, yet they kept an eye on each other.
Bill Frist|I find fault with my children because I like them and I want them to go places - uprightness and strength and courage and civil respect and anything that affects the probabilities of failure on the part of those that are closest to me, that concerns me - I find fault.
M.F. Moonzajer|What you love is a clue to your calling and talent.As you assume the responsibilities of the present, take time to enjoy the privileges available to you now. Today's action will speak better of tomorrow and more.
Laurie Lee, Cider With Rosie|Bees blew like cake-crumbs through the golden air, white butterflies like sugared wafers, and when it wasn't raining a diamond dust took over which veiled and yet magnified all things
Søren Kierkegaard|Mine’: what does this word mean? Not what belongs to me, but what I belong to, what contains my whole being, which is mine only so far as I belong to it. My God is not the God that belongs to me, but the God to whom I belong; and so, too, when I say my native land, my home, my calling, my longing, my hope. If there had been no immortality before, this thought that I am yours would be a breach of the normal course of nature.”—Johannes the Seducer, from_Either/Or_
Laurie Helgoe|To survive, you've got to keep wheedling your way. You can't just sit there and fight against odds when it's not going to work. You have to turn a corner, dig a hole, go through a tunnel - and find a way to keep moving.
Federico Fellini|I don’t like the idea of “understanding” a film. I don’t believe that rational understanding is an essential element in the reception of any work of art. Either a film has something to say to you or it hasn’t. If you are moved by it, you don’t need it explained to you. If not, no explanation can make you moved by it.
Tracey Emin|We have three cats. It's like having children, but there is no tuition involved.
Guy de Maupassant|When good Americans die, they go to Paris.
Kelley Armstrong, Visions|Once your life has caused the creation of a desire, your workis done, and natural forces and laws will take over.
Mariel Hemingway, Out Came the Sun: Overcoming the Legacy of Mental Illness, Addiction, and Suicide in My Family|…there is rarely any rhyme or reason in suicides. They can be a cry for help gone wrong, or a punishment to those you’re leaving behind, or one fateful twenty-minute window when you lose your bearings and can’t find the reasons to go on.
Fahad Rashiq|None of us are perfect, so a true friend will never look for defects in you as a person, it won't even cross their mind. Your happiness will be their main concern.
Jeffery Deaver|Too small is our world to allow discrimination, bigotry and intolerance to thrive in any corner of it, let alone in the United States of America.
Patrick O'Brian, The Nutmeg of Consolation|Sir,’ said Stephen, ‘I read novels with the utmost pertinacity. I look upon them--I look upon good novels--as a very valuable part of literature, conveying more exact and finely-distinguished knowledge of the human heart and mind than almost any other, with greater breadth and depth and fewer constraints.
Debasish Mridha|In life, nothing is impossible to achieve when you have enthusiasm, optimism, confidence, and commitment.
Hélène Cixous|To fly/steal is woman’s gesture, to steal into language to make it fly.
Mira Nair|When I planned my wedding the first time, my ex-husband and I, we were both struggling comics. I had a TV show that had gotten cancelled. Basically, I rented a wedding gown; the reception hall smelled like feet.
Anne Holm, I Am David|We humans are prone to err, and to err systematically, outrageously, and with utter confidence. We are also prone to hold our mistaken notions dear, protecting and nourishing them like our own children. We defend them at great cost. We surround ourselves with safe people, people who will appreciate our cherished views. We avoid those who suggest that our exalted ideas, our little emperors, have no clothes.
Jalaluddin Rumi|Peaceful is the one who's not concerned with having more or less.Unbound by name and fame, he is free from sorrow from the world and mostly from himself.
Jodi Picoult, My Sister's Keeper|Do you see that patch of blue in the sky, fighting to be seen through the clouds?""Yes." She nodded, but her brows were scrunched in obvious confusion as to what his point would be."That was my life when I met you. After Mellie died, my life was a constant rainy day. I couldn't imagine the sun ever shining again. Then I met you, and the dark clouds started to drift away. I could see blue skies again and they were pushing out the clouds. As I got to know you, there were more blue skies and sunshine in my life.
Seth Shostak|My father values talent. He recognizes real knowledge and skill when he finds it. He is color blind and gender neutral. He hires the best person for the job, period.
BikeSnobNYC, The Enlightened Cyclist: Commuter Angst, Dangerous Drivers, and Other Obstacles on the Path to Two-Wheeled Trancendence|...the concept of marketing is almost as old as humanity itself...suffice it to say here that it took almost no time for a wily serpent to sell Adam and Eve on a shiny apple from the Tree of Knowledge, at which point they became not only the first humans but also the first marketing demographic, and God expelled them from the Garden of Eden for being total consumerist dupes. (p. 40)
Billy Graham, Billy Graham in Quotes|Acknowledge that there is a defect in human nature, a built-in waywardness that comes from man’s rebellion against God.
Helen Oyeyemi, What is Not Yours is Not Yours|The wooden devil got a good laugh out of the ones who passed by, though. They were so funny she couldn't even feel sorry for them. They tried so hard to keep track of time. Whenever they were together they couldn't let sixty of their minutes pass without asking each other what time it was; as if time was a volatile currency that they either possessed or did not possess, when in fact time was more of a fog that rose inexorably over all their words and deeds so that they were either forgotten or misremembered.
C. JoyBell C.|Today, young girls measure the quality of their beauty based upon its entertainment value. The more people are entertained by their beauty, the more beautiful they think they must be. This is very unfortunate and I would like young girls to know that their beauty is a crown; not a clown. And crowns are best worn with elegance and serenity.
Charles Yu, Sorry Please Thank You: Stories|Nobody wants to know how you feel, yet, they want you to do what they feel.
Steven Levenkron, The Best Little Girl in the World|Some of us are born to live and to fight, Echo. Others are born to fight for their right to live. When those two collide, there’s hell to pay.
Andy Raskin|As far as I’m concerned, eighteen holes of golf is the only happiness that money can buy. - Momofuku Ando
Oscar Wilde, Lord Arthur Savile's Crime and Other Stories|Very little of the great cruelty shown by men can really be attributed to cruel instinct. Most of it comes from thoughtlessness or inherited habit. The roots of cruelty, therefore, are not so much strong as widespread. But the time must come when inhumanity protected by custom and thoughtlessness will succumb before humanity championed by thought. Let us work that this time may come.
Mahatma Gandhi|I believe though I do not comprehend, and I hold by faith what I cannot grasp with the mind.
Grigoris Deoudis|Freedom is to stand naked at the moment, having no expectations, nothing to lose or to gain. The empty then is fulfilled, just to be emptied again at the next moment. The Absolute Freedom is, to become every path, at any given moment.
Edgar Allan Poe, The Raven and Other Poems|I saw thee once - only once - years ago:I must not say how many - but not many.It was a July midnight; and from outA full-orbed moon, that, like thine own soul, soaring,Sought a precipitate pathway up through heaven,There fell a silvery-silken veil of light,With quietude, and sultriness, and slumber,Upon the upturn'd faces of a thousandRoses that grew in an enchanted garden,Where no wind dared stir, unless on tiptoe -Fell on the upturn'd faces of these rosesThat gave out, in return for the love-light,Their odorous souls in an ecstatic death -Fell on the upturn'd faces of these rosesThat smiled and died in the parterre, enchantedBy thee, and by the poetry of thy presence.Clad all in white, upon a violet bankI saw thee half reclining; while the moonFell upon the upturn'd faces of the roses,And on thine own, upturn'd - alas, in sorrow!Was it not Fate, that, on this July midnight -Was it not Fate, (whose name is also Sorrow,)That bade me pause before that garden-gate,To breathe the incense of those slumbering roses?No footsteps stirred: the hated world all slept,Save only thee and me. (Oh, Heaven! - oh, G**!How my heart beats in coupling those two words!)Save only thee and me. I paused - I looked -And in an instant all things disappeared.(Ah, bear in mind the garden was enchanted!)The pearly lustre of the moon went out:The mossy banks and the meandering paths,The happy flowers and the repining trees,Were seen no more: the very roses' odorsDied in the arms of the adoring airs.All - all expired save thee - save less than thou:Save only divine light in thine eyes -Save but the soul in thine uplifted eyes.I saw but them - they were the world to me.I saw but them - saw only them for hours -Saw only them until the moon went down.What wild heart-histories seemed to lie enwrittenUpon those crystalline, celestial spheres!How dark a wo! yet how sublime a hope!How silently serene a sea of pride!How daring an ambition! yet how deep -How fathomless a capacity for love!But now, at length, dear Dian sank from sight,Into a western couch of thunder-cloud;And thou, a ghost, amid the entombing treesDidst glide away. Only thine eyes remained.They would not go - they never yet have gone.Lighting my lonely pathway home that night,They have not left me (as my hopes have) since.They follow me - they lead me through the years.They are my ministers - yet I their slave.Their office is to illumine and enkindle -My duty, to be saved by their bright fire,And purified in their electric fire,And sanctified in their elysian fire.They fill my soul with Beauty (which is Hope,)And are far up in Heaven - the stars I kneel toIn the sad, silent watches of my night;While even in the meridian glare of dayI see them still - two sweetly scintillantVenuses, unextinguished by the sun!
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|If your positivity immune system is low, any exposure to a person afflicted with negativity can poison your life.
Aaron Johnson|When I was a kid, I used to imagine animals running under my bed. I told my dad, and he solved the problem quickly. He cut the legs off the bed.
J.R.R. Tolkien|I met a lot of things on the way that astonished me. Tom Bombadil I knew already; but I had never been to Bree. Strider sitting in the corner at the inn was a shock, and I had no more idea who he was than had Frodo. The Mines of Moria had been a mere name; and of Lothloriene no word had reached my mortal ears till I came there. Far away I knew there were the Horselords on the confines of an ancient Kingdom of Men, but Fanghorn Forest was an unforeseen adventure. I had never heard of the House of Eorl nor of the Stewards of Gondor. Most disquieting of all, Saruman had never been revealed to me, and I was as mystefied as Frodo at Gandalf's failure to appear on September 22.J.R.R. Tolkien, in a letter to W.H. Auden, June 7, 1955
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|One simple glance can convey to your recipient that you are . . .•	Present•	Interested•	Paying attention•	Being respectful•	Listening•	Confident•	Engaged•	Caring•	Dedicated•	Appreciative•	Empathetic•	Focused•	Supportive•	Trustworthy•	Acknowledging•	ExcitedThis list barely scratches the surface; however, it opens the conversation about how vital your eye contact is for making positive first impressions.
Fennel Hudson, A Waterside Year - Fennel's Journal - No. 2|Time is not something to be killed. Doing so suffocates a part of us, writing off part of our life that could, or rather should, be spent doing something meaningful.
Margaret Mead|Disgust with injustice may sharpen the desire for justice. Readers who don’t see this connection merely wish to be entertained, and I have neither skill nor desire to turn the agony of a people into entertainment.
Marcus Aurelius, Meditations|The time of a man's life is as a point; the substance of it ever flowing, the sense obscure; and the whole composition of the body tending to corruption. His soul is restless, fortune uncertain, and fame doubtful; to be brief, as a stream so are all things belonging to the body; as a dream, or as a smoke, so are all that belong unto the soul. Our life is a warfare, and a mere pilgrimage. Fame after life is no better than oblivion. What is it then that will adhere and follow? Only one thing, philosophy. And philosophy doth consist in this, for a man to preserve that spirit which is within him, from all manner of contumelies and injuries, and above all pains or pleasures; never to do anything either rashly, or feignedly, or hypocritically: only to depend from himself, and his own proper actions: all things that happen unto him to embrace contentendly, as coming from Him from whom he himself also came; and above all things, with all meekness and a calm cheerfulness, to expect death, as being nothing else but the resolution of those elements, of which every creature is composed. And if the elements themselves suffer nothing by their perpetual conversion of one into another, that dissolution, and alteration, which is so common unto all, why should it be feared by any? Is not this according to nature? But nothing that is according to nature can be evil.
Patrick O'Brian, H.M.S. Surprise|I waited for him to come out. He didn't. I considered going in after him, but knew the fact that I had readied myself to kill him did not mean that he had readied himself to die.
Wallace Stevens|The Great Man... is colder, harder, less hesitating, and without fear of 'opinion'; he lacks the virtues that accompany respect and 'respectability,' and altogether everything that is the 'virtue of the herd.' If he cannot lead, he goes alone... He knows he is incommunicable: he finds it tasteless to be familiar... When not speaking to himself, he wears a mask. There is a solitude within him that is inaccessible to praise or blame.
Sravani Saha Nakhro|Put your past into context, live the first day of your best life.
François Lelord, Hector and the Search for Happiness|Happiness. We're tearing our hair out to try to find a definition of it, for heaven's sake. Is it joy? People will tell you that it isn't, that joy is a fleeting emotion, a moment of happiness, which is always welcome, mind you. And then what about pleasure, huh? Oh, yes, that's easy, everybody knows what that is, but there again it doesn't last. But is happiness not the sum total of lots of small joys and pleasures, huh?
Piccolo Fortunato, Piccolo: An Intern's Tale|How many humans over thousands of years have stood thus with their horses, seeing in them the lines of universal perfection, the majesty of grace and power, feeling stronger and more beautiful themselves for their contact with the magical power of such a steed? Such is the lure of the horse. In a world in which grace is neither synonymous nor usually compatible with power, the horse has remained an ancient symbol of strength and elegance, an icon of a majestic essence that exists far outside mere human beings. Because of the space that lies between us — only the cruelest amongst us ever truly conquers a horse — there is magic. “ — Margot Page
Eric Holder|I think what we're going to hear is that we didn't meet the basic, minimum standards required for a facility such as the one we had in Benghazi. And the request for more security personnel went unheeded, unanswered, and consequently, you know, you have the death of four Americans.
Joseph Brodsky|A person sets out to write a poem for a variety of reasons: to win the heart of his beloved; to express his attitude toward the reality surrounding him, be it a landscape or a state; to capture his state of mind at a given instant; to leave - as he thinks at that moment - a trace on the earth.
Winston Graham, Demelza|Everything at the moment, my dear, no doubt seems disgusting. I know the mood too well. But being in that mood, Ross, is like being out in the frost. If we do not keep on the move we shall perish.
Vironika Tugaleva|No loss is without opportunity. No failure is without valuable lessons. Plunge in. It will, at worst, be a valuable experience.
Henry Melvill|There are strangers, people we don't know, who care about is.
Terrence Real, How Can I Get Through to You? Closing the Intimacy Gap Between Men and Women|Despite all of their flaws and difficulties, these men don't want to walk out on their own lives, leave their wives and children. They want to come home.
George Konrad|To him that waits all things reveal themselves, provided that he has the courage not to deny, in the darkness, what he has seen in the light.
Lauren Oliver, Before I Fall|I appreciate the beauty and balm of flowers but I have never enjoyed receiving them because then I have to watch them die, and worse...throw them away.
Lee Ellis, Leading With Honor: Leadership Lessons from the Hanoi Hilton|Fearful leaders side-step issues instead of dealing with them, cover up mistakes instead of owning up to mistakes; they skulk back into the shadows and hope that the crisis—whatever it is—will somehow blow over instead of facing their fears. Worse, they resort to lies and deception to cover up the truth.
James A. Murphy, The Waves of Life Quotes and Daily Meditations|Why live for tomorrow, when you’re not even through living today! Focus on what you can accomplish now and create the tomorrow's you desire today….
Daniel   Stern, Swingland: Between the Sheets of the Secretive, Sometimes Messy, but Always Adventurous Swinging Lifestyle|I didn’t make choices based on what I liked or didn’t like. I simply accepted what they chose for me. My role had always been to react and adapt to what was decided by other people, by outside circumstances, or in my mind, by God. My voice went unheard in my own life.
Rick Riordan, The Son of Neptune|Because I know you, Percy Jackson. In many ways, you are impulsive, but when it comes to your friends, you are as constant as a compass needle. You are unswervingly loyal, and you inspire loyalty. You are the glue that will unite the seven.
Phil Cooke|Just like using drugs and alcohol to numb the pain can -- and does -- lead to addiction, using social media to fill the void of relationships, or other needs, often leads to addiction, as well.
Mark Doty, Heaven's Coast: A Memoir|What can I do but stand with my mouth open, no sound emerging? My lips move and I wave my arms making gestures from the other side of the glass, which I can’t penetrate.…people can speak out of anything, though the struggle takes years. The problem is, whatever I say about the present feels false-nothing contains it all, or catches the depth of things, or their terrible one-dimensionality.What am I living on? Someone said the other day, “that old irrepressible-impossible- hope.” And I thought no, this doesn’t feel like hope. But maybe that’s what hope is, no shining thing but a kind of sustenance, plain as bread, the ordinary thing that feeds us. How could we confuse this optimism, when it has nothing to do with expecting things to get better?Hope has to do with continuing, that’s all…I can imagine now, where I couldn’t before, this long erosion of faith, this steady drawing from one’s strength, until what’s left is tenuous, transparent.
Katie McGarry, Long Way Home|Violet moves, a readjustment, and I expect her to pull away. But instead, she leans further into me, her head on my shoulder, and her sweet scent becomes a warm blanket.  No other place I'd rather be in the world right now. No place at all.
Elizabeth Kostova, The Historian|The whole thing becomes like this evil enchantment from a fairy tale, but you're made to believe the spell can never be broken.
Salman Rushdie|I'm quite a softy, yes. I have a blank spot with respect to visual art, but I have perhaps a compensating hypersensitivity to poetry and music.
Samuel Sagan, Regression : Past Life Therapy for Here and Now Freedom|To do nothing for the gomers was to do something, and the more conscientiously I did nothing the better they got.
G.K. Chesterton|Whatever we may think of the merits of torturing children for pleasure, and no doubt there is much to be said on both sides, I am sure we all agree that it should be done with sterilized instruments.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|To tell your soul that you love it, is like remembering who you are after being in a coma for a hundred years. Your face will beam the light of a hundred galaxies.
N'Zuri Za Austin|Tonight, can we just pretend that you want me too?
George Orwell|What would happen to the world without those who do, think, work, produce? Those are the egotists. You don’t think through another’s brain and you don’t work through another’s hands. When you suspend your faculty of independent judgment, you suspend consciousness. To stop consciousness is to stop life.
Evgeny Morozov|'Solutionism' for me is, above all, an unthinking pursuit of perfection - by means of technology - without coming to grips with the fact that imperfection is an essential feature of liberal democracy.
Stephenie Meyer, The Host|I know that man is capable of great deeds. But if he isn't capable of great emotion, well, he leaves me cold.
Roger Cardinal, Figures of Reality|Perceiving the world as well designed and thus the product of a designer, and even seeing divine providence in the daily affairs of life, may be the product of a brain adapted to finding patterns in nature. (38)
Jock Camp, How To Suck Cock Deep|The value of a sex manual does not lie in its length or duration, but whether or not the problem it addresses works.
David Clement-Davies|That we can never know," answered the wolf angrily. "That's for the future. But what we can know is the importance of what we owe to the present. Here and now, and nowhere else. For nothing else exists, except in our minds. What we owe to ourselves, and to those we're bound to. And we can at least hope to make a better future, for everything.
Anna White, Mended: Thoughts on Life, Love, and Leaps of Faith|There are lots of real reasons to decide to leave something or someone, but there are lots of other reasons that are less valid and less real and less about a relationship than our own minds: Fear (of screwing up, of being left, of not being good enough), restlessness, resistance to growing up, PMS, not knowing how to live without drama, fearing that you're getting happy, and happiness is boring. The thing that scared me the most was the knowledge that if I stayed, something was going to change, and that something was probably me. I didn't know what changed me would look like, or if I would like her more or less than I already did. Would I still recognize myself? Would I still be myself?
Bruce Lee|The More we value things, the less we value ourselves
Sanjeev Bhaskar|Fitness has always been one of my strengths. I can do all the long-distance runs. When I was at school and we entered the competitions, I used to do the 100m, 200m, and the 1500m as well, so it's never just been a pace thing.
Elizabeth Edwards|It took me a really long time to decide who I want my circle to be and who I want to surround myself with. Once you make that choice, that is where I feel like I have built my strength. This is my life choice. These are the people that make me feel good about me, and that I love and adore and will do anything for.
Thomas Hardy, Jude the Obscure|People go on marrying because they can't resist natural forces, although many of them may know perfectly well that they are possibly buying a month's pleasure with a life's discomfort.
Timothy M. Houston, The Referral Rules! 7 Ways to Get More Profitable Referrals|Networking is not a part-time or occasional exercise. Everywhere we go, we haven an opportunity to network with others.
Laurie A. Helgoe|He felt if he could not be alone, and if he could not be left alone, he would die.
Abhijit Naskar, Illusion of Religion: A Treatise on Religious Fundamentalism|Are guilt and regret not messages from inside of us, letting us know that our moral compasses have been recalibrated and are pointing in the right direction?
Debasish Mridha|I don't care if you love me or not, but I care that I love you without any thought.
Saddam Hussein, The Revolution and Woman in Iraq|The participation if women in some armies in the world is in reality only symbolic. The talk about the role of Zionist women in fighting with the combat units of the enemy in the war of 5 June 1967 was intended more as propaganda than anything real or substantial. It was calculated to intensify and compound the adverse psychological effects of the war by exploiting the backward outlook of large sections of Arab society and their role in the community. The intention was to achieve adverse psychological effects by saying to Arabs that they were defeated, in 1967, by women.
Phyllis Reynolds Naylor, Alice Alone|You don't have to be part of a couple to be happy, you know.
Soichiro Honda|I feel that the best companies are started not because the founder wanted a company but because the founder wanted to change the world... If you decide you want to found a company, you maybe start to develop your first idea. And hire lots of workers.
