Ruth Rendell|I think to be driven to want to kill must be such a terrible burden".
Jane Austen|I wasn't entirely sure, but a polite John Pritkin might be a sign of the apocalypse.
Jeff Foster|Self-awareness is a supreme gift, a treasure as precious as life. This is what makes us human. But it comes with a costly price: the wound of mortality. Our existence is forever shadowed by the knowledge that we will grow, blossom, and, inevitably, diminish and die.
Toni Maguire, Don't Tell Mummy: A True Story of the Ultimate Betrayal|We were young, she continued, while she had a bad heart. Did we not want to earn our tips, she asked us and, cowed, we refrained from introducing the subject again.Her bad heart, I noticed, did not force her to abstain from smoking, or from eating large portions of puddings. Every time I heard her opening how she could not carry anything heavy, I thought sourly "except yourself".
Carlo Capomazza|Life could begin all over again if you were lucky enough, and I had decided to be lucky.
Ernest Agyemang Yeboah|I learned from the age of two or three, that any room in our house, at any time of day, was there to read in, or to be read to. It had been startling and disappointing for me to find out that story books had been written by people, that books were not natural wonders, coming up of themselves like grass.
Nicholaa Spencer|I write romance stories and although I want it to be a beautiful work of art, I am afraid that I will live in the story I created in my mind. It's all in my mind I know, but sometimes, the romance becomes too ideal and realistic for me that I soon fall for the hero that was just a product of my imagination. I think that is both a fearful obstacle and a proof that somehow, you are succeeding to touch a reader's heart - even if it is yours.
Laurie Faria Stolarz, White Is for Magic|Miss Mary Mack, Mack, Mack, all dressed in black, black, black. She has a knife, knife, knife, stuck in her back, back, back. She cannot breathe, breathe, breathe. She cannot cry, cry, cry. Thats why she begs, begs, begs. She begs to die, die ,die..
Jean-Georges Vongerichten|I just had my 30th birthday and we went turkey shooting. It's what I wanted to do, so we went.
Debasish Mridha|I found God. He is not in heaven or in the heart. He is not in the sky nor is he flying high. He is not very big nor gigantic. He is almighty, all powerful, and very beautiful. He lives everywhere in every flower and every little speck of dust. He knows everything you do, and he does everything for you. He can feel every little change and memorize everything…so strange.
Thomas S. Monson|There has to be a measure of faith. That's what this business is all about: trusting in something that may never show up, that you have no concrete proof of.
Alan W. Watts|Every intelligent individual wants to know what makes him tick, and yet is at once fascinated and frustrated by the fact that oneself is the most difficult of all things to know.
K. Kiker, WHITE|I’m going to kiss you, and we’re going to see just how moved on you are.
Vincent van Gogh|I often think of you all, one cannot do what one wants in life. The more you feel attached to a spot, the more ruthlessly you are compelled to leave it, but the memories remain, and one remembers - as in a looking glass, darkly - one's absent friends.
Maajid Nawaz|They were dealt with as in war, and they naturally employed the means that were used against them.
Nutan Bajracharya|I am very happy with all my friends and co-workers, because if they don’t remember me in their happy times or in their success. However, they never forget me if they are in a problem or need my help…
Roman Romanenko|I actually wanted to be a police officer like my dad for the longest time, up until my sophomore year in high school when I started doing plays. I did plays when I was little, but in high school, I started getting into acting.
Ally Carter, I'd Tell You I Love You, But Then I'd Have to Kill You|I used to tell young preachers, in order to preach you've got to have the power of God on your life. Now I tell them, in order to tie your shoes you've got to have the power of God on your life.
S. C. Gwynne|Nothing is so envied as genius, nothing so hopeless of attainment by labor alone. Though labor always accompanies the greatest genius, without the intellectual gift labor alone will do little.
Jiddu Krishnamurti|Revealed religion is one thing, revealed legislation, another.
Clarice Lispector|Arriving back home, I didn’t start to read it. I pretended I didn’t have it, in order to have, later, the shock of discovering it. I opened it hours later, had a few marvelous lines, closed it again, walked around the house, put it off even more by going to eat a piece of bread with butter, pretended I didn’t know where I had left it, found it, opened it for a few instants. I created the most false sense for that covert thing that was joy. Joy would always be covert for me.
William H. Gass, Reading Rilke: Reflections on the Problems of Translation|As Borges has taught us, all the books in the library are contemporary. Great poems are like granaries: they are always ready to enlarge their store.
Elliott Abrams|I think intelligence basically can be in a way defined by the possibility of having two opposite ideas living together and at the same time functioning. That's why I think a smart script has two things living in the same place, and they're absolutely contradictory.
Lemony Snicket, The Wide Window|Outside has everything. Whenever I think of a thing now like skis or fireworks or islands or elevators or yo-yos, I have to remember they're real, they're actually happening in Outside all together. It makes my head tired. And people too, firefighters teachers burglars babies saints soccer players and all sorts, they're all really in Outside. I'm not there, though, me and Ma, we're the only ones not there. Are we still real?
Jose Andres|Smiles come naturally to me, but I started thinking of them as an art form at my command. I studied all the time. I looked at magazines, I'd practice in front of the mirror and I'd ask photographers about the best angles. I can now pull out a smile at will.
Willa Cather, My Ántonia|I prefer to be foolish when I feel like it, and be accountable to nobody.
Carys Bray, A Song for Issy Bradley|SO WHAT" Harry shouted. "Don't you understand? If Snape gets hold of the Stone, Voldemort's coming back! Haven't you heard what it was like when he was trying to take over? There won't be any Hogwarts to get expelled from! He'll flatten it, or turn it into a school for the Dark Arts! Losing points doesn't matter anymore, can't you see? Do you think he'll leave you and your families alone if Gryffindor wins the house cup? If I get caught before I can get to the Stone, well, I'll have to go back to the Dursleys and wait for Voldemort to find me there, it's only dying a bit later than I would have, because I'm never going over to the Dark Side!
Oscar Wilde, The Picture of Dorian Gray|The only way to get rid of a temptation is to yield to it. Resist it, and your soul grows sick with longing for the things it has forbidden to itself, with desire for what its monstrous laws have made monstrous and unlawful. It has been said that the great events of the world take place in the brain. It is in the brain, and the brain only, that the great sins of the world take place also.
John Updike|Freedom is the natural state, acceptance of bonds is a choice we make. We prefer to accept loss of freedom to losing something much less valuable but which we are not willing to sacrifice.
John Flanagan, The Emperor of Nihon-Ja|Gundar, seeing Halt upright for the first time in two days, stumped up the deck to join them.'Back on your feet then?' he boomed cheerfully, with typical Skandian tact. 'By Gorlag's toenails, with all the heaving abd puking you've been doing, I thought you'd turn yourself inside out and puke yourself over the rail!'...'You do paint a pretty picture, Gundar,' Will said...'Thank you for your concern,' Halt said icily...'So, did you find Albert?' Gundar went on, unabashed. Even Halt was puzzled by this sudden apparent change of subject.'Albert?' he asked. Too late, he saw Gundar's grin widening and knew he'd stepped into a trap.'You seemed to be looking for him. You'd lean over the rail and call, 'Al-b-e-e-e-e-e-r-t!' I thought he might be some Araluen sea god.''No, I didn't find him. Maybe I could look for him in your helmet.'He reached out a hand. But Gundar had heard what happened when Skandians lent their helmets to the grim-faced Ranger while onboard ship...'No, I'm pretty sure he's not there,' he said hurriedly.
Guy Gavriel Kay, River of Stars|Fear, like love, is difficult to explain after it has subsided, probably because it draws away the veils of illusion as it disappears.
Jack Henry Abbott, In the Belly of the Beast: Letters From Prison|No violence, gentlemen — no violence, I beg of you! Consider the furniture!
Lisa Kleypas, Tempt Me at Twilight|I never want to be apart from you,” he said. “I’m going to buy an island and take you there. A ship will come once a month with supplies. The rest of the time it will be just the two of us, wearing leaves and eating exotic fruit and making love on the beach . . .”You’d start a produce export business and organize a local economy within a month,” she said flatly.Harry groaned as he recognized the truth of it. “God. Why do you tolerate me?”Poppy grinned and slid her arms around his neck. “I like the side benefits,” she told him. “And really, it’s only fair since you tolerate me.
Yuuki Obata, We Were There, Vol. 1|The person whom you really, really love may not be here anymore. And you might be feeling lonely, but, there are people in this world who really, really love you, so shouldn't that equal it all out? So, please don't ever think that you're alone. I'll be watching over you. I'll always be watching over you. I promise to always watch over you. You're not alone.
Kazuo Ishiguro, The Remains of the Day|If you've treated your girlfriend without respect, taken advantage of her, or cheated on her, your actions have taught her that she has no value. Needless to say, this is a serious, serious injury. If you don't try to make it right, she might start to believe the lie you've told her and spend the rest of her life thinking she deserves poor treatment.
Ningraj|GOD is super intelligent - says GO & DO GOOD things, if not I may pick you as an ODD human & like a honest DOG knows what to do next!
David Pietrusza, 1960--LBJ vs. JFK vs. Nixon: The Epic Campaign That Forged Three Presidencies|To call the Form [of the Good] eternal is misleading: that something lasts forever does not render it any the better, any more than long-enduring whiteness is whiter than ephemeral whiteness.
Mehmet Murat ildan|When you smile, it means that your mind smiles; when you cry, it means that your mind cries!
Akiroq Brost|The world is waiting for you to seize the day and make the most of it! Who knows what could be possible. Keep dreaming, keep hoping, keep believing, keep doing!
Paris-Michael Katherine Jackson|I was a big fan of 'The Smurfs' growing up, even though by default - my mom used to force me to watch because she was a 'Smurfs' fan.
Robin LaFevers|Are you quite through with your lurid comments and wicked amusements?""Hardly, my dear, this is just the beginning. You may not be eager now, but I shall melt that ice of yours yet. I always get what I want, and I don't mind waiting for a little while.
Mahatma Gandhi|What an encouraging thought that Jesus - our beloved Husband - can find comfort in our lowly feeble gifts! Can this be, for it seems far too good to be true? May we then be willing to endure trials or even death itself if through these hardships we are assisted in bringing gladness to Immanuel's heart.
Perry Moore|Once in a while, life gives you a chance to measure your worth. Sometimes you're called upon to make a split-second decision to do the right thing, defining which way your life will go. These are the choices that make you who you are.
Israelmore Ayivor, The Great Hand Book of Quotes|Don't be discouraged or complacent; keep reading it, keep sharing it because it's God's page opened in your life!
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|In moments of prayer, people tend to pose as a critic and point out percieved flaws in God's art.
Swami Dhyan Giten|To attain to enlightenment is to attain to all. When you are not, you become the whole.
Debasish Mridha|The measure of your greatness is not by the narrowness of your beliefs, but by the broadness of your vision.
Kathryn Stockett, The Help|But sometimes shame is a more powerful engine than rage. Like rage, it burns hot; and like rage it tends to consume its own furnace.
Ann Patchett|The women in the kitchen took turns making a fuss over the baby, acting like it was their job to keep her entertained until the Magi arrived. But the baby wasn't entertained. Her blue eyes were glazed over. She was staring into the middle distance, tired of everything. All this rush to make sandwiches and take in presents for a girl who was not yet a year old.
A.W. Tozer, Man   The Dwelling Place Of God|The best book is not one that informs merely, but one that stirs the reader up to inform himself.
D.DelaTorre|For the person who tortured me in jail. For the person who tortured the many of my followers and killed them in jail, and the many other greater leaders than me and their followers in jail, and for the men who jailed my supporters, I pray. I don’t hate them. I love them as much as I love my closest loved ones, and I pray for their guidance. My loves, you be this way too. It doesn’t help to hate. If you hate, you pollute your own soul … Words cannot express how much I wish the best for you. My foremost ambition for you is that you have hearts full of light, thoughtfulness of God, and goodness, so much so that the devil has no space to get into your hearts. I want you to be happy with yourselves, and for other people to be happy with you, when you leave this life … May you be so good that rain of mercy falls onto you. May this brother (Ahmad), that is so unworthy of your love, also be so lucky.
Rosanna Leo, For the Love of a God|Sweetie,” Dino said, coming over to put his arm around her shoulder. He tipped her head up and looked into her eyes with great empathy. “You can’t fuck a statue. At least not at that angle. You’d at least have to tip it onto its back first, and as a conservator, I can’t recommend it.
John Christopher, Sweeney's Island|For the lips of an immoral woman drip honey, and her mouth is smoother than oil; but in the end she is as bitter as wormword, sharp as a two-edged sword. Her feet go down to death, her steps lay hold of hell
Napoléon Bonaparte|To write history one must be more than a man, since the author who holds the pen of this great justiciary must be free from all preoccupation of interest or vanity.
Kate Chopin|I have a nice smile, pretty lips, and big round cheeks. They help me look like a teenager.
Og Mandino|'Crazy' is a term of art; 'Insane' is a term of law. Remember that, and you will save yourself a lot of trouble.
C.S. Lewis, The Problem of Pain|Kev wasn't certain if he was surrendering to Win or to his own passion for her. Only that there was no more holding back. He would take her. And he would give her everything he had, every part of his soul, even the broken pieces.
Dov Seidman, How: Why How We Do Anything Means Everything...in Business|Most of the time it is a good job and a good honour to fight against people's values, because most of the time people's values are irrational and absurd!
Roland Barthes, A Lover's Discourse: Fragments|He has served countless kings, faked countless deaths, bided his time, waiting for you.
Plato, Apology/Crito/Phaedo|But I’m old now and Ward has made himself rich and powerful. He has the resources to ensure that one day he’ll perfect his standardising system and if that happens, instead of a thousand Wards there will be a hundred thousand, a million, a billion. He’ll grow exponentially until there’s nothing and no one else left. Just Ward, Ward, Ward in every house, in every town and every city, in every country in the world. Forever.
Erin Morgenstern|Culture means, I think, that you have widened your experience enough through reading and through being a little bit thoughtful about these things that it has changed your outlook in some ways. And not necessarily made you a better human being but made you see things.
Kahlil Gibran|Wenn [der Lehrer] wirklich weise ist, fordert er euch nicht auf, ins Haus seiner Weisheit einzutreten, sondern führt euch an die Schwelle eures eigenen Geistes.
Paulo Coelho, The Devil and Miss Prym|Whenever you want to achieve something, keep your eyes open, concentrate and make sure you know exactly what it is you want. No one can hit their target with their eyes closed.
W. Somerset Maugham|Anger, if used properly, might be for a cause, like helping feed children or stopping abuse somewhere. When we understand that every quality has importance and value, then we open up to this. Shining a light on these shadow qualities gives it balance.
John Rawls|There will always be cases that cry out to me for ultimate punishment. That is not the true issue. The pivotal question instead is whether a system of justice can be constructed that reaches only the rare, right cases, without also occasionally condemning the innocent or the undeserving.
Leonard Cohen|Whether we know it or choose to admit it, we are either an Encourager or a Discourager. We each make a choice as to which type we will be… every day. Discouragers bring “stresspools.”I call any of those places that add unnecessary stress and aggravation “stresspools.” They are just as stinky and rotten as cesspools, but “stresspools” wreak of tension, strain, anxiety, worry, hassle, pressure, and emotional trauma.
Fernando A. Torres, The Shadow That Endures|Ian looked skyward to see the firedrake soaring overhead. Its mass was a black deluge, an eclipse of aberrant origins, and its wings were tautly wound, like a spider’s web. Scales that shown like bejeweled armor glistened upon its body. Its tail crashed against the air; the storm surge of an impetuous sea. The shadow it cast was an aperture of dementia that ripped asunder the sanity of those who watched. Astride the beast’s spine, rode a figure that resembled a man, but with such grandeur at his disposal, appeared a living god.
Charles Dickens, Great Expectations|REJECT THE LIES AND VIOLENCE. STAND FOR LOVE, TRUTH, DECENCY AND THE COMMON GOOD.
Orson Welles|Pretentiousness repels but authenticity attracts, and vulnerability is the pathway to intimacy.
Kerry E. Wagner|Do not disturb yourself by picturing your life as a whole; do not assemble in your mind the many and varied troubles which have come to you in the past and will come again in the future, but ask yourself with regard to every present difficulty: 'What is there in this that is unbearable and beyond endurance?' You would be ashamed to confess it! And then remind yourself that it is not the future or what has passed that afflicts you, but always the present, and the power of this is much diminished if you take it in isolation and call your mind to task if it thinks that it cannot stand up to it when taken on its own.
Abby McDonald, Getting Over Garrett Delaney|Qhuinn's eyes shifted away from his buddy--and just happened to measure the distance down to the stone patio below. Hmm . . . doing a swan dive onto all that slate might just get the images of those two out of his head... of course, it would also turn his brain into scrambled eggs, but really, was that such a bad thing?
Rainer Maria Rilke, Letters to a Young Poet|Well, sir, it is precisely my notion that one sees and learns most of all by observing our younger generations.
A.C. Anderson|Sometimes we have to dig a little deeper, to reach a little higher.
Cassandra Clare, The Iron Trial|described the Internet as “a series of intestines, laid out by a goatherd’s son, spewing bile at both ends
Sara Baume, A Line Made by Walking|The problem, Paulinus, is not that we have a short life, but that we waste time. Life is long and there is enough of it for satisfying personal accomplishments if we use our hours well. But when time is squandered in the pursuit of pleasure or in vain idleness, when it is spent with no real purpose, the finality of death fast approaches and it is only then, when we are forced to, that we, at last, take a good hard look at how we have spent our life- just as we become aware that it is ending. Thus the time we are given is not brief, but we make it so. We do not lack time; on the contrary, there is so much of it that we waste an awful lot
A.D. Posey|Your life should always come with hot fudge, whipped cream, and a cherry on top.
John Darnielle, Wolf in White Van|Dark, primitive magic. Swords Against Death.
Sherry Turkle, Alone Together: Why We Expect More from Technology and Less from Each Other|Overstimulated, we seek out constrained worlds.
Frederick Douglass|It took me quite a long time to develop a voice, and now that I have it, I am not going to be silent.
Thomas Merton, The Intimate Merton: His Life from His Journals|Death is someone you see very clearly with eyes in the center of your heart: eyes that see not by reacting to light, but by reacting to a kind of a chill from within the marrow of your own life. 
Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass|Change starts with YOU. When you step up, you invite others to step up, too.
Loretta Livingstone, Rhythms of Life|Our faces are so close to one another right now, and all I can do is selfishly think how easy it would be for me to lean forward and kiss him like I’ve dreamed about for the last couple of weeks. One kiss, and then I’d let him go.One kiss, to replace the one stolen from me.This would be my first kiss, not what happened with Poseidon. Because a kiss should be born from love, and want, and need. A kiss should be beautiful, something a girl can hold onto for the rest of her life, to pull out in her memory whenever she wants butterflies to come back. A kiss shouldn’t be roughly ripped away from her and turned into a thing of nightmares.
Rick Riordan, The Lost Hero|You can tell the future?''More like the future mugs me from time to time.' Rachel said'I speak prophecies. The oracle spirit kind of hijacks me once in a while, and speaks important stuff that doesn't make any sense to anybody. But yeah, the prophecies tell the future.
Phil Volatile, Crushed Black Velvet|But now that I’m scrubbingtoilets on my hands & knees,with four degrees,I realize that one escape routeleads to another
Rachel Hawkins, Spell Bound|Cross.”His head popped up a few shelves over. “What?”“Check out the magic crap.”He shot me a look. “Oh, is that what we’re supposed to be doing? Because I’ve just been drawing hearts and our initials in the dirt.”	 Sophie + Archer
C.G. Jung|Time is weird. That much is obvious. Sometimes I think everything happens at once, which is anything but obvious and even weirder. I feel sorry for people who brag about 'living in the moment'; they're like people who come into the cinema after the film has started or people who drink Diet Coke—they're missing out on the best part. I think time is like the dial on a radio. Most people like to settle on a station with a clear signal and no interference. But that doesn't mean you can't listen to two or even three stations at the same time; it doesn't mean synchrony is impossible. Until quite recently, people believed it was impossible for a universe to fit inside two atoms, but it fits. Why dismiss the idea that on time's radio you can listen to the entire history of humanity simultaneously?
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|It is unimpressive to speaking rudely to others. Often, all we need to do to ensure that we do not launch into a rude remark is to pause . . . breathe . . . and smile to ourselves before speaking.And when people are rude to you, just remember that they are revealing who they are, not who you are. Don’t take it personally. Sometimes being silent is your best response.
E.B. White|Just when we stopped wanting to kill ourselves, we started to die.
Cindi Madsen, Resisting the Hero|Our spirit knows we don’t die nor are we born. If our ego knew what our greater self knows, it would not fear disaster…Caught up in a new incarnation, one may forget their Always State, Form; perhaps forgetting everything from before. However, one is already always that! There is only eternity, knowledge and bliss!-Kuan Yin
Abhijit Naskar|No Bible, Quran or Veda can give you religion.
Saad  Salman|I collect my thoughts, I choose my words, Whenever I decide to talk to you.But...I feel like a dumb, without a tongue,Whenever I reach in front of you.I wonder why it happens to me?even when my feelings are genuine and true.
Elizabeth Gilbert, The Signature of All Things|There will be two ships sailing, but you'll be on the Resolution, with Cook himself. Never put yourself in his way. Never speak to him. And if you do speak to him, which you must never do, certainly do to speak to him in the manner in which you have sometimes spoken to me. He will not find it as diverting as I do.
Lewis Carroll, Alice's Adventures in Wonderland & Through the Looking-Glass|Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.
Gini Koch, Touched by an Alien|I'd always known that when you went through one of these doors, you went to another planet, and that that other planet might be so far away, you couldn't fly there in spaceship in a million years. Somehow, the whole thing had never seemed strange before today.
Isaac Asimov, Pebble in the Sky|We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard, because that goal will serve to organize and measure the best of our energies and skills, because that challenge is one that we are willing to accept, one we are unwilling to postpone, and one which we intend to win.
Leonard Cohen, Leonard Cohen: Poems and Songs|sometimes try not to judge, not to think ...& let the situation speak because wisdom lies there.
Ravi Zacharias|And Jesus, the heart of the Christian faith is the wildest, most radical guy you'd ever come across.
sahil banga|Success always hugs you in private,but failure slaps you in the public...
Steven Poore, The Heir to the North|This is what a castle sounded like when it died, and he knew he would never forget it.
Ben-Hur: A Tale of the Christ|For power, you know, is a fretful thing, and hath its wings always spread for flight.
Anne Lamott, Some Assembly Required: A Journal of My Son's First Son|If you fall down to the ground, you're in the perfect position to pray. It definitely humbles you and if you're humble it's easier for God to get Closer to You.
Virginia Woolf, To the Lighthouse|Genius, as we tend to talk about it today, is some sort of mysterious and combustible substance that burns brightly and burns out. It's the strange gift of poets and pop stars that allows them to produce one wonderful work in their early twenties and then nothing. It is mysterious. It is there. It is gone.
Bee Wilson|For thousands of years, servants and slaves--or in lesser households, wives and daughters--were stuck with the same pestles and sieves, with few innovations. This technological stagnation reflects a harsh truth. There was very little interest in attempting to save labor when the labor in question was not your own.
Anne Elizabeth Moore, Threadbare: Clothes, Sex, and Trafficking|[T]he dozen or so items I wished to return to XXI Forever could only be traded in, and the store had a strict BOGO policy: Buy One, Get One (Free). This means that the 12 items I had but did not need could only be returned by trading them in for 24 different, new items; I tried, of course, to eschew that "one free" I didn't need. Not allowed. (Everyone I knew got glittery spangles as holiday gifts that year.) The garment industry, it seems, is now inventing new ways to give this stuff away.
Fulton J. Sheen, Life of Christ|Work, then, institutionalizes homicide as a way of life. People think the Cambodians were crazy for exterminating themselves, but are we any different? The Pol Pot regime at least had a vision, however blurred, of an egalitarian society. We kill people in the six-figure range (at least) in order to sell Big Macs and Cadillacs to the survivors. Our forty or fifty thousand annual highway fatalities are victims, not martyrs. They died for nothing — or rather, they died for work. But work is nothing to die for.
Maureen A. Miller, Beyond|You've never been to another planet, have you Aimee?""No, but I've been to Disney World.
Jorge Luis Borges|There is an hour of the afternoon when the plain is on the verge of saying something. It never says, or perhaps it says it infinitely, or perhaps we do not understand it, or we understand it and it is untranslatable as music.
Martin Heidegger|When the will defies fear, when duty throws the gauntlet down to fate, when honor scorns to compromise with death - that is heroism.
Sarah Napthali, Buddhism for Mothers of Young Children: Becoming a Mindful Parent|I had uncovered a widely held but overlooked attachment: our attachment to the view that every problem must have a solution. We delude ourselves that we can think our way out of a problem or we see it as a matter of finding the right person to advise us. We become beggars for our problems, asking numerous people for an opinion. So often, we refuse to relax until a problem is fixed, only to discover our inability to relax was most of the problem.
Ludwig Wittgenstein, Culture and Value|Because if I am living an honest life, and my eyes are open, and I'm trying my hardest to be good and kind, then anything I'm doing is fine to tell people.
Bartolomeo Vanzetti|I am convinced that human history has not yet begun, that we find ourselves in the last period of the prehistoric.
John Bruna|Remember, everyone you meet is really trying to do the best they can. No one woke up today and intentionally decided to be mean, difficult, or unreasonable - including you.
Thomas Hardy, Tess of the D'Urbervilles|Niall: We're tossed by the winds of fate. Once we end where they blow us, we make of ourselves that we will.
Robert Tew|Just because you have a past with someone, doesn't mean you should have a future with them.
Terry Cheney|It gets harder as times go by, because memory is the first casualty of manic depression. When I'm manic, all I remember is the moment. When I'm depressed, all I remember is the pain. The surrounding details are lost to me.
Rebecca Donovan, Reason to Breathe|You scared the shit out of me last night, so forgive me if I don't want to hear fine as an answer."I rubbed my eyes, hoping it would keep the burning tears away. The warm water of the shower had finally calmed the tears, but the thought of Noah walking away brought them back. "What do you want to hear? That I'm exhausted? Terrified? Confused? That all I want to do is rest my head on your chest and sleep for hours, but that's not going to happen because you're leaving me?""Yes," he said quickly, then just as quick said, "No. Everything but the last part." He paused. "Echo, how could you think I would leave you? How can you doubt how I feel?""Because," I said as I felt the familiar twisting in my stomach. "You saw me lose it. You saw me almost go insane."The muscles in his shoulders visibly tensed. "I watched you battle against the worst memory of your life and I watched you win. Make no mistake, Echo. I battled right beside you. You need to find some trust in me ... in us."Noah inhaled and slowly let the air out. His stance softened and so did his voice. "If you're scared, tell me. If you need to cry and scream, then do it. And you sure as hell don't walk away from us because you think it would be better for me. Here's the reality, Echo: I want to be by your side. If you want to go to the mall stark naked so you can show the world your scars, then let me hold your hand. If you want to see your mom, then tell me that, too. I may not always understand, but damn, baby, I'll try.
D.A. Henneman, Winds of Change|Her beauty was ethereal, knocking on the door of the part of his psyche that still believed in magic and miracles.
Jean de la Bruyere|The way we work in public health is, we make the best recommendations and decisions based on the best available data.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|I'm working from the assumption it's going to go horribly wrong. If we get out of here with limbs intact and no aspen slivers in uncomfortable places, we're calling it a win."Merit/Jonah
Charles M. Schulz, The Complete Peanuts, Vol. 5: 1959-1960|Life is just too much for me. I've been confused right from the day I was born... I think the whole trouble is that we're thrown into life too fast... We're not really prepared...""What did you want... A chance to warm up first?
Susan C. Young|There comes a time when you may realize that what once worked brilliantly for you is no longer effective, relevant, or competitive. And as a result, you set out to do a make-over, or design new improvements that will make it better. After your innovations, hard work, and implementation, the time comes to relaunch, reveal your changes, and reveal the new.
Thomm Quackenbush, Pagan Standard Times: Essays on the Craft|He [Omar Khayyam] is an atheist, but knows how to interpret in orthodox style the most difficult passages of the Koran; for every educated man is a theologian and faith is not a requisite.
Lorraine Heath, Lord of Wicked Intentions|There is a very interesting debate raging at the moment on the nature of sin, for example.""And what do they think? Against it, are they?""It is not as simple as that. It's not a black and white issue. There are so many shades of gray.""Nope.""Pardon?"There's no grays, only white that's got grubby. I'm surprised you don't know that. And sin, young man, is when you treat people as things. Including yourself. That's what sin is.""It's a lot more complicated than that--""No it ain't. When people say things are a lot more complicated than that, they means they're getting worried that they won't like the truth. People as things, that's where it starts.""Oh, I'm sure there are worse crimes-""But they Starts with thinking about people as things…
Thomas Paine, Common Sense|The idea that the State is capable of solving social problems is now viewed with great scepticism – which foretells a coming change. As soon as scepticism is applied to the State, the State falls, since it fails at everything except increasing its power, and so can only survive on propaganda, which relies on unquestioning faith.
Albert Camus|Twenty to life, she got, with time off for good behavior. You come around next spring. I'll introduce you.
Kenya Wright, 420|Red stepped inside my penthouse with her two friends...“Make sure all the staff knows that they need to spoil those three. Give them whatever they want, champagne, the caviar drizzled in hash oil, anything. Even my own stuff to smoke from the crystal bong I got in Paris to the vape pen done in pearl. They need to be impressed.
Alexander Pope, An Essay on Man|Know then thyself, presume not God to scan,The proper study of mankind is Man.Placed on this isthmus of a middle state,A being darkly wise and rudely great:With too much knowledge for the Sceptic side,With too much weakness for the Stoic's pride,He hangs between, in doubt to act or rest;In doubt to deem himself a God or Beast;In doubt his mind or body to prefer;Born but to die, and reas'ning but to err;Alike in ignorance, his reason such,Whether he thinks too little or too much;Chaos of thought and passion, all confused;Still by himself abused or disabused;Created half to rise, and half to fall;Great lord of all things, yet a prey to all;Sole judge of truth, in endless error hurl'd;The glory, jest, and riddle of the world!Go, wondrous creature! mount where science guides,Go, measure earth, weigh air, and state the tides;Instruct the planets in what orbs to run,Correct old time, and regulate the sun;Go, soar with Plato to th’ empyreal sphere,To the first good, first perfect, and first fair;Or tread the mazy round his followers trod,And quitting sense call imitating God;As Eastern priests in giddy circles run,And turn their heads to imitate the sun.Go, teach Eternal Wisdom how to rule—Then drop into thyself, and be a fool!
Aimee Bender, The Color Master: Stories|It's tempting to think of red for sun," she said, "but it has to be just a dash, not much. More of a dark orange and a hint of brown. And then white on yellow on white. Not bright white,' she said. 'The kind of white that makes you squint, but in a softer way...''Go look at fire for a while. Go spend some time with fire.'Looking at fire was interesting, I have to admit. I sat with a candle for a couple hours. It has these stages of color: the white, the yellow, the red, the tiny spot of blue I'd heard mentioned but never noticed.
Stephen King, The Waste Lands|But now I remember, of course, I'm never going to be old.
J.R.R. Tolkien, The Two Towers|His pride and her beauty had been in direct conflict, and his pride had remained the conqueror.
Edward Said, Orientalism|I am a man of substance, of flesh and bone, fiber and liquids- and I might even be said to possess a mind. I am invisible, understand, simply because people refuse to see me. Like the bodiless heads you see sometimes in a circus sideshow, it is as though I have been surrounded by mirrors of hard, distorting glass. When they approach me they see only my surroundings, themselves, or figments of their imagination- indeed, everything and anything except me.
Hank Bracker|Margrethe Mather, a photographer from Los Angeles, came to his studio in Glendale, California called Tropico, where Weston asked her to be his studio assistant. It didn’t take long before the two developed a passionate, lustful, relationship. Both Weston and Mather became active in the growing bohemian cultural scene in the greater Los Angeles area. She was extremely outgoing and artistic in a most flamboyant way. Her bohemian sexual values were new to Weston’s conventional thinking, but Mather excited him and presented him with a new outlook that he found enticing. Mather was beautiful, and being bisexual and having been a high-class prostitute, was delightfully worldly. Mather's uninhibited lifestyle became irresistible to Weston and her photography took him into a new and exciting art form. As Mather worked and overtly played with him, she presented a lifestyle that was in stark contrast to Weston’s conventional home life, and he soon came to see his wife Flora as a person with whom he had little in common.
Sylvia Plath, The Unabridged Journals of Sylvia Plath|Living with him is like being told a perpetual story: his mind is the biggest, most imaginative I have ever met. I could live in its growing countries forever.
Lucy Christopher|I sit up, edge over close to my window, and push it open, slipping one leg in, then the next, turning back to Jase. “Come on.” His smile flashes in the gathering dark as his eyebrows lift, but he climbs carefully in as I lock my bedroom door.“Be still,” I tell him. “Now I’m going to learn all about you.
Steven Magee|The biggest enemy of western people is not war or terrorism, it is their own governments lack of regulation of public health and safety.
