Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|a man who was, as we say in the restaurant business, one taco short of a combo platter.
Chinonye J. Chidolue|Whatever you do for the purpose of impacting on others, no matter how little you think it to be or how little your audience may seem, it not only grows but it leaves a lifetime effect which sets you up on greater grounds of success more than you ever anticipated.
John Scalzi|In general there should be gay characters in YA because a) surprise, there are gay folks everywhere and b) in my opinion as a father, there’s not a damn thing wrong with my child encountering gay folks in her literature, because see point a).
Blaise Pascal|Never give in - never, never, never, never, in nothing great or small, large or petty, never give in except to convictions of honour and good sense.
Nina Arianda|We have newsreaders behaving like actors, lowering their voices if it's a sad story, as if we didn't know it's a sad story. There isn't a single cool newsreader.
Sanober  Khan, A Thousand Flamingos|a single poemthe thing that can keep melight on my feet,when my soul isheavy with sorrow.
Saunsea, Contemplative Essays: Volume 1: Essays to inspire deep reflection about how we view our world.|Throughout our history human beings have conducted and practiced all kinds of rituals and activities with the motivation of obtaining peace. We have fought wars in the name of achieving peace because we are under the illusion that peace is something external, something to be obtained.
J.K. Rowling, Harry Potter and the Sorcerer's Stone|There is no good and evil, there is only power and those too weak to seek it.
Lee Child, Never Go Back|We want to 'write in' our plan and 'write out' the consequence. When we do that, we're headed 'right back' to what we foolishly thought we could 'write out.
Christina Ricci|I grew up in the middle of everything. I walked the streets alone, I rode the trains alone, I came home at three in the morning alone; that was what I did.
Fyodor Dostoyevsky, Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead|First comes the day, then the seconds of the event, then the days which become weeks, then the months, then the years.
Kevin Michel, Moving Through Parallel Worlds To Achieve Your Dreams|In every moment of choice, you create a new destiny.
Kathryn Wesley|Suddenly I realized that I wanted everything to be as it was when I was younger. When you're young enough, you don't know that you live in a cheap lousy apartment. A cracked chair is nothing other than a chair. A dandelion growing out of a crack in the side walk outside your front door is a garden. You could believe that a song your partner was singing in the evening was the most tragic opera in the world. It never occurs to you when you are very young to need something other than what your parents have to offer you.
Emery Lord, The Names They Gave Us|After all, once there was a girl named Lucy who loved her family, old and new.It's not the type of love that ends.
Charlotte Perkins Gilman, The Yellow Wall-Paper|Since my visit to the Hermitage, I had become more aware of the four figures, two women and two men, who stood around the luminous space where the father welcomed his returning son. Their way of looking leaves you wondering how they think or feel about what they are watching. These bystanders, or observers, allow for all sorts of interpretations. As I reflect on my own journey, I become more and more aware of how long I have played the role of observer. For years I had instructed students on the different aspects of the spiritual life, trying to help them see the importance of living it. But had I, myself, really ever dared to step into the center, kneel down, and let myself be held by a forgiving God? The simple fact of being able to express an opinion, to set up an argument, to defend a position, and to clarify a vision has given me, and gives me still, a sense of control. And, generally, I feel much safer in experiencing a sense of control over an undefinable situation than in taking the risk of letting that situation control me. Certainly there were many hours of prayer, many days and months of retreat, and countless conversations with spiritual directors, but I had never fully given up the role of bystander. Even though there has been in me a lifelong desire to be an insider looking out, I nevertheless kept choosing over and over again the position of the outsider looking in. Sometimes this looking-in was a curious looking-in, sometimes a jealous looking-in, sometimes an anxious looking-in, and, once in a while, even a loving looking-in. But giving up the somewhat safe position of the critical observer seemed like a great leap into totally unknown territory. I so much wanted to keep some control over my spiritual journey, to be able to predict at least a part of the outcome, that relinquishing the security of the observer for the vulnerability of the returning son seemed close to impossible. Teaching students, passing on the many explanations given over the centuries to the words and actions of Jesus, and showing them the many spiritual journeys that people have chosen in the past seemed very much like taking the position of one of the four figures surrounding the divine embrace. The two women standing behind the father at different distances the seated man staring into space and looking at no one in particular, and the tall man standing erect and looking critically at the event on the platform in front of him--they all represent different ways of not getting involved. There is indifference, curiosity, daydreaming, and attentive observation; there is staring, gazing, watching, and looking; there is standing in the background, leaning against an arch, sitting with arms crossed, and standing with hands gripping each other. Every one of these inner and outward postures are all too familiar with me. Some are more comfortable than others, but all of them are ways of not getting directly involved," (pp. 12-13).
Mario Cuomo, Reason to Believe|Outrage is easy, cheap, and oversold. The nation needs less anger and more thoughtful reflection, less shouting and more listening, less dissembling and more honesty.
Lynn Austin, Candle in the Darkness|Faith don't come in a bushel basket, Missy. It come one step at a time. Decide to trust Him for one little thing today, and before you know it, you find out He's so trustworthy you be putting your whole life in His hands.
Debra Clemente, Listen Hear: A Divine Love Story|God is the source of life, honour and wealth.
Bernie Sanders|I'm anti-tax, but I'm pro-carbon tax.
Kathleen Kent, The Heretic's Daughter|And that was the thing: you couldn't just stand there gawking at the world. A car slipped by. Then another. It was as if she'd stood frozen by the river of the world and gratefully stepped back into it, resuming her place... The world waited, cold, grim, alive, beautiful. There was no saying no to it.
Haruki Murakami, The Wind-Up Bird Chronicle|Bravery is about overcoming fear, not about not having it.
Oscar Wilde, Lady Windermere's Fan|That is the worst of women. They always want one to be good. And if we are good, when they meet us, they don't love us at all. They like to find us quite irretrievably bad, and to leave us quite unattractively good.
George Clooney|No one believes more firmly than Comrade Napoleon that all animals are equal. He would be only too happy to let you make your decisions for yourselves. But sometimes you might make the wrong decisions, comrades, and then where should we be?
Conn Iggulden, Khan: Empire of Silver|Tenderness, mercy and love, we all need more of.
Dorothy McFalls, The Huntress|The desperate resilience,the annoyed flamboyance;his personable passivity and his phobic aggressiveness; all trapped in the clever wrinkles of his fingers, the hard unsociable cast of his knuckles, the safe hopelessness of the pads.
Tish Thawer, Scent of a White Rose|Never give up on learning because what you put up there in your brain,” he indicated my head with his index finger, “the Communists won’t ever be able to take away from you.
Yosef A.A. Ben-Jochannan, African Origins of the Major "Western Religions"|Truth is a continuous examination, and Fact... always supersedes belief.
Carolyn Jewel, In the Duke's Arms|She cocked her head. The ribbon tied beneath her chin glinted dully in the light. “Have I said something wrong?”“No."“I have.” She stepped closer. “You are the most inscrutable man I have ever met.” He laughed. No mirth at all. “I’m quite serious.” She studied him. “No.” Her quiet voice lanced through him. “Don’t look away. Not when I am about to understand you.” “Are you certain you wish to?” He held her gaze, and the silence of his hunting box became unendurable. He fixed in his head an image of her in his bed. Nude. And of him, there to touch, and taste, experiencing that moment when his prick slid into her body. Her. Not any woman, but her. Specifically. The woman who made him see beauty where he’d once seen only duty.
John Steinbeck, Of Mice and Men|You have to find what’s good and true and beautiful in your life as it is now. Looking back makes you competitive. And, age is not a competitive issue.
Bryant McGill, Voice of Reason|That was the main thing wrong with Mrs. Kamal. She spent such an extraordinary amount of mental energy feeling irritated that it was impossible not to feel irritated in turn. It was oxygen to her, this low-grade dissatisfaction, shading into anger; this sense that things weren't being done correctly, that everything from the traffic noise at night to the temperature of the hot water in the morning to the progress of Mohammed's potty training to the fact that Fatima wasn't being taught to read Urdu, only English, to the fact that Rohinka served only two dishes at dinner the night of her arrival to the cost of the car insurance for the VW Sharan to the fact that Shahid didn't have a 'proper job' and seemed to have no intention of getting one, let alone a wife, to the unfriendliness of London, the fact that it was an 'impossible city,' to the ostentatious way she complained about missing Lahore, especially at dinner time, giving meaningful, sad, reproachful looks at the food Rohinka had cooked.
Ludwig Feuerbach, The Essence of Christianity|Faith does not limit itself by the idea of a world, a universe, a necessity.
Paulo Coelho, The Winner Stands Alone|They are so very cultivated, so very rich and so utterly charming. At the end of each day, they all ask themselves: 'Is it time I stopped?' And they all reply: 'If I did, there would be no meaning to my life.'As if they actually knew what the meaning of life was.
Joel Fuhrman|In the future, it's going to become more and more impossible for the economy to support how expensive medical care is and the number of sick people we have. Why don't we just get our population healthier so we don't need medical care?
Thomas Paine|Young people all over the world are very frustrated. They are very disillusioned. Many of them are turning their backs on religion. They are walking away from the faith of their parents, and most of this is because religion has failed them.
Lailah Gifty Akita|Remember, you are training your mind. You are either training it to look for things to go wrong or you are training it to look for things to go right. Train yourself to think only positive thoughts
Robert Mugabe|One travels more usefully when alone, because he reflects more.
Tobias Wolff, This Boy's Life|Why were Jack and his brother digging post holes? A fence there would run parallel to the one that already enclosed the farmyard. The Welches had no animals to keep in or out - a fence there could serve no purpose. Their work was pointless. Years later, while I was waiting for a boat to take me across the river, I watched two Vietnamese women methodically hitting a discarded truck tire with sticks. They did it for a good long while, and were still doing it when I crossed the river. They were part of the dream from which I recognized the Welches, my defeat-dream, my damnation-dream, with its solemn choreography of earnest useless acts.
Barbara Kingsolver, The Bean Trees|There is no point treating a depressed person as though she were just feeling sad, saying, 'There now, hang on, you'll get over it.' Sadness is more or less like a head cold- with patience, it passes. Depression is like cancer.
Abhijit Naskar, The Film Testament|We all have the power to influence others. It is up to us, whether we are going to abuse that power to manipulate people or use it to help them.
Panashe Chigumadzi, Sweet Medicine|Tsitsi and the rest of the nation who now found themselves degreed and broke, her parents and the parents of the nation with degreed children and still broke, had thought-convinced themselves-that the poverty of their lives could be eliminated by 'professionalisation'.
Harvey S. Firestone|Lead, follow, or get out of the way.
Augusten Burroughs, This Is How: Proven Aid in Overcoming Shyness, Molestation, Fatness, Spinsterhood, Grief, Disease, Lushery, Decrepitude & More. For Young and Old Alike.|If you have one parent who loves you, even if they can't buy you clothes, they're so poor and they make all kinds of mistakes and maybe sometimes they even give you awful advice, but never for one moment do you doubt their love for you--if you have this, you have incredibly good fortune.If you have two parents who love you? You have won life's Lotto.If you do not have parents, or if the parents you have are so broken and so, frankly, terrible that they are no improvement over nothing, this is fine.It's not ideal because it's harder without adults who love you more than they love themselves. But harder is just harder, that's all.
Susan Griffin, A Chorus of Stones: The Private Life of War|Most of us knew things that we didn't even want to confess to ourselves, so we took those secrets with us like condoms, stuffed in wallets, that would never be used.
Rosemary Sutcliff, Blue Remembered Hills: A Recollection|This is the twenty-first century - you have to know what you want, then set upon it with everything you've got.
Unknown|Wen life gives you hundred reasons to cry, show life that you have a thousand reasons to smile.
Alain de Botton|Never too late to learn some embarrassingly basic, stupidly obvious things about oneself.
Franco Santoro|A dream is a manifestation, just like what you live is a manifestation, but a dream is quicker and easier to achieve, and not so troublesome if there's something you don't want.
Nadia Hashimi, When the Moon is Low|She had come to him the fool, thinking herself the experienced one. After all, she had nothing to give that another hadn't had, nothing so far as she knew. But he'd taken what hadn't been there; what was his; what was promised.
Eraldo Banovac|Human nature is so complicated. Those who have little, want a lot. Those who have a lot, think others have more. Those who lose, blame others for the loss.
Fernando Lachica, OFW: This is My Life and Story|An Airstream is a lot like a first love: you are lured by her charm, seduced by her beauty, and once bitten, you are forever chasing after her mystique.
Michael Marshall Smith, Stories: All-New Tales|When you let it get personal, the cost becomes personal too. You’re opening your own heart here. You sure you want to do that?
Peter Ackroyd, Hawksmoor|Generally he knew by instinct the likely length of an investigation, but on this occasion he did not: as he fought to get his breath he suddenly saw himself as others must see him, and he was struck by the impossibility of his task. The event of the boy's death was not simple because it was not unique and if he traced it backwards, running the time slowly in the opposite direction (but did it have a direction?), it became no clearer. The chain of causality might extend as far back as the boy's birth, in a particular place and on a particular date, or even further into the darkness beyond that. And what of the murderer, for what sequence of events had drawn him to wander by this old church? All these events were random and yet connected, part of a pattern so large that it remained inexplicable. He might, then, have to invent a past from the evidence available - and, in that case, would not the future also be an invention? It was as if he were staring at one of those puzzle drawings in which foreground and background create entirely different images: you could not look at such a thing for long.
Timothy Murphy|Art shows us that human beings still matter in a world where money talks the loudest, where computers know everything about us, and where robots fabricate our next meal and also our ride there.
Oscar Wilde, The Picture of Dorian Gray and Other Writings|Beauty, real beauty, ends where an intellectual expression begins
Michael Makai, The Warrior Princess Submissive|lose weight, eat backwards.
Phoenix Desmond, Make Love to the Universe: Himalayan Masters Share Spiritual Wisdom|When nations resort to arms, the human spirit is like a bird that cannot stand to hear its own song.
Denis Avey, The Man Who Broke Into Auschwitz: A True Story of World War II|Ernie got it,' I said afterwards. 'His experience taught him that you've got to fight for what's right. It gets you into a lot of trouble but he came to the same conclusion as me.' People think it could never happen here. Don't you believe it; it doesn't take much.
Marianne Escobar|Love more, hurt less. Laugh more, cry less. Live more, worry less. Give more, take less. Hug more, fight less. And most important.. Remember that we are all one! We are love! I LOVE YOU ALL!
Ross Thomas|I think she must have lived where all the sad poets live, in that secret place where everything hurts all the time.
Cornelia Funke, Inkheart|He hablado ex profeso con el viento -anunció-, pues hay una cosa que debes saber: cuando el viento se obstina en jugar con el fuego, ni yo mismo puedo domeñarlo. Pero me ha dado su palabra de honor de que esta noche se mantendrá en calma y no nos estropeará la diversión.
Gilles Néret, Gustav Klimt: 1862-1918|This intensely lyrical vision of the pregant woman in [i]Hope I[i] is set in an ambiguous context peopled with masks, death's heads and allegorical monsters such as Sin, Disease, Poverty and Death, all threatening the incipient life.
James W. Robertson|But I do like Scotland. I like the miserable weather. I like the miserable people, the fatalism, the negativity, the violence that's always just below the surface. And I like the way you deal with religion. One century you're up to your lugs in it, the next you're trading the whole apparatus in for Sunday superstores. Praise the Lord and thrash the bairns. Ask and ye shall have the door shut in your face. Blessed are they that shop on the Sabbath, for they shall get the best bargains. Oh yes, this is a very fine country.
Anthony Liccione|... no person can be his own saviour ... An individual must come before God in penitence, confess his sin and obtain pardon from a merciful God who repudiates sin but shows covenant love to the sinner.
G. Neri, Ghetto Cowboy|When gangs took over the [abandoned public land in Philadelphia] and the neighborhood took a turn for the worse, horses became a way of saving lives. By getting boys interested in raising a horse rather than killing another human being, these cowboys gave the youth something positive: father figures, focus, and the ability to stand tall.
John Boyle O'Reilly, Life of John Boyle O'Reilly|Be silent and safe — silence never betrays you; Be true to your word and your work and your friend; Put least trust in him who is foremost to praise you,Nor judge of a road till it draw to the end.
Jon Crosby|A man can submit today in order to resist tomorrow. My submission had been such. And because I had not been free to show my real feeling, to voice my true thoughts, my submission had bred bitterness and anger. And there were nearly ten million others who had submitted with equal anger and bitterness.
Linda Bender, Animal Wisdom: Learning from the Spiritual Lives of Animals|Every species embodies a solution to some environmental challenge, and some of these solutions are breathtaking in their elegance.
Simona Panova, Nightmarish Sacrifice|Oh, he did look like a deity – the perfect balance of danger and charm, he was at the same time fascinating and inaccessible, distant because of his demonstrated flawlessness, and possessing such strength of character that he was dismaying and at the same time utterly attractive in an enticing and forbidden way.
Judith Lewis Herman, Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror|The violent subjugation of the Palestinians, Iraqis, and Afghans will only ensure that those who oppose us will increasingly speak to us in the language we speak to them—violence.
Felicia Day, You're Never Weird on the Internet|Fame is not gifted, you have to earn it.
Dan Wilbur, How Not to Read: Harnessing the Power of a Literature-Free Life|It is the custom on the stage: in all good, murderous melodramas: to present the tragic and the comic scenes, in as regular alternation, as the layers of red and white in a side of streaky, well-cured bacon. The hero sinks upon his straw bed, weighed down by fetters and misfortunes; and, in the next scene, his faithful but unconscious squire regales the audience with a comic song. We behold, with throbbing bosoms, the heroine in the grasp of a proud and ruthless baron: her virtue and her life alike in danger; drawing forth a dagger to preserve the one at the cost of the other; and, just as our expectations are wrought up to the highest pitch, a whistle is heard: and we are straightway transported to the great hall of the castle: where a grey-headed seneschal sings a funny chorus with a funnier body of vassals, who are free of all sorts of places from church vaults to palaces, and roam about in company, carolling perpetually.Such changes appear absurd; but they are not so unnatural as they would seem at first sight. The transitions in real life from well-spread boards to death-beds, and from mourning weeds to holiday garments, are not a whit less startling; only, there, we are busy actors, instead of passive lookers-on; which makes a vast difference. The actors in the mimic life of the theatre, are blind to violent transitions and abrupt impulses of passion or feeling, which, presented before the eyes of mere spectators, are at once condemned as outrageous and preposterous.
Suzanne Somers|As a physician specializing in nutrition, my priority is to the health of the public.
Sunday Adelaja|Seek knowledge, getting as much of it as you can and meditate on it, then you will become ahappy possessor of wisdom.
Spider Webb|Tattooing, when understood in its entirety, must be seen as a religious act. The human being brings forth images from the center of the self and communicates them to the world. Fantasy is embodied in reality and the person is made whole.
Kendra C. Highley, Matt Archer: Monster Hunter|The chandelier was wearing on its rubber support and the crack at the side of the ceiling hold was getting bigger. “One day that’s going to fall on us and spear you through the heart,” he said. I turned to kiss him on the shoulder and closed my eyes.
Mahbod Seraji, Rooftops of Tehran|A year ago he had been in America. Two years ago he had been straight. Tonight he was underground, with the remains of the bogey man, lit by the torches of the children who had killed him.
Groucho Marx, Groucho and Me|I sent the club a wire stating, PLEASE ACCEPT MY RESIGNATION. I DON'T WANT TO BELONG TO ANY CLUB THAT WILL ACCEPT ME AS A MEMBER.
Gilbert Meilaender, Friendship: Philosophy|The point of the calling was, quite simply, that it was appointed by God to serve neighbors. If along the way some self-fulfillment came as well, there was nothing wrong with that, but it was hardly the point of the calling.
Bill Rancic|If you must have motivation, think of your paycheck on Friday.
Elizabeth McCracken|Short fiction is like low relief. And if your story has no humor in it, then you're trying to look at something in the pitch dark. With the light of humor, it throws what you're writing into relief so that you can actually see it.
Rosabeth Moss Kanter|Change is disturbing when it is done to us, exhilarating when it is done by us.
Natasha Farrant, The Secret Diary of Lydia Bennet|Books may not judge you, but people do.
David Sedaris, Me Talk Pretty One Day|Apprenticeship assumes that knowing a trade not only comes by numbers and outlines but also by watching and inhabiting. Knowing is found in these forms, because teaching is. We teach not only by our words and assignments but also by the manner of our words and the ways we ourselves already embody the assignments we give.
Lailah Gifty Akita|Whoever wishes to be saved, should call on the Saviour, THE LORD JESUS CHRIST.
William Gay, The Long Home|They can send death at once, but life is slower...
S. Walden, LoveLines|Everyone’s pain is different,” Reece went on. “I don’t like when people compare. I don’t like when people marginalize their feelings because they think they’re not allowed to have them. Someone will always have a tougher go than you. Does that mean you’re not allowed to feel hurt? To be sad?
George Pierce Baker|The snow itself is lonely or, if you prefer, self-sufficient. There is no other time when the whole world seems composed of one thing and one thing only.
Benjamin Netanyahu|I have some very personal feelings about politics, but I don't get into it because I do comedy already.
Alice Hoffman|But she always kept on until the end. She knew, as i knew, that you don't stop a story half done. You keep on going, through heartbreak and pain and fear, and times there is a happy ending, and times there isn't. Don't matter. You don't cut a flower half through and then wait and watch as it slowly shrivels to death. And you don't stop a story before you reach the end. - A Creature of Moonlight
Hank Aaron|That's why he was here, to surrender himself to longing, to listen to his host recite the anecdotal texts, all the passed-down stories of bonehead plays and swirling brawls, the pitching duels that carried into twilight, stories that Marvin had been collecting for half a century--the deep eros of memory that separates baseball from other sports.
Rachel Carson|If facts are the seeds that later produce knowledge and wisdom, then the emotions and the impressions of the senses are the fertile soil in which the seeds must grow.
Natsuo Kirino, Real World|In reality of everyday occurrences I've had to submit to people in order not to lose them. It's less the submission that bothers me, I guess, than how it makes my life miserable. And what happens if I can't forgive myself for making that choice? And what if, in order to keep on living, I have to continue to accept myself? What am I supposed to do? Conclusion: It'd be best if I'm destroyed. The best thing is for me just to vanish.
Adam Smith, The Wealth of Nations|The natural effort of every individual to better his own condition, when suffered to exert itself with freedom and security, is so powerful a principle, that it is alone, and without any assistance, not only capable of carrying on the society to wealth and prosperity, but of surmounting a hundred impertinent obstructions with which the folly of human laws too often encumbers its operations
Jay Haughton|He was the kind of teacher every child hated, and they suspected most of the staff did not like him too.
Orhan Pamuk|Einstein...even failed physics once, but he'd never thought of giving up school to make a living.
Sidney Sheldon, Windmills of the Gods|Maybe it was being orphaned and alone all my life, but I always steeled for the worst outcome I could envision. That way I could shrug and be almost happy with anything that fell short of the worst. It was a peculiar life skill and one I had gotten damn good at.
Mary Midgley, The Myths We Live by|You cannot stand for civil rights + not support gay marriage. You cannot stand for human rights + not support gay marriage. It's that simple.Everywhere, the voice of the oppressed must echo + ring out or else it will be crushed by the tyranny of wickedness.
Anonymus|No human being live a blank life that is thoughtless, therefore you are what you learned on your life time.
Palle Yourgrau, A World Without Time: The Forgotten Legacy of Gödel And Einstein|There is no doubt that Einstein's pipe was his closest associate, while others--including wife and family--were never permitted the illusion that they would ever be at the center of his life.
Idries Shah, Learning How to Learn: Psychology and Spirituality in the Sufi Way|If you cannot laugh frequently and genuinely, you have no soul.
Esther Verhoef, Close-up|Photography is like stealing.You rob someone of a moment that exposes something essential about their character,their soul if you like.there are people who are very conscious of that,who find that terrifying.The thought that everyone,friend of foe,can get so close to you,look you straight in the eye and judge you without having any control over it or being able to respond.A part of them has become the property of the photographer.
Donna Lynn Hope|We love because we can lose. If there was no threat of separation, no death to shake us to our core, we probably wouldn't love much at all.
Ayaan Hirsi Ali|The veil deliberately marks women as private and restricted property, nonpersons. The veil sets women apart from men and apart from the world; it restrains them, confines them, grooms them for docility. A mind can be cramped just as a body may be, and a Muslim veil blinkers both your vision and your destiny. It is the mark of a kind of apartheid, not the domination of a race but of a sex.
Gabriel García Márquez|But in those solitary Masses they began to be aware that once again they were mistresses of their fate, after having renounced not only their family name but their own identity in exchange for a security that was no more than another of a bride's many illusions. They alone knew how tiresome was the man they loved to distraction, who perhaps loved them but whom they had to continue nurturing until his last breath as if he were a child, suckling him, changing his soiled diapers, distracting him with a mother's tricks to ease his terror at going out each morning to face reality. And nevertheless, when they watched him leave the house, this man they themselves had urged to conquer the world, then they were the ones left with the terror that he would never return. That was their life. (4.113)
Anthon St. Maarten, Divine Living: The Essential Guide To Your True Destiny|You are one thing only. You are a Divine Being. An all-powerful Creator. You are a Deity in jeans and a t-shirt, and within you dwells the infinite wisdom of the ages and the sacred creative force of All that is, will be and ever was.
Ramez Naam, Crux|But Nita had always seen having a child as selfish. Why bring another soul into this world, she'd say, when there are so many out there that need our help?
S.C. Stephens, Effortless|As hatred is defined as intense dislike, what is wrong with inciting intense dislike of a religion, if the activities or teachings of that religion are so outrageous, irrational or abusive of human rights that they deserve to be intensely disliked?
John Mayer, Continuum: Music by John Mayer|How dare you say it's nothing to me?Baby, you're the only light I ever saw.
Irvine Welsh, Trainspotting|Ah don't hate the English. They're just wankers. We are colonised by wankers. We can't even pick a decent, vibrant, healthy culture to be colonised by. No. We're ruled by effete arseholes. What does that make us?
Lionel Suggs|This is the only real revelation — that God is only a trick with mirrors, our dark reflection in a glass.
Sunday Adelaja|When you celebrate a person, you are celebrating the creator of that person
Henry Knox|Government, in the last analysis, is organized opinion. Where there is little or no public opinion, there is likely to be bad government.
Rowan Speedwell, Kindred Hearts|You can't always choose the people you work with, but you can choose to learn how to deal with them. They are all different." - Charles
Ellyn Bache, The Art of Saying Goodbye|You move forward. You face up to your challenges. You don't retreat. You're young, and sometimes you'll wish you could. But don't.
Idries Shah, Thinkers of the East|Unbelief and belief are both marching on His road, while both are saying, ‘He is one and He has no associates’.
Dietrich Bonhoeffer, Letters and Papers from Prison|The more we have known of the really good things, the more insipid the thin lemonade of later literature becomes, sometimes almost to the point of making us sick. Do you know a work of literature written in the last, say, fifteen years that you think has any lasting quality? I don't. It is partly idle chatter, partly propaganda, partly self-pitying sentimentality, but there is no insight, no ideas, no clarity, no substance and almost always the language is bad and constrained. On this subject I am quite consciously a laudator temporis acti.
Anthon St. Maarten, Divine Living: The Essential Guide To Your True Destiny|If we never experience the chill of a dark winter, it is very unlikely that we will ever cherish the warmth of a bright summer’s day. Nothing stimulates our appetite for the simple joys of life more than the starvation caused by sadness or desperation. In order to complete our amazing life journey successfully, it is vital that we turn each and every dark tear into a pearl of wisdom, and find the blessing in every curse.
Mary  Stewart, The Hollow Hills|Nico was wrong. The Book of Fate isn't already written. It's written every day.Some scars never heal.Then again, some do.
Alfred North Whitehead|I really love animals. My cat is my little soul mate. He's not just a cat, he's my friend.
Vironika Tugaleva|To be hurt is, sometimes, a lucky thing—a fortunate interruption along a road that otherwise may have ended in blindly hurting others. When we heal from being hurt by a person, we realize the importance of not hurting people. Perhaps it is not the most fun way to learn this lesson, but it is a method of life's teachings nonetheless.
Flavin, Martin|Thinking it was easy to take a chance on things if you had nothing to lose -- politics, ideas, almost anything in fact; from the bottom of the ladder you could safely risk a fall, but the higher that you climbed the more cautious you must be.
Dean Jackson|When she transformed into a butterfly, the caterpillars spoke not of her beauty, but of her weirdness. They wanted her to change back into what she always had been. But she had wings.
Anonymous|The great question which I have not been able to answer  despite my 30 years of research into the feminine soul  is "what does a woman want"?
Rabindranath Tagore, Sadhana|In learning a language, when from mere words we reach the laws of words, we have gained a great deal. But if we stop at that point and concern ourselves only with the marvels of the formation of a language, seeking the hidden reason of all its apparent caprices, we do not reach that end, for grammar is not literature… When we come to literature, we find that, though it conforms to the rules of grammar, it is yet a thing of joy; it is freedom itself. The beauty of a poem is bound by strict laws, yet it transcends them. The laws are its wings. They do not keep it weighed down. They carry it to freedom. Its form is in law, but its spirit is in beauty. Law is the first step toward freedom, and beauty is the complete liberation which stands on the pedestal of law. Beauty harmonizes in itself the limit and the beyond – the law and the liberty.
Michael Crichton, Disclosure|He did not want an affair with his boss. He did not even want a one-night stand. Because what always happened was that people found out, gossip at the water cooler, meaningful looks in the hallway. And sooner or later the spouses found out. It always happened. Slammed doors, divorce lawyers, child custody.
Terry Eagleton, Literary Theory: An Introduction|Woman is the opposite, the ‘other’ of man: she is non-man, defective man, assigned a chiefly negative value in relation to the male first principle. But equally man is what he is only by virtue of ceaselessly shutting out this other or opposite, defining himself in antithesis to it, and his whole identity is therefore caught up and put at risk in the very gesture by which he seeks to assert his unique, autonomous existence. Woman is not just an other in the sense of something beyond his ken, but an other intimately related to him as the image of what he is not, and therefore as an essential reminder of what he is. Man therefore needs this other even as he spurns it, is constrained to give a positive identity to what he regards as no-thing. Not only is his own being parasitically dependent upon the woman, and upon the act of excluding and subordinating her, but one reason why such exclusion is necessary is because she may not be quite so other after all. Perhaps she stands as a sign of something in man himself which he needs to repress, expel beyond his own being, relegate to a securely alien region beyond his own definitive limits. Perhaps what is outside is also somehow inside, what is alien also intimate — so that man needs to police the absolute frontier between the two realms as vigilantly as he does just because it may always be transgressed, has always been transgressed already, and is much less absolute than it appears.
Anthony Liccione|It was uncontrollable, overpowered by others, these colors within me, staring out at a black and white world; without spurning about, wanting to rule, too much negligence, they left me no choice, but to surrender. It was time, had to crash the lightning, and bow to the rain, where promises have broken, and pain still reigns. Had to give up myself and bring life to the world, had to. Dye
Gwen Mitchell, Rain of Ash|She’d lost so much in the process of becoming Zyne, but somewhere in the middle of it all, she’d found herself. Her heritage had shattered her illusions of a tranquil life. Destiny swept behind in a blaze, decimating everything she tried to hold on to. She was left alone, like the solitary tree standing after a forest fire. She’d thought she would crumble to ash, just another memory on the wind. But as blackened pieces of her cracked and fell away, she saw the truth. Under all that charred wreckage was the heartwood. Bruised. Scarred. But still good. Still capable of growth. When she looked in the mirror, she no longer saw a victim, but a survivor.
Abbi Jacobson|Buyers of powerful cars place a high premium on the exhaust note, and manufacturers spend a lot of money getting it right. At the same time, high-end cars are expected to filter out the sounds of the mundane world.
Paula Cole|I've always taken risks, and never worried what the world might really think of me.
Walter Gropius|As a viewer, that's work I respond to - work that I know is singular in some way. If I'm being challenged by something on screen, if I don't quite know why it's happening, I want to know I can do the work of pulling it apart and that there'll be something satisfactory about it. If the architecture is sound, you can be lyrical in execution.
Misty Copeland|I'm on the younger end of Gen X, and for me, growing up gay was not cool.
Chip Conley|When first starting to work with someone you try to get them in the same mindset that you were in when you were successful, and I realized the best thing you can ever do is realize that they are not you. They have a different persona and mindset, and you have to figure out what works best within your communication with that athlete.
Kristen Callihan, Shadowdance|I love you." He stabbed a thumb at his chest as he glared at her.Of course he did. Lucien had never hidden the fact. But the love of a friend, while comforting, was not enough anymore.It did not soothe the restless discomfort that pushed against her chest or quell the loneliness that seemed to grow within her each passing day.
Matshona Dhliwayo|Life is too short to listen to fools, and too important to ignore the wise.
J.D.  Jordan, Calamity: Being an Account of Calamity Jane and Her Gunslinging Green Man|Ain’t no good ever comes of it, if you ain’t steering yourself.
