Thomas Mann|Walk tall, or baby don't walk at all.
Susan C. Young, The Art of Preparation: 8 Ways to Plan with Purpose & Intention for Positive Impact|Since nothing stays the same, the great news is that, at any moment, you have the ability and power to move the needle in the direction of your dreams and create a brand that best represents you.
Michael Pollan, A Place of My Own: The Education of an Amateur Builder|People have traditionally turned to ritual to help them frame and acknowledge and ultimately even find joy in just such a paradox of being human - in the fact that so much of what we desire for our happiness and need for our survival comes at a heavy cost. We kill to eat, we cut down trees to build our homes, we exploit other people and the earth. Sacrifice - of nature, of the interests of others, even of our earlier selves - appears to be an inescapable part of our condition, the unavoidable price of all our achievements. A successful ritual is one that addresses both aspects of our predicament, recalling us to the shamefulness of our deeds at the same time it celebrates what the poet Frederick Turner calls "the beauty we have paid for with our shame." Without the double awareness pricked by such rituals, people are liable to find themselves either plundering the earth without restraint or descending into self-loathing and misanthropy. Perhaps it's not surprising that most of us today bring one of those attitudes or the other to our conduct in nature.
John Brunner, Stand on Zanzibar|It's supposed to be automatic, but actually you have to push this button. 
Evan Sutter, Solitude: How Doing Nothing Can Change the World|It’s sad to see how many relationships start as just a distraction from boredom, a cover up so they don’t have to ever deal with the true pain below
Bill Mills, Adequate: How God Empowers Ordinary People to Serve|If God spares us as a father does his son, let us imitate God. It is natural for children to imitate their parents. Let us imitate God in this one thing: As God spares us, and passes by many failures, so let us be sparing in our censures of others; let us look upon the weaknesses and indiscretions of our brethren with...a more tender, compassionate eye. How much God bears with us!
Maisie Mosco, Almonds and Raisins|Sometimes before your luck can be good,someone else's has to be bad
Alexander McCall Smith, The Good Husband of Zebra Drive|There was no point in telling somebody not to cry, she had always thought; indeed there were times when you should do exactly the opposite, when you should urge people to cry, to start the healing that sometimes only tears can bring. But if there was a place for tears of relief, there might even be a place for tears of pride[.]
Henry James, The American|The place suggested a convent with the modern improvements—an asylum in which privacy, though unbroken, might be not quite identical with privation, and meditation, though monotonous, might be of a cheerful cast.
Samuel Johnson, Works of Samuel Johnson|Why is it that when one man builds a wall, the next man immediately needs to know what's on the other side?
Dean Koontz, Innocence|Things keep happening all around you. There is violence, there is gore, there are people who will use you and never look back to see what became of you, and worse, there are people who will break you into smithereens before they leave to make sure they don’t have to look back to see what became of you.
Peter Kreeft, Prayer for Beginners|The only way God can strengthen his presence in our will is to weaken his presence in our feelings. Otherwise we would become spiritual cripples, unable to walk without emotional crutches. This is why he gives us dryness, sufferings, and failures.
Elton Trueblood, Abraham Lincoln: Lessons in Spiritual Leadership|All eyes are opened, or opening, to the rights of man. The general spread of the light of science has already laid open to every view the palpable truth that the mass of mankind has not been born with saddles on their backs, nor a favored few booted and spurred, ready to ride them legitimately, by the grace of God. These are grounds of hope for others. For ourselves, let the annual return of this day forever refresh our recollection of these rights, and an undiminished devotion to them.
Sara Raasch, Snow Like Ashes|I know there are things you aren’t telling me. Big things…Sir, I will find out. I only hope your reasoning is good enough for me to forgive you.
Reza Aslan, Zealot: The Life and Times of Jesus of Nazareth|With the current technology, I now agree with non-believers. We should no longer say the Bible is life's road-map, the Bible is life's GPS!
Leanna Renee Hieber, The Eterna Files|Does feminist mean large unpleasant person who'll shout at you or someone who believes women are human beings? To me it's the latter, so I sign up
Allan Gurganus|One question about a joke is, how well is the strangeness of the situation resolved? At 'The New Yorker', we retain a lot of incongruity, tapping the playful part of the mind - Monty Python-type stuff. We also try to use humor as a vehicle for communicating ideas. Not editorial comment, but observation.
Christopher Morley|There is no mistaking a real book when one meets it. It is like falling in love, and like that colossal adventure it is an experience of great social import. Even as the tranced swain, the booklover yearns to tell others of his bliss. He writes letters about it, adds it to the postscript of all manner of communications, intrudes it into telephone messages, and insists on his friends writing down the title of the find. Like the simple-hearted betrothed, once certain of his conquest, “I want you to love her, too!” It is a jealous passion also. He feels a little indignant if he finds that any one else has discovered the book, too.
Harvey Fierstein|I don't have a favourite romantic scene, but I enjoy romantic movies like 'Ghost' and 'Music and Lyrics.'
Billy Graham, Billy Graham in Quotes|I know that many of the things I have said from the Scriptures have offended some, but I cannot afford to tone down the message. As Paul said in 1 Corinthians 9:17, “I have a stewardship entrusted to me” (nasb), and that is to preach the pure and simple Gospel in whatever culture I am in.
Debasish Mridha|Take love and kindness with you, wherever you go.
A. A. Milne|The surest route to breeding jealousy is to compare. Since jealousy comes from feeling less than another, comparisons only fan the fires.
Jordan MacLean, Sword of Hemlock|For a woman to be taken as seriously as a man she must be three times as effective. Happily, this is not difficult.--Simone de Beauvoir
Marc Guggenheim|For those of you who still believe in the Easter Bunny and that the letters that appear in your local newspaper come from concerned citizens who really care, I've got troubling news. At least in politics, most of the letters that get published on the letters-to-the-editor page originate in the campaign headquarters of the candidates.
Steven Magee|We are all the gods and devils, hiding under the human skin.
Carl Jung|It's a bit cliche, but you can't go wrong by writing what you know. Even if you're a horrible writer, your own knowledge and experience is unrivaled. Nobody knows what you know like you know what you know. The way you see things is pretty unique.
Jacob Tomsky, Heads in Beds: A Reckless Memoir of Hotels, Hustles, and So-Called Hospitality|The moment when you realize no one understands, no one ever did, no one ever will.You were alone, you always will be.But may be, just may be, someone will look up to you someday. And when they do, remember to hide those tearful eyes, to smile and to say - "look, life's so good.
Lynne Truss|It's a sad indication of where Washington has come, where policy differences almost necessarily become questions of integrity. I came to Washington in the late '70s, and people had the ability in the past to have intense policy differences but didn't feel the need to question the other person's character.
Elizabeth George, Moments of Grace for a Woman's Heart|Jesus teaches us to give richly, serve sacrificially, and love unconditionally.
Alexandra Kleeman, You Too Can Have a Body Like Mine|He was so far away now, or maybe he just looked distant because we were imaging different things for our future.
Alex Gaskarth|You are the most important person in the world. Every single of you. Don’t let anybody tell you differently, okay?,
Lauren Oliver, Requiem|…Man’s heart is a ditch full of blood. The loved ones who have died throw themselves down on the bank of this ditch to drink the blood and so come to life again; the dearer they are to you, the more of your blood they drink.” - The Narrator.
Neil Humphreys|Haw Par Villa is the nutty exception. It's mad, slightly unhinged and overwhelmingly rubbish. Without a doubt, Haw Par Villa is the Louis Tussaus House of Wax of Singapore. There is no higher compliment (...) For it's own sake, Haw Par Villa still had to be terrible, macabre, distasteful and offensive.
A.A. Milne|On Wednesday, when the sky is blue,and I have nothing else to do,I sometimes wonder if it's true That who is what and what is who." - Winnie-the-Pooh
Radclyffe Hall, The Well of Loneliness|But now, here she was, very wishful to pray, while not knowing how to explain her dilemma: ‘I’m terribly unhappy, dear, unprobable God—’ would not be a very propitious beginning.
Dorothy Day, The Long Loneliness: The Autobiography of the Legendary Catholic Social Activist|I was lonely, deadly lonely. And I was to find out then, as I found out so many times, over and over again, that women especially are social beings, who are not content with just husband and family, but must have a community, a group, an exchange with others. Young and old, even in the busiest years of our lives, we women especially are victims of the long loneliness.It was years before I woke up without that longing for a face pressed against my breast, an arm about my shoulder. The sense of loss was there.I never was so unhappy, never felt so great the sense of loneliness. No matter how many times I gave up mother, father, husband, brother, daughter, for His sake, I had to do it over again.Tamar is partly responsible for the title of this book in that when I was beginning it she was writing me about how alone a mother of young children always is. I had also just heard from an old woman who lived a long and full life, and she too spoke of her loneliness
Kiera Cass|The only thing that made sense were the thoughts on repeat inside my head: I was about to become the husband of the second woman I’d ever loved.It was almost time. Damn. Shit, yeah! Fuck, yes!I was getting married!
Victor Hugo, Les Misérables|It was a strange business and it made a sad and curious impression on me; everything that had belonged to me in these earlier years of my life left me, was alien and lost to me. I suddenly saw how sad and artificial my life had been during this period, for the loves, friends, habits and pleasures of these years were discarded like badly fitting clothes. I parted from them without pain and all that remained was to wonder that I could have endured them so long.
Tim Wendel, Summer of '68: The Season That Changed Baseball—and America—Forever|At some point, I finally realized that stress made a really bad companion... so I had it pack its shit and leave.
Jean Toomer, Cane|What happend to her? To Miranda?'Ulysses shrugged. 'What happens to most children. She got sick, and never got better.''And your wife?''The same.''But you said you were married,' said Will, glancing down at Ulysses's ring, smooth and lustrous in the half-light.'I'll always be married. But it'll be the next world when I see her again.
Eleanor Roosevelt|No matter how plain a woman may be, if truth and honesty are written across her face, she will be beautiful.
George Sand|Nature alone can speak to our intelligence an imperishable language, never changing, because it remains within the bounds of eternal truth and of what is absolutely noble and beautiful.
Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass|Figure out what makes you laugh, and do more of it. Figure out what makes you cry, and do less of it.
Michelle Shocked|I might be celibate, but I appreciate the wonder of the sacrament of marriage.
Gustave Flaubert, Madame Bovary|Financial demands, of all the rough winds that blow upon our love, (are) quite the coldest and the most biting.
Ambeth R. Ocampo, Rizal Without the Overcoat|As you can see, there are quite a number of things taught in school that one has to unlearn or at least correct.
Dejan Stojanovic|If you are only what you are, You at least have a chance Not to outsmart, But be on a par with yourself And that is worth trying.
Hugh Jackman|Utrip makes it easy for travelers to experience the destination highlights that most interest them, be it food, art or history. Just like a culinary experience, every palate is different, and Utrip is all about personalizing travel for their users.
Brian Sandoval|I do accept that, with - with respect to those vague terms in the Constitution such as equal protection of the laws, due process of law, cruel and unusual punishments. I fully accept that those things have to apply to new phenomena that didn't exist at the time.
Marissa Clarke, Neighbors with Benefits|Wanting Kate was one thing. Sex was simple. Or it could be. But liking her?Enjoying spending time with her? Allowing her into his private life, as Brody had tonight, albeit at his sisters’ invitation? It would lead to nothing but trouble.
Melissa Lurquette, A Beautiful Bounty|It’s all right now, Louisa: it’s all right, young Thomas,’ said Mr. Bounderby; ‘you won’t do so any more. I’ll answer for it’s being all over with father. Well, Louisa, that’s worth a kiss, isn’t it?’‘You can take one, Mr. Bounderby,’ returned Louisa, when she had coldly paused, and slowly walked across the room, and p. 18ungraciously raised her cheek towards him, with her face turned away.‘Always my pet; ain’t you, Louisa?’ said Mr. Bounderby. ‘Good-bye, Louisa!’He went his way, but she stood on the same spot, rubbing the cheek he had kissed, with her handkerchief, until it was burning red. She was still doing this, five minutes afterwards.‘What are you about, Loo?’ her brother sulkily remonstrated. ‘You’ll rub a hole in your face.’‘You may cut the piece out with your penknife if you like, Tom. I wouldn’t cry!
H.D., HERmione|She didn't know that all her life would be spent gambling with the stark rigidity of words, words that were coin: save, spend and all the time George with his own counter had found her a way out.
Ludwig Wittgenstein, Tractatus Logico-Philosophicus|I don’t know who I am. And I don’t think people ever will know who they are. We have to be humble enough to learn to live with this mysterious question. Who am I? So, I am a mystery to myself. I am someone who is in this pilgrimage from the moment that I was born to the day to come that I’m going to die. And this is something that I can’t avoid, whether I like it or not, or — I’m going to die. So, what I have to do is to honor this pilgrimage through life. And so I am this pilgrim — if I can somehow answer your question — who’s constantly amazed by this journey. Who is learning a new thing every single day. But who’s not accumulating knowledge, because then it becomes a very heavy burden in your back. I am this person who is proud to be a pilgrim, and who’s trying to honor his journey.
Maggie Nelson|You, know, the only thing I can be is a writer. I'm absolutely unprepared for anything else. When you've lived the kind of life I have, you are good for nothing. Only writing can save you.
Brian A. McBride|Every day I must prove to myself I am a writer. The knowledge goes away in my sleep. What I wrote yesterday was paltry, meager, so flawed it is barely anything. Or, if it is good, I am no longer the person who could write it.
Ralph Waldo Emerson|It matters not how strait the gate, How charged with punishments the scroll, I am the master of my fate: I am the captain of my soul.
Craig D. Lounsbrough|The choice to avoid risk is the choice to avoid living, and to avoid living is one of the greatest risk of all.
Bryce Courtenay, The Power of One|It will soon make sense with some reasonable research and reading...ti's all in there, somewhere... find it!!
David Barik|Somewhere, the imaginary little shoulder angel and devil were having a conversation on their respective sides, the angel offering a gentle warning that this might not be a good idea, given all the drama, the complications. But the little devil, with its pudgy belly and pointy ears, was so comical that Holly almost laughed when he rolled his eyes at the angel and whispered, "Oh, whatever".
Colleen Hoover, It Ends with Us|What is that?” Addison inspects the food with a look of sheer revulsion on her face. You’d swear I just handed her a plate full of arsenic. “The Works Burger with fries and extra onions and cheese, exactly as you ordered.” I keep my voice level.She sends me a scathing look. “Do I look like I’d ever consume that amount of saturated fat?
Marty Rubin|If words are the truth, what is living for?
Dieter F. Utchtdorf“O How Great the Plan of Our God,” Ensign (Conference Edition), November 2016, p.|d spoken calmly and without raising my voice but I could see several of them repressing the urge to move back. I smiled mirthlessly: one of these days, Praesi would learn to stop thinking that mercy and ruthlessness were mutually exclusive. I’d made the Forlorn Hope with the intent of deploying it in battle: if it could not be deployed, it could return to the gallows I’d snatched it from. There were only so many chances I was willing to give people.
Stephanie Coontz, Marriage, a History: From Obedience to Intimacy or How Love Conquered Marriage|The idea that in prehistoric times a man would spend his life hunting only for the benefit of his own wife and children, who were dependent solely upon his hunting prowess for survival, is simply a projection of 1950s marital norms onto the past.
Amit Ray, Nonviolence: The Transforming Power|Formal education teaches how to stand, but to see the rainbow you must come out and walk many steps on your own.
Charles Dickens, Nicholas Nickleby|Pride is one of the seven deadly sins; but it cannot be the pride of a mother in her children, for that is a compound of two cardinal virtues — faith and hope.
Terry Pratchett, Monstrous Regiment|But I see you're not standing in a bleedin' shadow, Perks, nor have you done anything to change your bleedin' shape, you're silhouetted against the bleedin' light and your sabre's shining like a diamond in a chimney-sweep's bleedin' ear'ole! Explain!""It's because of the one C, sarge!" said Polly, still staring straight ahead. "And that is?" "Colour, sarge! I'm wearing bleedin' red and white in a bleedin' grey forest, sarge!
Richard Feynman|Many races as well as cultural influences of men of all kinds have mixed into any man. To select, for approbation the peculiar elements that come from some supposedly Jewish heredity is to open the door to all kinds of nonsense on racial theory.
Alexandra Fuller|Then she called Gansey.It rang twice, three times, and then: "Hello?"He sounded boyish and ordinary. Blue asked, "Did I wake you up?"She heard Gansey fumble for and scrape up his wireframes."No," he lied, "I was awake.""I called you by accident anyway. I meant to call Congress, but your number was one off.""Oh?""Yeah, because yours has 6-6-5 in it." She paused. "Get it?""Oh, you.""6-6-5. One number different. Get it?""Yeah, I got it.
Nassim Nicholas Taleb, Antifragile: Things That Gain from Disorder|Until we are willing to oppose all abortion--ALL ABORTION---then the Christian community will lack the true ethical high ground to oppose ANY ABORTIONS. The minute we concede that there is any ground--even in the so-called case of rape, incest or the health of the mother---to make a decision to self-consciously and deliberately kill a child based on our puny, finite understanding of the facts, and a a cost-benefit analysis based on our pragmatic post-modern vision of utlilitarian ethics, we have conceded everything. We have abandoned biblical law and granted to Planned Parenthood the legitimacy of the core argument they have advanced since Margaret Sanger founded the organization--namely, that some circumstances of pregnancy are sufficiently uncomfortable or troubling that man has the right to play God and declare his own authority to take the life of an innocent, unborn baby.
Debasish Mridha|In this ocean of time, life is smaller than a drop of water. To create an impact, create a massive wave with the power of your infinite love.
Foster "Raul" Mkhabele|When pointing out the flaws in others, people always end up talking about themselves.
Samuel Beckett|I always thought old age would be a writer’s best chance. Whenever I read the late work of Goethe or W. B. Yeats I had the impertinence to identify with it. Now, my memory’s gone, all the old fluency’s disappeared. I don’t write a single sentence without saying to myself, ‘It’s a lie!’ So I know I was right. It’s the best chance I’ve ever had.
Anthony Liccione|Her body begs to be taken away and put into a warm bed with the sheets pulled high, even though nothing can help now.
Gay Talese, Thy Neighbor's Wife|Intercourse was now forbidden to everyone but married people; bundling disappeared. In its place young courting couples engaged in "petting"--which, interpreted broadly, meant that they were could do anything sexual short of intercourse. Women were now held responsible for controlling men's beastly sexuality--halting them from simply plunging ahead--at the same time that they were expected to be sexually innocent: an impossible position.
Marcel Proust, Swann's Way|In his younger days a man dreams of possessing the heart of the woman he loves; later, the feeling that he possesses the heart of a woman may be enough to make him fall in love with her. And 50, at an age when it would appear - since one seeks in love before everything else a subjective pleasure - that the taste for feminine beauty must play the larger part in its procreation, love may come into being, love of the most physical order, without any foundation in desire. At this time of life a man has already been wounded more than once by the darts of love; it no longer evolves by itself, obeying its own incomprehensible and fatal laws, before his passive and astonished heart. We come to its aid; we falsify it by memory and by suggestion; recognising one of its symptoms we recall and recreate the rest.
Jan Jansen|The first person to fire out of your life when you take your power back, is the one you abused the most, and he or she did not stand up for him/herself.
Aaron B. Powell, Doomsday Diaries III: Luke the Protector|The world is a goddamned evil place, the strong prey on the weak, the rich on the poor; I’ve given up hope that there is a God that will save us all. How am I supposed to believe that there’s a heaven and a hell when all I see now is hell.
Matshona Dhliwayo|When love writes a letter, joy is its ink.
Max    Adams, The King in the North: The Life and Times of Oswald of Northumbria|The dark ages are obscure but they were not weird. Magicians there were, to be sure, and miracles. In the flickering firelight of the winter hearth, mead songs were sung of dragons and ring-givers, of fell deeds and famine, of portents and vengeful gods. Strange omens in the sky were thought to foretell evil times. But in a world where the fates seemed to govern by whimsy and caprice, belief in sympathetic magic, superstition and making offerings to spirits was not much more irrational than believing in paper money: trust is an expedient currency. There were charms to ward of dwarfs, water-elf disease and swarms of bees; farmers recited spells against cattle thieves and women knew of potions to make men more - or less - virile. Soothsayers, poets and those who remembered the genealogies of kings were held in high regard. The past was an immense source of wonder and inspiration, of fear and foretelling.
Donna Brazile|The growth of the company and the license that Starbucks has is to participate in other food and beverage opportunities. We have a global business... and in many parts of the world, tea is much, much bigger than coffee, and we're going to bring tea and bring our capability and our understanding of what we've done for coffee to tea.
Teresa May B. Bandiola, The Forest of Evergreen (Volume 2): Found in the Wilderness|… I can only wish to remember the good timesand forget the things I refuse to remember. They are nothing but heartache.”-Sophia to Zarah, The Forest of Evergreen: Found in the Wilderness
Chimamanda Ngozi Adichie, Americanah|As they walked out of the store, Ifemelu said, “I was waiting for her to ask ‘Was it the one with two eyes or the one with two legs?’ Why didn’t she just ask ‘Was it the black girl or the white girl?’”Ginika laughed. “Because this is America. You’re supposed to pretend that you don’t notice certain things.
Morrissey|I know by now you think I should have straightened myself out - Thank you, drop dead!
Dan Pearce, Single Dad Laughing|Everything we think we know, everything we think we see, everything we believe we feel, taste, smell, or hear, everything we “remember” (our pasts), everything we want to happen (our futures), everything that has ever existed or will ever exist, only exists right now. All of these things are nothing more than electric signals being passed through our brains and bodies, right now. It is all energy flowing through us right now. “The past” exists only in our minds. We are the ones who bring it into reality. We are the ones who bring it into the present. We are the ones who make it “real”.
Alice Hoffman, The Marriage of Opposites|I KNEW I MUST do all as I was told, yet something burned inside me, a seed of defiance that must have derived from a long-ago ancestor. Perhaps my mind was inflamed from the books I had read and the worlds I had imagined.
Immanuel Kant, Groundwork of the Metaphysics of Morals|Voluntary euthanasia occurs only when, to the best of medical knowledge, a person is suffering from an incurable and painful or extremely distressing condition. In these circumstances one cannot say that to choose to die quickly is obviously irrational.
Daniel Waterman, Entheogens, Society and Law: The Politics of Consciousness, Autonomy and Responsibility|Certainly, a clear line must be preserved by strict discipline, and on the other hand the men must know that everything is done for them that hard times permit. On the top of that it follows that, among real men, what counts is deeds, not words; and then it comes of itself, when such are the relations between men and their leaders, that instead of opposition there is harmony between them. The leader is merely a clearer expression of the common will and an example of life and death. And there is no science in all this. It is a practical quality, the simple manly commonsense that is native to a sound and vigorous race.
Christopher Reeve|Back of every mistaken venture and defeat is the laughter of wisdom, if you listen.
Mary Sage Nguyen|Chris M. Salamone is a highly recognized Legal professional currently living in Boca Raton. He has over 20 years of experience in his career, he has helped thousands of young Americans to grow personally and professionally.
Kapil Dev|Country music in the mid-'90s was a big influence on my career, and I played all the songs that are referenced in '94' back in my club days. Joe Diffie was rocking a sick mullet, and he was hotter than ever... just putting out monster hit after monster hit. It totally takes me back to those days, and it makes me smile every time I hear it.
Laurann Dohner, Propositioning Mr. Raine|Kyle held out his hand and Reid shook it like a good sport, but he made sure to add a little extra pressure and a meaningful stare in the universal male Don’t-f**k-with-this-chick-or-I’ll-eat-your-heart-for-breakfast-with-my-Wheaties look.
Gugu Mona|Only if you follow the realism of science rather than the Hollywood fantasy of romance, will you achieve True Love
Dipin Damodharan|Sometimes the word ‘Desire’ may leave you in a tizzy. Many of us are banking on this word to drive our life forward. These ‘Desires’ may be the single factor that guide and enrich your life. But, there’s a trap.Surgeon Atul Gawande puts it like this in his book ‘Being Mortal: Medicine and What Matters in the End, “When we have only our desires to guide us, and they are fleeting, capricious, and insatiable, they provide, ultimately, only torment.”So beware of ‘Desires’. You need to redefine it in a way that makes your life to be endurable.
Russell Kirk, The Roots of American Order|The proposition is peace. Not peace through the medium of war; not peace to be hunted through the labyrinth of intricate and endless negotiations; not peace to arise out of universal discord, fomented from principle, in all parts of the empire; not peace to depend on the juridical determination of perplexing questions, or the precise marking the shadowy boundaries of a complex government. It is simple peace, sought in its natural course and in its ordinary haunts. It is peace sought in the spirit of peace, and laid in principles purely pacific.
Pamela Clare, Striking Distance|Don't get me wrong. I'm happy to be your morning lollipop, but I need to eat, too.
Aleksandr Solzhenitsyn, The Gulag Archipelago 1918-1956|Oh, how hard it is to part with power! This one has to understand.
Gena Showalter, The Closer You Come|It was common knowledge that big, bad city boys spent the bulk of their time sleeping around, coiffing their hair and posting pictures of food on the internet.
Jennifer Niven, American Blonde|The world after a war is a good world, I told myself. A happy world. A secure world. In this world, I might do anything.
Cat Clarke, Entangled|God preordained, for his own glory and the display of His attributes of mercy and justice, a part of the human race, without any merit of their own, to eternal salvation, and another part, in just punishment of their sin, to eternal damnation.
Nina LaCour, Everything Leads to You|It took a while for her to figure out she could run but when she did she was long gone, Long gone..
Leah Rae Miller, The Summer I Became a Nerd|Dude, you know I'm not getting paid for this shit, which is probably against the law. Child labor going on right here in the heartland of America!-Dan Garrett
Lindsey Rietzsch, Successful Failures: Recognizing the Divine Role That Opposition Plays in Life's Quest for Success|Sometimes when we get so caught up in our dreams we get tunnel vision. It becomes about "me, me, me," and we fail to see those around us who need our help. When this happens we can expect to experience obstacles or as I like to call them, "gentle reminders" that we are not the center of the universe. When we are not using our talents and strengths to bless others, how can we expect the Lord to bless us?
Morris West|The quality of a person's life is in direct proportion to their commitment to excellence, regardless of their chosen field of endeavor.
Daniel M. Gilbert, Stumbling on Happiness|As the philosopher John Stuart Mill wrote, "It is better to be a human being dissatisfied than a pig satisfied; better to be Socrates dissatisfied than a fool satisfied. And if the fool, or the pig, are a different opinion, it is because they know only their own side of the question.
Ludwig von Mises, Omnipotent Government|Everyone, deep in their hears, is waiting for the end of the world to come.
George Pelecanos, Soul Circus|We get schooled by the people around us, and it stays inside us deep.
Cheryl Strayed, Wild: From Lost to Found on the Pacific Crest Trail|It had been so silent in the wake of that commotion, a kind of potent silence that seemed to contain everything. The songs of the birds and the creak of the trees. The dying snow and the unseen gurgling water. The glimmering sun. The certain sky. The gun that didn't have a bullet in its chamber. And the mother. Always the mother. The one who would never come to me.
Mahatma Gandhi|Let the first act of every morning be to make the following resolve for the day:- I shall not fear anyone on Earth. - I shall fear only God. - I shall not bear ill will toward anyone. - I shall not submit to injustice from anyone. - I shall conquer untruth by truth. And in resisting untruth, I shall put up with all suffering.
Walter Gropius|To work in architecture you are so much involved with society, with politics, with bureaucrats. It's a very complicated process to do large projects. You start to see the society, how it functions, how it works. Then you have a lot of criticism about how it works.
Kelly Rossi, Dating the Wrong Men|Maybe I shouldn't scare off my date so quickly by shooting guns and telling stories about vomit, but, hey, the sooner he knows the real me, the better.
Sara Naveed, Undying Affinity|I don’t want to let you go. Not now. Not ever.” While she said this, tears streamed out of her eyes. “I’m here with you. Always,” he murmured softly against her hair. “I love you, Ahmar. I love you so much,” she whispered.
Sunday Adelaja|If we do not desire to work in order to receive these things, God will be powerless to help us
Austin Grossman, You|I am stupid, am I not? What more can I want? If you ask them who is brave--who is true--who is just--who is it they would trust with their lives?--they would say, Tuan Jim. And yet they can never know the real, real truth....
E. Lockhart, We Were Liars|That's what makes a tragedy a tragedy. There's no rhyme or reason to it, only heartbreak. The only thing you can do when the ground stops shaking and the waters recede is try to save whoever's left.
Chris     Murray, The Extremely Successful Salesman's Club|You – help - people. You are an expert in your field, who genuinely helps other human beings. Take pride in that, stop hawking your wares, and get a bit of respect for your profession, and earn some from your prospects.
Santosh Kalwar, Quote Me Everyday|Do not become someone else just because you are hurt. Be who you are & smile, it may solve, all problems you have got.
Pierre-Ambroise Choderlos de Laclos, Les Liaisons dangereuses|Now, I'm not going to deny that I was aware of your beauty. But the point is, this has nothing to do with your beauty. As I got to know you, I began to realise that beauty was the least of your qualities. I became fascinated by your goodness. I was drawn in by it. I didn't understand what was happening to me. And it was only when I began to feel actual, physical pain every time you left the room that it finally dawned on me: I was in love, for the first time in my life. I knew it was hopeless, but that didn't matter to me. And it's not that I want to have you. All I want is to deserve you. Tell me what to do. Show me how to behave. I'll do anything you say.
C.J. Duggan, The Boys of Summer|Tess, will you marry me?" Toby laughed.
Bonnie Hunt|I can't resist South Indian cuisine, particularly what is prepared at home. My mom is my favourite cook. She can cook a variety of cuisines. I savour her cooking at home, and she's undoubtedly the best.
Jane Green, The Sunshine Sisters|At first, sending the confession by real mail had felt like a genius device. I would not have to sit by my phone and watch for the signs that indicated it had been sent and seen. Slim but solid paper would, I hoped, convey me better. Now I had to consider the very real frailties of the system. Ludicrous, in fact, to entrust something of such magnitude to a mailman. A perfect stranger. I looked up stories of nefarious New York mailmen. There was one who has willfully upturned the lives of ordinary people like myself by hoarding 40,000 pieces of undelivered mail. The city was crawling with thieves and malcontents.
Joni Eareckson Tada, The God I Love: A Lifetime of Walking with Jesus|Joni discovered the best way to put the halter on her horse without being animal resisting and fleeing was to turn her back until he nuzzled up to her. At that point, she could slip the halter on. Just so, she surmises, sometimes God waits for us to turn our backs on what we desire most and to trust Him.
Aleksandr Solzhenitsyn|Whenever regulation increases, personal freedom decreases.
Jeff Ryan|Artistry, perhaps, is at its core being able to control change in interesting ways.
Nicola Yoon, The Sun Is Also a Star|Outside there's a chill in the air that reminds me autumn is on the way, even though it's still only September. This time of year is my absolute favourite; the leaves start to turn golden and wither away after their summer of hard work, and the sun seems to shine a lot more clearly as the mist from the summer heat disappears. Everything just seems a little brighter and fresher--a clean slate. That's exactly what I need.
Sarah J. Maas, Empire of Storms|My father insisted I eat red meat. 'You'll lose your brain without food,' he said. A meal to him without beef was starvation.
William Barclay|No matter what kind of challenges or difficulties or painful situations you go through in your life, we all have something deep within us that we can reach down and find the inner strength to get through them.
Kresley Cole, Dreams of a Dark Warrior|He shot to his feet, faced off against her. "No more mercy for ye, Valkyrie." Holding nothing back, he launched a haymaker at her
Ron Franscell, The Sourtoe Cocktail Club: The Yukon Odyssey of a Father and Son in Search of a Mummified Human Toe ... and Everything Else|Some journeys take you farther from where you come from, but closer to where you belong.
Robert Fortune|I like solitary pursuits, such as reading or pottering about in the garden.
Albert Camus, Resistance, Rebellion and Death: Essays|This land on which so many centuries have left their mark is merely an obligatory retreat for you, whereas it has always been our dearest hope. Your too sudden passion is made up of spite and necessity.
Brenda El-Leithy, The Magnet 28 Day Challenge|We are beings of energy, and as such we are all perfect magnets - – attracting according to our personal energy vibration.
Nancy Woodruff, My Wife's Affair|(Georgie) Why is it that you always want to run after the one that goes off in a huff, and push away the one who is clinging to you?
Susan C. Young, The Art of Preparation: 8 Ways to Plan with Purpose & Intention for Positive Impact|Don’t participate or allow yourself to be dragged into other people’s dramas, complaints, or gossip.
Robin Bielman, Once Upon a Royal Christmas|Phew. I thought I was going to have to slay a few dragons for you while I was here.”	“I’m no damsel in distress, Your Highness. I can take care of myself.
John Steinbeck, Of Mice and Men|His ear heard more than what was said to him, and his slow speech had overtones not of thought, but of understanding beyond thought.
Manoj Vaz|In life, I have learnt that the more I learnt about life, the sadder I became and the sadder I became the desire to learn about life increased.
Jenna Maclaine, Bound By Sin|There is darkness inside all of us, though mine is more dangerous than most. Still, we all have it—that part of our soul that is irreparably damaged by the very trials and tribulations of life. We are what we are because of it, or perhaps in spite of it. Some useit as a shield to hide behind, others as an excuse to do unconscionable things. But, truly, the darkness is simply a piece of the whole, neither good nor evil unless you make it so. Ittook a witch, a war, and a voodoo queen to teach me that.
John Burnside, A Summer of Drowning|All you have to do is choose the right day, the right weather, and you come upon a hidden place in the morning light where time stopped long before you were born
Lauren Rachelle|In the society of would-be-gods, a humble man is always polite.
