Jonathan L. Walls|Not only does evil depend upon good, but in this case, darkness depends upon light.
Sarai Walker, Dietland|Madison sparkled like the words on her oversized chest. There was glitter embedded in her eye shadow, in her lip gloss, in her nail polish, hanging from her ears in shoulder grazing hoops, dangling from her wrists in blingy bracelets. If the lights went out in the hallway, she could light it up like a human disco ball.
Anne Kearney, Counselling, Class and Politics: Undeclared Influences in Therapy|But if you sit around thinking what to do and end up not doing anything, why bother even thinking about it? You're better off going out on the town and having a good time. No, we have to think and act. That's what we're doing here, and that's what you have to do.
Gene Stratton-Porter, The Keeper of the Bees|I'm not talking about commitment to romantic relationships. I'm talking about commitment to things: houses, jobs, neighborhoods. Having a job that requires a contract. Paying a mortgage. I think when men hear that women want a commitment, they think it means commitment to a romantic relationship, but that's not it. It's a commitment to not floating around anymore. I want a guy who is entrenched in his own life.
Oscar Wilde, The Picture of Dorian Gray|Silence!” Korbolo snapped. He eyed Duiker. “You are the historian who rode with Coltaine.”The historian faced him. “I am.”“You are a soldier.”“As you say.”“I do, and so you shall die with these soldiers, in a manner no different-““You mean to slaughter ten thousand unarmed men and women, Korbolo Dom?”“I mean to cripple Tavore before she even sets foot on this continent. I mean to make her too furious to think. I mean to crack that façade so she dreams of vengeance day and night, poisoning her every decision.”“You always fashioned yourself as the Empire’s harshest Fist, didn’t you, Korbolo Dom? As if cruelty’s a virtue…
Walter Kirn|I've seen a few wild grizzly bears, mostly in Alaska and British Columbia, and always from a distance. But each grizzly I've caught sight of was as fearsome and sublime as the last. You never get used to their raw power and massive bodies, or the mysterious intelligence in their dark, close-set eyes.
Kelly Batten, One Day You'll Find Me|My mouth fell open in incredulity.“Ah, Maria. Are you trying to tell me you’ve taken up the sport of fly-catching with your mouth?”Ros reached over and lifted my chin.“And an assistant too. So that you don’t scare the little flies away. How wonderful; I didn’t realise it was a team sport. Interesting. Tell me, what do they taste like? I can’t imagine a fly filling any hole in your stomach. How many have you caught?”“That’s disgusting.” Ros screwed her face up.“My thoughts exactly.
Dalai Lama XIV|I am so far from being a pessimist...on the contrary, in spite of my scars, I am tickled to death at life.
Israelmore Ayivor, Shaping the dream|Stop blaming people for not helping you. No matter how your teacher teaches you to recite a poem, you can’t wear her smiling face to the platform. You’ve got to put that smile on your own face.
Roz Savage, Rowing the Atlantic: Lessons Learned on the Open Ocean|When we are only victorious over small things, it leaves us feeling small.
Florence King, Confessions of a Failed Southern Lady|No matter which sex I went to bed with, I never smoked on the street
Melissa C. Hamilton|His unique skill had always been to absorb the talents and knowledge of others, use what he needed and discard the rest. He never allowed anyone to get to close. He kept the world at arm's length in order to look down on it.
Jess C. Scott, Bedmates|Sever sarcastic snakes, sting six soulless slaves, severely smack saucy sin, scar sooky saps’ spines snogging snug sexy slang, 666 I’m glad you rang…
Helen Thompson|In riding a horse, we borrow freedom
Mary Schmich|That white uniform was her 'pass' to get into white places with us - the grocery store, the state fair, the movies. Even though this was the 70s and the segregation laws had changed, the 'rules' had not.
Tia Mowry|Wisdom I know is social. She seeks her fellows. But Beauty is jealous, and illy bears the presence of a rival.
Johann Hari|From this Legionary school a new man will have to emerge, a man with heroic qualities; a giant of our history to do battle and win over all the enemies of our Fatherland, his battle and victory having to extend even beyond the material world into the realm of invisible enemies, the powers of evil. Everything that our mind can imagine as more beautiful spiritually; everything the proudest that our race can produce, greater, more just, more powerful, wiser, purer, more diligent and more heroic, this is what the Legionary school must give us! A man in whom all the possibilities of human grandeur that are implanted by God in the blood of our people be developed to the maximum. This hero, the product of Legionary education, will also know how to elaborate programs; will also know how to solve the Jewish problem; will also know how to organize the state well; will also know how to convince other Romanians; and if not, he will know how to win, for that is why he is a hero. This hero, this Legionary of bravery, labour, and justice, with the powers God implanted in his soul, will lead our Fatherland on the road of its glory.
Shay Savage, Transcendence|Beh reaches up and touches my cheek.“Love,” she whispers.“Luffs!” I respond, and her smile brightens even more.Without a doubt, I will do anything for her.
Sunday Adelaja|When you are on top of your stuff, which on its own will secure you continuous increase
Hope Mirrlees, Lud-in-the-Mist|He says to me, Ranulph, he says... that the past will never come again, but that we must remember that the past is made of the present, and that the present is always here.
Abigail Barnette, The Girlfriend|Instead of a bucket list Someday Challenge™ wants you to create your Someday Slate™, a list of the things that you have promised yourself to do, things that you planned to do someday! Completing your Someday Slate™ will get you started on finally living your passion now.
Tyconis D. Allison Ty|Truth is, moments come to an end. That's how memories are created.
Craig D. Lounsbrough|If my heart is set on pursuing real treasures, my mind must be fixed solely on the privilege of enjoying them and freed of the obsession of owning them.
Jennifer Silverwood, Silver Hollow|In a game of chess, someone has to take the black pieces.
Jennifer Senior, All Joy and No Fun: The Paradox of Modern Parenthood|Even when our children are still young and defenseless, we feel intimations of their departure. We find ourselves staring at them with nostalgia, wistful for the person they're about to no longer be.
Luigina Sgarro|Reason forbade me many things which,Instinctively, my nature was attracted to;And a perpetual loss I feel if, knowing,I believe a falsehood or deny the truth.
Taabia Dupree, The Temp|You asked of me once, how high, high can beor if there was an exhibit..I smiled and then whispered..My thighs are the limit…
A.A. Milne|TOMORROW IS ANOTHER DAY. Not true. Today is another day. We have no idea what tomorrow is going to be. It might turn out to be another day, but we can't be sure. If it happens, I'll be the first to say so. But, you know what? By that time, it'll be today again
Chimamanda Ngozi Adichie|Imagine how much happier we would be, how much freer to be our true individual selves, if we didn't have the weight of gender expectations.
Belinda Taylor on "Loss"|Don't mire up in self despair of your losses, learn from them and move on to other good things in life. Don't stop allowing the sunshine in because of the fear that winter will come and engulf the warmth. Hold it close to you to help you through those cold winter days.
Debasish Mridha|Have the imagination, create the vision, go with passion, and take the action; you will achieve all of your goals.
John O'Donohue|You wake from dreams of doom and--for a moment--you know: beyond all the noise and the gestures, the only real thing, love's calm unwavering flame in the half-light of an early dawn.
Josh Gates, Destination Truth: Memoirs of a Monster Hunter|Such is the privilege of survival: to be allowed to fashion the means that fit our ends, to cobble together a narrative that reveals (as by the divine light of illumination) the predestined arc of our days. This is no small gift. With it we can neutralize all but the greatest losses, reduce even the greatest bastards to nothing more than bit actors in the drama of our lives, put on this earth for the sole purpose of forwarding our cause. Blessed are those who can believe their own stories.
Claire McCaskill|For the record, I believe elected officials should talk about faith. Our founders believed the moral principles of faith were indispensable to our nation's survival. The Declaration of Independence mentions God four times.
Joan Smith|The issue which faced the jury was this: was Sutcliffe a clever criminal, aware of what he was doing and determined to avoid capture? ... In a sense, it was the wrong question. The battle that was fought out in court - the mad/bad dichotomy - both substitutes for and obscures the real dilemma raised by the Yorkshire Ripper case: is Sutcliffe a one-off, su generis as I have heard one psychiatrist describe him, someone who stands outside our culture and has no relation to it? Those who assert that Sutcliffe is mad are in essence saying yes to this question; madness is a closed category, one over which we have no control and for which we bear no responsibility. The deranged stand apart from us; we cannot be blamed for their insanity. Thus the urge to characterize Sutcliffe as mad has powerful emotional origins; it has as much to do with how we see ourselves and the society in which we live... It is a distancing mechanism, a way of establishing a comforting gulf between ourselves and a particularly unacceptable criminal.
Courtney M. Privett, Mayfly Requiem|A few slave holders were undeniably cruel. Examples of slaves beaten to death were not common, neither were they unknown. The majority of slave holders treated their slaves well.
Debasish Mridha|Not the eyes, but the heart sees the beauty.
Johnny Cash|I wore black because I liked it. I still do, and wearing it still means something to me. It's still my symbol of rebellion -- against a stagnant status quo, against our hypocritical houses of God, against people whose minds are closed to others' ideas.
Klaus Kinski|Sometimes my heart hurts so much, I beat it with my fists. I try to run. But you cannot run from this. It waits for you. Even when you think you have escaped it, it is there.
Amit Ray, Nonviolence: The Transforming Power|God is within you, open your heart and uncover that godliness.
Beth Henley|Some really good things kind of swing both ways and I like to see people that can swing really, really, really sad and horrible and terrible and really, really, really beautiful and funny.
Penelope Fitzgerald, The Bookshop|A good book is the precious life-blood of a master-spirit, embalmed and treasured up on purpose to a life beyond life, and as such it must surely be a necessary commodity.
Jim Beaver, Life's That Way|Of all the things I've ever done, perhaps none was more difficult than turning away from my beautiful girl and walking away, leaving her there, never to look back. But my friend Tom, my ever-faithful good friend Tom said, pointing down the hall away from Cec's room, 'Life's that way. Let's go home.'And so we did.
They Might Be Giants|Let us never weary of repeating, that to think first of the disinherited and sorrowful classes; to relieve, ventilate, enlighten, and love them; to enlarge their horizon to a magnificent extent; to lavish upon them education in every shape; to set them an example of labor, and never of indolence; to lessen the weight of the individual burden by increasing the notion of the universal aim; to limit poverty without limiting wealth; to create vast fields of public and popular activity; to have, like Briareus, a hundred hands to stretch out on all sides to the crushed and the weak; to employ the collective power in the grand task of opening workshops for every arm, schools for every aptitude, and laboratories for every intellect; to increase wages, diminish toil, and balance the debit and credit--that is to say, proportion enjoyment to effort, and supply to demand; in a word, to evolve from the social machine, on behalf of those who suffer and those who are ignorant, more light and more comfort, is (and sympathetic souls must not forget it) the first of brotherly obligations, and (let egotistic hearts learn the fact) the first of political necessities.
Robert  Black|Sometimes, the ocean floor is only a stop on the journey. And it is when you are at this lowest point, that you are faced with a choice. You can stay there at the bottom, until you drown. Or you can gather pearls and rise back up — stronger from the swim and richer from the jewels.
Steven Chopade|Yep, that girl was as dead as you could get inside. But Scarlett Jo wasn't worried. Not really. Because sometimes a person has to die in order to really live.
bell hooks, Teaching Critical Thinking: Practical Wisdom|None of us, irrespective of our sexual preference and/or practice, imagine that we can have an intimate relationship with a partner and always have seamless harmony. Indeed, most of us assume that once the “honeymoon” period is over differences will emerge and conflicts will happen. Positively, we also assume that we will be “safe“ in those moments; that even if voices are raised and emotions expressed are intense, there will not be and should not be any abuse or any reason to be unsafe, and that the will to connect and communicate will prevail.
Anthony Bourdain|What the mass media offers is not popular art, but entertainment which is intended to be consumed like food, forgotten, and replaced by a new dish.
Marco Rubio|I feel very deeply about the need to respect and tolerate people of different social - or sexual orientation. But at the same time, I believe marriage should be preserved as an institution for one man and one woman.
Kristina Howells|It is not easy being different, you just have to accept it and say sod YOU!!!
Sunday Adelaja|A man who is looking backward all the time cannot move forward, he will be standing still
Aishabella Sheikh, Jungle Princess|Beautiful places are almost alive! When you visit them, you can feel their breaths!
John Connolly, The Burning Soul|Sometimes she walks through the village in herlittle red dressall absorbed in restraining herself,and yet, despite herself, she seems to moveaccording to the rhythm of her life to come.She runs a bit, hesitates, stops,half-turns around...and, all while dreaming, shakes her headfor or against.Then she dances a few stepsthat she invents and forgets,no doubt finding out that lifemoves on too fast.It's not so much that she steps outof the small body enclosing her,but that all she carries in herselffrolics and ferments.It's this dress that she'll rememberlater in a sweet surrender;when her whole life is full of risks,the little red dress will always seem right.
Neil Gaiman|I’d once again see that bob of blonde hair back on my pillow, that pink hot smile beaming toward me as I heroically win her heart in some kind of Count of Monte Cristo or Great Gatsby-esque gesture… you know minus the long imprisonment or swimming pool death!
Wayne Gerard Trotman|We'll squeeze every second that we can from our lives, because we're young, and we have plenty of years to grow. We'll grow until we're braver. We'll grow until our bones ache and our skin wrinkles and our hair goes white, and until our hearts decide, at last, that it's time to stop.
Andre Dubus|A child cannot be taught by anyone who despises him, and a child cannot afford to be fooled. A child cannot be taught by anyone whose demand, essentially, is that the child repudiate his experience, and all that gives him sustenance.
Henry Johnson Jr|Education is liberation, knowledge is power.
Jay-Z|Only God can judge me so I'm gone, either love me or leave me alone.
Osayi Emokpae Lasisi, Because You Deserve Love|Don’t play with damaged goods, you will only hurt yourself.
Mark Helprin, Winter's Tale|Isn't that what everyone wants, just for a moment to be unencumbered?
Joey Lawsin, Creation by Law|Mathematically, the purpose of life is to produce a result. In human terms, it is called Happiness.
Anonymous|Walk into any church, and you will see people swimming in a sea of emotions (everything from shame and guilt to love and ecstasy). That may be the reason some people think that the more emotional they are, the more spiritual they are. But, as we will explore later in the book, undiluted spirituality has little to do with emotions, and what little it does have has more to do with emotional growth than feelings of elation.
Nora Ephron, Heartburn|I would give the greatest sunset in the world for one sight of New York's skyline. Particularly when one can't see the details. Just the shapes. The shapes and the thought that made them. The sky over New York and the will of man made visible. What other religion do we need? And then people tell me about pilgrimages to some dank pesthole in a jungle where they go to do homage to a crumbling temple, to a leering stone monster with a pot belly, created by some leprous savage. Is it beauty and genius they want to see? Do they seek a sense of the sublime? Let them come to New York, stand on the shore of the Hudson, look and kneel. When I see the city from my window - no, I don't feel how small I am - but I feel that if a war came to threaten this, I would throw myself into space, over the city, and protect these buildings with my body.
Cassandra Clare, City of Fallen Angels|I’m looking for mushrooms. Giant ones, specifically of the deadly poisonous variety.”“How come?”“Monday is Teacher Appreciation Day, and I was thinking of making a nice quiche for Miss Keener.
Sara Naveed, Undying Affinity|Well…speaking of rights, every single human on the face of this earth is entitled to achieve the basic education; no matter what religion, caste or race they belong to. I’m really against those people who despise the poor. The less fortunate are also normal people like us. In fact, they are special, as they need proper guidance, affection and attention just like us. We should pay them homage and regards rather than looking down upon them. I’m trying my best to support them as much as I can. In fact I’ve opened an orphanage house along with a friend of mine that I was mentioning about before and we’re providing them with the best possible financial services.” He went on.
David Jeremiah, Until Christ Returns: Living Faithfully Today While We Wait for Our Glorious Tomorrow|Amid the thousands of shrill voices screaming for our attention, there is but on Voice we need to hear. The voice of the Lord Jesus Christ.
Harold Holzer, Lincoln and the Power of the Press: The War for Public Opinion|The author said Frederick Douglass described himself as a "graduate" of slavery with the marks of his diploma on his back.
Lisa Kessler, Harvest Moon|Foreboding, and an all too familiar lack of control, roiled in my gut. My opponent might be hungry for a win, but I was famished. Something in my life would be a victory. Sorry Shark, I wasn’t going down tonight. No chance. - Jason Ayers
Rachel Van Dyken, The Matchmaker's Replacement|Because my weakness has always been her, it would always be her.
Dr. Karan M Pai|In blink of an eye everything can change, so forgive often and love all your heart. You may never know when you may not have the chance again.. Good to you all..
Bob Marley|One love, one heart, one destiny.
Kurt Vonnegut Jr., God Bless You, Mr. Rosewater|I think it's terrible the way people don't share things in this country. I think it's a heartless government that will let one baby be born owning a big piece of the country, the way I was born, and let another baby be born without owning anything. The least a government could do, it seems to me, is to divide things up fairly among the babies.
Kurt Vonnegut Jr., If This Isn't Nice, What Is?: Advice for the Young|Jesus of Nazareth told us to say these twelve words when we prayed: 'Forgive us our trespasses as we forgive those who trespass against us.' ... And for those words alone, he deserves to be called ;the Prince of Peace.
Marvin Gaye|If you cannot find peace within yourself, you will never find it anywhere else.
Jake Wood, Among You: The Extraordinary True Story of a Soldier Broken By War|I do not think the long-range bullets I fire provide the mark of a man; I am only dimly aware that they are dehumanising me.They are my opium tto see me through my time here. But with each hit they give, they only provide a feeling respite from the past I cannot escape from and thre present I have chosen to mire myself in. And, grounded as I am in the reality of this hill, I do not yet fully appreciate how this addiction is infecting my future with malediction.With this clinical, psychopathically detached behaviour considered as normal, proper and expected on this hall, I cannot yet stop to think - because I cannot allow myself to here - of how hese respites may be blackening my soul in all the time I will have left on my own back Home - should I even live through the remainder of my months here, in some other corner of this Hell of a country.
Kevin Hood, Becoming Jane|A novel must show how the world truly is, how characters genuinely think, how events actually occur. A novel should somehow reveal the true source of our actions.
Idries Shah, Caravan of Dreams|Show me a person who really knows what 'good' is, and I will show you that he almost never uses the word.
Shannon A. Thompson, 2013: A Stellar Collection|The buckets emptied quickly, and men from different squads took turns bringing water from the gully that lay towards the city, where, in the feeble shade of emaciated mulberries, a muddy stream lived out its last days in the diabolical heat.
Graham Greene, The Ministry of Fear|There's nothing so heavy as books, sir--unless it's bricks.
Northern Adams, Mickey and the Gargoyle|Avoidance therapy does not work. One major reason for that is because Avoidance Therapy (diversion, think yourself happy, positive affirmations) is predicated on the validity of 'Failure of Will.' Depression is not a choice.
Zack de la Rocha|Music is your own experience, your own thoughts, your wisdom. If you don't live it, it won't come out of your horn. They teach you there's a boundary line to music. But, man, there's no boundary line to art.
Pope Benedict XVI|Tolerance, which is one form of love of neighbor, must manifest itself not only in our personal relations, but also in the arena of society as well. In the world of opinion and politics, tolerance is that virtue by which liberated minds conquer the evils of bigotry and hatred. Tolerance implies more than forbearance or the passive enduring of ideas different from our own. Properly conceived, tolerance is the positive and cordial effort to understand another’s beliefs, practices, and habits without necessarily sharing or accepting them. Tolerance quickens our appreciation and increases our respect for our neighbor’s point of view. It goes even further; it assumes a militant aspect when the rights of an opponent are assailed. Voltaire’s dictum, “I do not agree with a word that you say, but I will defend to the death your right to say it,” is for all ages and places the perfect utterance of the tolerant ideal.
Carrie Jones, Captivate|Nick leans down and kisses my eyelids. “Loving you, Zara, is a full-time job. It’s a great job, don’t get me wrong. It’s the best job in the universe. But it is not easy, because you tend to . . .”“Get hurt?” Betty suggests. “Find trouble? Pass out? Break arms?”“All of the above.” Nick laughs.My hand finds Nick’s wrist and I grab onto its thickness. “You know, I’m the patient here. Where’s the bedside manner? Where’s the sympathy?”“Zara, sympathy is just a good excuse to buy greeting cards and make sorry eyes and secretly gloat over how glad you are that you aren’t the person whose crap is hanging out there for the world to see,” Betty says.
Steven Barnes|Someone asked me about the difference between love and lust. Hmmm. That will take a little thought. How to tell the difference? Well, for guys, if she looks better AFTER you've made love to her than before, that might be love. If you find yourself itching to get out the door afterward, probably just lust, y'know?
Delilah Jean Williams, Scorched Earth, Alien Wonders|None were left now to unname, and yet how close I felt to them when I saw one of them swim or fly or trot or crawl across my way or over my skin, or stalk me in the night, or go along beside me for a while in the day. They seemed far closer than when their names had stood between myself and them like a clear barrier: so close that my fear of them and their fear of me became one same fear. And the attraction that many of us felt, the desire to feel or rub or caress one another’s scales or skin or feathers or fur, taste one another’s blood or flesh, keep one another warm, that attraction was now all one with the fear, and the hunter could not be told from the hunted, nor the eater from the food.
Smiley Blanton|Only yield when you must  never "give up the ship " but fight on to the last "with a stiff upper lip!"
Susan C. Young, The Art of Being: 8 Ways to Optimize Your Presence & Essence for Positive Impact|As with construction, your personal integrity is the firm foundation upon which you can build a strong character, rewarding life, and healthy relationships.
James Dashner, The Scorch Trials|They called you the Glue""The Glue?""Yeah. Probably because you're kind of the glue that holds us all together
Deyth Banger|All the humanity (Not the people!), are incrediable. What makes them incrediable is the way of thinking, the way of solving!
Stephenie Meyer, Twilight|And so the lion fell in love with the lamb…" he murmured. I looked away, hiding my eyes as I thrilled to the word."What a stupid lamb," I sighed."What a sick, masochistic lion.
Mario J. Molina|The most obvious characteristic of science is its application: the fact that, as a consequence of science, one has a power to do things. And the effect this power has had need hardly be mentioned. The whole industrial revolution would almost have been impossible without the development of science.
Amit Kalantri, Wealth of Words|With discipline, you can lose weight, you can excel in work, you can win the war.
Victor Robert Lee, Performance Anomalies|An opportunity fordoing an injury happens a hundred times a day, hut for doing good not once a year," says Zoroaster.
Henry M. Wriston|A guidance counselor who has made a fetish of security, or who has unwittingly surrendered his thinking to economic determinism, may steer a youth away from his dream of becoming a poet, an artist, a musician or any other of thousands of things, because it offers no security, it does not pay well, there are no vacancies, it has no "future".
Joe Greene|Too many people say to their brokers, I can't deal with this. Take my money. Do what you want. That's the worst attitude you can have.
Sunday Adelaja, Create Your Own Net Worth|What makes a man worthy and that which gives him worth is not tittle and status, it is the mere fact that he is human being, created in God's own image.
Karen Davis|The recognition that human beings are specifically and deliberately responsible for whatever aberrances farm animals may embody, that their discordances reflect our, not their, primary disruption of natural rhythms, and that we owe them more rather than less for having stripped them of their birthright and earthrights has not entered into the environmentalist discussions that I've encountered to date.
M.F. Moonzajer|In his imagination, he grabbed his dad by the throat and squeezed until an old mans face turned purple. No pleading, no begging, simply... nothing.
Mehmet Murat ildan|Our universe is not suitable for waiting. This universe is a ‘we must do something universe,’ it is a ‘we must be serious universe!’ Think fast, think right and implement your thoughts very fast! To survive in this universe, ‘waiting’ must be abolished!
Jennifer Paynter, Mary Bennet|Hello, Mary.'It was like hearing a note of divine calm after a dissonant passage of music. My confusion died away.
William L. Hubbard, Complicity and Conviction: Steps Toward an Architecture of Convention|We will feel conviction about the things we create only if we keep discovering, within those creations, new reasons for wanting them to be that way.
Allan Dare Pearce, Paris in April|To the extent a man can control chaos, he should put his testicles on the line and do so, but when a man can't, he should just step aside, or someone in the lineup behind him is gonna bite his ass.
Michael Chabon, The Amazing Adventures of Kavalier & Clay|Gatsby's self-willed metamorphosis from farm boy to prince is many ways identical to my father's. Like Gatsby, my father fueled this transformation with the "colossal vitality of his illusion". Unlike Gatsby he did this on a school teacher's salary.
Ronald Reagan|My dear Excellency! I have not gone to war to collect cheese and eggs, but for another purpose.
Marilynne Robinson, Housekeeping|We had been assured by our elders that intelligence was a family trait. All my kin and forebears were people of substantial or remarkable intellect, thought somehow none of them had prospered in the world. Too bookish, my grandmother said with tart pride, and Lucille and I read constantly to forestall criticism, anticipating failure. If my family were not as intelligent as we were pleased to pretend, this was an innocent deception, for it was a matter of indifference to everybody whether we were intelligent or not. People always interpreted our slightly formal manner and our quiet tastes as a sign that we wished to stay a little apart. This was a matter of indifference, also, and we had our wish.
Anonymous|Those who have easy  cheerful attitudes tend to be happier than those with less pleasant temperaments  regardless of money  "making it " or success.
David W. Earle|As a parent who raised his children in dysfunction, I know the parental wounds my children received were not intentional; often they were my best expression of love, sometimes coming out sideways, not as I intended.
Laney Zukerman|We all have a dual nature,some of us are just better able to control the energy we expend on each part of it." Lessons for an Urban Goddess
N.T. Wright|I have argued that the God of the Bible, and especially of the Gospels, can be understood only as God-in-public, and that methods of criticism designed to keep this rumor quiet need to be challenged by appropriate historical, theological, and political critique and replaced by methods that do justice to the reality of the texts and hence do justice - in the much fuller sense - in the public world that the Gospels demand to address.
Kiera Van Gelder, The Buddha and the Borderline: My Recovery from Borderline Personality Disorder through Dialectical Behavior Therapy, Buddhism, and Online Dating|I’m not interested in Bob Marley telling me to ‘lively up’ myself. The only music that satisfies me is Nine Inch Nails and Trent Reznor’s voice crying through industrial rhytms. In the August evenings, I lie on my bed with earphones, letting his laments roll through me like unrepentant thunderstorms. I envy the courage that carries his voice into the world. He doesn’t berate himself for pain and anger; he howls. And this delights me, even though I feel ashamed when my own rage comes to the surface. My anger doesn’t signify courage; it’s just more confirmation that I’m bad.
Leo Babauta|Instead of focusing on how much you can accomplish, focus on how much you can absolutely love what you’re doing.
A.O. Storm, An A-Hole Gets Married|There was some rhythm, some ecstasy in this dance of flight that expressed the fact that happiness which touches depths and rises beyond physical confines is as old as consciousness, yet ever renewed, and is like the glorying flight of the birds
Alice McDermott, Charming Billy|One chance--that's what she had seen she had--one flying leap that was really composed of eight thousand separate possibilities for falling, and she had taken that chance and come this far and been found out.
Bluenscottish|Silence is also a form of speaking. They’re exactly alike. It’s a basic component of language. We’re always selecting what we say and what we don’t. Why do we say one thing and not the other? And we do this instinctively, too, because no matter what we’re talking about, there’s more that doesn’t get said than does. And this isn’t always to hide things—it’s simply part of an instinctive selection in our speech. This selection varies from one person to the next, so that no matter how many people describe the same thing, the descriptions are different, the point of view is different. And even if there is a similar viewpoint, people make different choices as to what is said or not said. This was very clear to me, coming from the village, since the people there never said more than they absolutely needed to. When I was fifteen and went to the city, I was amazed at how much people talked and how much of that talk was pointless. And how much people talked about themselves—that was totally alien to me.For me, silence had always been another form of communication. After all, you can tell so much just by looking at a person. At home we always knew about each other even if we didn’t talk about ourselves all the time. I encountered a lot of silence elsewhere as well. There was the silence that was self-imposed, because you could never say what you really thought.
P. H. Solomon|So an inerrant archer who's inaccurate." Hastra to Athson, from The Bow of Destiny
Jules Verne|Science moves with the spirit of an adventure characterized both by youthful arrogance and by the belief that the truth, once found, would be simple as well as pretty.
Lisa Gardner, The Neighbor|There are things that once done can’t be undone, things that once said can’t be unsaid.
Israelmore Ayivor, The Great Hand Book of Quotes|God calls big trees out of small seeds, so He prepares great monuments out of small minds. He will definitely call those wonderful things he put in you out of you. When He begins, do not resist!
Brent Weeks, The Blinding Knife|I'm afraid we were so eager to avoid war, we've made it all but certain.
Donna Lynn Hope|She was asked, “What do you see in him?”Taken aback, she replied, “What does he see in me?”Others too wondered why she chose him – not as handsome as the others, not one with a lot of possessions or even status, but little did they know, as little minds go, that she chose the one who wanted her most.
Sharon Draper|I do believe that if you haven't learnt about sadness, you cannot appreciate happiness.
Donald Pillai|Dwelling on a disappointing situation is like walking through drying cement; eventually you will get stuck. Instead make a mental note, picked yourself up and continued living life. #forward
Ted Cruz|Even today, when the Obama administration has liberalized travel to Cuba - and failed to reverse that liberalization when Alan Gross was imprisoned - there are limits.
Tim Pratt, Spell Games|B looked down the shaft, at a metal ladder and darkness beyond. "Me first?"Of course. You're the apprentice, so you always go first into the unknown. If anyone's going to be eaten by a grue, it should be you."Tough job. But at least the hours are terrible.
Benny Bellamacina|You can change your mind, don't let your mind change you
Scott Turow, Limitations|They say that even of a good thing you can have too much. But I doubt it. True, such good things as sunbathing, beer, and tobacco may be intemperately pursued to the detriment of their devotees; yet, to my mind, one cannot have too much of a good murder.
Karen Marie Moning, The Alpha Alternative: JZB Sex Scene|Sex either blows your fucking mind, or it’s not good enough.
Carol Shea-Porter|Chance alone is at the source of all novelty, all creation in the biosphere.
Elizabeth Craft, Bass Ackwards and Belly Up|Whatever her dream was, it rested somewhere in the most vague of directions.
Richard Parks Bland|If you deliver excellence right now, that gives you the best shot at the best future you've got coming.
Dan Santat, Are We There Yet?|To reteach a thing its loveliness is the nature of metta. Through lovingkindness, everyone & everything can flower again from within.
Ross Caligiuri, Dreaming in the Shadows|As her feet beat the concrete ground beneath them, her chest began to ache. It had been a long time since she had run at a full sprint. She was, quite literally, running for her life, and leaving everything she had known before behind. Regardless of her past experiences, here she was, blindly following a girl, who was virtually a stranger, because she had promised to lead Eleanor to safety.
Patrick  Hall, Blades in the Dark: The Guardians of Siva|Whether it be training, dieting, working out, or work ethic, for every great excuse "Not" to do something, there are 100 "better" reasons for you to do it.
Anna Held|Truth makes on the ocean of nature no one track of light; every eye, looking on, finds its own.
Dave Eggers, The Circle|There’s less need to slowly acclimate these guys to the tank,” Bailey said. “They’ll be food pretty soon, so their happiness is less important than the shark’s.
Fareed Zakaria|The best government rests on the people, and not on the few, on persons and not on property, on the free development of public opinion and not on authority.
Joel Salatin, Everything I Want to Do Is Illegal: War Stories from the Local Food Front|A farm includes the passion of the farmer's heart, the interest of the farm's customers, the biological activity in the soil, the pleasantness of the air about the farm -- it's everything touching, emanating from, and supplying that piece of landscape. A farm is virtually a living organism. The tragedy of our time is that cultural philosophies and market realities are squeezing life's vitality out of most farms. And that is why the average farmer is now 60 years old. Serfdom just doesn't attract the best and brightest.
Leah Stewart, The History of Us|She knows about the music stuff, but she doesn't care. That's why I didn't tell her about my job at the studio. She doesn't want make me want to be better, like you do. She doesn't get that it's scary... to want something so much and not be sure if you're good enough.
Sarah Dessen, The Truth About Forever|I don't get it,' Caroline said, bemused. 'She's the only one with wings. Why is that?'There were so many questions in life. You couldn't ever have all the answers. But I knew this one.It's so she can fly,' I said. Then I started to run.
James Purefoy|If you meet a girl, you meet a girl. It's normal, so if you exchange numbers, whatevs, it's cool.
Peter Zumthor|A vegetable garden in the beginning looks so promising and then after all little by little it grows nothing but vegetables, nothing, nothing but vegetables.
Kenneth de Guzman|They dig holes from time to time,' the Colonel explains. 'It is probably for them what chess is for me. It has no special meaning, does not transport them anywhere. All of us dig at our own pure holes. We have nothing to achieve by our activities, nowhere to get to. Is there not something marvelous about this? We hurt no one and no one gets hurt. No victory, no defeat.
Jamie Dimon|I tried out various experiments described in treatises on physics and chemistry, and the results were sometimes unexpected. At times, I would be encouraged by a little unhoped-for success; at others, I would be in the deepest despair because of accidents and failures resulting from my inexperience.
Michael McDowell|Someone once asked me what I thought horror fiction did. What its purpose was . . . I replied that when I wrote horror fiction, I tried to take the improbable, the unimaginable, and the impossible, and make it seem not only possible--but inevitable.
Vivienne Westwood|I played rugby for years, and I had a rugby jacket that I lost when I was 14. Somehow, my brother found it in storage 15 years later, and he gave it back to me for my 30th birthday. That was amazing and probably one of the best gifts I've ever received.
