Alex Hirsch, Gravity Falls: Journal 3|Life is totally unbelievable. Enjoy it at its fullest, with no regrets.
J.A. Ironside, I Belong to the Earth|Tangled onto the shuttle, we were being woven back and forth to create the same tapestry of despair and heartbreak and loss. It was so muchbigger than I could see before, and all I had done was stand at the centre of the web and feed it my anger and frustration and jealousy.
C. JoyBell C.|I find no importance in showing others that I am happy; it's not important to me that they know or think that I am happy but what is important to me is that I am happy. I am interested in being happy, not in making others think or know that I am.
Duane T. Gish|The difference between us and the papists is that they do not think that the church can be 'the pillar of the truth' unless she presides over the word of God. We, on the other hand, assert that it is because she reverently subjects herself to the word of God that the truth is preserved by her and passed on to others by her hands.
Lailah Gifty Akita|The spirit of life, the spirit of peace.
Diane Ackerman, One Hundred Names for Love: A Stroke, a Marriage, and the Language of Healing|You remember?' he said incredulously. 'What could you possibly remember?' he asked, staring at her, waiting for the answer.The beauty from within her soul shined brightly through her loving eyes as she looked deep into Noah’s now melting eyes.'I remember — I love you,' she said in a soft voice, nervously biting her lip.
Ayn Rand, The Fountainhead|..each remembered other moments, on a sleepless night, on an afternoon of steady rain, in a church, in an empty street at sunset, when each had wondered why there was so much suffering and ugliness in the world. They had not tried to find the answer and they had gone on living as if no answer were necessary. But each had known a moment when, in lonely, naked honesty, he had felt the need of an answer.
Kate Carlisle, Homicide in Hardcover|I had to say it gave me a warm feeling to picture Meredith Winslow spending twenty years or so in an ill fitting orange jumpsuit, cozying up to a great big girl named Beulah
Alain de Botton, The Architecture of Happiness|And human instinct is ancient and reliable, utterly mysterious and possibly capable of great genius. I believe that refined, fluent instincts are a person's most valuable asset. My own instincts have repeatedly guided me against the grain of logic and probability. When I have trusted and followed their direction, they have never been wrong. I don't know how or why. But I know that every significant experience-positive or negative-sharpens them and makes them more accurate.
Amy Grant|I can't tell you how scary it can be walking onto a movie and suddenly joining this family, it's like going to somebody else's Christmas dinner, everyone knows everyone, and you're there and you're not quite sure what you're supposed to be doing.
Julia Karr, XVI|I'm afraid to have a boyfriend. I don't know how to do that and not lose who I want to be. And I'm afraid of what it means to be close to a guy, a guy I might really like."There it was: the truth.
Fyodor Dostoyevsky, Crime and Punishment|People use words to do battle and to hurt one another terribly, tragically and even mortally.
Lailah Gifty Akita|What it is, it is.
John Patrick|There are some risks we choose to take because the benefits from taking them exceed the possible costs. Optimal behavior takes risks that are worthwhile. This is the central paradigm of finance: we must take risks to achieve rewards, but not all risks are equally rewarded.
Donna Lynn Hope|There are only two moments when everything is possible in this life," said Petrus, "when one drinks, and when one makes up stories.
Benjamin Franklin|Love is a portion of the soul itself, and it is of the same nature as the celestial breathing of the atmosphere of paradise.
Tara Gilesbie, My Immortal|I MAY BE A HOGWARTS STUDENT" Hargirid paused angrily. "BUT I AM ALSO A SATANIST!
L.L. Caulton|inspiration is not a thing, its every thing, open your eyes and inspiration is everywhere.
Marcus J. Borg, The God We Never Knew: Beyond Dogmatic Religion to a More Authentic Contemporary Faith|The point is not that Jesus was a good guy who accepted everybody, and thus we should do the same (though that would be good). Rather, his teachings and behavior reflect an alternative social vision. Jesus was not talking about how to be good and how to behave within the framework of a domination system. He was a critic of the domination system itself.
Gail Honeyman, Eleanor Oliphant is Completely Fine|When the silence and the aloneness press down and around me, crushing me, carving through me like ice, I need to speak aloud sometimes, if only for proof of life.
Ned Vizzini, It's Kind of a Funny Story|I ask the nurse wrapping up her dispensing duties if I need any meds, and she says I'm not scheduled for any. I ask her if I can have some. She asks what I need them for. I tell her, to deal with this crazy place. She says if they had pills for that, they wouldn't need places like this in the first place, would they?
Samuel P. Huntington|Here we are then, I was thinking, in a war to the finish between everything I love and everything I hate. Fine. We will win and they will lose. A pity that we let them pick the time and place of the challenge, but we can and we will make up for that.
Esmé Raji Codell|It's why I went into teaching in the first place. I like the sound of my own voice. Well that, and I am addicted to the smell of chalk and white-board markers.
William Shakespeare, King Lear|Mum, mum,He that keeps nor crust nor crumb,Weary of all, shall want some.
Amit Kalantri|People enjoy convincing others, if others are wrong they convince them towards right, if others are already right they still want to convince them towards wrong.
L.M. Montgomery, The Blue Castle|If the price I have to pay to see Jewish children playing without an armed escort are freeways across the desert and a take-a-way on every street corner throughout the Middle East, then I’m all for it.
Dada Bhagwan|When one does not like to have ‘underhand’, then automatically, he will not have a superior. That is its result.
Dennis Prager, Still the Best Hope: Why the World Needs American Values to Triumph|Our hope is a word and world of proud, independent nations that embrace their duties, seek friendship, respect others, and make common cause in the greatest shared interest of all: a future of dignity and peace for the people of this wonderful Earth.
Michael R. French, The Reconstruction of Wilson Ryder|Your life can end at any time, and it can end more than once. But it can also begin more than once.
Søren Kierkegaard, The Sickness Unto Death: A Christian Psychological Exposition for Upbuilding and Awakening|The more consciousness there is in such a sufferer who in despair wills to be himself, the more his despair intensifies and becomes demonic. It usually originates as follows. A self that in despair wills to be itself is pained in some distress or other that does not allow itself to be taken away from or separated from his concrete self. So now he makes precisely this torment the object of all his passion, and finally it becomes a demonic rage. By now, even if God in heaven and all the angels offered to help him out of it- no, he does not want that, now it is too late. Once he would gladly have given everything to be rid of this agony, but he was kept waiting; now it is too late, now he would rather rage against everything and be the wronged victim of the whole world and of all life, and it is of particular significance to him to make sure that he has his torment on hand and that no one takes it away from him- for then he would not be able to demonstrate and prove to himself that he is right. This eventually becomes such a fixation that for an extremely strange reason he is afraid of eternity, afraid that it will separate him from his, demonically understood, infinite superiority over other men, his justification, demonically understood, for being what he is.
Praveen Chenna|CHANGE is not to expect, it is certain -have Food and go to Bed
Katarina Johnson-Thompson|Smile, it is the key that fits the lock of everybody's heart.
Abhijit Naskar, Autobiography of God: Biopsy of A Cognitive Reality|Every brain on your planet generates its own beliefs. Just imagine, around seven billion human brains are generating seven billion unique beliefs at this very moment. Now imagine, what would happen, if all those seven billion humans start imposing their own beliefs on each other. The only thing that is going to come out of such inhuman attempt is chaos and eventually mass extinction. So, the only way to avoid such a catastrophic consequence is to be more compassionate about people’s beliefs.
Natalie Taylor|Every working mother has the things she dreads, things that keep her up in the night – pink eye, an ear infection, the parent-teacher conference, the school play – all forcing her to remind the people she works with that she is not, in fact, wholly devoted to business enterprises, but has another secret life. For me, the night terror is the 5 a.m. phone call from the nanny.
Judy Croome, Dancing in the Shadows of Love|No, Zahra, dear, no! Gentleness isn’t weakness.’ Her hand, suspended in midair, trembled with emptiness and fell to her side. ‘How easy it is to be bitter or angry; that’s when you’re at your weakest! But when you choose to be kind, to forget your hurt, that’s when you find within the greatest strength of all.’ She smiled, oh, a smile of such ancient wisdom, her face shone with love. She waited, but when I wouldn’t smile back, she walked past me.
Saru Singhal|No, I don't have a heart of gold. It's normal - the one that gets hurt by rude words and broken promises.
Jung-Myung Lee, The Investigation|Books were cities I'd never visited, filled with pillars of great thoughts and streets of phrases, mazes of abstruse sentence structures and alleys of complicated syllables. They were stores that displayed a wide range of things, punctuation twinkling like the crest of a venerable family, sentences breathing peacefully, words whispering.
Israelmore Ayivor, Michelangelo | Beethoven | Shakespeare: 15 Things Common to Great Achievers|A mentor is a person, an expert in a specific area of endeavour who trains, guides and observes a less experienced person to also become an expert through support, advice, and involvement in character building opportunities.
Dhruv Agrawal|When we turn 21,we begin to regret the sins we did not committed...
Petek Kabakci|SENSES, APPEARANCE, ESSENCE and EXISTENCEThe world we see with our senses are very different than the world we see through our essence. Our senses perceive the world of appearance. Our essence perceive the deeper layers of existence. The first step of perceiving the world of essence is not to have any goal other than to understand. "Understanding" has to be the ultimate goal. Then, we can solve the problems.
Sophocles, Oedipus Rex|Alas, how terrible is wisdomwhen it brings no profit to the man that's wise!This I knew well, but had forgotten it,else I would not have come here.
Ursula K. Le Guin, The Dispossessed|For capitalism to work, we all need one another.
Andie MacDowell|The physical DNA has always been part of our family. My dad was a good boxer and gymnast; my mum is a ballroom dancer, and my brother does martial arts.
Ivan Turgenev, On the Eve|Almost nine years later, I know that stars don’t burn forever, and even the brightest can shatter into a million, burning sparks before falling from the sky.
Goldy Moldavsky, Kill the Boy Band|Owen is Owen. No one gets to tell him how to live his life. Not you, not me, and not some author nobody. Owen gets to choose how his life story goes, and no one, let alone his idiot fictional self, gets to take that away from him.
Langston Hughes, Selected Poems|By erecting thirty thousand dams of significant size across the American West, they dewatered countless rivers, wiped out millions of acres of riparian habitat, shut off many thousands of river miles of salmon habitat, silted over spawning beds, poisoned return flows with agricultural chemicals, set the plague of livestock loose on the arid land--in a nutshell they made it close to impossible for numerous native species to survive.
Thomm Quackenbush, Pagan Standard Times: Essays on the Craft|They act as if their religion were a celestial gumball machine, taking no blame for personal failures because they won't manifest their will in the real world by working for their goals.
Israelmore Ayivor|If you want to wait till your black hairs turn grey and your teeth start pulling out before you become a leader, you are either too fast to prove your ignorance, or you are too late to know who you are made of.
Debasish Mridha|Death is the final dance of dreams, desires, loves and hopes.
Janine Burke, Nest: The Art of Birds|When I tell other Christians of my time with the goddess, I think they expect me to characterize it as a period in my life when I was misguided, and that I have now thankfully come back to both Jesus and my senses. But it's not like that. I can't imagine that the God of the universe is limited to our ideas of God. I can't imagine that God doesn't reveal God’s self in countless ways outside of the symbol system of Christianity. In a way, I need a God who is bigger and more nimble and mysterious than what I could understand and contrive. Otherwise it can feel like I am worshipping nothing more than my own ability to understand the divine.
stephanie   roberts, As We Are|Baby, don't build a monument for me of your sadness. You wouldn't have wasted your tears when I was alive. Why make an ocean of them now when it's over? The future you dreamed is a dream. Dream something else.
N.T. Wright, For All the Saints: Remembering the Christians Departed|Death is the start of a beginning, life is the start of the end, and the cycle continues forever." AFTERLIFE - TIM I GURUNG/AUTHOR
Enid Bagnold|Marriage helps young couples to raise themselves towards God. The bond of marriage unites two souls so firmly that though they are physically two separate entities, their souls are merged into one harmonious whole.
Efdal Korkmaz|I didn’t want to dream of you anymore, so I quit sleeping.
David Ferrers M Nlp, Swap: The Brief Book That Enables Busy People to Change and Succeed|With each day that our huge ship was on the ocean, my sense of being further and further away from my loved ones, my home, and my environment grew stronger.
Lailah Gifty Akita|All times are treasureable; the times of prosperity, and times of adversity,
Jodi Picoult, Between the Lines|It’s amazing how many different roads we can take, but they all lead home.
Jimmy Rushing|It doesn't matter how successful you are in this business, it's tough to get through the next door.
Simone de Beauvoir, The Second Sex|Art, literature, and philosophy are attempts to found the world anew on a human freedom: that of the creator; to foster such an aim, one must first unequivocally posit oneself as a freedom. The restrictions that education and custom impose on a woman limit her grasp of the universe...Indeed, for one to become a creator, it is not enough to be cultivated, that is, to make going to shows and meeting people part of one's life; culture must be apprehended through the free movement of a transcendence; the spirit with all its riches must project itself in an empty sky that is its to fill; but if a thousand fine bonds tie it to the earth, its surge is broken. The girl today can certainly go out alone, stroll in the Tuileries; but I have already said how hostile the street is: eyes everywhere, hands waiting: if she wanders absentmindedly, her thoughts elsewhere, if she lights a cigarette in a cafe, if she goes to the cinema alone, an unpleasant incident can quickly occur; she must inspire respect by the way she dresses and behaves: this concern rivets her to the ground and self. "Her wings are clipped." At eighteen, T.E. Lawrence went on a grand tour through France by bicycle; a young girl would never be permitted to take on such an adventure...Yet such experiences have an inestimable impact: this is how an individual in the headiness of freedom and discovery learns to look at the entire world as his fief...[The girl] may feel alone within the world: she never stands up in front of it, unique and sovereign.
David Baldacci, The Camel Club|I remember my father telling me about England’s redrawing of India’s boundaries when it became independent. They wanted to separate the Hindu from the Muslim, but they used outdated maps. Twelve million people had to relocate because the Brits screwed it up so badly. And a half million people died during the resulting chaos. And before that, Iraq was unilaterally cobbled together, causing many of the conflicts we see today. There are dozens of such examples. The strong countries smashing the weaker ones and then avoiding responsibility later for the very problems they caused.”“You keep proving my point, Tom, that we’re rotten to the core.”“My point is we never learn!
Michael Specter|President Obama has almost doubled our national debt to more than $19 trillion, and growing. And yet, what do we have to show for it? Our roads and bridges are falling apart, our airports are in Third World condition, and forty-three million Americans are on food stamps.
Albert Camus|I grant we should add a third category: that of the true healers. But it is a fact one doesn't come across many of them, and anyhow it must be a hard vocation. That's why I decided to take, in every predicament, the victim's side, so as to reduce the damage done. Among them I can at least try to discover how on attains to the third category; in other words, to peace.
Isaac Asimov, Foundation|I shall not be alive a half decade hence,” said Seldon, “and yet it is of overpowering concern to me. Call it idealism. Call it an identification of myself with that mystical generalization to which we refer by the term, ‘man.
Dada Bhagwan|In this world, all that which is on the outside, is also within! Faults that are seen on the outside [in other people] are the very faults that lie within [our own self]. The universe (Brahmand) that is on the outside is also within. When matters are settled with everyone on the outside, everything within will get settled. Thereafter none within will have complaints.
Stephenie Meyer, Twilight|And third, I was unconditionally and irrevocably in love with him
Miley Cyrus|In Chicago, you have an absence of strong family units, and that absence gets filled by gangs. You have a failure in the school system, after-school programs and other social programs to help keep kids off the streets. Amnesty International speaks to that in some way, by keeping these issues in the forefront.
Bill Burr|When I approach a band, I want to respect them and be respectful of their music. I'm not gonna say, 'Look, you guys are real hot, so we'll stick you in the movie, and we'll get it in all these stores and all these stations.' That isn't right.
Rodolfo Costa, Advice My Parents Gave Me: and Other Lessons I Learned from My Mistakes|Learn to love someone when they least deserve it, because that is when they need your love most.
Shauna Cross, Derby Girl|Most wives fuck their husbands, just to ensure financial support. Marriage is just a form of legalized prostitution, when you really thought about it.
Robin Hobb, Golden Fool|Strange, how being left out of a secret always feels like a betrayal of trust.
Roy T. Bennett, The Light in the Heart|Take responsibility of your own happiness, never put it in other people’s hands.
Ogwo David Emenike|There is no good envy, except the one that motivates us to reach higher goals and be better than the person we were yesterday.
Kudakwashe Mazendame|We hope you have found challenge in your path this morning.” -- Laniel, Abbot of Bilkar the Furred
Orison Swett Marden|There's always the motivation of wanting to win. Everybody has that. But a champion needs, in his attitude, a motivation above and beyond winning.
Cassandra Clare, City of Ashes|Don’t be with him, don’t want him, don’t go with him. Be with me. Want me. Stay with me.I don’t know how to be without you.
Anthony Liccione|Water shrinks wool, urgency shrinks time.Shrinkage may be an advantage or the reverse, according to expectation.
Phil Robertson|Honestly, I didn't have the patience for biology or history in an academic sense, but I always liked the kind of big questions.
Roland Barthes, The Neutral: Lecture Course at the Collège de France, 1977-1978|Don’t bleach language, savour it instead. Stroke it gently or even groom it, but don’t “purify” it.
George Stamatis|To be in a Community means working together to create a better community that responds to everyone's needs. Regardless of age, background or past mistakes, we need to be able to accept and transcend differences; whether from a different region, we need to enable people to communicate openly and effectively to help improve their community. An uncommon sense of safety is necessary if we are to work together towards common goals, a feeling of trust and belonging to this community, and this is what we must fight for. The moment we stop fighting for the needs of our community, that's the moment we lose the sense of community.
Osho, Learning to Silence the Mind: Wellness Through Meditation|Meditation is simply awareness without any effort, an effortless alertness; it does not need any technique. But your mind is so full of thoughts, so full of dreams, so much of the past, so much of the future—it is not here and now, and awareness has to be here and now. The techniques are needed to help you to cut your roots from the past, to cut your dreams from the future, and to keep you in this moment as if only this moment exists. Then there is no need of any technique. After Shiva’s Vigyan Bhairava Tantra, in these five or ten thousand years, nobody has developed a single method. The cathartic methods are simply to throw all your impatience, your speediness, your hurry, your repressions.
Toba Beta, Betelgeuse Incident: Insiden Bait Al-Jauza|I tell you about a fact and truth. In physical reality of matter, there's no such thing as an imaginary spirit nor spiritual ghost. They are also made of matter, but totally different in size andlaws of physics which rule their life and the way they interact.
Andre Agassi|I stand and feel an overpowering urge to forgive, because I realize that my father can't help himself, that he never could help himself, any more than he could understand himself.
|No matter how great my strategy is and how hard I work to accompish a task, I always give God the glory because I am fully aware that nothing is possible without His heavenly grace.
Ayn Rand|I know no one is perfect, that behind every facade of perfection is a writhing mess of subterfuge and secret sorrows... but even taking that into account, Noah was pretty much perfect.
Thomas Hardy, A Pair of Blue Eyes|You ride well, but you don't kiss nicely at all.
Jojo Moyes, The Last Letter from Your Lover|You know, you can't make someone love you again. No matter how much you might want it. Sometimes, unfortunately, the timing is simply... off.
Alan M. Dershowitz|I am not frightened of my beliefs. If there is a God who is threatening me with damnation because I don't believe in Him, so be it. I've lived my life in conscience, and I will suffer damnation willingly in conscience against a tyrannical God who would damn me because, on the basis of the intelligence He gave me, I have come to a conclusion doubting His existence, and I will continue to be a skeptic all of my life.
Ron Baratono, The Writings of Ron Baratono|If we occupy our minds with self-loathing or negative thoughts, then maybe we don’t have enough to do.
John  Holliday, Mission to China: How an Englishman Brought the West to the Orient|Conventional wisdom tells us not to dwell in the past. I believe, however, that we should hold hands with it.
Susie Orbach|My plant-based diet plus fish is to credit for my low blood pressure, high energy, and robust immunity.
Ford Madox Ford, Parade's End|Well, God be with you,’ she said as she finally left him. ’I’m sure He is,’ he replied. She gave a start. ’Are you certain of that?’’He has every reason to be. Obviously He’s Lord over all Creation, but it can’t be anything special to be god of animals and mountains. It’s really us human beings that make Him what He is. So why shouldn’t He be with us?’Having delivered this impressive speech, Rolandsen looked rather pleased with himself. The curate’s wife would be puzzling over him as she walked home. Ha-ha, it was not so surprising that the little dome resting on his shoulders should have made such a great invention after all! But now the cognac had arrived.
Paul Hollywood|When you're a crime reporter, you see the nub of what life's about, and you don't have much patience for the falsity of politics.
Dan Brown, The Lost Symbol|Knowledge is power, and the right knowledge lets man perform miraculous, almost godlike tasks.
Chris     Murray, Selling with EASE: The Four Step Sales Cycle Found in Every Successful Business Transaction|For all salespeople - Driving around and talking to people for a living, with no recognisable return for the time or money spent by your employer - is a job description that belongs in the past.
William S. Burroughs, Naked Lunch|Your whole life, you are told what is right and what is wrong. What you should do and what you should not do. What makes a good citizen and what makes a traitorous one. What happens, then, when you do everything you are not meant to do? Break down each and every barrier? Find out how good you are by how evil you can be?
Sarah Vowell, Lafayette in the Somewhat United States|In the United States, there was no simpler, more agreeable time.
Bandile M Matsenjwa|She told me that I need to forget about us, everything that came to lfie wasn't meant to be, all was a mistakeBut how?How can it be a mistake that I always took her to the Lord on my knees?
Kate Willis, The Treasure Hunt|As they ran to the barn and began the careful climb up the steep ladder, Lily realized she had accidentally put on snow boots in her hurry. When they reached the top, the quiet hush of the still hayloft gave them that whisper-in-the-library feeling.
John Howard Yoder, When War is Unjust: Being Honest in Just-War Thinking|Nonviolent action on behalf of justice is no automatic forumla with promise of success: but neither is war. After all, at least half of the people who go to war for some cause deemed worthy of it are defeated.
Onyi Anyado|Entrepreneur, if your distinction isn't angering the mediocre, it's actually mediocre.
Pico Iyer|We travel, initially, to lose ourselves; and we travel, next to find ourselves. We travel to open our hearts and eyes and learn more about the world than our newspapers will accommodate. We travel to bring what little we can, in our ignorance and knowledge, to those parts of the globe whose riches are differently dispersed. And we travel, in essence, to become young fools again- to slow time down and get taken in, and fall in love once more.
Faith Hunter, Blood Trade|Those who consider the inessential to be essential And see the essential as inessential Don't reach the essential, Living in the field of wrong intention
Debasish Mridha|All that matters in life is that you are happy with where you are, what you are, and with whom you are. Everything around you will be happy and smile with you. If that isn’t success, then what is?
Mother Teresa|It is not fitting, when one is in God's service, to have a gloomy face or a chilling look.
Ayn Rand, The Fountainhead|Be patient toward all that is unsolved in your heart and try to love the questions themselves, like locked rooms and like books that are now written in a very foreign tongue. Do not now seek the answers, which cannot be given you because you would not be able to live them. And the point is, to live everything. Live the questions now. Perhaps you will then gradually, without noticing it, live along some distant day into the answer.
Dorothy Gilman, A Nun in the Closet|Man is the bridge of good as much as evil. He hurts and he loves. He divides and he unites. He destroys and he rebuilds. He kills and he saves lives. Yet, he denies or pretends that he does not know the other side of him. He only knows of himself as the protagonist, the righteous, and the honorable one. Others, who do not belong to his fold, are the villains, the devils, and the low-life beings. Ironically, the less he knows of his other self the more he becomes what he derides and denigrates. He is the tragic paradox of what he claims to be despite the evidence of his action that proves otherwise. (Danny Castillones Sillada, Man: The Paragon of All Paradoxes)
Hugh Sidey|The point about a great story is that it's got a beginning, a middle and end.
George Harrison|Give me loveGive me loveGive me peace on earthGive me lightGive me lifeKeep me free from birthGive me hopeHelp me cope, with this heavy loadTrying to, touch and reach you with,heart and soul
Linda Howard, Mr. Perfect|I’m Sam Donovan.”  “I know who you are. Mrs. Kulavich told me. I’m Jaine Bright.”  “I know. She told me. She even told me how you spell your name.”  Now, how on earth had Mrs. Kulavich known that?
Jeff VanderMeer, Wonderbook: The Illustrated Guide to Creating Imaginative Fiction|People with character are capable of long obedience in the same direction, of staying attached to people and causes and callings through thick and thin. People with character also have scope. They are not infinitely flexible, free-floating, and solitary. They are anchored by permanent attachments to important things. In the realm of the intellect, they have a set of permanent convictions about fundamental truths. In the realm of emotion, they are enmeshed in a web of unconditional loves. In the realm of action, they have a permanent commitment to tasks that cannot be completed in a single lifetime.
Thomas Watson|We should pray that God would enrich his ordinance with his presence; that he would make the sacrament effectual to all those holy ends and purposes for which he hath appointed it; that it may be the feast of our graces, and the funeral of our corruptions; that it may not only be a sign to represent, but an instrument to convey, Christ to us, and a seal to assure us of our heavenly jointure [union].
Edith Hamilton|Euripides "questioned everything. He was a misanthrope who preferred books to men.
Martin Chemnitz|I am convinced we shall succeed. I have faith in this country, because I have faith in its people.
Christopher Zzenn Loren, Unspirituality: Permission to Be Human|Separating one's “self” physically from the world (as an unseen entity) alienates the human being from the facts of a sensual world and its realities. In order to have a self, you must provide a story for that self. Whether it is the tale of past pain or future fears the etheric self requires a story because it is hitchhiking on the natural.
Lorrie Moore, Anagrams|In the Dictionary 'lumpy jaw' comes just before 'lunacy,' but in life there are no such clues. Suddenly, for no reason, you might start to dribble from the mouth, to howl peevishly at the moon. You might start quoting your mother, out loud and with conviction. You might lose your friends to the most uninspired of deaths. You might one day wake up and find yourself teaching at a community college; there will have been nothing to warn you. You might say things to your students like, There is only one valid theme in literature: Life will disappoint you.
Terry Goodkind, Faith of the Fallen|Honor is honesty to what is, not blind duty to what you wish to be.
Mohamed Latiff Mohamed, The Widower|They will try to ascribe a purpose to my death, as though it were a punishment, but don’t you do so, in order that I continue to live in all the shadows of your longing. I will always be in your sleep and your wakefulness. I will be with you praying, propitiating and yearning for you, in sadness, in sorrow, in dismay and in the most profound happiness.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|If you hold a candle close to you, its flame rises. And if you hold it away from you, its flame shrinks. The same way you hold a candle close to you, keep all your plans, aspirations, projects, and dreams close to you too. Do not share your plans or goals until you complete them, because as you hold your candle away from you — envy, jealousy, and resentment may put out your flame before it grows.
Sun Tzu|The soldier above all others prays for peace, for it is the soldier who must suffer and bear the deepest wounds and scars of war.
Monica Dickens|Life was like a jigsaw, but if you tried to fit the pieces together yourself, you generally got them wrong. Pierre had money; she needed money. Pierre was lovable and loved her; she would marry him. She had thought that was the pattern the pieces made. But it had been like trying to force two pieces together that didn't fit, and then, suddenly, the jigsaw had been done, in quite a different way, by other hands.
Amado Nervo|Amé, fuí amado, el sol acarició mi faz.¡Vida, nada me debes! ¡Vida, estamos en paz!I loved, I was loved, the sun stroked my face.Life, you owe me nothing! Life, we are at peace!
Ellen J. Barrier|Everyone that steps on to the ladder of success must have hope. Without it, no one is able to reach the top.
Scott Stabile|He had no idea how to deal with the staggering amount of grief he felt, so he looked to the sun and blinded himself with its light.
Joseph Murphy|God is the source of my supply. His riches flow to me freely, copiously, and abundantly. All my financial and other needs are met at every moment of time and point of space; there is always a divine surplus.
Ernest Agyemang Yeboah|If we do not accept our challenges and remain in our comfort zone, then we undergo degradation
David Joseph Cribbin, Father Crow and Other Poems|And I howled at that swarm and the crops and the sky, and the stars should have quit because there weren't no reason to be shining.
Gordon Neufeld|If you ever start feeling like you have the goofiest, craziest, most dysfunctional family in the world, all you have to do is go to a state fair. Because five minutes at the fair, you'll be going, 'you know, we're alright. We are dang near royalty.'
Stephen King, 'Salem's Lot|There is no life here but the slow death of days, and so when the evil falls on the town, its coming seems almost preordained, sweet and morphic. It is almost as though the town knows the evil was coming and the shape it would take.
Archibald Marwizi, Making Success Deliberate|Do not plan to die, do not plan for the death of your name or your influence - rather, plan for the resting of a life well lived. Make an eternal mark.
Matisyahu|Political consultants are pugilists, masters in the dark art of negativity. Which is why it's surprising to hear Democrats such as Steve McMahon and Republicans like Rich Galen urging their presidential candidates to be more, well, positive.
Mark F. LaMoure|In life, we tend to get what we expect. Start expecting the best for yourself. Since life is a do-it-to-yourself project, why not choose to believe in miracles? You have the freedom of choice. Why not expect miracles to happen to you? Change your thinking, to change your life. To do it, write your goals, work hard and expect miracles for the best of success.
Soraya Diase Coffelt|The festive season isn’t just a time to teach children about Jesus and giving, it’s also a time to teach your children about those less fortunate. This year, encourage your children to pick a present and give it to a child who has none, or take them to a charity drive.
Sonia Sotomayor|I would bend over backward to be back on Grey's. Any day, I'll choose lying in bed with Katherine Heigl looking over me over getting thrown against walls by supernatural persons at 5 in the morning.
C. JoyBell C.|The fact that it has nothing else to contribute to human wisdom is no reason to hand religion a free licence to tell us what to do. Which religion, anyway? The one in which we happen to have been brought up? To which chapter, then, of which book of the Bible should we turn—for they are far from unanimous and some of them are odious by any reasonable standards. How many literalists have read enough of the Bible to know that the death penalty is prescribed for adultery, for gathering sticks on the sabbath and for cheeking your parents? If we reject Deuteronomy and Leviticus (as all enlightened moderns do), by what criteria do we then decide which of religion's moral values to accept? Or should we pick and choose among all the world's religions until we find one whose moral teaching suits us? If so, again we must ask, by what criterion do we choose? And if we have independent criteria for choosing among religious moralities, why not cut out the middle man and go straight for the moral choice without the religion?
Charles R. Drysdale|A revolution is taking place within her, as though a lifetime's experience could be outdistanced in the span of a conversation.
Daniel Kahneman|Most important, of course, we all care intensely for the narrative of our own life and very much want it to be a good story, with a decent hero.
Leah Hager Cohen, I Don't Know: In Praise of Admitting Ignorance|A number of small decisions, each appearing insignificant in the moment and made in isolation of one another, can result in a negative outcome.
D'Brickashaw Ferguson|In the 20 long, hungry years between my late teens and late 30s I bought in to virtually every new diet and/or exercise regime that hoved into view, particularly at this most vulnerable time for those of us prone to poor body image - a new year.
Tara Taylor Quinn, A Child's Wish|I don't know how to be anything but pretend," I replied, and it ached in me how true that really was. "But if I could be real, I'd be real for you.
Neil Gaiman|The world is full of all sorts of brilliant stuff and I haven't found out all about it yet, so I don't want anyone messing it about or endin' it before I've had the chance to find out about it.-Adam to DEATH & the 4 horsepeople of the Apocalypse
Fulton J. Sheen, Life of Christ|Head knowledge is worthless, unless accompanied by submission of the will and right action.
P. J. O'Rourke|Politics is a necessary evil, or a necessary annoyance, a necessary conundrum.
Ika Natassa, A Very Yuppy Wedding|So please, just let me be egocentric and ask you to stay.
Geoffrey Wood|I say “illusion” of choice because, in many cases, the nature of their choices hardly reaches the level of will, but of merely perfunctory activity. For the most part, their desires are not too strong, they are too weak, apathetic and easily placated. They often can be tempted into doing Nothing.
Cassandra Clare, City of Heavenly Fire|It was a symposium of horror and heroism, the like of which has not been known in the civilized world since man established his dominion over the sea.
Richelle E. Goodrich, The Tarishe Curse|Dress the part! Invent and pretend to your heart’s content! Act, sing, and dance while everyone’s watching! The world’s a stage, remember?
Alex Levine|Only Irish coffee provides in a single glass all four essential food groups: alcohol, caffeine, sugar and fat.
Leigh Hershkovich|Oh Josie," Samuel sighed gently. "Your heart is too tender for your own good.""I don't usually cry like this, Samuel. Geez, it's been years since I've cried like this. Since you've been back I can't seem to stop. It's like a cloud has burst inside me, and I'm caught in a constant downpour""Come here, Josie," Samuel said, and when I slid over next to him he kissed me gently on the forehead and smoothed my hair from my damp cheeks. "Well then, maybe you should go ahead and just let it rain for a while"And so I did.
Thich Nhat Hanh, The Miracle of Mindfulness: An Introduction to the Practice of Meditation|When a feeling or thought arises, your intention should not be to chase it away, even if by continuing to concentrate on the breath the feeling or thought passes naturally from the mind. The intention isn't to chase it away, hate it, worry about it, or be frightened by it. So what exactly should you be doing concerning such thoughts and feelings? Simply acknowledge their presence.
Betsy Cornwell, Tides|You're a freaking pschopath," I said, but he only chuckled."I don't expect you to understand, little bird," He turned toward me fully, fingering his blade and smiling. "I expect you only to sing. Sing for me, sing for Kanin, and make it a glorious song
