Darnell Dockett|My fans are definitely my shareholders, and I'm extremely thankful for them.
Deyth Banger|In life, never lose hope that you are nearing a dead end, Only when you reach the end of the road you realize a road to its left and to its right.
Hannah Harrington, Saving June|These songs tell me I'm not alone. If you look at it that way, music...music can see you through anything.
Rick Warren, The Purpose Driven Life: What on Earth Am I Here for?|This felt real. This felt like the moons had aligned and the stars were shining in our favor and every breath was ours, every touch was right. This felt like eternity in a blink, like our lives unraveled and spun together, like the convergence of always and never and every step I've ever taken and every pain I've ever endured lead to that moment.
Summer Sanders|Never stop fighting until you arrive at your destined place - that is, the unique you. Have an aim in life, continuously acquire knowledge, work hard, and have perseverance to realise the great life.
Israelmore Ayivor, Leaders' Watchwords|With a positive attitude, obstacles ahead of you have two options; either they give way for you to pass or they remain as you bore a hole through them and find your way. A leader with a positive attitude never gives up!
Maurice Merleau-Ponty|Science and philosophy have for centuries been sustained by unquestioning faith in perception. Perception opens a window on to things. This means that it is directed, quasi-teleologically, towards a *truth in itself* in which the reason underlying all appearances is to be found. The tacit thesis of perception is that at every instant experience can be co-ordinated with that of the previous instant and that of the following, and my perspective with that of other consciousnesses—that all contradictions can be removed, that monadic and intersubjective experience is one unbroken text—that what is now indeterminate for me could become determinate for a more complete knowledge, which is as it were realized in advance in the thing, or rather which is the thing itself. Science has first been merely the sequel or amplification of the process which constitutes perceived things. Just as the thing is the invariant of all sensory fields and of all individual perceptual fields, so the scientific concept is the means of fixing and objectifying phenomena. Science defined a theoretical state of bodies not subject to the action of any force, and *ipso facto* defined force, reconstituting with the aid of these ideal components the processes actually observed. It established statistically the chemical properties of pure bodies, deducing from these those of empirical bodies, and seeming thus to hold the plan of creation or in any case to have found a reason immanent in the world. The notion of geometrical space, indifferent to its contents, that of pure movement which does not by itself affect the properties of the object, provided phenomena with a setting of inert existence in which each event could be related to physical conditions responsible for the changes occurring, and therefore contributed to this freezing of being which appeared to be the task of physics. In thus developing the concept of the thing, scientific knowledge was not aware that it was working on a presupposition. Precisely because perception, in its vital implications and prior to any theoretical thought, is presented as perception of a being, it was not considered necessary for reflection to undertake a genealogy of being, and it was therefore confined to seeking the conditions which make being possible. Even if one took account of the transformations of determinant consciousness, even if it were conceded that the constitution of the object is never completed, there was nothing to add to what science said of it; the natural object remained an ideal unity for us and, in the famous words of Lachelier, a network of general properties. It was no use denying any ontological value to the principles of science and leaving them with only a methodical value, for this reservation made no essential change as far as philosophy was concerned, since the sole conceivable being remained defined by scientific method. The living body, under these circumstances, could not escape the determinations which alone made the object into an object and without which it would have had no place in the system of experience. The value predicates which the reflecting judgment confers upon it had to be sustained, in being, by a foundation of physico-chemical properties. In ordinary experience we find a fittingness and a meaningful relationship between the gesture, the smile and the tone of a speaker. But this reciprocal relationship of expression which presents the human body as the outward manifestation of a certain manner of being-in-the-world, had, for mechanistic physiology, to be resolved into a series of causal relations.”—from_Phenomenology of Perception_. Translated by Colin Smith, pp. 62-64—Artwork by Cristian Boian
Toru Takemitsu|I didn't really want to be a teacher, but there was nothing else I could be. Most of those who went to the university became teachers. It was just the racial restriction on Africans.
Steven Wright|I watched the Indy 500, and I was thinking that if they left earlier theywouldn't have to go so fast.
John Buchan|Where I am today... I still have my ups and downs, but I take it one day at a time and I just hope that I can be the best that I can possibly be, not only for myself, but also young people that are out there today that need someone to look up to.
Fulton J. Sheen, Fulton Sheen's Wartime Prayer Book|God’s side is determined not by geography, but by those who do His will. If Germans, English, Japanese, and Americans prayed right, they would all be praying for the same intention: Thy Will be done on earth as it is in Heaven. And what is that Will? The reign of Justice and Charity in the hearts of men. Through a prayerful contemplation of war we will see not soldiers of different nations in combat, but one great family, quarreling, fighting, wounding, and all in need of the peace and charity of Christ which we hope to obtain by our supplications.
Laura Gentile, Seraphic Addiction|Stretch out your tongue and let the words drip on the world like savage shooting muses, never, never to be forgotten, if once fallen on earth, they stand in glittery defloration.
Francis A. Schaeffer|This boy was so far out of my league it was embarrassing. I found myself staring at him, trying to find some minute flaw that might justify dragging him back to my level. Finding nothing, I decided that having a dimple on only one cheek was practically a deformity.
A.S. Byatt, Possession|Bookshelves stood against the four walls. They were shapely and well made, but were all second-hand; Hetty had picked them up on visits to Chesterbourne. She liked her shelves to have personality, as well as the books on them, and thought it would have been simpler to order shelves to be fitted around the room, or to buy those bookcases that grow with the growth of their library, she had stood firm against the amusement of Victor and the irritation of her aunt, and had the shelves she wanted.
Harshvardhan Malpani|You can either go home with enough money or enough excuses, but not both!
B.W. Powe, Towards a Canada of Light|Each voice carries a portion of value, no matter how unpalatable or distasteful that voice may be: no one person, government, ideology, transnational, or religious institution can own and dominate the whole.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Book Excerpt:"What about your family, Abu Huwa? Are you an orphan?” the little girl very innocently asked the Sphinx.“My father and your father are one and the same. However, I do have a brother who has stood as my mirror throughout time on the opposite horizon. It is I who faces east, but it is he who faces west. I am the recorder of yesterday and he holds the records of tomorrow. I am the positive, and he is my negative. I carry the right eye of the sun and he carries the left eye of the moon. He keeps his eye on the underworld and I keep an eye on the world over. Together we have joined the sky and earth, and split fire and water.”Seham stood on all toes to peek over the Sphinx's shoulder for a sign of his brother. “Where is he?” she asked, her eyes still searching the open horizon.“He has yet to be uncovered, but as I stand above the sands of time, he still sleeps below. Before the descent of Adam, we have both stood as loyal Protectors of the Two Halls of Truth.”The girl asked in astonishment, “I've never heard of these halls, Abu Huwa. Where are they?”“At the end of each of our tails is a passage that will reveal to you the secrets of Time. One hall reflects a thousand truths, and the other hall reflects all that is untrue. One will speak to your heart, and the other will speak to your mind. This is why you need to use both your heart and mind to understand which one is real, and which is a distorted illusion created to misguide those that have neglected their conscience. Both passageways connect you to the Great Hall of Records.”“What is the Hall of Records?”“The Great Pyramid, my child. It is as multidimensional in its shape as it is in its purpose. Every layer and every brick marks the coming of a prophet, the ascension of evil, or another cycle of man. It contains the entire history and future of mankind. And, as is above, so is below. Above ground, it serves as the most powerful energy source to harmonize and power the world! The shape of the pyramid above ground is also the same image mirrored beneath it. Underground, it serves as a powerful well and drain. This is really why Egypt is called the Land of Two Lands. There exists a huge world of its own underneath the plateau, a world within worlds. Large amounts of gold, copper and mercury were once housed here, including the secrets of Time, the 100th name of He Who Is All, and a gift from Truth that still awaits to be discovered. It sleeps with Time in the Great Pyramid, hidden away in a lower shaft that leads to the stars.”Dialogue from 'The Little Girl and the Sphinx' by Suzy Kassem, Rise Up and Salute the Sun (Dar-El Shams, 2010)
Sitting Bull|Because of indifference, one dies before one actually dies.
Michel Houellebecq, The Elementary Particles|Let us have wine and woman, mirth and laughter,Sermons and soda water the day after.Man, being reasonable, must get drunk;The best of life is but intoxication:Glory, the grape, love, gold, in these are sunkThe hopes of all men, and of every nation;Without their sap, how branchless were the trunkOf life's strange tree, so fruitful on occasion:But to return--Get very drunk; and whenYou wake with head-ache, you shall see what then.
Viet Thanh Nguyen|No one asks poor people if they want war. Nor had anyone asked these poor people if they wanted to die of thirst and exposure on the coastal sea, or if they wanted to be robbed and raped by their own soldiers.
Brian Awehali|The darkest things of this world nestle inseparable from, and do not eclipse, its equally boundless graces and glories.
Sam Savage, Firmin: Adventures of a Metropolitan Lowlife|It is practically an axiom in psychiatry that precocious intellect combined with physical weakness can give rise to many unpleasant character traits - avarice, delusions of grandeur , and obsessive masturbation, to name just a few. 
Michael Shermer|I learn my lines while on the golf course. I try to do two or three things at once. I have ideas for books all the time, I have ideas for paintings all the time, and I write them all down. I take my sketchpad and my iPad, which I design on, and I do sit down and do specific tasks at specific times.
Larry Brown, Big Bad Love|...and all the people said 'What a shame that he's dead, but wasn't he a most peculiar man?
Anaïs Nin|For too many centuries women have been being muses to artists. I wanted to be the muse, I wanted to be the wife of the artist, but I was really trying to avoid the final issue — that I had to do the job myself.
Marcel Proust, The Guermantes Way|She came downstairs like a doe stepping into a clearing on the first day of hunting season. I felt like a coward. I was lower than dirt. I had used every trick in my book to get her to come downstairs. I had manipulated her emotions, cheated and wormed to beat her at this game we were playing. But then I saw her, and I was so happy. I knew I would have burned the building down for the sight of her running toward me out of the flames.
Steven Magee|The Mauna Kea night shift was an 18 hour night in wintertime at the 13,796 feet summit (before sunset to after sunrise) with insufficient time for adequate sleep before the next night shift. Night shift was between 5 and 8 nights long and we slept at 9,200 feet. We sat at a desk staring at four large computer monitors and a large cathode ray tube television. I would also use my Wi-Fi laptop computer. I would have extreme fatigue by the end of every night shift and have chapped lips which I now associate with exposure to the artificial light from the computer screens. A good day of sleep between shifts was rare and starting the next shift fatigued was normal.
Jaeda DeWalt|Creativity connects me to my truest self and vulnerability. There is nothing more personally liberating, than reaching for my face and peeling off the social mask that hides my; shadow self, pain and weakness. When i produce from this place of truth, the results transform both creator and beholder.
Mayur Ramgir|We don’t always like what’s good for us,” she said. “Especially at first.
Noam Chomsky, Class Warfare: Interviews with David Barsamian|How did we get here? My own suspicion is that we are looking at the final effects of the militarization of American capitalism itself. In fact, it could well be said that the last thirty years have seen the construction of a vast bureaucratic apparatus for the creation and maintenance of hopelessness, a giant machine designed, first and foremost, to destroy any sense of possible alternative futures. At its root is a veritable obsession on the part of the rulers of the world - in response to the upheavals of the 1960s and 1970s - with ensuring that social movements cannot be seen to grow, flourish, or propose alternatives; that those who challenge existing power arrangements can never, under any circumstances, be perceived to win.
John Maynard Keynes|We want people to represent us in politics—and in love and economics too. When people represent us fully, they are ourselves and are not ourselves. When an object is simultaneously the same as and different from the person concerned with it—or considering it—aesthetics is there.
David Levithan, How They Met, and Other Stories|There’s something so beautiful about people who are heartbroken; they think about how they’re feeling much more. I think when you’re happy and when you’re in love, you don’t need to think about it, it’s just there. Love is one of those things that is so simple, you don’t need to think about it when it’s good, you only need to think about it when it’s bad, so when music is all that you have and you’re lonely or you’re missing someone and you write a song that says exactly how you feel, there is sort of a gratification you get from that, it almost helps you move on.
Ulrich Beck|I remember when I first started in the business, I lost a lot of friends. Some were jealous, some were annoyed at the fact that I was an actress.
Chris Mentillo|From the very core of each of them, their ancestors seemed to cry out in inarticulate voices. right then, they screamed in alarm from times before symbols and language could depict such things that hunted and meant murder.
Larken Rose|Dear Anarcho-Communist,If you and I ever find ourselves in a stateless society, have no fear. Just mention that you are a communist, and I promise I will never try to "oppress" and "exploit" you by offering to trade with you, or by offering to pay you to do work.Sincerely,Larken Rose
Bangambiki Habyarimana, Pearls Of Eternity|If you aren't destroying your enemies, it's because you have been conquered and assimilated, you do not even have an idea of who your enemies are. You have been brainwashed into believing you are your own enemy, and you are set against yourself. The enemy is laughing at you as you tear yourself to pieces. That is the most effective warfare an enemy can launch on his foes: confounding them.
Marcus G Monroe|To my fellow authors heed these words with much importance, " It is redundant for a true writer to sell their soul for literary fame, since the soul is a writer's inner voice...
Daniel Quinn, Ishmael|You're captives of a civilizational system that more or less compels you to go on destroying the world in order to live. … You are captives—and you have made a captive of the world itself. That's what's at stake, isn't it?—your captivity and the captivity of the world.
Anonymous, Holy Bible: King James Version|For where thy treasure is, there also will thy heart be.
Lindsay Armstrong, The Seduction Stakes|It's as if she assumes everything will go right, and when it doesn't - which, of course, is pretty often - she is surprised and affronted.
Bethany Hamilton|If you are caught on a golf course during a storm and are afraid of lightning, hold up a 1-iron. Not even God can hit a 1-iron.
John Green, Looking for Alaska|You spend your whole life stuck in the labyrinth, thinking about how you'll escape one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.
Noam Chomsky|Throughout human history, as our species has faced the frightening, terrorizing fact that we do not know who we are, or where we are going in this ocean of chaos, it has been the authorities, the political, the religious, the educational authorities who attempted to comfort us by giving us order, rules, regulations, informing, forming in our minds their view of reality. To think for yourself you must question authority and learn how to put yourself in a state of vulnerable, open-mindedness; chaotic, confused, vulnerability to inform yourself.
Beverly Cleary, Fifteen|He stripped to his trunks, then dove into the pool. We all watched as he broke the surface and climbed from the water, his muscles slick and wet, his green eyes glowing in the half light of the glass ceiling. I heard Natalie and Sara both sigh, and Harry murmur that it almost made him want to go gay. Coby stretched out on a chaise beside me and asked, “So you still sorry you moved here?
C.M. Rayne, The Forbidden Land of Andara|Never again!" commanded his will. "Again! Tomorrow!" begged his heart.
Neil Gaiman, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch|Loyalty was a great thing, but no lieutenants should be forced to choose between their leader and a circus with elephants.
Sandra Kopp, Warrior Queen of Ha-Ran-Fel|Anger is defined by philosophers as a long-standing and sometimes incurable mental ulcer, usually arising from weakness of intellect. In support of this they argue with some plausibility that this tendency occurs more in invalids than in the healthy, more in women than in men, more in the old than the young, more in those in trouble than in the prosperous.
J.R. Ward, Lover Avenged|The thing was, the places of your life, like the clothes you wore and the car you drove and the friends and associates you had, were a product of the way you lived.
Lee  Harrington, Traversing Gender: Understanding Transgender Realities|The culture were live in ripples through our daily lives, sending messages about what is considered "normal" and healthy by society.
Richard Armour|I’veenjoyed our conversation, knight. It’s been nice talking to someonewho can—”“Create full and complete sentences?”That grin returned and, for a moment, his heart actually stoppedbeating. “No, it was nice to finally meet someone whose arrogance isonly rivaled by the arrogance of the gods.
Cecelia Ahern, One Hundred Names|So how long have you been together? Two months?''Five.''Five? Jesus, Steve, you might as well get married. I should buy a hat.''Don't. They give away your Spock ears.'She laughed. 'This is the Romanian girl?''Croatian.''Right. She's a painter?''Photographer.''Right.' She studied him.'What?' he laughed self-consciously as though he was a twelve-year-old boy who'd just been caught with his first girlfriend.'Nothing.''Come on.''I don't know Steve,' she cut into her meat, 'you've changed. You no longer write about Victoria Beckham and you have a girlfriend. I think...''You think what?''I don't know, I might be jumping the gun here, but I think there's a possibility you might not be gay after all.'A chip was hurled at her head.
Tracey Bond, Spirit Fed Entrepreneur: Growing Your Business with a Fearless Mindset|Sublimely mysterious and immeasurably powerful, is the stewardship that the sound of music can have over the soul.
Sherrilyn Kenyon, Illusion|Demons run when a good man goes to war.Night will fall and drown the sun,When a good man goes to war.Friendship dies and true love lies,Night will fall and the dark will rise,When a good man goes to war.Demons run, but count the cost.The battle's won but the child is lost.
Anthony T. Hincks|Huang Sung turned to the master and asked, "Master, will it come to pass?"The master looked up into the sky and then turned to Huang Sung, "When the sky is red from our tears and the earth is blackened by the ashes of our forefathers and then, when we look inwards to where our hearts once were, then we shall know that it has come to pass, but not in the time allotted to man."From a book that I am writing, called, "The Teachings of Huang Sung.
Charmaine J Forde|I may not have a world of things, I may not have the biggest wings, What I do have is a heart of love, Because I trust the One above
Anthony Doerr, All the Light We Cannot See|She loved the sea. She liked the sharp salty smell of the air, and the vastness of the horizons bounded only by a vault of azure sky above. It made her feel small, but free as well.
Debasish Mridha|Empty yourself of past resentment, anger, and sadness to fill it with love and pure happiness.
Robert Fulghum|Agriculture is now a motorized food industry, the same thing in its essence as the production of corpses in the gas chambers and the extermination camps, the same thing as blockades and the reduction of countries to famine, the same thing as the manufacture of hydrogen bombs.
Jeff Buckley|There's no time for hatred, only questions. Where is love? Where is happiness? What is life? Where is peace?
Heidi Julavits, The Effect of Living Backwards|Yet at the last Beren was slain by the Wolf that came from the gates of Angband, and he died in the arms of Tinúviel. But she chose mortality, and to die from the world, so that she might follow him; and it is sung that they met again beyond the Sundering Seas, and after a brief time walking alive once more in the green woods, together they passed, long ago, beyond the confines of this world. So it is that Lúthien Tinúviel alone of the Elf-kindred has died indeed and left the world, and they have lost her whom they most loved.
Charles Haddon Spurgeon|Remember how it is written of Job, “The Lord turned the captivity of Job, when he prayed for his friends.” While he prayed for himself, he remained a captive; but when he prayed for those unfriendly friends of his, then the Lord smiled upon him, and loosed his captivity
Rachael Wade, Love and Relativity|When I look at narcissism through the vulnerability lens, I see the shame-based fear of being ordinary. I see the fear of never feeling extraordinary enough to be noticed, to be lovable, to belong, or to cultivate a sense of purpose.
S.R. Crawford, From My Suffering: 25 Ways to Break the Chains of Anxiety, Depression & Stress|For people like us, looking towards the future can feel daunting. It can literally make us feel sick to the stomach and often induces panic attacks. Trust me, I’ve been there; I get it. That’s why the far-future should never be at the top of our “to-plan” list. It’s alright to have goals but to stress ourselves out with plans and options and worries of the future is a good way to drive us crazy. However, there is one time when I want you to consider the future. Always have something to look forward to.
Constance Marie|I have been really enjoying making a project out of seeking out an extremely healthy diet of raw, organic, vegan foods - and I plan on continuing to do so.
Ortega y Gasset|Human life, by its very nature, has to be dedicated to something, an enterprise glorious or humble, a destiny illustrious or trivial. We are faced with a condition, strange but inexorable, involved in our very existence. On the one hand, to live is something which each one does of himself and for himself. On the other hand, if that life of mine, which only concerns myself, is not directed by me towards something, it will be disjointed, lacking in tension and in "form." In these years we are witnessing the gigantic spectacle of innumerable human lives wandering about lost in their own labyrinths, through not having anything to which to give themselves. All imperatives, all commands, are in a state of suspension. The situation might seem to be an ideal one, since every existence is left entirely free to do just as it pleases- to look after itself. The same with every nation. Europe has slackened its pressure on the world. But the result has been contrary to what might have been expected. Given over to itself, every life has been left empty, with nothing to do. And as it has to be filled with something, it invents frivolities for itself, gives itself to false occupations which impose nothing intimate, sincere. To-day it is one thing, to-morrow another, opposite to the first. Life is lost at finding itself all alone. Mere egoism is a labyrinth. This is quite understandable. Really to live is to be directed towards something, to progress towards a goal.
Richard Baxter, The Saints' Everlasting Rest|As we should not own our duties further than somewhat of Christ is in them, so should we no further our own hearts ; and as we should delight in the creatures no further than they have reference to Christ and eternity, so should we no further approve of our own hearts (483).
Stephanie Kaleto, Disconsolate|I know it may not be an easy thing to do, but with the right person by their side, they can conquer anything.
Ralph Waldo Emerson, The Essential Writings of Ralph Waldo Emerson|Whatever games are played with us, we must play no games with ourselves, but deal in our privacy with the last honesty and truth.
Adele Faber, How to Talk So Kids Will Listen & Listen So Kids Will Talk|If you want your children to grow up to be healthy and independent, you should hold them, hug them, cuddle them, and love them. Give them a secure base and they will explore and then conquer the world on their own.
Elisabeth Tova Bailey, The Sound of a Wild Snail Eating|Luck is blind, they say. It can’t see where it’s going and keeps running into people…and the people it knocks into we call lucky! Well, to hell with luck if it's like that, I say!
Joseph Joubert|When you go in search of honey, you must expect to be stung by bees.
Fumiko Enchi, Masks|This was misery that could not yield, for he sorrowed for a time he could not return to, and a self he would never again be.
Tom Upton, Hellhounds|All I did was offer to kill your dog, and the next thing I know I’m being judged.
Kathy Griffin|Another example of getting flack from the boys is what happened when Jack Black dumped me. That’s right. I fucked Jack Black. Okay, we went out only two or three times, but that’s a relationship in my book. And by the way, this is my book.
Will Storr|Every tree in the forest has a story to tell. Some of them were burnt but they endured the fire and got revived; some of them were cut, their barks injured, some people pick up their leaves to make medicines for their sicknesses, birds used their leaves to make their nests, etc. Upon all these, the tree is still tree!
Jess Walter, The Financial Lives of the Poets|I wanted to save myself from that drug that contaminates the body and veins and not from the other drug, you know that drug that enters through your eyes and your private area, the one that settles into your heart to screw it up, that damn drug that naive people call love. The stupid drug that’s just as dangerous and deadly as the one that you find on the streets wrapped up in little packages.
Serj Tankian|If you look at the footballers, you look at our celebrity culture, we seem to be saying, 'This is the way you want to be'. We seem to be a society that celebrates all the wrong people.
Steven Weinberg, Shelter Island II: Proceedings of the 1983 Shelter Island Conference on Quantum Field Theory and the Fundamental Problems of Physics|True, the Standard Model does explain a very great deal. Nevertheless it is not yet a proper theory, principally because it does not satisfy the physicists naive faith in elegance and simplicity. It involves some 17 allegedly fundamental particles and the same number of arbitrary and tunable parameters, such as the fine-structure constants, the muon-electron mass ratio and the various mysterious mixing angles.
Saul David|World War II, the atomic bomb, the Cold War, made it hard for Americans to continue their optimism.
Kate Winslet|What do most people say on their deathbed? They don't say, 'I wish I'd made more money.' What they say is, 'I wish I'd spent more time with my family and done more for society or my community.'
Mensah Oteh|Your purpose distinguishes you from others; not your talent, IQ, race, job, hobbies, or gender, as these are held in common with many others.
Jim Sheeler, Final Salute: A Story of Unfinished Lives|I've had people tell me to get over it. I politely tell them, 'How about if I chop off your finger and see if it grows back?
Sylvia Plath, The Unabridged Journals of Sylvia Plath|There are times when a feeling of expectancy comes to me, as if something is there, beneath the surface of my understanding, waiting for me to grasp it. It is the same tantalizing sensation when you almost remember a name, but don't quite reach it. I can feel it when I think of human beings, of the hints of evolution suggested by the removal of wisdom teeth, the narrowing of the jaw no longer needed to chew such roughage as it was accustomed to; the gradual disappearance of hair from the human body; the adjustment of the human eye to the fine print, the swift, colored motion of the twentieth century. The feeling comes, vague and nebulous, when I consider the prolonged adolesence of our species; the rites of birth, marriage and death; all the primitive, barbaric ceremonies streamlined to modern times. Almost, I think, the unreasoning, bestial purity was best. Oh, something is there, waiting for me. Perhaps someday the revelation will burst in upon me and I will see the other side of this monumental grotesque joke. And then I'll laugh. And then I'll know what life is.
Sengcan, Hsin Hsin Ming|To deny the reality of things is to miss their reality; to assert the emptiness of things is to miss their reality. The more you talk and think about it, the further astray you wander from the truth. Stop talking and thinking and there is nothing you will not be able to know.
G.E. Moore, Principia Ethica|For it is the business of Ethics, I must insist, not only to obtain true results, but also to find valid reasons for them.
Rachel Caine, Ghost Town|Myrnin, who hadn't said much, suddenly reached out and wrapped his arms around her. She stiffened, shocked, and for a panicked second wondered whether he'd suddenly decided to snack on her neck... but it was just a hug. His body felt cold against hers, and way too close, but then he let go and stepped back. "You've done very well. I'm extremely proud of you," he said. There was a touch of color high in his pale cheeks. "Do go home now. And shower. You reek like the dead."Which, coming from a vampire, was pretty rich.
Henri Cartier-Bresson|What art is, in reality, is this missing link, not the links which exist. It's not what you see that is art; art is the gap.
Joseph Hansen, The Boy Who Was Buried this Morning|And you never even reported it. You should have reported it. I could have took fingerprints. I'd love to lock up them skinheads.""What I'm reporting is the gun, my Sig Sauer." Dave said. "Hetzel will have it. I want it back.""What did it cost you?" Rose said."That's not the point," Dave said. "It's the only gun I ever owned. I'm against guns. They give too many people power who have no right to it. Guns cancel out intelligence, reason, decency, civility, and put terror in their place. I got along without a gun most of my working life. But a man can't buck the odds forever. About five years back I bought the Sig Sauer. I'm used to it. And I don't know that I'm morally prepared to buy another one.
Duncan Harper, Witch of the Fall|I don’t think I believe in any god,” Merla said. “I think we make our own destiny. I think religion is superstition. Does that shock you?”Agata shook her head and smiled. “If the Goddess is kind, then she will allow you your doubts, and embrace believers and unbelievers alike. If she is not, then the witches are mistaken, and we should not be worshipping her anyway.
Cindy Spencer Pape, Sporting Wood|Not that the man needed clothes. God meant for that piece of perfection to have nothing masking the luscious, tanned flesh stretched taut over beautiful muscles.
John Grisham, The Broker|The president had shifted to the 'we' mode now, something he invariably did when a potentially unpopular decision was at hand. For the easy ones, it was always 'I.' When he needed a crutch, and especially when he would need someone to blame, he opened up the decisionmaking process and included Critz.
Shannon L. Alder|Every person with ADHD already knows that destination addiction is part of their disorder. However, if it doesn’t have a positive outlet, it can destroy your life. It is not another person that will make your life better; it is the qualities in them that you admire. Incorporate those attributes into your own life and you won’t miss a thing.
Idries Shah, The Sufis|Sufism," according to the Sufi, "is an adventure in living, necessary adventure.
Grant Heslov|With the right help, children have a good chance of overcoming their issues while they are still young and can have the bright future they deserve.
bell hooks|When we see love as the will to nurture one's own or another's spiritual growth, revealed through acts of care, respect, knowing, and assuming responsibility, the foundation of all love in our life is the same. There is no special love exclusively reserved for romantic partners. Genuine love is the foundation of our engagement with ourselves, with family, with friends, with partners, with everyone we choose to love.
Tonya Hurley, Ghostgirl|Life sucks, then you die. Then it sucks again. 
Sarah Moore Fitzgerald, The Apple Tart of Hope|The truth a fairly important thing to hold on to when you’ve been pulled out of the sea after wanting to drown in it. I could’ve let the sea take me. I could easily be dead now, which is funny when you think of it. When I say funny, what I actually mean is weird and kind of disturbing.When there’s the loud sound of a siren screaming in your head it doesn’t take too long before a feeling of not caring what happens washed over you and you become recklessly self- destructive. I used to be full of energy and happiness but I could barely remember those kinds of feelings. The cheerful, childish things I used to think had been replaced. A whole load of new realisations had begun to grow inside me like tangled weeds, and they were starting to kill me. That’s why I’d make the decision that involved heading ogg to the pier on my pike in the middle of the night and cycling off it.
Sadhguru, Of Mystics & Mistakes|So once these needs are fulfilled, nobody is going to value these things. If you are well-fed, peaceful, blissful, happy, well-loved, with nothing to complain about, you will not value food, peace, love, compassion so much.
Glenn A. Maltais|It’s sometimes difficult to align our wants with our needs, for old programing and new paradigms vibrate at very different levels.
Leo Tolstoy|After having lived life for so many years, you would have learnt that nothing external can give you permanent joy, because it’s all fleeting and temporary. Permanent joy is right here and now, in your being – it’s not out-there in some relationship or material possession. You can have everything you desire, but first you must know that none of it is going to bring you permanent joy. Permanent peace/joy is already present in your being right now, below the surface level thoughts and feelings, recognize that and rest in this place – when you do so, you will be in a place of zero resistance and thus allow swift manifestation of your desires.
Dalai Lama XIV|From my own limited experience, I have found that the greatest degree of inner tranquility comes from the development of love and compassion. The more we care for the happiness of others, the greater our own sense of well-being becomes. Cultivating a close, warmhearted feeling for others automatically puts the mind at ease. This helps remove whatever fears or insecurities we may have and gives us the strength to cope with any obstacles we encounter. It is the ultimate source of success in life.
George Sterling, The Thirst of Satan: Poems of Fantasy and Terror|And fragile is thy tenure of this worldStill haunted by the monstrous ghost of God.("To Science")
Margaret Atwood, Bluebeard's Egg|In the spring, at the end of the day, you should smell like dirt.
Mirella Muffarotto, Soccer Sweetheart|This unrequited love business was driving him crazy. It was a feeling that took you over, mind, body, and soul. Worse than a drug that tore apart your flesh and spirit, and without which you simply could not live.
Camille Paglia|We cannot have a world where everyone is a victim. "I'm this way because my father made me this way. I'm this way because my husband made me this way." Yes, we are indeed formed by traumas that happen to us. But then you must take charge, you must take over, you are responsible.
Georgette Heyer, The Unknown Ajax|I must own, too, that I can't be astonished at his being vexed to death over this business. It is excessively awkward! However, he doesn't lay the blame for that at my door: you mustn't think that!""I should think not indeed!" exclaimed Anthea between amusement and indignation. "How could he possibly do so?""No, very true, my love!" agreed Mrs Darracott. "I thought that myself, but it did put me on the fidgets when Richmond said he wanted to see me, because in general, you know, things I never even heard about turn out to be my fault.
Elizabeth Gilbert|People tend to think that happiness is a stroke of luck, something that will descend like fine weather if you're fortunate. But happiness is the result of personal effort. You fight for it, strive for it, insist upon it, and sometimes even travel around the world looking for it. You have to participate relentlessly.
Summer Glau|I was alone a lot as a kid, because my parents were divorced.
Amy E. Mason, 365 Pocket Prayers for Women: Guidance and Wisdom for Each New Day|I read in your Word that the very best kind of pleasure is delighting in doing what you want. Your way is right and good and it brings life. You are pleased when I follow it, because you want the best for me.
John Eldredge|She is the crescendo, the final, astonishing work of God. Woman. In one last flourish creation comes to a finish with Eve. She is the Master's finishing touch.
Zbigniew Brzeziński|There is a secret earth gyrm, a place where the unbelievable, the unthinkable, the terrible, takes place every day. A place hidden by the veils of ignorance and cowardice and fear. On occasions we glimpse it, when its hidden terrors fall through that veil into plain sight, but mostly we just dismiss it as something else, somewhere else, to be dealt with by someone else. Long ago I found the veil and lifted it. And knowing as I do what is behind, what those behind it get away with, with impunity ... I cannot grow old basking on the bank of some safe-haven, no.
Sarah Dessen, The Truth About Forever|Why does anyone have a lot of rules? So they can boss people around, I guess.
Ray Kurzweil|Virtual reality is a technology that could actually allow you to connect on a real human level, soul-to-soul, regardless of where you are in the world.
Anne Rice, Interview with the Vampire|Consciousness set goal independently, achieves them through will and evaluation of results
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|The time is now. What you have to do, do it now.
Debasish Mridha|Practice silence, practice patience, practice to love every existence, peace will be there.
Donna Brazile|When you have an efficient government, you have a dictatorship.
Danielle Steel|For me, getting comfortable with being famous was hard - that whole side of it, the loss of anonymity, the loss of privacy. Giving up that part of your life and not having control of it.
Émile Zola, La Curée|I spent hours yesterday talking of little but medical symptoms and insane asylums. And you listened as though it were poetry and all but swooned at my feet. It is too bad I don't have any medical treatises about. I'm sure I need read a paragraph or two, and you will become ravenous with lust and begin tearing my clothes off. (Dorian from "The Mad Earl's Bride")
