Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|The words he said, too, must be human enough to bleed.
Josi S. Kilpack, A Heart Revealed|We are only underlings of fate if we choose to let the wills of others shape our lives." -Thomas Richards
Tina Leonard, Hotter Than Texas|A million possible endearments ran through his head. But he said, “Help.
Victor Hugo, Les Misérables|Do you ever think about the ocean?" Nick asked me."What about it?" I said."Like what could live down there? Like how there's as much life down there as up here? Maybe more?""God Lives Underwater," said someone. "That's the name of a band. They're awesome.""But seriously," Nick said, "it's like an alternate universe. Right here on our own planet.""Right here, a hundred feet from us," said Sheila."Right here in my hair," said one of the girls who had swum, pulling some sea gunk out of her wet hair.Everyone laughed quietly at that. Nick drank his beer. The wood crackled as it burned. We all stared at the black ocean.
Anonymous|Thank you for the privilege of speaking to you in this magnificent auditorium. You know the meaning of the word auditorium  don't you? It is derived from two Latin words  audio  "to hear " and taurus  "the bull."
Mary Wollstonecraft Shelley, The Fortunes of Perkin Warbeck|Rincewind stared, and knew that there were far worse things than Evil. All the demons in Hell would torture your very soul, but that was precisely because they valued souls very highly; evil would always try to steal the universe, but at least it considered the universe worth stealing. But the gray world behind those empty eyes would trample and destroy without even according its victims the dignity of hatred. It wouldn't even notice them.
Idries Shah, Neglected Aspects of Sufi Study|When the business man rebukes the idealism of his office-boy, it is commonly in some such speech as this: "Ah, yes, when one is young, one has these ideals in the abstract and these castles in the air; but in middle age they all break up like clouds, and one comes down to a belief in practical politics, to using the machinery one has and getting on with the world as it is." Thus, at least, venerable and philanthropic old men now in their honoured graves used to talk to me when I was a boy.But since then I have grown up and have discovered that these philanthropic old men were telling lies. What has really happened is exactly the opposite of what they said would happen. They said that I should lose my ideals and begin to believe in the methods of practical politicians. Now, I have not lost my ideals in the least; my faith in fundamentals is exactly what it always was. What I have lost is my old childlike faith in practical politics. I am still as much concerned as ever about the Battle of Armageddon; but I am not so much concerned about the General Election. As a babe I leapt up on my mother's knee at the mere mention of it. No; the vision is always solid and reliable. The vision is always a fact. It is the reality that is often a fraud. As much as I ever did, more than I ever did, I believe in Liberalism. But there was a rosy time of innocence when I believed in Liberals.
Debasish Mridha|Life is about finding yourself. Finding yourself is about finding your ultimate goal, ultimate passion.
Deborah Harkness|It was getting difficult to see exactly what was going on in the pool and a fourth officer jumped in as one came up with the unconscious form of the first cop. While others pulled the half-drowned man from the pool, three more wrestled Skorzeny to the surface and dragged him to the steps at the shallow end of the pool. He wasn't struggling any longer. Nor was he breathing with any apparent difficulty. The biggest of the three cops later admitted to punching him as hard as he could in the stomach and Skorzey doubled over. Another half-dragged him, still on his feet, shirt torn, jacket ripped, out of the pool and put a handcuff on his left wrist.Skorzeny pulled his arm away from the cop and, suddenly straightening, elbow-jabbed him in the gut, sending him sprawling and rolling back into the pool. Skorzeny turned toward the back fence and was now between the pool and a small palm tree. Before him were two advancing officers, pistols leveled. Behind him two more circled the pool. Skorzeny lunged forward and all fired simultaneously. The noise was deafening. Lights in neighboring houses began to go on.Skorzeny's body twitched and bucked as the heavy slugs ripped through his body. His forward momentum carried him into the officers ahead of him and he half-crawled, half-staggered to the southeast corner of the yard where another gate was set into the fiberglass fencing. Two more officers, across the pool, cut loose with their pistols, emptying them into this writing body which danced like a puppet. Another cop fired two shots from his pump-action shotgun and Skorzeny was lifted clean off his feet and slammed against the gate, sagging to the ground.En masse from both ends of the pool they advanced, when he gave out with a terrible hissing snarl and started to rise once more. All movement ceased as the cops, to a man, stood frozen in their tracks. Skorzeny stood there like some hideous caricature, his shredding clothing and skin hanging like limp rags from his scarecrow form. His flesh was ripped in several places and he was oozing something that looked like watered-down blood. It was pinkish and transparent. He stood there like a living nightmare. Then he straightened and raised his fist with the cuff still dangling from it like a charm bracelet.'Fools!' he shrieked. 'You can't kill me. You can't even hurt me.'Overhead, the copter hovered, the copilot giving a blow-by-blow description of the fight over the radio. The police on the ground were paralyzed. Nearly thirty shots had been fired (the bullets later tallied in reports turned in by the participating officers) and their quarry was still as strong as ever. He'd been hit repeatedly in the head and legs, so a bulletproof vest wasn't the answer. And at distances sometimes as little as five feet, they could hardly have missed. They'd seen him hit.They stood frozen in an eerie tableau as the still roiling pool water threw weird reflections all over the yard.Then Skorzeny did the most frightening thing of all. He smiled. A red-rimmed, hideous grin revealing fangs that 'would have done justice to a Doberman Pinscher.
Markus W. Lunner|Some think that they are incredible but are actually un-credible. Do you work, master your craft...
Mitch Albom, The Five People You Meet in Heaven|We walked back the way we came, and even though it was dark there were no lights burning inside the houses. They were like people without hearts; raspberry tarts without the jam.
Amin Maalouf, The First Century After Beatrice|By giving us the opinions of the uneducated, journalism keeps us in touch with the ignorance of the community.
John Delaney|The biggest invention of modern time is the book. The book is a digital medium; book text is written in a different form and replicable. What it really does is it allows us to replicate cultural information, scientific technology, and information out of the human brain.
George Holyoake|Nonetheless, it still remains true that as a set of cognitive beliefs, religious doctrines constitute a speculative hypothesis of an extremely low order of probability.
Ross Andersen|Historically, discoveries of pure science are slow to reach the mainstream compared with those of the applied sciences, which noisily announce themselves with new medicines and gadgets. The Hubble has proved an exception, remaking, in a single generation, the popular conception of the universe. It has accomplished this primarily through the aesthetic force of its discoveries, which distill the difficult abstractions of astrophysics into singular expressions of color and light, vindicating Keats’s famous couplet: “Beauty is truth, truth beauty.” Though philosophy has hardly registered it, the Hubble has given us nothing less than an ontological awakening, a forceful reckoning with what is. The telescope compels the mind to contemplate space and time on a scale just shy of the infinite.
Peter Koestenbaum|The only quality that distinguishes the greats from the masses, is the unwillingness to give up.
Jamie Oliver|I can spend hours in a grocery store. I get so excited when I see food, I go crazy. I spend hours arranging my baskets so that everything fits in and nothing gets squashed. I'm really anal about it, actually.
Debasish Mridha|To find yourself again and again, get lost in true love.
E. Jamie, The Vendetta|He lowered his head and shook it from side to side, giving her a rueful smile. “I find it so ironic that someone I think of as sometimes so brave to the point of stupidity could be so terrified of her own happiness,” Bree felt the shot hit home, and she couldn’t look at him. She ran her finger along the marble topped of the island. “That’s ridiculous. Who in their right mind is afraid of being happy?” “Someone who has lost too much,” he moved slowly towards her in gentle careful strides as if he was afraid of startling her. Fair enough, she did tend to attack him when he tried to corner her, but for some reason, Bree just couldn’t tonight. The much too relaxing bubble bath must be making her sluggish. “Someone who is so used to being told she caused too much pain to others to ever be worthy of happiness herself,” Bree closed her eyes. “Shut up. Please, Alessandro.
Criss Jami, Killosophy|Hypocrisy versus authenticity among men is not always so black and white, and as is righteousness, humility is often self-proclaimed. The Church is most definitely supposed to be a hospital for the spiritually, emotionally, mentally, and physically sick, hurting, and broken individual, yet ironically, many of its critics are those who ran away and permanently denounced its members after they visited and felt that they were sneezed on.
Sydney Smith|The sum and substance of female education in America, as in England, is training women to consider marriage as the sole object in life, and to pretend that they do not think so.
Steven L. Peck, A Short Stay in Hell|It seemed funny that one day I would go to bed in her arms and the next not feel anything, like a switch had gone off. But no, that wasn’t honest either. This had been building for a long time. Our silences were getting longer. Our arguments more frequent. How do you stay with someone when there are no dreams to build? No purpose to accomplish? No meaning? No meaning —that was the monster that drove us away from one another in the end. Always.
Fakeer Ishavardas|The sooner the jihadis go up to their imagined #heaven, the sooner our earth would be a heaven.
Dada Bhagwan|You will not realize the absolute supreme Self (parmatma) unless the weakness departs. Anger, pride, deceit and greed are the weaknesses.
Kōbō Abe, The Woman in the Dunes|Do you shovel to survive, or survive to shovel?
Anonymous|Life is a mirror, smile at it:-)
Aleksandr Solzhenitsyn|Libel actions, when we look at them in perspective, are an ornament of a civilized society. They have replaced, after all, at least in most cases, a resort to weapons in defense of a reputation.
Benjamin Hoff, The Tao of Pooh|Life is a great asset we must all endeavor to acquire, keep and daily maintain it well with all due diligence, for without life, all other assets have no real meaning to our lives.
Emil M. Cioran|Nu pot fi eu insumi decat daca ma inalt pana la furie sau cobor pana la descurajare: la nivelul meu obisnuit, ignor faptul ca exist.
Jenny  Lawson|It's like I have a sensor in my head, but she works on a seven-second delay... well-meaning, but perpetually about seven seconds too late to actually do anything to stop the horrific avalanche of shit-you-shouldn't- say-out-loud-but-I-just-did.
Brad Taylor, One Rough Man|Hereos. Idols. They're never who you think they are. Shorter. Nastier. Smellier. And when you finally meet them, there's something that makes you want to choke the shit out of them.
Lailah Gifty Akita|If today is all you have to live, what will you do?
Lucille Ball|This crisis is not simply a more severe version of the usual business cycle recession, the typical downturn in which economies ultimately adjust and stabilize.
Brian  Doyle, Mink River|A woman in her glory, a woman of beauty, is a woman who is not striving to become beautiful or worthy or enough.
Brandon Sanderson|Those deep set eyes that look like they could tell stories for days, and that wavy brown hair that feels soft between my fingers. I try to memorize the angles of his jaw and the lines of his lips, because I know.I know this may be the last time I ever see him.Breathe fills my lungs, my throat relaxes, and I can't help but smile. Because I can see what he's thinking as clearly as if he'd spoken.He doesn't want to leave - he doesn't want to go home.He's going to choose me instead.
Watchman Nee|How many of us dare not use our time or money or talents as we would, because we realise they are the Lord's, not ours?
Marcel Duchamp|Everyone discusses my art and pretends to understand, as if it were necessary to understand, when it is simply necessary to love.
Dana Marton, Flash Fire|An artist's domain was private, a haven for practicing and experimenting, the one place where failure was still allowed.
Julia Green|Gideon and I sit there in the dark, wordless for a while, only our ragged breaths disturbing the silence. Memories of my sister overwhelm me—I see her impish grin as she leans over me at the orphanage, tugging on my hair until I wake up. I remember us climbing up to the roof as kids, sitting cross-legged next to the herbs and vegetables our caretakers were growing while we read the English books Rose had “borrowed” from her class at school. And then there was L.A.—all of our hope for a better life so quickly crushed, but Rose never let despair overtake her. She was there after every single night to hold me until the pain went away. And later, when I got numb to it all, she still made a point of holding me, of promising me that one day things would be different.
Timothy Norr|Revenge is often compared to full course dinner meal best served bitter cold, it is the weakest and poorest excuse for any man or woman to use to hurt another because of there own grief
Quetzal|I caught a red bird once, I fell in love with her,Took the red bird home with me,I saw her eyes, at saw my peace,I love the red bird much, I cut her wings, I wanted the bird to stay, I made a cage for her,No wings, and trapped, the red bird cried, I saw her eyes in pain; it broke my heart to see,I was the one to blame, for the red bird’s pain, It grew back its wings, no longer in the cage,She looked at me once more, spread its wings and left,I loved that red bird still; I wish she was with meBut now I know for sure , her pain was caused by me.
Jacqueline Winspear, In This Grave Hour|... truth has a certain buoyancy - it makes its way to the surface, in time.
Sunday Adelaja, The Mountain of Ignorance|If we really want to represent God in our day and time, we must embrace knowledge.
Desmond Tutu|God gives us intelligence to uncover the wonders of nature. Without the gift, nothing is possible.
Lesley Lokko, Little White Lies|Who am I??I doubt that Hitler Suicided, you here me right!I doubt that JFK was killed without a reason it's not a coincidence. I don't believe in coincidences, there is a reason I'm sure.I doubt about my father suicided!
Neal Stephenson, Anathem|Just aiming a speely input device, or a Farspark chambre, or whatever you call it... a speelycaptor... at something doesn't collect what is meaningful to me. I need someone to gather it in with all their senses, mix it round in their head, and make it over into words.
Vera Nazarian, The Perpetual Calendar of Inspiration|Here's a funny question:What is your favorite word?Think about it—maybe it's a word that makes you absolutely happy, or a word that sounds gloriously beautiful, or a word that evokes awe and wonder. Maybe you are reminded of a great time when you hear it, or maybe it represents your life's dream.So, what is it? What is your favorite word of all words?Thought about it yet
Salman Mansuri|Life is persisting thing which will never stop, we have to maintain us in all situations.
Craig D. Lounsbrough, A View from the Front Porch: Encounters with Life and Jesus|Honesty is a quality Patrick likes. Give him a bitter pill if the situation demands it, but don't tell him it's chocolate.
Dzongsar Jamyang Khyentse, Not For Happiness: A Guide to the So-Called Preliminary Practices|Is it necessary to believe in the existence of the six realms and the heavens and hells to be a Buddhist? Not necessarily. It is possible to interpret these as, perhaps, referring to other dimensions of existence, parallel universes, or simply states of mind.
Susane Colasanti, Waiting for You|If a girl starts out all casual with a guy and she doesn't tell him that she wants a relationship, it will never become a relationship. If you give the guy the impression that casual is okay with you, that's all he'll ever want. Be straight with him from the start. If he gets scared and runs away, he wasn't right for you.
Mary Charlton, The Pirate of Naples|She now discovered amidst them, the poet's flights of fancy, and the historian's seldom pleasing—ever instructive page. The first may transmit to posterity the records of a sublime genius, which once flashed in strong, but transient rays, through the tenement of clay it was given a moment to inhabit: and though the tenement decayed and the spirit fled, the essence of a mind which darted through the universe to cull each created and creative image to enrich an ever-varying fancy, is thus snatched from oblivion, and retained, spite of nature, amidst the mortality from which it has struggled, and is freed. The page of the historian can monarchs behold, and not offer up the sceptre to be disencumbered of the ponderous load that clogs their elevation! Can they read of armies stretch upon the plain, provinces laid waste, and countries desolated, and wish to be the mortal whose vengeance, or whose less fierce, but fatal decision sent those armies forth!
Richard Louv, Last Child in the Woods: Saving Our Children from Nature-Deficit Disorder|Joni Mitchell had it right: "They paved paradise / and put up a parking lot." But perhaps, in the near future, we could add a line of hopeful epilogue to that song: then they tore down the parking lot / and raised up a paradise
Richard Dooling|Just the actual physical ability to hold four instruments simultaneously and do some of the things that Vivien was able to do is mind blowing to any surgeon. He never went to medical school and he became one of the great teachers of medicine himself, people are just amazed.
Andrea Barbosa, Massive Black Hole|I ain’t never had me a single round in a professional, boxin’ ring. I’m whatcha call a street fighter, a knuckle brawler. Knives, beer bottles, chairs, chains, rocks, sticks, tire irons, and even teeth. Ya name it. I’ve seen ‘em all. And I tell ya what. When it comes to fightin,’ the quickest way to double your money in a fight is to fold it over. That don’t mean ya give up or quit. It means ya work with whatcha got and whatcha know.
Chris Bohjalian, The Light in the Ruins|Instead of falling to the ground like a heavy doll, as Kermin had seen the prisoners do at the Chetnik executions, his mother shrank into herself, a reverse blossoming, coming to rest in a sitting position, like a ruminative Buddha
Ryan Higa|If your life has no problems, you're not really living it.
Tom Peters, Thriving on Chaos: Handbook for a Management Revolution|If you're not confused, you're not paying attention.
Debasish Mridha|A pessimist sees the darkness around the light, but an optimist looks for the light in the darkness.
John Milton, Milton on Education, the Tractate of Education,: With Supplementary Extracts from Other Writings of Milton|The end then of learning is to repair the ruins of our first parents by regaining to know God aright, and out of that knowledge to love him, to imitate him, to be like him, as we may the nearest by possessing our souls of true virtue, which being united to the heavenly grace of faith makes up the highest perfection.
Christopher Bram, Eminent Outlaws: The Gay Writers Who Changed America|I read daily, not so much for the benefit of my writing, but because I am addicted to it. There is nothing in the world for me that compares to being lost in a really good novel. That said, reading is an absolute must if you want to write. It is a trite enough thing to say, but very true nonetheless. I cannot understand aspiring writers who email me for advice and freely admit that they read very little. I have learned something from every writer I have ever read. Sometimes I have done so consciously, picking up something about how to frame a scene, or seeing a new possibility with regards to structure, or interesting ways to write dialogue. Other times, I think, my collective reading experience affects my sensibilities and informs me in ways that I am not quite aware of, but in real ways that impact how I approach writing. The short of it is, as an aspiring writer, there is nothing as damaging to your credibility as saying that you don’t like to read
William Shatner|My life will change, because I want it to change; and also because this is something I'm committed to doing and that I believe my life has been leading towards.
Tedd Tripp|Your child's needs are far more profound than his aberrant behavior. Remember, his behavior does not just spring forth uncaused. His behavior - the things he says and does - reflects his heart. If you are to really help him, you must be concerned with the attitudes of heart that drive his behavior.A change in behavior that does not stem from a change in heart is not commendable; it is condemnable. Is it not the hypocrisy that Jesus condemned in the Pharisees? In Matthew 15, Jesus denounces the Pharisees who have honored him with their lips while their hearts were far from him. Jesus censures them as people who wash the outside of the cup while the inside is still unclean. Yet this is what we often do in childrearing. We demand changed behavior and never address the heart that drives the behavior.What must you do in correction and discipline? You must require proper behavior. God's law demands that. You cannot, however, be satisfied to leave the matter there. You must help your child ask the questions that will expose that attitude of the heart that has resulted in wrong behavior. How did his heart stray to produce this behavior? In what characteristic ways has his inability or refusal to know, trust, and obey God resulted in actions and speech that are wrong?
Cherise Sinclair, To Command and Collar|She rubbed her cheek on his chest like a sleepy cat. “I like when you hold me.”Dios, she was going to break his heart. “I like when I hold you too.
John Maurice Clark|The economist may attempt to ignore psychology, but it is sheer impossibility for him to ignore human nature … If the economist borrows his conception of man from the psychologist his constructive work may have some chance of remaining purely economic in character. But if he does not, he will not thereby avoid psychology. Rather, he will force himself to make his own, and it will be bad psychology.
Tom Clancy|Nothing you write, if you hope to be good, will ever come out as you first hoped.
Sarah J. Maas, The Assassin and the Empire|It was a broken world, I knew then, that would allow a boy such as me to bury a boy such as William K.
Gwendolyn Grace, True|Lovemaking takes time!It is a myth for lovemaking to be quick and smooth. To find pleasure in each other, both men and women need to take time to explore each other with their hands; their lips and they need to be open to each other in a mutual, consensual, and non-judgmental style.sure
Meera Uberoi, Leadership Secrets From The Mahabharata|When opposition presses (OPPRESSION) one has to persevere, press, push back but never allow yourself to be pressed like a grape unless the juice is your victory wine.
C.J. Heck|And while these pounds were being shed, while the physiological miracles were occurring with the heart and muscle and metabolism, psychological marvels were taking place as well. Just so, the world over, bodies, minds, and souls are constantly being born again, during miles on the road.
Edmund Burke, Reflections on the Revolution in France|Society is indeed a contract. ... It is a partnership in all science; a partnership in all art; a partnership in every virtue, and in all perfection.
Anaïs Nin, The Four-Chambered Heart: V3 in Nin's Continuous Novel|Every lover could be brought to trial as the murderer of his own love. When something hurts you, saddens you, I rush to avoid it, to alter it, to feel as you do, but you turn away with a gesture of impatience and say: "I don't understand
Nikos Kazantzakis, Report to Greco|All three explanations—eternal life, reincarnation, and nothingness—are descriptions of the same reality.
Cheryl Strayed, Wild: From Lost to Found on the Pacific Crest Trail|I usually know almost exactly how I feel. The problem is, I just can't tell anyone.
Michelle Obama|I realize that men and women of the military go out and sacrifice their lives and put their selves in harm's way for my freedom of speech and my freedoms in this country, and my freedom to take a seat or take a knee, so I have the utmost respect for them, and I think what I did was taken out of context and spun a different way.
Paulo Coelho, The Pilgrimage|When you are about to die a montage of your family and friends fast forwards until your mind flashes quickly to the person you love and what you last said to them. If it was loving, you die in peace. Life was and always will be about love.
Shannon Stacey, Undeniably Yours|I shall tell you about God once you've reached your imaginary heaven. Then, give me a call.
Jessica Chastain|My father came from Germany. My mom came from Venezuela. My father's culturally German, but his father was Japanese. I was raised in New York and spent two years in Rio. My parents met at the University of Southern Mississippi, and they had me there, and then we moved to New York. I'm not very familiar with Mississippi.
Rick Bragg|They've all got stories, Jess thought. I need to know them. Best of all, he could know them. He could learn anything here. It felt like limitless possibilities.
A.E. Housman, A Shropshire Lad|Into my heart an air that killsFrom yon far country blows:What are those blue remembered hills,What spires, what farms are those?That is the land of lost content,I see it shining plain,The happy highways where I wentAnd cannot come again.
Natalie Lloyd, The Key to Extraordinary|I learned that courage and fear always come as a pair. If you've gone one inside you, you've surely got the other.
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|If you change who you are to suit other people, you may end up dressed for the wrong occasion
Roshan Sharma|Why should I contemplate the failure or the negativity when everything that it happens, it happens for a reason, that is above our human understanding and we may understand it sooner or later?Why I should not take each step, each second, from the gift - life that I have received it, with trust and confidence in God, the Creator, that allows everything to happen, for His master plan?Is it the expressing of the rage, of the sadness, a human nature sin, that is covered under the mask of caring of the human that knows his own smallness?
Maurice Maeterlinck, The Treasure of the humble|And it is because we all of us know of this sombre power and its perilous manifestations, that we stand in so deep a dread of silence. We can bear, when need must be, the silence of ourselves, that of isolation: but the silence of many - silence multiplied - and above all the silence of a crowd - these are supernatural burdens, whose inexplicable weight brings dread to the mightiest soul.
Susan J. Douglas|..."Fun?" you ask. "Weren't feminists these grim-faced, humorless, antifamily, karate-chopping ninjas who were bitter because they couldn't get a man?" Well, in fact the problem was that all too many of them HAD gotten a man, married him, had his kids, and then discovered that, as mothers, they were never supposed to have their own money, their own identity, their own aspirations, time to pee, or a brain. And yes, some women indeed became bad-tempered as a result. After all, no anger, no social change.
Tae Yun Kim, The First Element: Secrets to Maximizing Your Energy|Orange strengthens your emotional body, encouraging a general feeling of joy, well-being, and cheerfulness. Orange vibration foods are: oranges, tangerines, apricots, mangoes, peaches and carrots.
Jonathan Safran Foer, Everything Is Illuminated|Americans live not by facts, but by a lengthy list of myths.
Kyle Beachy, The Slide|Stop doing stuff that doesn’t help you reach your goals. It sounds simple, doesn’t it? It’s a shame almost no one does it. The most common way we work more and do less is by working on the wrong stuff. We spend our time doing, doing, doing, even if the doing has nothing to do with our goals, business, or life.
Allan Lokos, Patience: The Art of Peaceful Living|The experience of pleasant, unpleasant, or neutral is the consequences of perception.
Pablo Neruda, 100 Love Sonnets|Of so much moon were your hips to me,of all the sun your deep mouth and its delight,of so much burning light like honey in the shade
Nancy Moser, Just Jane|When I read a novel I am not here. I am transported to far-off places, my eyes unseeing of the words on the page, busy with a scene being played out in my mind's eye, with my ears engaged, hearing the voices carry from the pen to the present. What a lovely place to be-not here - Just Jane (Chapter Four Page 35)
Jonathan Edwards, The Religious Affections|As it is with spiritual discoveries and affections given at first conversion, so it is in all subsequent illuminations and affections of that kind; they are all transforming. There is a like divine power and energy in them as in the first discoveries; they still reach the bottom of the heart, and affect and alter the very nature of the soul, in proportion to the degree in which they are given. And a transformation of nature is continued and carried on by them to the end of life, until it is brought to perfection in glory.
Jessica Kristie|Through windows,in wishing wells,whispering in the wind...that's where I find you.
Lynn Povich, The Good Girls Revolt: How the Women of Newsweek Sued their Bosses and Changed the Workplace|There were elements of Mad Men at Newsweek, except that unlike the natty advertising types, journalists were notorious slobs and our two- and three-martini lunches were out of the office, not in...Kevin Buckley, who was hired in 1963, described the Newsweek of the early 1960s as similar to an old movie, with the wisecracking private eye and his Girl Friday. "The 'hubba-hubba' climate was tolerated," he recalled. "I was told the editors would ask the girls to do handstands on their desk. Was there rancor? Yes. But in this climate, a laugh would follow.
Yasmine Galenorn, Night Myst|Death's gruesome face taunts:soulless eyes, crimson grimace.I really hate clowns.
Dorothy L. Sayers, The Letters of Dorothy L. Sayers. Vol. 1, 1899-1936: The Making of a Detective Novelist|[W]hen I see men callously and cheerfully denying women the full use of their bodies, while insisting with sobs and howls on the satisfaction of their own, I simply can't find it heroic, or kind, or anything but pretty rotten and feeble.
Nema Al-Araby, Remnants and Ashes|It's ridiculous to think that taking out words will heal hearts,because a palm-sized box is just not enough for the anger of this world.
Peter Clines, Ex-Communication|I've got everything I need right here." That sentimental thought met a room full of cheesy and sarcastic "aw's" and an empty water bottle thrown at my head. No, stop guys, really. You're embarrassing me.
Alberto Villoldo|We must think of ourselves as a tribe — as an international community that has come together with a common purpose of being initiated into the process.We all have to do it together. There is a link that happens — where THE growth, my growth, depends on the others' growth around us.We can no longer take these steps by ourselves. We have created a synergistic community. We must take a step towards knowledge together.
Jelani Cobb|Nuance is anathema to his thinking, which is why he can maintain such fidelity to his ideas in a-hundred-and-forty-character bursts.
E.E. Cummings, E. E. Cummings: A Miscellany Revised|Anybody can learn to think, or believe, or know, but not a single human being can be taught to feel... the moment you feel, you're nobody ― but-yourself ― in a world which is doing its best, night and day, to make you everybody else ― means to fight the hardest battle which any human being can fight, and never stop fighting.
Brynna Gabrielson, Starkissed|So how did you get this job, anyway?' I asked.'My science teacher.''Why'd he pick you?''For my brains and good looks, obviously.''Yeah, right. My social studies teacher picked me, but I can't really figure out why."'For your brains and good looks, obviously.''Um, thanks.' Had Aaron just complimented me? Wow.
Lailah Gifty Akita, Think Great: Be Great!|If you don’t choose what you want, others will give you their choices.
Van Morrison|The problem for me, still today, is that I write purely with one dramatic structure and that is the rite of passage. I'm not really skilled in any other. Rock and roll itself can be described as music to accompany the rite of passage.
Rebecca Donovan, Reason to Breathe|A few stars were approaching and in their brightness I glimpsed a fragment of your vanished soul – cheerful and frivolous, unforgettable.
Evans Biya|One thing I have learnt in this life, is that you got to have Jesus.
Ernest Agyemang Yeboah|Maturity: control your emotions! Maturity: get understanding! Maturity: learn from daily experiences! Maturity: practice what you learn distinctively! Maturity: know when to do what! Maturity: understand silence, actions and words and use them well and appropriately! Maturity: don’t just say anything, don’t just do anything, don’t just act anything, don’t just throw anything and don’t just show anything at all, not even at the most compelling moment, unless you are fully ready to be responsible, without any speck of regret, for the consequences of anything done out of immaturity! Let us get matured whilst we grow and let us grow in maturity
Emma Thompson, The Sense and Sensibility Screenplay and Diaries: Bringing Jane Austen's Novel to Film|You invaded Narnia. You have no more right leading than Miraz does. Peter Pevensie: You, him, your father! Narnia's better off without the lot of you!
Todd Stocker|Over time, your actions betray your heart - for good or for evil.
Alan Greenspan|Success is about enjoying what you have and where you are, while pursuing achievable goals.
Daniel Boone|My boy, one small breeze doesn't make a wind storm.
Heather Hepler, Love? Maybe|Do you think we can just take it on faith right now that I want you, you want me, and we'll figure out the happy ending part later?
Trevor Noah, Born a Crime: Stories From a South African Childhood|It didn't matter that there was a war on our doorstep. She had things to do, places to be.
E. Joseph Cossman|I don't want to do business with those who don't make a profit, because they can't give the best service.
John Carmack|Work hard, be kind, and amazing things will happen.
Grace Gealey|Being poor with three small children is terrifying. You can't make any plans. You know you're not going on holiday, ever. There's no way you could ever afford driving lessons or a car. And the guilt I used to feel: they had holes in their shoes, and at one point, I had to send them to school wearing Wellingtons when the sun was shining.
knight mayor|gurl,if you were a flower I will plant you in heart,watering you with my blood and cover you with my body.
Wallace Stegner, Remembering Laughter|StillIn the fall, I believe again in poetryif nothing else it isa movement of the mind.Summers ball togetherinto sticky lumps,spring evenings are glass beads from one mouldfor standard-size youth,winter a smooth heaviness, not even cold.But the mind trembleshere, on the brinkthe mind tremblesthere is life, after all,there is life, stillunbelief left.
Jenim Dibie, The Calligraphy of God|There is still peace left in the world,and only those with beauty in their soul,care enough to be it.
Mark Sanborn, Fred 2.0: New Ideas on How to Keep Delivering Extraordinary Results|Big oaks grow from small acorns, and activity is a precursor to accomplishment. You don't think yourself into success.
Oscar Wilde, The Picture of Dorian Gray|Those who find ugly meanings in beautiful things are corrupt without being charming. This is a fault. Those who find beautiful meanings in beautiful things are the cultivated. For these there is hope. They are the elect to whom beautiful things mean only Beauty. There is no such thing as a moral or an immoral book. Books are well written, or badly written. That is all.
Judith Martin, Common Courtesy: In Which Miss Manners Solves the Problem That Baffled Mr. Jefferson|There was no singles problem until singles got so single-minded that they stopped wasting time with anyone ineligible. Before that, it was understood that one of society's main tasks was matchmaking. People with lifelong friendships and ties to local nonprofessional organizations did not have to fear that isolation would accompany retirement, old age, or losing a spouse. Overburdened householders could count on the assistance not only of their own extended families, but of the American tradition of neighborliness.
Ben S. Bernanke|A meritocracy is a system in which the people who are the luckiest in their health and genetic endowment; luckiest in terms of family support, encouragement, and, probably, income; luckiest in their educational and career opportunities; and luckiest in so many other ways difficult to enumerate — these are the folks who reap the largest rewards. The only way for even a putative meritocracy to hope to pass ethical muster, to be considered fair, is if those who are the luckiest in all of those respects also have the greatest responsibility to work hard, to contribute to the betterment of the world, and to share their luck with others.
Lewis Spence, British Fairy Origins|I do tasks for the gods, usually things like tracking down rare items or taking someone safely to a destination."D'Molay the Freeman Tracker
Paul Kriwaczek, Babylon: Mesopotamia And The Birth Of Civilization|We only refer to sapient creatures as civilized when their society is willingly self-correcting. That means that any problem or imbalance that arises is fixed, and I mean really fixed - not ignored, not hidden, and not passed off to a future generation.
Daniel M. Lewis|The secret to succeeding in business, is in the first two letters of business... BU.
|Some people think that they know our struggles, challenges and obstacles, but the truth is that they don't know half of them. This is why we should never allow others to define our lives for us.
Erin Morgenstern, The Night Circus|You, my lord, are the ending of all true stories.
Mehmet Murat ildan|In a democracy, when the traffic light is red for freedoms, don’t ever stop, don’t ever wait! Refuse the red light, ignore it, break the rules and move forward! It is always legitimate to challenge fascism for every nation in the world as long as this challenge is nonviolent! Because violence means using the same vulgar, the same evil methods of fascism! Don’t behave like a dog when fighting against a dog!
Michael Weatherly|My principal motivation is supporting my family, which is not a bad reason for getting up in the morning. That's always been my motivation - to take care of the people who rely on me.
Michael Brett Turner|There's a “Pleasure"of happinessIn every thing I really wanna doWhen I find true happinessIn every thing I can do - Cocoy McCoy -
