Paresh Shah|People don't have ideas, ideas have people.
Arun Gandhi, Legacy of Love: My Education in the Path of Nonviolence|When people are forced to respect civil rights and human rights or face legal consequences, they don't like it. Civil rights laws will be scrupulously observed only when people accept that it is morally wrong to oppress or discriminate against fellow human beings. That awareness can come only through education. A law will enable integration in public places, but it does not foster understanding or appreciation in the hearts of people who continue to live with their prejudices.
Paula Stokes, This is How it Happened|Yet in our hands and within our view is a whole universe of discovery and clarification, which is a pleasure to study in itself, gives the average person access to insights that not even Darwin or Einstein possessed, and offers the promise of near-miraculous advances in healing, in energy, and in peaceful exchange between different cultures. Yet millions of people in all societies still prefer the myths of the cave and the tribe and the blood sacrifice.
Bob Proctor|The report card just told me, my teacher, my parents where my mind was at maybe 3 weeks before when they gave me a test HE HAD NOTHING TO DO WITH MY POTENTIAL.”― Bob Proctor
Bill Cosby|There is something really horrific for any human being who feels he is being consumed by other people. I'm talking about a writer's critics, who don't address what you've written, but want to probe into your existence and magnify the trivia of your life without any sense of humor, without any sense of context.
Ford Madox Ford, Parade's End|I don't believe that." She seems like suck a force,this reasonable girl who kills with a turn of her fingers. She would have left all this behind, if she had the chance. "I honestly don't remember," she sighs "I don't think I was strong in life. Now it seems like I loved every moment, that every breath was charmed and crisp." she clasps her hands comically to her chest and breaths in deep through her nose, then blows it out in a huff. "I probably didn't. For all my dreams and fancies, I can't recall being...what would you call it? Perky?
T. Rafael Cimino, The Heir Apparent|When your wife asks you for your opinion, she doesn't really want your opinion. She wants her opinion - just in a deeper voice.
Jonathan Darman, Landslide: LBJ and Ronald Reagan at the Dawn of a New America|Dependence on drugs is not a disease, it is not a virus, it is not something that stalks only the dregs of society. Drug addiction is REALIZED EMOTIONAL DEFICIENCY SYNDROME.
Marek Halter, Mary of Nazareth|I no longer know what the Lord wants of us... Even what we're doing here seems pointless to me! What's the use of the books I've brought with me? All those bookcases in the house? The things we learn, the things we discuss? Not so long ago, I was convinced that cultivating our minds would help us change the course of this world. I told myself, 'We women should change. Then we might be able to curb the folly of men.' I don't believe that now. As soon as I leave Magdala, as soon as I spend a day in the streets of Tarichea, I get the feeling we're becoming more and more learned and more and more useless.
Douglas R. Hofstadter, I Am a Strange Loop|I drink much less than most people think, and I think much more than most people would believe.
Matthew De Abaitua, If Then|Who desired the Great War? No nation benefitted from it. The war brought about the destruction of the Prussian Empire, stripped the British Empire of its ability to hold its colonies, slaughtered the French and starved Germany, inspired a revolution in Russia, and prepared the ground for a more terrible slaughter to come. The great powers didn’t want a war and they certainly didn’t need one. But their people wanted a war. To the surprise of the rulers across the Allies and the Central Powers, the idea of war was seized by the people of every nation.
Clint Eastwood|We allow our ignorance to prevail upon us and make us think we can survive alone, alone in patches, alone in groups, alone in races, even alone in genders.
Hal Duncan, Rhapsody: Notes on Strange Fictions|This is the fiction that I’m referring to as rhapsody, this stitching of mimetic representation, oneiric imagery, ludic rules, allegoric morals, satiric critique and diegetic story into complex quiltings of narrative.
Clive Barker|Fucking GUNS are fucking AWESOME and when you SHOOT them at SHIT, they fucking KILL it!
Dan Abnett, Xenos|If he speaks again without me knowing who he is, I will throw him out of the window. And I won't open it first.
Koushun Takami, Battle Royale|Our lives are led, and our decisions made, within a network of needs and wants, some natural, some arising from the acts of others, some aggravated by the acts of the state. We are all bored, or threatened, or tantalized in differing degrees by a perilous world, some hostile people, and a not very sensitive government.
Carol Rifka Brunt, Tell the Wolves I'm Home|Being reveals itself in all its beauty, splendor, and mystery “to him who contemplates it reverently.” ... What's the most beautiful part of the world, the part that has the greatest dignity? It’s not really a part but a person – it’s every person. Personal being is the greatest wonder of the cosmos.
Stefan Zweig, Letter from an Unknown Woman and Other Stories|Another kind of bodily pleasure is that which results from an undisturbed and vigorous constitution of body, when life and active spirits seem to actuate every part. This lively health, when entirely free from all mixture of pain, of itself gives an inward pleasure, independent of all external objects of delight; and though this pleasure does not so powerfully affect us, nor act so strongly on the senses as some of the others, yet it may be esteemed as the greatest of all pleasures; and almost all the Utopians reckon it the foundation and basis of all the other joys of life, since this alone makes the state of life easy and desirable, and when this is wanting, a man is really capable of no other pleasure.
D.H. Lawrence, Lady Chatterley's Lover|Connie’s man could be a bit sulky, and Hilda’s a bit jeering. But that is how men are! Ungrateful and never satisfied. When you don’t have them they hate you because you won’t; and when you do have them they hate you again, for some other reason. Or for no reason at all, except that they are discontented children, and can’t be satisfied whatever they get, let a woman do what she may.
Michele Bardsley|I think there are two different oceans - the one that plays with you in the summer, and the one that gets so mad in the winter.
Cassandra Giovanni, Flawed Perfection|Go take a shower, you smell like good sex and unnecessary regret.
Margaret Atwood, The Penelopiad|Point being that you don't have to get too worked up about us, dear educated minds. You don't have to think of us as real girls, real flesh and blood, real pain, real injustice. That might be too upsetting. Just discard the sordid part. Consider us pure symbol. We're no more real than money.
R.J. Palacio, Wonder|Do people look the same when they go to heaven, mommy?""I don't know. I don't think so.""Then how do people recognize each other?""I don't know, sweetie. They just feel it. You don't need your eyes to love, right?
Rick Riordan, The Battle of the Labyrinth|And I was holding someone who was destined to be my best friend, or possibly my worst enemy.
Dietrich Bonhoeffer|My past life is abundantly full of God’s mercy, and, above all sin, stands the forgiving love of the Crucified.
Victoria Michaels, Trust in Advertising|While she was light and sunshine, he was nothing but clouds and darkness.
Brenda Ueland, If You Want to Write: A Book about Art, Independence and Spirit|(about William Blake)[Blake] said most of us mix up God and Satan. He said that what most people think is God is merely prudence, and the restrainer and inhibitor of energy, which results in fear and passivity and "imaginative death."And what we so often call "reason" and think is so fine, is not intelligence or understanding at all, but just this: it is arguing from our *memory* and the sensations of our body and from the warnings of other people, that if we do such and such a thing we will be uncomfortable. "It won't pay." "People will think it is silly." "No one else does it." "It is immoral."But the only way you can grow in understanding and discover whether a thing is good or bad, Blake says, is to do it. "Sooner strangle an infant in its cradle than nurse unacted desires."For this "Reason" as Blake calls it (which is really just caution) continually nips and punctures and shrivels the imagination and the ardor and the freedom and the passionate enthusiasm welling up in us. It is Satan, Blake said. It is the only enemy of God. "For nothing is pleasing to God except the invention of beautiful and exalted things." And when a prominent citizen of his time, a logical, opining, erudite, measured, rationalistic, Know-it-all, warned people against "mere enthusiasm," Blake wrote furiously (he was a tender-hearted, violent and fierce red-haired man): "Mere enthusiasm is the All in All!
Don Everly|I love inspirational R&B, like Mary J. Blige and Jennifer Hudson. I want to do that. That kind of music stays with you.
Hrishikesh Agnihotri|Some people make you feel worthless. And then there are those who make you feel like a million dollars. Ultimately, it's up to you to decide who you choose to believe.
Allen Wheelis|Matter would have the universe a uniform dispersion, motionless, complete. Spirit would have an earth, a heaven and a hell, whirl and conflict, an incandescent sun to drive away the dark, to illuminate good and evil, would have thought, memory, desire, would build a stairway of forms increasing in complexity, inclusiveness, to a heaven ever receding above, changing always in configuration, becoming when reached but the way to more distant heavens, the last . . . but there is no last, for spirit tends upward without end, wanders, spirals, dips, but tends ever upward, ruthlessly using lower forms to create higher forms, moving toward ever greater inwardness, consciousness, spontaneity, to an ever greater freedom.
Damian Lewis|I feel truth, beauty, love, grief, anger, intimacy & alive in my body... Women in the global south live in their bodies much more than we in the global north. Not as distracted by patriarchy's controlling images - They know power is in their bodies. I am deeply grateful for the women who showed me the way home.
Arthur Laffer|Tobacco companies are legally operating entities in Australia. If the Government thinks that they should not make donations to political parties, well then they should ban them operating as legally structured entities in Australia.
Leah Braemel, Slow Ride Home|His thought processes imploded when she grabbed his ass, her nails digging in a way that set his body on fire. He loved the way her breath was hot on his cheek, the way her eyes had gone unfocused and fluttered closed, her lashes resting softly on her cheeks. She was here and for tonight, this weekend, she was his.
Erich Maria Remarque|I have awaited a storm that should deliver me, pluck me away and now it has come softly, even without my knowledge. But it is here. While I was despairing, thinking everything lost, it was already quietly growing. I had thought that division was always an end. Now I know that growth also is division. And growth means relinquishing. And growth has no end.
Gregory Maguire, Out of Oz|Secrets are revealed as you are ready to understand them. It seems capricious and mean-spirited of the Grimmerie to hold back, to yield and then to tease with a single page – but then the world is the same way, isn’t it. The world rarely shrieks its meaning at you. It whispers, in private language and obscure modalities, in arcane and quixotic imagery, through symbol systems in which every element has multiple meanings determined by juxtaposition.
Ryszard Kapuściński, Travels with Herodotus|Interestingly, the more Americans report knowing about Muslim countries, the more likely they are to hold positive views of those countries. (p. 155)
Brandon Sanderson, The Way of Kings|You learned this,” Kabsal said, lifting up her drawing of Jasnah, “from a book.”“Er…yes?”He looked back at the picture. “I need to read more.
Jane Austen, Persuasion|There’s not really such thing as ‘good’ or ‘bad’ people, there’s just like…humanity. And it gets broken sometimes.
Nhat Hanh|When you smile, you don't only appear to be more likable and courteous, you appear to be more competent.
Dada Bhagwan|Through the grace of a thief, one can become a thief and through the grace of a Gnani [the enlightened one], one can become a Gnani [the enlightened one].
Meredith T. Taylor, Churning Waters (The Churning Waters Saga)|My life had become a puzzle - its pieces scattered about like paper in the wind, with no one there to chase them but me.
Lauren Oliver, Before I Fall|I keep quiet and look out the window. The light is weak and watery-looking, like the sun hast just spilled itself over the horizon and is too lazy to clean itself up. The shadows are as sharp and pointed as needles. I watch three black crows take off simultaneausly from a telephone wire and wish I could take off too, move up, up, up, and watch the ground drop away from me the way it does when you're on an airplane, folding and compressing into itself like an origami figure, until everything is flat and brightly colored - until the world is like a drawing of itself
Pushkar Saraf|Confront all the angry thoughts, feelings, the jealousies and condemnations, to find their cause, seek the root of such feelings and then operate on that. Need of security and reassurance can cause criminal acts.
Jasper Fforde, Shades of Grey|Hunter-gathers, by nature, store information for use, understanding that there may be a time when information is scarce.
Dante Alighieri|It was a sordid scene. Philip leaned over the rail, staring down, and he ceased to hear the music. They danced furiously. They danced round the room, slowly, talking very little, with all their attention given to the dance. The room was hot, and their faces shone with sweat. It seemed to Philip that they had thrown off the guard which people wear on their expression, the homage to convention, and he saw them now as they really were. In that moment of abandon they were strangely animal: some were foxy and some were wolflike; and others had the long, foolish face of sheep. Their skins were sallow from the unhealthy life the led and the poor food they ate. Their features were blunted by mean interests, and their little eyes were shifty and cunning. There was nothing of nobility in their bearing, and you felt that for all of them life was a long succession of petty concerns and sordid thoughts. The air was heavy with the musty smell of humanity. But they danced furiously as though impelled by some strange power within them, and it seemed to Philip that they were driven forward by a rage for enjoyment. They were seeking desperately to escape from a world of horror. The desire for pleasure which Cronshaw said was the only motive of human action urged them blindly on, and the very vehemence of the desire seemed to rob it of all pleasure. The were hurried on by a great wind, helplessly, they knew not why and they knew not whither. Fate seemed to tower above them, and they danced as though everlasting darkness were beneath their feet. Their silence was vaguely alarming. It was as if life terrified them and robbed them of power of speech so that the shriek which was in their hearts died at their throats. Their eyes were haggard and grim; and notwithstanding the beastly lust that disfigured them, and the meanness of their faces, and the cruelty, notwithstanding the stupidness which was the worst of all, the anguish of those fixed eyes made all that crowd terrible and pathetic. Philip loathed them, and yet his heart ached with the infinite pity which filled him.He took his coat from the cloak-room and went out into the bitter coldness of the night.
Douglas Woolf, Wall to Wall|Smile, my beloved, like the gold smiles from my father's coffers.
Henry Wadsworth Longfellow|If lighthouse becomes a burning candle, flickered upon ocean's insanity.Your sailing heart there anchors to handle the obsessed breeze towards sand dune's vanity.
Rebecca K. Lilley, Breathing Fire|Far be it from me to slow down two badass supermodels on a mission, but we have a problem," a male voice said wryly.I could see Christian out of the corner of my eye as we turned, his stance and movements almost synchronized to my own. We shared a look, our expressions almost identically similar, wit arched brows and half-smiles."What's the problem?" I called out, scanning the faces to see who had spoken."You're a badass supermodel," Christian muttered under his breath at the same time, taking the mature approach, as usual.
Wendell Berry, Jayber Crow|If God loves the world, might that not be proved in my own love for it? I prayed to know in my heart His love for the world, and this was my most prideful, foolish, and dangerous prayer. It was my step into the abyss. As soon as I prayed it, I knew that I would die. I knew the old wrong and the death that lay in the world. Just as a good man would not coerce the love of his wife, God does not coerce the love of His human creatures, not for Himself or for the world or for one another. To allow that love to exist fully and freely, He must allow it not to exist at all. His love is suffering. It is our freedom and His sorrow. To love the world as much even as I could love it would be suffering also, for I would fail. And yet all the good I know is in this, that a man might so love this world that it would break his heart.
Srikumar Rao|What has gone catastrophically wrong in England and the States is that for 30 years we've lost the ability to talk about the state in positive terms. We've raised a generation or two of young people who don't think to ask, 'What can the state do that is good?'
Sherman Alexie, The Absolutely True Diary of a Part-Time Indian|You read a book for the story, for each of its words," Gordy said, "and you draw your cartoons for the story, for each of the words and images. And, yeah, you need to take that seriously, but you should also read and draw because really good books and cartoons give you a boner."I was shocked:"Did you just say books should give me a boner?""Yes, I did.""Are you serious?""Yeah... don't you get excited about books?""I don't think that you're supposed to get THAT excited about books.""You should get a boner! You have to get a boner!" Gordy shouted. "Come on!"We ran into the Reardan High School Library."Look at all these books," he said."There aren't that many," I said. It was a small library in a small high school in a small town."There are three thousand four hundred and twelve books here," Gordy said. "I know that because I counted them.""Okay, now you're officially a freak," I said."Yes, it's a small library. It's a tiny one. But if you read one of these books a day, it would still take you almost ten years to finish.""What's your point?""The world, even the smallest parts of it, is filled with things you don't know."Wow. That was a huge idea.Any town, even one as small as Reardan, was a place of mystery. And that meant Wellpinit, the smaller, Indian town, was also a place of mystery."Okay, so it's like each of these books is a mystery. Every book is a mystery. And if you read all of the books ever written, it's like you've read one giant mystery. And no matter how much you learn, you keep on learning so much more you need to learn.""Yes, yes, yes, yes," Gordy said. "Now doesn't that give you a boner?""I am rock hard," I said.
Anaïs Nin|With such luck as this, he rode the beast in the jaunty way that she deserved, back north, seemingly back from Mexico, pulling up finally at an outlying bar-ex-saloon (they had covered the old adobe face with knotty pine, substituted big stone matades for the cuspidors) and having brought her wrecklessly this far did not park her in the little parking lot but in front of the church next door. They had lifted that face too and neonized, but it did no good, they seemed to know they had no chance against an older god, their doors were closed. Thus one could join the pagan worshipers with a self-righteous shrug, through latticed doors.
Brian McGreevy, Hemlock Grove|I think we’re part of a greater wisdom that we will ever understand; a higher order, call it what you want. Know what I call it? The Big Electron. It doesn’t punish, it doesn’t reward, it doesn’t judge at all. It just is.
Archibald Marwizi, Making Success Deliberate|Principle-centred leadership, consistent leadership, stewardship and servant leadership are all values-driven. Always go back to reflect on your beliefs and values as you go about your leadership responsibilities.
Wendell Berry, The Unsettling of America: Culture and Agriculture|What we mean when we say that something is "cultural" is that it is roughly similar to what we find in other members of the particular group we are considering, and unlike what we would find in members of a contrast group. This is why it is confusing to say that people share a culture, as if culture were common property. We may have strictly identical amounts of money in our respective wallets without sharing any of it!
Kellyn Roth, The Dressmaker's Secret|Ghosts!” gasped Alice. “Real, live ghosts?”“No! Not ‘real, live ghosts!’ Spooky, dead ghosts!
Simone Weil|The joy of learning is as indispensable in study as breathing is in running. Where it is lacking there are no real students, but only poor caricatures of apprentices who, at the end of their apprenticeship, will not even have a trade.
James Carl Nelson, Five Lieutenants: The Heartbreaking Story of Five Harvard Men Who Led America to Victory in World War I|It is not what you look at, but rather what you see that matters. Set your focus right.
Steve Maraboli, Life, the Truth, and Being Free|Simplify your life. You don't grow spiritual, you shrink spiritual.
Erica Jong, Fear of Fifty: A Midlife Memoir|There's an old joke about a mother watching a column of soldiers pass by. Her son is in the ranks. All those men out of step, she says, except our Fred.
Vijay Kedia|Investing is like Yoga. Body, mind and soul have to be aligned.
Donna Lynn Hope|The author points out that, with life in provincial Washington difficult for those not of independent means, Adams and his wife undervalued the social connections that others found vital. They often made an impression as distant and prideful.
Roberto Benigni|There's nothing to be gained, and much to be lost, in trying to bend every child to match a one-size-fits-all notion of what it means to be a boy or girl of a specific age. Better to set a few parameters and then go with the flow. Call it 'jazz parenting.'
Dale Carnegie|By talking to yourself every hour of the day, you can direct yourself to think thoughts of courage and happiness, thoughts of power and peace. By talking to yourself about the things you have to be grateful for, you can fill your mind with thoughts that soar and sing.
Howard Kerr, The Haunted Dusk|But the recurrent ambiguity of the American tale of the supernatural reveals both a fascination with the possibility of numinous experience and a perplexity about whether there was, in fact, anything numinous to be experienced. Writers often delighted in leading readers into, but not out of, the haunted dusk of the borderland.
Billy Graham, Billy Graham in Quotes|Our soul is that part of our being which possesses intelligence, conscience, and memory—the real personality. Your body will die, but your soul lives on. And that soul has a “sixth sense”—the ability to believe, to have faith.
Jonathan Lethem|This was the time when all we could talk about was sentences, sentences—nothing else stirred us. Whatever happened in those days, whatever befell our regard, Clea and I couldn’t rest until it had been converted into what we told ourselves were astonishingly unprecedented and charming sentences: “Esther’s cleavage is something to be noticed” or “You can’t have a contemporary prison without contemporary furniture” or “I envision an art which will make criticism itself seem like a cognitive symptom, one which its sufferers define to themselves as taste but is in fact nothing of the sort” or “I said I want my eggs scrambled not destroyed.”At the explosion of such a sequence from our green young lips, we’d rashly scribble it on the wall of our apartment with a filthy wax pencil, or type it twenty-five times on the same sheet of paper and then photocopy the paper twenty-five times and then slice each page into twenty-five slices on the paper cutter in the photocopy shop and then scatter the resultant six hundred and twenty-five slips of paper throughout the streets of our city, fortunes without cookies.
J.K. Rowling, Harry Potter and the Half-Blood Prince|Hermione, if Harry’s seen a Grim, that’s — that’s bad,” he said.“My — my uncle Bilius saw one and — and he died twenty-four hours later!”“Coincidence,” said Hermione airily, pouring herself some pumpkin juice.“You don’t know what you’re talking about!” said Ron, starting to get angry. “Grims scare the living daylights out of most wizards!” “There you are, then,” said Hermione in a superior tone. “They see the Grim and die of fright. The Grim’s not an omen, it’s the cause of death! And Harry’s still with us because he’s not stupid enough to see one and think, right, well, I’d better kick the bucket then!
Helen Rowland|When a girl marries, she exchanges the attention of many men for the inattention of one.
William Edward Hartpole Lecky, The Map of Life, Conduct, and Character|That vice has often proved an emancipator of the mind, is one of the most humiliating, but, at the same time, one of the most unquestionable facts in history.
Kurt Vonnegut Jr., If This Isn't Nice, What Is?: Advice for the Young|Reflection can be painful, but reflection can also be productive.
Michael Levenson|So he was queer, E.M. Forster. It wasn't his middle name (that would be 'Morgan'), but it was his orientation, his romping pleasure, his half-secret, his romantic passion. In the long-suppressed novel Maurice the title character blurts out his truth, 'I'm an unspeakable of the Oscar Wilde sort.' It must have felt that way when Forster came of sexual age in the last years of the 19th century: seriously risky and dangerously blurt-able. The public cry had caught Wilde, exposed and arrested him, broken him in prison. He was one face of anxiety to Forster; his mother was another. As long as she lived (and they lived together until she died, when he was 66), he couldn't let her know.
Robert Plant|God blessed me with two unbelievable parents, and I am just like both of them. I have the smile and charisma of my mother and the big heart of my mom, because she wants to save the world and help the world, so I am just like her.
Jamie S. Rich, The Everlasting|He says he knows someone isn't from the same race as he when that person looks at his library and asks, 'Have you read all of these?' A true book lover knows that, no, he hasn't read them all. It's about the process, it's about when the right reference comes up, you have the right book to go to; it's about never being without something to occupy your eyes and mind.
Jenny Han, To All the Boys I've Loved Before|Wonder why we can do this,' he called out with his mind. The mental effort of speaking to her was already straining—he felt a headache forming like a bulge in his brain. 'Maybe we were lovers,' Teresa said. Thomas tripped and crashed to the ground. Smiling sheepishly at Minho, who’d turned to look without slowing, Thomas got back up and caught up to him. 'What?' he finally asked. He sensed a laugh from her, a watery image full of color.
Edward Abbey, Down the River|People carry around with them internalization's fixed-feature space learned early in life. Man is like other members of the animal kingdom , first, last and always a prisoner of his biological organism. No matter how hard he tries, it is impossible for him to the best himself of his own culture, where it has penetrated to the roots of his nervous system and determines how he perceives the world.
Santosh Kalwar|Simple the life, simpler will be your instincts, the laws that govern universe will obey your simplicity.
H.M. Ward, Stone Prison|Did you know that a mind full of malice and hate is able to actually attack another's body and mind? Thus preventing good from taking place (or at least delaying and disrupting the good)? It's true, and we can call it a "psi-attack" or simply an attack from negativism. The way to overcome these forms of attacks is through cultivating a true Positive Soul through the energy of Love. The Love Nature of your Soul is powerful enough to counteract such attacks, because that positive energy forms a blanket around you. Real life isn't much unlike the movies, aside from the fact that in real life, these things truly affect your life immensely, unlike sitting down in a cinema. The vampires of the world are those who can in fact launch massive psi-attacks on whoever they focus their negative energies onto, and for whatever reasons that may be.
Rhianna Pratchett|Because I believe that humans are computers, I conjectured that computers, like people, can have left- and right-handed versions.
Harlan Ellison, Dangerous Visions|There was, in my view, an unwritten contract with the reader that the writer must honour. No single element of an imagined world or any of its characters should be allowed to dissolve on an authorial whim. The invented had to be as solid and as self-consistent as the actual. This was a contract founded on mutual trust.
Arthur Conan Doyle, Sherlock Holmes: The Complete Novels and Stories, Volume I|Do you know, Watson," said he, "that it is one of the curses of a mind with a turn like mine that I must look at everything with reference to my own special subject. You look at these scattered houses, and you are impressed by their beauty. I look at them, and the only thought which comes to me is a feeling of their isolation and of the impunity with which crime may be committed there.
Leo Tolstoy, War and Peace|This history of culture will explain to us the motives, the conditions of life, and the thought of the writer or reformer. 
Judith Lewis Herman, Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror|First, the physiological symptoms of post-traumatic stress disorder have been brought within manageable limits. Second, the person is able to bear the feelings associated with traumatic memories. Third, the person has authority over her memories; she can elect both to remember the trauma and to put memory aside. Fourth, the memory of the traumatic event is a coherent narrative, linked with feeling. Fifth, the person's damaged self-esteem has been restored. Sixth, the person's important relationships have been reestablished. Seventh and finally, the person has reconstructed a coherent system of meaning and belief that encompasses the story of trauma.
Anthony Marra, A Constellation of Vital Phenomena|the absence isn’t immediate, more a fade from the present tense you shared, a melting into the past, not an erasure but a conversion in form, from presence to memory, from solid to liquid, and the person you once touched now runs over your skin, now in sheets down your back, and you may bathe, may sink, may drown in the memory, but your fingers cannot hold it.
Valenciya Lyons, Life After Natalie|The only reason I asked is because, in terms of learning how to forgive someone, I’ve been where you’re headed. Don’t let her win; don’t let this eat away at you until there’s nothing left.
Kate Summerscale, The Suspicions of Mr. Whicher: A Shocking Murder and the Undoing of a Great Victorian Detective|An ax came through the door. Then two firefighters. They looked down at and assistant mall manager crying and wearing a melted toupee, sitting cross-legged next to a mall cop with a bleeding ankle and a mouth full of paper. One of the firefighters look at the other. "Not again.
K. Valisumbra, Mortlake and Other Stories|An idea: a theory or an equation, might sit around unnoticed for decades, centuries, even, before it's rediscovered and put to some use. That's how it works: it makes connections with other ideas, other knowledge, gathering momentum all the time, growing exponentially if it's strong enough. Just like it would connect and grow within the billions of neurons in a single mind.
Dave Ramsey, The Total Money Makeover: A Proven Plan for Financial Fitness|The love of money, not money, is root of all evil.
Brownell Landrum, A Chorus of Voices: DUET stories Volume III - Adult Version|With his ardent passion for energy and ability to make the most out of little, Tulga Demir has successfully entered the renewable energy industry through biomass gasification, combined heat and power, and waste-to- energy power solutions
Andre Agassi, Open|You are in control of your life, when you refuse to be provoke.
Wendell Berry, Jayber Crow|I thought, He must forebear to reveal His power and glory by presenting Himself as Himself, and must be present only in the ordinary miracle of the existence of His creatures. Those who wish to see Him must see Him in the poor, the hungry, the hurt, the wordless creatures, the groaning and travailing beautiful world.
C.K. Webb|Most people keep their dreams to themselves, afraid to follow their hearts. Writers make their dreams a reality with each word, each line that flows from their pen.
Ann Patchett, Commonwealth|The Hierarchic Qualm: The sword kills. But the arm moves the sword. Is the arm to blame for murder? No. The mind moves the arm. Is the mind to blame? No. The mind has sworn an oath to duty, and that duty moves the mind, as written by the Throne. So it is that a servant of the Throne is blameless.
Sunday Adelaja|I’ve been thinking a lot about legacies lately. Life seems to be a waste without someone to share it with and even more so when there’s no one to benefit from your efforts when you’re gone. Sort of makes you want to throw your hands up in the air and stop working. Luckily, that feeling forces you to focus more on today… even if only to avoid being depressed while thinking about an empty, distant tomorrow. What can I do today to enrich others? What can I share with the people I encounter today?
Jill Shalvis, Accidentally on Purpose|Just remember, there’s not a lot of softness in his life, or room for weakness—of which you’re definitely one. He has absolutely no idea what to do with you, and as an action guy, that’s confusing to him. So maybe think about taking it easy on him. Even just a little bit.
C. JoyBell C.|In the beginning, the price of giving great love is risking that it won't be returned. Until you understand, of course, that great love is always returned. With interest.
Sandeep Sahajpal|When we break 5M’s of Manufacturing Efficiency - Men, Machine, Materials, Methods & Money to personal level, the first two M’s will spell Minutes & Mind, and rest remain constant!
Graham Greene|Imagination, curiosity, passion, creativity these are the words that move me!
Susane Colasanti, Take Me There|That's the cool thing about having a best friend. They know what your pain feels like already, so you don't have to explain it.
Sunday Adelaja|God is not supposed to fix the earth, he created man for that.
Abhijit Naskar|You must remember, the so-called Jihadis who are in reality, mentally unstable individuals run by Quranic fundamentalists, do not represent the whole Muslim population of the world.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Listen to 'The Voice', not the choice
Robert Hughes, The Shock of the New|Don't make a bridge which divides you with everyone by your own assumptions ....."As distance always doesn't ensure solutions
Debasish Mridha|True education makes you beautiful like a butterfly, but it demands a transformation.
Elizabeth Winder, Pain, Parties, Work: Sylvia Plath in New York, Summer 1953|Since children from dysfunctional families are so good at judging others, they also judge themselves finding themselves unacceptable when compared to others, always assuming they are second best, not enough. This is a painful realization so often they hide behind righteous arrogance.
Paulo Coelho, By the River Piedra I Sat Down and Wept|If I must fall, may it be from a high place.
Haroutioun Bochnakian, The Human Consensus and The Ultimate Project Of Humanity|It's all about perspective. The sinking of the Titanic was a miracle to the lobsters in the ship's kitchen. (Oct 4, 2011)
Julie B.  Campbell, Love at First Plight|Music had always had the ability to help ease my suffering. I sang a great deal at home. I sang to myself and to Lord Imery. Sometimes, I played the harp to accompany myself. Learning such a graceful instrument had filled my heart with pride. I loved the feeling of adding something beautiful to a room.I looked down at my shaking hands. There were no melodies left in those withered fingers.
Emily Post|The most advertised commodity is not always intrinsically the best; but is sometimes merely the product of a company, with plenty of money to spend on advertising.
Frank Sonnenberg, Follow Your Conscience: Make a Difference in Your Life & in the Lives of Others|When you master the basics, and execute them well, there’s no need to worry about the score.
Stefan Emunds|When you start to notice the mystical, the mystical will start to notice you.
Sebastian Faulks, Engleby|There is a dead spot in the night, that coldest, blackest time when the world has forgotten evening and dawn is not yet a promise. A time when it is far too early to arise, but so late that going to bed makes small sense.
Saahil Prem|You are either the person you were or the person you are, eventually you have to let go of one
Clara Kensie, Aftermath|Each second of my four years, two months, and seven days in the attic dragged on forever, and nothing ever changed. But outside the attic, everything changed, and so violently fast. Destruction and devastation for all of us, whether we were in the attic or out.
René Guénon|Sciences can only be validly constituted as ‘sacred sciences’ by those who, before all else, are in full possession of principia! Knowledge and are thereby qualified to carry out, in conformity with the strictest traditional orthodoxy, all the adaptations required by circumstances of time and place. However, when these sciences have been so established, their teaching may follow an inverse order: they then serve as it were as 'illustrations’ of pure doctrine, which they render more easily accessible to certain minds, and the fact that they are concerned with the world of multiplicity gives them an almost indefinite variety of points of view, adapted to the no less great variety of the individual aptitudes of those whose minds are still limited to that same world of multiplicity. The ways leading to knowledge may be extremely different at the lowest degree, but they draw closer and closer together as higher levels are reached. This is not to say that any of these preparatory degrees are absolutely necessary, since they are mere contingent methods having nothing in common with the end to be attained; it is even possible for some persons, in whom the tendency to contemplation is predominant, to attain directly to true intellectual intuition without the aid of such means; but this is a more or less exceptional case, and in general it is accepted as being necessary to proceed upward gradually. The whole question may also be illustrated by means of the traditional image of the 'cosmic wheel’: the circumference in reality exists only in virtue of the center, but the beings that stand upon the circumference must necessarily start from there or, more precisely, from the point thereon at which they actually find themselves, and follow the radius that leads to the center. Moreover, because of the correspondence that exists between all the orders of reality, the truths of a lower order can be taken as symbols of those of higher orders, and can therefore serve as 'supports’ by which one may arrive at an understanding of these; and this fact makes it possible for any science to become a sacred science, giving it a higher or 'anagogical’ meaning deeper than that which it possesses in itself.
Amber McRee Turner, Sway|You wanted to be the cheese,” I said.“The what?" "The cheese, the gooey good stuff that fills in the empty space when a slice is taken away.
William J. Reilly, How to Avoid Work|Without Time nothing is possible. Everything requires Time. Time is the only permanent and absolute ruler in the universe. But she is a scrupulously fair ruler. She treats every living person exactly alike every day. No matter how much of the world's goods you have managed to accumulate, you cannot successfully plead for a single moment more than the pauper receives without every asking for it. Time is the one great leveler. Everyone has the same amount to spend every day.
