Sunday Adelaja, The Mountain of Ignorance|When we begin to shine, the darkness of ignorance will disappear from our society.
Aberjhani, Illuminated Corners: Collected Essays and Articles Volume I.|Within the universe of the extraordinary, those qualities we designate to human concepts of gender are often shared, exchanged, or even completely obliterated. Because of this mixture of traits, these twins called Genius and Madness often appear to be the same thing. They both have a tendency to blur the lines of what we call norms, or established reality. They both, when we study that grand tapestry known as history and modern-day society, tend to stand out in much bolder relief than other figures.-- from Dancing with Madness, Dancing with Genius
Mary E. Pearson, The Beauty of Darkness|You have to make your peace with Kaden, and he with you. You are not on opposite sides anymore. Do you understand?
Maddy Malhotra, How to Build Self-Esteem and Be Confident: Overcome Fears, Break Habits, Be Successful and Happy|Choose your thoughts and beliefs wisely.Be your own best friend, and not your enemy.
Ayn Rand|Man’s mind is his basic tool of survival. Life is given to him, survival is not. His body is given to him, its sustenance is not. His mind is given to him, its content is not. To remain alive, he must act, and before he can act he must know the nature and purpose of his action. He cannot obtain his food without a knowledge of food and of the way to obtain it. He cannot dig a ditch – or build a cyclotron – without a knowledge of his aim and of the means to achieve it. To remain alive, he must think.	“But to think is an act of choice. The key to what you so recklessly call ‘human nature,’ the open secret you live with, yet dread to name, is the fact that man is a being of volitional consciousness. Reason does not work automatically; thinking is not a mechanical process; the connections of logic are not made by instinct. The function of your stomach, lungs, or heart is automatic; the function of your mind is not. In any hour and issue of your life, you are free to think or to evade that effort. But you are not free to escape from your nature, from the fact that reason is your means of survival – so that for you, who are a human being, the question ‘to be or not to be’ is the question ‘to think or not to think.’ . . . 	“Man has no automatic code of survival. His particular distinction from all other living species is the necessity to act in the face of alternatives by means of volitional choice. . . Man must obtain his knowledge and choose his actions by a process of thinking, which nature will not force him to perform. Man has the power to act as his own destroyer – and that is the way he has acted through most of his history (pages 1012-1013).
Lailah Gifty Akita, Think Great: Be Great!|If you want to be a graduate student, you have to fall in love with reading.
K.A. Tucker, Ten Tiny Breaths|What’s wrong is that every morning and every night, I lie in bed wondering why you’re not beside me.
K.D. Wood, Unwilling|Oh my God," Mrs. McIntire screamed. She'd dropped to her knees, the dark sand and water soaking into her jeans. "Neely!"	Mr. McIntire held his wife while she screeched her daughter's name over and over. "She's going to be fine, sweetie," he kept saying.	I really wanted to believe him.	"Is she on the other side?" I paced the shore. I couldn't see anything except a piece of driftwood lying at the water's edge. "I don't see her."	Mr. McIntire didn't answer, only pointed across the rolling water.	A log had washed up on the shore. It looked like maybe the water had rubbed all the bark off and left a naked, saturated trunk behind.	"Tell me where she is." Aggravated, I stared until my eyes blurred with stress. "All I see is a damn log."	"Son," Sheriff Mills said from behind me. "That ain't a log.
Stephen Covey|The great obstacle to communication is the tendency to constantly evaluate or moralize with others, creating in them a fear to speak or act. The great key to this communication is to learn to listen attentively with understanding to the other person’s point of view creating an atmosphere of love and approval.
John Piper, A Hunger for God|O, how easy it is to do religious things if other people are watching! Preaching, praying, attending church, reading the bible, acts of kindness and charity-they all take on a certain pleasantness of the ego if we know that others will find out about them and think well of us. It is a deadly addiction for esteem that we have.
Imania Margria|When regret and shame fades away, beauty will be in your heart to forever stay.
Robert S. Arrighi, Pursuit of Power: NASA's Propulsion Systems Laboratory No. 1 and 2|[John] Kobak explained, 'The way you learn anything is that something fails, and you figure out how not to have it fail again.
Lao Tzu, Tao Te Ching|Simplicity, patience, compassion.These three are your greatest treasures.Simple in actions and thoughts, you return to the source of being.Patient with both friends and enemies,you accord with the way things are.Compassionate toward yourself,you reconcile all beings in the world."…"There is no greater misfortunethan underestimating your enemy.Underestimating your enemymeans thinking that he is evil.Thus you destroy your three treasuresand become an enemy yourself.When two great forces oppose each other,the victory will goto the one that knows how to yield.
Burkhard Bilger|One of the seats of emotion and memory in the brain is the amygdala, he explained. When something threatens your life, this area seems to kick into overdrive, recording every last detail of the experience. The more detailed the memory, the longer the moment seems to last. "This explains why we think that time speeds up when we grow older," Eagleman said--why childhood summers seem to go on forever, while old age slips by while we’re dozing. The more familiar the world becomes, the less information your brain writes down, and the more quickly time seems to pass.
Lois Lowry, The Giver|I've had the privilege of learning foreign languages. Instead of merely speaking a watered-down form of my mother tongue, like most people, I'm also helpless in two or three other languages.
Josh Billings|In the school of mortality, we experience tenderness, love, kindness, happiness, sorrow, disappointment, pain, and even the challenges of physical limitations in ways that prepare us for eternity.
Eric Metaxas, Bonhoeffer: Pastor, Martyr, Prophet, Spy|Christ has come into the world to lay out a garden wherein, amid splendor and abundance, there should thrive the violet of humanity, the myrtle of mortification, the rose of love, the lily of virginal souls, the laurel of confessors and the palm of martyrs.
Nick Mason|Go to the depot here, now, and what will you see? A well-dressed colored lady, with her little children by her side, whom she has brought up intelligently and with refinement, as much so as white children, comes to the cars, and where is she shown to? Into the smoking car, where men are cursing, swearing, spitting on the floor.
Stevie J. Cole, Jag|The proof of salvation is not listening to the Word, or having a quick emotional response to the Word, or even cultivating the Word so that it grows in a life. The proof of salvation is fruit, for as Christ said, “Ye shall know them by their fruits” (Matt. 7:16).
Richie Norton, The Power of Starting Something Stupid: How to Crush Fear, Make Dreams Happen, and Live without Regret|The willingness to be a champion for stupid ideas is the key to greater creativity, innovation, fulfillment, inspiration, motivation and success.
Martin O'Malley|Immorality, violence, and divorce, with their accompanying sorrows, plague society worldwide.
Elle Kennedy, Midnight Action|Oh thank God, please you have to help me!” begged the human. “She tied me up, she wants to kill me!”I arched a brow. “Is that so?”“She’s insane!”I folded my arms across my chest. “Well, the good news is, she’s totally sane. The bad news is my fiancée here is a crazy, homicidal bitch and she wants to kill you.
Kameron Hurley, Rapture|Let happiness bloom. In the caring love,In the softness of your tender voice,In the nonjudgmental love,In the beauty and pureness of a smile.
James Castleton, MD, Mending of a Broken Heart|There is not a “true” happiness and a “false” happiness. Only happiness and meaning. The key to happiness is to realize that it is not the same thing as meaning.  The key to meaning is to realize that it is to be found neither in the pursuit, nor in the denial, of happiness. Happiness speaks to our health, meaning to our hope. The former provides for the necessities of life, the latter a reason for living… Happiness is the consequence of properly loving ourselves. Meaning is the consequence of loving others as ourselves.
Aldous Huxley, Brave New World|Home, home - a few small rooms, stiflingly over-inhabited by a man, by a periodically teeming woman, by rabble of boys and girls of all ages. No air, no space; an understerilized prison; darkness, disease and smells.
Herbert Spencer|Whatever you are by nature, keep to it; never desert your line of talent. Be what nature intended you for, and you will succeed.
Billy Graham, Billy Graham in Quotes|Ultimately, every human being must face this question: What do you think of Christ? Whose Son is He? We must answer this question with belief and action. We must not only believe something about Jesus, but we must do something about Him. We must accept Him or reject Him.
Angelica Hopes|Be a gift, a light, a blessing as far as the eye can see to answer a call as well as a genuine, compassionate heart can reach.
W.N.P. Barbellion, The Journal of a Disappointed Man|Suppose the hellfire of the orthodox really existed! We have no assurance that it does not! It seems incredible, but many incredible things are true. We do not know that God is not as cruel as a Spanish inquisitor. Suppose, then, He is! If, after Death, we wicked ones were shovelled into a furnace of fire- we should have to burn. There would be no redress. It would simply be the Divine Order of things. It is outrageous that we should be so helpless and so dependent on any one- even God.
Yann Martel|To me, religion is about our dignity, not our depravity.
Plato|I'm appreciative of things going wrong. At first it sounds crazy, but how boring would life be if you just coasted along without any challenges? Without learning about who you really are through the process of going through the darker times? Without feeling the sense of elation when you reach even a small stepping stone?
Amit Kalantri|For the salvation of his soul the Muslim digs a well. It would be a fine thing if each of us were to leave behind a school, or a well, or something of the sort, so that life would not pass by and retreat into eternity without a trace.
Bill Gates|I'm attracted to stories that excite my imagination, stories that, as I'm reading the script, I feel it, I can see it, I can hear the characters. I'm attracted to characters that are real, that tap into something inside me that I haven't explored yet.
Audrey Dry, Sin mirar atrás|La memoria es como libro en el cual se escribe toda nuestra vida. Algunas veces deseamos cerrarlo y olvidarlo para no recordar todos los escabrosos detalles, y otras veces deseamos abrirlo y observarlo detenidamente, queriendo volver a sentir lo mismo que sentimos en aquel momento.
Paul David Tripp, Dangerous Calling: Confronting the Unique Challenges of Pastoral Ministry|Yes. Knock and it shall be opened to you. The gift of wisdom can be found, if one wishes to search for it, and is willing to be altered by it. It is not a gift given without cost or transformation, nor one to be used lightly.
Cynthia Hand, Unearthly|The backcountry signs say stuff like BEYOND THIS POINT IS A HIGH RISK AREA, WHICH HAS MANY HAZARDS INCLUDING, BUT NOT LIMITED TO, AVALANCHES, CLIFFS, AND HIDDEN OBSTACLES, YOU MAY BE RESPONSIBLE FOR THE COST OF YOUR RESCUE and I think, um, no thanks. I choose life.
Mokokoma Mokhonoana|For breakfast to be called ‘in bed’ instead of ‘on top of a bed,’ the house in which it is about to be eaten has to have at least two rooms (excluding the kitchen); (at least) three, if it has a bathroom.
Brooks Atkinson|Life is not made up of minutes, hours, days, weeks, months, or years, but of moments. You must experience each one before you can appreciate it.
Christian F. Burton, Energy Dependence Day|How long will we stand in silence while half of our nation is chained by ancient, outdated laws? How long will we close our eyes to a tribal mentality that subjugates women in the most base and dehumanizing ways? How long will we hide in the shadows while the ruling elites bask in the rays of wealth and privilege?
Ilchi Lee, Brain Wave Vibration: Getting Back Into the Rhythm of a Happy, Healthy Life|You need only one thing in the world. It is not money. It is not fame. It is not even food. All you need in the world is hope. As long as you have that, you have everything. This is your birthright that you should never lose. If you keep hope, all your other necessities will come soon enough.
Mark  Lawrence, King of Thorns|Allah-U-Akbar (God is great) is the most frightening word, because it always reminds me that someone is committing crime;specifically murder.
Oscar Wilde|But do let us go. Dorian, you must not stay here any longer. It is not good for one's morals to see bad acting.
Kristin Cast, Untamed|We all have bad things inside us, and we all choose either to give in to those bad things or to fight them.
Deyth Banger|Now the second common characteristic of fiction follows from this, and it is that fiction is presented in such a way that the reader has the sense that it is unfolding around him. This doesn't mean he has to identify himself with the character or feel compassion for the character or anything like that. It just means that fiction has to be largely presented rather than reported. Another way to say it is that though fiction is a narrative art, it relies heavily on the element of drama.
Haruki Murakami, Norwegian Wood|Because sometimes I have a need for human warmth, I answered honestly.  Sometimes, if I can't feel something like the warmth of a woman's skin, I get so lonely I can't stand it.
Ruth Ozeki, My Year of Meats|I would like to think of my 'ignorance' less as a personal failing and more as a massive cultural trend, an example of doubling, of psychic numbing, that characterizes the end of the millennium. If we can’t act on knowledge, then we can’t survive without ignorance.
Stephen McAndrew, Why It Doesn't Matter What You Believe If It's Not True: Is There Absolute Truth?|There was something that He hid from all men, when he went up a mountain to pray. There was something that he covered constantly by abrupt silence or impetuous isolation. There was some one thing that was too great for God to show us when He walked upon our earth; and I have sometimes fancied that it was His mirth.
Compton Gage|You are judged many times more by what you give assent to others doing than what you do yourself. If one million of you give assent to the one thousand who participate in the murder of a child, then one million of you are a million times guilty.
Human Angels, 365 Wisdom Pills|In order to forgive an offender,we have first to forgive ourselves,then we can forgive them.In this way we are nothelpless victims anymore,we regain our power,acting from our peaceful placeof power.
Charles Le Gai Eaton, King of the Castle: Choice and Responsibility in the Modern World|Those who take responsibility for their actions are the real winners in life. Winners meet life challenges and head on, knowing there are no gurantees, and give it all they've got, and never think it's too late, or too early to begin.
Augusten Burroughs, A Wolf at the Table|the only way to get over a death is by seeing it as a life completed, instead of a life interrupted.
Todd Strasser, Famous|Davy once asked me if I thought it was better to be a has-been than a never was, but maybe it doesn't make much of a difference. In the end, people are just people, and the only things that matter are whether they are good or bad, loving or unloving, loved or unloved.
Harlan Coben, Tell No One|I wish i could tell you that through the tragedy i mined some undiscovered, life-altering absolute that i could pass on to you.I didn't.The cliches apply-people are what count,life is precious,materialism is over rated, and the little things matter,live in the moment-and i can repeat them to you ad nauseam.you might listen, but you won't internalize.Tragedy hammers it hm.Tragedy etches into your soul.You might not be happier.But you will be better.
George MacDonald|Character is made of duty and love and sympathy, and, above all, of living and working for others.
A.G. Phillips|Keep driving," said a soft voice in my ear. "She will not bite if you keep driving."Fuck that. Fuck that idea like the fucking Captain of the Thai Fuck Team fucking at the fucking Tour de Fuck.
Alexander Zalan|I think you'll find that I'm qualified to deal with practically everything, if I choose. That last part, of course, is essential. --Devyn DuChien
Stefania Mattana, Cutting Right to the Chase Vol.2,|The wheel turns for all, caro Chase. It’s the karma effect,” Giulia cried, aping Ilenia. She could have never imagined that her words would become prophetic so soon.
Neil Gaiman, Dream Country|I'm not blessed, or merciful. I'm just me. I've got a job to do, and I do it. Listen: even as we're talking, I'm there for old and young, innocent and guilty, those who die together and those who die alone. I'm in cars and boats and planes; in hospitals and forests and abbatoirs. For some folks death is a release, and for others death is an abomination, a terrible thing. But in the end, I'm there for all of them.
Henry David Thoreau|I do believe in simplicity. It is astonishing as well as sad, how many trivial affairs even the wisest thinks he must attend to in a day; how singular an affair he thinks he must omit. When the mathematician would solve a difficult problem, he first frees the equation of all incumbrances, and reduces it to its simplest terms. So simplify the problem of life, distinguish the necessary and the real. Probe the earth to see where your main roots run. 
Roshni Dulani|If the vibrant and frolicking merry-go-round of our daily living has been ousted by an eerie void of an intractable vacuum, only inspiriting memories may shore up our inner world. ("Only silence remained ")
Rose Wynters, Phase Two: Evaluate|I could feel the heat rising in my cheeks. 'We spent one night together.''You had sex then?''No we crocheted a quilt.' I cocked my head to side and gave him my nastiest glare." Lorelei Preston to Agent Brody-The Wild Hunt
J.K. Rowling, Harry Potter and the Deathly Hallows|For instance, this new idea that You-Know-Who can kill with a single glance from his eyes. That’s a basilisk, listeners. One simple test: Check whether the thing that’s glaring at you has got legs. If it has, it’s safe to look into its eyes, although if it really is You-Know-Who, that’s still likely to be the last thing you ever do.
Sara  Miles, Take This Bread: A Radical Conversion|The Holy Spirit never uses guilt or shame to persuade us to give. For that matter, he never persuades us to give in the first place. That's called manipulation, a device employed by a different spirit.
Doug Dorst, Alive in Necropolis|It dawned on him that he really could be a cop if he wanted to, and it dawned on him that he'd had this revelation while eating a donut, and it that wasn't a sign, he didn't know what was.
Al Goldstein|Another argument, vaguer and even less persuasive, is that gay marriage somehow does harm to heterosexual marriage. I have yet to meet anyone who can explain to me what this means. In what way would allowing same-sex partners to marry diminish the marriages of heterosexual couples?
Emmeline Pankhurst, The Suffragette: The History of the Women's Militant Suffrage Movement|Dr. John Nash Ott had discovered by 1987 that glass, artificial light sources, electricity and electronic systems were having extensive detrimental effects on plants, animals and humans.
Thomm Quackenbush, Artificial Gods|Jasmine had endured enough parochial schooling before middle school to have a residual attachment to the beautiful parts of believing, the certainty of knowing one is loved by something beyond comprehension, but also a niggling fear of those who believed too much in anything they could not touch. Believers were the sort to wave pictures of dead fetuses at her when she went to her gynecologist for a checkup.
Auliq Ice|Learn to appreciate every moment of your life, stop thinking of the future too much, you have a choice to make a difference in your life at any time you wish.
Ernest Agyemang Yeboah|Strive through your adversities with a tenacious mindset and a sincere heart and there shall surely be a great end when you get to the end unrelentingly. You shall surely leave a noble mark when you endure to the end and you shall surely smile in the end and ponder over how the journey to the end was. Note; there is no sweet fruit that is not the product of the dirty soil. No matter what, keep moving on!
Ronnie McBrayer, How Far Is Heaven?: Rediscovering the Kingdom of God in the Here and Now|Is God-like forgiveness humanly possible? Yes, if it remains God’s work! Forgiveness is not something we can accomplish on our own or within our own power (no more than we make the kingdom of God happen in the world). It’s not something we conjure up. If forgiveness flows out of us to others, it is because God is doing it and not us ourselves.
Aldous Huxley, Crome Yellow|No one washes their hands after they piss unless they’re in a public place. If I’m at the airport, or a restaurant, and someone else is there, I’ll soap up for the sake of civilization, but it’s only for show, I don’t really care if I have ultraviolet traces of urine or feces on my hands. But, if I see someone walk oudda the men’s without soaping up I’ll think he’s deranged, borderline psychotic. At least pretend that washing your hands matters. You know, for the sake of civilization.
Margaret Atwood, The Blind Assassin|I think that home shouldn't be a place you need to leave if you want to experience something in consonance with your innermost being. Home should be a place of experimentation and discovery, a place of peace and quiet where the most natural in each individual can be developed in fine-tuning to the desires and searches of others.
James Castleton, MD, Mending of a Broken Heart|Thoroughly selfish individuals can be entirely happy. They will be unlikely to find life very meaningful. To such individuals, meaning often seems accidental, coincidental, or tangential … The reason this is so is that selfish people will find life meaningful only when they are not themselves; when they forget their selfish desires and act in a manner more consistent with agape (selfless love). Meaning seems accidental, coincidental or tangential to their lives because, by and large, selflessness is accidental, coincidental and tangential to their lives. There is nothing unpredictable about meaning, only the presence of selflessness in the life of a selfish person.
Henry Ford|When you know a thing, to hold that you know it, and when you do not know a thing, to allow that you do not know it - this is knowledge.
Michio Kaku, Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100|When a particular function of the mind does not work well, it shows how effective the brain is when it does.
Deyth Banger|The point is that newspapers are not there for spreading news but for covering it up. X happens, you have to report it, but it causes embarrassment for too many people, so in the same edition you add some shock headlines - mother kills four children, savings at risk of going up in smoke, letter from Garibaldi insulting his lieutenant Nino Bixio discovered, etc. - so news drowns in a great sea of information.
Mark Leidner, The Angel in the Dream of Our Hangover|Writing is beautiful, like putting on a gold suit and going to sleep in it.
Lope de Vega|Why do we feel jealousy? Therapists often regard the demon as a scar of childhood trauma or a symptom of a psychological problem. And it's true that people who feel inadequate, insecure, or overly dependent tend to be more jealous than others.
Mahmoud Darwish, A River Dies of Thirst: journals|We all wear masksto veil the truth.Truth is nakedness.Truth is fear.Truth is the gardener making you sit on his lapasking you tolight his cigarette.Truth is father— with a limp cigarette on his lips —telling you to never use his matches to light it for him.Truth is father yelling:"It is not nice for little girls to do so”.Truth is a curious girlwanting to ignite a matchlike a woman.Truth is the maid watching from the kitchen,knowing.But knowing isn’t truth.Truth is the maid calling:Come. Come.Truth is the gardener understanding. But understanding isn’t truth.Truth is the maid saying,"Stay away!"Truth is a girl thinking she is in control.That nothing happened, nothing bad.But the truest truthis a girl knowing, a girl understanding thaton that daysomeone stole a little piece of her truth.
Billy Sunday|Better die an old maid, sister, than marry the wrong man.
Russell Baker|Some people will never learn anything, for this reason, because they understand everything too soon.
M. Kane, Queen of Thieves|Where there's a will, there's a potential for murder
Philip Roth|The great secret of doctors, known only to their wives, but still hidden from the public, is that most things get better by themselves; most things, in fact, are better in the morning.
Cesar Millan|Tennis takes care of everything. It requires agility and quickness to get to the ball, core strength to get power into your shorts and stamina to last for an entire match. In addition to toning your arms and shoulders, it's a total body workout for your legs and abs, and works your heart and core unlike any other sport.
Martin Luther|There is talk of a new astrologer [Nicolaus Copernicus] who wants to prove that the earth moves and goes around instead of the sky, the sun, the moon, just as if somebody were moving in a carriage or ship might hold that he was sitting still and at rest while the earth and the trees walked and moved. But that is how things are nowadays: when a man wishes to be clever he must . . . invent something special, and the way he does it must needs be the best! The fool wants to turn the whole art of astronomy upside-down. However, as Holy Scripture tells us, so did Joshua bid the sun to stand still and not the earth.[Martin Luther stating his objection to heliocentrism due to his Scripture's geocentrism]
Max Planck|The man of the future may, and even must, do things impossible in the past and acquire new motor variations not given by heredity.
Fredrik Backman, A Man Called Ove|Ove çould not in all honesty remember how it all started. It wasn't the sort of dispute where you did remember. It was more an argument where the little disagreements had ended up so entangled that every new word was treacherously booby-trapped, and in the end it wasn't possible to open one's mouth at all without setting off at least four unexploded mines from earlier conflicts. It was the sort of argument that had just run, and run, and run. Until one day it just ran out.
Kamand Kojouri|It is wonderful, this whole business of tickling and kissing God every night.
Rob Cowen, Common Ground|A hare's movement seems plagued by the flicks and judders of restrained energy, as if carrying an ache that can only be relieved by running. The rest of the time it's as though they're absorbing the earth's energy, tapped into a ley line, shivering with pent-up static
Leslie Fiedler|Love thou the rose, yet leave it on its stem.
Kendall Kulper, Salt & Storm|Cursed, I was cursed, and my mother said she’d given up magic for good, said it was a terrible thing, but she wasn’t above using it to keep me at her side, and she’s a hypocrite, a liar, a fraud and phony, and I hate her I hate her I hate her!
Amitabh Bachchan|We knew sports was important to us and our family, but there are priorities in life.Obviously, faith is foremost; how we did in school is important. If we didn't handle that business then there were no privileges.
Olivia Sudjic, Sympathy|Have you ever tried to organise a threesome in real life?'I shook my head. I'd only encountered them in porn, but it seemed to happen without much admin, the same way all porn skipped out the granular details of sex, like condoms and kissing, that were supposed to happen in real life.
Mehmet Oz|Look, if you have somebody who doesn't have health insurance, who doesn't have a doctor or dentist, and in order to deal with their cold or flu or dental problem, they go to an emergency room - in general, that visit will cost ten times more than walking into a community health center.
Kyung-Sook Shin, Please Look After Mom|When I lived here and woke up from the fog in my head, I would walk by myself to the grave site set aside for me, so that I could feel comfortable if I lived there after death.
Jonathan Martin, Prototype: What Happens When You Discover You're More Like Jesus Than You Think?|Patiently, hopefully, actively we are waiting for Jesus. And yet here is the astonishing twist: As we wait for our Lord and the bodily resurrection yet to come for the departed, the world waits for us. As we long for God, the world is longing for God in us.
Jodi Linton, Pretty Shameless|I only swing for one girl. But if she's into a certain kind of kink, who am I to deny her such pleasantries?"~ Luke Wagner
Haruki Murakami, After Dark|I do feel that I’ve managed to make something I could maybe call my world…over time…little by little. And when I’m inside it, to some extent, I feel kind of relieved. But the very fact I felt I had to make such a world probably means that I’m a weak person, that I bruise easily, don’t you think? And in the eyes of society at large, that world of mine is a puny little thing. It’s like a cardboard house: a puff of wind might carry it off somewhere.
Justin Hayward|We all have those things that even in the midst of stress and disarray, they energize us and give us renewed strength and purpose. These are our passions.
Heather Anastasiu, Glitch|Beauty, happiness, they're things so big they can't capture them with their scientific words. It's like what they used to call magic.
Cassandra Clare, City of Glass|I didn't call you because I'm tired of you only wanting me around when you need something. I'm tired of watching you be in love with someone else - someone, incidentally, who will never love you back. Not the way I do.
Mary Bono|You will see - in the future, I will live by my watercolors.
Joe Hill, NOS4A2|Everyone lives in two worlds,” Maggie said, speaking in an absentminded sort of way while she studied her letters. “There’s the real world, with all its annoying facts and rules. In the real world, there are things that are true and things that aren’t. Mostly the real world s-s-s-suh-sucks. But everyone also lives in the world inside their own head. An inscape, a world of thought. In a world made of thought—in an inscape—every idea is a fact. Emotions are as real as gravity. Dreams are as powerful as history. Creative people, like writers, and Henry Rollins, spend a lot of their time hanging out in their thoughtworld. S-s-strong creatives, though, can use a knife to cut the stitches between the two worlds, can bring them together. Your bike. My tiles. Those are our knives.
Meljean Brook, The Iron Duke|...kissing me with a violence that was terrifying and yet, somehow, the summit of all my tenderest dreams.
Laura Kaye, Hard to Hold on To|Would you like me to let you go home to your love today?" he asked. It was obvious that my preference for someone else bothered him, but instead of choosing to ve angry, he showed compassion.
Lila Shaw, Wild West Succubus|He’s an even-tempered stallion. What he lacks in stamina he makes up for in speed, kind of like most of the men I’ve slept with.
Mike Basevic, No Limits, Mastering the Mental Egde: The Class They Don't Teach You in School|You don't have to know how you are going to accomplish your goals, you just have to know that you will.
Jorge Luis Borges|You are the actor. Your body brings in something, call it presence, and it happens by degrees. Arms, chest, haunches and thighs, calves and feet. The body, firing synapses, in between and in the gray matter. On and off. The billions of cells, the body mechanisms, the busy regulating, the adjusting, the retinas contracting and expanding, body secreting, beating, moving, breathing and pulsing. Your being registers here. Swallow. Inhale. Open mouth to press air out to touch the flesh in the throat to make sound. You are the actor. A thing of flesh and feeling. Perfect because you aren't.
Jackie Evancho|The most effective leaders are actually better at guarding against danger when they acknowledge it that it exists. Cowards, in contrast, cling to the hope that failure will never happen and may be sloppy in the face of danger - not because they don't acknowledge that it exists, but because they are just too afraid of it to look it in the eye.
Robert Kodingo|We hate each other by race, color, tribe, wealth, gender etc because everyone wants to feel special and different than the other. I do not however have a solution on how people can stop having an ego that makes them specially superior than the other.
George Washington|When there is a lack of honor in government, the morals of the whole people are poisoned.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Christmas is the spirit of love, peace and goodwill to all Humankind.
Roy  Bennett|Distance yourself from negative people who try to lower your motivation and decrease your ambition. Create space for positive people to come into your life. Surround yourself with positive people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.
Alexandros Velios, My and My Death: The Right to Euthanasia|The fact is, nothing great or enduring, especially in music, has ever sprung full-fledged and unprecedented from the brain of any master; the best that he gives to the world he gathers from the hearts of the people, and runs it through the alembic of his genius.
Nicole T. Smith, Scarlett's Will|As I stand at the edge of the pit, searching for his body amongst all the others, I am slightly frightened by the violent clashes. It seems almost savagery, the way they throw themselves into each other. As I continue to watch, unable to look away, drawn in by their angry and troubled release I see him. His body is sweating, his muscles are flexed and his face holds an expression of pain mixed with pleasure. In that moment I realize their is so much I don't know about the man I am falling in love with and my fear of him excites me.
Lisa Schroeder|I think fear is normal, Cade. Just don't let it win.
Faith Baldwin, Many Windows, Seasons of the Heart|[Camila] was quite incapable of establishing any harmony between the claims of her art, of her appetites, or her dreams, and of her crowded daily routine. Each of these was a world in itself.
Abigail Roux, Sticks & Stones|Once you admit to yourself that you are or aren't something, then you can begin searching for the reason why," Deuce went on. "And once you've found that, you can begin to take steps toward making it better. So, tell yourself you're an asshole, stop being an asshole, your problem's solved," Deuce said in a pleased voice.
Mac Canoza|WORSHIP IN SPIRIT AND IN TRUTH."Only those who obey the word of truth can truly worship God in spirit.
Frank Tyger|Your future depends on many things,but mostly on you.
Timothy Ferriss|If you really think about the fabric of the United States, or the finance of any economy, finance is a true underpinning of what makes the economy great - if it can be done successfully, responsibly, and with a client orientation.
George Akomas Jr|Don't Expect Others To Read Or Hear your Thoughts.If You Want To Be Heard, Speak Up!
Isaac Marion, The New Hunger|A mud-stained sunlight began to splatter the sodden fields, and the hateful, nasal world of birds began to come to life. It seemed to me that I was coming out of a suffocating nightmare and that the low clouds flying before the wind were the shreds of an evil dream.
Henrik Ibsen, A Doll's House|The flowers left thick at nightfall in the woodThis Eastertide call into mind the men,Now far from home, who, with their sweethearts, shouldHave gathered them and will do never again.
Cassandra Dunn, The Art of Adapting|A few weeks ago, my manager asked: "Do you feel like you're back? I feel like you're back." She meant it as a total compliment, but we had this great conversation where I was like, "You know what? I try really hard not to use that language, because it's not about going backward in life." I think it comes from this culture of antiaging, which is so not loving ourselves. I've been really focused on not being "back" to anything, but being the best version of myself right now. My body is the site of a miracle now. I don't want to be pre-miracle.
Susana Martinez|It's not about the failure, it's about learning from the failures. Failure itself cannot be celebrated.
Wilson Rawls, Where the Red Fern Grows|If put to the pinch, an ounce of loyalty is worth a pound of cleve
Lucy Hale|For many of us, Christmas lunch is the most special meal of the year - and I certainly want nothing but the very best for this celebration.
Rebecca Wells, Divine Secrets of the Ya-Ya Sisterhood|As Sidda joined Vivi in staring out into the darkness of the fields, where hundreds of sunflowers grew, she thought: I will never fully know my mother, any more than I will ever know my father or Connor, or myself. I have been missing the point. The point is not knowing another person, or learning to love another person. The point is simply this: how tender can we bear to be? What good manners can we show as we welcome ourselves and others into our hearts?
Kristen Heitzmann, Secrets|People often mistake their imagination for their heart, & so often are convinced they are converted as soon as they start thinking of becoming converted.
Amit Ray, Yoga The Science of Well-Being|The more you treat your body and the cells as intelligent being the more you will be sharp, quick, competent, and fulfilled.
James W. Loewen, Lies My Teacher Told Me|The flesh would shrink and go, the blood would dry, but no one believes in his mind of minds or heart of hearts that the pictures do stop.
Jamie Oliver|Maybe I don't see enough television, but it seems there aren't many shows that are romantic comedies that are an hour long where you're not solving a crime or being a doctor.
Emma Raveling, Breaking Measures|I get the sense that some people think that influence dilutes – that the more you are someone else, the less you are yourself, as if you were born with some innate distinct youness that is gradually sanded away by the corroding forces of conformity. That if you could somehow tune everything else out and really dig deep within yourself, you’d find your voice there, pure and independent.That’s bullshit. Your voice isn’t there, already made. You need to make your own voice. You need to make your own voice.
Annie Dillard, Pilgrim at Tinker Creek|Cruelty is a mystery, and the waste of pain. But if we describe a world to compass these things, a world that is a long, brute game, then we bump against another mystery: the inrush of power and light…unless all ages and races of men have been deluded by the same mass hypnotist (who?), there seems to be such a thing as beauty, a grace wholly gratuitous…we don’t know what’s going on here. If these tremendous events are random combinations of matter run amok, the yield of millions of monkeys at millions of typewriters, then what is it in us, hammered out of those same typewriters, that they ignite? We must somehow take a wider view, look at the whole landscape, really see it, and describe what’s going on here. Then we can at least wail the right question into the swaddling band of darkness, or, if it comes to that, choir the proper praise.
