Ashley Ormon|Forgiveness is knowing and remembering what happened, but choosing to move beyond it.
Sloane Crosley|I'm a summer baby, so I usually have my birthday as a good summer memory.
Linda Howard, Loving Evangeline|How ‘bout you, Jena?” He leaned closer, speaking in an exaggerated whisper. “We could go somewhere private. I know you probably got some scars from being shot, but you can’t see a scar in the dark, right?”	The dickwad was offering her a pity fuck in a darkened room?
Louis-Ferdinand Céline, Conversations with Professor Y|   "Fine! Fine! I'm listening...but it's not very interesting!...   "Oh, that's what you think! that's what you think! but nothing is very interesting, dear Professor Y! jot this down! take some notes!"   "What notes?"   "Just write!...that if it weren't for wars, alcohol, blood pressure and cancer, the people in our atheistic Europe would soon be bored to death of life!
Timothy Leary|I don't know if high society is different in other cities, but in Hollywood, important people can't stand to be invited someplace that isn't full of other important people. They don't mind a few unfamous people being present because they make good listeners.
Frédéric Gros, A Philosophy of Walking|Think while walking, walk while thinking, and let writing be but the light pause, as the body on a walk rests in contemplation of wide open spaces.
Richard Preston|... tree has had a stroke, and its top dies. A redwood can deal with a stroke. It simply grows a new top in a few centuries.
William Landay|Each day, each one of us chooses not to do many things that would be legal but offensive to those around us.
Robert Green Ingersoll|Happiness is the bomb cosmetic! When I'm smiling, sometimes I'm giving thanks for all the things I have rather than worrying about the things I don't.
Ashok  Kallarakkal|When you are in a fix, often the fix is in you.
B.E. Scully, The Tower of Together|Life's messy," he agreed. "But sometimes amazing things can happen, even when it seems like it's all falling apart.
Paulo Coelho, Warrior of the Light|The Warrior of the Light is a believer.Because he believes in miracles, miracles begin to happen. Because he is sure that his thoughts can change his life, his life begins to change. Because he is certain that he will find love, love appears.
Terry Pratchett, A Slip of the Keyboard: Collected Non-Fiction|Far more beguiling than the idea that evil can be destroyed by throwing a piece of expensive jewelry into a volcano is the possibility that evil can be defused by talking. The fantasy of justice is more interesting than the fantasy of fairies, and more truly fantastic.
Elmina Drake Slenker, Studying the Bible|[On David Hume]Although he never admitted to being an atheist as such, he was clearly and unquestionably the most vividly elegant skeptic of them all.
Lawrence Welk|I just wrote a book. But don't go and buy it yet, because I don't think it's finished.
Matshona Dhliwayo|Where there is wisdom there is life,and where there is evil there is death.Folly is your enemy and so are fools;wisdom is your friend and so are the wise.
J.R.R. Tolkien, Tree and Leaf: Includes Mythopoeia and The Homecoming of Beorhtnoth|Not long ago-incredible though it may seem-I heard a clerk of Oxford declare that he 'welcomed' the proximity of mass-production robot factories, and the roar of self-obstructive traffic, because it brought his university into 'contact with real life.' He may have meant that the way men were living and working in the twentieth century was increasing in barbarity at an alarming rate, and that the loud demonstration of this in the streets of Oxford might serve as a warning that it is not possible to preserve for long an oasis of sanity in a desert of unreason by mere fences, without actual offensive action (practical and intellectual). I fear he did not. In any case the expression 'real life' in this context seems to fall short of academic standards. The notion that motor-cars are more 'alive' than, say, centaurs or dragons is curious; that they are more 'real' than, say, horses is pathetically absurd. How real, how startlingly alive is a factory chimney compared with an elm tree: poor obsolete thing, insubstantial dream of an escapist!
Ameya Agrawal, A Leap Within|It's success, which makes you beautiful.
Scott Hahn, Hope for Hard Times|For the rest of his life, Oliver Twist remembers a single word of blessing spoken to him by another child because this word stood out so strikingly from the consistent discouragement around him.
Liz Welch, The Kids Are All Right: A Memoir|I am intrigued with scriptural mythology that tells us that God created a divine feminine presence to dwell amongst humanity. This concept has had a constant influence on the work. I have imagined her as ubiquitous, watchful, and often in motion. This work is, in effect, the photographic image of the invisible.
Audrey Niffenegger, The Time Traveler's Wife|. . .Tell me, Clare: why on earth would a lovely girl like you want to marry H
Israelmore Ayivor, The Great Hand Book of Quotes|Don't rush to design your face to look beautiful, attractive and charming. Rather, be quicker to decorate your mind to appear as goal-oriented, passion-embedded and action-driven.
Benny Bellamacina|Love life, Live Love
Michael Paterniti|At Christmas time, I spent an extortionate amount of money on Buzz Lightyear toys, baby clothes, Disney cars and the like.
Christina Lauren, Autoboyography|I am a monster beneath him, with arching hips, an octopus with hands everywhere at once. I don't think anything in the history of time has felt this good.
Thomas Jefferson|Racism oppresses its victims, but also binds the oppressors, who sear their consciences with more and more lies until they become prisoners of those lies. They cannot face the truth of human equality because it reveals the horror of the injustices they commit.
Iain Pears, The Dream of Scipio|Caius was one of those who gloried in his ignorance, called his lack of letters purity, scorned any subtlety of thought or expression. A man for his time, indeed.
Krystyna Allyn, Finding Kylie|I know you’re afraid of me. I can smell your fear, and I actually kind of like it.
E.M. Forster|The main facts in human life are five: birth, food, sleep, love and death.
Harshit Walia|Every man has three worlds. What he perceives, what he shows to the world and his reality. The third one is the mystery to be lived.
G.K. Chesterton|Science must not impose any philosophy, any more than the telephone must tell us what to say.
Banana Yoshimoto, N.P|I saw the sky and sea and sand and the flickering flames of the bonfire through my tears. All at once, it rushed into my head with tremendous speed, and made me feel dizzy. It was beautiful. Everything that happened was shockingly beautiful, enough to make you crazy.
Philippe Claudel, Brodeck|Την επομένη δεν κουνήθηκα, όλη μέρα αναμασούσα τις σκέψεις μου. Σκεφτόμουν την Ιστορία, με κεφαλαία, και τη δική μου ιστορία, τη δική μας. Αυτοί που γράφουν την πρώτη γνωρίζουν τη δεύτερη; Πώς η μνήμη κάποιων συγκρατεί αυτό που άλλοι έχουν ξεχάσει ή δεν το είδαν ποτέ; Ποιος έχει δίκιο, αυτός που είναι αποφασισμένος να μην εγκαταλείψει στο σκοτάδι το παρελθόν ή αυτός που πετάει στη λήθη ό,τι δεν τον βολεύει; Μήπως, για να ζήσεις, για να συνεχίσεις να ζεις, ίσως πρέπει ν’ αποφασίσεις ότι η πραγματικότητα δεν είναι απολύτως αληθινή ή μήπως πρέπει να επιλέξεις μιαν άλλη πραγματικότητα όταν αυτή που έχεις βιώσει σου είναι δυσβάσταχτη; Άλλωστε αυτό δεν έκανα στο στρατόπεδο; Δεν επέλεξα να ζήσω με την ανάμνηση και την προσδοκία της Εμέλια, πετώντας την καθημερινότητά μου στην εξωπραγματικότητα του εφιάλτη; Μήπως η Ιστορία είναι η μέγιστη αλήθεια υφασμένη από εκατομμύρια ξεχωριστά ψέματα, όπως οι παλιές κουβέρτες που έφτιαχνε η Φεντορίν για να μας θρέψει όταν ήμουν παιδί και φαίνονταν καινούριες και πανέμορφες μέσα στο ουράνιο τόξο των χρωμάτων τους, ενώ αποτελούνταν από κουρέλια, ανομοιογενή σχήματα, μαλλιά αμφίβολης ποιότητας κι άγνωστης προέλευσης;
James Hillman, Suicide and the Soul|To hope for nothing, to expect nothing, to demand nothing. This is analytical despair.
Martha Grimes|There was only silence. It was the silence of matter caught in the act and embarrassed. There were no cells moving, and yet there were cells. I could see the shape of the land, how it lay holding silence. Its poise and its stillness were unendurable, like the ring of the silence you hear in your skull when you're little and notice you're living the ring which resumes later in life when you're sick.
Wilhelm Reich, The Sexual Revolution: Toward a Self-governing Character Structure|The institution of marriage would be damaged. Ideologically, marital morality must be kept intact, in spite of the contradictory facts of sexual life, because marriage is the backbone of the authoritarian family, which in turn is the breeding ground for authoritarian ideologies and character structure.
J.R.R. Tolkien, The Two Towers|The king was silent. "Ents!" he said at length. "Out of the shadows of legend I begin a little to understand the marvel of the trees, I think. I have lived to see strange days. Long we have tended our beasts and our fields, built our houses, wrought our tools, or ridden away to help in the wars of Minas Tirith. And that we called the life of Men, the way of the world. We cared little for what lay beyond the borders of our land. Songs we have that tell of these things, but we are forgetting them, teaching them only to children, as a careless custom. And now the songs have come down among us out of the strange places, and walk visible under the Sun.""You should be glad," Théoden King," said Gandalf. "For not only the little life of Men is now endangered, but the life also of those thing which you have deemed the matter of legend. You are not without allies, even if you know them not.""Yet also I should be sad," said Théoden. "For however the fortune of war shall go, may it not so end that much that was fair and wonderful shall pass for ever out of Middle-earth?
Scott Stabile|Approaching this day with optimism and fire, with patience and determination, with compassion and love.
Lailah Gifty Akita|...we spend a lot of time defining behavior by the negative "that was inappropriate." These commands are vague and inefficient...Telling students what to do in a way that is specific, concrete, sequential and observable refocuses us on teaching.
Ronnie McBrayer|Jesus does not demand of us higher standards, he offers us himself. Jesus does not require of us super-human ability or commitments. He gives us his ability and grace.
Anaïs Nin, The Diary of Anaïs Nin, Vol. 1: 1931-1934|How can I accept a limited definable self when I feel, in me, all possibilities?... I never feel the four walls around the substance of the self, the core. I feel only space. Illimitable space.
Bidemi Mark-Mordi|In walking or working your dream, arriving is a bad thing, because arriving makes you do things you said you wouldn’t do when you started.
Cesare Beccaria|Genuine happiness comes from within, and often it comes in spontaneous feelings of joy.
Diyar Harraz, One Minute to Midnight|Horror was written all over his face as he began to understand that that child of his wasn’t stupid, or immune to what he had done in the past. It had greatly affected her.
Kirsten Miller, Inside the Shadow City|When I grow up, I'd like to be dangerous.
Flannery O'Connor, Mystery and Manners: Occasional Prose|I'll call any length of fiction a story, whether it be a novel or a shorter piece, and I'll call anything a story in which specific characters and events influence each other to form a meaningful narrative. I find that most people know what a story is until they sit down to write one. Then they find themselves writing a sketch with an essay woven through it, or an essay with a sketch woven through it, or an editorial with a character in it, or a case history with a moral, or some other mongrel thing. When they realize that they aren't writing stories, they decide that the remedy for this is to learn something that they refer to as "the technique of the short story" or "the technique of the novel." Technique in the minds of many is something rigid, something like a formula that you impose on the material; but in the best stories it is something organic, something that grows out of the material, and this being the case, it is different for every story of any account that has ever been written.
Jensen Ackles|When 'I'm Sorry' came out and became such a huge hit, that made 'Rockin' Around The Christmas Tree' start selling. Then that became a huge, huge hit.
Dashama Konah Gordon, Journey to Joyful: Transform Your Life with Pranashama Yoga|It is key to remember we can maintain a genuine enthusiasm and love for what IS, in the PRESENT moment, enjoy it with gratitude for all of the blessings in our lives.
Jean-Jacques Rousseau, The Social Contract|They criticize me for harping on the obvious; if all the folks in the United States would do the few simple things they know they ought to do, most of our big problems would take care of themselves.
Richard Pryor|Social democracy seeks and finds the ways, and particular slogans, of the workers' struggle only in the course of the development of this struggle, and gains directions for the way forward through this struggle alone.
Brie Larson|I won't do things for money. I can't. So I'll hold out and say, in my mind, 'There's a really cool diner down the street from my house. They make really good pancakes; I'd be happy doing that.'
Lloyd Alexander, The Black Cauldron|Only the wicked understand the ways of the wicked, my dear. ~Madame Zelda to Roller Deb
Francois Pinault|Someone once told me that religion is like a knife: You can stab someone with it, or you can slice bread with it.
Mehmet Murat ildan|It requires something more than personal experience to gain a philosophy or point of view from any specific event. It is the quality of our response to the event and our capacity to enter into the lives of others that help us to make their lives and experiences our own. In my own case my convictions have derived and developed from events in the lives of others as well as from my own experience. What I have seen meted out to others by authority and repression, economic and political, transcends anything I myself may have endured.
Coco Chanel|All right, so give me some idea of what you can do," says Haymitch.I can’t do anything," says Peeta, "unless you count baking bread."Sorry, I don’t. Katniss. I already know you’re handy with a knife,” says Haymitch.Not really. But I can hunt,” I say. “With a bow and arrow.”And you’re good?” asks Haymitch.I have to think about it. I’ve been putting food on the table for four years. That’s no small task. I’m not as good as my father was, but he’d had more practice. I’ve better aim than Gale, but I’ve had more practice. He’s a genius with traps and snares. “I’m all right,” I say.
Christopher Hawke, Unnatural Truth|The journey was a surreal dream. This world was about knowing the person you’d always wanted to be and setting your foot down to it, remembering the person you’d thought you were as a child and rejoicing in its living, breathing actuality.
Marie Lu, Legend|Not that kind of cheating," Mags said. "More like...skipping ahead. If you like someone, you should have to make an effort. You should have to get to know the person--you should have to work for that first kiss.
Billy Graham, Billy Graham in Quotes|Where do we get the notion that our idea of success and God’s are the same? You have written a book; you are a clever manager and promoter; you are a talented artist; you are independently wealthy; you have achieved fame and fortune. Without the gifts of intelligence, imagination, personality, and physical energy—which are all endowed by God—where would you be?
Efrat Cybulkiewicz|Feeding the ego is starving the wisdom, the choice is yours.
Nkem Paul, The Art of Achievement and Fulfillment: Fundamental Principles to Overcome Obstacles and Turn Dreams Into Reality!|For business and life, if you are not experiencing growth, you’re possibly dying.
Darrell Calkins, Re:|The experience of frustration comes from the separation we impose between our yearning and our fear. Generally, we yearn for that which we fear, or at least fear the unknown (mystery, and therefore and paradoxically, truth) that will be caused through the pursuit of yearning. The more the separation between these two, yearning and fear, the more frustration if you are conscious, or the more neurosis if you are not (literally, “I can’t stand the frustration, I’m going crazy”).
Latika Teotia|Words bite. They hurt more than physical blows. External hurt disappears after some time but the wounds that words leave linger on and on. It’s very difficult to erase them from your heart- some cruel words get permanently engraved. So choose your words carefully, choose them wisely, because, words once uttered cannot be taken back.
Chris Matakas, My Mastery: Continued Education Through Jiu Jitsu|Mastery lies on an infinite continuum, and as a result we will never reach the end. We can, however, see to it that we are as far along that continuum as our circumstance allows.
Douglas Adams, The Hitchhiker's Guide to the Galaxy|Life,” said Marvin dolefully, “loathe it or ignore it, you can’t like it.
Haruki Murakami, Dance Dance Dance|Silence. How long it lasted, I couldn't tell. It might have been five seconds, it might have been a minute. Time wasn't fixed. It wavered, stretched, shrank. Or was it me that wavered, stretched, and shrank in the silence? I was warped in the folds of time, like a reflection in a fun house mirror.
John Cameron Mitchell|Many founders hire just because it seems like a cool thing to do, and people always ask how many employees you have.
John Crowley, Little, Big|There was after all no mystery in the end of love, no mystery but the mystery of love itself, which was large certainly but as real as grass, as natural and unaccountable as bloom and branch and their growth.
Giuseppe Tomasi di Lampedusa, The Leopard|In school, we learned about the world before ours, about the angels and gods that lived in the sky, ruling the earth with kind and loving hands. Some say those are just stories, but I don't believe that. The gods rule us still. They have come down from the stars. And they are no longer kind.
Kira Salak, Four Corners: A Journey into the Heart of Papua New Guinea|Nita: I think I overdid the vulnerability stuff in this last letter. and that’s why I’m having an anxiety attack.Howard: With the vulnerability comes the possibility that you’ll be betrayed. Now that you’ve laid yourself wide open, I am the agent of this betrayal? It’s not my style.Nita: I’ve thought it wasn't other people’s style, too.
Jennifer Worth, Shadows of the Workhouse|Raising a child whether yours or not, is being anointed by God to be the guardian of his Kingdom in a form of a child.
Amit Kalantri|Peace shouldn't be an option, it must be the objective, peace shouldn't be a possibility, it must be the purpose.
Warren Christopher|It is impossible to preserve my friendship with people who are allegedly leaders when they are attacking their own people, shooting at them, using tanks and other forms of heavy weaponry.
Pierre-Joseph Proudhon|If you can see a cop in your rear view mirror - no matter how far back the cop is - TURN!" according to Attorney Rex Curry, "The sooner you turn the better. Your goal while driving should be to never let a law enforcement officer into a position where he can pull you over. Don't even let them come close enough to read your tag.
Mehmet Murat ildan|Our spiritual history is the history of God-ventriloquists! The truth is that the voice of God is the voice of cunning Man, the ventriloquist's voice!
Vincent Van Gogh|What is a scientist after all? It is a curious man looking through a keyhole, the keyhole of nature, trying to know what's going on.
Ernest Agyemang Yeboah|The Holy Spirit will teach you, how to distinguish between right and wrong doctrines
Anne Michaels, Fugitive Pieces|When you focus on gratitude, positive things flow in more readily, making you even more grateful.
William Hope Hodgson, The House on the Borderland|The laws of nature cannot be randomly reshuffled at the cusps [of an oscillating universe]. If the universe has already gone through many oscillations, many possible laws of gravity would have been so weak that, for any given initial expansion, the universe would not have held together. Once the universe stumbles upon such a gravitational law, it flies apart and has no further opportunity to experience another oscillation and another cusp and another set of laws of nature. Thus we can deduce from the fact that the universe exists either a finite age, or a severe restriction on the kinds of laws of nature permitted in each oscillation. If the laws of physics are not randomly reshuffled at the cusps, there must be a regularity, a set of rules, that determines which laws are permissible and which are not. Such a set of rules would comprise a new physics standing over the existing physics. Our language is impoverished; there seems to be no suitable name for such a new physics. Both 'paraphysics' and 'metaphysics' have been preempted by other rather different and, quite possibly, wholly irrelevant activities. Perhaps 'transphysics' would do.
Ma Boyong, Invisible Planets: Contemporary Chinese Science Fiction in Translation|Technology is neutral. But the process of technology will cause a free world to become ever freer, and a totalitarian world to become ever more repressive.
Ray Bradbury, The Martian Chronicles|You could see her thoughts swimming around in her eyes, like fish - some bright, some dark, some fast, quick, some slow and easy, and sometimes, like when she looked up where Earth was, being nothing but colour and nothing else.
Euripides, Medea|O what will she do, a soul bitten into with wrong?
J.D. Stark|Through the "Strength" of one and his simple existence, there will be a transformation affecting many because of just one life.
Forrest Curran, Purple Buddha Project: Purple Book of Self-Love|Whether between man and women, man and man, or woman and woman; look not towards any system that binds society created by man for guidance, but be guided by the principles of love. Love is the only law that commands this universe, and is the only language that is understood universally.
M.A. George, Relativity|See, that’s just it…You shouldn’t even know sayings like that,” I griped. “It takes normal people years to pick up on all those little phrases. Do you have any idea how stupid I feel, when I can’t even say ‘Hello, my name is Palta…Oh, and by the way—I’m the village idiot.’?
Martha Sweeney, Breathe In|Despite his attractiveness, Sandie couldn’t have been more disappointed. She lamented, thinking that she should have known that it would have just been another stupid cowboy like her father to show up. Still, she couldn’t help but hope that he would be some sort of comfort, even if only as company and a hand with the sometimes back-breaking work. He certainly was easy on the eyes, and his warm smile conveyed a sort of gentleness that was almost entirely foreign to her. The way he extended his hand earnestly, even removing his hat when walking up to her, made her feel respected and appreciated.
Kala Ambrose|Spirit does not exist in just one location; rather it is all encompassing, living within and amongst us in each moment, thought and action. I believe that Spirit is raised to it's highest level, when individuals gather with wisdom, compassion and a discerning desire to provide service to humanity". We are all One, One Energy, from One Light. Let us band together as Humans, with love for all of humanity, living each day in harmony as we explore our spirit.
James Scott, Senior Fellow, Institute for Critical Infrastructure Technology|I see the impossible work being done by of my friends at the federal agencies, the Pentagon, NATO, Five Eyes and the intelligence community. They are doing the impossible, for the ungrateful and with a fraction of the budgets required to render a viable defense.
Peter Bergen|On immigration, Trump needs an articulate policy that aims to secure the border and keep out illegals while letting in skilled legal workers.
Kayla Krantz|That’s what he is—a snake, a dangerous predator—and here I am, a mouse…waiting to be devoured.Luna Ketz, Rise Above Twilight
Michael A. Arnzen|Do not wander in the deeps,Where the Shriker's shadow creeps.When he rises from beneath,Beware the Sharpness of his teeth.
Clarence Clemons|It is important for me to remember that time learning anything substantial, even if it's not my favourite topic, is time well used.
Alice James, The Diary of Alice James|The fact is, I have been dead so long and it has been simply such a grim shoving of the hours behind me…since the hideous summer of ’78, when I went down to the deep sea, its dark waters closed over me and I knew neither hope nor peace.
Joe Clifford, Junkie Love|When we are forced to endure what we cannot endure, something breaks inside our minds. That broken-mindedness is commonly called trauma.
Pat Conroy, The Lords of Discipline|It was in her garden that whatever physical grace Abigail St. Croix possessed asserted itself. She moved among her flowers with consummate natural fluidity, enjoying the incommunicable pleasures of growing things with the patience and concentration of a watchmaker. In this, her small, green country, surrounded by an embrasure of old Charleston brick, there were camellias of distinction, eight discrete varieties of azaleas, and a host of other flowers, but she directed her prime attention to the growing of roses. She had taught me to love flowers since I had known her; I had learned that each variety had its own special personality, its own distinctive and individual way of presenting itself to the world. She told me of the shyness of columbine, the aggression of ivy, and the diseases that affected gardenias. Some flowers were arrogant invaders and would overrun the entire garden if allowed too much freedom. Some were so diffident and fearful that in their fragile reticence often lived the truest, most infinitely prized beauty. She spoke to her flowers unconsciously as we made our way to the roses in the rear of the garden. “You can learn a lot from raising roses, Will. I’ve always told you that.” “I’ve never raised a good weed, Abigail. I could kill kudzu.”“Then one part of your life is empty,” she declared. “There’s a part of the spirit that’s not being fed.
Kiersten White, Perfect Lies|He’s like an old clock the won’t tell time but won’t stop neither with the hands bend out of shape and the face bare of numbers and the alarm rusted silent, an old worthless clock that keeps ticking and cuckooing without meaning nothing.
Kurt Vonnegut Jr., The Sirens of Titan|Where everyone is accepted equally as a brother or sister in Christ, and where there is an open forum without a set program and format, believers will be in an environment where their gifts will develop and manifest naturally.
Peter Senge|Once you find love, you find it. There isn't an age on love.
Mitch Rowland, Eternity's Reach|We are all entitled to make mistakes, but what separates a hero from a villain is how we learn from those mistakes. A villain will see his past as a weakness to be erased. A hero will see his past as experience, to be acknowledged and incorporated into the present.
Robin Bertram, No Regrets: How Loving Deeply and Living Passionately Can Impact Your Legacy Forever|Out of the fires of refinement, come the praise of His magnificence, the brilliance of His glory, and the honor of His precious Son, Jesus Christ.
Donna Tartt, The Goldfinch|Who knew it was in my power to make anyone so happy? Or that I could ever be so happy myself? My moods were a slingshot; after being locked-down and anesthetized for years my heart was zinging and slamming itself around like a bee under a glass, everything bright, sharp, confusing, wrong - but it was a clean pain as opposed to the dull misery that had plagued me for years under the drugs like a rotten tooth, the sick dirty ache of something spoiled. The clarity was exhilarating; it was as if I'd removed a pair of smudged-up glasses that fuzzed everything I saw. All summer long I had been practically delirious: tingling, daffy, energized, running on gin and shrimp cocktail and the invigorating whock of tennis balls. And all I could think was Kitsey, Kitsey, Kitsey!
Mark Crutchfield, The Last Best Gift: Eye Witnesses to the Celebrity Sabbath Massacre|See, when we say a "spiritual seeker," unfortunately most people assume that he is God-oriented. A spiritual seeker is not God-oriented; if Devil is the chief of existence, he wants to know that. We want to know what is true; we are not interested in proving our belief systems, because we don't have any.
Edward Abbey, Postcards from Ed: Dispatches and Salvos from an American Iconoclast|[T]he problem was too much information. The population was being inundated with conflicting versions of increasingly complex events. People were giving up on understanding anything. The glut of information was dulling awareness, not aiding it. Overload. It encouraged passivity, not involvement.
Arthur Schopenhauer, Parerga and Paralipomena|The intellectual attainments of a man who thinks for himself resemble a fine painting, where the light and shade are correct, the tone sustained, the colour perfectly harmonised; it is true to life. On the other hand, the intellectual attainments of the mere man of learning are like a large palette, full of all sorts of colours, which at most are systematically arranged, but devoid of harmony, connection and meaning.
Ted Cruz|Few people have the wisdom to prefer the criticism that would do them good, to the praise that deceives them.
Lindsey Rietzsch, Successful Failures: Recognizing the Divine Role That Opposition Plays in Life's Quest for Success|Putting 100% effort into "trying" will always make you successful. With that in mind it's important to remember that the effort part is never easy.
Masashi Kishimoto|I think hard times are coming. We will need writers who can remember freedom. Poets, visionaries, the realists of a larger reality.
J.M. Coetzee|These masked men were going to bring me to a cleaner place, where things were more sharply distinguished from one another and where I would finally have the space to figure out who I was without other people nudging me all the time into shapes they thought I should have.
Erica Chilson, Dalton|My eyes glue to him in fascination as he cleans his flogger. He’s shirtless since the room is above comfortable temperature. I watch as a drop of sweat creates a path down his back, gliding around all those perfect striated muscles. The drop disappears beneath his low-slung, leather pants. A shiver rocks my body at the thought of it sliding down the crack of his bitable ass.“Katya, snap your mouth shut, close the door, and have a seat,” Dexter commands and I listen.
Caroline Stevermer, Magic Below Stairs|There’s something different about her. I realize it’s her breasts—they’re huge. I see that she’s stuffed her bikini top with wet balls of sand.“What is that?” I say. “Scottie. Your suit.”She shields her eyes with her hand and looks down at her chest. “Beach boobs,” she says.“Take that out of there,” I say. “Alex. Why’d you let her do that?”Alex is on her stomach, with the straps of her top untied. She lifts her head toward Scottie. “I didn’t know. Take them out, stupid.”Sid lifts his head. “Honestly,” he says, “big boobs look kind of fatty.”“As Bebe says, boobs suck,” Alex says, “and Sid’s full of shit. He loves big boobs.”“Who’s Bebe?” Scottie lets the sand fall out of her top.“Character from South Park,” Sid says. “And I love small boobs, too, Alex. I’m an equal-opportunity employer.
Deyth Banger|I will say it here on louder, all people to can hear it. I "DeYtH Banger" - I have masturbating problem ): .
Derek Landy, Death Bringer|He took her hand in his and knelt before her. Valkyrie looked at him. He was serious. (...)'Dude, I'm sixteen.''I love you.''That doesn't make me any older. Stand up.''Not until you say yes.''You're going to shuffle around on your knees for the rest of your life? Stand up, for God's sake.''Be my wife.' 'Shut the hell up.
Gian Kumar|When you are positive; mind thinks, when you are negative; mind thinks,For mind can never be in balance.It is the Self, witnessing in awareness, Centered, which observes these two.
Terry Pratchett, Making Money|Don't tell me what you value, show me your budget, and I'll tell you what you value.
Sherman Alexie, The Toughest Indian in the World|Beauty works perfect miracles. All inner shortcomings in a beauty, instead of causing repugnance, become somehow extraordinarily attractive; vice itself breathes comeliness in them; but if it were to disappear, then a woman would have to be twenty times more intelligent than a man in order to inspire, if not love, at least respect.
Claire Messud|She wanted to remind him, whether his family was there or not. She wanted. And wanted. And endured in her wanting: the damp seat, the dry chicken, more champagne, the headache the champagne brought, the midges, the chat, his failure, no refusal, to look, look at me, I caused a thunderstorm with my passion and I sit here shaking under my skin and you don't notice because you're trying so hard not to notice, but all the people at the table there are really only you and me and you know it, the air is charged with it, it's a heat, a hot wind, and Marina and Seely are a sham next to it, Annabel ceases to exist, is simply obliterated in the gale of it, this isn't a fantasy, not my imagination, I can tell by the way you lift your fork, by the set of your jaw, by that sixth cigarette you are smoking me, or would if you could; but how long can we sustain it, how long till eruption, till the storm returns again and they can all see what it is, what it really is?
Veronica Roth, Divergent|Flames of outrage and reprisal had likewise made a comeback, his nearly forgotten, silent heritage no longer hidden by thirty years of compliance. Instead the fire grew, unmitigated by training, logic or reason.
Isaac Marion, Warm Bodies|I try to think of things to say but nothing comes, and if something did come I probably couldn't say it. This is my great obstacle, the biggest of all the boulders littering my path. In my mind I am eloquent; I can climb intricate scaffolds of words to reach the highest cathedral ceilings and paint my thoughts. But when I open my mouth, it all collapses.
Hank Bracker|Don't be a cheater, lose with clsss.
Ludwig Wittgenstein|The hours of folly are measured by the clock; but of wisdom, no clock can measure.
J.D. Robb, Divided in Death|Eve: “If you ended up naked and dead with another woman, I'd do the Rumba on your corpse.”Roarke: “You can't do the Rumba.”Eve: “I'd take lessons first.”Roarke: “You might very well. Not that you'll ever get the chance, but you'd also grieve.” Eve: “Wouldn't give you the satisfaction. You cheating f-wit putz. "Roarke: “You'd weep in the dark and call my name.”Eve: “Call your name alright. How are things in hell? You dickless bastard. And I'd laugh and laugh, that's how I''d call your name.”Roarke: “Christ Jesus Eve, I love you.”--Eve, Roarke
David Nicholls|He could feel her laughter against his chest, and at that moment he thought that there was no better feeling than making Emma Morley laugh.
Noam Chomsky, Necessary Illusions: Thought Control in Democratic Societies|In accordance with the prevailing conceptions in the U.S., there is no infringement on democracy if a few corporations control the information system: in fact, that is the essence of democracy. In the Annals of the American Academy of Political and Social Science, the leading figure of the public relations industry, Edward Bernays, explains that “the very essence of the democratic process” is “the freedom to persuade and suggest,” what he calls “the engineering of consent.” “A leader,” he continues, “frequently cannot wait for the people to arrive at even general understanding … Democratic leaders must play their part in … engineering … consent to socially constructive goals and values,” applying “scientific principles and tried practices to the task of getting people to support ideas and programs”; and although it remains unsaid, it is evident enough that those who control resources will be in a position to judge what is “socially constructive,” to engineer consent through the media, and to implement policy through the mechanisms of the state. If the freedom to persuade happens to be concentrated in a few hands, we must recognize that such is the nature of a free society.
George R.R. Martin, A Game of Thrones|The Indian criminal justice system was a market like garbage, Abdul now understood. Innocence and guilt could be bought and sold like a kilo of polyurethane bags.
James Joyce, Ulysses|... I've a thirst on me I wouldn't sell for half a crown.- Give it a name, citizen, says Joe.- Wine of the country, says he.- What's yours? says Joe.- Ditto MacAnaspey, says I.- Three pints, Terry, says Joe. And how's the old heart, citizen? says he.
John Green, Looking for Alaska|What the hell is that?" I laughed."It's my fox hat.""Your fox hat?""Yeah, Pudge. My fox hat.""Why are you wearing your fox hat?" I asked."Because no one can catch the motherfucking fox.
Joyce Brothers|When the first fossils began to be found in eastern Africa, in the late 1950s, I thought, what a wonderful marriage this was, biology and anthropology. I was around 16 years old when I made this particular choice of academic pursuit.
Cesare Beccaria|It is certain, in any case, that ignorance, allied with power, is the most ferocious enemy justice can have.
Amit Kalantri|Life is a funny, funny thing. Not the ‘ha-ha’ kind of funny, but an odd kind of funny. The kind of funny that you know exists, yet you can’t place your finger on. You know it’s there, and when the funny strikes, you feel it, but you can’t categorize it. It’s almost a feeling of melancholy, fixed with a tickle in your stomach and an odd loss of balance. This feeling catches you when you least expect it. Sometimes it’s better that way, sometimes it may feel like a curse. Regardless, once it passes, you feel different. You may even look different, though not to the naked eye. It may takes days or even months until you recognize the change within yourself, however apparent it may seem. One thing’s for sure: Once this funny thing strikes, you will never be the same.
Stanley Hauerwas|You convey something that the public either trusts or it does not trust, and it has to do with the content and how you handle the news, but it also just has something to do with your persona.
