Deyth Banger|In life and love, there are no impossibilities.
Lillian Faderman, Surpassing the Love of Men: Romantic Friendship and Love Between Women from the Renaissance to the Present|Love between women could take on a new shape in the late nineteenth century because the feminist movement succeeded both in opening new jobs for women, which would allow them independence, and in creating a support group so that they would not feel isolated and outcast when they claimed their independence. … The wistful desire of Clarissa Harlowe’s friend, Miss Howe, “How charmingly might you and I live together,” in the eighteenth century could be realised in the last decades of the nineteenth century. If Clarissa Harlowe had lived about a hundred and fifty years later, she could have gotten a job that would have been appropriate for a woman of her class. With the power given to her by independence and the consciousness of a support group, Clarissa as a New Woman might have turned her back on both her family and Lovelace, and gone to live “charmingly” with Miss Howe. Many women did.
E.J. Caulder, Sunshine: Diary of An Affair|Werewolves are not a subject for academe,” she said, “but you know what the professors would be saying if they were. ‘Monsters die out when the collective imagination no longer needs them. Species death like this is nothing more than a shift in the aggregate psychic agenda. In ages past the beast in man was hidden in the dark, disavowed. The transparency of modern history makes that impossible: We’ve seen ourselves in the concentration camps, the gulags, the jungles, the killing fields, we’ve read ourselves in the annals of True Crime. Technology turned up the lights and now there’s no getting away from the fact: The beast is redundant. It’s been us all along.
Rachel Cohn|According to analyses conducted by the U.S. Department of Agriculture, 100 grams of fresh tomato today has 30 percent less vitamin C, 30 percent less thiamin, 19 percent less niacin, and 62 percent less calcium than it did in the 1960s. But the modern tomato does shame it's counterpart in one area: It contains fourteen times as much sodium.
Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage|With each reunion (we) had to learn each other all over again. There was always that nervous moment at the airport when I would stand there waiting for him to arrive, wondering, Will I still know him? Will he still know me?
Uzoma Nnadi|I've found myself moved by letters and diaries in archives as well as trashy, summer blockbusters. It's possible to make a connection with any kind of writing - as long as the writing is good.
Ted Dekker, When Heaven Weeps|What a terrible thing it is for children to see death, you say. We have it all wrong. If you make a child terrified of death, he won't embrace it so easily. And death must be embraced if you wish to follow Christ. Listen to His teaching. 'Unless you become like a child...and unless you take up your cross daily, you cannot enter the kingdom of heaven.' One is not valuable without the other. Janjic Jovic, The Dance of the Dead, 1959
Sonal Panse, The Sunshine Time: Season 1 Episode 2|An uneventful, quiet life together is more my idea of a romance.”“Really? Oh. Well. It won't get you featured in any of the ballads though.”“Yes,” he said, with a heavy sigh. “And that will be the great tragedy of my romance.
Carl David Anderson|The majority of men in every generation, even those who, as it is described, devote themselves to thinking, live and die under the impression that life is simply a matter of understanding more and more, and that if it were granted to them to live longer, that life would continue to be one long continuous growth in understanding. How many of them ever experience the maturity of discovering that there comes a critical moment where everything is reversed, after which the point becomes to understand more and more that there is something which cannot be understood.
Richard Rohr, Adam's Return: The Five Promises of Male Initiation|People who have been initiated "broke through in what felt like breaking down".
Sun Yat-sen|A man has to have sensibility, wit, mystery, tolerance, and strength... Romance also helps.
Shannon L. Alder|Forget what hurt you in the past, but never forget what it taught you. However, if it taught you to hold onto grudges, seek revenge, not forgive or show compassion, to categorize people as good or bad, to distrust and be guarded with your feelings then you didn’t learn a thing. God doesn’t bring you lessons to close your heart. He brings you lessons to open it, by developing compassion, learning to listen, seeking to understand instead of speculating, practicing empathy and developing conflict resolution through communication. If he brought you perfect people, how would you ever learn to spiritually evolve?
Muhammad Ali|Cautiously, he moved further out, checking the roofs, doors, windows. Nothing. He walked out further, keeping against the wooden wall of a building, just in case. His heart was pounding in his ears. Strange, isn’t it? You could be in hundreds of fights, but everyone always seemed like the first time. A million different things could happen, go completely wrong. Then it might well be his last. Where is he? Which building?
John le Carré|I went through the usual stages: imp, rascal, scalawag, whippersnapper. And, of course, after that it's just a small step to full-blown sociopath.
Alan Kay|Thought is a strenuous art - few practice it, and then only at rare times.
Cecelia Ahern|I can understand now why people read, why they like to get lost in somebody else's life. Sometimes I'll read a sentence and it will make me sit up, jolt me, because it is something that I have recently felt but never said out loud. I want to reach in to the page and tell the characters that I understand them, that they're not alone, that I'm not alone, that it's okay to feel like this.
Socrates|Friendship is the marriage of the soul, and this marriage is liable to divorce.
Ron Lizzi, Go Outside and Come Back Better: Benefits from Nature That Everyone Should Know|Life rarely follows a straight line. Success is a process of trying, reacting, and changing.
Gene Wilder|If you're not gonna tell the truth, then why start talking?
Holly Lisle|Anything designed to be inoffensive isn't worth your time -- life itself is pretty offensive, ending as it does with death.
Jay Woodman|Don't be afraid to show your soul, we need plenty of soul to show in this world.
Alton Brown|I get a delivery of a diet food during the week, which doesn't mean that I don't eat the occasional Krispy Kreme doughnut.
Alexandre Dumas|This sometimes happened: from time to time, Dantès, driven out of solitude into the world, felt an imperative need for solitude. And what solitude is more vast and more poetic than that of a ship sailing alone on the sea, in the darkness of night and the silence of infinity, under the eye of the Lord?
Robin Bielman, Blame it on the Kiss|Gunner Ainslie made a face at his sister-in-law. "'Amateur' is a bit rough, Alice. I took a degree in archaeology, after all."She looked even more confused. "Then why are you a photographer now instead of an archaeologist?""Because he didn't want to be a burden to the estate like all my other siblings," his brother Elliott, the current Baron Ainslie, answered, giving his wife a squeeze. "Or so he said. Frankly, I think it was a cover so he could take pictures of unclothed women.
Carl T. Rowan|The moral world is as little exempt as the physical world from the law of ceaseless change, of perpetual flux.
George Selden, The Cricket in Times Square|He doesn't yearn for a better, different life than the one he has - because he knows he's got a home in this one.
Rob Delaney|Single parenting is sometimes just a case of sitting around by yourself in mild despair, not knowing what to do.
R.A.Delmonico|The core is harmonic regularity, the outer darkness is random noise, we are in the space between them. Every engine takes advantage of a difference. These two extremes are woven into each other. The eternal now is the processing of meaning.
A. Whitney Brown|That is the saving grace of humor, if you fail no one is laughing at you.
Brandon Sanderson, Elantris|To live is to have worries and uncertainties. Keep them inside, and they will destroy you for certain--leaving behind a person so callused that emotion can find no root in his heart.
Timothy Pina, Bullying Ben: How Benjamin Franklin Overcame Bullying|Let it be said...that it was our generation that truly made a difference and that it was our guiding lights of love, peace and kindness that helped us.
Jay Crownover, Jet|Sometimes, things need to change, because there just isn't any way for them to stay the same.
Kaori Yuki, Angel Sanctuary, Vol. 20|I wonder how Admat can be everywhere. Is he in my sandal? Or is he my sandal itself? Why would a god bother to be a sandal? Does he wear shoes or sandals himself, invisible ones?
Sri Chinmoy, Sri Chinmoy's Heart Garden: A Book of Aphorisms for Joy and Inspiration|If you feel like giving up, give up on that feeling and give into the realization there are endless possibilities waiting to be discovered before you.
Steven Magee|It felt good to sit around and agree, to have a common enemy and a shared struggle. It felt good to be understood.
Alexandra Bracken, The Darkest Minds|Some people with DID present their narratives of sadistic abuse in a quite matter-of-fact way, without perceptible affect. This may sometimes be done as a way of protecting themselves, and the listener, from the emotional impact of their experience. We have found that people describing trauma in a flat way, without feeling, are usually those who have been more chronically abused, while those with affect still have a sense of self that can observe the tragedy of betrayal and have feelings about it. In some cases, this deadpan presentation can also be the result of cult training and brainwashing. Unfortunately, when a patient describes a traumatic experience without showing any apparent emotion, it can make the listener doubt whether the patient is telling the truth. (page 119, Chapter 9, Some clinical implications of believing or not believing the patient)
Ursula K. Le Guin, The Left Hand of Darkness|Of course there is no veneer, the process is one of growth, and primitiveness and civilization are degrees of the same thing. If civilization has an opposite, it is war.
Ban Ki-moon|True equality means holding everyone accountable in the same way, regardless of race, gender, faith, ethnicity - or political ideology.
Edna  Robinson, The Trouble with the Truth|Considering the extravagance of my expectations, the flying experience was bound to be a disappointment.
Tullian Tchividjian, One Way Love:  Inexhaustible Grace for an Exhausted World|The apostle Paul claimed the Law is written on the 'fleshy tables' of the human heart (2 Cor. 3:3 KJV). What he meant are these 'shoulds' and 'shouldn'ts' are both instinctual and inescapable, part of our DNA. They are a psychological reality. We may justify our actions away, but deep down, we know when we've done something wrong.
Cole Swindell|I want to be somebody, a person, first that people remember, but also, I want music that I release to still be around. I don't want it to just be cool for a second and be gone.
Debasish Mridha|Come, come everyone, come with love, come with joy, come to my heart, there is always spring, roses always smiling, soul is always singing with joy in the light of love. I am waiting, are you coming. My heart is always ready to dance, always ready to love, always ready with a song.
Jeffrey Zeldman|I see the Beijing National Stadium as an architectural project. I accepted Herzog and De Meuron's invitation to collaborate on the design, and our proposal won the competition. From beginning to end, I stayed with the project. I am committed to fostering relationships between a city and its architecture.
Anne Ursu, The Real Boy|I didn't doubt the potential value of paying attention to subconscious cues...problem was, my inner voice resembled Chicken Little: it was screaming that I was about to die, but it did that almost every time I laced up my climbing boots.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Your life on earth is but for a few days and before you know it, you are no more.
Debasish Mridha|Question is not whom I am going to love, but question is whom I am going not to love.
Paul Watzlawick, Münchhausen's Pigtail, or Psychotherapy & "Reality"|Difficult times do not produce gentility, as if there is an angle hovering over the world of the oppressed.
Elon Musk|Every time I have some moment on a seashore, or in the mountains, or sometimes in a quiet forest, I think this is why the environment has to be preserved.
Kevin Lima|I've never been in any country for more than four years, and I'm learning different languages all the time. It gives you a different attitude.
Blaise Pascal, The Thoughts of Blaise Pascal|Monsieur Beulier never engaged in thought except to speak the truth, and never spoke except to express his thought.
James Joyce|Secrets, silent, stony sit in the dark palaces of both our hearts: secrets weary of their tyranny: tyrants willing to be dethroned.
David Lagercrantz, Fall of Man in Wilmslow|What had he said about machines?”Block was not entirely sure about that. Something about their eventually being able to think, something which the woman said was at odds with the Christian view of things, just like his sexual inclinations.
Joan Aiken, Eliza's Daughter|My hunch is that as the importance of a decision grows, the tendency to rely on quantitative analyses done by others tends to shrink. When the championship or the future of the company is on the line, managers tend to rely on their gut instincts.
Joyce Rachelle|If we didn't have nightmares, we wouldn't wake up every morning chasing our dreams.
Bill Maher, The New New Rules: A Funny Look At How Everybody But Me Has Their Head Up Their Ass|In moments of peace such as I experienced that day with Edal there exists some unritual reunion with the rest of creation without which the lives of many are trivial. 'Extinct' applies as much to an essential mental attitude as to the vanished creatures of the earth such as the Dodo. We can no longer await some scientific revelation to avoid the destruction of our species in this context; the evidence is all there, the writing on the wall. The way back cannot be the same for all of us, but for those like myself it means a descent of the rungs until we stand again amid the other creatures of the earth and share to some small extent their vision of it, even though this may be labelled Wordsworthian romanticism.
|No matter what you are going through in life at the moment, always remember that your circumstances can never determine your future. You can still turn things around if you keep your eyes fully focused on the big prize that lies ahead.
J.M. Coetzee, Waiting for the Barbarians|It is a world," he said, "filled with the mysterious joinder of accident!""It is a world," replied Abner, "filled with the mysterious justice of God!
James C. Emlund|Compassion is not prevention of all negative certainty, it is a home floating on the sea of fear, that equally brings assistance to those sinking.
Zack Love, Anissa's Redemption|In addition to my new outlook on life, in some absurdly simple way, Anissa gave me several new reasons to live. Above all, I had to see her again and find out what, if anything, would happen between her and me.
Orson Scott Card, Ender's Game|Her despair grew so great that it burst her breast open and like a bird of fire shattered the stone and broke out into the light of day--the light of day, faint in her windowless room.
Michael  Moody, Redefine Yourself: The Simple Guide to Happiness|Redefine Yourself will help you overcome the obstacles that have plagued your life. You will incorporate new adaptive strategies that will not only change your life, but also positively impact those people around you. You will truly redefine yourself and achieve the happiness you’ve always wanted. You might just achieve that long list of other wants too.
Patricia J. Williams, The Rooster's Egg: On the Persistence of Prejudice|From time to time I try to imagine this world of which he spoke--a culture in whose mythology words might be that precious, in which words were conceived as vessels for communications from the heart; a society in which words are holy, and the challenge of life is based upon the quest for gentle words, holy words, gentle truths, holy truths. I try to imagine for myself a world in which the words one gives one's children are the shell into which they shall grow, so one chooses one's words carefully, like precious gifts, like magnificent gifts, like magnificent inheritances, for they convey an excess of what we have imagined, they bear gifts beyond imagination, they reveal and revisit the wealth of history. How carefully, how slowly, and how lovingly we might step into our expectations of each other in such a world.
Kevin Roose, The Unlikely Disciple: A Sinner's Semester at America's Holiest University|Even in the act of fleeing modern ideologies, however, literary theory reveals its often unconscious complicity with them, betraying its elitism, sexism or individualism in the very ‘aesthetic’ or ‘unpolitical’ language it finds natural to use of the literary text. It assumes, in the main, that at the centre of the world is the contemplative individual self, bowed over its book, striving to gain touch with experience, truth, reality, history or tradition. Other things matter too, of course — this individual is in personal relationship with others, and we are always much more than readers — but it is notable how often such individual consciousness, set in its small circle of relationships, ends up as the touchstone of all else. The further we move from the rich inwardness of the personal life, of which literature is the supreme exemplar, the more drab, mechanical and impersonal existence becomes. It is a view equivalent in the literary sphere to what has been called possessive individualism in the social realm, much as the former attitude may shudder at the latter: it reflects the values of a political system which subordinates the sociality of human life to solitary individual enterprise.
George Eliot, Middlemarch|After all, people may really have in them some vocation which is not quite plain to themselves, may they not? They may seem idle and weak because they are growing. We should be very patient with each other, I think.
Kirk Cameron|I committed my life to Christ, and that faith has been most important to me ever since.
Stephen Kinzer|I have stepped outside my comfort zone enough to know that, yes, the world does fall apart, but not in the way that you fear.
Margaret Atwood, Stone Mattress: Nine Tales|... which would enable him to prolong for the time being, and to renew for one day more the disappointment, the torturing deception that must always come to him with the vain presence of this woman, whom he might approach, yet never dared embrace.
J.K. Rowling|I know that you are preparing to fight." There were screams amongst the students, some of whom clutched each other, looking around in terror for the source of the sound. "Your efforts are futile. You cannot fight me. I do not want to kill you. I have great respect for the teachers of Hogwarts. I do not want to spill magical blood."There was silence in the Hall now, the kind of silence that presses against the eardrums, that seems too huge to be contained by walls."Give me Harry Potter," said Voldemort's voice, "and they shall not be harmed.Give me Harry Potter and I shall leave the school untouched. Give me Harry Potter and you will be rewarded."You have until midnight."The silence swallowed them all again. Every head turned, every eye in the place seemed to have found Harry, to hold him forever in the glare of thousands of invisible beams. Then a figure rose from the Slytherin table and he recognized Pansy Parkinson as she raised a shaking arm and screamed, "But he's there! Potter's there. Someone grab him!"Before Harry could speak, there was a massive movement. The Gryffindors in front of him had risen and stood facing, not Harry, but the Slytherins. Then the Hufflepuffs stood, and almost at the same moment, the Ravenclaws, all of them with their backs to Harry, all of them looking toward Pansy instead, and Harry, awestruck and overwhelmed, saw wands emerging everywhere, pulled from beneath cloaks and from under sleeves."Thank you, Miss Parkinson." said Professor McGonagall in a clipped voice."You will leave the Hall first with Mr. Filch. If the rest of your House could follow.
John Eldredge, Wild At Heart|I wasn't mean; I wasn't evil. I was nice. And let me tell you, a hesitant man is the last thing in the world a woman needs. She needs a lover and a warrior, not a Really Nice Guy.
Kerem Mermutlu, My Last Summer|I knew that she couldn’t hear me if she was there. But the sound was enough to grab me, to hold me to hope, and with desperation that I’d never known before I knew that I must find my way back to her.
Dada Bhagwan|We’ (the Gnani Purush, the enlightened one) have only one desire, and that too is a discharging desire of doing ‘Jagat kalyan’ (world’s salvation).
Dr Sivakumar Gowder|People use alcohol for just fun. This fun then makes them use gun. Finally, it ends up with sin.
Anand Gopal, No Good Men Among the Living: America, the Taliban, and the War through Afghan Eyes|A believer covers up and give Naseehah, whereas an evil-doer exposes and humiliates.
Hermann Hesse, The Journey to the East|The whole of world history often seems to me nothing more than a picture book which portrays humanity's most powerful and a senseless desire - the desire to forget. Does not each generation, by means of suppression, concealment, and ridicule, efface what the previous generation considered most important?
Michael J. Sullivan, Heir of Novron|Because I'm moved in writing to be irrepressible. Writing to you seems like some holy cause, cause there's not enough female irrepressibility written down. I've fused my silence and repression with the entire female gender's silence and repression. I think the sheer fact of women talking, being, paradoxical, inexplicable, flip, self-destructive but above all else public is the most revolutionary thing in the world.
W. Somerset Maugham, Of Human Bondage|I don't see the use of reading the same thing over and over again,' said Phillip. 'That's only a laborious form of idleness.'But are you under the impression that you have so great a mind that you can understand the most profound writer at a first reading?'I don't want to understand him, I'm not a critic. I'm not interested in him for his sake but for mine.'Why do you read then?'Partly for pleasure, because it's a habit and I'm just as uncomfortable if I don't read as if I don't smoke, and partly to know myself. When I read a book I seem to read it with my eyes only, but now and then I come across a passage, perhaps only a phrase, which has a meaning for me, and it becomes part of me; I've got out of the book all that's any use to me and I can't get anythning more if I read it a dozen times. ...
Rowena Cherry, Forced Mate|As a rule of thumb, it was always safer if the Commander-in-Chief formulated a risky plan.
Niecy Nash|For many people, the family is portrayed as the settled place of reasonable safety, but as anyone who has read 'The God of Small Things' would know, for me it was a dangerous place. I felt humiliated in that space. I wanted to get away as soon as I could.
Margatet Alice Murray|At last the magic caught, and she managed to vault clumsily onto it before it trundled into the night sky as gracefully as a duck with one wing missing.
Vishal Chipkar, Enter Heaven|That in my left pocket I have "heaven"... doesn't mean that in my right pocket I don't have "hell".
Billie Holiday|You can't keep changing men, so you settle for changing your lipstick.
Petra Nemcova|I parody myself every chance I get. I try to make fun of myself and let people know that I'm a human being, and these things that have happened to me are real. I'm not just some cartoon who exists and suddenly doesn't exist.
Daniel Silva, The Kill Artist|Some men and women aren't looking for money. They can't be bought, bullied, reasoned, or negotiated with. They simply want to watch the world burn.
Henry A. Giroux, Teachers as Intellectuals: Toward a Critical Pedagogy of Learning|For the ancient Greeks, the ultimate test of the educational system was the moral and political quality of the students that it produced
David Wong, John Dies at the End|John, let me make one thing clear,” Jim said, cutting me off in his most stern, evangelical voice. “Every man is blessed with his gifts from the Lord. One of mine happens to be a penis large enough that, if it had a penis of its own, my penis’ penis would be larger than your penis.”........"Fuck all of you,” John retorted. “You don’t even exist. We’re all just a figment of my cock’s imagination.
Mary Morrell, Things My Father Taught Me About Love|Love by its very nature is extravagant, but we poor human beings, so caught up in fear and worry, limit the very love we were created to bring into the world.
Anne Frank|Each person holds so much power within themselves that needs to be let out. Sometimes they just need a little nudge, a little direction, a little support, a little coaching, and the greatest things can happen.
Victor Hugo|It isn’t hard to find evil in this world. Evil is always more easily imagined than good, somehow.
Lachi|Have you ever had a beautiful melody stuck in your head, but you don't know where it came from? That melody is me.
Kenneth Patchen, Collected Poems|If the truth is inside,And the form is outside,What is the truth of sleep?
Laura Kreitzer, Keepers|It’s complicated,” I said in defense, hands going up to show surrender.“Talk slowly,” Jenna retorted derisively.“Okay, I deserved that,” I admitted.
Farshad Asl|If you're going to be working, you might as well work with passion and give it all you've got.
Robert Grudin|We must work for the good and commit ourselves to postures of global selflessness, even if we can't figure out all the details surrounding the foreign dictators, food shortages, and fair trade. We're called to lean in, to work as hard as we can toward the good, and then trust in God who says, 'The way I work surpasses the way you work, and the way I think is beyond the way you think.' We're called to be witnesses of how God is at play in the world.
Dorothy L. Sayers, The Letters of Dorothy L. Sayers. Vol. 1, 1899-1936: The Making of a Detective Novelist|[T]he more clamour we make about 'the women's point of view', the more we rub it into people that the women's point of view is different, and frankly I do not think it is -- at least in my job. The line I always want to take is, that there is the 'point of view' of the reasonably enlightened human brain, and that this is the aspect of the matter which I am best fitted to uphold.
Matshona Dhliwayo|Darkness is an uncomfortable place, but that is where stars are made.
Malti Bhojwani, Don't Think of a Blue Ball|What emerges from these separate strands of (modern) history is an image of man himself that bears a new, stark, more nearly naked, and more questionable aspect. The contraction of man's horizons amounts to a denudation, a stripping down, of this being who has now to confront himself at the center of all his horizons. The labor of modern culture, whenever it has been authentic, has been a labor of denudation. A return to the sources; "to the things themselves," as Husserl puts it; toward a new truthfulness, the casting away of ready-made presuppositions and empty forms - these are some of the slogans under which this phase in history has presented itself. Naturally enough, much of this stripping down must appear as the work of destruction, as revolutionary or even "negative": a being who has become thoroughly questionable to himself must also find questionable his relation to the total past which in a sense he represents.
John Shelby Spong|Whatever it was that people experience in Jesus has today come to be identified with medieval doctrines based on premodern assumptions that are no longer believable. That identification means that serious theological discussion seems to accomplish little more than to erect a division between the shouters and the disinterested. Jesus becomes the captive of the hysterically religious, the chronically fearful, the insecure and even the neurotic among us, or he becomes little more than a fading memory, the symbol of an age that is no more and a nostalgic reminder of our believing past. To me neither option is worth pursuing. Yet even understanding these things, I am still attracted to this Jesus and I will pursue him both relentlessly and passionately. I will not surrender the truth I believe I find in him either to those who seek to defend the indefensible or to those who want to be freed finally from premodern ideas that no longer make any sense.
Teresa L. DeCicco, PhD|The moment you, as a spiritual person, stop growing, you simply die. Your ministry will grow as a consequence of your dedication, faithfulness and persistent desire to move on
Alyse M. Gardner, Slayers|Why should repeat 2-3 for the same question. Let tongue and brain connect before talking.I'm not sarcastic, I'm just brutally honest !
Katherine Dunn|Language comes first. It's not that language grows out of consciousness, if you haven't got language, you can't be conscious.
Jonas Eriksson, Everyday Psychopaths|Now Vegas, while you were asleep your classmates and I were discussing time manipulation. What are your thoughts on the subject?”“Well,” Vegas turned to the class, his captive audience and smiled, “if you can manipulate time so this bell would hurry up and ring, I'd think it’s fabuloso.” The class snickered again, but not everyone since someone else had made a similar joke just several minutes prior. Naturally, Vegas hadn't been able to hear it over the sound of his own snoring.
Richard Paul Evans|Jung Yong-hwa and I know so much about each other, I think it would be difficult for us to start a romantic relationship.
Anton Myrer|The basic teachings of the Protestants were all surrounding values, ethics and morals
Latika Teotia|None of us is perfect, yet some of us seek perfection in others and that is the root cause of broken relationships as well as misery. We should rather focus on making relationship perfect by filling it with love, understanding and mutual respect. Like it is said that soul mates are not met they are made.
Émile Zola, L'Argent|Old Rekohu’s claim to singularity, however, lay in its unique pacific creed. Since time immemorial, the Moriori’s priestly caste dictated that whosoever spilt a man’s blood killed his own mana - his honor, his worth, his standing & his soul. No Moriori would shelter, feed, converse with, or even see the persona non grata. If the ostracized murderer survived his first winter, the desperation of solitude usually drove him to a blowhole on Cape Young, where he took his life.Consider this, Mr. D’Arnoq urged us. Two thousand savages (Mr. Evans’s best guess) enshrine “Thou Shalt Not Kill” in word & in deed & frame an oral “Magna Carta” to create a harmony unknown elsewhere for the sixty centuries since Adam first tasted the fruit of the Tree of Knowledge. War was as alien a concept to the Moriori as the telescope is to the Pygmy. Peace, not a hiatus betwixt wars but millennia of imperishable peace, rules these far-flung islands. Who can deny Old Rekohu lay closer to More’s Utopia than our States of Progress governed by war-hungry princelings in Versailles & Vienna, Washington & Westminster? “Here,” declaimed Mr. D’Arnoq, “and where only, were those elusive phantasms, those noble savages, framed in flesh & blood!” (Henry, as we later made our back to the Musket confessed, “I could never describe a race of savages too backwards to throw a spear as ‘noble.
Fakeer Ishavardas|A high EQ mind maintains its composure whatever the situation, whether it is being glorified or vilified.
Niccolò Machiavelli, The Prince|I conclude therefore that, fortune being changeful and mankind steadfast in their ways, so long as the two are in agreement men are successful, but unsuccessful when they fall out. For my part I consider that it is better to be adventurous than cautious, because fortune is a woman, and if you wish to keep her under it is necessary to beat and ill-use her; and it is seen that she allows herself to be mastered by the adventurous rather than by those who go to work more coldly. She is, therefore, always, woman-like, a lover of young men, because they are less cautious, more violent, and with more audacity command her.
Lauren Myracle, Bliss|There's nothing wrong with George. It is not possible to find fault with George. He's a perfect Scottish angel. He always shares the snacks that his mother sends him and he's better- looking than Jace. There, I said it. I'm not taking it back.
Jonathan Safran Foer, Extremely Loud and Incredibly Close|I brought the birdcages to the windows.I opened the windows, and opened the birdcages.I poured the fish down the drain.I took the dogs and cats downstairs and removed their collars.I released the insects onto the street.And the reptiles.And the mice.I told them, Go.All of you.Go.And they went.And they didn’t come back
Gene Robinson|Particularly black Americans, many of them, from quotes that I have seen and conversations I've had, are sort of insulted that the civil rights movement is being hijacked - the rhetoric of the civil rights movement is being hijacked for something like same sex marriage. Black Americans tend to have a higher degree of religiosity.
Krishna Udayasankar, Kurukshetra|For too long now divinity and destiny have legitimized what reason and compassion would not. An individual for a family, a family for the kingdom, a kingdom for an empire... And now – an empire for humanity.– Govinda Shauri
Herbie Hancock|My grandmother is this amazingly theatrical woman. She acted like a movie star, as far as looks and attitude, kind of like Susan Hayward.
RaeAnne Thayne, Dancing in the Moonlight|Jake, anyway, and somehow that seemed far, far worse. The couldn’t
Douglas MacArthur|Even today we raise our hand against our brother... We have perfected our weapons, our conscience has fallen asleep, and we have sharpened our ideas to justify ourselves as if it were normal we continue to sow destruction, pain, death. Violence and war lead only to death.
Richelle E. Goodrich, Smile Anyway|Whenever the cloud of ego threatens to engulf me, I remind myself of my roots. It helps keeping my feet on the ground.
Israelmore Ayivor, Leaders' Watchwords|Leadership is inherent in our nature and is fundamental to our origins, our human makeup –and our destiny.
Geraldine Brooks, People of the Book|When she thought of the letter beit, it was not of the thickness of lines or the exactitude of spaces. It was of mysteries: the number two, the dual; the house, the house of God on earth. 'They will build me a temple and I will dwell in them.' In them, not in it. He would dwell within her. She would be the house of God. The house of transcendence. Just a single, tiny letter, and in it, such a path to joy.
Mansur al-Hallaj, Ana Al-Haqq Reconsidered|A wise teacher is a keen and true student of absolute beauty and truth, and he searches everywhere for them in nature with all his heart
Marie Brennan, In the Labyrinth of Drakes|Jake accompanied us as well, having arrived in Akhia shortly before the excavation team departed. I did not tell him our destination until we were safely away from civilization, and found my caution abundantly justified: he whooped and danced about so much, he fell off his camel and broke his left arm.
Madeleine L'Engle|This man was once my salvation. Now, he will be my ruin.
Robert  Burton, The Anatomy of Melancholy|That which others hear or read of, I felt and practised myself; they get their knowledge by books, I mine by melancholizing.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|There is no such thing as fear until you allow it to enter your heart. If I told you what really happens to your soul when it is put to eternal sleep, you would not fear death; hence, you would never have fear — or fear Fear. But this is something I will share with you another day and time, in another story. We are taught to fear anything that can bring us closer to death — to keep us from taking huge leaps that involve risk. The only thing you should fear in this lifetime is not taking risks while you are living. I do not mean to go jump off a bridge. I mean, to go all out to reach your dreams, to dare to do things you typically would not do out of fear. Pain has a threshold and so does death. Fear neither, and never fear what has no right to be feared. Fear only the Almighty, for he is the only one who can terminate a soul forever. No man can do that. No leader can do that. Only the Creator can do that. As long as the heart is good, a soul can live forever. The body is simply a coating for the soul, and when you die, your soul takes the soul of your heart along with it. Love strengthens both, while fear cripples both. Starting today, train your mind and heart to reject fear. Once you reject fear, you will become the perfect candidate to receive and reflect Truth.
Dave Harvey, When Sinners Say "I Do": Discovering the Power of the Gospel for Marriage|Almost every sin is committed for the sake of sensual pleasure; and sensual pleasure is overcome by hardship and distress arising either voluntarily from repentance, or else involuntarily as a result of some salutary and providential reversal. ‘For if we would judge ourselves, we should not be judged; but when we are judged, we are chastened by the Lord, so that we should not be condemned with the world.’ (1 Cor. 11:31-32).
Margarita Engle, The Surrender Tree: Poems of Cuba's Struggle for Freedom|The child tells me her grandmothershowed her how to cure sadness by sucking the juice of an orange, while standing on a beach.Toss the peels onto a wave.Watch the sadness float away.
Rosa Parks|Don't limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve.
Chuck Palahniuk, Haunted|Yes, terrible things happen, but sometimes those terrible things- they save you.
Ken Ham, The Lie: Evolution|Bible is a window into the life and practices of the people who lived in Israel and bordering nations of Egypt, Mesopotamia, Greece, Rome, and Judea.
Jason Medina, A Ghost In New Orleans|This will be the night I escape. The thought repeated in my mind like a refrain, over and over, and I believed it so hard that I whispered it aloud: ‘This will be the night I escape!
Kilroy J. Oldster, Dead Toad Scrolls|The phrase ‘Boys will be boys,’ reflects that a male child is expected to be unpredictable and occasionally troublesome.
Ace Antonio Hall|Premeditated anger is a bitch. Instead of saying, "Next time he does this, I will ... ", say, "Next time he does that, I will show him more patience and more love. That's premeditative love. She's much sexier!
Zadie Smith, White Teeth|We may have a perfectly adequate way of doing something, but that does not mean there cannot be a better way. So we set out to find an alternative way. This is the basis of any improvement that is not fault correction or problem solving.
DMX|Scarce any problem will appear more hard and difficult, than that of determining the distance of the Sun from the Earth very near the truth: but even this... will without much labour be effected.
Manoj Arora, From the Rat Race to Financial Freedom|Our listeners asked us:"What is chaos?"We're answering:"We do not comment on economic policy.
Gustav Hasford|How do you quantify love? Can you weigh it, measure it, pin it down with equations? If the sum of all experiences is really just the interaction of a finite soup of chemicals copulating in nerve endings, how did this even dare articulate the infinite?Mathematicians will tell you there are different types of infinities. Some are countable, some are not. We can love someone more and more; we can stop loving. But we can never guess how much all this is. Love has no units.
Mehdi Ghafourifar, Univetica: Compelling Change|...when we cease asking questions, when we stop being self-critical, and when we no longer engage with others, then we surrender our ability to grow--to progress. Let's begin the conversation.
