|Stop chasing people who keep running away from your presence, because even if you succeed in catching them, sooner or later they would run away.
Anna Pavlova|It's not possible to experience constant euphoria, but if you're grateful, you can find happiness in everything.
Anne Lamott|Christmas, children, is not a date. It is a state of mind.
Hester Lucy Stanhope|My roses are my jewels, the sun and moon my clocks, fruit and water my food and drink.
Sahara Sanders, INDIGO DIARIES: A Series of Novels|It's true that we, writers, write (create) books, but eventually, a good book gives birth to a good, established writer.
Julia Child|We're getting ready to sit down at the table and have Thanksgiving, and there's people that are not with their families. There are people that are in dangerous areas, putting their lives on the line to keep our country free, and I think that's something we should all celebrate every day.
Debasish Mridha|If you are loving, you will attract love. If you are kind, you will attract kindness. If your heart is at peace, you will create an aura of peacefulness around you.
John Crowley, American Fantastic Tales: Terror and the Uncanny from the 1940's Until Now|Should he make a note? He felt for the smooth shape of his pen in his pocket. 'Theme for a novel: The contrary pull ... " No. If this notion were real, he needn't make a note. A notion on which a note had to be made would be stillborn anyway, his notebook was a parish register of such, born and dead on the same page. Let it live if it can. ("Novelty")
Karl Marx, The Communist Manifesto|In a country where the sole employer is the State, opposition means death by slow starvation. The old principle: who does not work shall not eat, has been replaced by a new one: who does not obey shall not eat.
Bernard of Clairvaux|Thrilled that Reyes and I were outside, and taking that as her cue to get her freak on, Artemis ran around like a gerbil on meth, turning occasionally to make sure we were still watching. And God help us if we weren't.
Manu Pratap|Little things matter far more than big ones. We remember them longer. We can’t control the big things. If you think about what’s happened in the past, it will be the small moments that come to the forefront, not the big transitions. The big things were just history. The small moments are yours. The books those monks printed are still preserved centuries after they were gone. Little things matter.
Catherynne M. Valente, The Boy Who Lost Fairyland|Sometimes, magic is like that. It lands on your head like a piano, a stupid, ancient, unfunny joke, and you spend the rest of your life picking sharps and flats out of your hair.
Israelmore Ayivor, The Great Hand Book of Quotes|...while some communities are chasing visions out, others are chasing one another away. ....while some leaders love breaking records, others love breaking constructed buildings. Good leaders deserve golden trophies while gas cylinder is o.k for the bad ones!
Elizabeth Berg, The Year of Pleasures|Awakening is not a thing. It is not a goal, not a concept. It is not something to be attained. It is a metamorphosis. If the caterpillar thinks about the butterfly it is to become, saying ‘And then I shall have wings and antennae,’ there will never be a butterfly. The caterpillar must accept its own disappearance in its transformation. When the marvelous butterfly takes wing, nothing of the caterpillar remains.
Dan Alatorre|I come up with an idea and I’ll start throwing little suggestions for possible scenes into a folder, but before I seriously sit down to write Word One, they whole outline is finished. Sue me. It works.
Siri Hustvedt|Because I knew so much about him, because I had been close to him, I couldn't bring the various fragments of my experience with him into a single coherent image. The truth was mobile and contradictory, and I was willing to live with that.
J.B. McGee, Broken|There are no people who are whole" he says. "Everyone has issues of their own to deal with. Mine might be a little harder, but the main thing is how on deals with them.
John W. Snow|I worked half my life to be an overnight success, and still it took me by surprise.
Ruthy Alon, Mindful Spontaneity: Lessons in the Feldenkrais Method|Aren't we all in varying degrees, captives in our own personal prisons, bound by our limiting habits?
Henri Poincaré, The Value of Science|To be successful, you must find peace of mind, acquire the material needs of life, and above all, attain happiness. All of these evidences of success begin in the form of thought impulses.
Charles Wright, Littlefoot: A Poem|What makes us leave what we love best?What is it inside us that keeps erasing itselfWhen we need it most,That sends us into uncertainty for its own sakeAnd holds us flush there until we begin to love itAnd have to begin again?What is it within our own lives we decline to liveWhenever we find it, making our days unendurable,And nights almost visionless?I still don't know yet, but I do it.
Roy H. Williams, Secret Formulas of the Wizard of Ads|Writing a book is easy, getting people to read it is the hard part.
Kathy Reichs, Exposure|Life is, at times, tough...And all we need to do is to prove that we are tougher than it...
Timothy J. Keller, King's Cross: The Story of the World in the Life of Jesus|Perfection does not mean errorless . Real perfection starts with real intention and ends with delivery, all driven by seeking knowledge, trial & error and investing emotions. Whatever delivered after that is perfect .
Gary Hamel, Leading the Revolution: How to Thrive in Turbulent Times by Making Innovation a Way of Life|**New business concepts are always, always the product of lucky foresight.**That's right - the essential insight doesn't come out of any dirigiste planning process; it comes form some cocktail of happenstance, desire, curiosity, ambition and need. But at the end of the day, there has to be a degree of foresight -- a sense of where new riches lie. So radical innovation is always one part fortuity and one part clearheaded vision.[first-line bold by author][2002] p.23
Victor Hugo, Les Misérables|...Nobody knows like a woman how to say things that are both sweet and profound. Sweetness and depth, this is all of woman; this is Heaven.
Arturo Pérez-Reverte, The Club Dumas|In essence , games are the only universally serious activity . They leave no room for skepticism , wouldn't you agree ? However incredulous or doubting you might be , if you want to play , you have no choice but to follow the rules . Only the person who respects the rules , or at least knows and applies them , can win . Reading a book is the same : you have to accept the plot and the characters to enjoy the story .
Nina Sankovitch, Tolstoy and the Purple Chair: My Year of Magical Reading|We are what we love to read, and when we admit to loving a book, we admit that the book represents some aspect of ourselves truly, whether it is that we are suckers for romance or pining for adventure or secretly fascinated by crime.
Mujel Hasan, No Return Address: A collection of poems|You stand for what is right-for the patient and the staff.Pressures of work may down you,maybe bent but not broken.
Andrew Louth, Introducing Eastern Orthodox Theology|The smaller you get—the smaller life makes you—the easier it is to see the grandeur of grace. While I am far more incapable than I may have initially thought, God is infinitely more capable than I ever hoped.
Rachel Cusk, Outline|That’s writing for you: when you make space for passion, it doesn’t turn up.
Laurie Colwin|She said that my good qualities were my bad qualities -- this I have come to realize is true of everyone. On the one hand, I was game, eager and perfectly ready to see what was in front of me. On the other hand, I had no sense of direction or destiny.
Brigid Brophy|There are always two people involved in cruelty, aren't there? One to be vicious and someone to suffer! And what's the use of getting rid of - of wickedness, say - in the outside world if you let it creep back into things from inside you?
Suzanne Brockmann, Out of Control|I’m going to carry you now,” he told her, “so we can move even faster. I’m not asking you, I’m telling you. Any response from you is unnecessary and unwelcome.
Melissa Tagg, From the Start|Maybe that was the best part. The beautiful peace that came with living her own story, knowing every turn of the page and tug of the heart was a new beginning.
Alice Jamieson, Today I'm Alice: Nine Personalities, One Tortured Mind|It’s hard to feel supported when you can’t tell people everything. People haven’t really got a clue what it’s like. It’s hard to trust anyone. It’s hard to believe people won’t let you down. I’m feeling like I want to cry. My body feels hollow. Empty. I don’t feel like I’m 17. I feel young. I’m not sure how old, maybe about 10 yrs. It’s hard to accept that I can’t get all the support I need from one person. From any person. It’s hard that no one can fully understand. It’s hard for me to admit that inside I feel a really lonely person. What do I need to do to take care of myself right now? Well I need to cuddle my teddies — it sounds silly, but I need some comfort... I was still cuddling teddies when I should have been cuddling boys. The sick imagery in my mind, rather than making me sexually active, had closed that door completely.
Mike Carey, The Unwritten, Vol. 5: On to Genesis|Stories are what death thinks he puts an end to. He can't understand that they end in him, but they don't end with him.
Laurel Clark|I wanted to do my part to help preserve that golden age of travel... I step aboard The Patron Tequila Express railcar, and I go back in time to the days when a long journey was something fun and very special.
Francis Bacon|I think people just like seeing friendship. I think people like seeing people who just drive each other up the wall, but at same time, can't live without each other.
Trofim Lysenko|You should welcome getting older in golf. With greater knowledge of your swing, you, too, can keep improving.
Fennel Hudson, A Meaningful Life - Fennel's Journal - No. 1|Of the classic fIve W's and an H, Amy's approach seemed to be that when you have a handle on the WHO, the rest will more or less reveal itself accordingly.
Mary Decker|Our children are obese, either have or being threatened by diabetes, high blood pressure, high cholesterol, and not socially adjusting properly to others because of a lack of fitness.
Darren Main, The River of Wisdom: Reflections on Yoga, Meditation, and Mindful Living|Instead of asking, “How can I ease my suffering?” yoga would have us ask,“How can I better serve my brothers and sisters?” Because only in answering the latter can we hope to answer the former.
John Lydon|A sense of humor keen enough to show a man his own absurdities will keep him from the commission of all sins, or nearly all, save those worth committing.
Kelseyleigh Reber, If I Resist|She lay on her back, looking up at the sky, feeling no desire to move or think or know that there was any time beyond this moment.
Fidel Castro|My mother was a high school arts teacher, so I was always surrounded by the arts.
Austin Chant, Peter Darling|When you realize your life isn't heading in the direction you wish, rather than wasting time complaining about the situation, just focus on the direction you wish to proceed with determination.
Peter S. Beagle, A Fine and Private Place|When we're struck with cruelty, we can either inflict the same on others like it's a rite of passage, or decide that here is where it stops.
Oscar Wilde, The Picture of Dorian Gray|Maybe there's more we all could have done, but we just have to let the guilt remind us to do better next time.
Adam Silvera|A surprising number of American skyjackers were not yet old enough to drink or sometimes even drive. These adolescents were generally inept at planning their crimes, and few of their capers met with any success; most seemed to end within moments of starting, usually after a fatherly pilot convinced the nervous teen to hand over his gun.
Sebastian Barry|Many talk about flowing against the wind, but its only fools, who goes against the wind. The wise one’s, simply adjust themselves with the flow of the wind.
Matthew Heines|Special Super Bowl Wisdom of the Ages: "Wilson or Brady?" The writing is on the ball...
William Walker Atkinson, Thought Vibration|Remember, the only thing to fear is Fear, and - well, don't even fear Fear, for he's a cowardly chap at the best, who will run if you show a brave front.
Caitlyn Paige|What ever happened to creativity? What ever happened to the passion? What ever happened to speaking ones mind? I'll tell you what happened. The kids aged, but never grew up. A baby can whine if it does not like something because it doesn't know better. What's your excuse? Stop getting offended whenever the wind blows your hair the wrong way! We will get nowhere if we continue to avoid truths to avoid offense. Speak your mind and do not be afraid of stepping on toes. The truth can be ugly, and that's what makes it so beautiful. Speak your mind, but don't take this as a chance to lose respect either. Always keep respect. If someone then still claims to be offended, it is not because of you, nor is it your fault. They simply don't like the taste of the bittersweet truth.
Cynthia Patterson|Not in order to justify, but simply in order to explain my lack of consistency, I say: Look at my present life and then at my former life, and you will see that I do attempt to carry them out. It is true that I have not fulfilled one thousandth part of them [Christian precepts], and I am ashamed of this, but I have failed to fulfill them not because I did not wish to, but because I was unable to. Teach me how to escape from the net of temptations that surrounds me, help me and I will fulfill them; even without help I wish and hope to fulfill them.Attack me, I do this myself, but attack me rather than the path I follow and which I point out to anyone who asks me where I think it lies. If I know the way home and am walking along it drunkenly, is it any less the right way because I am staggering from side to side! If it is not the right way, then show me another way; but if I stagger and lose the way, you must help me, you must keep me on the true path, just as I am ready to support you. Do not mislead me, do not be glad that I have got lost, do not shout out joyfully: “Look at him! He said he was going home, but there he is crawling into a bog!” No, do not gloat, but give me your help and support.
Karen  Gibbs|Sometimes life takes you into a dark place where you feel it's impossible to breathe. You think you've been buried, but don't give up, because if truth be told, you've actually been planted.
Burl Barer, The Saint|Well, if you don’t like the idea of one world, how many worlds do you want, and how would you like them divided? By race? By religion? By income? Unless you have a spare planet in your pocket, one world is all we have.
Sadhguru, Of Mystics & Mistakes|You can convert this human system into absolute receptivity, where you can perceive life in ways that you have never believed possible. If you keep all your ideas, emotions and your nonsense aside, maybe you can take a step, move one inch. One little step existentially is worth more than all the scriptures that you can read on the planet. One little step is far more important than all the philosophies that you can spout.
Janvier Chouteu-Chando, Disciples of Fortune|A man’s true world should be the space and people that enrich his soul,
Dorit Brauer|On the surface, reality may appear the same each day, but in essence, we are new every moment of our lives. The potential for change and growth is unlimited if we allow ourselves to surrender to the flow.
Sylvia Earle|There never was a time when, in my opinion, some way could not be found to prevent the drawing of the sword.
Luminita D. Saviuc, 15 Things You Should Give Up to Be Happy: An Inspiring Guide to Discovering Effortless Joy|Forgiveness is a gift you give to yourself, to be at peace, to be happy and to be able to sleep at night. You don’t forgive because you are weak but because you are strong enough to realize that only by giving up on resentment will you be happy.
Marston Bates, The Nature Of Natural History|All children are curious and I wonder by what process this trait becomes developed in some and suppressed in others. I suspect again that schools and colleges help in the suppression insofar as they meet curiosity by giving the answers, rather than by some method that leads from narrower questions to broader questions. It is hard to satisfy the curiosity of a child, and even harder to satisfy the curiosity of a scientist, and methods that meet curiosity with satisfaction are thus not apt to foster the development of the child into the scientist. I don't advocate turning all children into professional scientists, although I think there would be advantages if all adults retained something of the questioning attitude, if their curiosity were less easily satisfied by dogma, of whatever variety.
John Masefield|Only the road and the dawn, the sun, the wind, and the rain,And the watch fire under stars, and sleep, and the road again.
Marita Golden, Migrations of the Heart|When we came to America, though, we didn't know what the right thing was. Here we lived with no map. We became invisible, the people who swam in between other people's lives, bussing dishes, delivering groceries. What was wrong?We didn't know. The most important thing, Abba said, was not to stick out. Don't let them see you. But I think it hurt him, to hide so much.
Elena Greene, Fly with a Rogue|Keep your hands off me.” She spoke viciously, through her teeth, and he caught a glimpse of her deVere ancestry. She was a virago in tiny, fragile, fairy form.
John Cusack|When famous people come up to you it's a bit weird, but it's an honour, really, when they recognise you and want to chat to you for a bit.
Alexandra York, Crosspoints: A Novel of Choice|One thing more, Leon. You say that life is meaningless, but I believe it's life that's sacred. I talk about art and sex because they're the most intense life experiences I know, so I feel they must be sacred too. They let us experience the values we've chosen for our lives in one exquisite moment not of pleasure exactly but of oneness with all of existence and with our own personal relationship to it. Art says: "This is Life." Sex says: "This is Living.
Mark Helprin, Freddy and Fredericka|Read what you find interesting, and then follow your interests. You'll find that in doing so you always generate enough to illuminate the next step.
Kenny Baker|One of my favorite traditions is that my sisters and I, we all wear the same pajamas. I've even still got some from when I was 6. Also, I'll always remember cooking together in the kitchen and that no matter how busy our schedules are, we are all together for Christmas.
Christina Aguilera|Technology isn't the enemy, it is our ally, but only if we adopt a new model that puts people before profit. I realize that we seem far from that model, but I have seen it in action and it is a beautiful thing. So I'm not willing to give up yet. Hope is the last thing to die.
Amit Ray, Nonviolence: The Transforming Power|God wanted to make heaven and the earth is that heaven. Nowhere in the universe there is so much love, life, beauty and peace. Enjoy your stay with the fellow beings.
Joni Eareckson Tada|You know, your first album is about really amazing things. Your first album is always about coming of age, first love, first loss, usually you suffer a first loss of someone that you love to death, even, you know, really big life lessons, things you learn from your parents' divorce or from the travels that you took.
J. Frank Dunkin, Bones of My Brother|(...)"Take your time, because thereisn’t a moment to spare,(...) That’s what Stein told me when I had to leave Menakfor the first time. It kind of means that wherever yourdestination is, now is the time to start working towards it,or you will never get there.
Robert M. Drake|I had to learn to live without you and I couldn't make sense of it, because I left so much of me inside of you.
Kazuo Ishiguro, An Artist of the Floating World|N-no-o, all that excitement, it wouldn't reach us,' Timosha spoke gloomily. 'We're like the sunken city of Kitezh, living at the bottom of the lake. We do not hear a thing, and the water over us is muddy and sleepy. And on the surface, way above - why, everything's in flames, and the alarms are ringing.' (“A Provincial Tale”)
Melanie Shankle, Nobody's Cuter Than You: A Memoir about the Beauty of Friendship|I believe that is what happened during this time in my life. God had other things for me, and he knew me so much better than I knew myself, so he moved me along to a new place. It certainly didn't lessen the pain at the time, but if I've learned anything along the way, it's that sometimes the best lessons are the ones that hurt the most.
Daniel Marques|It's raining, raining words!
Kay Redfield Jamison, An Unquiet Mind: A Memoir of Moods and Madness|A personality disorder is not the foreign presence of demonic possession or a cancerous cluster of cells spreading among the internal organs. It is a pattern of cognition and reaction that impares the capacity to be productive, happy and generally at ease. It is a fractured sense of self giving way to the weight of stressful interpersonal dynamics.
Rachel Klein, The Moth Diaries|She goes where she pleases. She appears unhoped for, uncalled for. She moves through doors and walls and windows. Her thoughts move through minds. She enters dreams. She vanishes and is still there. She knows the future and sees through flesh. She is not afraid of anything.
Paula McLain, Circling the Sun|Regardless the destination, all roads lead home.
Tina Packer, Women of Will: Following the Feminine in Shakespeare's Plays|She [Cressida] knows it is men's sexual desire that makes women "angels" before they have been able to possess them; once possessed, women are "things" [Troilus and Cressida I.2, 225-28, 233-34].
Bette Davis|If you've never been hated by your child, you've never been a parent.
Deb Caletti|Sometimes you can cattle rope your heart and sometimes you can't, is all.
Terry Hayes|I die, and yet not dies in meThe ardour of my love for Thee,Nor hath Thy Love, my only goal,Assuaged the fever of my soul.To Thee alone my spirit cries;In Thee my whole ambition lies,And still Thy Wealth is far aboveThe poverty of my small love.I turn to Thee in my request,And seek in Thee my final rest;To Thee my loud lament is brought,Thou dwellest in my secret thought.However long my sickness be,This wearisome infirmity,Never to men will I declareThe burden Thou has made me bear.To Thee alone is manifestThe heavy labour of my breast,Else never kin nor neighbors knowThe brimming measure of my woe.A fever burns below my heartAnd ravages my every part;It hath destroyed my strength and stay,And smouldered all my soul away.Guidest Thou not upon the roadThe rider wearied by his load,Delivering from the steeps of deathThe traveller as he wandereth?Didst Thou not light a beacon tooFor them that found the Guidance trueBut carried not within their handThe faintest glimmer of its brand?O then to me Thy Favour giveThat, so attended, I may live,And overwhelm with ease from TheeThe rigor of my poverty.
David Mitchell, Cloud Atlas|Try this for deviancy: fabricants are mirrors held up to purebloods' conscience; what purebloods see reflected there sickens them. So they blame you for holding the mirror."I hid my shock by asking when purebloods might blame themselves.Mephi replied, "History suggests, not until they are made to.
Jeffrey Eugenides, Middlesex|one of those world builders who do othing but destroy,
John D. Caputo, What Would Jesus Deconstruct?: The Good News of Postmodernism for the Church|The Right thinks that the breakdown of the family is the source of crime and poverty, and this they very insightfully blame on the homosexuals, which would be amusing were it not so tragic. Families and 'family values' are crushed by grinding poverty, which also makes violent crime and drugs attractive alternatives to desperate young men and sends young women into prostitution. Family values are no less corrupted by the corrosive effects of individualism, consumerism, and the accumulation of wealth. Instead of shouting this from the mountain tops, the get-me-to-heaven-and-the-rest-be-damned Christianity the Christian Right preaches is itself a version of selfish spiritual capitalism aimed at netting major and eternal dividends, and it fits hand in glove with American materialism and greed.
Khaled Hosseini, A Thousand Splendid Suns|That summer, Titanic fever gripped Kabul. People smuggled pirated copies of the film from Pakistan- sometimes in their underwear. After curfew, everyone locked their doors, turned out the lights, turned down the volume, and reaped tears for Jack and Rose and the passengers of the doomed ship. If there was electrical power, Mariam, Laila, and the children watched it too. A dozen times or more, they unearthed the TV from behind the tool-shed, late at night, with the lights out and quilts pinned over the windows.At the Kabul River, vendors moved into the parched riverbed. Soon, from the river's sunbaked hollows, it was possible to buy Titanic carpets, and Titanic cloth, from bolts arranged in wheelbarrows. There was Titanic deodorant, Titanic toothpaste, Titanic perfume, Titanic pakora, even Titanic burqas. A particularly persistent beggar began calling himself "Titanic Beggar.""Titanic City" was born.It's the song, they said.No, the sea. The luxury. The ship.It's the sex, they whispered.Leo, said Aziza sheepishly. It's all about Leo."Everybody wants Jack," Laila said to Mariam. "That's what it is. Everybody wants Jack to rescue them from disaster. But there is no Jack. Jack is not coming back. Jack is dead.
Jim Fusilli|She shuffled with her head bowed, her dark eyes drifting to avoid contact, and she screamed in bed at night. (Dark City Lights)
Marilynne Robinson, Gilead|That's the strangest thing about this life, about being in the ministry. People change the subject when they see you coming. And then sometimes those very same people come into your study and tell you the most remarkable things. There's a lot under the surface of life, everyone knows that. A lot of malice and dread and guilt, and so much loneliness, where you wouldn't really expect to find it, either.
Joanna Russ, On Strike Against God|This is hell. Today, in our times, hell must be like this. A huge, empty room: we are tired, standing on our feet, with a tap which drips while we cannot drink the water, and we wait for something which will certainly be terrible, and nothing happens and nothing continues to happen.
Batman vs. Robin, Alfred|It's certainly true that Chernobyl, while an accident in the sense that no one intentionally set it off, was also the deliberate product of a culture of cronyism, laziness, and a deep-seated indifference toward the general population. The literature on the subject is pretty unanimous in its opinion that the Soviet system had taken a poorly designed reactor adn then staffed it with a group of incompetents. It then proceeded, as the interviews in this book attest, to lie about the disaster in the most criminal way. In the crucial first ten days, when the reactor core was burning and releasing a steady stream of highly radioactive material into the surrounding areas, the authorities repeatedly claimed that the situation was under control. . . In the week after the accident, while refusing to admit to the world that anything really serious had gone wrong, the Soviets poured thousands of men into the breach. . . The machines they brought broke down because of the radiation. The humans wouldn't break down until weeks or months later, at which point they'd die horribly.
Benjamin Mee, We Bought a Zoo|And for once, Donald Rumsfeld, in the news at the time over the Iraq war made sense to me: "As we know," he said, famously, "there are known knowns-things we know we know. We also know there are known unknowns-things we know we don't know. But there are also unknown unknowns- things we don't know we don't know.
Richard Bach|School houses do not teach themselves - piles of brick and mortar and machinery do not send out men. It is the trained, living human soul, cultivated and strengthened by long study and thought, that breathes the real breath of life into boys and girls and makes them human, whether they be black or white, Greek, Russian or American.
Chris Matakas, The Tao of Jiu Jitsu|Decision power is knowledge-based, wisdom-driven and character-oriented.
George Orwell, Books v. Cigarettes|At the time I could not see beyond the moral dilemma that is presented to the weak in a world governed by the strong: Break the rules, or perish.
Billy Graham, Billy Graham in Quotes|Do not expect me to fall in with the evil customs and ways of the world. I am in Rome, but I will not do as Rome does. I am an alien, a stranger, and a foreigner. My citizenship is in heaven.
Dada Bhagwan|Where there is no Sachchidanand [sat-chit-anand, eternal knowledge and vision leading to bliss], there is night (darkness).
Agnostic Zetetic|Most days, I’ve got this impermanence thing down just great. It doesn’t bother me; what’s to bother? Most days, I sit comfortably with the knowledge that I’ll die alone, and I feel nothing so strongly as my embrace of my nothingness. Most days don’t really matter, because there is only this day, and right now I feel like fear is all I am. I don’t want you to leave. Just let me pretend you won’t.'He wrapped his arms around me and we slept. For that night, we would last forever.
John Romaniello|I'm an athlete, so I can get up one day and run and it wouldn't bother me. I don't get the time because I work for long hours every day. Being constantly on the move itself helps me stay fit. I don't go to a gym. I use the stairs, not the lift. I'm not into fitness, but I feel I should start, as it's healthy.
Michel Houellebecq, Platform|As I rock down the hall I am flung from my path- snatched and grabbed. Before I can even utter a word, a large palm is covering my mouth. In less than five seconds I am inside a pitch black room, pushed face first into a cold metal door, and I hear the lock snick into place. A heavy weight presses at my back. I didn’t even have time to panic. It was a well-timed attack.My mind flashes to another time and place, another hand on my mouth. I breathe though the panic that tries to overcome me.I allow my senses to put me at ease. He’s just softly breathing near my ear. His body is relaxed. The way he holds me feels more playful than threatening.“Let me guess… the Boss,” I say to the heavy weight at my back. My tone is a mix of amused annoyance.
Bruce R. McConkie|As we read, ponder, and pray, there will come into our minds a view of the three gardens of God—the Garden of Eden, the Garden of Gethsemane, and the Garden of the Empty Tomb where Jesus appeared to Mary Magdalene.
Dakota Johnson|I try to not work too many Sundays. At least on Sunday nights, I try to chill out a little bit. I call it Sunday Funday.
Melody  Lee, Moon Gypsy|The sky was the yellow color of old cheese and the clouds flew across it, as if they had seen something horrifying in the desert wastes where they had so lately been.
Robert Tew|No matter how much you revisit the past, there's nothing new to see.
Kate McGahan, Jack McAfghan: Return from Rainbow Bridge|The fact is that when you admit that you can’t blame anyone or anything else, you begin to blame yourself. The human mind gives up trying to find an executioner, but still it must blame someone. Anger that is not expressed tends to turn inward and, instead, attacks the very one who feels it. You move from anger and guilt into depression.
T.H. White, The Once and Future King|The sea is calm tonight.The tide is full, the moon lies fairUpon the straits;- on the French coast the lightGleams and is gone; the cliffs of England stand,glimmering and vast, out in the tranquil bay.
Emily Adrian, Like It Never Happened|A dark voice within warned him to stop, but Aaron brushed it off. He flashed Holden a patronizing smile. “All right, then. Why not here? I have no problem giving you a fair fight, considering our history.”Slowly Holden relaxed his arms. There was a dark glimpse of metal, and then he took quick aim with his right hand. The short, lonely barrel of a gun stared Aaron in the eye. Even in his surprised state, Aaron could see what he was up against. An innocuous-looking Remington 1911, its wood-grip base outdated in style, but its precision and reliability lauded throughout the years.“Considering our history,” Holden said through his teeth, “I have no interest in fair.
Linda Bender, Animal Wisdom: Learning from the Spiritual Lives of Animals|Animals suffer both emotionally and physically, but they don't suffer metaphysically. That is, they don't suffer about suffering, don't get thrown into spiritual confusion by it, or fall out of connection with the divine because of it.
Martin Heidegger, The Self-Assertion of the German University|Sometimes, you must know "Why", that happen, or this will happen...!?
C. JoyBell C.|Words are the writer's sorcery, our dark arts and our sleight of hand. They're our enchantment and our temptation
Veronica Roth, Divergent|I close my eyes. I don't expect Four to reassure me, and he makes no effort to, but I feel better standing here than I did out there among the people who are my friends, my faction.
Thea Harrison, Dragon Bound|Oh my God, not only is he older than the Grand Canyon, but he’s like the pope and the Fae King and the president of the United States all rolled up into one. To some ancient cultures he had been a god. He was going to hurt her so bad before he killed her so dead, and all she could think of was how hot his kiss had been in the dream and how delicate the touch of his finger was as it traced down her body.
Dawn Metcalf, Indelible|Do you trust me?"She could still hear him, through flesh and noise."I love you!" she shouted.It wasn't the answer he'd expected or the she'd expected to give. It was the wrong time, the wrong thing to say, but her answer lit a fire in his eyes.
John Berger|Ours is the century of enforced travel of disappearances. The century of people helplessly seeing others, who were close to them, disappear over the horizon.
Richard Dawkins, An Appetite for Wonder: The Making of a Scientist|I always enjoyed studying languages and I learned from my Master that He wanted humans to be called Human Beings to continually remind them that they are really verbs and that their soul purpose is to BE. I think they tend to forget about this, they are so busy being nouns doing things that won't matter tomorrow.
Arthur Ashe|Happiness consumes itself like a flame. It cannot burn for ever, it must go out, and the presentiment of its end destroys it at its very peak.
Aristophanes, The Knights|You [demagogues] are like the fishers for eels; in still waters they catch nothing, but if they thoroughly stir up the slime, their fishing is good; in the same way it's only in troublous times that you line your pockets.
Steve Albini|After my parents' divorce when I was 4, I spent weekends with my dad before we finally moved to California. By the time Sunday rolled around, I was incapable of enjoying the day's activities, of being in the moment, because I was already dreading the inevitable goodbye of Sunday evening.
Virginia Woolf, Night and Day|I told my kids I just want three words on my tombstone, if I have one. I'll probably be cremated. One is "woman." I'm very comfortable in that role. I've loved being a woman, I've loved being a mother, I've loved being a grandmother. I want three words: Woman, Atheist, Anarchist. That's me.
Stormie Omartian, Just Enough Light for the Step I'm On|If fear appears at your door you have two options, either you choose to let it in or you choose to grab onto the Lord and the promise of His presence no matter what.
W.G. Sebald, Austerlitz|It seems to me then as if all the moments of our life occupy the same space, as if future events already existed and were only waiting for us to find our way to them at last, just as when we have accepted an invitation we duly arrive in a certain house at a given time.
Suvorov Viktor|What had been a region of model farming became almost a desert, for more than half the population was exiled or sent to concentration camps. The young people left the villages, the boys to go to the factories if they could get jobs, or to become vagabonds if they couldn’t.***An echo of the tragic fate of Russia’s German Protestant population reached the world when the Mennonites flocked to Moscow and sought permission to leave the country. Some of these Germans had tried to obey the government and had formed collective farms, only to have them liquidated as Kulak collectives. Being first-class farmers, they had committed the crime of making even a Kolkhoz productive and prosperous.Others had quite simply been expropriated from their individual holdings. All were in despair. Few were allowed to leave Russia. They were sent to Siberia to die, or herded into slave labor concentration camps. The crime of being good farmers was unforgivable, and they must suffer for this sin.***Cheat or be cheated, bully or be bullied, was the law of life. Only the German minority with their strong religious and moral sense—the individual morality of the Protestant as opposed to the mass subservience demanded by the Greek Orthodox Church and the Soviet Government—retained their culture and even some courage under Stalin’s Terror.
Christina Rossetti|What a tale he's told, what a bitter bowl of war he's drunk to the dregs.
Ridwan Nurwansyah|His gaze, bluntedby the unnumbered processionof iron bars, uncountedas his softly padded steps.Smooth motion of blood and sinewturning in its own, small circleprescribed by bars and walls...and skin, confined.Suddenly, without warning,a flash of light and imagepierces the caged brain,and passing through its beating heartto stillness finds its way. 
Matshona Dhliwayo|Nobody can walk with me in the same foot steps, but all can dream about it.
Mihaly Csikszentmihalyi, Flow: The Psychology of Optimal Experience|Contrary to what we usually believe, moments like these, the best moments in our lives, are not the passive, receptive, relaxing times—although such experiences can also be enjoyable, if we have worked hard to attain them. The best moments usually occur when a person’s body or mind is stretched to its limits in a voluntary effort to accomplish something difficult and worthwhile. Optimal experience is thus something that wemake happen. For a child, it could be placing with trembling fingers the last blockon a tower she has built, higher than any she has built so far; for a swimmer, it could be trying to beat his own record; for a violinist, mastering an intricate musical passage. For each person there are thousands of opportunities, challenges to expand ourselves.
Mina Marial Nicoli, The Magic of Avalon Eyrelin|I am not tough, nor hardened, nor strong. I cannot fight. I do not have what it takes. I can comfort my friends with this gift, but I cannot heal the world with it, and I certainly cannot do battle with an evil sorcerer with it! You are mistaken!
Elias Canetti, Auto-da-Fé|By the way, if anyone here is in advertising or marketing, kill yourself.
Sara  Humphreys, Trouble Walks In|I try not to react, but I must fail because Gabriel turns to look at me. “The world needs both butterflies and lions. One is not better than the other. They're both beautiful and brave in their own ways.”His hand covers mine as it fiddles with the blades of grass. “Ava.” I look up. “I do not wish you were a lion any more than I would have wished her to be a butterfly.
Ann Brashares|Let me love you, but don't love me back. Do love me and let me hate you for a while. Let me feel like I have some control, because I know I never do. 
Bien Sufficient|Celebrate you! For if you don’t, no one will.
