Dick Van Dyke, Keep Moving: And Other Truths About Living Well Longer|Aging is scary but fascinating, and great talent morphs in strange and often enlightening ways.
Robert M. Drake|She wasn't broken. She was just bent, over the chance of being ignored by the one she loved.
Michelle Sagara West, Cast in Silence|It doesn’t take objectivity to know what you want, and you’re not objective enough to know what you need.
Yukio Mishima, Runaway Horses|A sense of wrongness, of fraught unease, as if long nails scraped the surface of the moon, raising the hackles of the soul.
Robert Heller|Never ignore a gut feeling, but never believe that it's enough.
Michael Bassey Johnson|I can see better when i close my eyes; don't make much ado, that's my latest style of view.
Graham Spaid, tireless:|Some people say he engineered his own arrest to gain an insight into modern methods of policing for a thriller he had planned. But you know what happens to artistic rats in prison: they have their rectums stretched, and not by overindulgence in Michelin-star food; they have their columns examined, and not by internet humorists or a qualified medical practitioner. I’m sure Rat knew this, too. Although he likes to accumulate a wide general knowledge, he would rather have a narrow rectum. A colon comes in handy here, before examples: two dots on top of one other, like the cowboys who copulate on Brokeback Mountain, on a slope so far away you need binoculars to see them properly. In prison there are too many insights and examples. Rat would never risk it.
Annie Dillard, The Writing Life|How we spend our days is, of course, how we spend our lives. What we do with this hour, and that one, is what we are doing. A schedule defends from chaos and whim. It is a net for catching days. It is a scaffolding on which a worker can stand and labor with both hands at sections of time. A schedule is a mock-up of reason and order—willed, faked, and so brought into being; it is a peace and a haven set into the wreck of time; it is a lifeboat on which you find yourself, decades later, still living.
Jeff Buckley|There is no good singing, there is only present and absent.
Jodi Picoult, Sing You Home|There are so many things I can't believe. That people deserve what they get, both bad and good. That one day I'll live in a world where people are judged by what they do instead of who they are. That happy endings don't have contingencies and conditions.
Michael Monroe, Afterlife|You’ll find a way. You’ll always find a way. And on the rare occasions when you can’t, you’ll have friends who will.
أحمد عمارة|Thank you," I tell Xander. "I didn't get anything for you -""It's all right," he says, "but maybe - you could -"He looks into my eyes and I know what he wants. A kiss. Even thought he knows about Ky. Xander and I are still connected; this is still good-bye. I know already that that kiss would be sweet. It would be what he would hold on to, as I hold on to Ky's.But that's something I don't think I can give. "Xander -""It's all right," he was, and then he stands up. I do too, and he reaches for me, pulls me close.
Marlo Thomas|I like to write sad songs. They're much easier to write and you get a lot more emotion into them. But people don't want to hear them as much. And radio definitely doesn't; they want that positive, uptempo thing.
Mary Pickford|I have angel wings and a halo on my wrist, which I got done on my 30th birthday in memory of my brother.
Rudolf Steiner|Culture cannot be separated from politics. The arts, philosophy and metaphysics, religion and the sciences, constitute culture. Politics are the science or art of organizing our relationships to allow for the development of life in society.
Sunday Adelaja|The more time you spend with the Lord, the stronger your spirit becomes. This way you get authority not just on earth but also before the Heavens
Pamela Clare, Skin Deep|If I told you your bare ass looks fantastic in the moonlight, would you hold that against me?
Douglas Coupland|If you look at Indian movies, every time they wanted an exotic locale, they would have a dance number in Kashmir. Kashmir was India's fairyland. Indians went there because in a hot country you go to a cold place. People would be entranced by the sight of snow.
Erica Sehyun Song, Thorns in the Shadow|She was not in the body of a young woman but just as I remembered her: a little toddler with a beautiful smile. She reached out with her small hand, and I gripped her tiny fingers as I let go of the pain and sank deeper into the lake.
|The only competition that matters the most in life, is the one between you and your old self.
Kylie Minogue|I'm very romantic, I'm extremely romantic. I date my wife.
Kurt Vonnegut Jr.|The universe is a big place, perhaps the biggest.
Mehmet Murat ildan|Everything will turn into a ruin, even your beliefs will turn into a ruin! There will be no more believers from your belief, there will be only the viewers around your belief, watching this belief of once upon a time, and now just a ruin!
S.G. Holster, Thirty Seconds to Die|Do I make you nervous?" he said teasingly.
Shweta Ganesh Kumar, Between The Headlines|Because we are a globally connected village, we need to remember that our choices are not isolated. They have a powerful ripple effect, and that ripple is global.
Cassandra Clare, Clockwork Princess|I am not going to live, and I can choose to be as much for her as I can be, to burn as brightly for her as I wish, and for a shorter time, than to burden her with someone only half-alive for a longer time. It is my choice, William, and you cannot make it for me.
Lukasz Laniecki, You Have The Right Not To Make Your Parents Proud. A Book Of Quotes|If parents want “success stories” to share at gatherings they should provide themselves with those, and they should not use their children for that purpose.
Laurence Miller|Perfect health, long life and eternal youth are not the random genetic blessings of a chaotic or capricious universe, but natural birthrights that can be accessed through the mindful acceptance of simple truths, activated by the committed practice of proven activities, and sustained by advancement along a single known path. This is that path. --The Ageless Adept
Dillon Burroughs, Thirst No More: A One-Year Devotional Journey|Christ is born, my wise Solomon, my wretched pen-pusher! Don´t go picking things over with a needle! Is He born or isn´t He? Of course He is born, don´t be daft. If you take a magnifying glass and look at your drinking water-an engineer told me this, one day – you´ll see, he said, the water´s full of little worms you couldn´t see with your naked eye. You´ll see the worms and you won´t drink. You won´t drink and you´ll curl up with thirst. Smash your glass, boss, and the little worms´ll vanish and you can drink and be refreshed!
Richard Peck, Ghosts I Have Been|As I pen these words to leave a lasting record, I wonder myself where it all began.
Upton Sinclair, The Jungle|To Jurgis the packers had been the equivalent to fate; Ostrinski showed him that they were the Beef Trust. They were a gigantic combination of capital, which had crushed all opposition, and overthrown the laws of the land, and was preying upon the people. Chapter 29, pg. 376
Erin Kellison, Until Dawn|The page contained a single, unfamiliar symbol. It looked like a backward S with the diagonals of an open triangle cutting through it. A straight line bisected both shapes. Could be creepy. Could be nothing.
Philip K. Dick, Do Androids Dream of Electric Sheep?|There, at her console, he dialed 594: pleased acknowledgement of husband's superior wisdom in all matters
Mark Fisher, Capitalist Realism: Is There No Alternative?|...he refused to consider the Moroccans' present culture, however decadent, an established fact, an existing thing. Instead, he seemed to believe that it was something accidentally left over from bygone centuries, now in a necessary state of transition, that the people needed temporary guidance in order to progress to some better condition.
C.J. Flood, Infinite Sky|Sam was your brother, and Trick was your friend, but what they did had nothing to do with you. You don't have to choose. Just because me and your dad couldn't live together, didn't mean you had to stop loving one of us, did it? Doesn't work like that. Love doesn't work like that.
Charles Baudelaire, My Heart Laid Bare|I never wonder to see men wicked, but I often wonder to see them not ashamed.
Ryūnosuke Akutagawa, The Spider's Thread|He knows nothing about how this will all end, except that it will surely end. He tries to imagine himself into a future, somewhere past this point, but he cannot. There is nothing to do but to keep on existing, in this exact time and place. This is what hell must be like. Waiting without knowing. Not hell, but purgatory. Worse than hell.
Rebecca Katherine Martin|I used to think I was the strangest person in the worldbut then I thought, there are so many people in the world, there must be someone just like me who feels bizarre and flawed in the same ways I doI would imagine her, and imagine that she must be out there thinking of me too.well, I hope that if you are out there you read this and know that yes, it’s true I’m here, and I’m just as strange as you.
Trevor Barton, Red Gods Sing|The pending brahpocalypse/ coup d'état - whatever it was - was much more important than whether a donut-eating Police Officer saw a flying saucer over a gay club or not." - Red Gods Sing.
Kunal  Sen|In those hours when the night is still dark and cold, we see Alokananda waking up to the faint sound of stifled sobs. The sheets besides her are creaseless, sleepless. She gets up silently, her body: blank, a patchwork of frugal impulses. She gathers the warmth of her Pashmina shawl around her, the shawl that she knows still hides threads from a shirt or two of his: remnants of embraces, once feisty and long forgotten.’('Left from Dhakeshwari')
Grégoire Delacourt, La liste de mes envies|Because our needs are our little daily dreams The little things to be done that project us into tomorrow, the day after tomorrow, the future; trivial things that we plan to buy next week, allowing us to think that next week we'll still be alive.
Edmund White|First, I was opposed to gay marriage because it seemed like one more way that gays were wanting to assimilate. When I realized the Christian right was so opposed to it, as well as tyrannical governments in Africa and Russia, I thought, 'It must be a good thing to fight for.'
Billy Graham, Billy Graham in Quotes|I have been asked the question, “Who do you go to for counsel, for spiritual guidance?’ My answer: My wife, Ruth. She is the only one I completely confide in.
Nadia Janice Brown|Fear is a bird that refuses to fly, and each time she neglects to use her wings, she consents to the slow death of her destiny.
Cassandra Clare, City of Fallen Angels|The door buzzer sounded again. The two boys exchanged a single look before both bolting down the narrow hallway to the door. Jordan got there first. He grabbed for the coatrack that stood by the door, ripped the coats off it, and flung the door wide, the rack held aboe his head like a javelin. On the other side of the door was Jace. He blinked. "Is that a coatrack?"Jordan slammed the coatrack down on the ground and sighed. "If you'd been a vampire, this would have been a lot more useful.""Yes," said Jace. "Or, you know, just someone with a lot of coats.
James     Baldwin, Go Tell It on the Mountain|It was not only colored people who praised John, since they could not, John felt, in any case really know; but white people also said it, in fact had said it first and said it still. It was when John was five years old and in the first grade that he was first noticed; and since he was noticed by an eye altogether alien and impersonal, he began to perceive, in wild uneasiness, his individual existence.
Lisa Scottoline, Keep Quiet|Carrie is my child, and I love her with every ounce of strength I possess. If love alone could cure our children, they would always be well.
Debasish Mridha|Everything that happens around and within us is a reflection of our thoughts, imaginations, and actions.
Christopher Hitchens, Hitch-22: A Memoir|About once or twice every month I engage in public debates with those whose pressing need it is to woo and to win the approval of supernatural beings. Very often, when I give my view that there is no supernatural dimension, and certainly not one that is only or especially available to the faithful, and that the natural world is wonderful enough—and even miraculous enough if you insist—I attract pitying looks and anxious questions. How, in that case, I am asked, do I find meaning and purpose in life? How does a mere and gross materialist, with no expectation of a life to come, decide what, if anything, is worth caring about?Depending on my mood, I sometimes but not always refrain from pointing out what a breathtakingly insulting and patronizing question this is. (It is on a par with the equally subtle inquiry: Since you don't believe in our god, what stops you from stealing and lying and raping and killing to your heart's content?) Just as the answer to the latter question is: self-respect and the desire for the respect of others—while in the meantime it is precisely those who think they have divine permission who are truly capable of any atrocity—so the answer to the first question falls into two parts. A life that partakes even a little of friendship, love, irony, humor, parenthood, literature, and music, and the chance to take part in battles for the liberation of others cannot be called 'meaningless' except if the person living it is also an existentialist and elects to call it so. It could be that all existence is a pointless joke, but it is not in fact possible to live one's everyday life as if this were so. Whereas if one sought to define meaninglessness and futility, the idea that a human life should be expended in the guilty, fearful, self-obsessed propitiation of supernatural nonentities… but there, there. Enough.
Chris Damian|... he couldn't, as a respectable master in an English public school, have taken us to a brothel. Yet how I wish he had! His introduction to sexual experience would, I feel sure, have been a masterpiece of tact; it might well have speeded up our development by a good five years.
Dan Alatorre|If you bungle raising children, I don't think whatever else you do matters very much.
Jason Schmidt, A List of Things That Didn't Kill Me|If what you need, in order to feel good about yourself later on, is to show him some mercy - then show him mercy. If you need to tell him the truth, do that. But try to look at in terms of what you're going to be able to live with ten, twenty years down the line.
Martin Jacques|After the Meiji restoration in 1868, Japan adopted an expansionist and colonial attitude towards its neighbours. It sought to identify itself with the West and looked down upon the Asian continent as backward and inferior. For most of the next 70 years, Japan was at war, mainly with its neighbours.
Georges Bataille|I think when we shot 'Tokyo Drift' I was a little too young to really understand what made Han who he is, and then I got older, and you start to make a little bit of money, and you realize that money will never buy you happiness.
Truman Capote, Breakfast at Tiffany's|Perhaps, like most of us in a foreign country, he was incapable of placing people, selecting a frame for their picture, as he would at home; therefore all Americans had to be judged in a pretty equal light, and on this basis his companions appeared to be tolerable examples of local color and national character.
Jack White|Well, I sort of don’t trust anybody who doesn’t like Led Zeppelin.
Christopher Earle|When we repay unkindness with unkindness, we perpetuate the cycle of negativity within which our world is embroiled. We have the right and responsibility to choose differently.
Hermann Hesse, Steppenwolf|All suicides have the responsibility of fighting against the temptation of suicide. Every one of them knows very well in some corner of his soul that suicide, though a way out, is rather a mean and shabby one, and that it is nobler and finer to be conquered by life than to fall by one's own hand.
Rebecca McNutt, Danvers: The Reckoning|…So, um, you’re from Rochester? Like, New York?” Jersey asked.“Yup, we used to live out there,” Rudger confirmed, nonchalant. “You ever been?”“Naw, the closest I’ve ever been to there would be… well, believe it or not, New Jersey, the place where my parents named me after. It was crowded, polluted and full of crime… I loved it.
Rebecca Solnit|What is the message that wild animals bring, the message that seems to say everything and nothing? What is this message that is wordless, that is nothing more or less than the animals themselves- that the world is wild, that life is unpredictable in its goodness and its danger, that the world is larger than your imagination.
Karl Ove Knausgård, Min kamp 2|Then I met Linda and the sun rose.I can't find a better way to express it. The sun rose in my life. At first, as dawn breaking on the horizon, almost as if to say, this is where you have to look. Then came the first rays of sunshine, everything became clearer, lighter, more alive, and I became happier and happier, and then it hung in the sky of my life and shone and shone and shone.
Elizabeth Goudge, The Castle on the Hill|...whatever happens I'll not be afraid again; for, when you've once pushed through the place of torment to the peace beyond, you know that you can do it again. You know there's a strength somewhere that you can call upon. You've confidence.
Barry López, Crossing Open Ground|Imagine a forty-five-year-old male fifty feet long, a slim, shiny black animal cutting the surface of green ocean water at twenty knots. At fifty tons it is the largest carnivore on earth. Imagine a four-hundred-pound heart the size of a chest of drawers driving five gallons of blood at a stroke through its aorta; a meal of forty salmon moving slowly down twelve-hundred feet of intestine…the sperm whale’s brain is larger than the brain of any other creature that ever lived…With skin as sensitive as the inside of your wrist.
Charles Dickens, Bleak House|She [Mrs. Badger] was surrounded in the drawing-room by various objects, indicative of her painting a little, playing the piano a little, playing the guitar a little, playing the harp a little, singing a little, working a little, reading a little, writing poetry a little, and botanizing a little. She was a lady of about fifty, I should think, youthfully dressed, and of a very fine complexion. If I add to the little list of her accomplishments that she rouged a little, I do not mean that there was any harm in it.
John Wyndham, The Day of the Triffids|We all have our youthful follies, embarassing to recall -- but people somehow find it hard to dismiss as a youthful folly anything that has happened to be a financial success.
R.J. Palacio|You don't need your eyes to love, Right?
Victor Milán, The Dinosaur Knights|History judged causes' greatness proportionally by how many individuals ,themselves powerless to affect any outcomes of consequence, suffered and died in their service.
Leo Tolstoy, Anna Karenina|I've always loved you, and when you love someone, you love the whole person, just as he or she is, and not as you would like them to be.
Russell D. Moore|The modern skeptical world has been taught for some 200 years a conception of human nature in which the reality of evil, so well-known to the age of faith, has been discounted. Almost all of us grew up in an environment of such easy optimism that we can scarcely know what is meant, though our ancestors knew it well, by the satanic will. We shall have to recover this forgotten but essential truth ‑ along with so many others that we lost when, thinking we were enlightened and advanced, we were merely shallow and blind.
Brian Celio, Catapult Soul|History, lie of our lives, mire of our loins. Our sins, our souls. Hiss-tih-ree: the tip of the pen taking a trip of three steps (with one glide) down the chronicle to trap a slick, sibilant character. Hiss. (Ss.) Tih. Ree.He was a pig, a plain pig, in the morning, standing five feet ten on one hoof. He was a pig in slacks. He was a pig in school. He was a pig on the dotted line. But in my eyes it’s always the ones signing dotted lines that become pigs.Did this pig have a precursor? He did, indeed he did. In point of fact, dating all the way back to the Biblical Age. Oh where? About everywhere you look there's pigs giving that fancy ol’ snake a chase. Yeah, yeah, yeah, you can always count on a fuckin’ pretentious sarcastican for a fancy prose style.
Faraaz Kazi|In that one moment, I wrapped a thousand others. A lifetime of joy, sorrow, laughter, frowns, smiles, tears... life!
Kahlil Gibran|The deeper that sorrow carves into your being,the more joy you can contain.Is not the cup that holds your wine the very cup that was burned in the potter's oven?And is not the lute that soothes your spirit, the very wood that was hollowed with knives?When you are joyous, look deep into your heart and you shall find it is only that which has given you sorrow that is giving you joy.When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.
Erykah Badu|My father raised me to build computers, hardware. Literally, as an 8 year old, I had a soldering iron and circuit boards, and this was in neighbourhoods that wouldn't have a whole lot of money or anything. And I figured out ways to just hustle.
Mickey Rooney|Above all, this country is our own. Nobody has to get up in the morning and worry what his neighbors think of him. Being a Jew is no problem here.
Jean M. Grant, A Hundred Kisses|She opened her eyes and touched her lips, as though he had just kissed them. She could taste him.
Dan Florence, Zombies Love Pizza|Sure we could replace war with paintball battles. But it would escalate to paint grenades, paint bombs, weapons of mass paint. I don’t want to live in a world where my kids have to worry about what color they will be in the morning.
Akshay Vasu|Every time I stare into those eyes of yours, they shine like a mirror with the sharp edges, piercing trough every bit of my reflection. It makes me feel like a child lost in the woods. And all of a sudden I hear a song somewhere and a shiver runs down my spine. A song that I have heard somewhere before. A song that makes all my demons dance forcefully at once.
John  Adams|Knowledge in the head and virtue in the heart, time devoted to study or business, instead of show and pleasure, are the way to be useful and consequently happy.
Lynn Nottage|The nice thing about anger is that, as an emotion, it's strong enough to unplug me from the comedian's mind for a minute and just be a frustrated member of the citizenry.
Anthony Trollope, Barchester Towers|The cigar has been smoked out, and we are the ashes.
Jettie Necole, The Vault|A giant grin, accompanied by a slight chuckle, had been the grand finale to any of his most successful jokes, while the less impressive resulted in a raise of both his brows, which he followed with a semi-satisfied smirk. The least entertaining attempt at humor would get a shrug and a short grimace that reflected he too understood he’d just bombed. Olivia was acquainted with them all now, considering all the time they’d spent together, the most she’d spent with any other individual inside the vault. Olivia had become accustomed to his infectious humor, though it hadn’t always been so. Especially, when they’d first met.
Samuel R. Delany, The Motion Of Light In Water: Sex And Science Fiction Writing In The East Village|Those moments when we learn that mothers rage and fathers kill, that friends betray and authority is fallible, or that our own blank, innocent ignorance can destroy the pure, the good, and the loved are moments the very memory of which constitutes the beginning of a strategy to live in a world where such horrors exist.
Shawn Michaels|I have a fine level of recognition in the business and among the acting community now, so I consider myself one of the lucky ones. If I didn't think that, there would be something wrong with me. I'm grateful and thankful for what I've got.
Erica Ferencik, The River at Night|The world we know is dwarfed by the worlds we don't. Why not explore them all? Being out there in the wilderness, you have no idea what'll happen, really. It could be just you and this gorgeous night sky, or maybe you are surfing and some big ass wave comes at you, and if you don't ride that sucker, it'll put you under and have you for lunch, or you might turn a corner on a hike and there's some beautiful deer and her little fawn-- now that has meaning, all of those things, and I need more of that and less of trying to make money so I can pay bills to live in a way I just don't care about anymore.
Laurie Faria Stolarz, Deadly Little Games|Humans are suspicious and jealous creatures. When they see something perfect, they want to find a flaw.
Laini Taylor, The Muse of Nightmares|Skathis might have been an artist, but he'd been a vile one. Strange the dreamer was an artist, too, and he was the antidote to vile.
Ban Ki-moon|I support anything that broadens the message of gender equality and tempers the stigma of the feminist label. We run into trouble, though, when we celebrate celebrity feminism while avoiding the actual work of feminism.
Richelle E. Goodrich, Making Wishes|He knew that she took life as it came, opposed her tough-fibered mind to whatever obstacles there might be, fought on with a determination that would not recognize defeat, and kept on fighting even when she saw defeat was inevitable.
Terry Goodkind, Wizard's First Rule|Believing that Sibel was saying these things to me to make me angry, I got angry. But this is not to say that the fury owed nothing to my partial awareness that she was right.
Amanda Lance|What does it matter?" I shrugged. "It's interesting and anything thats interesting is worth learning.
Ann Marie Aguilar|Even in those cities which seem to enjoy the blessings of peace, and where the arts florish, the inhabitants are devoured by envy, cares and anxieties, which are greater plagues than any expirienced in a town when it is under siege.
Nikki Rowe|Were all trying to find meaning to make sense of our realities; in search of happiness within, Without realising our happiness within; is the only reality that gives life a meaning.
Isaac Asimov|Humanity has the stars in its future, and that future is too important to be lost under the burden of juvenile folly and ignorant superstition.
Terry Eagleton, Literary Theory: An Introduction|If this constant sliding and hiding of meaning were true of conscious life, then we would of course never be able to speak coherently at all. If the whole of language were present to me when I spoke, then I would not be able to articulate anything at all. The ego, or consciousness, can therefore only work by repressing this turbulent activity, provisionally nailing down words on to meanings. Every now and then a word from the unconscious which I do not want insinuates itself into my discourse, and this is the famous Freudian slip of the tongue or parapraxis. But for Lacan all our discourse is in a sense a slip of the tongue: if the process of language is as slippery and ambiguous as he suggests, we can never mean precisely what we say and never say precisely what we mean. Meaning is always in some sense an approximation, a near-miss, a part-failure, mixing non-sense and non-communication into sense and dialogue.
Scott Hammerle, Lessons from the Castle: My Journey From Prince Charming to Executive Level Leader and How You Can Find The Legendary Leader Within|The formula for successful leadership has changed little, if at all over the centuries. It isn’t leadership that changes over time, rather where the leaders need to take their people that changes.
Sara Daniell, Visions|GET IN" he says, getting in on the driver side. I get in with no questions. Okay. This is a bad movie waiting to happen-I'm getting in a car with a guy I just met today who is keeping secrets from me. What the hell is wrong with me? I'm too scared to speak or ask or run away, though. So I just get in and put on my seat belt. I am so stupid.
Jaden Wilkes, The Beast|I'll be ready when you are, esclave. A life for a life. A tale for a tale.
David Byrne, Bicycle Diaries|Yet it wasn’t the Mississippi River that captured Jim Bridger’s imagination : it was the Missouri. A mere six likes from his ferry the two great rivers joined as one, the wild waters of the frontier pouring into the bromide current of the everyday. It was the confluence of old and new, known and unknown, civilization and wilderness. Bridger lived for the rare moments when the fur traders and voyageurs tied their sleek Mackinaws at the ferry landing, sometimes even camping for the night. He marveled at their tales of savage Indians, teeming game, forever plains, and soaring mountains.The frontier for Bridger became an aching presence that he could feel, but could not define, a magnetic force pulling him inexorably toward something that he had heard about, but never seen. A preacher on a swaybacked mule rode Bridger’s ferry one day. He asked Bridger if he knew God’s mission for him in life. Without pause Bridger answered, “Go to the Rockies”. The preacher was elated, urging the boy to consider missionary work with the savages. Bridger had no interest in bringing Jesus to the Indians, but the conversation stuck with him. The boy came to believe that going west was more than just a fancy for someplace new. He came to see it as a part of his soul, a missing piece that could only be made whole on some far-off mountain or plain.
Michael Bassey Johnson|Peace, Love, and Happiness, are the priceless treasures of life.
Rachel Van Dyken, Toxic|He's opening a door, but he already knows I won't walk through. The power of Bodee is in the way he reads me, sees through me, and then understands the truth behind the facade. He's the guy who can walk straight through the House of Mirrors on the first try. It's almost annoying. No one should ride tragedy like a pro surfer while I drown.
William T. Vollmann|Rising up, rising down! History shambles on! What are we left with? A few half-shattered Greek stelae; Trotsky's eyeglasses; Gandhi's native-spun cloth, Cortes' pieces of solid gold (extorted from their original owner, Montezuma); a little heap of orange peels left on the table by the late Robespierre; John Brown's lengthily underlined letters; Lenin's bottles of invisible ink; one of Di Giovanni's suitcases, with an iron cylinder of gelignite and two glass tubes of acid inside; the Constitution of the Ku Klux Klan; a bruised ear (Napoleon pinched it with loving condescension)... And dead bodies, of course. (They sing about John Brown's body.) Memoirs, manifestoes, civil codes, trial proceedings, photographs, statues, weapons now aestheticized by that selfsame history - the sword of Frederick the Great, and God knows what else. Then dust blows out of fresh graves, and the orange peels go grey, sink, wither, rot away. Sooner or later, every murder becomes quaint. Charlemagne hanged four and a half thousand "rebels" in a single day, but he has achieved a storybook benevolence. And that's only natural: historiography begins after the orange has been sucked,; the peeler believes in the "great and beautiful things," or wants to believe; easy for us to believe likewise, since dust reduced truth and counterfeit to the same greyness - caveat emptor. But ends remain fresh, and means remain inexplicable. Rising up and rising down! And whom shall I save, and who is my enemy, and who is my neighbor?
Peggy Toney Horton, Somewhere in Heaven My Mother Is Smiling|Ah, how quickly the hands on the clock circle toward the future we thought was far away! And how soon we become our mothers.
Peter Mayle, A Year in Provence|My favorite of all was still the place on Vermont, the French cafe, La Lyonnaise, that had given me the best onion soup on that night with George and my father. The two owners hailed from France, from Lyon, before the city had boomed into a culinary sibling of Paris. Inside, it had only a few tables, and the waiters served everything out of order, and it had a B rating in the window, and they usually sat me right by the swinging kitchen door, but I didn't care about any of it.There, I ordered chicken Dijon, or beef Bourguignon, or a simple green salad, or a pate sandwich, and when it came to the table, I melted into whatever arrived. I lavished in a forkful of spinach gratin on the side, at how delighted the chef had clearly been over the balance of spinach and cheese, like she was conducting a meeting of spinach and cheese, like a matchmaker who knew they would shortly fall in love. Sure, there were small distractions and preoccupations in it all, but I could find the food in there, the food was the center, and the person making the food was so connected with the food that I could really, for once, enjoy it.
Yasmine El Rashidi|When you have a dream and someone makes promises they keep breaking, it is hard to recover. You lose hope.
J.K. Rowling, Harry Potter and the Order of the Phoenix|...but it's not so much having to repair the damage, it's more the attitude behind the vandalism, Harry. Muggle-baiting might strike some wizards as funny, but it's an expression of something much deeper and nastier...
Mara Altman, Sparkle|Congratulations is a societal burp that follows a positive act. When you graduate AA, you get a congratulations. When you throw back three bottles of whiskey in one night, you do not. For a species that is interested in furthering its kind, no one will congratulate you for succeeding in one more day of spinsterhood. If you follow the Congratulation Super Highway, you will get engaged, married and then have children. Getting a congratulations has never been so easy. Just have some unprotected sex.
J.D. Salinger, Franny and Zooey|And what if you weren’t a jinni? What if you were free from their rules?”I stare at him. His jaw tightens, his eyes steely with determination that frightens me to my core. A cloud drifts across the face of the crescent moon, and the courtyard darkens. Here and there, the grass is still bent where Aladdin and I danced just hours earlier. I drop my gaze and glare at it, shaking from head to toe.“Don’t say it, Aladdin. Don’t you even think it.” Dread rises in me like a storm cloud, dark and menacing.Aladdin moves closer. He takes my hands. His skin is warm and crackling with energy, setting me on fire.“I have one wish left,” he murmurs. “And this one is for you.”“No, Aladdin! Don’t speak it. Don’t make the Forbidden Wish. The cost—”“Damn the cost. Zahra, I wish—”I stop him with a kiss.Because it is the first thing I think of to stop the terrible words. Because he fills me with light and hope and deep, deep fear. Because I have been longing to for days.
Marlo Thomas|As governor, when I visited our troops in Kuwait and Iraq, I served them Thanksgiving dinner. It was a small gesture compared to their sacrifice.
Shirl Solomon, Knowing Your Child Through His Handwriting and Drawings|The child is father of the man….attributed to Sigmund Freud, but believed to have been coined by a well-known poet years before Freud's time
John Frusciante|I am musical and I enjoy theatre, but I never wanted to just do theatre. I always wanted to go into film. I love film. I loved growing up in the theatre, but I always wanted to do film all along. But, I still pursue music separately.
Dianna Hardy, The Spell of Summer|...today, I’m writing about the extraordinary; those ‘moments’ in life that reach us, and change us. Those moments take place all the time, really – it’s just that we’re taught not to notice. We’re taught that whims are for the foolish; that instinct and passion are more akin to fairy tales than reality; that they won’t get us very far, and everyone would laugh at us if they knew what we really held close to our hearts.It’s a lie we allow ourselves, and it’s understandable.But it’s simply not true.
Milan Ljubincic|Love is what happens when we forgive. I forgive Connor Evans. A part of me will always love him, but from this day on I won't hate him. Not for one minute. I forgive him because he gave me Max.
Lao Tzu, Tao Te Ching|The Tao that can be told is not the eternal Tao. The name that can be named is not the eternal name. The nameless is the beginning of heaven and earth. The named is the mother of ten thousand things. Ever desireless, one can see the mystery. Ever desiring, one can see the manifestations. These two spring from the same source but differ in name; this appears as darkness. Darkness within darkness. The gate to all mystery.
Kaye George, Smoke|Imogene Duckworthy did not like pigs. She was fairly fond of cattle, having grown up surrounded by them. She hadn't been around pigs much. In fact, this was the first time she'd ever driven toward a pig farm.
Samuel Asumadu-Sarkodie|The best Gift a man can get from God is a noble wife, trust me, everything is possible!
Andrew Holleran, Dancer from the Dance|We lived only to dance. What was the true characteristic of a queen, I wondered later on; and you could argue that forever. “What do we all have in common in this group?” I once asked a friend seriously, when it occurred to me how slender, how immaterial, how ephemeral the bond was that joined us; and he responded, “We all have lips.” Perhaps that is what we all had in common: no one was allowed to be serious, except about the importance of music, the glory of faces seen in the crowd. We had our songs, we had our faces! We had our web belts and painter’s jeans, our dyed tank tops and haircuts, the plaid shirts, bomber jackets, jungle fatigues, the all-important shoes.
Caleb Carr|When a man is wrong and won't admit it, he always gets angry.
C.S. Lewis|The task of the modern educator is not to cut down jungles, but to irrigate deserts.
Oscar Wilde, The Star-Child and Other Tales|I really don't think it's a case of not caring at all about animals. Instead, I think it's a case of caring so much about one's own self that everything else becomes immaterial.
Valentino Braitenberg, Vehicles: Experiments in Synthetic Psychology|Think big: Universe is a village, a small place! When you think big, all will get smaller!
Lysa TerKeurst|Good units walk a thin line between indiscipline and ineffectiveness. Ignore the rules too often and you’ve got a mob, but enforce the rules too strictly and you’ve got a herd.
Neil Gaiman, The Wake|Nobody died. how can you kill an idea? How can you kill the personification of an action?""Then what died? who are you mourning?""A point of view.
George Carlin, Brain Droppings|It turned out I was pretty good in science. But again, because of the small budget, in science class we couldn't afford to do experiments in order to prove theories. We just believed everything. Actually, I think that class was called Religion. Religion class was always an easy class. All you had to do was suspend the logic and reasoning you were being taught in all the other classes.
John Green, The Fault in Our Stars|The pleasure of remembering had been taken from me, because there was no longer anyone to remember with. It felt like losing your co-rememberer meant losing the memory itself, as if the things we'd done were less real and important than they had been hours before.
Charles Frazier, Cold Mountain|… she claimed it’s a sign of God’s mercy that He won’t let us remember the reddest details of pain. He knows the parts we can’t bear and won’t let our minds render them again. In time, from disuse, they pale away. At least such was her thinking. God lays the unbearable on you and then takes some back.
Cheryl Matthynssens, The Blackguard|If you’re going to be killed you invent some kind of flag and country to fight for, and if you survive you get to love the thing
Girdhar Joshi, Some Mistakes Have No Pardon|When we die, we go into the arms of those who remember us.
Masi Oka|The Web is actually a coming together of three technologies, if you like: the hypertext, the personal computer, and the network. So, the network we had, and the personal computers were there, but people didn't use them, because they didn't know what to use them for, except maybe for a few games.
