Jorge Luis Borges|Nothing is built on stone; All is built on sand, but we must build as if the sand were stone.
David        Cook, Heart of Oak|The defenders retreated, but in good order. A musket flamed and a ball shattered a marine’s collar bone, spinning him around. The soldiers screamed terrible battle-cries as they began their grim job of clearing the defenders off the parapet with quick professional close-quarter work. Gamble trod on a fallen ramrod and his boots crunched on burnt wadding. The French reached steps and began descending into the bastion.'Bayonets!' Powell bellowed. 'I want bayonets!''Charge the bastards!' Gamble screamed, blinking another man's blood from his eyes. There was no drum to beat the order, but the marines and seamen surged forward.'Tirez!' The French had been waiting, and their muskets jerked a handful of attackers backwards. Their officer, dressed in a patched brown coat, was horrified to see the savage looking men advance unperturbed by the musketry. His men were mostly conscripts and they had fired too high. Now they had only steel bayonets with which to defend themselves.'Get in close, boys!' Powell ordered. 'A Shawnee Indian named Blue Jacket once told me that a naked woman stirs a man's blood, but a naked blade stirs his soul. So go in with the steel. Lunge! Recover! Stance!''Charge!' Gamble turned the order into a long, guttural yell of defiance.Those redcoats and seamen, with loaded weapons discharged them at the press of the defenders, and a man in the front rank went down with a dark hole in his forehead. Gamble saw the officer aim a pistol at him. A wounded Frenchman, half-crawling, tried to stab with his sabre-briquet, but Gamble kicked him in the head. He dashed forward, sword held low. The officer pulled the trigger, the weapon tugged the man's arm to his right, and the ball buzzed past Gamble's mangled ear as he jumped down into the gap made by the marines charge. A French corporal wearing a straw hat drove his bayonet at Gamble's belly, but he dodged to one side and rammed his bar-hilt into the man's dark eyes. 'Lunge! Recover! Stance!
Fyodor Dostoyevsky, The Brothers Karamazov|Some call it growing up. I call it life, and in my experience, it doesn't necessarily get easier over the years. But the eternal struggle is beautiful, and I'm happy to persevere.
Noam Shpancer, The Good Psychologist|I've been so thoroughly incorporated into the California culture that I practice meditation and go to a therapist, even though I always set a trap: during my meditation I invent stories to keep from being bored, and in therapy I invent stories to keep from boring the psychologist.
Mary Pickford|Everyday ask yourself the question  "Do I want to experience Peace of Mind or do I want to experience Conflict ?"
Kim Gruenenfelder, A Total Waste of Makeup|I'm tired of waiting by the phone, and second-guessing what a guy says and trusting someone not to hurt me. Again. I've been storming the relationship castle for fifteen years, and I still don't have my prince. I've got a bunch of battle scars from the field and I want to go home and nurse my wounds. I don't want to fight anymore.
Guy de Maupassant, Complete Works|...A strange art – music – the most poetic and precise of all the arts, vague as a dream and precise as algebra.
Scott Bakula|Christmas is, for those who wish to follow the way of Jesus, an invitation to accept into our comfortable and safe lives those who come to us from far away, who seem ragged, marginal, in transition.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|You receive the gift of time freely and equally every day, beautifully wrapped in twenty-four new hours to invest in whatever you want, and how you use each hour decides your success or the lack of it
Asghar Farhadi|If you play the same club every week of every month, it's kind of boring. It's great that you can play one night in Brazil and one night in Japan, one night in Europe, and see the world. It's amazing what you see if you travel around the world.
Don Herold|We are, in the comics, the last frontier of good, wholesome family humor and entertainment.
Kamand Kojouri|Does God knowthe number of kissesbefore we fall in love?Yesterday, I was nobodyand I believed myself important.Today,I feel my worth in you.You, with your emerald eyes and ebony hair,even your heartbeat is beautiful.You, who is my greatest joy,all other concerns vanish in your presence.You swallow timeand consume space,inspiring all my passionwith a single embrace.I love your existence.
Michele Woolley, God's Favor - Breath Of Heaven|Comparing yourself to others does nothing for you. Society has conditioned us to value people who fit a secular mold of perfection".
Israelmore Ayivor, Daily Drive 365|The first person you have to conquer is you. This is because when at last you win over million people, the first person to bring you down could be you. Discipline yourself!
Udayveer Singh|Try to leave an Impression on someone’s Heart, rather than a Paper.
Lailah Gifty Akita|If the saints fails to declare the truth, the Holy Spirit shall teach true words of God.
John Geddes, A Familiar Rain|...true love is an irrevocable act - you can only give your heart away once - after that, you give as much as you have left ...
Abel Meeropol|As I begin to recognise that the Negro is the symbol of sin, I catch myself hating the Negro. But then I recognise that I am a Negro. There are two ways out of this conflict. Either I ask others to pay no attention to my skin, or else I want them to be aware of it. I try then to find value for what is bad--since I have unthinkingly conceded that the black man is the colour of evil. In order to terminate this neurotic situation, in which I am compelled to choose an unhealthy, conflictual solution, fed on fantasies, hostile, inhuman in short, I have only one solution: to rise above this absurd drama that others have staged around me, to reject the two terms that are equally unacceptable, and through one human being, to reach out for the universal. When the Negro dives--in other words, goes under--something remarkable occurs.
Adam Fletcher, Meaningful Student Involvement Guide to Students as Partners|Everyday more educators are showing that they value students by involving them in meaningful ways in school. These teachers and administrators say that it is not about ‘making students happy’ or allowing students to run the school. Their experience shows that when educators partner with students to improve learning, teaching and leadership in schools, school change is positive and effective.
Mark Twain|We have not the reverent feeling for the rainbow that the savage has, because we know how it is made. We have lost as much as we gained by prying into that matter.
Michael Specter|I love Italian food; it's soulful like French food. Italian food is original and homey; it's market-driven, but also can be locally sourced.
Griet Op de Beeck, Vele hemels boven de zevende|Leef hard en goed en schoon en wild. Kijk goed, voel beter. Wees niet bang. Kies voor wat u blij maakt, wat het ook moge zijn. Durf proberen wat te lastig lijkt. Leg de lat hoog genoeg. Koester en laat u koesteren. Geef anderen wat ze verdienen, en uzelf minstens ook. Blijf hopen, willen, dromen, wensen.
Swami Dhyan Giten, Presence - Working from Within. The Psychology of Being|The greatest teacher in healing is nature itself. To be out in the nature is like being surrounded and embraced by love. Trees are also very beautiful people, who have their own innate wisdom and who are already in oneness with Existence. And the sky whispers its silent message that, beyond everything, there is only one sky. A female meditator describes it like there is a basic meditative quality in nature. She says: "There is nothing in nature that questions each others existence like people do. Everything is allowed to exist and everything is allowed to be exactly as it is – and seasons come and go. It is not strange that people love to be out in nature and experiences that they come in harmony with themselves, because, in nature, there is nothing that tries to change them. There is a quality in the air, which can be called a meditative quality".
Mike Alsford, Heroes and Villains|The hero, it might be said, is called into being when perception of a need an the recognition of responsibility toward it are backed up by the will to act.
Thomas Hardy, Tess of the D'Urbervilles|Meanwhile, the trees were just as green as before; the birds sang and the sun shone as clearly now as ever. The familiar surroundings had not darkened because of her grief, nor sickened because of her pain.She might have seen that what had bowed her head so profoundly -the thought of the world's concern at her situation- was found on an illusion. She was not an existence, an experience, a passion, a structure of sensations, to anybody but herself.
Shannon L. Alder|If life didn’t give you at least one person not wanting you to succeed then half of us would lose are motivation to climb that cliff, in order to prove them wrong.
Debasish Mridha|To find true freedom, relinquish all of your attachments.
litymunshi|genuinely ,there is no differences between job and love . in boh cases ,you have to be up to date ,upgraded, continue ,smart,presentable and best performers.
Look Im A Cat|I know I could be Anything,But i rather Be Myself.
Charlotte Brontë|Atheists are not the enemy; the real enemy knows Jesus Christ. Satan and all false prophets know very well that Jesus came from heaven, but still reject him. Matthew 10:36
Henryk Sienkiewicz, In Desert and Wilderness|Tell me,' asked Stas, 'what is a wicked deed?' 'If anyone takes away Kali's cow,' he answered after a brief reflection, 'that then is a wicked deed.' 'Excellent!' exclaimed Stas, 'and what is a good one?' This time the answer came without any reflection: 'If Kali takes away the cow of somebody else, that is a good deed.' Stas was too young to perceive that similar views of evil and good deeds were enunciated in Europe not only by politicians but by whole nations.
Gary Locke|China has to go along with world trends. That's democracy, liberty, individual freedom. China sooner or later has to go that way. It cannot go backward.
Marilyn Hilton, Full Cicada Moon|Our dreams are a serious matter. When you take them seriously, everyone else does too.
Alistair Cross, Beautiful Monster|I found a brief piece of by Antonio Vivaldi around this time which became my ‘Pinhead Mood Music’. Called Al Santo Sepolcro (At The Holy Sepulchre), it opens more like a piece of modern orchestral music, and although it it moves toward Vivaldi’s familiar harmonies, there is always the threat that it will fall back into dissonance. The piece progresses in an exquisite agony, poised on a knife edge between beauty and disfigurement, joy and sorrow, pleasure and pain. Perfect.
Saunders Lewis, Blodeuwedd|Endless love and voluptuous appetite pervaded this stifling nave in which settled the ardent sap of the tropics. Renée was wrapped in the powerful bridals of the earth that gave birth to these dark growths, these colossal stamina; and the acrid birth-throes of this hotbed, of this forest growth, of this mass of vegetation aglow with the entrails that nourished it, surrounded her with disturbing odours. At her feet was the steaming tank, its tepid water thickened by the sap from the floating roots, enveloping her shoulders with a mantle of heavy vapours, forming a mist that warmed her skin like the touch of a hand moist with desire. Overhead she could smell the palm trees, whose tall leaves shook down their aroma. And more than the stifling heat, more than the brilliant light, more than the great dazzling flowers, like faces laughing or grimacing between the leaves, it was the odours that overwhelmed her. An indescribable perfume, potent, exciting, composed of a thousand different perfumes, hung about her; human exudation, the breath of women, the scent of hair; and breezes sweet and swooningly faint were blended with breezes coarse and pestilential, laden with poison. But amid this strange music of odours, the dominant melody that constantly returned, stifling the sweetness of the vanilla and the orchids' pungency, was the penetrating, sensual smell of flesh, the smell of lovemaking escaping in the early morning from the bedroom of newlyweds.
Felix Wantang, God's Blueprint of the Holy Bible|As much as salvation is a free gift, the truth is that keeping salvation comes with a price; you must live by God's law through Jesus Christ.
Phil Mitchell, A Bright New Morning: An American Story|One thing is for sure, we can’t be powerful and pitiful at the same time.
Jerry Saltz|Occasionally, a re-enactment is a fine thing. I love Civil War re-enactments.
Mindy McGinnis, Given to the Sea|My arrival saved the kingdom, while his only reiterated that his blood would fill the throne one day.
David Sikhosana|Overthinking, also, best known as creating problems that are never there
Simone Elkeles, Perfect Chemistry|I realise it’s going to happen. This girl of my dreams, this girl who is more like me than anyone I’ve ever met, wants to kiss me.
Eliezer Yudkowsky, Harry Potter and the Methods of Rationality|For an instant Harry imagined... Just for an instant, before his imagination blew a fuse and called an emergency shut down and told him never to imagine that again.
George Wald|I have to bring to your notice a terrifying reality: with the development of nuclear weapons Man has acquired, for the first time in history, the technical means to destroy the whole of civilization in a single act.
Tyler Knight, Burn My Shadow: A Selective Memory of an X-Rated Life|What must it be like for a woman to live with power over men rivaled only by God for the first third of her life, build her identity over her looks, only to feel it slip away as time tumbles by? Feel the shift in how people treat her, as though getting old is a contagious affliction?
Don Campbell|Music is a holy place, a cathedral so majestic that we can sense the magnificence of the universe.
Hope Bradford, Oracle of Compassion: The Living Word of Kuan Yin|Kuan Yin Speaks on The Law of the Spiritualization (Transformation) of Matter: “The earth is trying to teach humans that everything is spirit…Being human is an opportunity to bring spirit into all that is material…The quality and intensity of resonance emanated from a given point is thus attracted back. When one brings spirit into the human realm, it can spiritualize matter. Matter can then become lighter, (indeed liberated), not as dense as before.”-Kuan Yin
Anthony Hopkins|If you were to offer a thirsty man all wisdom, you would not please him more than if you gave him a drink.
sahil singh|It's not the game, Zee. It's the fame. Everyone wants to be affiliated with a winner.
C.J. Cherryh, Fortress of Dragons|It lent a Man a certain peace of mind... to ride through threats and terrors unhearing: it even lent a man a certain real protection, for he could not hear temptation and bad advice to be swayed by it, but it was no protection at all when power reached out with tangible results and brought down the lightning.
W.H. Davies, The Collected Poems of William H. Davies|What is this life if, full of care, We have no time to stand and stare.No time to stand beneath the boughsAnd stare as long as sheep or cows...
Don Rickles|I loved rock and roll when that came in, Bill Haley, Little Richard, Fats Domino, Buddy Holly, Elvis Presley, all those great records. So I begged my mom and dad for a guitar, which eventually they did get me for Christmas, but it went out of tune very quickly, and it hurt my fingers.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|Regardless of your gender, age, race, disability, colour, ethnic or national origin, how you use time each day decides who you become.
Stan Slap|Your values are your essence: an undistorted mirror showing you at your pure, attractive best.
Cesar Nascimento|Education levels are highly and negatively correlated to religious belief. In other words, ignorance is bliss.
Connor Franta, A Work in Progress|Kids will take shots of white strong liquor, they will smoke weed wrapped in thick blunts, they will even take Ecstasy or prescription pain pills, but they will not casually pull out an eight-ball of coke and push it across the table at a house party. Why? Because the specter of the cousin or the uncle or aunt or the mother or father who couldn't stop partying, whose teeth are burned brown from the pipe, sits next to them at the table. Young people who do coke lie about it, attempt to hide it, and often fight it.
Heather Day Gilbert, Trial by Twelve|That same moment he ordered the hateful portrait taken out. But that did not calm his inner agitation: all his feelings and all his being were shaken to their depths, and he came to know that terrible torment which, by way of a striking exception, sometimes occurs in nature, when a weak talent strains to show itself on too grand a scale and fails; that torment which gives birth to great things in a youth, but, in passing beyond the border of dream, turns into a fruitless yearning; that dreadful torment which makes a man capable of terrible evildoing.
William Golding, The Spire|I tell you, money can't build your spire for you. Build it of gold and it would simply sink deeper.
Virginia Woolf, Mrs. Dalloway|Fear no more," said Clarissa. Fear no more the heat o' the sun; for the shock of Lady Bruton asking Richard to lunch without her made the moment in which she had stood shiver, as a plant on the river-bed feels the shock of a passing oar and shivers: so she rocked: so she shivered.Millicent Bruton, whose lunch parties were said to be extraordinarily amusing, had not asked her. No vulgar jealousy could separate her from Richard. But she feared time itself, and read on Lady Bruton's face, as if it had been a dial cut in impassive stone, the dwindling of life; how year by year her share was sliced; how little the margin that remained was capable any longer of stretching, of absorbing, as in the youthful years, the colours, salts, tones of existence, so that she filled the room she entered, and felt often as she stood hesitating one moment on the threshold of her drawing-room, an exquisite suspense, such as might stay a diver before plunging while the sea darkens and brightens beneath him, and the waves which threaten to break, but only gently split their surface, roll and conceal and encrust as they just turn over the weeds with pearl.
Henry Cloud, Integrity: The Courage to Meet the Demands of Reality|When a person travels through a few years with an organization, or with a partnership, or any other kind of working association, he leaves a 'wake' behind in these two areas, task and relationship: what did he accomplish and how did he deal with people?
Philippe Claudel, Brodeck|As an artist you look into yourself to understand the human potential to be all kinds of things that are not necessarily pleasant but are real - a criminal, a murderer, a sadist, a rapist; to be all of these things that many people are. You can't allow yourself to say, 'I'm a different species from those people.' Because you aren't.The criminal as monster is kind of common. That's very convenient because you can then say, 'Of course I'm not a monster, therefore I'm not a criminal therefore I have no potential in tern of criminality.' And that lets you off the hook. That gives you a nice wall between yourself and them.
Kathy Harris, The Road to Mercy|Until we make the unconscious conscious, we will be dictated by it and call it fate.
Hope Bradford, Oracle of Compassion: The Living Word of Kuan Yin|To live in the realm of Buddha nature means to die as a small being, moment after moment.
Suman Pokhrel|Thank God,my name isn’t in the list of thosewho died or werekilled yesterday!
Billy Graham, Billy Graham in Quotes|If Christians realized that God Himself in the person of the Holy Spirit really dwells within our bodies, we would be far more careful about what we eat, drink, look at, or read. No wonder Paul said, “I beat my body and make it my slave” [1 Corinthians 9:27 NIV]. This should drive us to our knees in confession.
Karla M. Nashar, Bellamore: A Beautiful Love To Remember|I won't cry because it came to an end, but I will smile because it happened
Elizabeth Gilbert, Eat, Pray, Love|His heat warmed her, even as her insides turned to ice.
Guy Kawasaki|Mixed messages are just part and parcel of the romantic terrain, and rather than berate yourself for any crossed wires, you'd do better to work on your future resilience.
Colleen Hoover, November 9|You left with my soul in your fists and my heart in your teeth, and I don’t want either of them back.” ~Ben
Charbel Tadros|A leader, without wisdom, is dangerous. A wise person, without leadership, is useless. But if they work together, they are unstoppable.
Hampton Sides, Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission|Maxim 28: If the price of collateral damage is high enough, you might be able to get paid for bringing ammunition home with you.-The Seventy Maxims of Maximally Effective Mercenaries
Anthony T. Hincks|When we are born,It is into a strange world.And when we live life,We find that we are all strangers.Yet when we die,We find that we were all friends who never knew it.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Each time a person passes by you and you say 'hello', imagine that person turning into a candle. The more positivity, love and light you reflect, the more light is mirrored your way. Sharing beautiful hellos is the quickest way to earn spiritual brownie points. You should start seeing hellos as small declarations of faith. Every time you say hello to a stranger, your heart acknowledges over and over again that we are all family.
Martin Manley|I never bought into the whole “second amendment” argument as it relates to the 21st century. Originally, it was put into place for the simple reason that our forefathers were fighting or had just fought off a government that threatened them with weapons. If those in the revolution had no weapons, there would be no United States of America, but rather New England of the New World. So, I understood why they thought it was so important.
Jackson Burnett, The Past Never Ends|A thousand years from now nobody is going to know that you or I ever lived. The cynic is right, but lazy. He says ‘You live, you die and nothing you do will ever make a difference.’ But as long as I live, I’m going to be like Beethoven and shake my fist at fate and try to do something for those who live here now and who knows how far into the future that will go. If I accomplish nothing more than making my arm sore, at least I will be satisfied that I have lived.
Cyril Connolly|We are taught to consume. And that's what we do. But if we realized that there really is no reason to consume, that it's just a mind set, that it's just an addiction, then we wouldn't be out there stepping on people's hands climbing the corporate ladder of success.
Emmoduro|The critical spirit rises up against itself and consumes its form. But instead of coming out of this process greater and purified, it devours itself in a kind of self-cannibalism and takes a morose pleasure in annihilating itself. Hyper-criticism eventuates in self-hatred, leaving behind it only ruins. A new dogma of demolition is born out of the rejection of dogmas. Thus we euro-americans are supposed to have only one obligation: endlessly atoning for what we have inflicted on other parts of humanity. How can we fail to see that this leads us to live off self-denunciation while taking a strange pride in being the worst? Self-denigration is all too clearly a form of indirect self-glorification. Evil can come only from us; other people are motivated by sympathy, good will, candor. This is the paternalism of the guilty conscience: seeing ourselves as the kings of infamy is still a way of staying on the crest of history.
J.J. Snow, Gunship|She started life with a number, not a name. Class: S, No. 13295. She has them memorized by rote, though nobody ever calls her that. The Scientists feel foolish addressing her in long, bewildering strings of alphanumerics. They have told her so themselves. To save time, they simply call her “Snow.
Joe Abercrombie, Half the World|It was a look that gave her a tingle, all right, but not in a good way. In that look she saw her silly bloody hopes as twisted and broken as she’d left that Lowlander’s arm, and it was no one’s fault but her own. She shouldn’t have let herself hope, but hopes are like weeds: however often you root them out they keep on springing up.
Chrissy Teigen|In fact, in many ways my mother was quite hippy-dippy, serving macrobiotic food and reading 'Zen and the Art of Motorcycle Maintenance.'
Marina Picasso|[Picasso] loved...women for the sexual, carnivorous impulses they aroused in him. Mixing blood and sperm, he exalted women in his paintings, imposed his violence on them, and sentenced them to death once he felt their mystery had been discharged and the sexual power they instilled in him had dulled... Women were his prey. He was the Minotaur. These were bloody, indecent bullfights from which he always emerged the dazzling victor.
C.G. Jung|Meditation brings Nirvana, and Nirvana brings Buddhahood.
Fernando Pessoa|Angel dust blown a sunder,Nestling on the edge of unchartered dreams,Filtering the dileneation between ones desires & needs.
Billy Graham, Billy Graham in Quotes|Being a Christian does not exempt us from tough training, which may mean suffering. If the training were easy, we would not be prepared for the tough days ahead.
Patricia Cori, The Emissary|Unbeknownst to most of its dormant and otherwise distracted inhabitants, one beautiful tiny blue sphere, spinning through the dark cloak of galactic space, was clearly under siege.
Niccolo Machiavelli|Fire is the test of gold; adversity, of strong men.
Dean C. Barnlund|It is commonplace to talk as if the world "has" meaning, to ask what "is" the meaning of a phrase, a gesture, a painting, a contract. Yet when thought about, it is clear that events are devoid of meaning until someone assigns it to them.
Pope Paul VI|If the whole world went vegan, there would be less war. How you eat determines your mood and your outlook on life.
Jeanne Safer, The Golden Condom: And Other Essays on Love Lost and Found|I said it grieved me to part from anything that mattered to me, yet I welcomed the grief because it meant I had felt deeply and needed to express it. 'I even had trouble leaving the Parthenon,' I told him ... 'because it was so beautiful and I knew I'd never see it again.
Aldous Huxley, Island|When he craved contact, he stopped in to visit the Cézannes and Monets at the Musée du Luxembourg, believing they had already done what he was striving for—distilling places and people and objects to their essential qualities.
Bob Ainsworth|You have to see if the batsman is coming out, if he is staying back, what his grip is like, to gauge his intentions. A common trend I have observed is, a lot of batsmen change their grips when they are looking to hit: normally they either go high or slide their hand to the bottom of the handle to get maximum power.
kevin mcpherson eckhoff|The notion of "cause and effect" is sometimes useful in real life, and it can even be interesting in art, but I'm more interested in "cause and cause" or "effect and effect" or "and and and".
Thomas Pynchon, Slow Learner: Early Stories|It is simply wrong to begin with a theme, symbol or other abstract unifying agent, and then try to force characters and events to conform to it.
Maryam Abdullah Alnaymi|Why shall we talk?To follow the logical method in handling the problems and the other family members’ points of views, with quitting the pressure style, verbal violence, and actual violence towards family members.
Daniel Roy Baron, Looking Glass Shattered: Cubicle Commando to Constitutional Conservative Leader|I would rather have 10,000 stories than 10,000 in my bank account @myhumancompass Roy ('Backpack') Baron author of Looking Glass Shattered.
Charlotte Eriksson, Empty Roads & Broken Bottles; in search for The Great Perhaps|So for now,I will miss you like I’ll never see you again,And the next time I see you,I will kiss you like I’ll never kiss you again,And when I fall asleep beside you I will fall asleep as if I’ll never wake up again,because I don’t know if I will.I don’t know if I will.- I Will Love You Like The World Is Ending
Mark Walden, H.I.V.E. Higher Institute of Villainous Education|But you can’t put fight into a man’s guts if hehasn’t any fight in him. There are some of us so cowardly that youcan’t ever make heroes of us, not even if you frighten us to death.We know too much, maybe. There are some of us who don’t live in themoment, who live a little ahead, or a little behind.
Laura Kreitzer, Burning Falls|Her gaze travels back to the lie twisted in a tempest of mud and blood. She witnesses the culmination of her recklessness through a curved lens. Absorbed in life uncoiling, unaware of the world beyond this ridge. His light hair, darkened by rain. His stiff shoulders, full of pain. The vision poisoned with truth. With rust-stained hues.
Laura Thalassa, The Queen of All that Lives|It is not a surprise that there are people we love and hate at the same time. Not as though we hate them, but we hate how they don't love us.
Susan C. Young|When you reassess where you are and what you’ve done, new factors may come to light to help you make more informed choices moving forward. Whether your assessment encourages you to rest happily on your laurels or change directions, reassessment is incredibly valuable.
Mary Hays, The Victim of Prejudice|I put in no claims either for happiness, for gratification, or even for the common comforts of life: yet, surely, I had a right to exist!
Ludwig von Mises, The Theory of Money and Credit|Fiat-money! Let the State 'create' money, and make the poor rich, and free them from the bonds of the capitalists! How foolish to forego the opportunity of making everybody rich, and consequently happy, that the State's right to create money gives it! How wrong to forego it simply because this would run counter to the interests of the rich! How wicked of the economists to assert that it is not within the power of the State to create wealth by means of the printing press!- You statesmen want to build railways, and complain of the low state of the exchequer? Well, then, do not beg loans from the capitalists and anxiously calculate whether your railways will bring in enough to enable you to pay interest and amortization on your debt. Create money, and help yourselves.
Ayn Rand, Atlas Shrugged|Pride is the recognition of the fact that you are your own highest value and, like all of man’s values, it has to be earned.His own happiness is man’s only moral purpose, but only his own virtue can achieve it…Life is the reward of virtue- and happiness is the goal and the reward of life.Happiness is a state of non-contradictory joy- a joy without penalty or guilt, a joy that does not clash with any of your values and does not work for your won destruction, not the joy of escaping from your mind, but using your mind’s fullest power.Happiness is possible only to a rational man, the man who desires nothing but rational goals, seek nothing but rational values and finds his joy in nothing bu rational actions.The symbol of all relationships among such men, the moral symbol of respect for human beings, is the trade…A trader is a man who earns what he gets and does not give or take the undeserved.
Lord Mountbatten|In the transmission of human culture, people always attempt to replicate, to pass on to the next generation the skills and values of the parents, but the attempt always fails because cultural transmission is geared to learning, not DNA.
Rebecca Miller, The Private Lives of Pippa Lee|Courtship is romantic. Marriage ... is an act of will," said Pippa, taking a sip of water. "I mean, I adore Herb. But the marriage functions because we will it to. If you leave love to hold everything together, you can forget it.
Neil Gaiman|Stories which have failed either to become popular folk lore or to be embalmed in old newspaper files are in great danger of oblivion. If they are saved, often it is by the merest chance. And that chance may well depend upon one individual with a treasure-story bent and a retentive memory.
Leonard Bernstein|Blues is my life. It's a true feeling that comes from the heart, not something that just comes out of my mouth. Blues is what I love, and blues is what I always do.
Eckhart Tolle|As I get older, the more I stay focused on the acceptance of myself and others, and choose compassion over judgment and curiosity over fear.
Vikram Seth, A Suitable Boy|I've always felt that the performance of a raag resembles a novel - or at least the kind of novel I'm attempting to write. You know,' he continued, extemporizing as he went along, 'first you take one note and explore it for a while, then another to discover its possibilities, then perhaps you get to the dominant, and pause for a bit, and it's only gradually that the phrases begin to form and the tabla joins in with the beat...and then the more brilliant improvisations and diversions begin, with the main theme returning from time to time, and finally it all speeds up, and the excitement increases to a climax.
Charles Darwin, The Origin of Species|Thus, from the war of nature, from famine and death, the most exalted object which we are capable of conceiving, namely, the production of the higher animals, directly follows. There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.
Elizabeth Chandler, The Back Door of Midnight|Good dog! Nice fetch!""He wasn't fetching.""Bring her here, boy. Good job!"The dog looked from Zack to me."I've been training him," Zack said. "Up till now he's brought home only dead rabbits, but I guess he's finally getting the hang of it.
Tara Sivec, Troubles and Treats|We don't talk, we hold forth. We don't converse, we expound.
Laurel Clark|I'll tell you, being involved in human space flight, it is an emotional endeavor. I think it brings in the highest highs and the lowest lows.
Thich Nhat Hanh, Creating True Peace: Ending Violence in Yourself, Your Family, Your Community, and the World|From 'Creating True Peace' by Thich Nhat HanhTo better understand the practise of protection, please study the Five Mindfulness Trainings in Chapter 3, particularly the third, sexual responsibility. By practising the Third Mindfulness Training, we protect ourselves, our family, and society. In addition, by observing all the trainings we learn to eat in moderation, to work mindfully, and to organise our daily life so we are there for others. This can bring us great happiness and restore our peace and balance.Expressing Sexual Feelings with Love and CompassionAnimals automatically follow their instincts, but humans are different. We do not need to satisfy our cravings the way animals do. We can decide that we will have sex only with love. In this way we can cultivate the deepest love, harmony, and nonviolence. For humans, to engage only in nonviolent sexuality means to have respect for each other. The sexual act can be a sacred expression of love and responsibility.The Third Mindfulness Training teaches us that the physical expression of love can be beautiful and transcendent. If you have a sexual relationship without love and caring, you create suffering for both yourself and your partner, as well as for your family and our entire society. In a culture of peace and nonviolence, civilised sexual behaviour is an important protection. Such love is not sheer craving for sex, it is true love and understanding.Respecting Our CommitmentsTo engage in a sexual act without understanding or compassion is to act with violence. It is an act against civilization. Many people do not know how to handle their bodies or their feelings. They do not realise that an act of only a few minutes can destroy the life of another person. Sexual exploitation and abuse committed against adults and children is a heavy burden on society. Many families have been broken by sexual misconduct. Children who grow up in such families may suffer their entire lives, but if they get an opportunity to practise, they can transform their suffering. Otherwise, when they grow up, they may follow in the footsteps of their parents and cause more suffering, especially to those they love.We know that the more one engages in sexual misconduct, the more one suffers. We must come together as families to find ways to protect our young people and help them live a civilised life. We need to show our young people that happiness is possible without harmful sexual conduct. Teenage pregnancy is a tragic problem. Teens are not yet mature enough to understand that with love comes responsibility. When a thirteen-or fourteen-year-old boy and girl come together for sexual intercourse, they are just following their natural instincts. When a girl gets pregnant and gives birth at such a young age, her parents also suffer greatly. Public schools throughout the United States have nurseries where babies are cared for while their mothers are in the classroom. The young father and mother do not even know yet how to take care of themselves - how can they take care of another human being? It takes years of maturing to become ready to be a parent.
George F. Kennan|The truth is sometimes a poor competitor in the market place of ideas – complicated, unsatisfying, full of dilemmas, always vulnerable to misinterpretation and abuse.
Walter Scott|I do not consider it an insult, but rather a compliment to be called an agnostic. I do not pretend to know where many ignorant men are sure - that is all that agnosticism means.
Melvil Dewey|An exile, said Zafar, is a refugee with a library.
Melody  Lee, Moon Gypsy|You keep playing with what broke you,then wonder why you don’t heal.Leave the wound alone,throw away the poison,and watch the magic of recovery.Your wings of wisdom are ready for flight.
Aaron Dennis|There is no past, present, or future; there is only meow, right meow, and what you do with your one shot at life.
Phil Volatile, Crushed Black Velvet|Take delight on a woman’s pubic hair for its a signature of maturity and a secretive covenant . . . the hair signifies potent sexual energy and strength hold but also signifies virility of the animalistic tendencies and royal power . . . A woman who rejects narcissism of complete vaginal hair removal gives a signature of strength, virtuously liberated, body acceptance, and more womanhood.
Macaulay Culkin|The 'Story of Silent Night', which was given to me one Christmas when I was six - it was the story of a down and out composer who had no ideas left, and it was Christmas, and he came up with the hymn 'Silent Night.'
Marius Vieth|The less gear you use, the more you grow as a photographer. Although there are fewer options available, you'll find more creative ways to capture what you feel! In a way, all your technical options before turn into creative solutions that improve your photography even more.
Katherine Catmull, Summer and Bird|So slip on your goggles and your reading trunks, for the sun is high. Let me leave you with one more thought. In what season of the year do we find ourselves - I'm speaking for a moment in terms of the physical world - wading through things? Surf. Kelp. Books. Summer.
Hunter S. Thompson|Call on God, but row away from the rocks.
Karen Katchur, The Secrets of Lake Road|The water. The lake. It flows through our veins, and there's nothing we can do about it… It's like venom.
Madison Thorne Grey, Recompense|Make it stop," Vincent murmured, coming out of sleep and pulling the blanket over his head. "I think your mutt is howling for you.
