Sam Gayton|Every time you say it is impossible, you shoot yourself in the foot
Julie Anne Long, How the Marquess Was Won|Love songs or poetry?Ambrose: Love songs–you get the best of both, poetry set to music.And you can't dance to poetry.
Gerald Durrell, My Family and Other Animals|It's all your fault, Mother,' said Larry austerely; 'you shouldn't have brought us up to be so selfish.' 'I like that!' exclaimed Mother. 'I never did anything of the sort!' 'Well, we didn't get as selfish as this without some guidance,' said Larry.
James Robertson, The Testament of Gideon Mack|Sucked in and turned around by the blades, the night at first flows smoothly, but then it starts to take on a denser consistency. Already the night was nearly halfway through its course, so a good portion of it had hardened. Because of this, as I walked through it, it gave me none of the easy, buoyant feeling you get in the early-evening hours. Something about it seemed creaky. But that was, in its own way, typical of the night too.
Melody  Lee, Moon Gypsy|Des Menschen Kraft, im Dichter offenbartThe human power is revealed by poetIl potere dell'umanità si rivela nel poeta
Virginia Alison|Basically, writers write because they have something to say...Everyone has a story in them, writers merely decide to share it with the world...
James Caskey, The Haunted History of New Orleans: Ghosts of the French Quarter|I'm not into werewolves, but holy crap is he a hottie. Totally gorgeous and built like a tank. I bet he's got one down to his---
Reinhold Niebuhr|Religion is so frequently a source of confusion in political life, and so frequently dangerous to democracy, precisely because it introduces absolutes into the realm of relative values.
Suzy Bogguss|I also like to garden. I grow things, vegetables, flowers... I particularly like orchids. I raise orchids.
Amy Goodman|I really do think that if for one week in the United States we saw the true face of war, we saw people's limbs sheared off, we saw kids blown apart, for one week, war would be eradicated. Instead, what we see in the U.S. media is the video war game. 
Robert Henri|Pretend you are dancing or singing a picture. A worker or painter should enjoy his work, else the observer will not enjoy it.
Tad Williams, The Dragonbone Chair|We had no compunction toward our enemies [the ants] and took to increasingly desperate and violent means of dealing with them. If we noticed they'd laid siege to a snack, we might trap them in a circle drawn with water and take away whatever they were eating, then watch them scurry about in confusion before wiping them off the floor with a wet cloth. I took pleasure in seeing them shrivel into black points when burning coals were rolled over them. When they attacked an unwashed pan or cup they'd soon be mercilessly drowned. I suppose initially each of us did these things only when we were alone, but in time, we began to be openly cruel. We came around to Amma's view of them as demons come to swallow our home and became a family that took pleasure in their destruction. We might have changed houses since, but habits are harder to change.
Steve Maraboli|With my lost saints - I love thee with the breath, smiles, tears, of all my life! - and if God choose, I shall but love thee better after death.
Jamie Ford, Hotel on the Corner of Bitter and Sweet|He'd do what he always did, find the sweet among the bitter.
Criss Jami, Healology|Like all great things which then become fashions, science, as now the universal stamp of approval, probably receives more abuse than any other field of study. Glaze the word itself over whatever vague ideology one may presume ratified, no matter the degree of pseudo-science or lack of scholarly credibility packaged within, and the many will consume it like gravy on a feast. My thought for the time is that as the promise of true science increases, so shall rise its many more superficial counterparts as provided by the agenda-bound trendies and hyper-ambitious laypersons to boot.
Catherine Lacey, Nobody Is Ever Missing|That's the thing about fiction, that you live in it totally for a little while, but you must forget it, sometimes totally forget it, in order to go about the rest of your day.
Mitt Romney|Sensual love deceives one as to the nature of heavenly love; it could not do so alone, but since it unconsciously has the element of heavenly love within it, it can do so.
William Shakespeare, Hamlet|Give me that man that is not passion's slave, and I will wear him in my heart's core, in my heart of heart, as I do thee.
Bertrand Russell, The Philosophy of Logical Atomism|My desire and wish is that the things I start with should be so obvious that you wonder why I spend my time stating them. This is what I aim at because the point of philosophy is to start with something so simple as not to seem worth stating, and to end with something so paradoxical that no one will believe it.
Gretchen McNeil, Possess|She felt like a baton getting passed along in a relay race, completely devoid of any control over her destiny.
Jenny Offill, Dept. of Speculation|My daughter breaks both her wrists jumping off of a swing. Her friend, who is five, told her to jump off of it. I promise nothing will happen, she said. But why did she promise that? she wails later at the hospital.
Sameer  Khan, Eerie Edges|Stop there, Breathe.For a while you need to leave, live.Stop pushing your face into that photo calledpast, stuck in the photo frame of time. Stopscratching your heart, give the wound time toheal. For i know, when the photo frame fallsdown, the broken pieces of glass fall apart,just like memories. But no, you want to keepit to the chest, close to your heart. You knowyou shouldn't but you're too coward to let go.It keep sucking your heart, into a black holeof muddy memories. Making you a darkshattered soul, incapable of finding solace.So stop. For a while let's just live. Let's justbreathe. Let's just love ourselves, for it's youwho need it the most.
Darmie O-Lujon|Galleries are frightening places, places of evaluation, of judgement.
Ludwig Wittgenstein|Life and death appeared to me ideal bounds, which I should first break through, and pour a torrent of light into our dark world.
Ilchi Lee, Change: Realizing Your Greatest Potential|Recalibration comes from experiencing Nothingness, being open to emptiness as the ultimate reality and our nature. It is the purest mind, the Energy-Consciousness itself.
Wen Jiabao|You have an impeccable argument if you said that Singapore, Hong Kong, and Tokyo are food capitals. They have a maximum amount of great stuff to eat in the smallest areas.
Mary Oliver, Dog Songs|Immortality: A toy which people cry for, And on their knees apply for, Dispute, contend and lie for, And if allowed Would be right proud Eternally to die for.
Alva Myrdal|I go gladly to my wife and boy, and I leave this world at peace with every one in it and at peace with God.
Jacques Yves Cousteau|But groundless hope, like unconditional love, is the only kind worth having.
Justin Cronin, The City of Mirrors|She could see now that some of the grime that covered him was blood. He looked to be six or seven years old. His ribs were showing and his belly sunk in towards his spine, leaving a hollow above his hips.
Anonymous|"You are accepted!" ... accepted by that which is greater than you and the name of which you do not know. Do not ask the name now  perhaps you will know it later. Do not try to do anything  perhaps later you will do much. Do not seek for anything  do not perform anything  do not intend anything. Simply accept the fact that you are accepted.
Caroline Fyffe, Under a Falling Star|Susanna, I'm not exactly sure how to begin. Where to start. I know I was in the wrong by not telling you sooner, but I was in an incredibly tight spot."	She crooked her brow.	"I'm still in an incredibly tight spot?"	She nodded.
Paulo Coelho, The Alchemist|Because, wherever your heart is, that is where you´ll find your treasure
Anthony Liccione|There is a species of primate in South America more gregarious than most other mammals, with a curious behavior.The members of this species often gather in groups, large and small, and in the course of their mutual chattering , under a wide variety of circumstances, they are induced to engage in bouts of involuntary, convulsive respiration, a sort of loud, helpless, mutually reinforcing group panting that sometimes is so severe as to incapacitate them. Far from being aversive,however, these attacks seem to be sought out by most members of the species, some of whom even appear to be addicted to them....the species in Homo sapiens (which does indeed inhabit South America, among other places), and the behavior is laughter.
Julie Kavanagh, The Girl Who Loved Camellias: The Life and Legend of Marie Duplessis|She replaced her wardrobe with marvels of the season bought from boutiques of the Palais-Royal and rue de la Chaussee-d'Antin. Outfits for a ball detailed in the fashion pages of the January 1839 edition of Paris Elegant describe dresses of pale pink crépe garnished with lace and velvet roses and accessorized with white gloves, silk stockings, and white cashmere or taffeta shawls. In the spring of that year, misty tulle bonnets came into fashion worn with capes of Alencon lace - “little masterpieces of lightness and freshness.“Her bed was her stage, raised on a platform and curtained with sumptuous pink silk drapes. The adjoining cabinet de toilette was also a courtesan’s natural habitat, its dressing table a jumble of lace, bows, ribbons, embossed vases, crystal bottles of scents and lotions, brushes and combs of ivory and silver.She indulged her sweet tooth with cakes from Rollet the patissier, glaceed fruit from Boissier, and on one occasion sent for twelve biscuits, macaroons, and maraschino liqueur.
Ben Carson|The Government's supposed to be there for people when nobody else is, right? But it never works like that.
Israelmore Ayivor|Love yourself as you love your neighbour. If you love your neighbour with a heavy heart, love yourself too with a heavy heart.
Debasish Mridha|I may not want your help, but I always want you beside me.
Becca Lee, A Perfect Moment|That first kiss, it still has a way of making us nervous as teenagers, no matter how old we get.
Paulo Freire|My mother said I must always be intolerant of ignorance but understanding of illiteracy. That some people, unable to go to school, were more educated and more intelligent than college professors.
Philip Larkin|The Old FoolsWhat do they think has happened, the old fools,To make them like this ? Do they somehow supposeIt's more grown-up when your mouth hangs open and droolsAnd you keep on pissing yourself, and can't rememberWho called this morning ? Or that, if they only chose,They could alter things back to when they danced all night,Or went to their wedding, or sloped arms some September ?Or do they fancy there's really been no change, And they've always behaved as if they were crippled or tight,Or sat through days of thin continuous dreamingWatching light move ? If they don't (and they can't), it's strange:Why aren't they screaming ?At death, you break up: the bits that were youStart speeding away from each other for everWith no one to see. It's only oblivion, true: We had it before, but then it was going to end,And was all the time merging with a unique endeavourTo bring to bloom the million-petalled flowerOf being here. Next time you can't pretendThere'll be anything else. And these are the first signs:Not knowing how, not hearing who, the powerOf choosing gone. Their looks show that they're for it:Ash hair, toad hands, prune face dried into lines-How can they ignore it ?Perhaps being old is having lighted roomsInside your head, and people in them, acting.People you know, yet can't quite name; each loomsLike a deep loss restored, from known doors turning, Setting down a Iamp, smiling from a stair, extractingA known book from the shelves; or sometimes onlyThe rooms themselves, chairs and a fire burning,The blown bush at the window, or the sun' sFaint friendliness on the wall some lonelyRain-ceased midsummer evening. That is where they live:Not here and now, but where all happened once.This is why they giveAn air of baffled absence, trying to be thereYet being here. For the rooms grow farther, leavingIncompetent cold, the constant wear and tearOf taken breath, and them crouching belowExtinction' s alp, the old fools, never perceivingHow near it is. This must be what keeps them quiet.The peak that stays in view wherever we goFor them is rising ground. Can they never tellWhat is dragging them back, and how it will end ? Not at night?Not when the strangers come ? Never, throughoutThe whole hideous inverted childhood? Well,We shall find out.
Milan Kundera, Ignorance|...still, I’m lucky: I feast on solitude, I will never miss the crowd. I could read the great books but the great books don’t interest me. I sit in bed and wait for the whole thing to go one way or the other. just like everybody else.
Wolfgang Amadeus Mozart|Melody is the essence of music. I compare a good melodist to a fine racer, and counterpointists to hack post-horses; therefore be advised, let well alone and remember the old Italian proverb: Chi sa più, meno sa—Who knows most, knows least.
Marc Jacobs|Innovation is an evolutionary process, so it's not necessary to be radical all the time.
Hamza Yusuf|For us (Muslims) death is an incident: for them (the Europeans), the end.
Walter Lewin|...things are the way they are in our universe because if they weren't, we wouldn't be here to notice.
Heinrich Heine|She opened her sketchbook, carefully tore out several pages and handed them to Nasser--three detailed color sketches of three flowers. Leafing through the pages, he translated the message. A petunia: Your presence soothes me. A peppermint flower: warmth of feeling. And heartsease, the flower he'd given her so many times before.You occupy my thoughts."I've been doing a lot of reading," Lee said quietly, setting her sketchbook aside. "You're not the only one who knows what flowers mean.
Jennifer Donnelly, Revolution|Was I sticking around because I really wanted to be with Austin, or because I was afraid no one else would want to be with me?
I. F. Stone|I'm working on this book on the trial of Socrates. It started out with the idea of the problem of freedom of thought...and expression...I started by spending a year on the English Seventeenth Century Revolutions, and I had a fascinating time. And then I felt I couldn't understand the English Seventeenth Century Revolutions without understanding the Reformation. When I got to the Reformation, I felt that I had to understand the premonitory movements that began in the Middle Ages. When I got there, I felt I had to understand the classical period." (quoted in Andrew Patner, I. F. Stone: A Portrait, p. 21)
Recep Tayyip Erdogan|Originally, Congress provided in 1793 that all foreign coins circulating in the United States be legal tender. Indeed, foreign coins have been estimated to form 80 percent of American domestic specie circulation in 1800.
Theo Engela, African Assignment: A Collection of Short Stories|Joe!” he groaned, attempting to speak clearly. “Joe! Good ol’ Joe!”“Captain, you’re drunk!” Lofflin said, stating the obvious while trying to keep his voice level. Blaine grinned at him lopsidedly and giggled, almost choking. He slapped the table, knocking his empty glass over.“Ye-ss, I am! Don’t ssup-pose you – think I co-uld ssit here an’ calmly wait t’die – dýou? Weee-ll, not ssob-er anyway. Ha ha ha.”Disgust and hopelessness were swelling inside him. He felt like punching that drunken face till it was either sober or unconscious.“Damn it, Captain! We need you – the crew needs you! You’re turning your back on them – in our most desperate time!
Bebe Moore Campbell, Your Blues Ain't Like Mine|In all his imaginings, he had never envisioned her crying. He knew that her son had died, but he'd never expected that her pain might be anything he could recognize, almost as though he believed that Negroes had their own special kind of grieving ritual, another language, something other than tears they used to express their sadness.
William Shakespeare, The Sonnets and Narrative Poems|Like as the waves make towards the pebbled shore,So do our minutes hasten to their end;Each changing place with that which goes before,In sequent toil all forwards do contend.
Saint Vardapet Eghishē|Մահ ոչ իմացեալ՝ մահ է, մահ իմացեալ՝ անմահութիւն է:Death, unanticipated, is death; death, anticipated, is immortality.
Nick Harkaway, Angelmaker|I shall now explain my plan. You may then speak, but only to amend the detail. The broad outline is not subject to negotiation. Are you ready? Good … I propose to have sex with you. I believe it will be excellent sex. Your obedience on one particular issue of timing it will be required to make it unforgettable sex. I will explain that issue as we go. At the moment, I wish to hear your inevitable objection to the general sex part of this plan.
Bernard Cornwell, The Pale Horseman|This isn't just a war over land, it's a war about God. And Alfred...is Christ's servant...
Charles Dickens, Oliver Twist|How they dance in the courtyard, sweet summer sweat.Some dance to remember, some dance to forget
Shinzo Abe|I'm a vegetarian and very much active in regards to how I feel about animal rights and protecting animals and giving animals a voice. But at the same time, I appreciate and respect other people's decisions to eat meat. The only thing that I hope is that people are educated, that they're aware, that they're living a conscious lifestyle.
Geoff Dyer, Another Great Day at Sea: Life Aboard the USS George H.W. Bush|Some memories are meant for not to be said, either they are too Scary to tell, or we love them that much, that we can’t explain those in oral words.
Bella Pollen, Midnight Cactus|Women only cut their hair in times of crisis... It's somethin' a woman always has the power to do, even when she loses control over everything else. Cuttin' hair is a cry for help.
Kyle Chandler|To me, sadness and humor aren't disrelated and humor is the best tool I've had against the sadness in my life.
Kathleen Winter, Annabel|I digged my heart deeper to see who is inside, the more i digged ,the more i lost ME
Charles Haddon Spurgeon|The high ground of Christ & Him crucified must be claimed in our preaching. Any other footing is a slippery slope that inevitably descends downward into vain rhetoric and mere words. To the contrary, every pulpit must present a towering vision of the unique person and saving work of Jesus Christ. All preaching must point to His sin-bearing, substitutionary death for sinners. All exposition must lift up this Sacrificial Lamb who became a sin-bearing Substitute for all who believe. Every message must exalt this Christ, who was raised from the dead, exalted to the right hand of God the Father, and entrusted with all authority in heaven and earth.
G.K. Chesterton|If we, who are finite, contingent, created beings, have got God completely figured out, it makes it seem likely that we invented him...If I am ever completely satisfied with my understanding of who God is and how he operates in the world, I am in danger of ceasing to seek Him.
Deborah Mailman|Society needs both parents and nonparents, both the work party and the home party. While raising children is the most important work most people will do, not everyone is cut out for parenthood. And, as many a childless teacher has proved, raising kids is not the only important contribution a person can make to their future.
Mary-Ellen Peters|Pain makes people warriors, you just have to hurt enough!
Henrietta Newton Martin Legal Consultant|Treating Abuse Today 3(4) pp. 26-33TAT: I see the agenda. But let's go back: one of the contentions the therapeutic community has about the Foundation's professed scientific credibility is your use of the term "syndrome." It seems to us that what's happening here is that based solely on anecdotal, unverified reports, the Foundation has started a public relations campaign rather than a bonafide research effort and simply announced to the world that an epidemic of this syndrome exists. The established scientific and clinical organizations are taking you on about this and it's that kind of thing that makes us feel like this effort is not really based on science. Do you have a response to that?Freyd: The response I would make regarding the name of the Foundation is that it will certainly be one of the issues brought up during our scientific meeting this weekend. But let me add that the term, "syndrome," in terms of it being a psychological syndrome, parallels, say, the rape trauma syndrome. Given that and the fact that there are seldom complaints over the use of the term "syndrome" for that, I think that it isn't "syndrome" that's bothering people as much as the term "false."TAT: No. Frankly it's not. It is the term "syndrome." The term false memory is almost 100 years old. It's nothing new, but false memory syndrome is newly coined. Here's our issue with your use of the word "syndrome." The rape trauma syndrome is a good example because it has a very well defined list of signs and symptoms. Having read your literature, we are still at a loss to know what the signs and symptoms of "false memory syndrome" are. Can you tell us succinctly?Freyd: The person with whom I would like to have you discuss that to quote is Dr. Paul McHugh on our advisory board, because he is a clinician.TAT: I would be happy to do that. But if I may, let me take you on a little bit further about this.Freyd: Sure, sure that's fair.TAT: You're the Executive Director of the False Memory Syndrome Foundation - a foundation that says it wants to disseminate scientific information to the community regarding this syndrome but you can't, or won't, give me its signs and symptoms. That is confusing to me. I don't understand why there isn't a list.
Alexander McCall Smith, The Kalahari Typing School for Men|They sang that song which distills all the suffering and the hope of Africa; that song which had inspired and comforted so many, “Nkosi Sikeleli Afrika,” God Bless Africa, give her life, watch over her children.
Eric Schmidt, Jonathan Rosenberg|To feel everything in every way; to be able to think with the emotions and feel with the mind; not to desire much except with the imagination; to suffer with haughtiness; to see clearly so as to write accurately; to know oneself through diplomacy and dissimulation; to become naturalized as a different person, with all the necessary documents; in short, to use all sensations but only on the inside, peeling them all down to God and then wrapping everything up again and putting it back in the shop window like the sales assistant I can see from here with the small tins of a new brand of shoe polish.
Alana Stewart|In order to succeed, your desire for success should be greater than your fear of failure.
Embee, Tess Embers|I imagine God creating humans was much like cavemen creating fire… First it sparkles brightly, full of life and beauty. But then it grows, stronger and fiercer until it becomes dangerous and uncontrollable… Then its creator can only stand on the hill and wait for his creation to die.
Lailah Gifty Akita|If we rest, we shall renewal our strength.
|It's very risky to capture a woman's attention only through your material possessions, because if they happen to vanish, she probably would be gone too. In other words, if the reason why she is with you is not there, she might not see any other reason to hang around.
Elaine Seiler, Multi-Dimensional You: Exploring Energetic Evolution|After we’re feasted down to white sticks and it’s all covered in lions and trees and whatever the monkeys become prod the ground with a toe, staring down with glittering eyes at the guts of a wristwatch. After the bonfires and sun worship and they grow brains and can x-ray the ground. They can figure all this out, file it away. List my name with an asterisk after it, a footnote at the bottom phrasing my presence here in short, dull terminology.
Rachel Caine, Fall of Night|The realization that my grandmother, mother and I are one in the same awakens something mysterious inside of me. The person I am, someone I believe has more opportunities than my mom and grandmother in matters of work, relationships and love is true, yet I am still acting out old belief patterns. I am no better or smarter than either one of them. Our basic needs and emotions in life are the similar. Our experiences differ, but we are one and the same. This conscious awakening is surreal.
Nikki Rowe|there is a silent beauty hidden amongst pain, if you sit in it you may never find it; if you grow through it, You'll find the treasure.
Tom Hiddleston|Cry, the beloved country, for the unborn child that's the inheritor of our fear. Let him not love the earth too deeply. Let him not laugh too gladly when the water runs through his fingers, nor stand too silent when the setting sun makes red the veld with fire. Let him not be too moved when the birds of his land are singing. Nor give too much of his heart to a mountain or a valley. For fear will rob him if he gives too much.
Jamie Oliver|If you only design menus that are essentially junk or fast food, the whole infrastructure supports junk.
Young Thug|Now and then, when I grow nostalgic about my ocean childhood - the wauling of gulls and the smell of salt, somebody solicitous will bundle me into a car and drive me to the nearest briny horizon.
Jorge Ramos|When a nation is under oppression for too long, it gets used to it and begins to agree with that oppression
Lord Acton|There is no history of mankind, there are only many histories of all kinds of aspects of human life. And one of these is the history of political power. This is elevated into the history of the world.
David Alejandro Fearnhead|Be nice to people on the way up. Not because you might meet them on the way back down, but.. because what's the point in going through life being a c**t to everyone
Henry Selick|Try and leave this world a little better than you found it, and when your turn comes to die, you can die happy in feeling that at any rate, you have not wasted your time but have done your best.
Graham Spaid, tireless:|…he’d assumed their relationship would go on forever. It was going on now, but in another way, like the rearrangement of the stars, which were all still in the sky, just burning in unexpected places.
Deepak Chopra|In my experience, poor people are the world's greatest entrepreneurs. Every day, they must innovate in order to survive. They remain poor because they do not have the opportunities to turn their creativity into sustainable income.
Debasish Mridha|When you focus and accept the current moment with love, faith, and joyfulness, you are practicing mindfulness. That is better than controlling the universe.
Anselm of Canterbury, Cur Deus homo: to which is added a selection from his letters|And what we say - that what He willeth is right and what He doth not not will is wrong, is not so to be understood, as if, should God will something inconsistent, it would be right because He willed it. For it does not follow that if God would lie it would be right to lie, but rather that he were not God.
Jackie Kennedy|Let America first praise mediocrity even, in her children, before she praises... the best excellence in the children of any other land.
Steve Jobs|Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of other's opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition. They somehow already know what you truly want to become. Everything else is secondary.
Frances Hodgson Burnett, A Little Princess|She did not care very much for other little girls, but if she had plenty of books she could console herself.
Chuck Palahniuk|The best way to waste your life, is by taking notes. The easiest way to avoid living is to just watch. Look for the details. Report. Don't participate.
Gail Levy, Strange Embrace|I let one of the men rename me. A man gave me the name Rose – you didn’t know that, did you, Poke?…He said, this man, he said that Kwan was too hard to remember, even though it’s a good name and it means ‘spirit,’ and that the rose was the queen of flowers and I was the queen of Patpong.” She laughs, rough as a cough. “The queen of Patpong. A kingdom of whores and viruses. Death with a smile.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|O Heavenly Children, the stories you have concocted in God's name have angered Him; for he would never instigate war between brothers, or encourage tribes to harbor resentment towards one another. He prefers the man who loves over the one who hates. And the man who spreads kindness, peace and knowledge, over the one who spreads lies, fear and terror — and misuses His name.
Kilroy J. Oldster, Dead Toad Scrolls|People are inherently wary and fearful. What is a person more afraid of, the paucity of their dreams or the satanic magnitude of their nightmares? Poetic inventions containing elements of truth comprise all of our nighttime dreams and ephemeral daydreams.
Mike Ericksen, Upon Destiny's Song|I would enter the desert alone, to leave in the sand endless footprints only to be obliterated by the wind, to walk the same path each day expecting the same path tomorrow, and perhaps to cease wondering at the bloom and wither of lilies only to linger for death. But no, even in the desert, I would seek a new sanctuary, to contemplate a grain of sand in a sea of dryness...
Anaïs Nin, Henry And June|Do not seek the because - in love there is no because, no reason, no explanation, no solutions.
Christopher S. Hyatt|live to the fullest or die;and die you will anyway, so start living!
Dean Koontz, The Darkest Evening of the Year|The geometry of judgment is a circle. Hate is a snake that turns to consume itself from the tail, a circle that diminishes to a point, then to nothing. Pride is such a snake, and envy, and greed. Love, however, is a hoop, a wheel, that rolls on forever. We are rescued by those whom we have rescued. The saved become the saviors of their saviors.
Leah Remini|Belief and faith are great, but very few people have been led astray by thinking for themselves.
Billy Graham, Billy Graham in Quotes|Hardship is not our choice; but if we face it bravely, it can toughen the fiber of our souls.
Charles Haddon Spurgeon, Lectures to My Students|It is not a brave thing to trust God. To true believers, it is a sweet necessity.
Louie Gohmert|What I'll say is that Cuban-Americans don't have to deal with the same immigration issues as other nationalities because of the 'wet feet, dry feet' policy. For Cubans, one year after you touch United States territory, you can become a legal resident.
Stewart Stafford|Human knowledge is but a ripple on the water's surface. To go deeper, we must accept the fact that we don't know everything
Carla Reighard, Elle's Magical Shoes|I think magic is hard for most people to believe in, because our lives are typically without it. Sometimes the supernatural is disguised behind other things like bravery.
Suzanne Brockmann, Do or Die|Then it’s a deal, we’re friends.”[…]“Can we just make one conditional rule here? That if we get into a situation where we know—absolutely—that we’re going to die, we can have—“She pulled her hand away. “Don’t say it!”He did. “Sex.”She glared her disbelief. “You are such and asshole!”“I am,” Ian agreed. I’m afraid that accepting me for who I am comes with the territory when talking friendship.”“Stay in the shadows, asshole,” she said, then turned to stalk up the lawn toward the deck.“Thank you,” he said as he headed for the shrubs. “I appreciate our open-minded acceptance of my asshole-ishness.”And he wasn’t sure, but he could’ve sword that he heard Phoebe laugh.
Israelmore Ayivor, Shaping the dream|Before you accomplish your dreams physically, your inner make up, mindset, emotions and perception have fought the battle mentally and that already determined how the battle will be fought physically.
Pearl Zhu, Digital Valley: Five Pearls of Wisdom to Make Profound Influence|We build this country ourselves every day and we have to be, in the most positive sense, totally unreal.
Kurt Vonnegut Jr., Galápagos|Mary Hepburn was meanwhile murdering herself up in her room, lying on her bed with the polyethylene sheath of her "Jackie dress" swapped around her head. The sheath was now all steamed up inside, and she hallucinated that she was a great land tortoise lying on its back in the hot and humid hold of a sailing ship of long ago. She pawed the air in perfect futility, just as a land tortoise on its back would have done.As she had often told her students, sailing ships bound out across the Pacific used to stop off in the Galàpagos Islands to capture defenseless tortoises, who could live on their backs without food or water for months. They were so slow and tame and huge and plentiful. The sailors would capsize them without fear of being bitten or clawed. then they would drag them down to waiting longboats on the shore, using the animals' own useless suits of armor for sleds.They would store them on their backs in the dark paying no further attention to them until it was time for them to be eaten. the beauty of the tortoises to the sailors was that they were fresh meat which did not have to be refrigerated or eaten right away.
Coco J. Ginger|I won’t let you have it. I won’t give you this moment. I won’t let you fill up this valuable organ...I own it. I won’t do it. I can’t think, I won’t think about it.
Edgar Allan Poe|To elevate the soul, poetry is necessary.
Toni Morrison, Beloved|You know, the kind who know Jesus by His first name, but out of politeness never use it even to His face.
Debasish Mridha|Do what is right, not what is important.
Orson Scott Card, Earth Unaware|Everyone was always in such a rush to shoot forward that they never took the time to look back. Which was a mistake. If you wanted to avoid snags, kinks, knots, and cuts, you had to "keep your mind on your line," as the saying went.
Martin Luther|A person who...does not regard music as a marvelous creation of God, must be a clodhopper indeed and does not deserve to be called a human being; he should be permitted to hear nothing but the braying of asses and the grunting of 
Robin LaFevers|We must not be surprised when we hear of murders, killings, of wars, or of hatred...If a mother can kill her own child, what is left but for us to kill each other?
W. Somerset Maugham, Collected Short Stories: Volume 4|You're stubborn, Vlad.""Is that a compliment?
Jonathan Haidt|The president is the high priest of what sociologist Robert Bellah calls the 'American civil religion.' The president must invoke the name of God (though not Jesus), glorify America's heroes and history,quote its sacred texts (the Declaration of Independence and the Constitution), and perform the transubstantiation of pluribus unum.
Belsebuub|Gotama's awakening involved a radical shift of perspective rather than the gaining of privileged knowledge into some higher truth. He did not use the words "know" and "truth" to describe it. He spoke only of waking up to a contingent ground--"this-conditionality, conditioned arising"--that until then had been obscured by his attachment to a fixed position. While such an awakening is bound to lead to a reconsideration of what one "knows," the awakening itself is not primarily a cognitive act. It is an existential readjustment, a seismic shift in the core of oneself and one's relation to others and the world. Rather than providing Gotama with a set of ready-made answers to life's big questions, it allowed him to respond to those questions from an entirely new perspective.To live on this shifting ground, one first needs to stop obsessing about what has happened before and what might happen later. One needs to be more vitally conscious of what is happening now. This is not to deny the reality of past and future. It is about embarking on a new relationship with the impermanence and temporality of life. Instead of hankering after the past and speculating about the future, one sees the present as the fruit of what has been and the germ of what will be. Gotama did not encourage withdrawal to a timeless, mystical now, but an unflinching encounter with the contingent world as it unravels moment to moment.
Eric Micha'el Leventhal|When you can no longer tell the difference between being yourself and being love, you are not far from waking up.
L.M. Montgomery|The guy's life drunk, I think, makes Candide look like a sourpuss. Does he even know that death exists?
Jeanne DuPrau, The City of Ember|The sky, at sunset, looked like a carnivorous flower.
Bill Budge|I've never been much of a computer guy at least in terms of playing with computers. Actually until I was about 11 I didn't use a computer for preparing for games at all. I was playing a bit online, was using the chess club mainly. Now, obviously, the computer is an important tool for me preparing for my games.
Valerie Harper, Today I Am a Ma'am: and Other Musings On Life, Beauty, and Growing Older|I long ago came to the understanding that the problems I once had with food were not merely about food. Eating was a way of trying to fill up the emptiness, to provide comfort. It was a substitute for love. I'm not referring to the love that comes from someone else. The love that was missing from my life was self-love. With age I've discovered a sense of worth that makes me less hungry. A piece of cake is just a piece of cake.
Sunday Adelaja|Bell defined civilization in the language of a Bloomsbury connoisseur: ‘A taste for truth and beauty, tolerance, intellectual honesty, fastidiousness, a sense of humour, good manners, curiosity, a dislike of vulgarity, brutality, and over-emphasis, freedom from superstition and prudery, a fearless acceptance of the good things of life, a desire for complete self-expression and for a liberal education, a contempt for utilitarianism and philistinism, in two words – sweetness and light.’ Bell argued that ‘as a means to good and as a means to civility a leisured class is essential’. The Bloomsbury group was necessary because ‘It is only when there come together enough civilized individuals to form a nucleus from which light can radiate, and sweetness ooze, that a civilization becomes possible. The disseminators of civilization are therefore highly civilized men and women forming groups sufficiently influential to affect larger groups, and ultimately whole communities.
Jean Paul Friedrich Richter|When someone is filled with the Holy Spirit’s power and is zealous to do good, their “fire” for God will always expose their enemies. It was the fire that made the snake come out and bite Paul.“Paul gathered a pile of sticks for the fire. He was putting the sticks on the fire, and a poisonous snake came out because of the heat and bit him on the hand.”Acts 28:3
Toba Beta, Master of Stupidity|When two wise men are blaming one another,then time has come for you to be the third one.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you will invest the maximum amount of time in hard work, polishing and building your own land of promise, you will become great in life. You will become exceptional. You will become a specialist and the world would want to reckon with you.
William Lane Craig|So how do you find out what God thinks? The Christian says, you look in the Bible. And the Bible tells us that God forbids homosexual acts. Therefore, they are wrong.So basically the reasoning goes like this:(1) We are all obligated to do God’s will.(2) God’s will is expressed in the Bible.(3) The Bible forbids homosexual behavior.(4) Therefore, homosexual behavior is against God’s will, or is wrong.
Margie Warrell, Find Your Courage!|The ragamuffin gospel says we can't lose, because we have nothing to lose.
