Timothy Egan|Like all great readers, he could create for himself a "wall of stillness".
Stephen Richards|When you connect to the silence within you, that is when you can make sense of the disturbance going on around you.
Chila Woychik, On Being a Rat and Other Observations|I’ve had a fountain pen surgically implanted in my left index finger to save trouble. My body is tattooed with line upon line of truth, fiction, and a not-always-pleasing mix of the two.
Joseph Campbell, The Hero With a Thousand Faces|People tell me not to cook, drive, or touch anything for the sake of world peace.
Nina -, Johnny Kiddow|You see, I cannot share my space with them. Not only am I severely claustrophobic but I abhor the mass. In general, I do not like people very much. Those I cannot sand are the average ones that eat with their hands out of plastic plates and travel in buses to work. I am horrified of them. "Mr. Wesley
Michael Richardson, Dedalus Book of Surrealism 2: The Myth of the World|The shifting sands of the world... show how much the surrealists were drawn towards an interrogation of what reality actually is. Unlike fabulists of whatever hue, there is a materiality in surrealist writing that resolutely keeps it, one might say, 'down to earth'.
Donald L. Hicks, Look into the stillness|When you continually worry about what other people think of you, they own you.
Albert Einstein|Nature's laws must be obeyed, and the period of decline begins, and goes on with accelerated rapidity.
Hayley DiMarco|When you understand who God is, you can see beyond a shadow of a doubt why your weakness is nothing to be feared, because it just leaves more room for him and his strength.
Mensah Oteh|Failure results from broken focus, and an average person with complete unwavering focus can achieve more than a team of geniuses with broken focus.
Jack Kerouac, Desolation Angels|Madeleine Albright says, “There is a special place in hell for women who don't help other women.” I wonder what happens to women who bully other women.
Hermann Hesse|Lucien, women are wondrous, mysterious, and magical creatures, who should be treated not only with respect but with reverence, perhaps even awe. Now go sweep the steps.
Pero Gaglo Dagbovie|What these thinkers, chroniclers, and interpreters have written about, how they have theorized their scholarly endeavors, and their approaches and methodologies have inevitably been informed and shaped by the times in which they existed.
Donald Jeffries, The Unreals|To write a novel is to dream while awake, then express the dream to the reader in an absorbing way. The road leading from the writer's inner world to the readers' is paved with prose.
Leon Redbone|This was an important part of my life. But it was also sad that we didn't play there, cause we had such alot of fans that were waiting for us and Brazilians are great people. It's now my second home.
Baltasar Gracián|Though such authority and respect shouldn't be handed to all and sundry, have in caution's innermost room a confidant, a faithful mirror, whose correction you value when disillusionment is necessary.
Tom Brady|It took being famous to make me cool, which, by the way, I never forgot.
Jane Austen|And pictures of perfection, as you know, make me sick and wicked.
Ice Cube|The addiction to sports, therefore, in a peculiar degree marks an arrested development in man's moral nature.
Barbara De Angelis|Regardless of your marital status, your age, or the language you speak, you are a beloved spirit daughter of Heavenly Father who is destined to play a critical part in the onward movement of the gospel kingdom.
Phyllis Theroux, The Journal Keeper: A Memoir|There were times, in the beginning, when I used my journal as a wailing wall, but I learned not to immortalize the darkness. Rereading it was counterproductive. What I needed was a place in which to collect the light.
Dauglas Dauglas, Roses in the Rainbow|He certainly is very charming, but he makes me feel slightly ill at ease—almost as if I were a woman manquée, if there could be such a thing—you know, something lacking in me.""Oh, well, that's hardly his fault.""No," Dulcie agreed. "Mine, of course.
Neil Simon|New York loves expanse. It grows upward and spreads its tentacles outward, the island spilling into adjoining lands through its many bridges and tunnels. A person given to idleness, as Parvis has come to think of himself, must move about for the sake of moving, if only to fit into the general scheme of things - an electron obeying the current. Tantamount to movement, he has come to realize, is self-reliance, a fact reflected in the language: "Take care," a friend may say to another as the two part. In his old life the same two friends would have said to one another, khodahfez - "may God protect you.
Billy Collins|When I was a young man, I understood that poetry was two things - it was difficult to understand, but you could understand that the poet was miserable. So for a while there, I wrote poems that were hard to understand, even by me, but gave off whiffs of misery.
Cucuk Espe|I long fora little life,an everyday life,a splash of sunlightthrough a windowa smile from a stranger -a heart to hold in mine.
Bill Nye|In my writing I am acting as a map maker, an explorer of psychic areas, a cosmonaut of inner space, and I see no point in exploring areas that have already been thoroughly surveyed.
Elizabeth von Arnim, The Enchanted April|Gen. Matthew Ridgeway "intended not to impose his will on his men, but to allow the men under him to find something in themselves that would make them more confident, more purposeful fighting men. It was their confidence in themselves that would make them fight well, he believed, not so much their belief in him. His job was to keep them to find that quality in themselves.
Mary Wollstonecraft Shelley, Frankenstein|It was unearthly, and the men were--No, they were not inhuman. Well, you know, that was the worst of it--this suspicion of their not being inhuman. It would come slowly to one. They howled, and leaped, and spun, and made horrid faces; but what thrilled you was just the thought of their humanity--like yours--the thought of your remote kinship with this wild and passionate uproar. Ugly. Yes, it was ugly enough; but if you were man enough you would admit to yourself that there was in you just the faintest trace of a response to the terrible frankness of that noise, a dim suspicion of there being a meaning in it which you--you so remote from the night of first ages--could comprehend.And why not? The mind of man is capable of anything--because everything is in it, all the past as well as all the future. What was there after all? Joy, fear, sorrow, devotion, valor, rage--who can tell?--but truth--truth stripped of its cloak of time.Let the fool gape and shudder--the man knows, and can look on without a wink.But he must at least be as much of a man as these on the shore. He must meet that truth with his own true stuff--with his own inborn strength.Principles? Principles won't do. Acquisitions, clothes, pretty rags--rags that would fly off at the first good shake. No; you want a deliberate belief. An appeal to me in this fiendish row--is there? Very well; I hear; I admit, but I have a voice too, and for good or evil mine is the speech that cannot be silenced. Of course, a fool, what with sheer fright and fine sentiments, is always safe. Who's that grunting? You wonder I didn't go ashore for a howl and a dance?Well, no--I didn't. Fine sentiments, you say? Fine sentiments, be hanged! I had no time. I had to mess about with white-lead and strips of woolen blanket helping to put bandages on those leaky steam-pipes--I tell you.
Walter Lippmann, Public Opinion|It is doubtful whether a supreme master of style could pack all the elements of truth that complete justice would demand into a hundred word account of what had happened in Korea during the course of several months. For language is by no means a perfect vehicle of meanings. Words, like currency, are turned over and over again, to evoke one set of images to-day, another to-morrow. There is no certainty whatever that the same word will call out exactly the same idea in the reader's mind as it did in the reporter's. Theoretically, if each fact and each relation had a name that was unique, and if everyone had agreed on the names, it would be possible to communicate without misunderstanding. In the exact sciences there is an approach to this ideal, and that is part of the reason why of all forms of world-wide cooperation, scientific inquiry is the most effective.
Henry Wadsworth Longfellow, The Complete Poems of Henry Wadsworth Longfellow|It is the mystery of the unknownThat fascinates us; we are children stillWayward and wistful; with one hand we clingTo the familiar things we call our own,And with the other, resolute of will,Grope in the dark for what the day will bring
Patricia MacLachlan, All the Places to Love|Where else," I will say, "does an old turtle crossing the path Make all the difference in the world?
Ice Cube|From my point of view, I always want to fight until the end of my last chance.
Dave Chappelle|That is where the power, opportunity, and choice come from-when you have money. Money equals opportunity. There is no question.
James A. Murphy, The Waves of Life Quotes and Daily Meditations|Mina’s mouth dropped open, and he bent his head as if to kiss her. She jammed her gun barrel under his chin. He grinned.
Gisele Bundchen|A lasting marriage, they say, is one where the two reach for different sections of the Sunday paper. Me, I go right for the obituaries, just like those very elderly characters in Muriel Spark's spooky novel, 'Memento Mori.'
Alexander McCall Smith, The Full Cupboard of Life|Mr Mandela, who had given his whole life for justice and had never once thought of himself. How unlike these people were modern politicians, who thought only of power and tricks.
Miguel de Cervantes|When death has you by the throat, you don't mince words.
Crystal Woods, Write like no one is reading|It still hurts," she whispered. "Even when you're doing it for someone else, that doesn't stop your ribs from getting cracked, or your wrist swelling, or your cuts from bleeding.
Terry Pratchett, Pyramids|It was said that life was cheap in Ankh-Morpork. This was of course, completely wrong. Life was often very expensive; you could get death for free.
Oliver Sacks, Musicophilia: Tales of Music and the Brain|There is certainly a universal and unconscious propensity to impose a rhythm even when one hears a series of identical sounds at constant intervals... We tend to hear the sound of a digital clock, for example, as "tick-tock, tick-tock" - even though it is actually "tick tick, tick tick.
Gerard Manley Hopkins|Where lies your landmark, seamark, or soul's star?
Amanda Maxlyn, What's Left of Me|I’m not scared of death, Dad,” I told him. “I’m scared of not living. I don’t want to die with any regrets that I didn’t get to do the things in life that I’ve always wanted.
Charles Lindbergh|I don't see any kind of mirror of power, male power, that is, as a form of liberation. I don't believe in an eye for an eye. I don't believe this is truly freedom.
Carrie Jones, Need|Control people's sexuality and you control them. After all, if people allow you to dictate how they behave in the privacy of their own bedrooms, there is very little that they will not allow you to control.
Neil Gaiman, The Graveyard Book|But between now and then, there was Life; and Bod walked into it with his eyes and his heart wide open.
Lee Daniels|I'm in a great place because I trust people behind the camera as I go off, and I still go back to my day job and do film.
Nikki Rowe|I felt you before I knew of your existence, maybe it was a hint from the universe to continue on the yellow brick road, so when I would find you along my travels I would simply just know.
Carine Roitfeld|I think the people who experienced the Apollo missions came away from that experience wondering to themselves, 'When can we get a chance to experience spaceflight?' I've heard that many, many times: that people got into a new career field hoping that they would be able to experience spaceflight.
David Wroblewski, The Story of Edgar Sawtelle|Just when normal life felt almost possible--when the world held some kind of order, meaning, even loveliness (prismatic spray of light through an icicle; the stillness of a sunrise), some small thing would go awry and the veil of optimism was torn away, the barren world revealed. They learned, somehow, to wait those times out. There was no cure, no answer, no reparation.
Patricia Schroeder|Femininity is depicted as weakness, the sapping of strength, yet masculinity is so fragile that apparently even the slightest brush with the feminine destroys it.
Ada Calhoun, Wedding Toasts I'll Never Give|(Personally, I have avoided many fights by going to bed angry and waking up to realize that I'd just been tired.)
Ludwig Wittgenstein|I don't know why we are here, but I'm pretty sure that it is not in order to enjoy ourselves.
Yiyun Li|I have always been quite good at falling in love, but I don’t pretend to know anything about literal happily ever afters. 
John Wilkes Booth, Right or Wrong, God Judge Me: THE WRITINGS OF JOHN WILKES BOOTH|I think I have done well, though I am abandoned, with the curse of Cain upon me.
Anton Szandor LaVey, The Satanic Bible|I do believe in hell as a state of being or consciousness, and I believe that people can dwell in hell and that many do, right now, today, on this earth before rather than after death. I will argue ... that hell is the most erroneous, oudated, misunderstood, and misguided dogma in all of Christianity, and the one that must be discarded if this spiritual tradition is to survive as anything more than a contemptable curiosity.
Elizabeth Gilbert, Eat, Pray, Love|If you really want to get to know someone, you have to divorce him.
Tegan Quin|On day one of the drive, I saw my first dome sky. The world was so flat that I could see the level horizon all around me and the sky looked like a dome. Skies like that will give you perspective when nothing else will. The second day, a tumbleweed blew across the interstate. I’m in a western movie, I said to myself, laughing. I found it so much easier to laugh now that this weight had been lifted from my shoulders.
Abdulazeez Henry Musa|If you want to reach the summit , you gotta take the hard path
Ralph Waldo Emerson, Emerson's Essays|Though we travel the world over to find the beautiful, we must carry it with us, or we find it not.
Marcel Proust, Swann's Way|... she had uttered these words simply in order to provoke a reply in certain other words, which she seemed, indeed, to wish to hear spoken, but, from prudence, would let her friend be the first to speak.
Bohumil Hrabal|You are responsible for your own life and what happens in it, so are the other people.
Frank Wanderer|By assembling the mosaic image of our own mosaic of “truth” (our own version of the “truth”) from our accumulated knowledge and through comparisons with those of others, we shall not be free and do not get closer to Truth. We have only created a beautiful (or not so beautiful) spiritual mask, and behind it the Ego grins at us and the world created by itself.
Michael Tanner, Twilight of the Idols/The Anti-Christ|If you are dissatisfied with what you have,Then you will never be satisfied with what you have.
Rob Riemen, Nobility of Spirit: A Forgotten Ideal|Every poet knows that the gift of the gods is not fire but language. “Man dwells poetically on this earth,” Hölderin wrote. Language is the essence of being human. We can think, thanks to language, for thought exists only by the grace of words. Our experiences and emotions are molded by language. It is language that allows us to name and know the world. We ourselves are known by language, through prayer, confession, poetry. Language gives us a world that reaches beyond the reality of the moment, to a past (there was…) and a future (there shall be…). It is through language that eternity has a space and that the dead continue to speak: “Defunctus adhuc loquitur” (Hebrews 11:4). Thanks to language, there is meaning, there is truth.
Craig D. Lounsbrough|The hallmark of great dreams is not their possibility but their impossibility, and the fact that it is the very notion of the ‘impossible’ that inspires us to go and accomplish them anyway.
Hermann Hesse, Narcissus and Goldmund|Where do we find happiness? Unfortunately, the common belief with most people is that happiness is something that happens to them when conditions are just right rather than something that happens through them when they choose to make space for it. While outer conditions may stimulate the feeling of happiness, it can never come from anywhere other than within us. Authentic happiness isn't something we can go out and get, buy, borrow, or steal. Nor can any form of artificial sensory stimulus generate true happiness; it's only something we can be, and it's a choice we make with every breath we take.
Lori Stanley Roeleveld|Nothing is quite as beautiful as seeing someone do exactly what they were designed to do, to watch someone who has found that thing, that passion, that singular calling and expresses it with conviction.
Rose Leslie|I truly loved being pregnant and feeling what was going on inside my body and watching it change. It's difficult to recoup, but still amazing nonetheless. I would have another one.
Michael Chabon, Manhood for Amateurs|One of the fundamental axioms of masculine self-regard is that the tools and appurtenances of a man's life must be containable within the pockets of his jacket and pants. Wallet, keys, gum, show or ball game tickets, Kleenex, condoms, cell phone, maybe a lighter and a pack of cigarettes: Just cram it all in there, motherfucker.
Louise Penny, Still Life|Clara shrugged and immediately knew her betrayal of Peter. In one easy movement she'd distanced herself from his bad behavior, even thought she herself was responsible for it. Just before everyone had arrived, she'd told Peter about her adventure with Gamache. Animated and excited she'd gabbled on about her box and the woods and the exhilarating climb up the ladder to the blind. But her wall of words hid from her a growing quietude. She failed to notice his silence, his distance, until it was too late and he'd retreated all the way to his icy island. She hated that place. From it he stood and stared, judged, and lobbed shards of sarcasm.'You and your hero solve Jane's death?''I thought you'd be pleased,' she half lied. She actually hadn't thought at all, and if she had, she probably could have predicted his reaction. But since he was comfortably on his Inuk island, she'd retreat to hers, equipped with righteous indignation and warmed by moral certitude. She threw great logs of 'I'm right, you're an unfeeling bastard' onto the fire and felt secure and comforted.
Laure Eve, Fearsome Dreamer|Referring to Jumper the spider, who needs to hide himself in human form, and he's learning to act like a human."I'm sure I can learn to walk faster than that," he said desperately."But you'll also need to learn the nuances of human behavior. Such as not going around naked.""What's wrong with being natural?" he demanded."Humans aren't natural. They are girt about by all manner of conventions. It will take time for you to catch up with them all.
Brian McGreevy, Hemlock Grove|I'm not rich as Bill Gates neither I'm famous as Tom Cruise, But trust me I am happier than all of them.
Katie MacAlister, A Midsummer Night's Romp|I'm sure nothing more exciting will happen beyond finding some Roman ruins beneath the pasture," Gunner predicted, an excellent example of why he would never be called psychic in any understanding of the word.
Candace Knoebel, Embracing the Flames|I’m only going say this—love is a wild creature that cannotbe tamed. It’s unconditional. And although it sometimes makes youfeel like one small person against this big old world, you must rememberyou are the world to one particular person. - Astral
Switchfoot|I find peace when I'm confused, I find hope when I'm let down, not in me but in you.
Marcel Proust, Days of Reading|On no days of our childhood did we live so fully perhaps as those we thought we had left behind without living them, those that we spent with a favourite book.
Jonathan Haidt, The Righteous Mind: Why Good People are Divided by Politics and Religion|I'm an atheist, and I don't have any belief in an afterlife. You could say that I'm resigned to the fact that this wonderful life that we get here is it. And having hit 60, it's a good time to get resigned to these things and not be too nervous or upset - and enjoy what great times one can have.
Robert Farrar Capon, The Supper of the Lamb: A Culinary Reflection|You will be very visible in the company photo, also the website and any other marketing materials. There's no way to avoid it. The photo will only be scheduled when you are in the office, so don't try pretending to be sick. They'll wait for you.
Steve Maraboli, Life, the Truth, and Being Free|Success is something you experience when you act accordingly. Success is not something you have, it's something you do.
Cecil Baldwin|Lynn said, "The blue of the sky is one of the most special colors in the world, because the color is deep but see-through both at the same time. What did I just say?""The sky is special.""The ocean is like that too, and people's eyes."She turned her head toward me and waited. I said, "The ocean and people's eyes are special too."That's how I learned about eyes, sky, and ocean: the three special, deep, colored, see-through things. I turned to Lynnie. Her eyes were deep and black, like mine.
Peter   Marshall, Demanding the Impossible: A History of Anarchism|With their concern for personal autonomy and individual freedom, anarchists more than any other socialists are aware of the inhumanity of both physical punishment and manipulative cure for anti-social members of the community. They look to reasoned argument and friendly treatment to deal with criminals and wish to respect their humanity and individuality.
Fiona Givens, The God Who Weeps: How Mormonism Makes Sense of Life|We have no way of knowing, of course, why some are born in health and affluence, while others enter broken bodies or broken homes, or emerge into a realm of war or hunger. So we cannot give definite meaning to our place in the world, or to our neighbor's. But Plato's reflections should give us pause and invite both humility and hope. Humility, because if we chose our lot in life, there is every reason to suspect merit, and not disfavor, is behind disadvantaged birth. A blighted life may have been the more courageous choice--at least it was for Plato... So how can we feel pride in our own blessedness, or condescension in another's misfortune? And Plato's reflections should give us hope, because his myth reminds us that suffering can be sanctifying, that pain is not punishment ,and that the path to virtue is fraught with opposition.
Leo Tolstoy, The Kreutzer Sonata|What is music? What does it do to us? And why does it do to us what it does? People say that music has an uplifting effect on the soul: what rot! It isn’t true. It’s true that it has an effect, it has a terrible effect on me, at any rate, but it has nothing to do with any uplifting of the soul. Its effect on the soul is neither uplifting nor degrading — it merely irritates me.
Melissa Marr, Darkest Mercy|Catch me, Seth," she invited.He paused."Faeries chase," he said, an then , with a flirtatious smile, he turned away, but before he could take a second step, she was behind him, arms around him, lips pressed against his neck."I seem caught," he murmured.The Summer Queen whispered, "Me too."And They fell together in a bed of flowers that now covered the floor
Josiah Bancroft, Arm of the Sphinx|We are, each of us, a multitude. I am not the man I was this morning, nor the man of yesterday. I am a throng of myself queued through time. We are, gentle reader, each a crowd within a crowd.
Lance Morrow|This stammer got me a home in Beverly Hills, and I'm not about to screw with it now.
Christopher Marlowe, Dr. Faustus|Each of us is the real star. We all are so close but still so far i this sky called ground. We all shine, though the light the others see is the one that our actions left in the past.
Brandon Sanderson, Alcatraz Versus the Evil Librarians|The ending of a book is, in my experience, both the best and worst part to read. For the ending will often determine whether you love or hate the book.Both emotions lead to disappointment. If the ending was good, and the book was worth your time, then you are left annoyed and depressed because there is no more book to read. However, if the ending was bad, then it's too late to stop reading. You're left annoyed and depressed because you wasted so much time on a book with a bad ending.Therefore, reading is obviously worthless, and you should go spend your time on other, more valuable pursuits.
Maya Angelou|It is our responsibility to explain to the public how an often unpredictable system of justice is one that serves a productive, civilized, but always evolving, society.
Eric Vance Walton|f you don't think outside of the box, you may just get stuck inside of a cubicle.
H. Jackson Brown, Jr.|It's good to test yourself and develop your talents and ambitions as fully as you can and achieve greater success; but I think success is the feeling you get from a job well done, and the key thing is to do the work.
Fyodor Dostoyevsky|Now life is given in exchange for pain and fear, and that's the basis of the whole deception. Now man is still not what he should be. There will e a new man, happy and proud. Whoever doesn't care whether he lives or doesn't live, he himself will be God. And that other God will no longer be.''So, that other God does exist, in your opinion?''He doesn't exist, but he does exist. In the stone there' no pain, but in the fear of the stone there is pain. God is the pain of the fear of death. Whoever conquers pain and fear will himself become God.
Anthony de Mello|Awareness requires living in the here and now, and not in the elsewhere, the past or the future.
Peter Gould, Write Naked|Upon hearing the news I felt completely emptied. Emptied of life, feeling, and hope. I felt as if my very soul had left my body.
George Orwell|As I squatted on the grass at the edge of the woods, the pee felt hot between my legs. I watched in puddle in the dirt, the smell of it rising into the night. There was no difference between my piss and June's. That's what i thought when I looked at the dark circle on the ground. Piss is Piss.
Victor Hugo, Les Misérables|On coming out of the chapel, a well can be seen on the left. There are two in this yard. You ask, Why is there no bucket and no pulley to this one? Because no water is drawn from it now. Why is no more water drawn from it? Because it is full of skeletons.
Haruki Murakami|The very thought of such people’s intolerant worldview, their inflated sense of self superiority, and their callous imposition of their own beliefs on others was enough to fill her with rage.
Wentworth Miller|What Romantic terminology called genius or talent or inspiration is nothing other than finding the right road empirically, following one's nose, taking shortcuts.
|You would never know what you are truly capable of achieving, until you stop settling for what is easy.
Judy Balan|So, to sum up my room-clearing generalizations, men are in comedy to break rules.
Elizabeth Spencer, This Crooked Way|His house to me was a child was a heart of happiness. If there is a wonder childhood possesses which makes it forever superior to what shall come after, it is the happy and uncritical love of whatever is happy, place or person, it does not matter which.
Cherie Priest, Boneshaker|... we have created a man with not one brain but two. ... This new brain is intended to control the biological brain. ... The patient's biological brain is the peripheral terminal -- the only peripheral terminal -- for the new computer. ... And therefore the patient's biological brain, indeed his whole body, has become a terminal for the new computer. We have created a man who is one single, large, complex computer terminal. The patient is a read-out device for the new computer, and is helpless to control the readout as a TV screen is helpless to control the information presented on it.
Paulo Coelho, The Alchemist|The boy continued to listen to his heart as they crossed the desert. He came to understand its dodges and tricks, and to accept it as it was. He lost his fear, and forgot about his need to go back to the oasis, because, one afternoon, his heart told him that it was happy. "Even though I complain sometimes," it said, "it's because I'm the heart of a person, and people's hearts are that way. People are afraid to pursue their most important dreams, because they feel that they don't deserve them, or that they'll be unable to achieve them. We, their hearts, become fearful just thinking of loved ones who go away forever, or of moments that could have been good but weren't, or of treasures that might have been found but were forever hidden in the sands. Because, when these things happen, we suffer terribly.
Piet Hein|Free will," she agreed, "our greatest gift, the thing that makes life worth living, in spite of all the anguish it brings.
Leigh Bardugo, Siege and Storm|The ox feels the yoke, but does the bird feel the weight of its wings?
Lisa Kleypas, Mine Till Midnight|You may choose to live like a miser,” Leo said, “but I’ll be damned if I have to. You’re incapable of enjoying the moment because you’re always intent on tomorrow. Well, for some people, tomorrow never come
Sarah J. Maas|you cannot wait for the change. You have to be the change".
Thomas Merton, Contemplative Prayer|Hence the aim of meditation, in the context of Christian faith, is not to arrive at an objective and apparently 'scientific' knowledge of God, but to come to know him through the realization that our very being is penetrated with his knowledge and love for us. Our knowledge of God is paradoxically a knowledge not of him as the object of our scrutiny, but of ourselves as utterly dependent on his saving and merciful knowledge of us. It is in proportion as we are known to him that we find our real being and identity in Christ. We know him and through ourselves in so far as his truth is the source of our being and his merciful love is the very heart of our life and existence. We have no other reason for being, except to be loved by him as our Creator and Redeemer, and to love him in return. There is no true knowledge of God that does not imply a profound grasp and an intimate personal acceptance of this profound relationship.
Victoria Osteen|I have a long-standing relationship with Autism Speaks. I've been supporting them for many, many years now.
Charles Taylor, Multiculturalism|We define our identity always in dialogue with, sometimes in struggle against, the things our significant others want to see in us. Even after we outgrow some of these others—our parents, for instance—and they disappear from our lives, the conversation with them continues within us as long as we live.
Sherri Rifkin, LoveHampton|Stop making a relationship about what you get and start making it about what you give, for what you give is what you'll get in return.
Bill Buford|I’d very much like to ‘conclude' something from this experiment. Or that it should raise a question in my mind, and a commitment to get to the bottom of the matter, to investigate, to come up with an outline of the beginning of an answer, however ill-defined or trite it might be . . . But no. I’m here to see, hear, observe - to experience. Let others explain.
Chris Prentiss, The Alcoholism and Addiction Cure|The advertise their products in such a fashion as to make it seem wonderful to drink their ethanol products. It does not matter if they give their products fancy name like Cabernet Sauvignon or Pinot Noir, or if they put bubbles in an ethanol product and call it champagne or beer- everyone is selling ethanol.
Paul Davies|As long as men are free to ask what they must, free to say what they think, free to think what they will, freedom can never be lost and science can never regress.
Eleventh Doctor|I am, and always will be, the optimist. The hoper of far-flung hopes, and the dreamer of improbable dreams.
Jessica Sorensen, Ember X|Asher taps his fingers on his lips and I catch Amy licking her own as she eyes his mouth. "What exactly are Rocky Mountain Oysters?" he asks her.I restrain a laugh as Amy's face twists in confusion."Well...I think they're kind of meat. I'm not sure what kind, but I like them." She presses the end of the pen against her chin.I shake my head at Asher. "You don't want those. Trust me.
Gregory Maguire, Out of Oz|O beautiful, to make escapeAnd leave this world behind.Had I to stay another dayI'd lose my fucking mind!
Ludwig von Mises, The Theory of Money and Credit|All that the State need do, and can do, in order to preserve the monetary system undisturbed, is to refrain from such intervention. That is the essence of the monetary theory of the classical economists and their immediate successors, the Currency School. It is possible to refine and amplify this doctrine with the aid of the modern subjective theory; but it is impossible to overthrow it, and impossible to put anything else in its place. Those who are able to forget it only show that they are unable to think as economists.
Stephenie Meyer, New Moon|The bond forged between us was not one that could be broken by absence, distance, or time. And no matter how much more special or beautiful or brilliant or perfect than me he might be, he was as irreversibly altered as I was. As I would always belong to him, so would he always be mine.
Bhagat Singh, The Jail Notebook And Other Writings|The aim of life is no more to control the mind, but to develop it harmoniously; not to achieve salvation here after, but to make the best use of it here below; and not to realise truth, beauty and good only in contemplation, but also in the actual experience of daily life; social progress depends not upon the ennoblement of the few but on the enrichment of democracy; universal brotherhood can be achieved only when there is an equality of opportunity - of opportunity in the social, political and individual life.— from Bhagat Singh's prison diary, p. 124
Warwick Davis|In our own state, we came up with, I think, what was a very novel approach to closing the gap on the uninsured. To harmonize medical records - which was a major step in getting costs out of the system.
Marilyn Manson|If I had been at an assembly line for films, I don't know if I would be the best driver. I think I would have crashed the car.
Aaron Sorkin|When I was 18, I thought that, to be a romantic, you couldn't live past 30.
Colleen McCullough|The borders of man, defined by politics, war, and faith - all three manifestations of delusion - meant even more to gods.
Miguel de Cervantes|The stars shall fade away, the sun himself Grow dim with age, and nature sink in years, But thou shalt flourish in immortal youth, Unhurt amidst the wars of elements, The wrecks of matter, and the crush of worlds.
Rachel  Harris, Accidentally Married on Purpose|So let me get this straight. You have no hobbies. You don't care what this woman looks like as long as she can "doll herself up" and entertain herself and pop out a few babies for you?"His gray eyes gave away nothing, but she again had the sneaking suspicion that he was testing her."That sounds about right.
Terry Eagleton, Walter Benjamin or Towards a Revolutionary Criticism|You are as prone to love, as the sun is to shine.
Bryant McGill, Voice of Reason|We must plant trees, grow gardens instead of lawns, ride bicycles when we can and support responsible local businesses over big brands.
Marilyn Vos Savant|In my opinion, defining intelligence is much like defining beauty, and I don’t mean that it’s in the eye of the beholder. To illustrate, let’s say that you are the only beholder, and your word is final. Would you be able to choose the 1000 most beautiful women in the country? And if that sounds impossible, consider this: Say you’re now looking at your picks. Could you compare them to each other and say which one is more beautiful? For example, who is more beautiful— Katie Holmes or Angelina Jolie? How about Angelina Jolie or Catherine Zeta-Jones? I think intelligence is like this. So many factors are involved that attempts to measure it are useless. Not that IQ tests are useless. Far from it. Good tests work: They measure a variety of mental abilities, and the best tests do it well. But they don’t measure intelligence itself.
Plato|I would teach children music, physics, and philosophy; but most importantly music, for the patterns in music and all the arts are the keys to learning
Anonymous|When you study God’s Word and incorporate His wisdom and principles into your daily life, your whole perspective will change.
Henri Bergson, Matter and Memory|The pure present is an ungraspable advance of the past devouring the future. In truth, all sensation is already memory.
Stephenie Meyer|Tavi spent an eternity in misery, longing for death to bring sweet release from the unrelenting torment. The others gathered at the side of his bunk on the ship, keeping a deathwatch over him."I don't see what all the drama is about," Demos said, his quiet voice filled with habitual disinterst. "He's seasick. It will pass."~Captain's Fury
John Sculley|There's good movies and there's bad movies. The genres are never dead, it's just about how to apply them and articulate them and execute them - the story, the quality of the writing, the acting, the design elements, the directorial execution - all these things make it what it is.
James Hong|I got into university to study graphic design, and I got into drama school as well, so I had the choice whether I wanted to go down the sensible route or if I wanted to become an actor.
Sara Raasch, Ice Like Fire|It was a black and white day of frost, which crawled along the dark trees and outlined twig and branch. The air was misty, and distant objects assumed a mysterious importance. Slight sounds, too, suggested infinite activities to the mind.("A Tribute Of Souls")
Marlon Amparo|There was once a man who went on a journey to correct his regrets, He tried everything he could. At the end of his journey he realized that no matter how hard he tries, the door of miracles will never opened for him. That is why he thought, instead of regretting about the past what's more important now is to change the present for the future.
Rick Riordan, The Mark of Athena|Exquisitely painful, isn't it? Not being sure who you love and who loves you.
Charles Baudelaire|To be away from home and yet find oneself everywhere at home; to see the world, to be at the centre of the world, and yet remain hidden from the world.
Akansh Malik|Thoughts control your feelings, and people around you control your thoughts.
Sawyer Bennett, Off Course|You’re an assignment, not an assignation. Soon as I get your pretty boy ass through the Wilderness and deliver you to the Outpost, you’re no more than a stain to spit-shine off my boots.
Christopher Isherwood, Prater Violet|I had failed him; I knew it. But I could do no more. It was beyond my strength.That night, I think, he explored the uttermost depths of his loneliness.
Steve Goodier|Still the voices of your critics. Listen intently to your own voice, to the person who knows you best. Then answer these questions: Do you think you should move ahead? How will you feel if you quit pursuing this thing you want to do? And what does your best self advise? What you hear may change your life.
Walt Mossberg|I've been watching 'Walking Dead' with my son, and there is absolutely nothing in there I find shocking, but it's cool, and I like it.
Bonnie Raitt|For me, whenever I would see a lot of 'black films,' I didn't feel represented in it. I didn't feel connected to the characters or the situations or the humor.
John Daniel Thieme, paulinskill hours and other poems|. . .though the names of lovers are forgotten in time, their nameswritten across the sky as ogham threads are tracedbetween the stars
Lauren Kate, Fallen|Helen, you would just have to sit still, close your eyes and think of me, and I would turn the universe inside out to find you. I would go anywhere and fight anything to get to you—witches, dragons, and even pirates. If I have to pass through a hundred lifetimes, I will do it to find you. I may be an old man and you may be an old woman. You may not even recognize me by the time it happens, but you will know and I will know, because nothing can separate us. We will always be together. I promise you. Now stop worrying.
