Tom Hanks|If you're funny, if there's something that makes you laugh, then every day's going to be okay.
Daniel Kahneman, Thinking, Fast and Slow|If you care about being thought credible and intelligent, do not use complex language where simpler language will do. My Princeton colleague Danny Oppenheimer refuted a myth prevalent among undergraduates about the vocabulary that professors find most impressive. In an article titled "Consequences of Erudite Vernacular Utilized Irrespective of Necessity: Problems with Using Long Words Needlessly," he showed that couching familiar ideas in pretentious language is taken as a sign of poor intelligence and low credibility.
Kristen Reed, Out of the Garden|The first sight I beheld when I first awakened was a pair of eyes filled with pure adoration and a joyful grin that shone more brightly than the afternoon sun. Though he hadn’t spoken a single word, I knew exactly who he was. He was my creator … my Lord … my God.
Lidiya K., This Moment|Often we suffer because we don’t realize what’s essential.We may want to be rich, but the rich are lonely.We see all those people on TV that have won the lottery and want to be at their place, but studies show that they are even more miserable after having won the big check. They don’t really know what to do with all that money, take poor decisions on how to spend them, change themselves and their friends don’t see them in the same way.
Pythagoras|You can talk about teamwork on a baseball team, but I'll tell you, it takes teamwork when you have 2,900 men stationed on the U.S.S. Alabama in the South Pacific.
Ringo Starr|Peace and love, peace and love!
Stefan H. Verstappen, Chinese Business Etiquette: The Practical Pocket Guide|In Chinese business culture, humility is a virtue.
Craig Venter|There's so many interesting aspects of making a movie: the costume department, the set design, the casting itself, the locations.
Neil Gaiman, American Gods|If I tell you something Leah, can you keep a secret?" Conor pressed a callused finger across a petroglyph of a deer like a blind man etching memory into his brain.
Michael Bassey Johnson|No state, no government exists. What does in fact exist is a man, or a few men, in power over many men.
Phil Hewitt, Keep on Running: The Highs and Lows of a Marathon Addict|Success breeds success on a marathon route. If you can prove to yourself that you are doing well, then invariably you will do even better.
Dark Jar Tin Zoo, Love Quotes for the Ages. Specifically Ages 19-91.|Making love to me is amazing. Wait, I meant: making love, to me, is amazing. The absence of two little commas nearly transformed me into a sex god. 
Oscar Wilde|, I believe in some type of free market system. I just don’t think you’ll find an example of one completely free from government intervention.
J.M. Coetzee, Waiting for the Barbarians|I had the same sensation as when we watch someone sleep. When asleep we all become children again. Perhaps because in the state of slumber we can do no wrong and are unconscious of life, the greatest criminal and most self- absorbed egotist are holy, by a natural magic, as long as they're sleeping. For me there's no discernible difference between killing a child and killing a sleeping man.
Kenneth Roberts, Oliver Wiswell|People don't want the truth,' he says, waving a hand at the streets around us. 'They want better-quality lies. High definition lies on fifty-inch screens.
Robert Kirkman, The Walking Dead, Vol. 26: Call to Arms|I had to have company -- I was made for it, I think -- so I made friends with the animals. They are just charming, and they have the kindest disposition and the politest ways; they never look sour, they never let you feel that you are intruding, they smile at you and wag their tail, if they've got one, and they are always ready for a romp or an excursion or anything you want to propose.
Fyodor Dostoevsky|I never thought I was particularly good looking. But when I see old photographs, I realise that I was. I do wish I had known that at the time because beauty is power. I didn't realise how lucky I was to be young, beautiful and in Hollywood. It didn't hit me. Every day I woke up, went to the film studio and just got on with it.
Tennessee Williams, A Streetcar Named Desire|The franchise and the virus work on the same principle, what thrives in one place will thrive in another. You just have to find a sufficiently virulent business plan, condense it into a three-ring binder ― its DNA ― Xerox it, and embed it in the fertile line of a well-traveled highway, preferably one with a left turn lane. Then the growth will expand until it runs up against its property lines.
Jussi Adler-Olsen, The Absent One|Young Bride had a scratch on her neck from the knife, but no other external injuries. It seemed she was killed by the shock the drunks gave her.After sixty-odd years, reliving the trauma of that fateful night was too much to bear.There was no funeral procession. She was buried on the unlucky hill on the outskirts of the village.The crickets, however, remained around her shack and continued to sing until the first snow fell.
Magnus Nwagu Amudi|Though I’ve never met a teacher who was not happy in retirement, I rarely meet one who thinks that their teaching life was not a grand way to spend a human life. The unhappy ones are the young ones, those who must teach in public schools when the whole nation seems at war with the very essence of teaching.
Gene Simmons|I've learned that being a superhero isn't all glitz and glamour. We think if we have a special power, our problem will go away. It's just a new set of problems. Being a superhero alienates you and separates you from humanity. As Spiderman famously said, 'With great power comes great responsibility.'
Libba Bray|Uh…I’ve seen you around here a couple of times,” he said again, staring at the book I held. “‘I had come face to face with some one whose mere personality was so fascinating that, if I allowed it to do so, it would absorb my whole nature, my whole soul, my very art itself.’”I stared. “What?”His lopsided grin spread into a full one, and it felt like someone had socked me in the chest. “It’s a quote from Oscar Wilde’s Dorian Gray. It’s one of my favorite books.”Hot and smart. And apparently he was a real-life boy.
Pooja Ruprell|The instant you take the lead in the tug-of-war with your ego, enlightenment becomes your state of being.
A. P. J. Abdul Kalam|Biology - DNA - is technology. It is coding. It is physical coding, but still code.
Umberto Eco, On Literature|Has it ever happened to you," Léon went on, "to come across some vague idea of one's own in a book, some dim image that comes to you from afar, and as the completest expression of your own slightest sentiment?
Clive Standen|I trust in God, and His ways are not our ways. So we have to go with that, and there's nothing I can do about that.
Gina Greenlee, Postcards and Pearls: Life Lessons from Solo Moments on the Road|Take time for yourself. If you feel guilty eating lunch away from yourdesk or lingering in a bath, let the deprogramming begin.
litymunshi|One straight lineHeart beats stopsUp and down ,lifemoves on.Strange!©litymunshi
Fakeer Ishavardas|There’s no such thing as fiction or imagination, as they’re merely non-fiction manifestations in the wrong parallel universe.
Malcolm Arnold|I see dance being used as communication between body and soul, to express what it too deep to find for words.
Lena Olin|Like so many people, I only remembered Orson Welles as this huge, fat, bearded figure selling wine in TV commercials. So whenever anyone said I looked like Orson Welles I said that I wasn't that fat, and I would get on a diet, quickly.
Kylie Jenner|No woman ever hates a man for being in love with her, but many a woman hate a man for being a friend to her.
Vikrmn, Guru with Guitar|When you say “SOMEDAY I’ll Live my dreams,” that is the eighth day of the week; it never comes. Start working for your dreams TODAY.
Jamie Foxx|Until my senior year, baseball and basketball were my best sports; and even when I was a senior, I still wanted to play baseball professionally. But the family wanted me to go to college, and I guess I agreed with them, or else I would have accepted some of the offers I got.
Bubba Watson|The best thing about being a dad? Well, I think it's just the thing that every man wants - to have a son and heir.
Criss Jami|People deceive themselves, or deceive each other, that is the origin of comedy.
Matshona Dhliwayo|Skill gives you legs to jog, talent gives you legs to run, brilliance gives you legs to sprint, but genius gives you wings to fly.
Marcus du Sautoy, The Great Unknown: Seven Journeys to the Frontiers of Science|One of the most curious consequences of quantum physics is that a particle like an electron can seemingly be in more than one place at the same time until it is observed, at which point there seems to be a random choice made about where the particle is really located. Scientists currently believe that this randomness is genuine, not just caused by a lack of information. Repeat the experiment under the same conditions and you may get a different answer each time.
F. Scott Fitzgerald, The Crack-Up|There are always those to whom all self-revelation is contemptible, unless it ends with a noble thanks to the gods for the Unconquerable Soul.
David Brin, Glory Season|While I have the floor, here's a question that's been bothering me for some time. Why do so few writers of heroic or epic fantasy ever deal with the fundamental quandary of their novels . . . that so many of them take place in cultures that are rigid, hierarchical, stratified, and in essence oppressive? What is so appealing about feudalism, that so many free citizens of an educated commonwealth like ours love reading about and picturing life under hereditary 
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|When you're having what you feel like is a "bad day" and then someone comes along out of nowhere and extends to you the simplest of kind gestures, you feel it so deeply within your heart.
Eric Sennevoight, The Rocket Garden|But then with me the horrid doubt always arises whether the convictions of man's mind, which has been developed from the mind of the lower animals, are of any value or at all trustworthy.
Thomas Bernhard, Concrete|I've always had this feeling," Henry says, "that all dogs are really therapy dogs.
Shawn Michaels|Housework can't kill you, but why take a chance?
Jennifer Lynn Barnes, All In|I wish you to believe whatever you think is true, at any and every cost.
Ernest Agyemang Yeboah|A true leader is the one who leaves memorable footprints of nobility. A leader who is decisive enough and have all the guts to take bold and frank decisions regardless of the oppositions and the temporal adverse effect of such decision on the masses, knowing that in the end, the fruits of such decision will be sweeter enough to put joy on the faces of the masses and they shall remember such noble footprints and ponder in humility.
Charles Frazier, Cold Mountain|She fit her head under his chin, and he could feel her weight settle into him. He held her tight and words spilled out of him without prior composition. And this time he made no effort to clamp them off. He told her about the first time he had looked on the back of her neck as she sat in the church pew. Of the feeling that had never let go of him since. He talked to her of the great waste of years between then and now. A long time gone. And it was pointless, he said, to think how those years could have been put to better use, for he could hardly have put them to worse. There was no recovering them now. You could grieve endlessly for the loss of time and the damage done therein. For the dead, and for your own lost self. But what the wisdom of the ages says is that we do well not to grieve on and on. And those old ones knew a thing or two and had some truth to tell, Inman said, for you can grieve your heart out and in the end you are still where you are. All your grief hasn't changed a thing. What you have lost will not be returned to you. It will always be lost. You're left with only your scars to mark the void. All you can choose to do is go on or not. But if you go on, it's knowing you carry your scars with you. Nevertheless, over all those wasted years, he had held in his mind the wish to kiss her on the back of her neck, and now he had done it. There was a redemption of some kind, he believed, in such complete fulfillment of a desire so long deferred.
N.J. Paige, Code Human|He continued along the route that he had reconnoitered the morning before. And the morning before that. He needed to change his route some to see if he was actually being followed. His instincts said he was clear, but his training ordered him to make sure.
Bob Marley|I believe that God has put gifts and talents and ability on the inside of every one of us. When you develop that and you believe in yourself and you believe that you're a person of influence and a person of purpose, I believe you can rise up out of any situation.
Bangambiki Habyarimana, The Great Pearl of Wisdom|I came into marriage with love but when I got there she refused the dictatorship and fled away, I and my wife are looking for her. Anyone who finds her please contact us. We swear not to harm her again
George Orwell, 1984|My good friends, things cannot go on well in England, nor ever will until everything shall be in common, when there shall be neither vassal nor lord, and all distinctions levelled.
Donald Jeffries, Hidden History: An Exposé of Modern Crimes, Conspiracies, and Cover-Ups in American Politics|Many people begin their criticism with sincere praise followed by the word "but", which signals that the criticism is about to begin. This may make the listener questions the sincerity of the praise. Use "and" instead, and provide constructive advice rather than criticism. this is possibly the most effective ways to address an issue in written form without seeming false in your praise.
John Quincy Adams|Today, Negroes play on every big league club and in every minor league. With millions of other Negroes in other walks of life, we are willing to stand up and be counted for what we believe in. In baseball or out, we are no longer willing to wait until Judgment Day for equality - we want it here on earth as well as in Heaven.
Richard Dawkins, The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design|People talk about ‘service, effort, love, knowledge’. But with knowledge you know what love is, and what it is not.
Yanis Varoufakis, The Global Minotaur: America, the True Origins of the Financial Crisis and the Future of the World Economy|Life without a phone is riskier, lonelier, more vivid.
Frank Abagnale|When 'Catch Me If You Can' was published back in 1980, I never dreamed that it would become a bestseller, much less a major motion picture and now a big Broadway musical. What's amazing about the book is that it has never gone out of print.
Myles Horton, We Make the Road by Walking: Conversations on Education and Social Change|What these people were trying to create or re-create here in this new world is beyond me. I can't put myself in their minds or their hearts, but I can sympathize with their struggle for an identity, with their puzzlement, which has troubled Americans from the very beginning - Who are we, where do we fit in, where are we going?
Peter Cimino, The Four Corners, a Sicilian Story|So thankful, forever blessed.
Jim Butcher, White Night|That's the thing with Holy Moses: big as a house and scary as heck if you don't know him, but Charley Manson and his whole family could come parading through here and he'd give them you room key for a slice of sharp cheddar." --Ms. Fisher, The Last Stop
Kristen Ashley, Rock Chick Renegade|The natural law is an instrument for progress, not a weapon of revolution.
Pete Cashmore|There was never anything else I wanted to pursue. It was always theater, and movies are a fairly new thing.
Tom Stoppard|Real data is messy. ...It's all very noisy out there. Very hard to spot the tune. Like a piano in the next room, it's playing your song, but unfortunately it's out of whack, some of the strings are missing, and the pianist is tone deaf and drunk- I mean, the noise! Impossible! 
Richelle E. Goodrich, Eena, The Curse of Wanyaka Cave|She imagined him leaning against the shuttle, entertaining thoughts of scolding her for dressing like a ragged commoner. Never mind that her present outfit was light years ahead in comfort.(Actually, he’s wishing he had been less critical of you earlier. He feels bad that you won’t acknowledge his presence, and he blames himself.)(Quit it, Ian. I’m not going to feel sorry for him.)She caught her protector’s shrewd grin, highlighted by the fire’s glow. (You already do, Queenie.)(This talent of yours is really annoying.)He leaned close to her ear and whispered, “That’s not what you thought earlier when you wanted to get ahold of Efren.” “One tiny rosebud in a handful of thorns,” she retorted.
E.L. James, Fifty Shades Freed|Christian, you are the state lottery, the cure for cancer, and the three wishes from Aladdin's lamp all rolled into one
Katie Reus, Into the Darkness|With his supernatural vision he immediately spotted Rhea sitting near the shoreline, her legs stretched out in front of her.	Unfortunately she had on clothing. Not that he'd expected her to be naked. Still, a dragon could dream....	After shifting to his human form he let his camouflage drop and headed toward her.	Naked.	He held onto his clothes, but didn't bother to put them on as he stalked across the sand. Nudity was no big deal to shifters but normally he clothed himself in front of females in socially appropriate situations. Now, the most primal part of him wanted Rhea to see all of him.	To see what he had to offer her.
Mary Angeline Bell, Triumphs I & II|Made to observe the vastness of our world, the greater breadth and depth of stars unfurled, the mind can grasp an order and a plan and ponder the deep question, "Who is man?
Gilbert K. Chesterton|Power in politics, sovereignty in America is with we the people, and that is the path to turning this country around: empowering the people.
Samuel Johnson|Without the door let sorrow lie,And if for cold it hap to die,We'll bury 't in a Christmas pie,And evermore be merry.
Pope Benedict XVI|The crown must constantly earn citizens' appreciation, respect and trust.
Eleesha, The Soulful Pathway To Inspiration: Soulfully Inspiring You to Attain Your Goals by Utilizing the Power of Inspiration|When you walk in the company of your courage, nothing & no one - can stand in your way.
Connie Kerbs, Paths of Fear: An Anthology of Overcoming Through Courage, Inspiration, and the Miracle of Love|When the whispers of fear and doubt start screaming inside of you, turn up the volume of your courage by focusing on your faith, energizing through example, living to learn, and learning to love and be loved better.
Josh Groban|I love rings, but I can't wear them. I mean, look at my knuckles. My fingers and joints are so swollen from years of playing. That means no wedding band, either. Luckily, I have a very understanding wife.
Craig D. Lounsbrough|Words can be honed to crafted perfection by the finest wordsmiths. Yet, if we trust solely in the expanse of them to explain this God of ours or articulate our experience of Him, we will have brutally destroyed the very things we are attempting to explain. And if I should do that, no words can describe how badly I wish I had no words.
Dejan Stojanovic|Why poetry, you ask? Because of life, I answer.
Kamand Kojouri|This is a day of celebration!Today, we are divorcing the pastand marrying the present.Dance,and you will find Godin every room.Today, we are divorcing resentmentand marrying forgiveness.Sing,and God will find you in every tune.Today, we are divorcing indifferenceand marrying love.Drink, and play that tambourine against your thighs.We have so much celebrating to do!
Geraldine Brooks|[The haggadah] was made to teach, and it will continue to teach. And it might teach a lot more than just the Exodus story."What do you mean?"Well, from what you've told me, the book has survived the same human disaster over and over again. Think about it. You've got a society where people tolerate difference, like Spain in the Convivencia, and everything's humming along: creative, prosperous. Then somehow this fear, this hate, this need to demonize 'the other' -- it just sort of rears up and smashes the whole society. Inquisition, Nazis, extremist Serb nationalists... same old, same old. It seems to me that the book, at this point, bears witness to all that.
Ernest Hemingway|Think differently, BE better!
Robert M. Drake, Black Butterfly|But as I began to write this book, I realised that without the whole truth my life would have no power, no real meaning. With the help of my mother, the memories of our lives in North Korea and China cane back to me like scenes from a forgotten nightmare. Some of the images reappeared with a terrible clarity; others were hazy, or scrambled like a deck of cards spilled on the floor. The process of writing has been the process of remembering, and of trying to make sense out of those memories.
Janna Cachola|Passion is the fuel for excellence. Rest, vacation or a payrise can't make you create excellence in your work. Findbwhat makes you passionate about what you do
Harry G. Frankfurt, On Bullshit|Bullshit is unavoidable whenever circumstances require someone to talk without knowing what he is talking about. Thus the production of bullshit is stimulated whenever a person’s obligations or opportunities to speak about some topic exceed his knowledge of the facts that are relevant to that topic. This discrepancy is common in public life, where people are frequently impelled – whether by their own propensities or by the demands of others – to speak extensively about matters of which they are to some degree ignorant. Closely related instances arise from the widespread conviction that it is the responsibility of a citizen in a democracy to have opinions about everything, or at least everything that pertains to the conduct of his country’s affairs.
Christian F. Burton, Energy Dependence Day|Our Constitution’s separation of church and state never meant that religion could have nothing to do with the governing of our nation. The Founders simply intended that the United States would not have an established state religion and that no one could be sanctioned by the state for being of the wrong faith. Separation of church and state does not mean, as many people inside government believe today, that religion can never be discussed when investigating a threat or interrogating a suspect. And it definitely does not mean that a subject under surveillance as a threat to American lives cannot be recorded or otherwise monitored when he steps into a mosque. If someone is suspected of being a terrorist, it matters not whether he steps into a mosque, a church, or a temple; he is still a threat and should be treated as such.
Ray Bradbury|Into the air, over the valleys, under the stars, above a river, a pond, a road, flew Cecy. Invisible as new spring winds, fresh as the breath of clover rising from twilight fields, she flew.
Debasish Mridha|I have to learn to hear music, to see beauty, and to find joy in silence
Nikki Rowe|I stopped remembering the past and started visualising my future, the only thing left I could hold onto was hope; that the courage I have found along the way, is what will see me through.
Sally Wentworth, Summer Fire|To the goats, all people are equal, except for those who have treats.
Thomas Carlyle, On Heroes, Hero Worship and the Heroic in History|I want you to tell me about every person you’ve ever been in love with.Tell me why you loved them,then tell me why they loved you. I wanna know what you see when you look in the mirroron a day you’re feeling good.I wanna know what you see when you look in the mirroron a day you’re feeling bad.I wanna know the first person who taught you your beautycould ever be reflected on a lousy piece of glass.See, I wanna know more than what you do for a living.I wanna know how much of your life you spend just giving,and if you love yourself enough to also receive sometimes.I wanna know if you bleed sometimesfrom other people’s wounds,and if you dream sometimesthat this life is just a balloon —that if you wanted to, you could pop,but you never would‘cause you’d never want it to stop.If a tree fell in the forestand you were the only one there to hear —if its fall to the ground didn’t make a sound,would you panic in fear that you didn’t exist,or would you bask in the bliss of your nothingness?
Haile Gebrselassie|When people divorce, it's always such a tragedy. At the same time, if people stay together it can be even worse.
Evy Michaels|She had been proved right so eloquently, she had thought, that comments were unnecessary.
Orison Swett Marden|In prayer, we stand where angels bow with veiled faces. There, even there, the cherubim and seraphim adore before that selfsame throne to which our prayers ascend. And shall we come there with stunted requests and narrow, contracted faith?
Brené Brown, Rising Strong|They say there are three kinds of people in the world: those who listen to stories, those who tell them, and those who make them.
Heston Blumenthal|I'm a foodie. I enjoy it a lot, and contrary to what it looks, I eat a lot. My comfort food, of all things, would be southern soul barbecue.
Lailah Gifty Akita|Seek your higher life, the holy heavenly living.
Michael   Lewis, Moneyball: The Art of Winning an Unfair Game|A writer is a spectator, looking at everything with a highly critical eye.
― Tony "Success Activator" Dovale|A Revolutionary, High-Performance, Workplace is one where the culture is Consciously Constructive. That is EVERYONE is developed, on a daily basis, towards their full potential, to achieve exponential impacts and results, supporting People, Planet & Profits.
J.B. McGee, Mending|In Nature, things are broken with a purpose—clouds break to pour rains, rivers break to water fields, fields break to yield crops, seeds break to yield plants … so if ever you feel broken, understand that you must be part of a better and more beautiful purpose...
Sunday Adelaja|Without accepting our personality, we try to meet the requirements of the society and do everything to be accepted
Caraway Carter, Anders & Ujaruk|What truly captivated Rachael were her eyes—wide, deer-like, yet hauntingly sinister green with flecks of gold dancing in silent mirth.
Tom Zoellner, The Heartless Stone: A Journey Through the World of Diamonds, Deceit, and Desire|...Her boyfriend gives her a Mercedes, [her friends] say, 'Oh, that's nice.' But her boyfriend gives her a diamond, they say, 'Oh, he's serious.' It's not just the gift of love-it's the gift of commitment. She's not jumping up and down because she got a diamond ring but because she got a guy! There are those who say you don't need diamonds. I say they're right. Just like you don't need sex.
Larry R. Lawrence|I know he's a good baby... but the challenge is to raise him into a good boy, then a good man.
Christina Engela, Innocent Minds|You worry too much." "Because you worry not enough.
Lev Grossman, The Magicians|Language and reality are kept strictly apart—reality is tough, unyielding stuff, and it doesn’t care what you think or feel or say about it. Or it shouldn’t.
Catherynne M. Valente, Radiance|PERCIVAL: Now, who is telling the story?SEVERIN: The camera is telling the story. It's watching everything, and you can't lie to it, or it will know.PERCIVAL: My girl is so clever! No, the camera witnesses the story and records it, but it is outside the story. Like a very tiny god with one big, dark eye.... Which of [the characters] is the authority? Who controls how the story is told? And who is the audience, for whom all these wonderful things are meant?SEVERIN: They are all telling the story to me.
Tod Langley|Stories of Fantasy are nothing more than the retelling of our own triumphs and sad, sad tragedies ... Tod LangleyI have that painted on my office wall and love to stare at it.
Eric Hoffer, The Temper of Our Time|Every great cause begins as a movement, becomes a business, and eventually degenerates into a racket.
Hanif Kureishi, The Last Word|As long as man is alive, he will always deem himself to be the light of the world, and consider his enemies as the darkness. And they will be thinking like that on both sides of the front.
James Wolcott|Writing generally, it may be said that in design, roof, and general aspect, Japanese Buddhist temples are all alike. The sacred architectural idea expresses itself in nearly the same form always.
Anton Szandor LaVey, The Secret Life of a Satanist: The Authorized Biography of Anton LaVey|If a man dethrones God in his heart, Satan must ascend to His position.
Jude Deveraux, Remembrance|You'd think the very thought of a romance writer would bring a smile to people's lips. Ah, how nice. Love. Making love. Laughter. Kissing. But no, the world is upside down as far as I can see, and romances and their writers are ridiculed, hisses and generally spat upon. For what reason? One of my favorites is that women who read them might get mixed up about reality and imagine a man is going to rescue them from Life. According to this theory, women are so stupid that they can't tell a story from reality. Is anyone worried that the MEN who read spy thrillers are going to go after their neighbors with an automatic weapon? No, I don't remember anyone thinking that. Nor do I remember anyone worrying about murder mysteries or science fiction. It just seems to be dumb ol' women who might think some gorgeous, thoughtful, giving hunk is going to rescue them. Honey, if any woman thought a gorgeous hunk was going to rescue her, romance novels wouldn’t be forty percent of the publishing industry.
Lauren Oliver|I feel a flash of grief so intense it almost makes me cry out: not for what I lost, but for the chances I missed.
Colin Kaepernick|Climate change is the environmental challenge of this generation, and it is imperative that we act before it's too late.
David Plante, The Pure Lover: A Memoir of Grief|You wrote in a poem, “I love your body,” as if love was for you embodied in the senses, and yet more than the senses together, an enveloping sense itself sensuous, as if all the body made sense.
Patricia A. McKillip, Od Magic|One cannot always know what children are thinking. Children are hard to understand, especially when careful training has accustomed them to obedience, and experience has made them cautious in their conversation with their teachers. Will you not draw from this the fine maxim that one should not scold children too much, but should make them trustful, so that they will not conceal their stupidities from us?
Lionel Fisher, Celebrating Time Alone: Stories Of Splendid Solitude|Ultimately, I hoped the tiny-house guy was similar to me: a sane person without a big agenda, who simply wanted a way to make sense of the world, to create a new map with a big X in the middle labeled "Home," even if that meant shrinking his world down to the size of an area rug.
Judith Hayes|Everything bad in the Old Testament (and there's a lot) is there to point out our sin, while everything good in the Old Testament is there to point us to our Savior.
W.P. Kinsella, Shoeless Joe|I don't know how long I kept at it...I felt reasonably safe, streched out on the floor, and lay quite still.It didn't seem to be summer any more
Molly Ivins|Next time I tell you someone from Texas should not be president of the United States, please pay atten
Gideon Defoe, The Pirates! In an Adventure with Ahab|I fear it is the end for us,’ wailed Marx as the bears inched closer. ‘Is this the way you saw yourself going. Pirate Captain:‘In fact,’ said the Captain grumpily, ‘it’s pretty much the exact situation I usually try to cheer myself up with when I’m in a bit of a fix. “At least you’re not about to be eaten by bears and/or fall into a replica volcano,” I tell myself. So now I’ve got to come up with an even worse scenario, which is a nuisance.
John  Williams, Butcher's Crossing|Young people," McDonald said contemptuously. "You always think there's something to find out.""Yes, sir," Andrews said."Well, there's nothing," McDonald said. "You get born, and you nurse on lies, and you get weaned on lies, and you learn fancier lies in school. You live all your life on lies, and then maybe when you're ready to die, it comes to you — that there's nothing, nothing but yourself and what you could have done. Only you ain't done it, because the lies told you there was something else. Then you know you could of had the world, because you're the only one that knows the secret; only then it's too late. You're too old.""No," Andrews said. A vague terror crept from the darkness that surrounded them, and tightened his voice. "That's not the way it is.""You ain't learned, then," McDonald said. "You ain't learned yet. . . .
Taylor Lautner|Thankfully, while our self-righteousness reaches far, God's grace reaches farther.
Lucian Bane, Beg For Mercy|We wrap up our violent and mysterious world in a pretence of understanding. We paper over the voids in our comprehension with science or religion, and make believe that order has been imposed. And, for the most of it, the fiction works. We skim across surfaces, heedless of the depths below. Dragonflies flitting over a lake, miles deep, pursuing erratic paths to pointless ends. Until that moment when something from the cold unknown reaches up to take us.The biggest lies we save for ourselves. We play a game in which we are gods, in which we make choices, and the current follows in our wake. We pretend a separation from the wild. Pretend that a man's control runs deep, that civilization is more than a veneer, that reason will be our companion in dark places.
Renita D'Silva, Monsoon Memories|Those who have never seen a leopard under favourable conditions in his natural surroundings can have no conception of the grace of movement, and beauty of colouring, of this the most gracefuL and the most beautiful of all animales in our Indian jungles.
Agatha Christie, Postern of Fate|You don't appreciate a faithful husband when you've got one,' said Tommy.'All my friends tell me you never know with husbands,' said Tuppance.'You have the wrong kind of friends,' said Tommy.
Emily Brontë, The Complete Poems|Riches I hold in light esteem,And love I laugh to scorn,And lust of fame was but a dreamThat vanished with the morn.And if I pray, the only prayerThat moves my lips for meIs, 'Leave the heart that now I bear,And give me liberty!'Yes, as my swift days near their goal,'Tis all that I implore -In life and death, a chainless soul,With courage to endure.
Steven Weinberg|One of the great achievements of science has been, if not to make it impossible for intelligent people to be religious, then at least to make it possible for them not to be religious. We should not retreat from this accomplishment.
Jenny Han, The Summer I Turned Pretty|Moments, when lost, can't be found again. They're just gone.
Lindsay McKenna, Wind River Wrangler|He leaned over, catching her lowered gaze. “I’m the present, Darlin’.
Andrena Sawyer|Well, that's the thing, isn't it? Everyone always blames the monster--but no one ever blames the one who created it. Isn't that right?" He sneered at Moira's limp form. "Tell me, who is the monster? The creation or the creator? It has to start somewhere.
Sharon Salzberg, Real Love: The Art of Mindful Connection|With mindfulness, loving kindness, and self-compassion, we can begin to let go of our expectations about how life and those we love should be.
Roman Payne, Rooftop Soliloquy|Women writers make for rewarding (and efficient) lovers. They are clever liars to fathers and husbands; yet they never hold their tongues too long, nor keep ardent typing fingers still.
David Foster Wallace, String Theory: David Foster Wallace on Tennis|Almost anyone who loves tennis and follows the men’s tour on television has, over the last few years, had what might be termed Federer Moments. These are times, watching the young Swiss at play, when the jaw drops and eyes protrude and sounds are made that bring spouses in from other rooms to see if you’re OK.
Diane Ravitch, The Death and Life of the Great American School System: How Testing and Choice Are Undermining Education|A historian tries to understand what happened, why it happened, what was the context, who did what, and what assumptions led them to act as they did. A historian customarily displays a certain diffidence about trying to influence events, knowing that unanticipated developments often lead to unintended consequences.
Anaïs Nin|Our life is composed greatly from dreams, from the unconscious, and they must be brought into connection with action. They must be woven together. 
Sarah Todd Hammer, 5k, Ballet, and a Spinal Cord Injury|Dancing with a spinal cord injury is a challenge like no other, but I aspired to prove to myself that I could still be phenomenal dancer even with an SCI
Emily Dickinson, The Complete Poems of Emily Dickinson|Looking from outside into an open window one never sees as much as when one looks through a closed window. There is nothing more profound, more mysterious, more pregnant, more insidious, more dazzling than a window lighted by a single candle. What one can see out in the sunlight is always less interesting than what goes on behind a windowpane. In that black or luminous square life lives, life dreams, life suffers.
John Brunner, The Sheep Look Up|The killers are the people who are ruining the world to line their pockets, poisoning us, burying us under garbage!
Cathleen Margaret|The train will not find you. You must find the train, its pulse, its way of being beyond obvious rock and sway. The train’s pulse is deeper than movement. If you listen, you will hear the song of the train, and when you find the song, you will find the engine, the heart, the blood, the pulse. This is how we create.
Harold Monro, Collected Poems|Overheard on a Saltmarsh"Nymph, nymph, what are your beads?Green glass, goblin. Why do you stare at them?Give them me.No.Give them me. Give them me.No.Then I will howl all night in the reeds,Lie in the mud and howl for them.Goblin, why do you love them so?They are better than stars or water,Better than voices of winds that sing,Better than any man's fair daughter,Your green glass beads on a silver ring.Hush, I stole them out of the moon.Give me your beads, I want them.No.I will howl in the deep lagoonFor your green glass beads, I love them so.Give them me. Give them.No.
Oliver Joseph Lodge|People break down after a couple of hours. All the defenses go down, and there's a kind of communication that if I spent 20 years in a living room with one of these people, I would never, never know as much about them as I do in that one day.
Alex La Guma, A Walk in the Night and Other Stories|I don't know. I got nothing. No house, no people, no place. Maybe that's troubles. Don't I say?
Bree Despain, The Lost Saint|Kind of just existed from day to day, on weird plateau of feeling nothingness.
Nicholas Carr, The Shallows: What the Internet is Doing to Our Brains|Oftentimes, those special brains, the ones that are capable of focusing more intently than others, do so at the expense of emotional maturity
Robert Jackson Bennett, City of Stairs|Each man must administer his hatred cautiously. Mine is equitable. I distribute it evenly among those who are frozen in the past and those who perspire in the present. Because while the former are hemorrhoidal in their sensibility, the latter are constipated in the brain. And they complement each other by both betraying the law of life that demands the immediate defecation of all useless detritus, be it antiquated illusion or contemporary cowardice.
Karina Halle, Into the Hollow|No matter what happened, he was Dex and I was Perry and that combination only led to trouble.
Deyth Banger|Outside there a lot of powerful stuff, starting from mind movies up to movies like drama, real life, horror, mysteries and many other. Music which makes your day interesting, quotes which change your thought, books which provoke and many other stuff... (So now you know what's everything about, Good Luck with the other Stuff!)
