Anthony Burgess, Little Wilson and Big God: The First Part of the Confession|Nothing goes on forever. If it did, there wouldn't be anything else, would there?
Alison Saunders head of the Crown Prosecution Service|Finally, another large-scale study [of false rape allegations] was conducted in Australia, with the 850 rapes reported to the Victoria police between 2000 and 2003 (Heenan & Murray, 2006). Using both quantitative and qualitative methods, the researchers examined 812 cases with sufficient information to make an appropriate determination, and found that only 2.1% of these were classified as false reports. All of these complainants were then charged or threatened with charges for filing a false police report."Lonsway, K. A., Archambault, J., & Lisak, D. (2009). False reports: Moving beyond the issue to successfully investigate and prosecute non-stranger sexual assault. The Voice, 3(1), 1-11.
J.E.B. Spredemann, Amish by Accident|The Bible says that each person is a sinner and everyone is wicked in the sight of God. God cannot allow sin into Heaven, so we must get rid of our sin somehow. If we don’t, then we have no hope of Heaven.”Jesus is the only one who can take our sins away. The Bible says that God is not willing that any should perish but that all should come to repentance. Jesus came down from Heaven and died on the cross for our sins.
James Dashner, The Kill Order|Oh, I'm good. Seriously, after all these years, you'd think I would stop amazing myself. But here I am, still doing it.
Kapil Kumar Bhaskar, Reminiscences Of A Seeker: Dark Face Of The White World|Life is truly a matter of choices, reactions, and actions...each and every choice is governed by our reactions which in turn affect our actions and consequently the future turn of events
W. Clark Boutwell, Outland Exile|We have relinquished and abandoned and left behind and forgotten what we believed we had to relinquish, abandon and leave behind and ultimately forget; we have let ourselves go and we have gone away and we have gone under, but we have relinquished nothing and abandoned nothing and left behind nothing and forgotten nothing; we have in reality extinguished nothing whatsoever, because our parents did not inform us of or enlighten us about the fact that our life-process is in reality nothing but a process of illness. We were up above, in the company of our parents, locked up in our walls and in our rooms and in our books and papers and everything around us and in us was nothing but lethal and we are down below, without our parents, again locked up in these walls and in our rooms and in our books and papers and everything around us and in us is nothing but lethal.
Patrick Mendis, Peaceful War: How the Chinese Dream and the American Destiny Create a New Pacific World Order|Individual identities and national destines were shaped by the tripod of history, geography, and philosophy.
Melanie Kay Taylor|If I could describe myself, I'd say that I am a poetic gerd. (A geek and nerd combo) I love Shakespeare and romance, but sci-fi and action have a big slice of my heart. When I meet a man who can quote some Hitchcock out of thin air, do a perfect ''Timey Whimey'' impression, play me some classic rock when I'm sad and can give a 'Gone with the Wind' kiss, I will have my soul mate.
Julianne Donaldson, Edenbrooke|She looks after him, feeling a wave of longing, loneliness. Not sexual particularly but to do with the nature of cities, the thousands of strangers you pass in a day, probably never to see again.
José Ortega y Gasset, La Idea De Principio En Leibniz Y La Evolución De La Teoría Deductiva|So it happens that we must ask ourselves, with regard to truth, not for a new criterion for it, which will be better polished than earlier ones, but, peremptorily and seizing it by the lapels, "what is truth as such," and with regard to reality, not what things are or what and how is that which is, but for what reason that X which we call Being is in the Universe, and with regard to knowledge we must not ask for its bases and limits—as Plato, Aristotle Descartes, Kant did—but for something which comes before all this: for what reason we concern ourselves with trying to know.
Garry Wills, Bomb Power: The Modern Presidency and the National Security State|Having a passive personality, is a soft way to live a dead life.
W. Somerset Maugham, The Moon and Sixpence|Beauty is something wonderful and strange that the artist fashions out of the chaos of the world in the torment of his soul. And when he has made it, it is not given to all to know it. To recognize it you must repeat the adventure of the artist. It is a melody that he sings to you, and to hear it again in your own heart you want knowledge and sensitiveness and imagination.
Leigh Bardugo, Summer Days and Summer Nights: Twelve Love Stories|I'm not a mess but a deeply feeling person in a messy world. I explain that now, when someone asks me why I cry so often, I say, 'For the same reason I laugh so often--because I'm paying attention.' I tell them that we can choose to be perfect and admired or to be real and loved. We must decide.
H.E. Bates, Seven by Five|Understand now, I'm purely a fiction writer and do not profess to be an earnest student of political science, but I believe strongly that such a law as one prohibiting liquor is foolish.
David Rea|To understand how to be healthy, a person must first comprehend sickness, disease and death.
C. JoyBell C.|Choose your battles wisely. After all, life isn't measured by how many times you stood up to fight. It's not winning battles that makes you happy, but it's how many times you turned away and chose to look into a better direction. Life is too short to spend it on warring. Fight only the most, most, most important ones, let the rest go.
Thrity Umrigar|You’ve remained on the battleground, center stage, experiencing life and, what’s more important, experiencing yourself experiencing it. You haven't been reduced to a logistical strategy for somebody else's life-war.
Danabelle Gutierrez, I Long To Be The River|And perhaps, I'm a Tuesday night and you're a Wednesday morning the way we'll never even notice how we blend into each other.
James Madison|What makes Superman a hero is not that he has power, but that he has the wisdom and the maturity to use the power wisely. From an acting point of view, that's how I approached the part.
W. Bruce Cameron|I sometimes say that I don't make anything up - obviously that's not true. But I am uninterested in writers who say that everything comes out of the imagination. I would rather be in a room with someone who is telling the story of his life, which may be exaggerated and even have lies in it, but I want to hear the true story, essentially.
Tina Fey, Bossypants|A funny person is funny only for so long, but a wit can sit down and go on being spellbinding forever. One is not meant to laugh. One stays quiet and marvels. Spontaneously witty talk is without question the most fascinating entertainment there is.
Craig D. Lounsbrough|Without an imagination we would be irreparably shackled to what is, and never be released to what could be.
Bill Watterson|Until you stalk and overrun, you cannot devour anyone.-Hobbes
Eoin Colfer, Half Moon Investigations|Doobie always wanted to see the badge. It was shiny, and he was eight.
Mehmet Murat ildan|What have you done for science today? Stop doing things for God! He doesn't need anything. Do something for science, for God's sake!
John Keats|Wherein lies happiness? In that which becksOur ready minds to fellowship divine,A fellowship with essence; till we shine,Full alchemiz’d, and free of space. BeholdThe clear religion of heaven!
Michael Crichton, The Lost World|Life is wonderful. It's a gift to be alive, to see the sun and breathe the air. And there isn't really anything else.
Craig D. Lounsbrough|If you want to completely destroy a child, all you have to do is mold them into your vision of what you want them to be. If you want to completely liberate a child, all you have to do is grow them into the person they were created to be. The former cannot see God in the child. The latter can see nothing less.
Billy Graham, Billy Graham in Quotes|No church is perfect, but don’t let that discourage you. Someone has said that if you ever find one that is, it will stop being perfect the minute you join!
Herman Melville|Nature is the ultimate technology; a technology we are still too immature, arrogant, possessive and careless to care for responsibly.
CC Sabathia|At Tencent, we may be businessmen, but we are still chasing our IT, our science. We are still striving to create something really cool, trying to create things we couldn't even imagine without our new technologies. I am still clinging to this enthusiasm.
Serena Grey, Awakening|If you lie there much longer, I’ll be tempted to tie you to the table legs and try buttering your ass instead of the toast.
Amish Tripathi, The Oath of the Vayuputras|Whose team are you on?” I ask him.   “I don’t follow you – what do you mean whose team am I on?” he asks.   “I mean, you want your son back and there are forces in this world that want to take him from you. There is a battle going on. Sides have been taken, John’s team is his family and the other team is everything that you don’t want for your son. Walking away is the exact thing that the other side wants. Instead of walking away, you need to fight.”   I add: “Treat a man as he is, and he will remain as he is. Treat a man as he could be and he will become what he should be.
Ravi Ranjan, My Experience with 498A: Are all marriages made in heaven?|Faith is wonderful for when you understand it's meaning, it understands you and it takes you where you are destined to be. A rare phenomenon for we keep losing it before it extends its reach but if you have faith in the word, you don't follow it, faith follows you. I have seen it happen and I can vouch for it. #MyExperiencewith498A
Cherie Kephart, A Few Minor Adjustments: A Memoir of Healing|You know you're having a bad week when you call 911, the paramedics come to your house, and one of them notices you've rearranged your furniture.
Martina Hingis|When I see a good singer, I get teary-eyed. Part of it is jealousy because all comedians are frustrated rock stars. That's a fact.
Debasish Mridha|When superstitions infect you, it controls your mind.
R.A.Delmonico|While you were asleep, the world changed. The possibilities that live in dreams require the actions of the awoken. The possibilities are tied to agendas. The balancing force between greed and love is not stable, it is fractal. Rogue waves exist and just because you haven't seen one does not entitle you to remain ignorant.
Billy Graham, Billy Graham in Quotes|Learn to keep close to [Jesus], to listen to His voice, and follow Him.
Helena Christensen|The gifts of lovers to one another are, in respect to love, nothing but forms; yet, they testify to invisible love.
Felicia Day, You're Never Weird on the Internet|Seventy-five percent of the time when I'm ordering my "almond milk matcha latte with no sugar added, lukewarm, please," I'll be recognized by an employee. And yes, my order is a pin in the ass, but I'm determined to enjoy the liquid indulgences of modern life. Might as well take advantage of it all before the zombie apocalypse. I have no practical skills; I'm fully aware that I'll be one of the first ones "turned." Instead of learning motorcycle repair or something else disaster-scenario useful, I'll order the drink I want until I become a shambling corpse.AND I WON'T BE DEFENSIVE ABOUT IT, OKAY?
George Orwell, Why I Write|It is a confession of the weakness of our own faith in the righteousness of our cause when we attempt to suppress by law those who do not agree with us."Alfred E. Smith, governor of New York after WWI
George Gordon Byron|There is a pleasure in the pathless woods,There is a rapture on the lonely shore,There is society, where none intrudes,By the deep sea, and music in its roar:I love not man the less, but Nature more
Aldous Huxley, Brave New World|If you realized how powerful your thoughts are, you would never think a negative thought.
Brian Christian, The Most Human Human: What Talking with Computers Teaches Us About What It Means to Be Alive|he would now have comprehended that work consists of whatever a body is obliged to do, and that play consists of whaterver a body is not obliged to do. And this would help him to understand why construcing artificial flowers or performing on a tread-mill, is work, whilst rolling nine-pins or climbing Mont Blanc is only amusement. There are wealthy gentlemen in England who drive four-horse passenger-coaches twenty or thirty miles on a daily line, in the summer, because the privilege costs them considerable money; but if they were offered wages for the service that would turn it into work, then they would resign.
Amit Kalantri|Be a true traveller, don't be a temporary tourist.
Rae Carson, Walk on Earth a Stranger|Every place there's people, there's badness.
Abhijit Naskar|Every true scientist is a philosopher, but not every philosopher is a scientist.
Samuel Crone, Teen Idle|If you put enough closets together, you have enough space for a room. If you put enough rooms together, you have enough room for a house. If you put enough houses together, you have space for a town, then a city, then a nation, then a world.
Bruce Crown, Forlorn Passions|Those who’ve left their bootprints in the trenches are those who value human life most. They get unwanted glimpses into the savage nature we really have underneath all the expensive clothes and moisturized skin. This of course, rules out the politicians, feminists, and liberals who are far too cozy hiding behind their daddies’ wallets and sophomoric mentalities as those who feign having tasted the true consequence of a single blood-drop darkening the sand.
Estelle Maskame, Did I Mention I Love You?|Dark haired guys are so, so much better.
Ken Liu, Mono no Aware|We are not defined by our individual loneliness, but by the web of relationships in which we’re enmeshed.
Mary Neville|One day I might feel Mean,And squinched up inside,Like a mouth sucking on a Lemon.The next day I couldFeelWhole and happyAnd right,Like an unbitten apple.
Dada Bhagwan|Unless there is a ‘clear evident experience of the True Self’ [spasthvedan], till then ‘Principle’ cannot be attained.
Douglas Wilson, The Case for Classical Christian Education|The ground for the necessity of Christian schools lies in this very thing, that no fact can be known unless it be known in its relationship to God. And once this point is clearly seen, the doubt as to the value of teaching arithmetic in Christian schools falls out of the picture. Of course arithmetic must be taught in a Christian school. It cannot be taught anywhere else.
Michel Foucault|Education is the power to think clearly, the power to act well in the worlds work, and the power to appreciate life.
Richard de Bury|[A]ll who are smitten with the love of books think cheaply of the world and wealth; as Jerome says to Vigilantius: The same man cannot love both gold and books... The hideousness of vice is greatly reprobated in books, so that he who loves to commune with books is lead to detest all manner of vice. The demon, who derives his name from knowledge, is most effectually defeated by the knowledge of books, and through books his multitudinous deceits and the endless labyrinths of his guile are laid bare to those who read...
Joseph Weizenbaum, Computer Power and Human Reason: From Judgment to Calculation|As our country increasingly relies on electronic information storage and communication, it is imperative that our Government amend our information security laws accordingly
Bill Frisell|If anyone asks you what kind of music you play, tell him 'pop.' Don't tell him 'rock'n'roll' or they won't even let you in the hotel.
Kevin Focke|Progress is hard, achievements are easy, and giving up is easier still.
Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Arise, my friend – the world is wailing for kindness – it is wailing for compassion – it is wailing for love.
Renu Persaud PhD|The greatest form of betrayal is self-betrayal."-Dr Renu S Persaud
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Brian is a deeply compassionate man who was sad to learn that his work colleague, Tom, had lost his 17-year-old daughter to a drug overdose. When Tom returned to work weeks later, Brian approached him and said, “Man, I am so sorry. There are no words to express my condolences.“Brian reached out to hug Tom. At first, he was rigid and on guard, but with Brian’s genuine embrace, he felt Tom release into his safety. Tom had been so incredibly strong for his wife and family that Brian’s powerful hug allowed him to surrender into another man’s strength. It was a memorable and powerful step towards healing. Sometimes a hug at the right time, even if spontaneous, can be the kindest thing you can do for another human being.
Sue Monk Kidd, The Invention of Wings|I said, "Where's all that delivering God's supposed to do?"He snorted. "You're right, the only deliverance is the one we get for ourselves. The Lord doesn't have any hands and feet but ours.""That doesn't say much for the Lord.""It doesn't say much for us, either.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Life's journey is peppered with many bumps and pitfalls. If we make mountains out of each one, we will get nowhere.
Kresley Cole, A Hunger Like No Other|There is a string that connects us that is not visible to the eye. Maybe every person has more than one soul they are connected to, and all over the world there are these invisible strings. Maybe the chances that you'll find each and every one of your soulmates is slim. But sometimes you're lucky enough to stumble across one. And you feel a tug. And it's not so much a choice to love them through their flaws and through your differences, but rather you love them without even trying. You love their flaws.
Kurt Vonnegut Jr., The Sirens of Titan|The worst thing that could possibly happen to anybody would be to not be used for anything by anybody. Thank you for using me, even though I didn't want to be used by anybody.
Auliq Ice|Working hard and succeeding will make you feel valuable and important - thus the cornerstones of a confident personality is you, yourself.
George Grey|Racing is a great mania to which one must sacrifice everything, without reticence, without hesitation.
Napz Cherub Pellazo|I can give you two words," I tell him. "The second is off. Can you guess the first?
Ellen DeGeneres|Good satire comes from anger. It comes from a sense of injustice, that there are wrongs in the world that need to be fixed. And what better place to get that well of venom and outrage boiling than a newsroom, because you're on the front lines.
Diane von Furstenberg|I want a chainsaw very badly, because I think cutting down a tree would be unbelievably satisfying. I have asked for a chainsaw for my birthday, but I think I'll probably be given jewelry instead.
Peter Singer, Practical Ethics|The capacity for suffering – or more strictly, for suffering and/or enjoyment or happiness – is not just another characteristic like the capacity for language or for higher mathematics. Bentham is not saying that those who try to mark ‘the insuperable line’ that determines whether the interests of a being should be considered happen to have selected the wrong characteristic. The capacity for suffering and enjoying things is a prerequisite for having interests at all, a condition that must be satisfied before we can speak of interests in any meaningful way. It would be nonsense to say that it was not in the interests of a stone to be kicked along the road by a child. A stone does not have interests because it cannot suffer. Nothing that we can do to it could possibly make any difference to its welfare. A mouse, on the other hand, does have an interest in not being tormented, because mice will suffer if they are treated in this way.
C. JoyBell C.|Life is a bowl of cherries. Some cherries are rotten while others are good; its your job to throw out the rotten ones and forget about them while you enjoy eating the ones that are good! There are two kinds of people: those who choose to throw out the good cherries and wallow in all the rotten ones, and those who choose to throw out all the rotten ones and savor all the good ones.
Sanober  Khan|my dear, I have nothing to say.my heart burns like the evening sky.
Alec J. Ross, The Industries of the Future|When leaders wonder what they can do to position their societies for the industries of the future, they need to open up and resist control-freak tendencies. The 21st century is a terrible time to be a control freak; future grown depends on empowering people.
Emily Thorne|Some say that to believe in destiny is to dismiss the role of free will. That self-determination cannot prevail in the presence of fate. When the truth is, the only part of destiny we can control is the fate we choose for another.
Lionel Suggs|The doctrine of "exit strategy" fundamentally misunderstands the nature of war and, more generally, the nature of historical action. for the knowledge of the end is not given to us at the beginning.
Brooke Templar, The Frenchman|Crack, crack—crack, crack—crack, crack—so this is Paris! quoth I (continuing in the same mood)—and this is Paris!—humph!—Paris! cried I, repeating the name the third time— The first, the finest, the most brilliant— —The streets however are nasty; But it looks, I suppose, better than it smells—crack, crack—crack, crack—
Neve McIntosh|The medical nanobots in my novel 'Small Miracles' tap the energy sources that the patient's own body provides. That is, they can metabolize glycerol and glucose, just as the cells in our bodies do.
Billy Graham, Billy Graham in Quotes|[There are] seven gifts God gives you when you commit your life to Christ: a new relationship, a new citizenship, a new family, a new purpose, a new power, a new destiny, and a new journey.
D.R. Silva|One gives way to the temptation, only to rise from it again, afterwards, with a great eagerness to reestablish one's dignity, as if it were a tombstone to place on the grave of one's shame, and a monument to hide and sign the memory of our weaknesses. Everybody's in the same case. Some folks haven't the courage to say certain things, that's all!THE STEP-DAUGHTER: All appear to have the courage to do them though.
Vivek Thangaswamy|When everything seems worse, impossible to achieve, thinking about giving up, quitting? Remember why started first? Trust yourself, tap yourself and say if you cannot make it, no one is going to. Look back, the whole team believes in you, go for it and be a CHAMPION.
Chloe Neill, Wild Things|There are those amongst us who have erred, deeply and significantly. Who have wounded the world and broken themselves. The worst of them lose themselves in their errors. The best of them crawl back, one foot at a time, and seek to amend their breaches. That is the way of the brave. -Gabriel Keene, Pack Apex, pp. 37
Nema Al-Araby|It's just hard now because... you're jealous. But your heart is so generous and warm, it will melt the bad feelings away." I am 100 percent positive that my mom is the wisest mother in the world.
Osho, When the Shoe Fits: Stories of the Taoist Mystic Chuang Tzu|Meaning comes from the unknown, from the stranger, from the unpredictable that suddenly knocks at your door — a flower that suddenly blooms and you never expected it; a friend that suddenly happens to be on the street you were not waiting for; a love that blooms suddenly and you were not even aware that this was going to happen, you had not even imagined, not even dreamed. Then life has meaning. Then life has a dance. Then every step is happy because it is not a step filled with duty, it is a step moving into the unknown. The river is going towards the sea.
Jarrid Wilson|Jesus is for life, not just for Easter.
Scott Stabile|I look around and see so much fear, people getting more and more comfortable with their hate, more at ease being mean, more united in their separation. And I think, NO. Not me. I will not get lost in this fearful world. I will not play with bullies. I will continue to be brave and kind. I will speak for real unity. And no matter what, I will never stop loving.
Havelock Ellis|I very much dislike the intolerance and moralism of many Christians, and feel more sympathy with Honest Doubters than with them.
Emily St. John Mandel, Station Eleven|Must I observe you? Must I stand & crouchUnder your testy humour? By the gods, You shall digest the venom ofyour spleen,Though it do split you, for, from thisday forth, I'll use you for my mirth, yea,for my laughter, when you are waspish.
Toni Morrison, Beloved|I became insane, with long intervals of horrible sanity.
Frank Ocean|With just one polka dot, nothing can be achieved. In the universe, there is the sun, the moon, the earth, and hundreds of millions of stars. All of us live in the unfathomable mystery and infinitude of the universe. Pursuing 'philosophy of the universe' through art under such circumstances has led me to what I call 'stereotypical repetition.'
Donna Tartt, The Secret History|Do you remember what we were speaking of earlier, of how bloody, terrible things are sometimes the most beautiful?” he said. “It’s a very Greek idea, and a very profound one. Beauty is terror. Whatever we call beautiful, we quiver before it. And what could be more terrifying and beautiful, to souls like the Greeks or our own, than to lose control completely? To throw off the chains of being for an instant, to shatter the accident of our mortal selves? Euripides speaks of the Maenads: head thrown back, throat to the stars, ‘more like deer than human being.’ To be absolutely free! One is quite capable, of course, of working out these destructive passions in more vulgar and less efficient ways. But how glorious to release them in a single burst! To sing, to scream, to dance barefoot in the woods in the dead of night, with no more awareness of mortality than an animal! These are powerful mysteries. The bellowing of bulls. Springs of honey bubbling from the ground. If we are strong enough in our souls we can rip away the veil and look that naked, terrible beauty right in the face; let God consume us, devour us, unstring our bones. Then spit us out reborn.
Nikki Rowe|To heal our world we must be silent; willing to listen to the roars of the wounded. We must teach eachother how to feel, only than can an entire nation grow in peace, as the war within will slowly diminish.
Joseph Campbell, The Hero With a Thousand Faces|But after years of teaching, we have decided that a lot of mothers just aren't reading textbooks.
Ava|everyone is in a hurry and things are always disappearing, and i am always left standing here--alone, waiting for the things that stay.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To be an effective time user, you must make sure you are spending your time on only what is important.
Clarissa Pinkola Estés|A woman is always beutiful to the one who has fallen in love with her, nothing can dampen her image before his eyes.
Isobelle Carmody, Greylands|Teeth aren't pearly, until you smile.
Laura Ingalls Wilder, The Long Winter|In fact, if you are faced with the prospect of running across an open field in which lightning bolts are going to be a problem, you are much better off if their timing and location are determined by something, since then they may be predictable by you, and hence avoidable. Determinism is the friend, not the foe, of those who dislike inevitability.
Elizabeth Payson Prentiss, Stepping Heavenward|But the culture has failed, almost entirely, in inculcating internal controls on actions that have their origin in authority. For this reason, the latter constitutes a far greater danger to human survival.
Meg Jay, The Defining Decade: Why Your Twenties Matter--And How to Make the Most of Them Now|We all have our own road to walk. Whether rocky, curving, straight or smooth, what good is a lonely road? It’s when we run and intersect with other roads that defines our road. When road meets road do we get direction, and choices to cross into another life.
Elaine Scarry|How one walks through the world, the endless small adjustments of balance, is affected by the shifting weights of beautiful things.
Edith Pattou, East|Perhaps it is better to be a machine that does its duty than a flesh-and-blood person who will not, for a dead truth is better than a live falsehood.
Laini Taylor, Strange the Dreamer|As for fairy tales, he understood that they were reflections of the people who had spun them, and were flecked with little truths - intrusions of reality into fantasy, like toast crumbs on a wizard's beard.
Jim George, A Husband After God's Own Heart|There's a time in every Christian's life that can only be described as a period of walking through a thirsty and dry desert. This is where God teaches every believer the need for faith. God has to strip away every emotion, every feeling, and every physical thing that makes you comfortable serving Him. His voice grows quiet, His Presence lonely, His ear seems deaf, and it will do either one of two things: It will either make you find a comfortable rock and wait for God to show up, or it will create such a hunger and thirst after Him, just Him, that you abandon all the "things" of Christ for Christ alone.
Alexandra Maria Lara|Some mischievous people always there. Last several thousand years, always there. In future, also.
Paulo Coelho, By the River Piedra I Sat Down and Wept|Earth is crammed with heaven, and every bush is aflame with the glory of God. But only those who see take of their shoes; the rest just pick the berries.
Gwenn Wright, Filter|Kevin looks at me and I know he isn’t seeing the little girl I use to be, all pigtails and gangly limbs. He isn’t seeing my mother’s daughter or even my mother anymore. As his eyes linger over me, stopping here and there in the most uncomfortable places, I know he isn’t really even seeing me as I am. The bloodshot eyes staring out of the alcohol-flushed face are seeing a girl, nearly of age, who owes him a tremendous debt of gratitude.--Rocky Evans
A. Cretan|Every man has his fault, and honesty is his.- Lucullus (Act III, scene 1)
Robert  Black|Life must be terrible for working people, considering they spend every Friday night celebrating a two day break from it.
Will Smith|Once you get the kids raised and the mortgage paid off and accomplish what you wanted to do in life, there's a great feeling of: 'Hey, I'm free as a bird.'
Alice Walker|Poetry, even when apparently most fantastic, is always a revolt against artifice, a revolt, in a sense, against actuality.
H.W. Brands, American Colossus: The Triumph of Capitalism, 1865-1900|The most important influence is all our lives are love. If we're never taught to love, then showing and accepting love becomes difficult.
Leo Tolstoy|When you start to develop your powers of empathy and imagination, the whole world opens up to you.
Louise Glück, The Seven Ages|Desire, loneliness, wind in the flowering almond—surely these are the great, the inexhaustible subjectsto which my predecessors apprenticed themselves.I hear them echo in my own heart, disguised as convention.
Howard Tayler, Resident Mad Scientist|Yes, but none of them can steal my ship.None of them are smart enough to know that it was the right thing to do at the time.
Lynn Steward, A Very Good Life|Dana’s window? More like her snow globe, Janice thought. She pictured Dana standing in a tiny glass-enclosed world, snow gently falling around her. Her world could be shaken but never broken. She was far too insulated.
Jason Barger|people will forget what you said, people will forget what you do, but people will never forget how you made them feel.
Stephen King|I hate the assumption that you can't write about something because you haven't experienced it, and not just because it assumes a limit on the human imagination, which is basically limitless. It also suggests that some leaps of identification are impossible. I refuse to accept that, because it leads to the conclusion that real change is beyond us, and so is empathy.
Roger Ebert|Truly, Mallow yearned to know everything. Curiosity was part of her, like her short blond hair and bitten fingernails.
Ferdinand de Saussure|Any problem, big or small, within a family, always seems to start with bad communication. Someone isn't listening.
Orrin Woodward|Whether you buy a new TV, or car, (etc.) or any other “material” thing is often “immaterial” to God.
Max Cannon|Much of the misgiving that Muslims feel for the West stems from our strong emphasis on freedom, always a risky enterprise. I've heard some say they would rather rear their children in a closely guarded Islamic society than in the United States, where freedom so often leads to decadence.
Jenny Han, We'll Always Have Summer|But just because you bury something, that doesn’t mean it stops existing.
Moby|I met Elijah Wood once, I met Peter Jackson, I met Orlando Bloom, and they're all really cool.
Danielle Evans, Before You Suffocate Your Own Fool Self|When I was very little, my mother used to say there was something of my grandmother in me, in how I tell stories the way I need them to be and not the way they actually happened.
Dorianne Laux, The Poet's Companion: A Guide To The Pleasures Of Writing Poetry|Every good poem asks a question, and every good poet asks every question.
Neena Verma, A Mother's Cry... A Mother's Celebration|Letting myself fall wasn't easy. It wasn't hard either. It was a calling that I had to honour. I did honour. I took a plunge into my dark abyss. I faced my grief, my fear, my sadness, my loneliness, my anguish, myself. (Page 78)
Georg C. Lichtenberg|History, whether sacred or profane, hides her teaching from those who study her through coloured glasses. She only reveals truth to those who look through the cold clear medium of passionless inquiry, who seek the Truth without determining first the masquerade in which alone they will receive it.
Lily Tomlin|I will say this about the truth - that it's one of those crisis rules, whether you are a client or someone who's living their life just every day - is that the truth has a funny way of not going away, and telling the truth is extremely important in dealing with any problem or crisis.
Angela Carter|Child, if such folks awe you, then picture them on the lavatory, straining, constipated. They will at once seem small, pathetic, manageable." And she whispered to me a great, universal truth: "THE BOWELS ARE GREAT LEVELLERS.
John Irving, The World According to Garp|Garp didn't want a daughter because of men. Because of bad men, certainly; but even, he thought, because of men like me.
Henry James, Pandora|Before he went away, he had heard all about the self-made girl, and there was something in the picture that strongly impressed him. She was possible doutbless only in America; American life had smoothed the way for her. She was not fast, nor emancipated, nor crude, nor loud, and there wasn’t in her, of necessity at least, a grain of the stuff of which the adventuress is made.She was simply very successful, and her success was entirely personal. She hadn’t been born with the silver spoon of social opportunity, she had grasped it by honest exertion. You knew her by many different signs, but chiefly, infallibly, by the appearance of her parents. It was her parents who told her story; you always saw how little her parents could have made her. Her attitude with regard to them might vary in different ways. As the great fact on her own side was that she had lifted herself from a lower social plane, done it all herself, and done it by the simple lever of her personality, it was naturally to be expected that she would leave the authors of her mere material being in the shade.(…)But the general characteristic of the self-made girl was that, though it was frequently understood that she was privately devoted to her kindred, she never attempted to impose them on society, and it was striking that, though in some of her manifestations a bore, she was at her worst less of a bore than they. They were almost always solemn and portentous, and they were for the most part of a deathly respectability. She wasn’t necessarily snobbish, unless it was snobbish to want the best. She didn’t cringe, she didn’t make herself smaller than she was, she took on the contrary a stand of her own and attracted things to herself.Naturally she was possible only in America, only in a country where whole ranges of competition and comparison were absent.
Jon Ronson, Lost At Sea: The Jon Ronson Mysteries|It is so hard to talk with John about my case, because he is so wise, and because he loves me so.
Barack Obama|I would be delighted if the United States could have a positive relationship with Russia, and I would be thrilled if the Russian people, who are so capable, had a normal country that they could chart a different future.
Tom Robbins, Villa Incognito|After the monkeys came down from the trees and learned to hurl sharp objects, they had had to move into caves for protection--not only from the big predatory cats but, as they began to lose their monkey fur, from the elements. Eventually, they started transposing their hunting fantasies onto cave walls in the form of pictures, first as an attempt at practical magic and later for the strange, unexpected pleasure they discovered in artistic creation. Time passed. Art came off the walls and turned into ritual. Ritual became religion. Religion spawned science. Science led to big business. And big business, if it continues on its present mindless, voracious trajectory, could land those of us lucky enough to survive its ultimate legacy back into caves again.
John Stuart Mill, On Liberty|In this age, the mere example of non-conformity, the mere refusal to bend the knee to custom, is itself a service. Precisely because the tyranny of opinion is such as to make eccentricity a reproach, it is desirable, in order to break through that tyranny, that people should be eccentric. Eccentricity has always abounded when and where strength of character has abounded; and the amount of eccentricity in a society has generally been proportional to the amount of genius, mental vigor, and moral courage which it contained. That so few now dare to be eccentric, marks the chief danger of the time.
Akiroq Brost|Coaching is the universal to connect with people, helping them to develop a new perspective, while expanding their inner beliefs and boundaries, equipping them to become the best version of themselves.
Daniel St. Clair, The Primal Contradiction: My Escape From the Pitfall of Self-Delusion|When we invoke stillness within our consciousness, we have the power to recover the child we forgot that we once were.
Jakob Bohme|When I talk about God, I'm not necessarily talking about religion. To me, God is the energy and light that each of us carries.
Don Ameche|Until women themselves reject stigma and refuse to feel shame for the way others treat them, they have no hope of achieving full human stature.
Fiona Thrust, Naked and Sexual|I’d love to be tried out,’ I said, with a suggestive smile. ‘One should always explore something, before one goes in deeper.’I saw a little flicker of fun in his eyes.
Kevin O'Leary|If business doesn't thrive, it hurts America. We need improved relations, more collaboration, more thought and more consistency as we go about trying to make sure we have the best country in the world. Not scapegoating and finger-pointing.
Ian Lamont|You could have done something with newspapers. We didn't do it. No nation did, because we were all too silly. We liked our newspapers with pictures of beach girls and headlines about cases of indecent assault, and no Government was wise enough to stop us having them that way. But something might have been done with newspapers, if we'd been wise enough.
Robert Cormier|The beautiful part of writing is that you don't have to get it right the first time, unlike, say, a brain surgeon.
Trishna Damodar|You have to be strong enough to stand up for what you believe, even if you are standing alone.
M.L. Stedman|It is so much less exhausting. You only have to forgive once. To resent, you have to do it all day, every day. You have to keep remembering all the bad things ... I would have to make a list, a very, very long list and make sure I hated the people on it the right amount ... No ... we always have a choice. All of us.
Dana Goodyear|Christmas is, of course, the time to be home - in heart as well as body.
Neil Gaiman, Coraline|Mirrors,' she said, 'are never to be trusted.
