Emily Roberson|Unfeeling thing that I was, the sensibilities of the maternal heart were Greek and Hebrew to me.
Karen Chance, Death's Mistress|I moved to assist, but never got the chance. there was some pretty violent banging for a minute, and then a tearing sound. Finally the stall door flew open, and Ray's shirtless body emerged and started bitch-slapping everything in sight.His aim was off, probably due to the difficulty of having his eyes on the other side of the room, but he made up for it with sheer determination.
Robert Louis Stevenson, A Christmas Sermon|To look back upon the past year, and see how little we have striven and to what small purpose: and how often we have been cowardly and hung back, or temerarious and rushed unwisely in; and how every day and all day long we have transgressed the law of kindness; -it may seem a paradox, but in the bitterness of these discoveries, a certain consolation resides. Life is not designed to minister to a man's vanity. He goes upon his long business most of the time with a hanging head, and all the time like a blind child. Full of rewards and pleasures as it is - so that to see the day break or the moon rise, or to meet a friend, or to hear the dinner-call when he is hungry, fills him with surprising joys - this world is yet for him no abiding city. Friendships fall through, health fails, weariness assails him; year after year, he must thumb the hardly varying record of his own weakness and folly. It is a friendly process of detachment. When the time comes that he should go, there need be few illusions left about himself. Here lies one who meant well, tried a little, failed much: -surely that may be his epitaph, of which he need not be ashamed.
Chris Behnke|The accumulation of non-obvious, ineffective, or misapplied actions leads to low productivity.
Charles Haddon Spurgeon, The Treasury of David: Spurgeon's Classic Work on the Psalms|Some people would rather die in their pride, than live in their humility.
Wisława Szymborska|Rather than feeling lost and unimportant and meaningless, set against galaxies which go beyond the reach of the furthest telescopes, I feel that my life has meaning. Perhaps I should feel insignificant, but instead I feel a soaring in my heart that the God who could create all this — and out of nothing — can still count the hairs of my head.
William Dean Howells, A Sleep and a Forgetting|Taking Mum's hand, I whispered "Are we really safe, here?
Calvin Trillin|Everything had life to me,’ he heard Enkidu murmur, ‘the sky, the storm, the earth, water, wandering, the moon and its three children, salt, even my hand had life. It’s gone. It’s gone.
Nancy Astor the Viscountess Astor|he began to feel that she was very lonely indeed. “If he’d been here,” she said, “those cowards would never have dared to insult me.” She thought about “him” with great sadness and perhaps longing--about his honest, stupid, constant kindness and fidelity; his never-ceasing obedience; his good humour; his bravery and courage. Very likely she cried, for she was particularly lively, and had put on a little extra rouge, when she came down to dinner.
Norman Cook|When life takes me on a new journey, I simply remember the smile my first ballet recital put on my face and I move forward.
Cristina Marrero, The Unsung Love Story|Together, in that room, our childhood notions of love melted away. We discovered love was not a fairytale. Sometimes there were no happy endings, and when there were, you needed to work like hell to keep the happiness alive.
Manu Joseph, Serious Men|Back in New York I took full advantage of my status as a native speaker. I ran my mouth to shop clerks and listened in on private conversations, realising I’d gone an entire month without hearing anyone complaint that they were “stressed out”.
Guy Delisle, Pyongyang: A Journey in North Korea|In fact, they live in a state of constant paradox where truth is anything but constant
Joumana Haddad|In some crucial cases ... repugnance is the emotional expression of deep wisdom, beyond reason’s power completely to articulate it.
Erich Neumann, The Fear of the Feminine and Other Essays on Feminine Psychology|The archetypal image of the redeemer serpent is certainly placed here in opposition to the serpents of evil that battle with it. But why do they both have the same form if there is only oppositIOn between them? What does it mean that they both dwell in the same place, the depth of the great abyss? Are they not possibly two aspects of the same thing?We know this image of the redeemer serpent not only from Gnosis and from the Sabbataian myth, but we know of the same serpent rising from below, redeeming and to be redeemed, as the Kundalini serpent in India, and finally from alchemy as the serpens Mercurii, the ambiguous serpent whose significance was first made clear to us by Jung's researches.Since Jung's work on alchemy we know two things. The first is that in its "magnum opus" alchemy dealt with a redemption of matter itself. The second is that pari passu with this redemption of matter, a redemption of the individual psyche was not only unconsciously carried out but was also consciously intended. As we know, the serpent is a primeval symbol of the Spirit, as primeval and ambiguous as the Spirit itself. The emergence of the Earth archetype of the Great Mother brings with it the emergence of her companion, the Great Serpent. And, strangely enough, it seems as though modern man is confronted with a curious task, a task which is essentially connected with what mankind, rightly or wrongly, has feared most, namely the Devil.
Shawn Michaels|Murder is unique in that it abolishes the party it injures, so that society has to take the place of the victim and on his behalf demand atonement or grant forgiveness; it is the one crime in which society has a direct interest.
Manasa Rao|Man is either Viceroy or else he is an animal that claims special rights by virtue of its cunning and the devouring efficiency of teeth sharpened by technological instruments... But if he is Viceroy, then all decay and trouble in the created world that surrounds him is in some measure to be laid to his account
Tracy Anne Warren, Tempted by His Kiss|Murder = Art...Everyone is artist... we all understand different the word "Artist
Peach-Pit, Shugo Chara!, Vol. 2: Friends in Need|In a culture that is becoming ever more story-stupid, in which a representative of the Coca-Cola company can, with a straight face, pronounce, as he donates a collection of archival Coca-Cola commercials to the Library of Congress, that 'Coca-Cola has become an integral part of people's lives by helping to tell these stories,' it is perhaps not surprising that people have trouble teaching and receiving a novel as complex and flawed as Huck Finn, but it is even more urgent that we learn to look passionately and technically at stories, if only to protect ourselves from the false and manipulative ones being circulated among us.
Karina Halle, The Lie|We learn to love when we’re young. If we learn hating better, it has to go somewhere. We can hate ourselves or we can hate somebody else. Most people would rather hate somebody else.
Rachel Vincent, Shadow Bound|How did I know? Paul, I've known since you were eight and I caught you masturbating in front of the TV to Bo and Luke Duke.
Paul Ryan|We believe a renewed commitment to limited government will unshackle our economy and create millions of new jobs and opportunities for all people, of every background, to succeed and prosper. Under this approach, the spirit of initiative - not political clout - determines who succeeds.
Nathan Myhrvold|I don't buy a lot when I travel, but when I do, I like to send gifts from wherever I am. It's fun to find the local post office.
Claire Dederer, Poser: My Life in Twenty-three Yoga Poses|I envision my mind as a plot of grass full of sheep surrounded by a perimeter of electric fence. If I'm not constantly vigilant and aware of my thoughts, the electric fence shuts off, the sheep jump out, and my panic gets away from me. The chance for an attack is especially bad just before bed or when I'm distracted or lost in thought in the car, causing me to slap myself in the face as hard as I can or bite the inside of my upper arm. If I can feel the pain, then I am still alive and can begin to focus on rounding up the sheep again. See? This makes perfect sense in my head.
Lemony Snicket|There is nothing particularly wrong with salmon, of course, but like caramel candy, strawberry yogurt, or liquid carpet cleaner, if you eat too much of it you are not going to enjoy your meal.
Arlene J. Chai|Because instant and credible information has to be given, it becomes necessary to resort to guesswork, rumors and suppositions to fill in the voids, and none of them will ever be rectified, they will stay on in the readers' memory. How many hasty, immature, superficial and misleading judgments are expressed every day, confusing readers, without any verification. The press can both simulate public opinion and miseducate it. Thus we may see terrorists heroized, or secret matters, pertaining to one's nation's defense, publicly revealed, or we may witness shameless intrusion on the privacy of well-known people under the slogan: "everyone is entitled to know everything." But this is a false slogan, characteristic of a false era: people also have the right not to know, and it is a much more valuable one. The right not to have their divine souls stuffed with gossip, nonsense, vain talk. A person who works and leads a meaningful life does not need this excessive burdening flow of information.
Yanni|The more you believe in the power of thought, and the more you listen to your breath, the greater changes you can create in your life.
Penelope Lively, Moon Tiger|As you speak I swear I can hear words being selected, one after another, from the word-box you carry around with you, and slotted into place. That is not how a true native speak, one who is born into a language.’‘How does a native speak?’‘From the heart. Words well up within and he sings them, sings along with them. So to speak.
Lucius Annaeus Seneca|Life is an exciting business, and most exciting when it is lived for others.
Craig D. Lounsbrough, Flecks of Gold on a Path of Stone: Simple Truths for Profound Living|I want to ‘think’ that I have all the answers. But if I ‘think’, I soon realize that what I thought to be answers were guesses. And if I ‘think’ yet again, I begin to realize that since God has all the answers He never hands me a guess.
Dr. Muhammad Abdul Mohsin|But then I grew up, experienced some life, and I understood that when you merely switch from being a prisoner to being a guard, no one is freed, not even yourself.
Eric Robert Morse, The Economic Theory of Sex: Industrialism, Feminism, and the Disintegration of the Family|To the contemporary feminist, sexual differences mean inequality, inequality means injustice, and injustice must be stamped out at all costs. And so, they have set about stamping out sexual differences at all costs.
Rachel Ward, Numbers|And then, a strangely comforting thought trickled through me—I had nothing, so I could do anything now. Anything I wanted. I had nothing left to lose.
Raphael Zernoff, I Am|When we let the energy of our existence flow freely, without being obstructed by fear, happiness finds its way into our daily lives.
Robert Greene, The 48 Laws of Power|Power is a game, and in games you do not judge your opponents by their intentions but by the effects of their actions.
James Madison|I've told my children that when I die, to release balloons in the sky to celebrate that I graduated. For me, death is a graduation.
Hilary Duff|I don't know about the romantic comedy route, although never say never.
Bryant McGill, Voice of Reason|A single radio post still heard him. The only link between him and the world was a wave of music, a minor modulation. Not a lament, no cry, yet purest of sounds that ever spoke despair.
Donna J. Haraway, Simians, Cyborgs, and Women: The Reinvention of Nature|All readings are also mis-readings, re-readings, partial readings, imposed readings, and imagined readings of a text that is originally and finally never simply there. Just as the world is originally fallen apart, the text is always already enmeshed in contending practices and hopes.
Jackson Galaxy, Cat Daddy: What the World's Most Incorrigible Cat Taught Me About Life, Love, and Coming Clean|Cat love is genuine, because it's 10 percent devotion and 90 percent frustration and betrayal. - 67 REASONS WHY CATS ARE BETTER THAN DOGS
Ben Caesar|Which is the least spoken language, world-wide?The language of Truth
Ronald Reagan|You’re talking about gold and silver, cash and securities. I’m talking about the sheer beauty of the land, the value of unpolluted parkland made wild and staying wild forever.
Lailah Gifty Akita|Fight for your dreams with all your strength, soul and spirit.
Jacob Bronowski, The Ascent of Man|This is the concentration camp and crematorium at Auschwitz. This is where people were turned into numbers. Into this pond were flushed the ashes of some four million people. And that was not done by gas. It was done by arrogance. It was done by dogma. It was done by ignorance. When people believe that they have absolute knowledge, with no test in reality, this is how they behave.
Chuck Klosterman, Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto|I wake up, I feel the inescapable oppression of the sunlight pouring through my bedroom window, and I am struck by the fact that I am alone. And that everyone is alone. And that everything I understood seven hours ago has already changed, and that I have to learn everything again.
Linda Kage, The Color of Grace|Hey, where are you going?" His voice, confused yet curious, called after me. "Hey. Why didn't your mother name you Maybe, or We'll see, or What's-Your-Number? That way, we could call our first born Absolutely.
C.S. Lewis, Surprised by Joy: The Shape of My Early Life|…the greatest service we can do to education today is to teach fewer subjects. No one has time to do more than a very few things well before he is twenty, and when we force a boy to be a mediocrity in a dozen subjects, we destroy his standards, perhaps for life.
George Orwell, 1984|Being in a minority, even in a minority of one, did not make you mad. There was truth and there was untruth, and if you clung to the truth even against the whole world, you were not mad.
Lailah Gifty Akita, Think Great: Be Great!|Any experience, which is not written, will be lost in time. Rich literature is lost forever.
Edward M. Wolfe, Hell on Ice|In the world I notice persons are nearly always stressed and have no time. Even Grandma often says that, but she and Steppa don't have jobs, so I don't know how persons with jobs do the jobs and all the living as well. In Room me and Ma had time for everything. I guess the time gets spread very thing like butter over all the world, the roads and houses and playgrounds and stores, so there's only a little smear of time on each place, then everyone has to hurry on to the next bit.
Fennel Hudson, A Writer's Year - Fennel's Journal - No. 3|Look back, but never look down.
Ruth Ozeki, A Tale for the Time Being|There's so much to write. Where should I start?I texted my old Jiko this question, and she wrote me back this:'You should start where you are
Karen Davis|- What do you expect? Think we were sent into the world to have a soft time and what is it? Float on flowery beds of ease? Think Man was just made to be happy?- Why not? Though I've never discovered anybody that knew what the deuce Man really was made for!- Well, we know not just in the Bible alone, but it stands to reason a man who doesn't buckle down and do his duty, even if it does bore him sometimes, is nothing but a... well, he's simply a weakling. Mollycoddle, in fact! And what do you advocate? Come down to cases! If a man is bored by his wife, do you seriously mean he has a right to chuck her and take a sneak, or even kill himself?- Good Lord, I don't know what 'rights' a man has! And I don't know the solution of boredom. If I did, I'd be the one philosopher that had the cure for living. But I do know that about ten times as many people find their lives dull, and unnecessarily dull, as ever admit it; and I do believe that if we busted out and admitted it sometimes, instead of being nice and patient and loyal for sixty years, and then nice and patient and dead for the rest of eternity, why, maybe, possibly, we might make life more fun.
DeWayne Owens|Don’t just timidly swing at the problems in your life, swing hard enough to knock them out! Small efforts produce small results, big efforts produce big results!
Jacques Tardi, Goddamn This War!|The leave zipped right by. We were so terrifically glad to be back to our own little section of the trench, with all its happy memories, that we wouldn’t have traded places with anybody. The lazy bastard who’d filled in while we were away hadn’t managed to nibble away so much as an inch of garden soil in the direction of Berlin.We found out that Brugnon hadn’t come back from leave. He’d hanged himself in the stairwell of his building, on rue des Gâtines. He left a note to say he couldn’t take it any more and asked us to count him out. We accepted it… Who were we to judge?
Aser Alas Jr.|You can't be born again, but you can change.
Katelynn Hillier|I am strangely excited to see how snarky and sarcastic all us bookworms are going to become when we’re old. We’ll all be Mother Ogma’s with tattoos and piercings and purple WoW leggings carrying wands and staffs, and best of all everyone’s hair will finally be able to hold colour because we’ll all have white hair! We’ll all be blogging on WordPress and still waiting for Sherlock and still celebrating Christmas with Doctor Who specials while our grandchildren play quidditch…
Carter G. Woodson|The world changes, but I want that change to be necessary or respectful of what has happened before. Everything changes, and that's quite right.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Success is a spiritual process, not a worldly one; that is to say it is an internal process, and not external.
Franz Kafka|Miss her a little? God, was she daft? He was going to miss her more than a little. No, he wasn't. He leaped to his feet and practically ran to the door. He wasn't going to miss her at all. He was going to find her and bring her home.
Jim Kokoris, It's. Nice. Outside.|Ruta Skadi was four hundred and sixteen years old, with all the pride and knowledge of an adult witch queen. She was wiser by far than any short-lived human, but she had not the slightest idea of how like a child she seemed beside these ancient beings. Nor did she know how far their awareness spread out beyond her like filamentary tentacles to the remotest corners of universes she had never dreamed of; nor that she saw them as human-formed only because her eyes expected to. If she were to perceive their true form, they would seem more like architecture than organism, like huge structures composed of intelligence and feeling.But they expected nothing else: she was very young.
Fulton J. Sheen, Life of Christ|As scientific truths put us in an intelligent relaton with the cosmos, as historic truth puts us in temporal relation with the rise and fall of civilization, so does Christ put us in intelligent relation with God the Father; for He is the only possible Word by which God can address Himself to a world of sinners.
Linda Hamilton|I am just so appreciative of God's love. It's higher than any mountain, wider than any ocean, and wider than the whole universe. His love is just that amazing!
Martin Luther King Jr.|Like anybody, I would like to have a long life. Longevity has its place. But I'm not concerned about that now. I just want to do God's will.
Anthony Powell, A Buyer's Market|Feeling unable to maintain this detachment of attitude towards human- and, in especial, matrimonial- affairs, I asked whether it was not true that she had married Bob Duport. She nodded; not exactly conveying, it seemed to me, that by some happy chance their union had introduced her to an unexpected terrestrial paradise.
Bryce C. Anderson, The Improbable Rise of Singularity Girl|Every time my head hit the pillow, I wondered why I had ever left my bed in the first place.
Mary Karr, Lit|The head can travel a far piece while the body sits in one spot. It can traverse many decades, and many conversations can be had, even with the dead.
Harold E. Varmus|Following graduation from Amherst, a Woodrow Wilson Fellowship enabled me to test the depth of my interest in literary scholarship by beginning graduate studies at Harvard University.
Robin    Black|Rejection is part of the game. Or rather, rejection is part of the profession. A profession which at times can feel like a game.
Stephen Green|There wasn't even enough meat to make proper fun of [....] I keep waiting for somebody else to come on TV, maybe a cabinet member, to read the real speech, the one that tells us ... I dunno ... stuff. Seriously, sorority girls have done the Walk of Shame home from frat parties feeling more satisfied.
Kate Bornstein, Gender Outlaws: The Next Generation|Safe gender is being who and what we want to be when we want to be that, with no threat of censure or violence.Safe gender is going as far in any direction as we wish, With no threat to our health, or anyone else’s.Safe gender is not being pressured into passing, not Having to lie, not having to hide.Sane gender is asking questions about gender - talkingTo people who do gender, and opening up about ourGender histories and our gender desires.Sane gender is probably very, very funny.Consensual gender is respecting each others’ definitionOf gender, and respecting the wishes of some to be alone,And respecting the intentions of others to be inclusive inTheir own time.Consensual gender is non-violent in that it doesn’t forceIts way in on anyone.Consensual gender opens its arms and welcomes all People as gender outcasts - whoever is willing to admit it.
Elizabeth George|No question, no problem, no concern, is too big or too small for God to handle!
Lisa Kleypas, Devil in Winter|Ah, Evie,” she heard him say softly, “I must have a heart, after all…because right now it aches like the devil.”“Only your heart?” she asked ingenuously, making him laugh.He lowered her to the bed, his eyes sparkling wickedly. “Also a few other things,” he conceded. “And as my wife, it’s your duty to ease all my aches.
Ernest Hemingway, A Farewell to Arms|I don't want to be your friend, baby. I am your friend.
James Larkin|Many good sayings are to be found in holy books, but merely reading them will not make one religious.
Os Guinness|My mother was the dearest, sweetest angel. She didn't talk; she sang. She was a tower of strength.
Jean Rhys, Voyage in the Dark|And I saw that all my life I had known that this was going to happen, and that I'd been afraid for a long time, I'd been afraid for a long time. There's fear, of course, with everybody. But now it had grown, it had grown gigantic; it filled me and it filled the whole world.
Bernard Tschumi|Architecture, of all the arts, is the one which acts the most slowly, but the most surely, on the soul.
Jettie Necole, The Vault|No, we’ll live. I promise you that.” He’d said it in a way that she couldn’t doubt, the same way he’d snapped his soldiers back into their rank on the helicopter. His words had been soft yet firm, and she wanted to believe in him as his men had, with confidence.
Helen Humphreys, Wild Dogs|Memory is a barricade against forgetting; light is a bulwark against darkness; life is a flex against the stillness of the grave. Maybe that's what I'm trying to do here, clear a space in all the debris, through all the anxieties and worries, where I can just exist, easily and simply, entire, for as long as I have left.
P.D. James|He was discovering that even hatred died a little at the end. But it still lasted longer than desire, longer even than love.
Sheri Webber, Dawn Rising|The dead teach this great lesson, which we are loathe to learn: we too will die.
Ray Romano|If golf wasn't enjoyable and there wasn't a lot of humor and enjoyment, even though the game is so frustrating, you would wonder why you put yourself through it.
Ernest Agyemang Yeboah|Everything is a choice and every choice has a consequence; a good one or bad one! We choose to choose every day, whether we choose not to choose, but it is not all our choices that result in something better! It is not all our choices that result in something lasting! It is not all our choices that result in something fulfilling. No matter what our daily conscious and unconscious choices result in, the lessons from the results of our choices that can help shape our next choices must never be neglected, for they that shall neglect the lessons from the consequences of their choices shall always choose and choose again and again, and in the end, they shall never see any lasting and fulfilling footprints!
Georg Wilhelm Friedrich Hegel|Too fair to worship, too divine to love.
Nel Newman|Some people simply seem to know how to live. They know when to seize the day, when to go with the flow, and when to row for dear life.
Peter David, The Woad to Wuin|And won’t he grow up to be the healthiest of young men, all because she kept him safe? Ready for the world. Ready to one day conquer it. To travel. Get on a train. Go to work. Get blown out of her life.Maybe she should be having that glass of wine and cigarette after all.
William James|We are like islands in the sea, separate on the surface but connected in the deep.
Katherine Marsh, Jepp, Who Defied the Stars|Francesca was a strong believer in fate. She assumed he picked up the habit from her therapist who was constantly preaching that “everything happened for a reason”, but regardless she now spouted out that philosophy like she was paid to. Everything big in her life, she believed it was all a part of God’s plan – it was all fate. So the way she saw it, it had to be fate that Paul came into her life like this.
Phillip Noyce|Classes struggle, some classes triumph, others are eliminated. Such is history; such is the history of civilization for thousands of years.
Molly Friedenfeld, The Book of Simple Human Truths|If a dog can love us unconditionally, why can't we love each other in the same way?
Kahlil Gibran, The Prophet|It was his self-esteem she had sought to destroy, knowing that a man who surrenders his value is at the mercy of anyone’s will; it was his moral purity she had struggled to breach, it was his confident rectitude she had wanted to shatter by means of the poison of guilt—as if, were he to collapse, his depravity would give her a right to hers.
Vanessa Veselka, Zazen|I tried to map the cultural trends leading up to it but as I did they grew, interconnecting and weaving backwards and sideways out to everything. Next to the megalithic institutionalized shredding of people's humanity, marked by tombstone malls and scabby hills, the Styrofoam gullets and flag-waving god-chatterers casting their votes for eternal paternity on the lap rapists - next to all of that, the intimacy between a terrorist and his target was almost a beautiful thing but I still couldn't solve that moment when they did it anyway so I grabbed more paper and widened my field of vision.
Jackie Haze, Borderless|I felt that the magical people must be in the hidden back roads and dusty cubby holes of life; on highways, in hostels, and in shabby, smoky cafes. These enchanting people are in trees, around fires and under hand-knit hats and street lamps reflecting gold on rain soaked pavement. They dance while others dangle; they vibrantly sing the songs that get jumbled and stuck in the subconscious of others who only wish to catch tune. They are the rare ones whose uncommon experiences touch your heart through just a wink of their eye, the stories stitched in the holes of their shoes, invoking a longing for the unknown, taking others to a place of missing what they've never even had -- they do not settle, they do not compromise.
Mokokoma Mokhonoana|Food cannot take care of spiritual, psychological and emotional problems, but the feeling of being loved and cared for, the actual comfort of the beauty and flavour of food, the increase of blood sugar and physical well-being, help one to go on during the next hours better equipped to meet the problems (p. 124).
Evan Meekins, The Black Banner|Love is not measured by acts or years, but by truth between two people.
Christopher Isherwood, Lions and Shadows: An Education in the Twenties|orgasm for women like coal( that takes lot of time to get heat) , and men like microwave..just push the button
Jim Brown|Knowledge is not eating, and we cannot expect to devour and possess what we mean. Knowledge is recognition of something absent; it is a salutation, not an embrace.
Mark Twain|Cats were not, in her experience, an animal with much soul. Prosaic, practical little creatures as a general rule. It would suit her very well to be thought catlike.
Nikki Rowe|With so many people in the world i am confident in saying, if you connect with someone on a soul level you dont take them for granted.
Simone de Beauvoir, Memoirs of a Dutiful Daughter|I didn't know the first thing about the people around me, but that didn't matter: I was in a new world; and I had the feelings that at last I had put my finger on the secret of freedom.
Rosamund Hodge, Cruel Beauty|Why is he scared of the dark?"I meant the words for a joke, but Shade nodded seriously. "Like all monsters. Because it reminds him of what he truly is".
Russell Wilson|The objectification of females is not a good thing! Not every rapper does this, but when the lyrics focus solely on the strip club, 'poppin' bottles' and how many girls they can 'tap,' it distorts what kids are learning. I think if there was more of a female presence in hip hop we could break up the monotony. It's all about balance.
Roshan Sharma|Success or failure is not a one day event, but continuous life process. Each day you succeed and each day you fail with life, and most of the time, success follows the failure.
محمد عبد الرحمن العريفي, Enjoy Your Life|For each door of sadness that opens, there are a thousand means of shutting it...
Magda M. Olchawska, Mikolay and Julia Meet the Fairies|We need to get to the other side of the lake if you want to help the fairies,” said Mikolay.We could use my crystal ball for transportation,” suggested Julia pulling out a small crystal ball out of her pocket.
Patrick Jennings, We Can't All Be Rattlesnakes|For though I was raised Protestant, my true religion is actually civility. Please note that I do not call my faith “politeness.” That’s part of it, yes, but I say civility because I believe that good manners are essential to the preservation of humanity— one’s own and others’— but only to the extent that that civility is honest and reasonable, not merely the mindless handmaiden of propriety.
Rob Thurman, Roadkill|England was a cold, backward, rebellious little kingdom. It's king: Henry the Eighth, remembered principally for his six wives and the chicken legs clutched in his fat fists.
Hannah Brencher, If You Find This Letter: My Journey to Find Purpose Through Hundreds of Letters to Strangers|What is the verdict?”“There is always hope.” His face softened. “However, it’s unlikely your brain damage will improve.”He’d given me the answer I’d expected and dreaded.I shut my eyes and sagged into the pillows. I’d braced myself for this result, but I’d wanted a miracle so badly that it was painful to hear the truth.Sunlight pressed in on me, trying to cheer me up. I would resist a moment longer. This room, the quilt, my closed eyes—they formed a serene barrier against the world, although it wasn’t clear to me if I wanted to keep the scary stuff out or the scared me in.
Abhijit Naskar|Experience, derived from scientific investigation, led to all the scientific literature in history. Likewise, experience, derived from religious transcendence, led to all the religious scriptures in history. It's never the other way around.
Patty Ptak Kogutek, Ed.D., G-vites ~ Everyday Invitations From God: A Handbook for Practical Spirituality|God will always watch out for our best, providing us with what we need and a soft landing when we seem to be falling.
B.J. Daniels, Dark Horse|But there are three things in this world you can’t shrug off: death, taxes – and a girl who loves you.
Dalai Lama XIV|If you think you are too small to make a difference, try sleeping with a mosquito.
Nikki Rowe|There's something beautiful about facing tragedy, you crack open a new, you find yourself in the parts of you; that can finally be explored freely with out judgement or guilt. Where to from here doesn't exist & your not sure when it will return, but there's something beautiful in facing tragedy, a new type of being within you is born and one whom is more fearless than ever before.
David Nicholls, Us|But ambition is a funny thing: it creeps in when you least expect it and keeps you moving, even when you think you want to stay put.
Sarah J. Maas, Throne of Glass|She didn't fear the night, though she found little comfort in its dark hours. It was the time when she slept, the time when she stalked and killed, the time when the stars emerged with glittering beauty and made her feel wonderfully small and insignificant.
Ernest Agyemang Yeboah|if the storm of life gives you a big blow, don't worry, just give it a great smile and pursue to leave distinctive footprints with perseverance and tenacity regardless of how arduous the errand may be. It may not be so easy but, dare to win!
Will Rogers|Advertising is a racket, like the movies and the brokerage business. You cannot be honest without admitting that its constructive contribution to humanity is exactly minus zero.
Billy Graham, Billy Graham in Quotes|It has always been a mark of decaying civilizations to become obsessed with sex. When people lose their way, their purpose, their will, and their goals, as well as their faith . . . they go “a whoring.” It is a form of diversion that requires no thought, no character, and no restraint.
B. Stevens|Roan rested his forehead against his and put a hand on his chest. Sweet man, one he didn’tdeserve. “I’m sorry.”“For what?”“The insanity that is my life. Me.”“Hey, I signed up for this ride. I knew from past experience that sexy men were always trouble,and it wasn’t like your reputation didn’t precede you. I have no one to blame but myself.”“You think I’m sexy?”“Don’t fish for compliments.
Anthony Liccione|As troubles bring money, money in turn can also bring troubles.
Sheena Kamal, The Lost Ones|I'd told him what it had been like, living on thew streets. How the police were to be avoided at all costs, how they never helped you if you were homeless or busking. How they pushed you around and made you leave public spaces. How they let other people treat you like garbage without intervening. Cops would never support someone like me. Never.' - Eyes Like Mine
W. Somerset Maugham, Of Human Bondage|He was not crying for the pain they had caused him, nor for the humiliation he had suffered when they looked at his foot, but with rage at himself because, unable to stand the torture, he had put out his foot of his own accord.
Stephen Richards|When you stop blaming others for where you are in life, that is when you can start to manifest your dream life!
Homer|They laid up in the shade of a rock shelf until past noon, scratching out a place in the gray lava dust to sleep, and they set forth in the afternoon down the valley following the war trail and they were very small and they moved very slowly in the immensity of that landscape.Come evening they hove toward the rimrock again and Sproule pointed out a dark stain on the face of the barren cliff. It looked like the black from old fires. The kid shielded his eyes. The scalloped canyon walls rippled in the heat like drapery folds.
David Sedaris, Me Talk Pretty One Day|Every day we're told that we live in the greatest country on earth. And it's always stated as an undeniable fact: Leos are born between July 23 and August 22, fitted queen-size sheets measure sixty by eighty inches, and America is the greatest country on earth. Having grown up with this in our ears, it's startling to realize that other countries have nationalistic slogans of their own, none of which are 'We're number two!
Gregory Maguire|She had that look a child has only a few times in its life, when the child has bettered her betters. The expression isn't smug, though adults often take it for smugness. It's something else. Maybe relief at having confirmed through personal experience the long-held suspicion of our species, that the enchanted world of childhood is merely a mask for something else, a more subtle and paradoxical magic.- p. 157
Doris Kearns Goodwin, Wait Till Next Year|Well, did anything interesting happen today?' [my father] would begin. And even before the daily question was completed I had eagerly launched into my narrative of every play, and almost every pitch, of that afternoon's contest. It never crossed my mind to wonder if, at the close of a day's work, he might find my lengthy account the least bit tedious. For there was mastery as well as pleasure in our nightly ritual. Through my knowledge, I commanded my father's undivided attention, the sign of his love. It would instill in me an early awareness of the power of narrative, which would introduce a lifetime of storytelling, fueled by the naive confidence that others would find me as entertaining as my father did.
H.P. Lovecraft|Outside, across the putrid moat and under the dark mute trees, I would often lie and dream for hours about what I read in the books; and would longingly picture myself amidst gay crowds in the sunny world beyond the endless forests.
Bill Gates|I'm excited to join my brother-in-law Ken Thomson every Tuesday night on SiriusXM to recap all of the awesome NFL action, and to find out what in the Wylde world of sports is going on.
Abdul Sattar Edhi|The dead has only one place to go… up. Wherever you bury them, they will go the same way, up
Peter Watts|When the time is right, when these feelings of rage and unfairness once again overcome me, I will not faint. I will fight.
Thomas Jefferson|The 'free' laborer, thanks to the development of capitalistic production, agrees, i.e. is compelled by social conditions, to sell the whole of his active life, his birthright for a mass of pottage.
Auliq Ice|Before you choose whom to love, take a look at yourself, choose your own word, think about how and reassess your time when you have given life to love, Know your ready or not and make sure you are not there to hurt making regrets on your door and paint the word I wish on your window.
Clare Havens, Doc Gutson's Revenge|Simon's brain tried to comprehend the situation. 'Was an international supermodel really holding Doc Gutson, leader of the infamous Bloodworth Gang, captive?
Roman Payne|Her body accepted my brutal seed and took it to swell within, just as the patient earth accepts a falling fruit into its tender soil to cradle and nourish it to grow. Came a time, just springtime last, our infant child pushed through the fragile barrier of her womb. Her legs branched out, just as the wood branches out from these eternal trees around us; but she was not hardy as they. My wife groaned with blood and ceased to breathe. Aye!, a scornful eve that bred the kind of pain only a god can withstand.
Pandora Poikilos, Excuse Me, My Brains Have Stepped Out|We spend so much time on the whole world instead of on those who really need us, in a world where rumours are a trend and truth is an afterthought.
Tom Robbins, Skinny Legs and All|They bowed down to him rather, because he was all of these things, and then again he was all of these things because the town bowed down.
Robert Dallek|Primarily affecting low-information voters and members of the mainstream media, Obama Worship Syndrome attributes impossible capabilities to Obama's political opponents, finds excuses for every Obama failure in everyone around him and praises the president as the finest politician - nay, human being - of our time.
Melanie Dickerson, The Beautiful Pretender|It's an invention, a fairy tale devoid of any sense, like all the legends in which good spirits and fortune tellers fulfill wishes. Stories like that are made up by poor simpletons, who can't even dream of fulfilling their wishes and desires themselves. I'm pleased you're not one of them, Geralt of Rivia. It makes you closer in spirit to me. If I want something, I don't dream of it—I act. And I always get what I want.
