Akash B Chandran|Use time and space; grow slowly into your dreams, infinity will fill you with peace.
David Mamet|The way Magnus’ breath had sounded, rattling in his chest, before he’d said his father’s name.
Niccolò Machiavelli, The Prince|...any object functioning within the physical laws of any particular universe does not have free will ... In terms of human beings, all behavior and cognition cannot appear out of thin air. Behavior and cognition must be the result of prior causes. This is because our brains obey the same laws of a cause and effect physical universe just like any other physical object. All events that occur in the universe are caused by antecedent events.Quantum indeterminacy, which maintains that the state of a system does not determine a unique collection of values for all its measurable properties, is not a valid argument for free will and has been used incorrectly to justify beliefs of independent decision-making. Logically speaking, notions of randomness and indeterminism are actually additional arguments against free will. All events that occur at random in the universe are, by definition, not caused by antecedent events. Or to say it a different way, any random event cannot also be a willed event.By the process of elimination, events that are “willed freely” are events that are neither determined nor random. In other words, in all likelihood events that are “willed freely” are events that simply do not exist.
Miriam Toews, Irma Voth|Irma, she said. But I had started to walk away. I heard her say some more things but by then I had yanked my skirt up and was running down the road away from her and begging the wind to obliterate her voice. She wanted to live with me. She missed me. She wanted me to come back home. She wanted to run away. She was yelling all this stuff and I wanted so badly for her to shut up. She was quiet for a second and I stopped running and turned around once to look at her. She was a thimble-sized girl on the road, a speck of a living thing. Her white-blond hair flew around her head like a small fire and it was all I could see because everything else about her blended in with the countryside. He offered you a what? she yelled. An espresso! I yelled back. It was like yelling at a shorting wire or a burning bush. What is it? she said. Coffee! I yelled. Irma, can I come and live--I turned around again and began to run.
Charlie Puth|It was so weird that I would end up directing 'The Greatest Game Ever Played,' because, y'know, I'm not a big golfer myself. But I grew up around the game. My mom and dad kind of built their dream house off the 11th fairway of Shady Oaks Country Club in Fort Worth.
Robert Kennedy|You will always have partial points of view, and you'll always have the story behind the story that hasn't come out yet. And any form of journalism you're involved with is going to be up against a biased viewpoint and partial knowledge.
Aryn Kyle, Boys and Girls Like You and Me: Stories|You tell us about your other friends. You feel guilty speaking about them, but you are annoyed, frustrated. You don't always trust their motives. You feel pressured by their demands on you. You're worn out by the effort it takes to be with them, to feign interest in their stream of never-ending problems.
Debasish Mridha|When you're alive hope is smiling for a great life.So don't delay, hope for the best, take actions and have a great life.
Milan Kundera|Dogs have more love than integrity. They've been true to us, yes, but they haven't been true to themselves.
Kiki Archer, But She Is My Student|I am learning my way toward something that will make sense of my life, and I learn by going where I have to go, with whatever companions I am graced.
Kiera Cass, The Selection|She couldn’t have been more than twelve years old. In her hands was a sign that said RED-HEADS RULE! with a little crown painted in the corner and tiny stars everywhere. I knew I was the only redhead in the competition, and I noticed that her hair and mine were very nearly the same shade.
Vishwanath S J|Between the streams of probability & possibility, lies the timeless, spaceless realm where time gets created!
L.J. Smith, Nightfall|Come on, it’s an American tradition. Apple soup? Mom’s homemade chicken pie?' She chuckled in spite of herself, then winced. 'It’s apple pie and Mom’s homemade chicken soup. But you didn’t do badly, for a start.
Penelope Leach|If there comes a little thaw  Still the air is chill and raw  Here and there a patch of snow  Dirtier than the ground below  Dribbles down a marshy flood  Ankle-deep you stick in mud In the meadows while you sing  "This is Spring."
Cherise Sinclair, Doms of Dark Haven 2: Western Nights|He caught her staring and smiled-not a conceited I-work-out-and-have-a-great-body type smirk, but more of a I’m-a-boy; you’re-a-girl; life is good.
Bauvard, Some Inspiration for the Overenthusiastic|Careers are not made in a family business, they are born – by patricide. Then they die from neglect, and avoid the tragedy of being put out of business.
The Weeknd|I started out doing production work on promos, stuff like that. I didn't think it was cool to be working for NPR. I didn't need anything to be cool. I just wanted something to do that would be interesting. It was fun. I didn't think of it as anything else but fun.
Steve Harvey, Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment|Don't be afraid to lose him, because if a man truly loves you, he's not going anywhere
Robin S. Sharma|Being a good leader requires remembering that you're there for a reason, and the reason certainly isn't to have your way. High-integrity leaders not only welcome questioning and criticism - they insist on it.
Sandy Fussell, Shaolin Tiger|In the seventh century, Isaac the Syrian wrote about 'stillness,' which in his writings has been summarized as 'a deliberate denial of the gift of words for the sake of achieving inner silence, in the midst of which a person can hear the presence of God. It is standing unceasingly, silent, and prayerfully before God.
Vicki Pettersson, The Touch of Twilight|What," asked Mr Croup, "do you want?""What," asked the Marquis de Carabas, a little more rhetorically, "does anyone want?""Dead things," suggested Mr Vandemar. "Extra teeth.
Paul Gibbons, Reboot Your Life: A 12-day Program for Ending Stress, Realizing Your Goals, and Being More Productive|As life progresses, baggage can accumulate. For a while, things can be swept under the rug, but the wait of unfinished business eventually catches up.
Jay Asher|Justin, honey, you were my very first kiss. My very first hand to hold. But you were nothing more than an average guy. And I don't say that to be mean- I don't. There was just something about you that made me need to be your girlfriend to this day I don't know exactly what that was. But it was there.. and it was amazingly strong. -Thirteen Reasons Why
David Levithan, How They Met, and Other Stories|I was seventeen, halfway toward eighteen, and I had learned something nobody had ever taught me: Once you get to a certain age, especially if a driver’s license is involved, you can go a whole day—a whole week, even—without ever seeing your family. You can maybe say good morning and maybe say good night, but everything in the middle can be left blank.
Benjamin Disraeli|There are three types of lies -- lies, damn lies, and statistics.
Manil Suri, The City of Devi|One particular aspect of Siddhartha’s revelation of the outside world has always struck me. Quite possibly he lived his first thirty years without any knowledge of number. How must he have felt, then, to see crowds of people mingling in the streets? Before that day he would not have believed that so many people existed in all the world. And what wonder it must have been to discover flocks of birds, and piles of stones, leaves on trees and blades of grass! To suddenly realise that, his whole life long, he had been kept at arm’s length from multiplicity.
Gary Bauer|A marriage contract to me is as binding as any in business, and I have always believed in sticking to an agreement.
Jordan Castillo Price, Body and Soul|I stared at the spot where [the ghost of] Warwick's nephew had warned me never to tell anyone what I could do, and then I slid my hand into Jacob's and pulled him close. He slipped his other arm around me and held me. I kissed him, and tried to clear my mind of everything but him and me. I looked deep into his eyes, and tried to determine if I was ready to let him in on the one thing I'd been carrying with me since my first round of psychic testing. He started back at me like a man who'd fallen for me, hard. And that part inside, the one that usually tells me to run, or to shut up, or to play along and myself invisible and hopefully whatever I'm dealing with will just go away? That part of me said, /Yes. Tell him./"I've got more talent than everyone on their payroll put together," I said. Jacob squeezed me tighter. His eyes never moved from mine. "I'm so far beyond level five it's not even funny
Imran Khan|Religion is about integration, about successfully bringing the selfish ego into line with the centre of the personality where God exists, as a divine spark, in every human being. Religion is about helping man to live in harmony with his true self and to become the person God’s designed him to be.
Robert A. Heinlein, Stranger in a Strange Land|The worst that can possibly have happened to him is death and that we are all in for---if not this morning, then in days, or weeks, or years at most.
Sunday Adelaja|Even if you are a loser today, it doesn’t mean that you cannot change yourself
Isao Takahata|And not one person would notice the grey parts of her until it was too late, because everyone falls for a pretty face.
Jonathan Page Acabo|Friends are more than your special loved ones – in certain cases. Because of their support in certain matters, you get inspired. Sometimes it’s our friends that we acquire a huge amount of strength which encouraged us to do things to pursue our personal goals. It is because friends are open-minded and they understand how you feel. Hence, we can’t deny the fact that there were certain times that our loved ones (parents) never show support sometimes in whatever things we would like to achieve. But our friends does.
Christopher Hitchens, Hitch-22: A Memoir|The soul is "torn apart in a painful condition as long as it prefers the eternal because of its Truth but does not discard the temporal because of familiarity.
Patricia Highsmith|If I was president of the Slime Committee, I'd make it easier to come clean about shit. If coming clean is what you're supposed to do, then it should be made more fucken accessible, I say.
Sunday Adelaja|In order to reach his destiny and have dominion over the earth, man has to get wisdom.
Thomas L. Friedman|America is the greatest engine of innovation that has ever existed, and it can't be duplicated anytime soon, because it is the product of a multitude of factors: extreme freedom of thought, an emphasis on independent thinking, a steady immigration of new minds, a risk-taking culture with no stigma attached to trying and failing, a noncorrupt bureaucracy, and financial markets and a venture capital system that are unrivaled at taking new ideas and turning them into global products.
Auliq Ice|Money is a very dangerous thing, you have to get know how to look after it or else you will loose it with ease and remember how you would've it in hard times.
James Montgomery Boice|Richness and fat does need,In logic clever fine deeds,But paunches never do breed,Fine thoughts or sublime seeds.[45]	- 2
St. John Morris|I once went to one of his Virgin Vie parties and had a really good time watching Chas having a paddy whilst trying to put on Dave’s socks, before realising that he only had two feet, compared to Dave’s three.
J.R.R. Tolkien, The Return of the King|And the ship went out into the High Sea and passed into the West, until at last on a night of rain Frodo smelled a sweet fragrance on the air and heard the sound of singing that came over the water. And then it seemed to him that as in his dream in the house of Bombadil, the grey rain-curtain turned all to silver glass and was rolled back, and he beheld white shores and beyond them a far green country under a swift sunrise.
Janvier Chouteu-Chando, Me Before Them|You know you are getting old when yesterday turns out to be a fading memory you have difficulties recollecting, when today becomes a challenge that is hard to grasp and when tomorrow promises an uncertainty that you dread encountering.
Edwin Kagin|There are Atheists in foxholesAtheists in hurricanesThere are Atheists in all the rolesDenied by your refrainsAtheists are your fellow citizensPeople who love and laugh and cryAtheists are your relatives and friendsDon't insult them with a lieAtheists in many foxholes servedAnd some have had to dieGive Atheists the thanks deservedDon't dismiss them with a lieAtheists are all around youThey work, they help, they careAnd no matter what you think is trueAtheists are everywhereAnd no matter what you think is trueThey do not want your prayer
Eckhart Tolle|Miss Gates is a nice lady, ain't she?"Why sure," said Jem. "I liked her when I was in her room."She hates Hitler a lot . . ."What's wrong with that?"Well, she went on today about how bad it was him treating the Jews like that. Jem, it's not right to persecute anybody, is it? I mean have mean thoughts about anybody, even, is it?"Gracious no, Scout. What's eatin' you?"Well, coming out of the courthouse that night Miss Gates was--- she was going' down the steps in front of us, you musta not seen her--- she was talking with Miss Stephanie Crawford. I heard her say it's time somebody time somebody taught 'em a lesson, they were gettin' way above themelves, an' the next thing they think they can do is marry us. Jem, how can you hate Hitler so bad an' then turn around and be ugly about folks right at home---
Brynn Myers, Entasy|I needed this cold shower for more than one reason; the sexy male from my dream this morning returned during my little siesta. His sultry baritone was still fresh in my mind as I waited for the water to heat up. My Gaelic may have been a bit rusty, but from what I could understand, he had planned quite the erotic encounter under a sacred willow tree. I wasn’t sure I understood the reason for the tree, but he was quite adamant about it. Hey – tree or no tree, when he spoke and kissed my neck, I would have found a way to steal the Eiffel Tower if he had asked.
Daniel Nestor|Some spider silks are really strong, but not all of them are. The ones that are really strong can actually rival steel and approach the tensile strength of Kevlar. Thus far, the dragline silk seems to be the strongest.
Fernando Pessoa, Poems of Fernando Pessoa|Lord, may the pain be ours, And the weakness that it brings, But at least give us the strength, Of not showing it to anyone!
Diane von Furstenberg|Along with that ongoing process Sinn Fein took a decision to establish a peace commission which had the responsibility to travel around the country to receive submissions from the general public, also our opponents.
Sarah MacLean, Never Judge a Lady by Her Cover|Waves of ice cold shock swept over Theo.Mrs. Dietrich, the woman who fed him chocolate cookies every time she pulled a sliver from his finger, the woman who’d tended him through every sickness and illness he’d had, the woman he loved as much as his own mother: a war spy and traitor.Impossible!“You think your mom is a spy?” He said the words slowly, not quite believing they came from his mouth. “For Germany? That’s the most ridiculous thing I’ve ever heard.
Gordon B. Hinckley|I don't listen to the radio very much, but that could be because I don't have a car.
Jim Morrison, Wilderness: The Lost Writings, Vol. 1|You’re never too old, never too bad, never too late and never too sick to start from the scratch once again.
Jorge Luis Borges, Selected Non-Fictions|As Plato: We become more worthy the more we bend our minds to the impersonal. We become better as we take in the universe, thinking more about the largeness that it is and laugh about the smallness that is us.
Evan Osnos|Well, then he would be at war with the government, and death was an unfortunate side effect of any revolution. Change always had a price tag. But once he took over, the people would realize he was a better ruler than the disorganized, self-interested mob that called themselves Congress -- men who didn't know anything, being led by a president who knew even less.
Willard Van Orman Quine|Students of the heavens are separable into astronomers and astrologers as readily as are the minor domestic ruminants into sheep and goats, but the separation of philosophers into sages and cranks seems to be more sensitive to frames of reference.
Wayne Dyer|Money, it turned out, was exactly like sex, you thought of nothing else if you didn't have it and thought of other things if you did.
Haritha Velpureddy|He is the King with your consent, stop blaming and start making better choices.
Stephenie Meyer, The Host|It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful.
Ron Suskind, The Way of the World: A Story of Truth and Hope in an Age of Extremism|By our day, self-restraint was considered madness.
Michael Spradlin|I once bought my kids a set of batteries for Christmas with a note on it saying, toys not included.
Ralph Merkle|The Navy's paid for you to go through school, and then they need doctors to go out and take care of people who are in various different parts of the world. I decided to pay back my time first as an undersea medical officer. I was stationed in Scotland.
Bobbie Kinkead|If you can't control an emotion, it is not yours. You are in control.
J.K. Rowling, Harry Potter and the Deathly Hallows|I will always respect Mr. Charles chuck Mackey for the way he dealt with me. His approach was not hostile, rather his approach was one, “Look here, I’m working with you, so I need you to work with me.” He showed me first that he had my back, and it was easy for me to do the same for him. Mr. Mackey was well known in the entire school as a no-nonsense but fair person. There are some school administrators that aren’t intimidating at all, but with Mr. Mackey, it was totally different. When we saw him, even if we were not doing anything wrong and our uniform was intact, we still tend to avoid him by going in a different direction. His presence alone demanded that kind of respect.
Ernest Agyemang Yeboah y|Don’t cap your potential in the name of humility. First, maximize your potential, serve the world with your greatness and then worry about pride :-) lol
Sonia Sotomayor, My Beloved World|Good boundaries, created by the use of good intimacy skills, keep a committed or intimate relationship lightly balanced between the needs of the individual and the needs of the relationship.
Kim Stanley Robinson, Red Mars|Science was many things, Nadia thought, including a weapon with which to hit other scientists.
Isaac Asimov|Ships that pass in the night, and speak each other in passing, only a signal shown, and a distant voice in the darkness; So on the ocean of life, we pass and speak one another, only a look and a voice, then darkness again and a silence.
Charlaine Harris, Dead Until Dark|I snuck a look to see how Eric was taking this, and he was staring at me the same way the Monroe vampires had. Thoughtful. Hungry."That's interesting," he said. "I had a psychic once. It was incredible.""Did the psychic think so?
|Chose your love, love your choice.
Jorge Luis Borges, The Garden of Forking Paths|human societies, at least the more advanced cultures, have rarely offered the individual anything but imperialism, racism, and ethnocentrism for dealing with "other" cultures.
Josephine Winslow Johnson, Now in November|Worry whispered through his mind like madness. Mad Dog had refused to leave his family, and in the end, it had cost all of them their lives. Ryder swore he’d find a way to leave before anything happened to Lauren.
Ramana Pemmaraju|I follow my own methods, and tell as much or as little as I choose. That is the advantage of being unofficial.
Myles Munroe|Science can lift people out of poverty and cure disease. That, in turn, will reduce civil unrest.
Claire Fuller, Swimming Lessons|Writing does not exist unless there is someone to read it, and each reader will take something different from a novel, from a chapter, from a line.
Liz Kessler, Read Me Like a Book|I took a breath and watched as he leaned down over my exposed, lumpy belly. Very lightly, he kissed it. He kissed the spot beneath my ribs and all the way down to my navel. He kissed across my lower stomach, that wretched expanse where the stretch marks raked across my skin, then up and down my sides. Harry kissed every inch of my horrible flesh with a tenderness so great and loving, and all the while, my eyes stayed clenched tight. 'I am loved,' a voice inside me declared.
Donna Lynn Hope|Any fighter knows that regret that doesn't inform your future is wasted emotion. If you lose and dwell on the missed opportunity rather than the chances to come, you're finished.
James Joyce, Ulysses|Wombed in sin darkness I was too, made not begotten. By them, the man with my voice and my eyes and a ghost-woman with ashes on her breath. They clasped and sundered, did the coupler's will.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|A conscious human is driven by their conscience, not popular opinion.
Debasish Mridha|To be great, practice simplicity and express humility.
Anita Brookner, Hotel du Lac|That sun, that light had faded, and she had faded with them. Now she was as grey as the season itself.
C.S. Lewis, The Screwtape Letters|In every age a general misdirection of what may be called sexual "taste"... [is] produce[d by the devil and his angels]. This they do bu working through the small circle of artists, dressmakers, actresses, and advertisers who determine the fashionable type. The aim is to guide each sex away from those members of the other with whom spiritually helpful, happy, and fertile marriages are most likely. Thus [they] have now for many centuries triumphed over nature to the extent of making certain secondary characteristics of the male (such as the beard) disagreeable to nearly all the females-and there is more in that than you might suppose. As regards the male taste [they] have varied a good deal. At one time [they] have directed it to the statuesque and aristocratic type of beauty, mixing men's vanity with their desires and encouraging the race to breed chiefly from the most arrogant and prodigal women. At another, [they] have selected an exaggeratedly feminine type, faint and languishing, so that folly and cowardice, and all the general falseness and littleness of mind which go with them, shall be at a premium. At present [they] are on the opposite tack. The age of jazz has succeeded the age of the waltz, and [they] now teach men to like women whose bodies are scarcely distinguishable from those of boys. Since this is a kind of beauty even more transitory than most, [they] thus aggravate the female's chronic horror of growing old (with many [successful] results) and render her less willing and less able to bear children. And that is not all. [They] have engineered a great increase in the license which society allows to the representation of the apparent nude (not the real nude) in art, and its exhibition on the stage or the bathing beach. It is all a fake, or course; the figures in the popular art are falsely drawn; the real women in bathing suits or tights are actually pinched in and propped up to make them to appear firmer and more slender and more boyish than nature allows a full-grown woman to be. Yet at the same time, the modern world is taught to believe that it is being "frank" and "healthy" and getting back to nature. As a result [they] are more and more directing the desires of men to something which does not exist-making the role of the eye in sexuality more and more important and at the same time making its demands more and more impossible.
Daphne Rose Kingma|The potential for loss of soul--to one degree or another--is the affliction of a society that as a collective has lost its sense of the holy, of a culture that values everything else above the spiritual. We live in such a spiritually impoverished culture--and in such a time. Loss of soul, to one degree or another, is a constant teasing possibility. We are invited at every corner to hedge on the truth, indulge outselves, act as if our words and actions have no ultimate consequence, make an absolute of the material world, and treat the spiritual world as if it were some kind of frothy, angelic fantasy. In such a world the soul struggles for survival; in such a world a man can lose his own soul and have the whole culture support him, and in such a world, conversely, the light of a single, great soul that lives in integrity can truly illumine the world.
Saurabh Sharma|Maybe what stopped people from voting wasn't a lack of information about the candidates or a feeling that the outcomes of races didn't matter or a sense that a trip to the polls was inconvenient. What if voting wasn't only a political act, but a social one that took place in a liminal space between the public and private that had never been well-defined to citizens? What if toying with those expectations was key to turning a person into a voter? What if elections were simply less about shaping people's opinions than changing their behaviors?
Dan Brown, The Lost Symbol|We are creators, and yet we naively play the role of "the created." We see ourselves as helpless sheep buffeted around by the God who made us. We kneel like frightened children, begging for help, for forgiveness, for good luck. But once we realize that we are truly created in the Creator's image, we will start to understand that we, too, must be Creators. When we understand this fact, the doors will burst wide open for human potential.
Franz Kafka, Blue Octavo Notebooks|The observer of the soul cannot penetrate into the soul, but there doubtless is a margin where he comes into contact with it.
Naomi Wolf|If women cannot eat the same food as men, we cannot experience equal status in the community.
Nora Roberts, Key of Knowledge|I believe the more personally removed people are from a major financial event, the less it is to affect their appetite for risk.
Dada Bhagwan|He who controls the minds of others is a ‘Gnani’ (the enlightened one). Only when your mind is completely under your control, can other’s mind come under your control. How can the other persons mind come under your control when one has disturbances himself.
Luo Guanzhong, Romance of the Three Kingdoms, Vol. 1|With the amount of diazepam in me, I should have been content to lie back and let events unfold as they may, and my curiosity did for a moment consider it, but then a punch of panic reminded me that people far saner than I were murdered for less in more conspicuous locations.
Terry Pratchett|If making a difference in someone else’s life makes me sleep every night, then I will do it everyday.
Chris Rock|Yeah, I love being famous. It's almost like being white, y'know?
Toni Sorenson|You can be an atheist three seasons out of the year, but not during spring. Spring makes it mandatory to believe in a Divine Creator.
Avina Celeste|I might be crazy, but at least I'm not insane.
Nikos Kazantzakis, Zorba the Greek|It's really important that you feel good. Because this feeling good is what goes out as a signal into the universe and starts to attract more of itself to you. So the more you can feel good, the more you will attract the things that help you feel good and that will keep bringing you up higher and higher.
Monica Pradhan, The Hindi-Bindi Club|I don’t want to freeze my eggs. I don’t want to visit a sperm bank. I don’t want to be a single parent, if I have any choice in the matter. I want a nuclear family. I want to put down roots, to let my seeds germinate, to watch them bloom and flourish. Not one day, if and when I ever fall in love again, but now. While I still have my youth, damn it.
Ludwig von Mises, Human Action: A Treatise on Economics|Without exception all political parties promise their supporters a higher real income. There is no difference in this respect between nationalists and internationalists and between the supporters of a market economy and the advocates of either socialism or interventionism. If a party asks its supporters to make sacrifices for its cause, it always explains these sacrifices as the necessary temporary means for the attainment of the ultimate goal, the improvement of the material well-being of its members. Each party considers it as an insidious plot against its prestige and its survival if somebody ventures to question the capacity of its projects to make the group members more prosperous. Each party regards with a deadly hatred the economists embarking upon such a critique. 
Yvonne Pierre, The Day My Soul Cried:  A Memoir|The happier person is one, that acknowledges and accepts life won't get any better than this.
Maya Banks, The Darkest Hour|Is there something wrong?” he asked.She gave a short negative motion with her head. And then words, so sweet, like a cool northern breeze blowing off the lake. “You could hold me now.”It was almost his undoing.“Ah baby.
Válgame, Poemas y canciones para el mal de amores Volumen1|How quickly self rises to the surface, and the instrument is ready to believe he is something more than an instrument! How sadly easy it is to make of the very service God entrusts us with a pedestal on which to display ourselves. But God will not share His glory with another, and therefore does He "hide" those who may be tempted to take some of it unto themselves. It is only by retiring from public view and getting alone with God that we can learn our own nothingness.
Fulton J. Sheen, The Seven Capital Sins|Love is my sin, and thy dear virtue hate,Hate of my sin, grounded on sinful loving,
Isaac Marion, Warm Bodies|There's no benchmark for how life's "supposed" to happen. There is no ideal world for you to wait around for. The world is always just what it is now, it's up to you how you respond to it.
John S. Watson|Look, half the men who signed the Declaration of Independence were either in debt or bankrupt. The remaining half, most of them lost all their possessions. The only reason Monticello didn't get burned to the ground was that the British patrol missed the road.
Brian Jacques|One time, the teacher was the storehouse of knowledge. That will no longer be so. So what would a teacher do? A very good teacher will play the role of augmenter. Also, the teacher will be located anywhere and helping students.
Laurell K. Hamilton, Bloody Bones|One thing I've learned about vampires--they keep pulling new rabbits out of their cloaks. Big, fanged, carnivorous bunnies that'll eat your eyeballs if you're not paying attention.
Gloria Steinem|Sometimes people ask me how difficult the astronaut program was, but being in Sierra Leone, being responsible for the health of more than 200 people, seven days a week, 24 hours a day, 365 days a year, at age 26 - that prepared me to take on a lot of different challenges.
Mary Maina, The Proverbs 31 Lady: Unveiling Her Secrets Before Saying I Do|Our simple daily decisions can become our best friend or our worst enemy. They can draw us towards our goals or send us orbiting into a galaxy far, far away. These are the days of our lives. We are offered choices every day; sickness or health, poverty or wealth, happiness or misery, knowledge or ignorance, to jump or to wait, to grow or to die, faith or doubt, for better or worse. Everything in your life exists because you made a series of decisions. Each decision, positive or negative, starts a behavior that over time becomes a habit. It is the little things that we put off doing that cumulatively make an enormous difference–in the end results.
Eoin Colfer|There are things in this world that no human being should be able to endure. We should die of heartbreak, but we do not. Instead, we are forced to survive, to bear witness.
Jonathan Kozol|When James Bond presses the watch and the car explodes, the writer doesn't go into the science of it. One should leave it to the leap of faith. I have tried to explain as much as possible, and what I can't, I have left it to people's imagination.
Charles Finch, The Last Enchantments|I need not repeat familiar arguments about the waste of teachers' time, and the difficulties thrown in the way of English children trying to learn their own language; or the fact that nobody without a visual memory for words ever succeeds in spelling conventionally, however highly educated he or she may be.
Billy Ray Cyrus|If you don't believe God has forgiven you, you are actually saying that God needs to do more for your forgiveness, and that Jesus' sacrifice was not enough.
Haruki Murakami, 1Q84|What is morality, she asked.Judgement to distinguish right and wrong, vision to see the truth, and courage to act upon it, dedication to that which is good, integrity to stand by the good at any price. 
Larry Gent, To Money and a TV|When men cry, real men, we cry Man Tears. Those are tears made up of actual meat. We basically cry pork chops and steaks. Imagine a steak tearing its way out of your eye. It hurts like hell, which causes more tears. It's a vicious cycle
Anna Godbersen, Envy|She was trying to sound tough and impatient, but she knew that vulnerable desire to be wooed was still brimming in her tone.
Jaci Burton, Playing to Win|Lieutenant Welsh remembered walking around among the sleeping men, and thinking to himself that 'they had looked at and smelled death all around them all day but never even dreamed of applying the term to themselves. They hadn't come here to fear. They hadn't come to die. They had come to win.
Sunday Adelaja|Knowing God, we will always understand the path that leads to success
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Gabriel discourages emotional attachments the way most of us discourage door-to-door salesmen. They're inconvenient, intrusive, and liable to end up saddling you with something you never wanted in the first place, at a cost far higher than you wish to pay.
Kami Garcia, Beautiful Chaos|Integrity is the antithesis of compromise and the sworn enemy of comfort. It bases its decisions not on how much discomfort we might be able to avoid, but on how much we need to avoid the compromise of comfort.
Oscar A. Romero, The Violence of Love|Let us not forget: we are a pilgrim church, subject to misunderstanding, to persecution, but a church that walks serene, because it bears the force of love.
Deyth Banger|(2) goes like this that the one part is up to this time goes bright and it's a day and in other it's night. Just thinking on this, it's not so simple... it's not the magic, everything has gone and can't be changed, just thinking on this everything is devastated...
M.F. Moonzajer, A moment with God ; Poetry|Well, it's a good thing we're together. It sounds like I have to make sure you don't jump off a cliff. Or that if you do, I have to be down there to catch you, and give you back your sanity.
Donna Grant, Night's Blaze: Part 1|Someone could tell you that they loved you every day, but still lie and cheat. Or they could never say those three words, but be there for you every day and be more than you ever wanted or dreamed. He wasn’t warm or cuddly, quiet or particularly nice to others, but he was nice to me, and in my heart I knew he would stand by me every time I needed him.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|It takes a rare person to care the same or more about you than themselves. So, until you find that person, please look after yourself.
William Shatner|We have one planet in our solar system that's habitable, and that's the Earth, and space travel can transform things back here for the better. First of all, by just having people go to space and look back on this fragile planet we live on. People have come back transformed and have done fantastic things.
Chris Hill|Without risk I have no fear, without any fear - what's the point, because I have no opportunity for success.(Gavin Kaysen)
Henry David Thoreau|Born of a noble father and a saintly mother, President Hinckley learned as a young boy the truths of the restored gospel from his faithful parents. He came to respect deeply and value highly his pioneer heritage.
Lailah Gifty Akita|Grace is freely given by God, in sacred moment of salvation.
Colleen Hoover, Confess|Flynn was kissing her again, not to help her forget but to force her to remember. Everything he had meant to her then. Everything he meant to her now. How he always had been, and forever would be, her world.
E.L. Konigsburg, Talk, Talk : A Children's Book Author Speaks to Grown-Ups|Since language is the only tool with which writers can reflect and shape a culture, it must be transformed into art. Language is not a limitation on the art of literature; it is a glorification. It has been the scaffolding inside which nations and philosophies have been built, and the language of literature has added the ornamental pediment by which the culture is remembered.
Hadas Moosazadeh, Tora-Bora Mountains|Are―you dying?" she asked."Just can't breathe. This air.""Poor, poor―good lord. I've forgotten your name.""Hell of a thing.""Barney!"He clutched her."No! Don't stop!" She arched her back. Her teeth chattered."I wasn't going to," he said. "Oooaugh!"He laughed."Don't please laugh at me.""Not meant unkindly."A long silence, then. Then, "Oof.
J.M. Stewart, The Playboy's Baby|Keisha said... I'm going to ride you so hard you might regret seeking shelter here.Gabe replied... IF you don't, I'm gonna need to go back out and throw myself into a snowbank just to cool off
Regina Brett|Pop stardom is not very compelling. I'm much more interested in a relationship between performer and audience that is of equals. I came up through folk music, and there's no pomp and circumstance to the performance. There's no, like, 'I'll be the rock star, you be the adulating fan.'
Maya Banks, Hidden Away|Things always happen for a reason, that’s what everybody says.”“But often, not for the reasons we wanted.”“Yeah, it’s like a rule of life, or something.” Dia menghela napas. “But I think believing that things happen for a reason makes it easier for us to keep going. Dengan menerima kenyataan, kita akan lebih mudah bergerak maju, mengecilkan ruang untuk rasa sesal.
Sunday Adelaja|In our age, the problems that needs to be solved are growing in number and business of life is overpowering
Awsaaf Ali|...and it's that time of the day when the fatigue sets in. No, not the physical type of fatigue that goes with a stretching of limbs or a session in my sauna;which in fact is sparkling signifying it's existence for sheer aesthetics rather that practical use!It was that mental fatigue , when my soul was exhausted and weary; that I needed a shot of Gatorade;just to calm my nerves,stopping me from hallucinationsand let me fall asleep!
Derek Walcott|Who is the man who can speak to the strong?Where is the fool who can talk to the wise?Men who are dead now have learnt this long,Bitter is wisdom that fails when it tries.
Jackson Pearce|I wanted to know what it was like to be a drug addict, and have an eating disorder, and have a loved one die, and fall in love. I saw my friends going through these things, I saw the world going through these things, and I needed to understand them. I needed to make sense of them. Books didn’t make me wallow in darkness, darkness made me wallow in books, and it was books that showed me there is light at the end of the tunnel.
Auliq Ice|Few in this world are ever simply nasty; those who hurt us are themselves in pain. The appropriate response is hence never cynicism or aggression but, at the rare moments one can imagine it, always love.
China Miéville, Three Moments of an Explosion|Economic control is not merely control of a sector of human life which can be separated from the rest; it is the control of the means for all our ends. And whoever has sole control of the means must also determine which ends are to be served, which values are to be rated higher and which lower, in short, what men should believe and strive for.
Shannon Huffman Polson, North of Hope: A Daughter's Arctic Journey|Grief would weave itself among the threads of love and life and hope, and I was starting to believe that what came of it all would still one day be beautiful.
Chai Jing|The Chinese have figured out that they have a giant environmental problem. Folks in Beijing, some days, literally can't breathe. Over a million Chinese die prematurely every year because of air pollution.
