Joel Rosenberg|A man can be short and dumpy and getting bald but if he has fire, women will like him.
Kristen Painter, The Professor Woos The Witch|Merik swiveled his wrists slowly. At night, the temple was too dark to see the blood dripping from his arms, pooling on the granite flagstones. He felt it falling, though. Just as he felt the new, burned flesh on his hands stretching beneath torn gloves.Yet even as pain shivered through his body, he couldn’t help but think: Only a fool ignores Noden’s gifts. For if Merik looked at this case of mistaken identity from the just the right angle, it could in fact all be seen as boon.The assassin in the night. The fire on the Jana. The attack of a Waterwitch in Pin’s Keep. Each event had led Merik here, to Noden’s temple. To a fresco of the god’s left hand.To the Fury.Twice now, he’d been mistaken for that monstrous demigod, and twice now, it had worked in Merik’s favor. So why not continue using the fear invoked from that name? Was Merik not doing the Fury’s work by bringing justice to the wronged and punishment to the wicked? It was clear that Nubrevnans needed Merik’s help, and his sister Vivia…Well, she was stil out there. Alive. Wretched.So was it not Merik’s moral duty to keep her off the throne? And he could do that if he could just prove she had indeed tried to kill him—that it was she who’d purchased that prisoner from Vizer Linday, and she who’d sent the prisoner to kill Merik.Yes. This was right. This was Noden’s will. It throbbed in Merik’s wounds. It shivered across his scalp and down his raw back.Take the god’s gift. Become the Fury.Merik rose, stiff but strong, from the temple floor, and with a new purpose in his movements, he tugged his hood, his sleeves, his gloves into place. Then he turned away from the Fury’s gruesome fresco and set out to bring justice to the wronged.Punishment to the wicked.
Darren Aronofsky|We were a family that made our Halloween costumes. Or, more accurately, my mother made them. She took no suggestions or advice. Halloween costumes were her territory. She was the brain behind my brother's winning girl costume, stuffing her own bra with newspapers for him to wear under a cashmere sweater and smearing red lipstick on his lips.
Martin Luther|Our tears are precious, necessary, and part of what make us such endearing creatures.
Joseph M. Chiron, Tagged: The Apocalypse|How would you rather die?" she snapped. "Hiding under your bed or riding Thunder Mountain?
Brandon Mull, Secrets of the Dragon Sanctuary|Are you all right?” he asked Olivia. His heart was still racing with terror that she’d been hurt. “I heard a woman scream.”“Ah, that would have been me,” Sebastian said.Harry looked down on his cousin, face frozen in disbelief. “You made that noise?”“It hurt,” Sebastian bit off.Harry fought not to laugh. “You scream like a leettle girl.
|Life will always be full of great possibilities, as long as one approaches it with a mind that deeply believes in an endless journey of success and happiness.
Jennifer Kacey, No Place Like Home|He licked her shoulder and pulled her closer, into the shelter of his body. “No worries, nysr. I’ll watch over you while you sleep. And I’m not going anywhere. Not ever.
Conrad Black|What are the relationships between power and knowledge? There are two bad, short answers: 1. Knowledge provides an instrument that those in power can wield for their own ends. 2. A new body of knowledge brings into being a new class of people or institutions that can exercise a new kind of power.
John le Carré, The Honourable Schoolboy|Wives?" she asked, interrupting him. For a moment, he had assumed she was tuning to the novel. Then he saw her waiting, suspicious eyes, so he replied cautiously, "None active," as if wives were volcanoes.
Neil Gaiman, Signal to Noise|Multi-colored lights flashed and glared on the wet road and cast eerie reflections, reminiscent of artistic surrealism. Fillion imagined that his distress and anger swirled and moved with the refracted lights, creating an urban masterpiece of demented fury.
Robert A. Heinlein|I'm never going to go to Mars, but I've helped inspire, thank goodness, the people who built the rockets and sent our photographic equipment off to Mars.
Mark Twain|It was funny how none of her classes in library science has prepared her for this sort of thing, dead bodies, staff under suspicion, crazed reporters. Really, they needed to consider expanding the curriculum.
Indra Nooyi|Listen, you know this: If there's not a rebellious youth culture, there's no culture at all. It's absolutely essential. It is the future. This is what we're supposed to do as a species, is advance ideas.
Robert Peake, New Poets, Short Books, Volume V|if what is true brings us sorrow, / if what sorrow brings is truth
Hubert Martin|She was exactly right and wrong in the perfect sort of way. This kiss would be the first of many, she was the type of girl I would desperately fight for to stay.
Christina Engela, Black Sunrise|Someone tried to kill me, and I’m going swimming. I’m going swimming, because it doesn’t matter. I’m going swimming, because I don’t matter. I’m going swimming, because that’s what Claires do. We swim and we daydream and we read and we wait for someone to care, and they never, ever, ever do.
Roy T. Bennett, The Light in the Heart|Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.
Conn Iggulden, Genghis: Birth of an Empire|You've always been skinny,always will." I can feeleachreclusivebonepoke through,the bones of Embarrassment,Anger,Relief.I push some back in,but leaveAngersticking out.
Richelle Mead, Storm Born|I've heard that the soul often recognizes truth when it hears it, even if the mind does not.
Margaret Cho|So you’ll get your kicks by exerting your will over me.”“It’s about gaining your trust and your respect, so you’ll let me exert my will over you. I will gain a great deal of pleasure, joy, even in your submission. The more you submit, the greater my joy – it’s a very simple equation.”“Okay, and what do I get out of this?”He shrugs and looks almost apologetic.“Me,” he says simply.
Andy Murray|The demons you have are what motivate you to make your art. This is what drives the detective, this is what drives the painter, this is what drives the writer: a conflicting urge to forget pain and at the same time remember it and fight for some kind of justice. I know these powerful things are inside of me and everyone in some way or another.
Arlene Schindler, The Last Place She'd Look|Mzatal gave a decisive nod. “I willmanage this. It cannot continue to interferewith his work. Too much is at stake.”I raised an eyebrow. “How do youintend to manage it?”“I will tell him the truth and outline theconsequences.”I was surprised Mzatal didn’t shrivelaway from the look I gave him. “Dude.Seriously? You expect him to stopcrushing on me because you forbid it?”Mzatal frowned, contemplative.“Perhaps not ideal given the entanglementof human emotions, though there is no timefor it to drag on,” he said, as if he actuallyknew what he was talking about. “If heknows you have no interest and sees howhis distractions have affected his work, hewill subside enough for now.”My withering look became glacial.“Boss, you’re completely awesome inmany ways, but you are so off-base withthis it’s not even funny.” I rolled my eyes.“I’ve already ramped ‘No Interest’ up toeleven on the dial and, at this point, hedoesn’t care if his work suffers.” I took abig gulp of coffee, then ran my fingersthrough my tangled hair. “Let me deal withit. Normally I’m not into directconfrontation with this sort of shit, butthere’s isn’t enough time for it to fizzle outon its own.”Mzatal regarded me with that damnedunreadable mask which he’d slipped on asI was talking. Great. Lords weren’t muchon being told they were wrong, but it hadto be said.
Billy Graham, Billy Graham in Quotes|With an old head and a young heart, you can be a source of real strength [to others] who need your cheer and encouragement.
Kim Kardashian|I remember that at the beginning of the month, the kind of menus my mom and father would prepare for us would have fish, chicken. But at the end of the month - because my father would be waiting for paycheck - the refrigerator would get empty. I remember that without a lot of food left, some of the best meals happened right there.
C.F.W. Walther, Law & Gospel: How to Read and Apply the Bible: A Reader's Edition|It’s the law, Jack. When the government breaks the law, they have to toe the line.
Robert Jarvik|The most important factors for a long life, I think, are partly in the genes; number two is lifestyle, which includes healthy diet and regular exercise. I walk, run and swim every day. However, I think too much exercise is also unhealthy because of over-stress; sometimes people who exercise too many hours per day die early.
Erich Fromm, To Have or to Be? The Nature of the Psyche|Those who unconsciously despair yet put on the mask of optimism are not necessarily wise. But those who have not given up hope can succeed only if they are hardheaded realists, shed all illusions, and fully appreciate the difficulties.
Sam Yagan|One thing matters more than anything else for a dating product, and that is the quantity and quality of the people who use the product. It's really freaking hard to get critical mass.
Debasish Mridha|It is easy to hold on, but it is difficult to let it go.
Mohammad Shahzaib Ansari|I looked upon the sea, it was to be my grave
Sheryl Sandberg, Lean In: Women, Work, and the Will to Lead|We need to stop telling [women], "Get a mentor and you will excel." Instead, we need to tell them, "Excel and you will get a mentor.
C.S. Lewis|One never meets just Cancer, or War, or Unhappiness (or Happiness). One only meets each hour or moment that comes. All manner of ups and downs. Many bad spots in our best times, many good ones in our worst. One never gets the total impact of what we call ‘the thing itself’. But we call it wrongly. The thing itself is simply all these ups and downs: the rest is a name or an idea.
Wilfred Owen, The Poems Of Wilfred Owen|And Death fell with me, like a deepening moan.And He, picking a manner of worm, which half had hidIts bruises in the earth, but crawled no further,Showed me its feet, the feet of many men,And the fresh-severed head of it, my head.
Albert Brooks|I haven't any formal schedule, but I love to write in the morning, before breakfast. Sometimes the writing goes so smoothly that I don't take a break for many hours - and consequently have breakfast at two or three in the afternoon on good days.
Lisa Kleypas, Married By Morning|You seem to think you have a choice," Cam said. "But you have it backwards. Love chooses you. The shadow moves as the sun commands.
Hugh Grant|And I think most people in this country want to see a president that's got the courage to say we're going to cut the tax burden, and reduce the regulatory climate, and we're going to get Americans working.
Eric Carr|People are patronizing the theatres with renewed enthusiasm - there is an entire picnic-like attitude when families go out to see movies, which is a very good sign. They want to see larger-than-life characters on the big screen and not just watch movies on television or on DVDs.
Rio Ferdinand|The way I grew up, I was always taught that it's uncouth to talk about money, and that's not what should inspire you.
J.M. Barrie|If you have it [love], you don't need to have anything else, and if you don't have it, it doesn't matter much what else you have.
Garth Marenghi|I know writers who use subtext, and they're all cowards.
Simon Kuper, Soccernomics|There are only three sports: bullfighting, motor racing, and mountaineering; all the rest are merely games.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|I am not saying that you have to believe in God to make moral decisions. God's existence is not dependent on my belief in him, anyway. However, without the objective reality of God, there would be no conscience".
Guillaume Musso, Que serais-je sans toi?|Nothing stays the same it all gets crushed. It all gets broken. It all passes with time. Only the moment you're in has any meaning.""There are things that stand the test of time, there are things that last. Like love.""Love theres nothing more fragile or ephereal.Love is like fire on a rainy day: you've got tospend all your time protecting it, feeding it, tending it because if you don't it goes out.""There are some loves that last.""No, what lasts is the pain that comes after love.
E. Lockhart, We Were Liars|Even the blind man can see the beauty as it rides upon the sound of a voice, edge itself between the lines on his fingerprints to be spread upon the smooth snippets of life he touches.
Lailah Gifty Akita|If you do everything with love and joy, you will find your soul.
Debasish Mridha|With the wings of knowledge, it is easier to fly toward the blue sky of wisdom.
Gary L. Francione|Speciesism is morally objectionable because, like racism, sexism, and heterosexism, it links personhood with an irrelevant criterion. Those who reject speciesism are committed to rejecting racism, sexism, heterosexism, and other forms of discrimination as well.
Toba Beta, Master of Stupidity|Was it good?Nemecsek fixed his blue eyes on Gereb and replied:Yes, and quietly added: Much better than to be standing on the bank, laughing at me. I'd rather stay in the water neck-deep until New Year than be hand-in-hand with my friends' enemies. I don't mind having dipped in the water. The other day I fell in there by myself. I saw you then, too, with these strangers on the island. But you fellows can invite me as long as you like, you can flatter me and shower me with presents - yet I won't have a thing to do with you. And if you give me another ducking, if you throw me in the water a hundred times, or even a thousand times, I'll come here tomorrow and the day after just the same. I'll find a hiding place where you won't get me. I'm not afraid of anyone of you. And if you'll come to Paul Street, to take our ground away, we'll be on the spot! And don't you forget that either! I'll show you that with ten of us against your ten, you'll hear a different sort of talk from what I'm giving you now. It was easy enough to get the better of me! The one that's stronger always wins! The Pasztor boys stole my marbles in the Museum Garden because they were stronger. Now I got a ducking because you are stronger! Easy enough when ten are against one! But I don't care! You can even beat me up, if it'll do you good. I could have saved myself from the ducking, but I wouldn't join you. I'd rather be drowned or have my brains knocked out than be a traitor...like....somebody standing over...there....
P.J. Parker, Fire on the Water: A Companion to Mary Shelley's Frankenstein|The stuff of nightmares is not only relegated to unconscious thoughts upon a pillow, safely beneath an eiderdown.
Jules Verne|The future of the world belongs to the youth of the world, and it is from the youth and not from the old that the fire of life will warm and enlighten the world. It is your privilege to breathe the breath of life into the dry bones of many around you.
Daniel J. Levitin, The Organized Mind: Thinking Straight in the Age of Information Overload|It’s usually obvious when you’re talking to somebody a level above you, because they see lots of things instantly when those things take considerable work for you to figure out. These are good people to learn from, because they remember what it’s like to struggle in the place where you’re struggling, but the things they do still make sense from your perspective (you just couldn’t do them yourself). Talking to somebody two or more levels above you is a different story. They’re barely speaking the same language, and it’s almost impossible to imagine that you could ever know what they know. You can still learn from them, if you don’t get discouraged, but the things they want to teach you seem really philosophical, and you don’t think they’ll help you—but for some reason, they do. Somebody three levels above is actually speaking a different language. They probably seem less impressive to you than the person two levels above, because most of what they’re thinking about is completely invisible to you. From where you are, it is not possible to imagine what they think about, or why. You might think you can, but this is only because they know how to tell entertaining stories. Any one of these stories probably contains enough wisdom to get you halfway to your next level if you put in enough time thinking about it. Getting organized can bring us all to the next level in our lives.
Scaachi Koul, One Day We'll All Be Dead and None of This Will Matter|On the sound of handcuffs--"For me it's the sound of all light and hope crashing down on a minority.
Beth Kephart, Undercover|When I was a boy, that was all I wanted—to grow a pair of wings and get up into the sky. I had a basement full of failed wing projects. Boards and capes and motors, even a pile of found feathers I once tried to glue together with a bottle of Elmer’s; you should have seen your grandmother’s face. But I never got any higher than the backyard fence I’d launch from. I never got inside a cloud. Your raven did.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|To be productive, you must convert every minute of your time.
Rachel Caine, Black Dawn|I'm not through with you yet. Are you prepared to accept your punishment?"I nodded reluctantly. I wasn't sure what a vampire's punishment might be. But I was ready to find out."I sentence you to a thousand kisses," he said. "Can I begin now?
Joan Didion, Vintage Didion|What these men represented was not 'The West' but what was for this century a relatively new kind of monied class in America, a group devoid of social responsibilities because their ties to any one place had been so attenuated.
Maurice Blanchot, Friendship|Why are those who knew him, when they pass from the memory of a young man, sensitive and gay, to the work – novels and writings – surprised to pass into a nocturnal world, a world of cold torment, a world not without light but in which light blinds at the same time that it illuminates; gives hope, but makes hope the shadow of anguish and despair? Why is it that he who, in his work, passes from the objectivity of the narratives to the intimacy of the Diary, descends into a still darker night in which the cries of a lost man can be heard? Why does it seem that the closer one comes to his heart, the closer one comes to an unconsoled center from which a piercing flash sometimes bursts forth, an excess of pain, excess of joy? Who has the right to speak of Kafka without making this enigma heard, an enigma that speaks with the complexity, with the simplicity, of enigma?
Matt Haig|New York, for decades, offered a perpetual series of 'golden ages' to artists. You constantly had to measure yourself against the best, and you had to watch them, which meant that your imagination and also your sense of what the market could stand got very, very sharp.
Darnell Lamont Walker|I mean to ask whether there is any way of avoiding the hostility expressed by the division say, of men into "us" (Westerners) and "they" (Orientals). For such divisions are generalities whose use historically and actually has been to press the importance of the distinction between some men and some other men, usually towards not especially admirable ends.
Henrik Fisker|I don't take on projects that are a hassle or when someone comes in and says, 'We really need this design,' and I'm like, 'OK, fine, I'll do it.' It really has to be something that I personally feel intrigued and excited about - any product, as long as I'm excited by it. It doesn't have to be a car.
John Green, Paper Towns|You were with Margo Roth Spiegelman last night? At THREE A.M.? I nodded. Alone? I nodded. Oh my God, if you hooked up with her, you have to tell me every single thing that happened. You have to write me a term paper on the look and feel of Margo Roth Spiegelman's breasts. Thrity pages, minimum! I want you to do a photo-realistic pencil drawing. A sculpture would also be acceptable. I was wondering if it would be possible for you to write a sestina about Margo Roth Spiegelman's breasts? Your six words are: pink, round, firmness, succulent, supple, and pillowy. Personally, I think at least one of the words should be buhbuhbuhbuh.
Ban Ki-moon|I thought the Vietnam war was an utter, unmitigated disaster, so it was very hard for me to say anything good about it.
Andrew Jackson|Little else is requisite to carry a state to the highest degree of opulence from the lowest barbarism but peace, easy taxes, and a tolerable administration of justice: all the rest being brought about by the natural course of things.
Sam Wineburg|The problem is not the content of textbooks, but the very idea of them.
Stephen King, Joyland|Several times we had been very close to "it," but "it" just never quite happened. She always drew back, and I never pressed her. God help me, I was being gallant. I have wondered often since what would have changed (for good or for ill) had I not been. What I know now is that gallant young men rarely get pussy. Put it on a sampler and hang it in your kitchen.
Jonathan Campbell|Aegean Islands 1940-41Where white stares, smokes or breaks,Thread white, white of plaster and of foam,Where sea like a wall falls;Ribbed, lionish coast,The stony islands which blow into my mindMore often than I imagine my grassy home;To sun one's bones beside theExplosive, crushed-blue, nostril-opening sea(The weaving sea, splintered with sails and foam,Familiar of famous and deserted harbours,Of coins with dolphins on and fallen pillars.)To know the gear and skill of sailing,The drenching race for home and the sail-white houses,Stories of Turks and smoky ikons,Cry of the bagpipe, treadingOf the peasant dancers;The dark breadThe island wine and the sweet dishes;All these were elements in a happinessMore distant now than any date like '40,A. D. or B. C., ever can express.
Ann Brashares|As Qhuinn looked at his best friend's handsome face, he felt as if he'd never not known that red hair, those blue eyes, those lips, that jaw. And it was because of their long history that he searched for something to say, something that would get them back to where they had been. All that came to him was . . . I miss you. I miss you so fucking bad it hurts, but I don't know how to find you even though you're right in front of me.
Amit Kalantri|remember this: When you cross my doorstep, you have already been raised. With what you have learned...you know the difference between right and wrong. Do right. Don't anybody raise you from the way you have been raised. Know you will have to make adaptations, in love, in relationships, in friends, in society, in work, but don't let anybody change your mind.
Steven Erikson, Bauchelain and Korbal Broach|but is it not heartening to know that so many are willing to fight for the good? Think of that young librarian, Sophie, who made certain you escaped. Think of S.Q., who risked my brother’s wrath to make me more comfortable. Think of Captain Noland, and Joe Shooter, and all the others – even strangers – who were prepared to sacrifice their safety, perhaps even their lives, on our behalf. That’s something, is it not?
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|In great humility, we find our strength.
Walt Whitman|The important consequences to the American States from this Declaration of Independence, considered as the ground and foundation of a future government, naturally suggest the propriety of proclaiming it in such a manner as that the people may be universally informed of it.
Christina Enevoldsen|I stumble across the sea of tarmac, finding pavement, concealment and a brick wall. Palms brace against the scrubby surface. My stomach churns and then bubbles over, burning my throat as acrid yellow acid spills from my lips in frothy discomposure. It splatters the pavement like a spray of blood.
Evan Mandery, First Contact-Or, It's Later Than You Think|I have no special desire to go crawl around in caves, but I really like the word [spelunking] and want to use it in conversation. I do a lot of things just to use words I like.
Loretta Lynn|On Sept. 20, 2011, a year after I spoke with Rabanni, a couple of Taliban emissaries arrived at his Kabul fortress with a gift for his 71st birthday. It turned out not to be the truce offering they had claimed they were bringing: one of the Talibs had a bomb hidden in his turban.
Pablo Neruda, Memoirs|I stalk certain words... I catch them in mid-flight, as they buzz past, I trap them, clean them, peel them, I set myself in front of the dish, they have a crystalline texture to me, vibrant, ivory, vegetable, oily, like fruit, like algae, like agates, like olives... I stir them, I shake them, I drink them, I gulp them down, I mash them, I garnish them... I leave them in my poem like stalactites, like slivers of polished wood, like coals, like pickings from a shipwreck, gifts from the waves... Everything exists in the word.
Hannah Lillith Assadi, Sonora|When you are rich, your past disappears. You get everything you want when you want it . . . Everyone wants to know you. Everyone wants to be your friend.
George Gordon Byron|Gwynned lies two days westwards; still further south, the weregeld calls. Mayhap with All-Father Woden's favour, my deeds may yet inspire the skalds.
Jackie Evancho|We always talk about how the first several seasons were faithful to the books, and anybody who wanted to could go onto Wikipedia and learn Ned Stark gets beheaded or about The Red Wedding, and most people don't want to know - because why ruin a story?
Anaïs Nin|Life is a process of becoming, a combination of states we have to go through. Where people fail is that they wish to elect a state and remain in it. This is a kind of death.
Ivan Goncharov, Oblomov|A lover of comfort might shrug after looking at the whole apparent jumble of furniture, old paintings, statues with missing arms and legs, engravings that were sometimes bad but precious in memory, and bric-a-brac. Only the eye of a connoisseur would have blazed with eagerness at the sight of this painting or that, some book yellowed with age, a piece of old porcelain, or stones and coins.But the furniture and paintings of different ages, the bric-a-brac that meant nothing to anyone but had been marked for them both by a happy hour or memorable moment, and the ocean of books and sheet music breathed a warm life that oddly stimulated the mind and aesthetic sense. Present everywhere was vigilant thought. The beauty of human effort shone here, just as the eternal beauty of nature shone all around.pp. 492-493
Derek Walcott|As human beings we’ve certainly suffered the loss of awe, the loss of sacredness, and the loss of the fact that we’re not here— we’re not put on earth— to shape it anyway we want... You want something to happen with poetry, but it doesn’t make anything happen. So then somebody says, “What’s the use of poetry?” Then you say, “Well, what’s the use of a cloud? What’s the use of a river? What’s the use of a tree?” They don’t make anything happen.
Anna White, Mended: Thoughts on Life, Love, and Leaps of Faith|I think this is the essence of life: to be willing circle back, to fall in deeper, to relearn what I thought I already knew.
Olivia Culpo|Always expect the unexpected. Right around Thanksgiving, when the new Alex Cross will be out. It's called Four Blind Mice and it's a pretty amazing story about several murders inside the military.
|No matter what you are going through in life, don't dare to give up until you are largely compensated for your pain.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Potentially, anyone writing on the Web can reach a global audience. In practice, hardly anyone ever does.
Robert S. McNamara|Sitting outside on a dark night, under the stars, invites confidences amongst people of all ages, and all walks of life. It invokes an intimacy you don’t find under most other circumstances.
N.D. Wilson, Death by Living: Life Is Meant to Be Spent|Lay your life down. Your heartbeats cannot be hoarded. Your reservoir of breaths is draining away. You have hands, blister them while you can. You have bones, make them strain-they can carry nothing in the grave. You have lungs, let them spill with laughter. With an average life expectancy of 78.2 years in the US (subtracting eight hours a day for sleep), I have around 250,00 conscious hours remaining to me in which I could be smiling or scowling, rejoicing in my life, in this race, in this story, or moaning and complaining about my troubles. I can be giving my fingers, my back, my mind, my words, my breaths, to my wife and my children and my neighbors, or I can grasp after the vapor and the vanity for myself, dragging my feet, afraid to die and therefore afraid to live. And, like Adam, I will still die in the end.
Tahir Shah, In Search of King Solomon's Mines|All these people moving through life, all around me, and no one, not a single person, knows what I'm going through.
Elizabeth E. Castillo|Writers are disguised "sorcerers". Armed with their mighty pens, they cast spells on their readers using words that could pierce right through the heart and soul. If our writings moved you, made you cry, made you think deeper, and sort of changed your perspective about things, then we can say, we had you under our "spell". - Elizabeth Esguerra Castillo's Quotes
Patrick Somerville, The Universe in Miniature in Miniature|Facing and embracing grief allows us to experience the shock, anger, disappointment, and other feelings that need to be processed before we can move through this transition.
Debasish Mridha|In life, your greatest wealth is not your money, but it is your time.
Ahmed Zewail|I don't look at myself as a hero or smart person. I have a seventh-grade education, but I've had a lot of fun.
Jason Christopher Hartley, Just Another Soldier: A Year on the Ground in Iraq|When the madness came, he would be like a man staggering along the rim of the abyss – which was his rage – and when the edge gave way or he missed his step, he might clutch at anyone within reach and drag that person with him over the precipice.
Jim Harrison, Legends of the Fall|His own life suddenly seemed repellently formal. Whom did he know or what did he know and whom did he love? Sitting on the stump under the burden of his father's death and even the mortality inherent in the dying, wildly colored canopy of leaves, he somehow understood that life was only what one did every day.... Nothing was like anything else, including himself, and everything was changing all of the time. He knew he couldn't perceive the change because he was changing too, along with everything else.
Kent Nerburn, The Wolf at Twilight: An Indian Elder's Journey through a Land of Ghosts and Shadows|Grover spit expertly between his teeth. "You know, Nerburn," he said, "you're like those treaty negotiators we used to have to deal with. Always in a hurry. Sometimes there are preliminaries." "There are preliminaries and there are evasions," I said. "Look out there." I swept my hand across the blazing, parched horizon. "We've got to get moving if we want to get up there before it's a hundred and ten degrees." "Just relax. He's just doing it the Lakota way, by laying out the history. That's how we remember our history, by telling our story," "But does every story have to start with Columbus?" "Everything starts with Columbus. At least everything to do with white people." "But what's with the French fries?" "He likes to get rid of the salt." "No, the piles. First he insists on getting exactly twenty-eight, then he divides them into piles. It doesn't make any sense." A small smile crept across Grover's face. "How many piles?" he asked. "Four." He spit one more time onto the ground. It made a small puff of explosion in the dust. "Mmm. Twenty-eight French fries. Four piles of seven." He made a great charade of counting on his fingers. "Let's see. Four seasons. Four directions. Four stages of life. "Seven council fires. Seven sacred rituals. The moon lives for twenty-eight days. Yeah, I guess that doesn't make any sense." "That's crazy," I said. "What is it? Some kind of Lakota French fry rosary?
Nutan Bajracharya|When some one steals a small hope from you, you can do nothing, only can see dreams stolen... It's small thing, but means a lot... Waiting for several such moments, when your dreams are stolen......it's life you had no choice just feel it and forget.....
Atul Gawande, Better: A Surgeon's Notes on Performance|All my patients are individuals with their own story to tell, their own set of problems and their own solution. Even where the symptoms of their distress are very similar, the roads that bring them to me are not. Each of them teaches me something important, just as each new patient I meet reminds me that there is always more to learn.
William Shakespeare, The Merchant of Venice|It's like she had a soul that was much too big for her; it filled her to the brim till there was no more space, so it flowed out through her eyes.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Whatever territory you choose to explore and then invest all your time into it, you will be amazed how easy it is to become great.
Gemma Whelan|It doesn't matter that Bush scares the hell out of me. What matters is that he scares the hell out of a lot of very important people in Washington who can't speak out, in the military, in the intelligence community.
W. C. Doane|To be happy  drop the words "if only" and substitute instead the words "next time."
Cassandra Clare, City of Bones|Keep up," said an irritable voice in her ear. It was Jace, who had dropped back to walk beside her. "I don't want to have to keep looking behind me to make sure nothing's happened to you.""So don't bother.""Last time I left you alone, a demon attacked you," he pointed out. "Well, I'd certainly hate to interrupt your pleasant night stroll with my sudden death."He blinked. "There is a fine line between sarcasm and outright hostility, and you seem to have crossed it.
Debasish Mridha|Whatever happens in life happens to make you stronger. So fear not, accept it as a gift from the universe. Use the event to capture the essence of this journey we call life.
Friedrich Nietzsche, Human, All Too Human|Heidegger is the philosopher to whom especially postmodernists chiefly appeal in their radical rejections of metaphysics and of any and every conception of the entirety of actuality, of Being as such and as a whole. To be sure, their appeals to Heidegger are as a rule extraordinarily superficial ones. These authors come nowhere near to providing adequate interpretations of or appropriations from Heid
Carlos Fuentes, Terra Nostra|all that was left to me was certain images and all of them spoke to me of the collapse of a cruel world and the slow construction in its stead of another world, equally cruel.
Laura Wasser|I was a Christian. I didn't want to have sex before marriage, I was a bit uptight and not very self-confident. I was a virgin until I was 26.
Michelle Cuevas, Beyond the Laughing Sky|Change is the nature of nature,'" she read. "'For example, stars expand as they grow older. They grow from a star, to a red super-giant, to a supernova. When a massive star explodes at the end of its life, the explosion dispenses different elements-helium, carbon, oxygen, iron, nickel-across the universe, scattering starduest. That stardust now makes up the planets, including ours.
Yudhanjaya Wijeratne, Numbercaste|All his life he had controlled machines, bent nature and the forces of nature to man and man's needs. The human race had slowly evolved until it was in a position to operate things, run them as it saw fit. Now all at once it had been plunged back down the ladder again, prostrate before a Power against which they were children.
Al Lopez|Business opportunities are like buses, there's always another one coming.
Lailah Gifty Akita|We can not just live any how. There are consequences for every action, where evil or good.
Italo Calvino, If on a Winter's Night a Traveler|Today each of you is the object of the other’s reading, one reads in the other the unwritten story.
Frédéric Bastiat, That Which Is Seen and That Which Is Not Seen|They did not understand that by liberalizing imports, the government was also promoting exports.
Rod Tyson|Dirge of the dying and the stench of fear,Black souls repent as hell draws near," - Percy Pemmeney the smuggler, from Curse of Ancient Shadows.
J.K. Rowling, Harry Potter and the Deathly Hallows|It was snowing. It was always snowing at Christmas. December, in my memory, is white as Lapland, though there were no reindeers. But there were cats.
Alice Hoffman, The Rules of Magic|She’d bought a blue notebook in the pharmacy to write down her aunt’s remedies. Star tulip to understand dreams, bee balm for a restful sleep, black mustard seed to repel nightmares, remedies that used essential oils of almond or apricot or myrrh from thorn trees in the desert. Two eggs, which must never be eaten, set under a bed to clean a tainted atmosphere. Vinegar as a cleansing bath. Garlic, salt, and rosemary, the ancient spell to cast away evil.
Keith R.A. DeCandido, Bone Key|Driver picks the music, shotgun shuts his cakehole.
Daryn Kagan|We shall defend our island, whatever the cost may be, we shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.
Steven Adler|You've got a movie where the pro-choice family gives their daughter no choice. The pro-life family murders. What seems to be the good mother, the kind of hippie painter, sweet and cute mother has no love for her daughter really.
Edwin Catmull|The future is a direction, not a destination.
Keri Hulme, The Bone People|Sometimes, the waves grow hushed, but the sea is always there, touching, caressing, eating the earth...
Karen Azinger, The Flame Priest|Reflections of the battlements shimmered in the deep green moat, casting an image of enduring strength, an image that defied the very siege of time.
Thomas à Kempis, The Imitation of Christ|It happens very often that those whom men esteem highly are more seriously endangered by their own excessive confidence. Hence, for many it is better not to be too free from temptations, but often to be tried lest they become too secure, too filled with pride, or even too eager to fall back upon external comforts.
Diet Eman, Things We Couldn't Say|If you dont speak, they will know you know more than you're telling them. And if they know that, they'll find a way to get what you know out of you. Believe me, they'll get everything out, Willie. Don't have any qualms about it -- make your story good and make it believable. Silence won't work!" This was an expert giving me the best advice she could. From that point on, I worked hard not to remember the people I loved, to try instead to create another life, a false life...I tried to become a person concerned only with very simple things -- and scared. I tried to become the woman I needed to be in order to live.
George MacDonald Fraser, Flashman|Jamie glanced at her notes. "So let's be honest, Jacks, can we? What is the best part of being an Angel? Is it the lifestyle? Is it the parties? The fame? What's your favourite part?" "Just having this chance," he said after considering. "And what chance is that?" Jamie asked. Jacks's blue eyes twinkled. "The chance to be a hero.
Elizabeth Peters, The Snake, the Crocodile and the Dog|It was a needless precaution, I felt sure, but men always enjoy marching around with weapons and flexing their figurative muscles, and I saw no reason to deny them this harmless exercise.
