Guy de Maupassant, Original Maupassant Short Stories|A gardin is where you can find a whole spectrum of life, birth and death
Arthur Miller, Death of a Salesman|I don't know what the hell I'm workin' for. Sometimes I sit in my apartment–all alone. And I think of the rent I'm paying. And it's crazy. But then, it's what I always wanted. My own apartment, a car, and plenty of women. And still, goddammit, I'm lonely.
Stephen Jay Gould, An Urchin in the Storm: Essays about Books and Ideas|No Geologist worth anything is permanently bound to a desk or laboratory, but the charming notion that true science can only be based on unbiased observation of nature in the raw is mythology. Creative work, in geology and anywhere else, is interaction and synthesis: half-baked ideas from a bar room, rocks in the field, chains of thought from lonely walks, numbers squeezed from rocks in a laboratory, numbers from a calculator riveted to a desk, fancy equipment usually malfunctioning on expensive ships, cheap equipment in the human cranium, arguments before a road cut.
James D. Watson, Molecular Biology of the Gene|So the conservative who resists change is as valuable as the radical who proposes it -- perhaps as much more as the roots are more vital than grafts. It is good that new ideas should be heard, for the sake of the few that can be used; but it is also good that new ideas should be compelled to go through the mill of objection, opposition, and contumely; this is the trial heat which innovations must survive before being allowed to enter the human race. It is good that the old should resist the young, and that the young should prod the old; out of this tension, as out of the strife of the sexes and the classes, comes a creative tensile strength, a stimulated development, a secret and basic unity and movement of the whole.
jaha Knight, 39 Day Lifescape-Become a Better You|When you define your goals, you give your brain something new to look for and focus on. It's as if you're giving your mind a new set of eyes from which to see all the people, circumstances, conversations, resources, ideas, and creativity surrounding you.
Pet Torres, Tiger's Obsession|She took no pleasure in knowing…whatever he asked of her, she would do.
Idries Shah, Reflections|It was strange even after suffering from fate, a person in love would choose the same fate over his life.
Frank Herbert, Heretics of Dune|The point is not how we use a tool, but how it uses us.
Jane Austen, Pride and Prejudice|Every impulse of feeling should be guided by reason; and, in my opinion, exertion should always be in proportion to what is required.
Groucho Marx|If a black cat crosses your path, it signifies that the animal is going somewhere.
Edward Thorndike|While that amendment failed, human cloning continues to advance and the breakthrough in this unethical and morally questionable science is around the corner.
Henry David Thoreau, Walden|In most books, the I, or first person, is omitted; in this it will be retained; that, in respect to egotism, is the main difference. We commonly do not remember that it is, after all, always the first person that is speaking. I should not talk so much about myself if there were anybody else whom I knew as well. Unfortunately, I am confined to this theme by the narrowness of my experience. Moreover, I, on my side, require of every writer, first or last, a simple and sincere account of his own life, and not merely what he has heard of other men's lives; some such account as he would send to his kindred from a distant land; for if he has lived sincerely, it must have been in a distant land to me. Perhaps these pages are more particularly addressed to poor students. As for the rest of my readers, they will accept such portions as apply to them. I trust that none will stretch the seams in putting on the coat, for it may do good service to him whom it fits.
Suresh Raina|But my dad also was a remarkable man, a good person, a principled individual, a man of integrity.
Daniel Everett|I like to read, especially nonfiction. I love learning, so I study languages, cook, learn basic HTML, and enjoy other activities that stimulate communication and the dark recesses of my musician's brain.
Kazuo Ishiguro, The Remains of the Day|Naturally—and why should I not admit this—I have occasionally wondered to myself how things might have turned out in the long run.... I only speculate this now because in the light of subsequent events, it could well be argued that in making my decision...I was perhaps not entirely aware of the full implications of what I was doing. Indeed, it might even be said that this small decision of mine constituted something of a key turning point; that that decision set things on an inevitable course towards what eventually happened. But then, I suppose, when with the benefit of hindsight one begins to search one's past for such 'turning points', one is apt to start seeing them everywhere.... What would have transpired, one may ask, had one responded slightly differently...? And perhaps—occurring as it did around the same time as these events?
