Marcia Lynn McClure, The Pirate Ruse|We should learn to smile as we fall, So much so as when we have it all.
Steven Chopade|A heart consumed with bitterness will turn to stone. An old Lightkeepers adage, spoken by Boaz to Luka.
Rafael Sabatini, Scaramouche|And yet she was content to pair off with this dull young adventurer in the tarnished lace! It was, he supposed, the sort of thing to be expected of a sex that all philosophy had taught him to regard as the maddest part of a mad species.
Deyth Banger|Looking back on it all, I believe when we were on the streets coming up, we were simply looking for somebody to look our way. Even though guys were getting killed, the gang continued to grow. I heard some older folks say one time, ‘As soon as two or three of them get killed, this gang will go to the dogs.’ Each time one of us got killed, it hurt, but, that made us stronger. Anthony ‘Ada’ Allen, one of the former leaders and founders of the Rebellion Raiders
Scott L. Vanatter|Uninformed, America may succumb to bad ideas and leaders. In succumbing, we fail to fulfill our destiny. Well informed, America rises as far as the good ideas and leaders it proactively chooses. In so rising, we fulfill our destiny and offer to the world vacuum its last best hope. (Scott L. Vanatter)
Martin Jacques|When I meet celebrities, I have to know what they are like and only then can I design. The clothes have to fit their personality.
Mark Rippetoe, Practical Programming for Strength Training|All social animals, including people, live under constant pressure from two competing interests: protecting themselves from others and aligning themselves with others. When these two interests are balanced, the result is dynamic social homeostasis.
Rachel Bilson|I'll always prefer to play with women and hang out with women, and I'll always be a feminist.
Barbara Kingsolver, The Poisonwood Bible|God has brought a very wise Japanese lady into my life who lives in Calif. We've never met, but she has shared a tremendous amount of wisdom with me concerning unconditional love within relationships. Here is one of the things she said to me this evening when we were discussing "Soul Mates.""Soul mates aren't perfect people. They can come into your life and provide polar emotional experiences from intense love to intense pain. Growth comes from both. And a soul mate helps you grow. It isn't just "...and they lived happily ever after" but "...and they lived!" ~ From my mentor ~ Lori Chidori Phillips
Lemony Snicket, The Slippery Slope|It was an epoch of her life, an hour never to be forgotten, this first coming into relation with a really noble library.
E.M. Forster, A Room with a View|She grew more and more vexed with his dignified behavior. By a cruel irony, she was drawing out what was best in his disposition.
Henry B. Eyring|Neurologically, I'm a quadriplegic, so virtually everything about my work has been driven by my learning disabilities, which are quite severe, and my lack of facial recognition, which I'm sure is what drove me to paint portraits in the first place.
Bob Proctor|We come this way but once. We can either tiptoe through life and hope that we get to death without being too badly bruised or we can live a full, complete life achieving our goals and realizing our wildest dreams." - Bob Proctor
Elizabeth Goudge, The Dean's Watch|Joy being of God was a living thing, a fountain not a cistern, one of those divine things that are possessed only as they overflow and flow away, and not easily come by because it must break into human life through the hard crust of sin and contingency. Joy came now here, now there, was held and escaped.
Sharon Stone|I think there are a lot of people who really want to be famous, they really do. I don't. It sort of gets in the way of the everyday things that I do.
Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics|Whether it is the best of times or the worst of times, it is the only time we've got.
Jimmy Smits|As an actor and as a performer, I've felt that the education system has really helped me in a lot of ways... there was always a teacher or a professor along the way that kept pushing me to the next stage.
Christine Celis, Snippets of Imagery|[Hypatia Bradlaugh Bonner belonged to] that small army of brave people who made it their duty, without thought of themselves or hope or expectation of reward, to strive for unpopular causes.[Chapman Cohen on the death of noted freethinker and peace advocate Hypatia Bradlaugh Bonner]
Andy Crouch, Culture Making: Recovering Our Creative Calling|If progress is not the right word for buildings or poems, what is the right way to evaluate cultural change? I suggest integrity.
Tom Petty|Lean your body forward slightly to support the guitar against your chest, for the poetry of the music should resound in your heart.
Ranata Suzuki|Like so many others my story begins with that same old line…. ‘So anyway, there was this guy….’ Until one day…. there wasn’t.And nothing was ever the same after that….
Eric Nuzum, Giving Up the Ghost: A Story About Friendship, 80s Rock, a Lost Scrap of Paper, and What It Means to Be Haunted|If there is one thing I'd learned about hospitals, it's that they aren't interested in healing you. They are interested in stabilizing you, and then everyone is supposed to move on. They go to stabilize some more people, and you go off to do whatever you do. Healing, if it happens at all, is done on your own, long after the hospital has submitted your final insurance paperwork.
David Sedaris, Me Talk Pretty One Day|A conscience that is forbidden to operate in the choice of goals for economic activity is not conscience in the sense in which any moralist, pagan or Christian, has every understood the term. And the family (which [Michael] Novak regards as vital to the spirit of democratic capitalism) is precisely the place where the noncapitalist values have to be learned, where one is not free to choose his company and where one is not free to pursue self-interest to the limit. Because capitalism pursues the opposite goals - freedom of each individual to choose and pursue his own ends to the limit of his power - the disintegration of marriage and family life is one of the obvious characteristics of advanced capitalist societies.
Charlotte Perkins Gilman|You have to come in and be that character when you walk into the room. That's what one of my first acting teachers taught me. You know, don't go in there being Jennifer and then expect to flip and change, because they're not going to have that imagination.
Johnathan Jena|True, lasting peace comes not through stamping out the ignorance of others, but through cultivating acceptance with ourselves.
Carol Burnett|In an age where everything and everyone is linked through networks of glass and air, no one - no business, organization, government agency, country - is an island. We need to do right by all our stakeholders, and that's how you create value for shareholders. And one thing is for sure - no organization can succeed in a world that is failing.
Tami Hoag|When you print out your manuscript and read it, marking up with a pen, it sometimes feels like a criminal returning to the scene of a crime.
Nikki Rowe, Once a Girl, Now a Woman|And acceptance is the answer to all my problems today. When I am disturbed, it is because I find some person, place, thing, or situation "some fact of my life" unacceptable to me, and I can find no serenity until I accept that person, place, thing, or situation as being exactly the way it is supposed to be at this moment.
Ama H. Vanniarachchy|Humanity is not only ‘great acts’ spending thousands, putting your name on headlines. Humanity is to be kind to every living being, to be compassionate towards all, even to the tiniest animal, seen and unseen. Some people consider killing ants or pest normal, but I find it is an act of extreme cruelty. By killing them you violate their rights to live. We must remember that the earth and the universe belongs to all of us. We are just another species out of millions of species, and we share the universe with them and most importantly, remember that we belong to each other.
Zelda la Grange|Lying is second nature and I do it very well. Titus Ray, Chapter 5
Bill Clegg, Did You Ever Have a Family|I’ve never been one to go to church, but I’ve al was ways believed in a creative intelligence behind the ongoing riddle of the world.
Wes Locher, Musings on Minutiae|[The cats] scamper in front of my legs, causing me to fall and face plant into whatever furniture is closest. They especially like to play this game when I’m carrying piping hot coffee.
Henry Reed|Mom and Dad would stay in bed on Sunday morning, but the kids would have to go to church.
Toba Beta, My Ancestor Was an Ancient Astronaut|At least I graduated," he muttered, stabbing the key in and unlocking the door. I sucked in a breath. "I think dying was a little out of my control, thank you very much.""If you say so". He shrugged, but I saw the corner of his mouth turn up into a faint smile.
Alain de Botton|Finney is about the best writer of time travel stories ever, and I adore time travel stories - have to make a time travel game someday!
Phil Jackson|I love adventure sports. And, I love cooking.
Victoria Holt|Good judgment comes from experience, and experience comes from bad judgment.
Steve Jobs|If you live each day as it was your last, someday you'll most certainly be right
Auliq-Ice|If human society loses the value of justice, compassion, and honesty, the next generation will face greater difficulties and more suffering.
Jeff Bezos|People tend to spend so much time focusing on what they feel they can't do, rather examining the true potential of what they can.
Criss Jami, Killosophy|She was one of those people who are irrevocably, incurably honest and therefore both inflexible and vulnerable at the same time.
P.J. O'Rourke|Life has taught me to release my ears from hearing negativity, destructive remarks, false rumors and stupid ways. I learn to open my eyes and my mind to think ahead of my life, to learn more of who I am.
Neal Shusterman, Downsiders|Cities are never random. No matter how chaotic they might seem, everything about them grows out of a need to solve a problem. In fact, a city is nothing more than a solution to a problem, that in turn creates more problems that need more solutions, until towers rise, roads widen, bridges are built, and millions of people are caught up in a mad race to feed the problem-solving, problem-creating frenzy.
Gail Gaymer Martin, Loving Tenderness|Since 1857 we know what we are capable of,And Since 1947 we know what is at Stake.
Khang Kijarro Nguyen|There’s always a mystery there as to why one person is more fortunate than another. All one can do is say I have been given a gift. A new gift of life. And all I can do is use that gift in the best way possible. Not selfishly for myself but for the sake of other people. And . . . I will do it not only because I’ve gotten that life, but for the sake of those who didn’t get that life as well.
Gala.J, Nakoma, a spirit's destiny|We are all one. Everything is meaningless, and yet at the same time meaningful. Everything matters and doesn’t matter just as much," Wisdom said and looked beyond time.(Nakoma, by Gala.J)
Terry Eagleton|So when I read this story, it unlocked a volcano of unanswered questions, because the questions had never been asked. It was an opportunity to come to terms with the lot of repressed history - and history of repression.
Walter Isaacson, Steve Jobs|When you fully focus your mind,you make others attracted to you.
Sylvia Mathews Burwell|That is what leadership is all about: staking your ground ahead of where opinion is and convincing people, not simply following the popular opinion of the moment.
Craig D. Lounsbrough|Samuel Johnson said a second marriage is the triumph of hope over experience,” Kirkland said.
Alberto Moravia|Every true writer is like a bird; he repeats the same song, the same theme, all his life. For me, this theme as always been revolt.
Erin Kellison, Delirium|Voodoo very old magic - possibly one of the oldest forms of all time. It's often referred to as vodou or voudoun....Voodoo worships the loa, which are literally spirits - like ghosts - but much more powerful. The priestess can summon the loa, and the spirit inhabits her body. It's called being 'ridden
Rachael Ray|I really want a pet, and I really love animals.
Steve Wynn|Having emotional intelligence allows you to manage your emotions, show empathy, and prevent you from getting distracted. It also helps you solve problems and be a more likable person.
Gemma Liviero, Pastel Orphans|...I feel pity that she will never fully understand what it is to be loved and forgiven, then loved even more.” Pastel Orphans
Tessa Bailey, Staking His Claim|If the way you've been treating me is a mark of fondness, maybe you'd better take a fresh look at your interpersonal communication skills.
Eoin Colfer|Tea? At the beach? No time for luxuries, Holly. There is important work to be done.” He winked at Butler.“Are you sure you’re at the library? I thought I heard water.”Artemis smiled, enjoying the exchange. “Water? Surely not. The only thing flowing here is information.”“Are you grinning, Artemis? For some reason I get the feeling that you’re wearing that smug smile of yours.
Poppet, Ryan|His eyes are piercing and intense, the stare they give me brimming with threat and interest, folding thick arms over a broad chest, rippling the muscles in his forearms and etching the tattoos down his arms into stark highlight.
Donald Allen Kirch, The Christ Project|In some very rare cases, an opposite-sex pair was born, and they always mated one another. Disturbing as it might sound, when it did happen, the offspring were invariably gifted. Sera and Trace's sons were noted psych-scientists.
Ralph Marston|Feelings come and feelings go. There is no need to fear them and no need to crave them. Be open to your feelings and experience them while they are here. Then be open to the feelings that will come next. Your feelings are a part of your experience. Yet no mere feeling, however intense it may seem, is your permanent reality.
Kat Lowe, Dream Cat|Lust has less logic than love, sometimes, but it's easier to fight.
Debasish Mridha|Life is for memories, full of fun, with friends, families and joyful sun.
Donna Grant, Passion Ignites|In all my years, there was only one time I felt fear. That's when I had to send my Clarets away. I never experienced it again. Until you.
Joanne Harris, Runelight|There was something about total loyalty, uncritical devotion, endless patience, perpetual forgiveness and the general inability to believe that a loved one could ever do anything wrong that, frankly, just gave him the creeps.
Emma Blackery|I’m glad you’re quitting the bar.""You are?""Yeah. I’ve never liked you working there, and I miss you at the weekend.""Why didn’t you say anything?""Because you seemed happy. It’s sort of my life mission to make sure you stay that way," he teased.
Criss Jami, Healology|The Bible does not say money is the root of all evil; it says the love of money is the root of all kinds of evil. A poor man who, in his heart, worships the idea of being rich is more vulnerable to its evils than a rich man who has a heart to use it all for the Lord.
Robert Jordan, The Great Hunt|Those intricate curves and patterns your people create are beyond human eyes and hands to make. Perhaps we wished to avoid a poor imitation that would only have been an ever-present reminder to us of what we had lost. There is a different beauty in simplicity, in a single line placed just so, a single flower among the rocks. The harshness of the stone makes the flower more precious. We try not to dwell too much on what is gone. The strongest heart will break under that strain.
Maggie Stiefvater, Shiver|With its grace and carelessness, it seemed to annihilate a whole culture, a whole system of thought, as though [all] could be swept into a nothingness by a single splendid movement of the arm.
Richelle Mead, The Ruby Circle|Through the metal grating on my carrier door, Adrian's face suddenly appeared, peering in at me. "What new, pussycat?
W. Ian Thomas|The Christian message has a moral challenge. If the message is true, the moral challenge has to be accepted. So God is not a fit object for man’s detached scrutiny. You cannot fix God at the end of a telescope or a microscope and say “How interesting!” God is not interesting. He is deeply upsetting. The same is true of Jesus Christ … We know that to find God and to accept Jesus Christ would be a very inconvenient experience. It would involve the rethinking of our whole outlook on life and the readjustment of our whole manner of life. And it is a combination of intellectual and moral cowardice which makes us hesitate. We do not find because we do not seek. We do not seek because we do not want to find, and we know that the way to be certain of not finding is not to seek … Christ’s promise is plain: "Seek and you will find.
Meghan Blistinsky|MAKE SUCCESS HAPPENSuccess is like a camera. Only focus on what is most important. Ignore trivial details. Concentrate on your main goal image for success. Develop your pictures. If they don't turn out, don't give up. Take more shots at it. Always be persistent. Focus on making success clearly happen.
Anne Sexton|Live or die, but don't poison everything.
Steve Rasnic Tem, The Man on the Ceiling|I was never very good with either my hands or feet. It always seemed to me they'd just been stuck on as an afterthought during my making. Dreams didn't translate through sports, or music, dancing, carpentry, plumbing. I was the bookish kid, more at home in the pages of a fantasy than in the room in the town on the planet.
Richard M. Nixon|I'm constantly amazed by the ability a child has to show sympathy, to read emotions, to get to the heart of any situation. It's unfiltered and completely inspiring.
Becca Lee|And as she fell apart, her shattered pieces began to bloom — blossoming until she became herself exactly as she was meant to be...
|Why get bitter towards those who don't believe in your dreams, when they don't even believe in theirs?
|They say that 'life is full of choices,' but the only choice that I see is living on the bright side of life.
Walter Scott, The Antiquary|I just wanted things to be simple. I didn't understand why things had to be so complicated for all the grown ups. And I decided that if growing up meant things got confusing, then I would stay little forever. I would stay simple. But unfortunately everything around me did its best not to be. The world liked to be complex. It liked to twist, to distort. To bleed you dry of whatever feeling you could muster while still letting you hold on to your sanity so that you could experience heartache at its prime. I didn't know how cold the world could be when I was eleven. If I would have known...maybe I would have packed a sweater.
Rob Bell|When I was in the Peace Corps I never made a phone call. I was in Central Africa; I didn't make a phone call for two years. I was in Uganda for another four years and I didn't make a phone call. So for six years I didn't make a phone call, but I wrote letters, I wrote short stories, I wrote books.
Albie Sachs|My conclusions, on this point, are as follows: when the Law Commission says committal of judgment debtors is an anomaly that cannot be justified and should be abolished; when it is common cause that there is a general international move away from imprisonment for civil debt, of which the present committal proceedings are an adapted relic; when such imprisonment has been abolished in South Africa, save for its contested form as contempt of court in the magistrate's court; when the clauses concerned have already been interpreted by the Courts as restrictively as possible, without their constitutionally offensive core being eviscerated; when other tried and tested methods exist for recovery of debt from those in a position to pay; when the violation of the fundamental right to personal freedom is manifest, and the procedures used must inevitably possess a summary character if they are to be economically worthwhile to the creditor, then the very institution of civil imprisonment, however it may be described and however well directed its procedures might be, in itself must be regarded as highly questionable and not a compelling claimant for survival.
David Gerrold, Star Hunt|When I was ten years old, one of my friends brought a Shaleenian kangaroo-cat to school one day. I remember the way it hopped around with quick, nervous leaps, peering at everything with its large, almost circular golden eyes. One of the girls asked if it was a boy cat or a girl cat. Our instructor didn't know; neither did the boy who had brought it; but the teacher made the mistake of asking, 'How can we find out?' Someone piped up, 'We can vote on it!' The rest of the class chimed in with instant agreement and before I could voice my objection that some things can't be voted on, the election was held. It was decided that the Shaleenian kangaroo-cat was a boy, and forthwith, it was named Davy Crockett. Three months later, Davy Crockett had kittens. So much for democracy.  It seems to me that if the electoral process can be so wrong about such a simple thing, isn't it possible for it to be very, very wrong on much more complex matters? We have this sacred cow in our society that what the majority of people want is right—but is it? Our populace can't really be informed, not the majority of them—most people vote the way they have been manipulated and by the way they have responded to that manipulation—they are working out their own patterns of wishful thinking on the social environment in which they live.  It is most disturbing to me to realize that though a majority may choose a specific course of action or direction for itself, through the workings of a 'representative government,' they may be as mistaken about the correctness of such a choice as my classmates were about the sex of that Shaleenian kangaroo-cat. I'm not so sure than an electoral government is necessarily the best.
Jodi Picoult, The Tenth Circle|The Thames was beautiful, dark, and swift beneath the billion yellow and white lights of the city…
Yasmin Mogahed|We hold on so tightly, because we’re terrified of loss. We hold on till our hands bleed. And in that self-shattering persistence, we fail to see the answer: Just let go.
Sunday Adelaja, The Mountain of Ignorance|Some of the common occurrences of injustice are the presence of poverty, starvation, gender inequality, neglected widows and orphans and the injustice towards other vulnerable groups of people.
Alan W. Watts|I have realized that the past and future are real illusions, that they exist in the present, which is what there is and all there is.
Kiersten White, Mind Games|I try not to take things lying down, especially rectal thermometers
Peter  Rogers|The table next to the sink is for flashcards. I saw a Monty Python skit called, "every sperm is sacred," and it gave me the idea that, "every piss is sacred." Meaning, WHY NOT LOOK AT FLASHCARDS WHILE VOIDING?
Milan Kundera|Beauty is not skin-deep; it can be a means of self-affirmation, a true indicator of personality and confidence.
Dalai Lama|Our lives are in constant flux, which generates many predicaments. But when these are faced with a calm and clear mind supported by spiritual practice, they can all be successfully resolved. When our minds are clouded by hatred, selfishness, jealousy, and anger, we lose not only control but also our judgment. At those wild moments, anything can happen, including war. Although the practice of compassion and wisdom is useful to us all, it is especially valuable for those responsible for running national affairs, in whose hands lie the power and opportunity to create a framework for world peace.
Maya Angelou|History never really says goodbye. History says, 'See you later.'
Iain Pears, The Dream of Scipio|Odd, don't you think? I have seen war, and invasions and riots. I have heard of massacres and brutalities beyond imagining, and I have kept my faith in the power of civilization to bring men back from the brink. And yet one women writes a letter, and my whole world falls to pieces.You see, she is an ordinary woman. A good one, even. That's the point ... Nothing [a recognizably bad person does] can surprise or shock me, or worry me. But she denounced Julia and sent her to her death because she resented her, and because Julia is a Jew.I thought in this simple contrast between the civilized and the barbaric, but I was wrong. It is the civilized who are the truly barbaric, and the [Nazi] Germans are merely the supreme expression of it.
Kathryn Brimblecombe-Fox|Indeed, the future is signalled in the past, but time has to pass to see it. Art is the witness.BLOG post-Perpetual Beginning-November 14 2011
Henry Thomas Buckle|Tell me my little children, what crime has this lizard committed that it must die this evening?” There was silence. In raising my head like a joke, I tried to laugh. That was the same time I realized that grandma was dead serious with us.Pg.26
W.H. Auden|If equal affection cannot be,Let the more loving one be me.
Preston Sturges|THE POLITICIANIf it wasn't for graft, you'd get a very low type of people in politics. Men without ambition. Jellyfish!CATHERINEEspecially since you can't rob the people anyway.THE POLITICIANSure...How was that?CATHERINEWhat you rob, you spend. And what you spend goes back to the people. So where's the robbery? I read that in one of my father's books.THE POLITICIANThat book should be in every home!
M.R.C. Kasasian, Death Descends on Saturn Villa|We do not serve spirits to the ladies.''As you have probably guessed, I am not a lady
Drew Gates, The Crooked Beat|Some of my relatives held on to imagined memories the way homeless people hold onto lottery tickets. Nostalgia was their crack cocaine, if you will, and my childhood was littered with the consequences of their addiction : unserviceable debts, squabbles over inheritances, the odd alcoholic or suicide.
Taylor Swift|When I'm 40 and nobody wants to see me in a sparkly dress anymore, I'll be like: 'Cool, I'll just go in the studio and write songs for kids.'
Trudy Wallis, Longbourn Library: A Novel of Pride, Prejudice, and Books|A library bears similar qualities to a hospital. Librarians are like doctors, books the prescriptions.
Thomas Ligotti, The Conspiracy Against the Human Race|There is obviously only one alternative, namely the unification of minds or consciousnesses. Their multiplicity is only apparent, in truth there is only one mind.
Paul Washer|God gave me a voice to sing with, and when you have that, what other gimmick is there?
Nicole Christie, Falling for the Ghost of You|I keep thinking it's going to come back when I least expect it. When I'm at my happiest. So I'm always afraid to be happy."Zane looks out at the horizon. "You know, there are so many things that can go wrong in this world, you could spend your whole life worrying about them and forget to appreciate every moment you have with someone. Then, you're like, 'God, why wasn't I thankful for what I had when I had it?'" He glances over at me. "You know what the secret to a happy life is?" I shake my head, silent tears falling down my cheeks.He squeezes my hand. "No regrets. Just live in the moment.
Fisher Amelie, Greed|I thought back to all the times I’d slept with a girl and not thought twice about it and my gut ached. If a girl doesn’t safeguard herself, who will? I’d always had the mentality that men will change when women change but I never thought about how safeguarding the girls around me was just as much my responsibility as it was theirs.
Brenna Ehrlich, Placid Girl|When I was your age, I would go to plays all the time, just sit in the darkness and try to take it all in inside me. Contain everything in some corner of my heart so that when I had my shot, it could all come pouring out - all the lights and moments and colour.
Serena Jade, Charismatic Connection: The Authentic Soul Mate Experience|Resistance to change in the mental health system comes disguised as protection of civil liberties and freedom of speech. As a result, many parents, families, and caregivers are at a loss and feel defeated by the majority of Americans who strive to maintain the current rules of society.
Mary Morrell, Things My Father Taught Me About Love|Often someone else's words can provoke us to memories both painful and sweet, and remind us of things we should have learned, but sometimes forget.
Rebecca Solnit, Men Explain Things to Me|How can I tell a story we already know too well? Her name was Africa. His was France. He colonized her, exploited her, silenced her, and even decades after it was supposed to have ended, still acted with a high hand in resolving her affairs in places like Côte d'Ivoire, a name she had been given because of her export products, not her own identity.Her name was Asia. His was Europe. Her name was silence. His was power. Her name was poverty. His was wealth. Her name was Her, but what was hers? His name was His, and he presumed everything was his, including her, and he thought be could take her without asking and without consequences. It was a very old story, though its outcome had been changing a little in recent decades. And this time around the consequences are shaking a lot of foundations, all of which clearly needed shaking.Who would ever write a fable as obvious, as heavy-handed as the story we've been given?...His name was privilege, but hers was possibility. His was the same old story, but hers was a new one about the possibility of changing a story that remains unfinished, that includes all of us, that matters so much, that we will watch but also make and tell in the weeks, months, years, decades to come.
Irina Shayk|In the morning, I always use a cube of ice on my face - it gives me a natural lift.
Nas|I enjoy dating. I love first dates. I think they're incredibly fascinating studies in human psychology. When you sit down across from someone on a first date and things are going alright, you talk objectives. We want to win each other over, so how do you win someone over? You have to put the best foot forward.
Captain Hank Bracker, The Exciting Story of Cuba|Marita Lorenz, was born on August 18, 1939, in Bremen, Germany. In January of 1960 Marita, described as an attractive “curvy, black-haired young lady was named American’s “Mata Hari” by New York Daily News reporter Paul Meskil. Having had an affair with Fidel Castro that turned sour, she now returned to Havana where she attempted to take part in an assassination attempt, supposedly orchestrated by the Mafia and the CIA. Marita brought along poison pills in her cold cream jar, which predictably melted in the tropical heat. Besides, she later said that she really did not have the stomach for killing her former lover. Apparently Castro aware of why she returned to Cuba, handed her his pistol with a dare for her to use it. Even after knowing the truth regarding her visit, he allowed her to safely leave Cuba.Returning to Miami, Marita said that Frank Sturgis, presumably a CIA operative, was involved in this attempt, however it was his close associate, Alex Rorke, who was responsible for orchestrating the plan to poison Castro. Sturgis was extremely angry when she returned and rebuked her for putting the pills into the warm cold cream, calling her stupid, over and over again.For a few years after leaving the island, Marita was looked after and protected by a mobster named Ed Levi. It was his job to protect her from, what was considered, a likely attempt on her life by “Cuban Intelligence Operatives.” In 1961, Marita met Marcos Pérez Jiménez, the former President of Venezuela, in Miami. Marcos told her that he was anxious to meet her because he knew she was “Fidel's girl." He successfully pursued Marita, and when she gave in, they had an affair that resulted in the birth of a daughter.
G.K. Chesterton, The Man Who Was Thursday: A Nightmare|Anarchy could never get a man to the moon, but it may the only mode that can allow us to survive on earth.
Aleksandra Ninkovic|Heart beats are marching like thousands of drums,Birds find their flight, thrown out of nest,We win some battles, then we lose some,Truth is no more than illusion at best.What has been said under veil of the night,Under the veil it will ever remain,But may it ever be in my right,I know i have never said it in vain.
Steven Galloway|I will not live in a city where dead bodies lie abandoned in the streets, and you will not tell the world I do.
Guillermo Galvan, Blubber Island|I'm not an addictive personality, I just like getting high, that's all.
Nuruddin Farah, Links|It's always fallen to women to forge the peace between all these hot-blooded men, always ready to go to war at the slightest provocation....Why do men behave the way they do, warring?""What do you think?" he asked."Maybe because they've got no sense of grief?
Krista Tippett|Intelligent design is a modest position theologically and philosophically. It attributes the complexity and diversity of life to intelligence, but does not identify that intelligence with the God of any religious faith or philosophical system.
John Tottenham, Antiepithalamia: & Other Poems of Regret & Resentment|He took her hand without question, without fear, and he never regretted it.
Jamie Zeppa|English has so many words that do not exist in Sharchhop, but they are mostly nouns, mostly things: machine, airplane, wristwatch. Sharchhop, on the other hand, reveals a culture of material economy but abundant, intricate familial ties and social relations. People cannot afford to make a distinction between need and desire, but they have separate words for older brother, younger sister, father’s brother’s sons, mother’s sister’s daughters. And there are 2 sets of words: a common set for everyday use and an honorific one to show respect. There are three words for gift: a gift given to a person higher in rank, a gift to someone lower, and a gift between equals.
Debra Strattford, Worthless|Putting his mouth close to her ear, he said, “I’m going to ride you raw, baby, but you won’t care. It’s going to feel so good, all you’ll be able to think about is getting me back inside you. Keeping me here, packed up tight and deep, screwing into you so hard you go hoarse from your screams . . .
George Orwell, Coming Up for Air|Looking' his last' upon the scene of his former joys and his later sufferings, and wishing 'she' could see him now, abroad on the wild sea, facing peril and death with a dauntless heart, going to his doom with a grim smile on his lips.
Sunday Adelaja|The most cruel and disobedient people will be saved, if there is one who would stand before God for His people
Guy Kawasaki|It was deeply important for me to understand where Mandela came from. Because we know where he was going, and that's a famous story, but who was he? Where did he come from? What was his upbringing?
John Motson|I would tell 17-year-olds to be proud of who you are. Don't try to change yourself for others. Focus on school and your future. Boys and friends will come and go, just focus on you and your future.
Craig D. Lounsbrough|We can be seized with panic of the fall, or inspired by the potential that lies within the fall.
Joshua Ferris, The Unnamed|They were like two inviolable spheres touching at a fine point in their curves, touching but failing to penetrate, failing to breathe the other's air.
Andrew Motion|I'm not precisely saying that a really good board meeting at the MLA (Museums, Libraries and Archives Coucil) makes me want to go and write poetry, but there is a pleasure in doing that sort of thing well.
Mette Ivie Harrison, The Princess and the Hound|We cultivate our feelings the way we cultivate a garden: we can't entirely prevent weeds from coming up, but we can take care to remove them before they do much harm.
Nancy B. Brewer|You intend to keep me confined in here with you for three days?" His voice was low and ominous."It doesn't have to take three days," she said, "It just depends how long it takes for you to come to your senses.""My senses?" he shook her so hard she thought her teeth would rattle. "It is you whose mind is disordered if you think you can tame me like some pet! Is that what you think, Vesta? That you can somehow turn a man like me into your little lap dog?""No," she said, as earnest as she had ever been in her life. "I could never imagine you as a lap dog. Ever. You are a Mastiff. Big, powerful, dignified, brave, and yet gentle." She nodded with a look of self satisfaction. "Yes. Most definitely a Mastiff." from THE VIRGIN HUNTRESS
Alison Singh Gee|We grew up hearing stories about how he has been cheated - out of money, out of reputation, out of a grander fate. We had lost everything, he'd wail, and that was despite the fact that we had each other.
Shoryu Bradley|The four abiding abodes,The ideal attitude for a follower of the Buddhist teaching to maintain towards other living beings.
Stephen King, The Green Mile|Great institutions have leaders who are proud of what they do, and who engage with everyone who makes up those institutions, so each person understands their role. But our jailers are generally granted near-total anonymity, like the cartoon executioner who wears a hood to conceal his identity. What is the point, what is the reason, to lock people away for years, when it seems to mean so very little, even to the jailers who hold the key? How can a prisoner understand their punishment to have been worthwhile to anyone, when it's dealt in a way so offhand and indifferent?
Anonymous, Holy Bible: King James Version|For GOD is greater than our hearts, and He knows everything.
Richard Dawkins|Some people have a hard time getting rid of stuff. If that's you, pray for God to give you the courage to get rid of things you don't really need or things He wants you to give away. This will help keep your surroundings organized and clutter-free.
Ashly Lorenzana|It may be a man's world, but men are easily controlled by women.
Jeremy Bentham, The Panopticon Writings|Bodies are real entities. Surfaces and lines are but fictitious entities. A surface without depth, a line without thickness, was never seen by any man; no; nor can any conception be seriously formed of its existence.
Deyth Banger|Misinformation and disinformation about ritual abuse and mind control trauma and psychotherapy to treat such trauma appear in both paper and electronic media, but are particularly abundant on the Internet on websites of individuals and organizations, bookseller reviews, blogs, newsletters, online encyclopedias, social networking sites, and e-group listservs.
Jennifer Elisabeth, Born Ready: Unleash Your Inner Dream Girl|Recognize that you have been chosen to be alive, right now, at this exact moment in time and know that none of that is random. There is something about you, your past or your future that is required at this exact moment in history. We need to know who you are and what you have been through.
Rossana Condoleo|The role of any person in this world is to be themselves without damaging the rest. We are important as long as the rest "is". - Rossana Condoleo
Vikrmn, 10 Alone|First of all is the fact that I have some rather good turns of phrase. I don't say that pridefully ... it's just that when a line I forgot about smacks me in the face and says, "Look at me! Aren't I lovely?" I have to notice.
Mokokoma Mokhonoana|That there was no God was a given, as far as Hope was concerned, and being nice to people and making the most of your life struck her as a reasonable enough conclusion to draw from it, and in any case what she wanted to do. But besides the spires of theology and the watch-towers of ideology, it seemed a very shaky hut indeed, and not one that offered her much shelter or would stand up in court.She couldn't see a way to make her objection to the fix a deduction from any body of thought. It came from a body of flesh, her own, and that was enough for her. She doubted that this would be enough for anyone else.
Lucian Blaga|Then we had the irises, rising beautiful and cool on their tall stalks, like blown glass, like pastel water momentarily frozen in a splash, light blue, light mauve, and the darker ones, velvet and purple, black cat's ears in the sun, indigo shadow, and the bleeding hearts, so female in shape it was a surprise they'd not long since been rooted out. There is something subversive about this garden of Serena's, a sense of buried things bursting upwards, wordlessly, into the light, as if to point, to say: Whatever is silenced will clamor to be heard, though silently.
Edward de Bono|Which goes to show you, you can make all the laws you want, but you cannot change people's ways. If you must change them, you have to understand that it will take a long time.
