Michael Faudet, Dirty Pretty Things|Unbutton, unzip, unclip, untie, undo, undress.”“Understood,” she replied.
E.J. Patten, Return to Exile|One single sentence, one frame of film, and abracadabra! the story’s wings would take her to another lost world, another magic realm that was ready to be explored.
Salma Hayek|Diet is really important, and I think vitamins are really important, also.
Ari Gold, The Gold Standard: Rules to Rule By|No one can save time. It’s not like money. You can’t deposit the time you save into an account and use it later. Time passes. Time is a constantly depleting resource. Once it’s gone, it’s gone, and you will NEVER get it back.
Charles Lamb|The fairy tale emanates from specific struggles to humanize bestial and barbaric forces, which have terrorized our minds and communities in concrete ways, threatening to destroy free will and human compassion. The fairy tale sets out to conquer this concrete terror through metaphors.
Jalaluddin Rumi|The deepest of level of communication is not communication, but communion. It is wordless ... beyond speech ... beyond concept.
Michael Brewer|It's an insidious twist of thought that leads one to demand women to give up their reproductive rights to force unwanted pregnancies but then, once birthed from the womb, to deny them access to basic necessities required for even a mediocre life like education, clean air, healthcare, and a fair wage. And these people have the audacity to call their position pro-life.These same people who bemoan the welfare state, yet refuse to require business to honor a fair wage, appear to want to create the very circumstances that they ceaselessly complain about. I dare say that by perpetuating this condition, by feeding the apparatus of poverty, they are satiating their narcissism.With poverty securely entrenched, these lucky few can sit back and smile with smug superiority. Because of course, they pulled themselves up by their bootstraps, they worked harder, and they have earned what they have. It's a meritocracy, they say, if only by merit of their parent's color of flesh or social standing.So yes, let's churn out more children who will be unable to claw their way out of poverty, and if they just happen to defy the odds, let's brainwash them into believing this tripe called the American Dream so they will assist us as we throw their less fortunate fortunate siblings into the hungry machine of conservatism. Because we are really only interested in conserving the status quo.
Harsha Bhogle, The Winning Way: Learnings from sport for managers|The two keys to success as a sportswriter are: 1) A blind willingness to believe anything you're told by the coaches, flacks, hustlers and other "official spokesmen" for the team-owners who provide the free booze ... and: 2) A Roget's Thesaurus, in order to avoid using the same verbs and adjectives twice in the same paragraph.Even a sports editor, for instance, might notice something wrong with a lead that said: "The precision-jack-hammer attack of the Miami Dolphins stomped the balls off the Washington Redskins today by stomping and hammering with one precise jack-thrust after another up the middle, mixed with pinpoint-precision passes into the flat and numerous hammer-jack stomps around both ends....
Carla H. Krueger, From the Horse’s Mouth|To Kalist, Baumauer’s just a timber bridge in need of a good hot fire.
John Bevere, Honor's Reward: The Essential Virtue for Receiving God's Blessings|Fortunately or unfortunately, the greatest authority on matters of life is life itself.
Cassandra Clare, What to Buy the Shadowhunter Who Has Everything|Happy birthday, Alexander," Magnus murmured."Thanks for remembering," Alec whispered back.
Harold Bloom, The Western Canon: The Books and School of the Ages|King die hard, in Shakespeare and in life.
Janet Fitch, White Oleander|Never let a man stay the night,” she told me. “Dawn has a way of casting a pall on any night magic.
Chelsie Shakespeare, The Pull|He would reach for me in the middle of the night, nearly every single night, wrapping one of those solid arms around my waist and pulling me in close. So. Close.
Alexandra Adornetto|Teachers are not glorified babysitters with summers off. Their profession fuels all others, and on a normal day that is amazing enough in and of itself.
Terry Pratchett|It took place in the midnight in the University's Great Hall, in a welter of incense, candlesticks, runic inscriptions and magic circles, none of which was strictly necessary but which made the wizards feel better.
Julian Lincoln Simon|Obedience is detachment from the self. This is the most radical detachment of all. But what is the self? The self is the principle of reason and responsibility in us. It is the root of freedom, it is what makes us men.
Jamie McGuire, Walking Disaster|Fifty minutes, huh?” he muttered. “Too long?” she managed with a teasing smile, knowing she longer had the strength to turn him away. She wanted Dalton to make love to her again. Needed him to. He arched a brow. “You questioning my stamina?” Laughing softly, she reached for his shirt, pulling him to her. “Not on your life. I know better. I was just thinking that for a man who spent years perfecting the eight second ride, fifty minutes might be quite a stretch.” Threading his fingers through her hair, he looked down at her. “The stretching part is no longer in question. Hell, much longer and it’s gonna take a crow bar to get me out of these jeans.” “Then what are you waiting for?
Pessoa|When you committed your life to Christ, he moved into the center; but you must keep him there through worship.
Debasish Mridha|Those who complain never love, those who love, never complain.
Pat Riley|He tries to hand the water back, but I refuse. Jeremy's will is always stronger than anybody else's, though, and when he says he'll only drink more if I do first, I cave and drink
Chauncey Mitchell DePew|In all ages woman has been the source of all that is pure, unselfish, and heroic in the spirit and life of man.....poetry and fiction are based upon woman's love, and the movements of history are mainly due to the sentiments or ambitions she has inspired......there is no aspiration which any man here to-night entertains, no achievement he seeks to accomplish, no great and honorable ambition he desires to gratify, which is not directly related to either or both a mother or a wife. From the hearth-stone around which linger the recollections of our mother, from the fireside where our wife awaits us, come all the purity, all the hope, and all the courage with which we fight the battle of life. The man who is not thus inspired, who labors not so much to secure the applause of the world as the solid and more precious approval of his home, accomplishes little of good for others or of honor for himself. I close with the hope that each of us may always have near us: 'A perfect woman, nobly planned,To warn, to comfort, and command,And yet a spirit still, and brightWith something of an angel light.
Albert Camus, The Myth of Sisyphus|Thinking of the future, establishing aims for oneself, having preferences—all this presupposes a belief in freedom, even if one occasionally ascertains that one doesn't feel it.
Debasish Mridha|I am not rich, but I am wealthy and my wealth is my love.
Sirach|Strive not with a man that is full of tongue, and heap not wood upon his fire. Jest not with a rude man, lest thine ancestors be disgraced
Najat Vallaud-Belkacem|My vision for Scotland is one in which we fight together for the values we are care about: equality, fairness and social justice. Those values are the same whether you live in Dumfries or Carlisle.
Ken Alexopoulos, Sanctified - ACT 1: Born of Man: ACT 1: Born of Man|Kate opens a jar of honey and pours a thick line of the sticky stuff over the top edge of the wound. Setting the jar back on the counter, she picks up the first strip of cloth and gently wraps it around his arm. As she works, she can feel his eyes on her, watching her silently. She stands close, and his injured arm is outstretched just enough for his hand to be hanging in the air beside her waist. When she tugs on the bandage to make the first knot, his hand is pulled to her, lightly brushing the side of her body with the tips of his fingers. When she tugs again, he presses his hand to her waist, and she feels the subtle constriction of his fingertips.
Marcia Lebhar|f you had slept in the same house or field with Jesus, awakened with him, eaten with him and helped him, what would you have observed? One thing we always think of is that Jesus gave himself almost entirely to what we would consider interruptions. Most of the teaching, healing and wonders we see in his life were responsive...seemingly unplanned. He trusted that what the Father allowed to cross his path was exactly that...from the Father. Jesus always seemed willing for things to get messy
Assata Shakur, Assata: An Autobiography|But an action which wants to serve man ought to be careful not to forget him on the way, if it chooses to fulfill itself blindly, it will lose its meaning or will take on an unforeseen meaning; for the goal is not fixed once & for all; it is defined all along the road which leads up to it.
Jenny Han, Always and Forever, Lara Jean|This is two romantic things in a row, so I figure I should praise him accordingly, because the boy responds well to positive reinforcement.
Kristen Callihan, Idol|He's going to kill me. They'll find me lying on the floor, my heart burt wide open, too full of him to stay in my chest.
Olive Schreiner|If you are an artist, may no love of wealth or fame or admiration and no fear of blame or misunderstanding make you ever paint, with pen or brush, an ideal of external life otherwise than as you see it.
George Alec Effinger|I can't believe that we have reached the end of everything. The red dust is frightening. The carbon dioxide is real. Water is expensive. Bio-tech has created as many problems as it has fixed, but we're here, we're alive, we're the human race, we have survived wars and terrorism and scarcity and global famine, and we have made it back from the brink, not once but many times. History is not a suicide note - it's a record of our survival.
John M. Barry, The Great Influenza: The Story of the Deadliest Pandemic in History|Another explanation for the failure of logic and observation alone to advance medicine is that unlike, say, physics, which uses a form of logic - mathematics - as its natural language, biology does not lend itself to logic. Leo Szilard, a prominent physicist, made this point when he complained that after switching from physics to biology he never had a peaceful bath again. As a physicist he would soak in the warmth of a bathtub and contemplate a problem, turn it in his mind, reason his way through it. But once he became a biologist, he constantly had to climb out of the bathtub to look up a fact.
Lev Grossman, The Magicians|I got my heart's desire, and there my troubles began.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|You can’t lead without love, and more importantly, you can’t leave a legacy without love.
Georg Wilhelm Friedrich Hegel|Much of the social history of the Western world, over the past three decades, has been a history of replacing what worked with what sounded good.
Benny Bellamacina, Piddly Poems for Children|A bunch of bad songs, make an awful whine.
Joan Didion, The Year of Magical Thinking|The quail was tender, the potatoes smothered in butter, and the beans roasted in garlic.
Dada Bhagwan|No one in this world is your boss! Yet people walk around with a perplexed look, thinking ‘someone will take away my things!’ Hey, you are the owner of the whole universe. Who can take away what is yours?
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|The tragedy of life is that it comes just once and before you know it, it is gone. Since life comes just once, I encourage you to give it your best shot.
Eddie A. Rios|When you're in a rut, you have to question everything except your ability to get out of it.
Terry Pratchett, Wings|Until the longing came again, like the longing that you hear in the whistle of a train that is going far away. But the longing isn't really in the whistle, the longing is in you—for the wonder and the loveliness that is in the world, and everywhere.
Nalini Singh, Hostage to Pleasure|I had no shoes, and I felt sorry for myself until I met a man who had no feet. I took his shoes. Now I feel better.
Evan Minton, Inference To The One True God: Why I Believe In Jesus Instead Of Other Gods|The Kalam Cosmological Argument, The Fine-Tuning Argument, and The Local Fine-Tuning Argument all do an end-run around the issue of special creation verses evolution. These evidences establish the existence of a Creator of the universe. Thanks to The Kalam Cosmological Argument and the two Fine-Tuning Arguments, the atheist’s goose is cooked before we even get to the issue of the origin of life much less the adequacy of random mutations and natural selection to produce new species of animals! .... I can give the atheist evolution for free. He still has to deal with all of the arguments in this book.
Douglas Coupland, Girlfriend in a Coma|This past year - if you'd have tried, you'd have seen even more clearly the futility of trying to change the world without the efforts of everybody else on Earth. You saw and smelled and drank the evidence of six billion disasters that can only be mended by six billion people. || A thousands years ago this wouldn't have been the case. If human beings had suddenly vanished a thousand years ago, the planet would have healed overnight with no damage. Maybe a few lumps where the pyramids sand. One hundred years ago - or even fifty years ago - the world would have healed itself just fine in the absence of people. But not now. We crossed the line. the only thing that can keep the planet turning smoothly now is human free will forged into effort. Nothing else. That's why the world has seemed so large in the past few years, and time so screwy. It's because Earth is now totally ours.
Natsuki Takaya|In a spirit of hope and new beginnings, we linked arms like a couple of kids. Pushing aside sad thoughts, we strode off into our future.
Dorothy Parker, Not So Deep As A Well: Collected Poems|I never see that prettiest thing-A cherry bough gone white with Spring-But what I think, "How gay 'twould beTo hang me from a flowering tree.
Stanley Victor Paskavich, Return to Stantasyland|once ruffle-skirted vanity table where I primped at thirteen, opening drawers to a private chaos of eyeshadows lavender teal sky-blue, swarms of hair pins pony tail fasteners, stashes of powders, colonies of tiny lipsticks (p.39)
Michael Talbot, The Delicate Dependency: A Novel of the Vampire Life|He'd saved her life and killed her trust. He'd thought it a fair trade, at the time.
Narendra Modi|Democrats creating the expectation that judges should act as politicians in robes is a dangerous precedent to set, threatening the very independence of the judiciary.
J.M. Barrie|I kept thinking there were two kinds of adults: There were...miserable creatures who scoured the earth in search of something to hurt. And then there were people like my parents, who walked around zombically, doing whatever they had to do to keep walking around.
Billy Graham, Billy Graham in Quotes|Jesus Christ is God in human flesh, and the story of His life, death, and resurrection is the only Good News the world will ever hear.
Angela Richardson, Pieces of Truth|The mission sat in a converted store front on the corner of a medium-busy street. There was a small crowd gathered in front - no real surprise, since they gave out food and clothing, all all you had to do was spend a few moments of your life listening to the good reverend explain why you were going to Hell. It seemed like a pretty good bargain, even to me, but I wasn't hungry.
Christina Engela|Our negative thoughts actually and literally cause the blessings to be repelled. If you can picture what you want, and believe that it is on its way, by God's law it must come. Hold on to the belief, and in time you will realize it.
John F. Kennedy|I think the greatest of people in society carved niches that represented the unique expression of their combinations of talents, and if everyone had the luxury of expressing the unique combinations of talents in this world, our society would be transformed overnight.
Tara Leigh Cobble, Crowded Skies: Letters To Manhattan|Two natures beat within my breastThe one is foul, the one is blessedThe one I love, the one I hate.The one I feed will dominate.-Anonymous
Bertrand Russell, Sceptical Essays|The special skill of the politician consists in knowing what passions can be most easily aroused, and how to prevent them, when aroused, from being harmful to himself and his associates...Moreover, since politicians are divided into rival groups, they aim at similarly dividing the nation, unless they have the good fortune to unite it in war against some other nation.
Craig Ferguson|NEW RULE: 'Kidiots' Leave the children behind. At least until they learn something. A new study has shown that half of American high schools agree that newspapers should only be able to publish government-approved material. Almost one out of five said people should not be allowed to voice unpopular opinions..This is the first generation after September 11th, who discovered news during a 'watch what you say' administration...George W. Bush once asked, 'is our children learning.' No, they isn't. A better question would be, 'is our teacher's teaching?
Eraldo Banovac|Designing well-written tests still remains a challenging task. Some complex questions may lose clarity causing difficulties in providing meaningful answers. Basically, questions should be designed in such a way that each well-prepared student can easily give a correct answer.
Theodore Isaac Rubin|Every new computer program is basically doing some task that a person used to do. But the computer usually does it faster, more accurately, for less money, and without any health insurance costs.
Molly Harper, The Care and Feeding of Stray Vampires|Like crucifixions and pornography, it never got old.
Catherine Deneuve|We read our children stories starring elephants and monkeys and bears to teach them about nobility, curiosity and courage, to warn them against selfishness and stubbornness.
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|i didn't choose dark , neither dark chose mei didn't choose lonely , neither lonely choose mei didn't choose pain , neither pain choose me i didn't choose to live in hell , neither hell chose mei'm thrown there and force to be in that and i cant oppose Because you can't oppose when Something God Do for you.And i keep that person near to my God i trusted and love Even more then God.
Voltaire|While stationed in Fort Jackson, I experienced racial prejudice for the first time and came to the understanding that humans are not born with prejudice, but learn prejudice. Back home in South Dakota, I only knew one black American. The Scandinavians in my community treated him just like any other Swede; my family considered him a friend. My parents taught me, and I believed that all men are equal because God created all men in His image.One day during a week end furlough, I boarded a crowded city bus. As I walked down the aisle, I looked for an open seat. Looking towards the rear of the bus, I noticed three huge, young black men sitting on a bench in the back. I decided to squeeze onto the bench with them. As I sat down, a woman said in a very loud voice, "What is that white soldier doing in our part of the bus?"Neither my life experiences nor my education prepared me for what I experienced walking the streets of Fort Jackson. I saw water fountains for whites only, barbershops for blacks only, and separation for most aspects of Southern living. I discovered that the feelings of prejudice ran deeply amongst many of the people that we encountered. In fact, the blacks even trained separately from the whites during our military preparation, even though we all worked towards defending the United States of America.
Rick Riordan, The Mark of Athena|Don't untie me," she said, "no matter what happens or how much I plead. I'll want to go straight over the edge and drown myself.""Are you trying to tempt me?""Ha-ha.
Cameron Jace, Snow White Sorrow|…he was doing a breath hydrogen test. If you know the amount of hydrogen someone is exhaling orally, it's a simple matter to extrapolate the amount they're exhaling rectally. This is because a fixed percentage of hydrogen produced in the colon is absorbed into the blood and, and when it reaches the lungs, exhaled. The breath hydrogen test has given flatus researchers a simple, consistent measure of gas production that does not require the subject to fart into a balloon.
John Steinbeck, Cup of Gold: A Life of Sir Henry Morgan, Buccaneer, with Occasional Reference to History|...I say to you, without pleasure, that this son of ours will be a great man, because -- well -- because he is not very intelligent. He can see only one desire at a time. I said he tested his dreams; he will murder every dream with the implacable arrows of his will. This boy will win to every goal of his aiming; for he can realize no thought, no reason, but his own. And I am sorry for his coming greatness...
Lisa Carlisle, Dark Pursuit|On the day after Christmas, some store or another will always take out and ad saying there are only 364 shopping days to Christmas. No one is amused.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|...opportunities typically come disguised as impossible problems. And while most people run away from their problems, Shamgars run at them with their oxgoads.
Tessa Dare, Say Yes to the Marquess|We are strong and proud and beautiful and there are not enough stars in the night sky to measure our worth. I will honor my mother and take care of my family.Yes, I think. I am just a woman.
Henry David Thoreau|The Jews don't like Farrakhan, so they call me Hitler. Well, that's a good name. Hitler was a very great man.
Joan Pillen, Prairie Magic: Mystics, Mystery and Miracles|If a lion cub thinks it is a kitten, it will grow up catching mice.
Rusty Fischer, Ushers, Inc.|Just try it,” he murmurs, reaching over to cover my hand gently.And I think, Whoa, that’s never happened before!Then: Is he just doing that because he thinks Wyatt is interested?And, finally, this: Who the hell cares?!
Plato, The Republic|Musical training is a more potent instrument than any other, because rhythm and harmony find their way into the inward places of the soul.
Jeremy Camp, I Still Believe|Products are made in the factory, but brands are made in the mind
Amit Abraham|Evil is also not anything small or close to home, and not the worst; otherwise one could grow accustomed to it.
Morton Shaevitz, Refire! Don't Retire: Make the Rest of Your Life the Best of Your Life|Simply put, here amid the kingdoms of this world we have no continuing city. That’s why we dare not become attached to the passing values of any human culture.
Santosh Kalwar|In your life, always be like a driver who runs the car not just a car.
Andy Weir, The Martian|I must go down to the sea...to the lonely sea and the sky, And all I ask is a tall ship, and a star to steer her by......
Jeanette Winterson, Oranges Are Not the Only Fruit|We begin to resemble what we focus on. If we devote our lives to our jobs, then we mentally take the office to our daughter’s lacrosse game.
John Green, The Fault in Our Stars|He continued to stare out the window. "I meant what I said before. You need to walk away, Pidge. God knows I can't walk away from you.
Matshona Dhliwayo|Love is the only criminal who, after stealing your heart, convinces you to celebrate her.
Linda Bender, Animal Wisdom: Learning from the Spiritual Lives of Animals|A group of owls is called a parliament, wisdom, or study.
Veronica Rossi, Under the Never Sky|And it's always better, isn't it, when you discover answers on your own?
Lailah Gifty Akita, Think Great: Be Great!|The nod of a head is such a small thing, it can mean so little, yet it is the gesture of assent that allows, that makes to be. The nod is the gesture of power, the yes. The numen. the presence of the sacred, is called by its name.
M.A. George, Aqua|You scared the crap out of me,” I shove his bare chest with a growl. “Wasthat you at the front door?”“Ya think?” He fires back with a raise of his eyebrows, taking hold of my armagain, as he practically drags me back toward the front entry.“Did it occur to you to say something?” I shoot back with a scowl. “I thoughtyou were some kind of psychopath.” My frown deepens, as I consider whether he might in fact be a psychopath.
Ernest Agyemang Yeboah|It was as if a tiny crack had opened somewhere in him and was growing, tearing him to pieces. If he had simply been angry, I might have found a way to calm him, but I had no idea how to put him back together once he came apart.
Lucius Annaeus Seneca|The unthankful heart... discovers no mercies; but let the thankful heart sweep through the day and, as the magnet finds the iron, so it will find, in every hour, some heavenly blessings!
Helen Hollick, The Kingmaking|I know in my life there have been breaches, but I also know that I am very good at blocking out the memories that serve me no purpose.
Psyche Roxas-Mendoza|All the people we loved, who have died, are still alive in the past. The only thing that really separates us is time. It's a matter of perspective. That's what separates optimism and pessimism.
James Clavell, Tai-Pan|Without trade the world will become what it was once—a hell where only the strongest arm and the heaviest lash was law. The meek will never inherit the earth. Aye, but at least they can be protected by law to live out their lives as they wish.
Paula Altenburg, The Demon's Daughter|We are Morgensterns," he added, a dark ache in his voice. " The bright stars of morning. The children of Lucifer, the most beautiful of all God's angels. We are so much lovelier when we fall." He paused. "Look at me , Clary. Look at me.
Phar West Nagle|It doesn’t work,” she continues, unclasping her hands, smoothing her skirt. “What you’re feeling right now doesn’t work. You can’t wander around and think the wandering will call them back. Believe me. I know you don’t want to hear the long view, but let me tell you. You are so young. I know it’s none of my business. But still.
Mitch Albom, Tuesdays with Morrie|Your Employees is Part of Your Company,If you want to improve your business Treat like friend not like servant.
Cindy Skaggs, Untouchable|Logan felt raw inside from the look of betrayal she had leveled on him. Who was he to demand honesty when every aspect of his presence in her life, even on the periphery, was a lie?
George Orwell, 1984|That’s precisely what the governing body should NOT do—manage every detail of their lives. We are not their meddling grandmothers; we exist to keep them safe so they can make their own decisions, resolve their own problems, and live their own lives as their conscience dictates. We are NOT to become that conscience.
Jim Cymbala, Fresh Faith: What Happens When Real Faith Ignites God's People|One is not necessarily made self-centered because he is foolish, but one is very often made foolish because he is self-centered.
Abhijeet Sawant|The disadvantage of not being together at same place, not meeting each other personally, not able to talk with each other eye into eye, not able to feel each others touch; makes it difficult for a Long Distance Relationship to work.
George Orwell, 1984|Do you know how does it feel failing every day? No,You get used to it.
Scott Fujita|For some of my friends who raise personal objections to marriage equality, they still recognize the importance of being accepting. And many of them also recognize that regardless of what they choose to believe or practice at home or at their church, that doesn't give them the right to discriminate.
Steve Backley, The Champion in all of Us: 12 Rules for Success|Just identify the very first physical action you need to take, and do it.
Jesus Christ|Daring to set boundaries is about having the courage to love ourselves, even when we risk disappointing others.
Debasish Mridha|If you don’t exist, then for you nothing exists.
Sylvia Plath, Ariel|LADY LAZARUSI have done it again.One year in every tenI manage it--A sort of walking miracle, my skinBright as a Nazi lampshade,My right footA paperweight,My face a featureless, fineJew linen.Peel off the napkinO my enemy.Do I terrify?--The nose, the eye pits, the full set of teeth?The sour breathWill vanish in a day.Soon, soon the fleshThe grave cave ate will beAt home on meAnd I a smiling woman.I am only thirty.And like the cat I have nine times to die.This is Number Three.What a trashTo annihilate each decade.What a million filaments.The peanut-crunching crowdShoves in to seeThem unwrap me hand and foot--The big strip tease.Gentlemen, ladiesThese are my handsMy knees.I may be skin and bone,Nevertheless, I am the same, identical woman.The first time it happened I was ten.It was an accident.The second time I meantTo last it out and not come back at all.I rocked shutAs a seashell.They had to call and callAnd pick the worms off me like sticky pearls.DyingIs an art, like everything else.I do it exceptionally well.I do it so it feels like hell.I do it so it feels real.I guess you could say I've a call.It's easy enough to do it in a cell.It's easy enough to do it and stay put.It's the theatricalComeback in broad dayTo the same place, the same face, the same bruteAmused shout:'A miracle!'That knocks me out.There is a chargeFor the eyeing of my scars, there is a chargeFor the hearing of my heart--It really goes.And there is a charge, a very large chargeFor a word or a touchOr a bit of bloodOr a piece of my hair or my clothes.So, so, Herr Doktor.So, Herr Enemy.I am your opus,I am your valuable,The pure gold babyThat melts to a shriek.I turn and burn.Do not think I underestimate your great concern.Ash, ash--You poke and stir.Flesh, bone, there is nothing there--A cake of soap, A wedding ring,A gold filling.Herr God, Herr LuciferBewareBeware.Out of the ashI rise with my red hairAnd I eat men like air.
Chris Cleave, Everyone Brave is Forgiven|She knew, now, why her father had not spoken of the last war, nor Alistair of his. It was hardly fair on the living.
Gemma Seltzer, Speak to Strangers|Just because something is told as a story and that story is part legend or myth, or feat of imagination, does not mean there is no truth in it.
Vikrmn, 10 Golden Steps of Life|Ordinary moments make the life. This is what she knew to be trustworthy and this is what I learned, eventually, from those years we spent together. No leaps or falls. I inhale the little drizzly details of the past and know who I am. What I failed to know before is clearer now, filtered up through time, an experience belonging to no one else, not remotely, no one, anyone, ever. I watch her use the roller to remove lint from her cloth coat. Define coat, I tell myself. Define time, define space.
Pawan Mishra, Coinman: An Untold Conspiracy|I am fascinated by the dailies, what is daily.
Ricky Schroder|Writing is boring, very boring, and it takes so much patience.
Ulysses S. Grant|We name time when we say: every thing has its time. This means: everything which actually is, every being comes and goes at the right time and remains for a time during the time allotted to it. Every thing has its time.
Joseph Heller, Catch-22|-You have no respect for excessive authority or obsolete traditions. You're dangerous and depraved, and you ought to be taken outside and shot!
Israelmore Ayivor, Leaders' Watchwords|Asides your power, passion and poise, what glues the posters of your impacts on memorial walls is how you treat those you need and those who need you.
Akansh Malik, Love Heals Everything|It's not about being single or in a relationship, it's about feeling good about yourself. Start loving yourself... <3
Marcia Lebhar|The author of Hebrews says what kept him (Jesus) going was "the joy set before him" (Hebrews 12:2). The joy of accomplishing what had been lovingly planned from the beginning...the joy of pleasing his Father. And you. Your face was before him. He was willing to bear the terrible irony of obscurity to accomplish the plan, to please his Father, and to win you.
Brandi L. Bates, Remains To Be Seen|Hello, Harry!” she said.“Er — my name’s Barny,” said Harry, flummoxed.“Oh, have you changed that too?” she asked brightly.“How did you know — ?”“Oh, just your expression,” she said.Like her father, Luna was wearing bright yellow robes, which she had accessorized with a large sunflower in her hair. Once you got over the brightness of it all, the general effect was quite pleasant. At least there were no radishes dangling from her ears.
Lailah Gifty Akita|Sometimes, God doesn’t make things happen in a sudden, but for a reason!
Joe Meno, Demons in the Spring|And then, with the feather-green darkness pressed against the windows, he puts his filthy fingers on my scrubbed hope face and says, "If I kiss you, it's all over." And then he does. And then it is.
Kemi Sogunle|Bullies do not just wake up and decide to be one. They are people who have or are experiencing emotional or verbal abuse. All you can do is not retaliate but show them love. Doing so, allows them see what they are missing and need. You can let them see the other side of life when you show love not hurt. After all, we are all products of love and we must choose to demonstrate that above all else.
Christopher Hitchens, Hitch-22: A Memoir|In a public dialogue with Salman in London he [Edward Said] had once described the Palestinian plight as one where his people, expelled and dispossessed by Jewish victors, were in the unique historical position of being 'the victims of the victims': there was something quasi-Christian, I thought, in the apparent humility of that statement.
Matshona Dhliwayo|Outer beauty you see with your eyes, but inner beauty you only see with your heart.
C. JoyBell C.|Don’t try to change the world; just change yourself. Why? Because the whole world is only relative to the eyes that are looking at it. Your world actually only exists for as long as you exist and with the death of you, includes the death of your world. Therefore, if there is no peace in your heart; you will find no peace in this world, if there is no happiness in your life; you will find no happiness anywhere around you, if you have no love in your heart; you will not find love anywhere and if you do not fly around freely inside your own soul like a bird with perfectly formed wings; then there will never be any freedom for you regardless if you are on a mountaintop removed from all attachments to all of mankind! Even the mountaintop cannot give you freedom if it is not already flying around there inside your own soul! So I say, change yourself. Not the world.
Li-Young Lee|I am that last, thatfinal thing, the bodyin a white sheet listening,
Roger Wicker|We need, ultimately, to be able to view mental health with the same clear-headedness we show when talking about physical health.
Max Hastings, Catastrophe 1914: Europe Goes to War|«Such is the irony of life,» Kruppe proclaimed, raising one pastry-filled hand over his head, «that one learns to distrust the obvious, surrendering instead to insidious suspicion and confused conclusion. But, is Kruppe deceived? Can an eel swim? Hurrah, these seeming muddy waters are home to Kruppe, and his eyes are wide with wonder.»
Alexander Schmemann, For the Life of the World: Sacraments and Orthodoxy|It is interesting that Jesus encounters a person, personally, forgives him, transforms him adds Him into the Church - the Body of Christ, However today, Church is getting the other way around, she is raising up a believer in Church, feeding the cup of her doctrine and then showing the person of Christ in with the veil of concocted and diseased doctrines.
Himangshu Rabha|•	Memories are just a spark from the fire that you have in your heart from the love you have for the person you shared them with. A flash of warmth that comes with the knowledge that at that very moment life is perfect, a glimmer of hope that this happiness will last forever.
Anthony Liccione|Sex swims in marriage, while sex sinks in sin of being single.
Toba Beta, Master of Stupidity|I have a dream, there will be critical point in the future,where economics and technology will negate each other.
Danielle Monsch, Stone Embrace: A Stone Guardian After-Scene|His father read aloud, quietly, his voice steady and gentle, while he pressed a hand to Liam's delicate back, supporting his position....She realized Dragos was reading the quarterly profit percentages from a stockholders' report.
Samar Sudha|It's easier to get over a thing" Scobie said, "if you talk about it
John Taskinsoy|Obtaining sought skills is critical in gaining an advantage over others (competitors), but being fluent in English could enable you to leap into the next level of success in international business.
Robert McKee|What happens is fact, not truth. Truth is what we think about what happens.
Angela Thomas|Does it kill them? I don't want to be killing Americans whatsoever, Jeffrey.
Matshona Dhliwayo|A book is a garden, only its flowers are ideas.
Pat Robertson|We are reflections of one another, therefore I know that you are part of me and I am part of you because we are all projections of the universal principles of creation/destruction polarities of the same infinite consciousness that we call God.
Dejan Stojanovic|There is another alphabet, whispering from every leaf, singing from every river, shimmering from every sky.
Thomas Mann|when you help a child develop their talents, you are creating a better tomorrow.
Munia Khan|I’ve learnt to gather simplicity from grasshoppers. I like their naive indecisive minds never knowing exactly when to stop chirping, and I envy their ability to be able to mingle with the green…
Mahmoud Own|You are not responsible for anybody elses life or happiness, don't ever feel guilty for being happy! ‪
Cormac McCarthy, The Sunset Limited|I dont believe in God. Can you understand that? Look around you man. Cant you see? The clamour and din of those in torment has to be the sound most pleasing to his ear. And I loathe these discussions. The argument of the village atheist whose single passion is to revile endlessly that which he denies the existence of in the first place. Your fellowship is a fellowship of pain and nothing more. And if that pain were actually collective instead of simply reiterative then the sheer weight of it would drag the world from the walls of the universe and send it crashing and burning through whatever night it might yet be capable of engendering until it was not even ash. And justice? Brotherhood? Eternal life? Good god, man. Show me a religion that prepares one for death. For nothingness. There's a church I might enter. Yours prepares one only for more life. For dreams and illusions and lies. If you could banish the fear of death from men's hearts they wouldnt live a day. Who would want this nightmare if not for fear of the next? The shadow of the axe hangs over every joy. Every road ends in death. Or worse. Every friendship. Every love. Torment, betrayal, loss, suffering, pain, age, indignity, and hideous lingering illness. All with a single conclusion. For you and for every one and every thing that you have chosen to care for. There's the true brotherhood. The true fellowship. And everyone is a member for life. You tell me that my brother is my salvation? My salvation? Well then damn him. Damn him in every shape and form and guise. Do I see myself in him? Yes, I do. And what I see sickens me. Do you understand me? Can you understand me?
Jason Dolley|But as I was saying, from my experiences, I think men tend to be more timid in expressing their feelings for you. Regardless, I always prefer a friendship first and foremost.
