Kim Stanley Robinson, The Years of Rice and Salt|It is a long time ago. So many lives ago--I get them all confused, don’t you?
J. Grant Howard, Balancing Life's Demands: A New Perspective on Priorities|It is our responsibility to discover our talents, to accept them as from God, to develop them through education and training, and to use them for His glory.
Merlyn Gabriel Miller, Sex, Death, Drugs & Madness|Caring about the happiness of others, we find our own.
Deyth Banger|In which case, why not cancer of the brain? As a terrified, half-aware imbecile, I might even scream for a priest at the close of business, though I hereby state while I am still lucid that the entity thus humiliating itself would not in fact be “me.” (Bear this in mind, in case of any later rumors or fabrications.)
Havelock Ellis|I can say that I never knew what joy was like until I gave up pursuing happiness, or cared to live until I chose to die. For these two discoveries I am beholden to Jesus.
Alice Hoffman, The Foretelling|We are only an instant, that's true. But we are eternal.
Marina and the Diamonds|Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built against it.
Stephen Chbosky, The Perks of Being a Wallflower|A real book is not one that we read, but one that reads us. 
John Mark Green|Birthing is never easy or without pain, be it a universe, a child, or a fresh start in life. Contraction precedes expansion. Darkness comes before dawn. Joy follows pain. This is the way of things.
Avril Lavigne, Avril LaVigne - Let Go|Sunrise, sunset, changes right before my eyes, but your vision stays forever in my heart
Nicole Krauss, Great House|In life we sit at the table and refuse to eat, and in death we are eternally hungry.
RVM|If your Life is full of Sorrow, then beg, steal, or borrow ENTHUSIASM from a great soul to make your Life whole.
Marcella Purnama, What I Wish I Had Known|Grades are still important, buy they are not the most important things. As clichéd as it is, the things you learn outside class is more important than the textbooks you blindly memorize in time for exams.
Frank Graves|The Ancestral Trail was split into two-halves of 26 issues each. The first half takes place in the Ancestral World and describes Richard's struggle to restore good to the world. After the initial international run, which sold over 30 million copies worldwide, Marshall Cavendish omitted the second part of the trilogy and used the third part (future) for the second series that followed. This part of the series, written up by Ian Probert and published in 1994, takes place in the Cyber Dimension. It deals with Richard's attempts to return home. Each issue centered on an adventure against a particular adversary, and each issue ended on a cliffhanger.The Ancestral Trail was illustrated by Julek and Adam Heller. Computer-generated graphics were provided by Mehau Kulyk for issues #27 through #52.
John Green, The Fault in Our Stars|I've never been this naked with a girl before. I'm not self-conscious or anything, but its different. Not weird. I'm definitely all right with Hayles seeing this much of me. "Wowza."Okay, now I'm a little embarrassed. "Is that a good thing?"She puts her hands on my chest and her face goes from pink to red. (...) "Seriously? Brody, this is totally another reason why you're just super fabulous."Huh?"You don't even know how freaking hot you are. That's uber sexy." Her eyes go to my bare torso. "Count with me." One finger strokes part of my stomach. "One..." She moves an inch or two over. "Two..." She slides down. "Three..." Back over. "Four..." Down. "Five..." Over. "Six."She flicks her gaze back up to me. "That's what people call a six-pack."I roll my eyes, but she keeps moving her fingers up to my chest. I want to stop her, but I don't at the same time. It feels too good. "And these..." She flattens her hands on me, and I tug her closer. "Are called pecs. Its like you stepped out of a fantasy.
|If you are always worrying about a rainy day, then it's time to strategically start saving for one.
Bill Johnson|Over the past five years, I’ve said my best prayers every night, haven’t missed a night, though I gotta admit, if it wouldn’t break my mother’s heart, I’d probably have stopped a year ago. I mean, praying to be free of Hiskott only makes me expect to be free soon, and then when the prayer’s never answered, you feel even worse, and you wonder what’s the point. I’m not criticizing God, if that’s what you think, because nobody knows why God does things or how He thinks, and He’s humongously smarter than any of us, even smarter than Ed. They say He works in mysterious ways, which is for sure true. What I’m saying is, maybe the whole praying business is a human idea, maybe God never asked us to do it. Yeah, all right, He wants us to like Him, and He wants us to respect Him, so we’ll live right and do good. But God is good—right?—and to be really good you’ve got to have humility, we all know that, so then if God is the best of the best, then He’s also the humblest of the humble. Right? So maybe it embarrasses Him to be praised like around the clock, to be called great and mighty all the time. And maybe it makes Him a little bit nuts the way we’re always asking Him to solve our problems instead of even trying to solve them ourselves, which He made us so we could do. Anyway, so after almost giving up on prayer, and being pretty darned sure that God is too humble to sit around all day listening to us praise Him and beg Him, the funny thing is, I’m praying like crazy for Oddie. I guess I’m hopeless.
1 Minuto na Palma da Mão|Christmas is conceptualized with solidarity. That's nice! But let us at least be aware that it does not solve the problem. However, doing your part, it's a start. It does not have to be material help, start with a sincere and cozy hug in your loved ones.A gesture, worth more than thousand words!
Elizabeth Goudge, The Rosemary Tree|I mean, you may cause others a spot of bother by your weaknesses, perhaps, but coping with you may possibly increase their strength and sympathy. But if you sin deliberately, even if it seems only against yourself--well--you won't be the only one to suffer. You may even be the one who suffers least.
Lao Tzu|perception shapes priorities, priorities shape people
Raymond D. Longoria Jr.|I feel that 'Thank you' is about the best prayer that anyone could say. A sincere prayer of Thanks expresses extreme gratitude, humility, understanding.
Ryk Brown, Rise of the Corinari|We fear God by honoring, reverencing, and cherishing Him. His greatness and majesty reduce us to an overpowering sense of awe that is not focused only on His wrath and judgment but also on His transcendent glory , which is like nothing else we can confront in this world. It leaves us all but speechless.
Cressida Cowell, How to Fight a Dragon’s Fury|You gotta stand up and walk, Gem,” he said quietly, turning his back on them. “You have to walk out of here. Not just for them, but for yourself. Come on. You have to walk out of here on your own two feet.” So I did.
Imania Margria|Even if I don't have wings to fly, I'll close my eyes and open my heart; then I'll make love my wings and hope the winds that give me flight.
Jane Austen, Pride and Prejudice|You judge very properly, and it is happy for you that you possess the talent of flattering with delicacy. May I ask whether these pleasing attentions proceed from the impulse of the moment, or are the result of previous study?
Bijou Hunter, Bourbon Blues|But what really won me over was his butt. What finally made it impossible for me not to like the man was how right out there on the Adventist basepaths, right in front of eighty or ninety of the kind of pious adult spectators who spent their every Sabbath if not their entire lives trying to forget the existence of things like butts, Beal's buns were trying to light a fire by friction inside his jeans; they were gyrating like a washing machine with its load off balance; they were thrashing against his pants like two big halibut against the bottom of a boat. And the wonderful thing, the amazing thing, was how once his older audience got over the shock of it, they began to look amused at, then fascinated by, and finally downright grateful toward his writhing reminder that yes, buns did exist, and yes, every one of us owned not one but two of the things, and yes, like the God who created them in His Image, they did indeed move in mysterious ways.
Charity Shumway, Ten Girls to Watch|I am what you made me, Father.
Gina Wings, Secrets of a Perfect Hair Color: Adventures of an Urban Woman|Right after Matt died, I was afraid to do basically everything. I couldn’t even bite my nails or sniff my shirt to see if I needed deodorant without feeling like he was watching me. I willed and prayed and begged him to give me a sign that he was watching, that he was with me, so I would know. But he never did. Time moved on. And I stopped being afraid. Until right now, vulnerable and insecure and a little bit drunk. Lying in the sand and falling in crazy love with someone I just met. Matt is watching me. Observing. Possibly judging. And the worst part of it is, I don’t want to wake up under his landslide of sad rocks anymore. I don’t want to taste the marzipan frosting and the clove cigarettes. I don’t want to think about the blue glass necklace or the books he read to me on his bed or the piles of college stuff or some random boy in the grocery store wearing his donated clothes. I don’t want to be the dead boy’s best-friend-turned-something-else. Or the really supportive neighbor friend. Or the lifelong keeper of broken-hearted secrets.
Claire Messud|She resembled the swallow in the fable who once every thousand years transferred a grain of wheat, in the hope of rearing a mountain to reach the moon. Such persons are raised up in every age; they obstinately insist on transporting their grains of wheat and they derive a certain exhilaration from the sneers of the bystanders. “How queerly they dress!” we cry. “How queerly they dress!
Darrell Calkins|On those who try to make me their guru or master, my approach is to start destroying that from the first moment we meet. It probably seems naive and idealistic, but I rely on basic, old-fashioned qualities in keeping my interactions clean: integrity, chivalry, honesty. In my experience, it’s not that difficult to eliminate the guru paradigm and stereotype, if one really wants to. Finally, it comes down to simply not accepting a role or the associated temptations offered.
Walt Whitman, Leaves of Grass: The Death-Bed Edition|You know, sometimes the world seems like a pretty mean place.' 'That's why animals are so soft and huggy.
Ella Maillart|Every journey that is successful has culs-de-sac and speed bumps. I carry a wisdom gene through my life through the good, the bad, and the ugly.
Garry Shandling|I don't hate humanity and I'm not interested in people who do. Although, it's funny, actually, some of my favorite writers really do. Like Martin Amis. My dirty secret. 'London Fields' is one of my favorite books ever. And it's indefensible! But he's so funny... I forgive him everything.
Hermann Hesse, Steppenwolf|When you listen to radio you are a witness of the everlasting war between idea and appearance, between time and eternity, between the human and the divine. Exactly, my dear sir, as the radio for ten minutes together projects the most lovely music ithout regard into the most impossible places, into respectable drawing rooms and attics and into the midst of chattering, guzzling, yawning and sleeping listeners, and exactly as it strips this music of its sensuous beauty, spoils and scratches and beslims it and yet cannot altogether destroy its spirit, just so does life, the so-called reality, deal with the sublime picture-play of the world and make a hurley-burley of it.
Tom Walsh|When there is abundance of fish, we need help to pull the nets.
Jon Morrison, Life Hacks: Nine Ideas That Will Change How You Do Everything|Here is an equation worth remembering: Five dollars earned minus seven dollars spent = Unhappy Life." (Life Hacks, p.51)
Haritha Velpureddy|You think i do not know how to live, but i think you are not even living, you just exist.
Amanda Ripley, The Unthinkable: Who Survives When Disaster Strikes - and Why|I was still too much of a fledgling with people to understand that, in the long run, nobody is a picnic and that I was no picnic myself.
Connie Kerbs|Overcoming fear is often much about understanding, accepting and embracing the power of self-healing, self-recovery, and self-discovery. At the same time it is often as much about the beauty of exploring more selflessness, and experiencing some of the true joys of "losing one's self," in others, and into good things that are more about others than one's own self.
Amit Kalantri|If you adjust first time, compromise second time, failure is what you will get third time.
John Taliaferro, All the Great Prizes : The Life of John Hay, from Lincoln to Roosevelt|. . . nobody in particular is to blame, that I can see, for the state in which things are . . .
Ralph Waldo Emerson, Nature and Selected Essays|I am the lover of uncontained and immortal beauty. In the wilderness, I find something more dear and connate than in streets or villages. In the tranquil landscape, and especially in the distant line of the horizon, man beholds somewhat as beautiful as his own nature.
C.S. Lewis, The Horse and His Boy|Praise is the most efficient tool to win many battles at once. It is through praise that the walls of Jericho collapsed, the same way Paul and Silas praised their way out of jail.
Rhyan Roads|This was crazy. He ate humans for breakfast. Not tomention he was older than Father Time. So why was Ifalling for him, falling for him when I couldn’t help butpush everyone else away? It frightened me to feel thisway, yet I couldn’t stop this and didn’t want to.
William Shakespeare|Small herbs have grace, great weeds to grow apace.
Sunday Adelaja|The world will lose something if you do not find yourself, if you do not answer the question “Who am I
Kamand Kojouri|Kamand, die every dayso you rememberto live.
Dave Wolverton, The Courtship of Princess Leia|I warn you, the trip will not be easy. Once you choose to walk in the light, your path will lead you places you do not want to go.
Amy Harmon, Prom Night in Purgatory|Life had taught her that consequences were ugly and painful, and seldom worth the pleasure they had been bartered for.
Avis J. Williams|We are all teachers, we all have knowledge and experiences that can teach others.
Tanya Fischer|I watch Letterman. Once in a while, on the odd night, I'll catch the Food Network and watch 'Ace of Cakes,' which I'm kind of obsessed with.
Ernst Haeckel|Brendan knew about the truth. In most cases, it was just a matter of deciding whether you wanted to look it in the face or live with the comfort of ignorance and lies. And ignorance and lies were often underrated. Most people Brendan knew couldn't make it through the day without a saucerful of ignorance and a side of lies.
Stephen Colbert|As Americans, we're not sure we share values. We're sometimes even afraid to use the word 'values.' We talk about teaching ethics in schools - people say, 'What ethics? Whose ethics? Maybe we can't.' And they confuse that with teaching of religion.
Rasheed Ogunlaru|To truly motivate others 1) discover what their motives, desires & drivers are 2) genuinely connect with and support them from the heart.
David Mitchell, Cloud Atlas|But, Henry, this is wicked!' But, Adam, the world is wicked. Maoris prey on Moriori, Whites prey on darker-hued cousins, fleas prey on mice, cats prey on rats, Christians on infidels, first mates on cabin boys, Death on the Living. 'The weak are meat, the strong do eat.
Karen Swallow Prior, Booked: Literature in the Soul of Me|Besides, we were fifteen, and we couldn't get our feelings to match up with our brains. So we went with our feelings.
Dew Platt, Failure&solitude|Worth as I use it here is immeasurable, not as in mathematics towards infinity. But that it can not be measured. There are no measurable parameters for it! Certainly not a material-communal measurable parameter for it! Such, it is what the being holds that cannot and should never be traded. When it is there, every essence of your being knows it, and takes commands from it that will be able to override any personal or imposed sense of value.
Ramana Pemmaraju|People think they know what you're feeling. What you must be feeling. And because it's easier not to expose yourself, what you're truly feeling, you don't disabuse them. You go through the motions for them.
Efrat Cybulkiewicz|I am an art work in constant progress; I am my own canvas, my own colors, my own brushes and my own inspiration.
Mercy Cortez, Jagged Edge|My soul longs for God, but a man is not just his soul, is he? Terrible to say, my clay lusts after the clay of nubile girl. To soothe my guilt, and please forgive my indelicacy, I have convinced myself that I seek to find God again in their arms and their unmentionable places.
Truman Capote, In Cold Blood|Tell me a truth, Senna.""I don't know how," I breath."Then tell me a lie.""I don't love you," I say. I sink beneath the weight of it all.Isaac stirs behind me, and then he is leaning over me, his elbows on either side of my head."The truth is for the mind," he says. "Lies are for the heart. So let's just keep lying.
Rose A. Zimbardo|He was a humorist, and everyone knew the funny writers were the most serious sort under their skins.
Mike Bond, The Last Savanna|...the terrible though occurred to her that perhaps she'd always unconsciously believed that because Sam didn't cry, he therefore didn't feel, or he felt less, not as profoundly or deeply as she did. Her focus had always been on how his actions affected her feelings, as if his role was to do things for her, to her, and all that mattered was her emotional response to him, as if a "man" were a product or service, and she'd finally chosen the right brand to get the right response. Was it possible she'd never seen or truly loved him the way he deserved to be loved? As a person? An ordinary, flawed, feeling person?
Gisele Bundchen|Age focuses you. You are much better concentrated. There's more time when you travel less, don't do book tours, avoid interviews or public appearances. You walk the dogs, fish, hunt, cook and write.
Vivian Amis, The Essentials of Life|Where there is light, darkness must cease.
Randi Weingarten|I can't imagine my life without books. My father was an electrical engineer, and my mother was a public school teacher. Books were an integral part of my childhood.
Auberon Waugh|The skill of the politician consists in guessing what people can be brought to think advantageous to themselves; the skill of the experts consists in calculating what really is advantageous, provided people can be brought to think so. (The proviso is essential, because measures which arouse serious resentment are seldom advantageous, whatever merits they may have otherwise.) The power of the politician, in a democracy, depends upon his adopting the opinions which seem right to the average man. It is useless to urge that politicians ought to be high-minded enough to advocate what enlightened opinion considers good, because if they do they are swept aside for others.
Robin McKinley, Chalice|Not all honey— she had concluded— had a specific use beyond what all honey is good for, sweetness and salves. But this honey, it was somehow so strong that it must be for something, though she had still not learnt what it was. The best she had come to was that this honey was for joy...
Caroline Wozniacki|One day my dad would say, 'OK, if you want to play tennis I can help you out.' And that's how it started. And I had a goal. I wanted to beat my mom first. And my parents and my brother. And that was the ultimate goal.
Johnson Rizzo National Geographic Feb. 2013|If we keep pulling death from the ground, we will reap death from the skies.
Maurice Strong|By adopting the control strategy, the nation's environmental program has created a built-in antagonism between environmental quality and economic growth.
Alija Izetbegović, Notes from Prison|500. There are paradoxes. If there were no night, we would be deprived of themagnificent image of a starry sky. Thus light deprives us of "vision," anddarkness helps us "see.
Jean Rhys, Voyage in the Dark|Was I heartbroken or furious? I didn’t know. I did know: that’s it. Our relationship could not continue like this, out of balance, unequal.And as surely as I knew this, I knew something else: But of course it can. We can continue to live exactly as we do right now, in a heavy-lidded state of love and unspeakable compromise. Isn’t that what people do? Every day? Don’t they ache but rename it tired?It made me wonder: Was it even fair to expect the person you’re with to be just as happy as you? Furthermore, how could you ever even know for sure? You couldn’t, was the truth of it. You could not know this.
Jean-Paul Sartre|The one permanent emotion of the inferior man is fear - fear of the unknown, the complex, the inexplicable. What he wants above everything else is safety.
Michael Symon|I was a teacher for a long time. I taught at a community college: voice, theory, humanities. And nowadays, music education is a dying thing. Funding is being cut more and more and more.
Muhammad Yunus, Banker to the Poor: Micro-Lending and the Battle Against World Poverty|Even today we don't pay serious attention to the issue of poverty, because the powerful remain relatively untouched by it. Most people distance themselves from the issue by saying that if the poor worked harder, they wouldn't be poor.
Steven Redhead|You can't change the past, only your perception of it; but you can control the future.
Anonymous|Those who grant sympathy to guilt, grant none to innocence.
Dee Henderson, Danger in the Shadows|She wasn't a cowardIf she were she would have retreated back into her shell years before and pulled back entirely from life. She was a fighter. Life knocked her down, and she coped by getting up and moving on.
Bess Streeter Aldrich, Lantern in Her Hand|The prisoner's recurrent, sporadic dreams of escape were simply that - spurious vagaries dismissed almost as quickly as they blossomed in Schkirt's feverish mind.
Deborah Brooks|I have had my say, as he wished. Now the book belongs, as he points out, to the world he claims to speak for.
Steven Spielberg|My dad took me to my first movie. It was 'The Greatest Show on Earth' in 1952, a movie of such scale it was actually a traumatic experience.
G.K. Dutta|My death was written in that day when I was born, That is why I don’t fear about to die. I just fear that when I die who will cry?
Jose Andres|My father has been an actor since 1964. Things were tight a lot of the times, financially. It wasn't like a big romantic adventure.
Naomi Ragen, Jephte's Daughter|I can't get myself to say what happened next. I cannot cope with even thinking about this let alone living with it.""It is so degrading and I try to forget, it hurts so much because she is my mother."- Graham talks about being sexually abused by his mother
Cornelius Van Til, Essays on Christian Education|How shortsighted and how uncultured, then, are the efforts of believers in Christ when they seek for snatches of worldly culture for themselves by placing themselves, as they think, on common ground with those who are not believers in Christ. How dishonoring to their Christ if they allow that any culture endures unless it be because of the power of his resurrection in the world. If you have been taken out of the miry clay, do you jump back into it because of some glistening objects that you see in it? Do you run back into the house now almost burned to the ground in order to save your silverware? It is only those who are believers in Christ that will inherit the earth and all the fulness thereof.
Connor Franta|If you're trying to cut down the distance travelled from the farm to your plate, it makes sense to do the same for your pet. If we all shifted our bias towards sustainable pet food, we would be helping more than just our faithful friends.
Dada Bhagwan|If you say, ‘Now I look like an old man’, you will start to look like an old man. If you say, ‘No, I look like a young man now’, you will start to look like a young man. What you project is what you will see. Soul is the form of projection and if false projections are done, the worldly life is created! If you come to a state free of false belief (wrong projection), You will be in the state of the ‘Real form of the Self’ (mood swaroop).
Amy Poehler, Yes Please|When your children arrive, the best you can hope for is that they break open everything about you. Your mind floods with oxygen. Your heart becomes a room with wide-open windows. You laugh hard every day. You think about the future and read about global warming. You realize how nice it feels to care about someone else more than yourself. And gradually, through this heart-heavy openness and these fresh eyes, you start to see the world a little more. Maybe you start to care a teeny tiny bit more about what happens to everyone in it.
Emily Dickinson, The Complete Poems of Emily Dickinson|The worm doth woo the mortal, death claims a living bride, Night unto day is married, morn unto eventide, Earth a merry damsel, and heaven a knight so true,And Earth is quite coquettish, and beseemeth in vain to sue.
Charlotte Brontë, Jane Eyre|No reflection was to be allowed now, not one glance was to be cast back; not even one forward. Not one thought was to be given either to the past or the future. The first was a page so heavenly sweet, so deadly sad, that to read one line of it would dissolve my courage and break down my energy. The last was an awful blank, something like then world when the deluge was gone by.
Whitney Otto, Eight Girls Taking Pictures|It’s the difference between your wife’s passport photograph and the portraits you took when you gotengaged. Both may have been created with similar technology, but what stands in that great gulf between them are the passion you have for your wife, the knowledge you have of her personality, and your willingness to use your craft, time, and energy to express that. One says, “She looks like this.” The other says, “This is who she is to me. It’s how I feel about her. See how amazing she is?
Agnes De Mille|Great dancers are not great because of their technique, they are great because of their passion. 
Dejan Stojanovic, The Sun Watches the Sun|Truth is hard-hearted and unrelenting, too clear, precise; a lie is much more imaginative.
Unknown 9|Truth exists for the wise, beauty for the feeling heart.
Leona Lewis, Leona Lewis: Spirit|Oh, there ain't no love, no Montagues or CapuletsJust banging tunes and DJ setsAnd dirty dancefloors and dreams of naughtinessI Bet that You Look Good on the Dancefloor
Alan Dapre|A critic must be knowledgeable in several fields, practices, and mediums. Brushing off art that they personally don't understand, is not a critique.
Mehmet Murat ildan|Instead of hiding behind the curtain, be the curtain itself; you will never be found!
Tamara Stamenkovic|When I touch you, it makes me trembling.I feel like I've lost myself, existentially.Your lips on mine makes me feel likeI'm flying across the universe, without aimlessly.
Barbara Sleigh|-a superb moon, round as a pumpkin and golden as honey, filling the rooftop world with light, and deep, mysterious shadow.
Louise Hawes, The Language of Stars|BearingsYou are my dear compass,who knows no way but true,so when I'm lost and drifting,I find myself in you.Yet when I ask you, fearful,if I should set you free,imagine my surprise to hearyou take your north from me.
Colin Wilson, Ritual in the Dark|Man knows himself as body, and what he knows of spirit comes through grace. The poet would call it inspiration. But the spirit bloweth where it listeth. Man has no control over his inspiration. If a piece of music or a poem has moved him once, he can never be certain that it will happen again. But man hates to think that he has no control over the spirit. It would discourage him too much. He likes to believe that he can summon the spirit by some ordinary act. Instead of striving to prepare himself for it through discipline and prayer, he tries to summon it arbitrarily through some physical act—drinking Düsseldorf beer, for instance. . . Stein said, chuckling:Which is the way all good Düsseldorfers summon the spirit, since our Dunkelbier is the best in Germany. The priest laughed with him, and for a moment Sorme had a curious impression that he was listening to an argument between two undergraduates instead of two men in their late sixties. He shrank deeper into his armchair, wanting them to forget his presence. The priest stopped laughing first, and Sorme had a glimpse of the tiredness that always lay behind his eyes. Stein also became grave again. He said: Very well. But what has this to do with the murderer? It has to do with sex. For sex is the favourite human device for summoning the spirit. And since it is also God's gift of procreation, it nearly always works. . . unlike music and poetry. Or beer, Stein said. Quite. But even sex is not infallible. And man hates to think that he has no power over the spirit. The more his physical methods fail him, the more voraciously he pursues them. His attempts to summon the spirit become more and more frenzied. If he is a drinker, he drinks more, until he has more alcohol than blood in his veins. If he is a sensualist, he invents sexual perversions. Ah, Stein said. There are many other ways, of course—the lust for money and power, for instance. All depend upon man's refusal to face the fact that the spirit bloweth where it listeth, that no physical act can be guaranteed to summon it. . .
Lavie Tidhar, The Old Dispensation|The first drops of rain started to fall.'God's policemen,' said Jester. 'You what?' 'The police always used to pray for rain before any big demonstration because people wouldn't turn up. Nobody wants to run riot in the streets if it's pouring with rain. Who's going to want to fight in this?
Catie Marron, City Squares: Eighteen Writers on the Spirit and Significance of Squares Around the World|This deeply free and public space plays a vital role in our world, equally important in our digital age as in Greco-Roman times, when they were marketplaces for goods and ideas. As common ground, squares are equitable and democratic; they have played a fundamental role in the development of free speech.
Caroline A. Shearer, Where Is the Gift? Discovering the Blessing in Every Situation|When we talk about our problems, we create more of them. When we talk about solutions and positive responses, we create more solutions and positive responses.
Pauline Seaport|Your heart should not be used as a compass for out of it can come deceit, evil thoughts, and actions.
Samuel Beckett, Waiting for Godot|Even fairy tales have limits," said Sophie. "Three people can't have an Ever After. Not without me being alone.
Scott Sigler, Alive|I've never been this dirty. I've never been this sweaty and disgusting. I've never been this afraid, this thirsty, this alone". "I haven't been a good leader, but--people are counting on me to take them to safety. I don't know if I'm twelve or twenty or if I'm twenty and I don't think age matters anymore-------There is a way out. I will find a way out.
Jennifer Niven, Holding Up the Universe|You know, that's what you've been doing in a way--coming out. Coming out of your room. Coming out of your house. Coming out of your shell.
Emil Dorian, Quality of Witness: A Romanian Diary, 1937-1944|I stopped in front of a florist's window. Behind me, the screeching and throbbing boulevard vanished. Gone, too, were the voices of newspaper vendors selling their daily poisoned flowers. Facing me, behind the glass curtain, a fairyland. Shining, plump carnations, with the pink voluptuousness of women about to reach maturity, poised for the first step of a sprightly dance; shamelessly lascivious gladioli; virginal branches of white lilac; roses lost in pure meditation, undecided between the metaphysical white and the unreal yellow of a sky after the rain.
J.K. Rowling|I wait all year for the colder seasons, just so that when I wear my Hogwarts scarf it's functional as well as fashionable.
Cacilda Jethá, Sex at Dawn: The Prehistoric Origins of Modern Sexuality|He's got a can up there,' Richard said.
Steve Hagen, Buddhism Plain and Simple|The researchers summarized: "A human mind is a wandering mind, and a wandering mind is an unhappy mind. The ability to think about what is not happening is a cognitive achievement that comes at an emotional cost.". Long ago, Buddhists reached much the same conclusion.
Sunny Mabrey|My dad could be beyond brilliant but totally introverted. If we're talking about computers, he's on. Otherwise, he's a total recluse - he stays in the house and won't leave, and I'm like that. If I'm not working, I'm locked up in my room.
Louisa May Alcott, Rose in Bloom|Keep good company, read good books, love good things and cultivate soul and body as faithfully as you can
Carla H. Krueger|Be brave. Take the hill. But first answer the question, "What is my hill?
Chang Ha-Joon|We often blame our government for their lack of responsibility, socially and politically. We forget that that is only a result of the societal irresponsibility in general.
Christopher Poindexter|And in the end, we were all just humans.. drunk on the idea that love, only love, could heal our brokenness.
Adyashanti|If you prefer smoke over firethen get up now and leave.For I do not intend to perfumeyour mind's clothingwith more sooty knowledge.No, I have something else in mind.Today I hold a flame in my left handand a sword in my right.There will be no damage control today.For God is in a moodto plunder your riches andfling you nakedlyinto such breathtaking povertythat all that will be left of youwill be a tendency to shine.So don't just sit around this flamechoking on your mind.For this is no campfire songto mindlessly mantra yourself to sleep with.Jump now into the spacebetween thoughtsand exit this dreambefore I burn the damn place down.
Brett Scott, The Heretic's Guide to Global Finance: A Guide to Creative Financial Activism|I see dead Presidents. Lincoln, Jefferson, Franklin, and Washington.
Elizabeth Gilbert|Life, if you keep chasing it so hard, will drive you to death. Time - when pursued like a bandit - will behave like one, always remaining one county or one room ahead of you, changing its name and hair color to elude you, slipping out the back door of the motel just as you're banging through the lobby with your newest search warrant, leaving only a burning cigarette in the ashtray to taunt you. At some point you have to stop because it won't. You have to admit that you can't catch it. That you're not supposed to catch it. At some point, you gotta let go and sit still and allow contentment to come to you.
Elizabeth Bowen, The Death of the Heart|She posed as being more indolent than she felt, for fear of finding herself less able than she could wish.
Debasish Mridha|To be happy, you have to love and forgive.
Jacci Mendelsohn|Be yourself, because you are the perfect YOU!
Ilchi Lee, Change: Realizing Your Greatest Potential|Perhaps we have been dependent too long on language and thought, and need to reawaken our inherent sense of the subtle vibration of Energy-Consciousness. All you have to do is unblock the blocked parts and awaken the sleeping parts of your being to access it.
Peter Mutanda|Never argue with a fool, people might not notice the difference
A.L. Davroe, Nexis|I want him to be with me because he likes being with me, not because he's forced to be with me or because he wants something from me. That's not how friendship should be." [Ellani]
Janet Malcolm, The Journalist and the Murderer|The concept of the psychopath is, in fact, an admission of failure to solve the mystery of evil—it is merely a restatement of the mystery—and only offers an escape valve for the frustration felt by psychiatrists, social workers, and police officers, who daily encounter its force.
Machel Shull|A single prayer can alter your destiny if you have enough faith to believe. If this can be true, pray daily prayers for that someone, too.
Gillian Flynn, Gone Girl|Dating is probably the most fraught human interaction there is. You're sizing people up to see if they're worth your time and attention, and they're doing the same to you. It's meritocracy applied to personal life, but there's no accountability. We submit ourselves to these intimate inspections and simultaneously inflict them on others and try to keep our psyches intact - to keep from becoming cold and callous - and we hope that at the end of it we wind up happier than our grandparents, who didn't spend this vast period of their lives, these prime years, so thoroughly alone, coldly and explicitly anatomized again and again.
Israelmore Ayivor, The Great Hand Book of Quotes|The main factor that makes leadership potentials to become abused often is ignorance. Many people can merely spell their names in alphabets, but cannot pronounce their brands!
Angela Diloy|Let it hurt. Pick those flowers on your lungs and let it wither. Let your heart stop beating for someone who doesn’t deserves it. Let yourself be burn to your worst degree. Fall right down on your knees and scream the damn pain inside you. You’ve let the love to do its work, let it hurt. That’s part of its work.Let it bleed. Let the tears roll down your face. For once, allow yourself to be an artist. Let your mouth bleed with the unspoken feelings you’ve been wanting to say and be the author of your own story. Let the abstract in you be seen by the people who are doubting you. Do not cut your wrist, blood and scar might ruin your skin. I know, your heart was cut by the words they’ve stabbed on you, let it bleed with poetry and speak for yourself.Let it heal. For how many times people could’ve told you that time heals. Let me now tell you that it’s you, and you only, who could heal yourself. You could pick your broken pieces and build a better and stronger you. Let it heal, not for anyone. Let it heal for yourself. Even for once, let it be for yourself.And let it go. Snap out of the darkness you’re in right now. Let go of the pain that’s stopping you from moving forward. Let the toxic people go, you could’ve been better without them. Stop holding on to the anchor. Stop drowning yourself from sadness. You could always be happy. Just learn to let go of the things that keep you away from that possibility, just let go.
Abhijit Naskar, I Am The Thread: My Mission|Salvation of human life requires disclosure of truth through reason, surpassing bigotry.
Mehmet Murat ildan|If you have a very strong will to travel, the road will suddenly appear before you!
Mike Pence|Because tax cuts create an incentive to increase output, employment, and production, they also help balance the budget by reducing means-tested government expenditures. A faster-growing economy means lower unemployment and higher incomes, resulting in reduced unemployment benefits and other social welfare programs.
Gary   Hopkins|you can find better than me, worst than me. But you'll never find someone exactly like me.
Mora Early, Twisted Arrangement|Got a pair just like those. Never seen 'em lookin' like that though." "Like what?" Sauntering away from her, I smirked. "Sexy as fuck.
