Kemi Sogunle|You cannot be a light to others or yourself, if you have dark intentions in your heart.
Bernhard Schlink|My prolonged study of these photographs led me to appreciate the importance of perserving certain moments for prosperity , and as time moved forwards I also came to see what a powerful influence these framed scenes exerted over us as we went about our daily lives.To watch my uncle pose my brother a maths problem , and at the same time to see him in a picture taken thirty-two years earlier ; to watch my father scanning the newspaper and trying , with a half-smile , to catch the tail of a joke rippling across the crowded room,and at that very same moment to see a picture of him to me that my grandmother had framed and frozen these memories so that we could weave them into the present.When,in the tones ordinarily preserved for discussing the founding of a nation , my grandmother spoke of my grandfather who had died so young,and pointed at the frames on the tables and the walls , it seemed that she , likes me , was pulled in two directions , wanting to get on with life but also longing to capture the moment of perfection , savouring the ordinary life but still honouring the ideal.But even as I pondered these dilemmas-if you plucked a special moment from life and framed it , were you defying death , decay and the passage of time. or were you submitting to them ?-I grew very bored with them.pg.13
Stephanie Oakes, The Sacred Lies of Minnow Bly|Hayt felt suddenly that he existed in a dream controlled by some other mind, and that he might momentarily forget this to become lost in the convolutions of that mind.
J.H. Trumble, Where You Are|I think she's afraid to even hug me now. It's my fault, but I miss it, Andrew. I miss it so much it aches sometimes, you 
Santosh Kalwar|You went from my life right into my dreams,i can hardly tell,If i'm cursed or blessed ;I am sure things aren't always as they seem,but i drift away,mesmerized, possessed.Memories i have uncertain and fragile,Is what i have left and i have no peace,At dawn fades away,all that i imagine,i crave for your closeness,i need more then this.Perhaps you are meant to guide and inspire,to be ever timeless in the veil of mist,flowing through my being in flaming desire,the one i can't reach and cannot resist.My darling,unique,outstanding perfection,so utterly complex you can't be recreated,I may be unworthy of your smallest fraction,But you've never loved,nor anticipated.Every great passion is a work of fiction,when we long for something that we cannot find,Single thought of you is like an addiction,yet,you're not exalted,except in my mind.
William Blake|I give you the end of a golden string,Only wind it into a ball,It will lead you in at Heaven's gateBuilt in Jerusalem's wall.
Natsuo Kirino, Real World|Friends are a weird thing. It seems like they know all about you, but then they don’t understand you at all.
Michio Kaku|If I wasn't an actress, I'd be a designer. I love interior design and inventing things that are practical but also beautiful - looking at a space and creating magic.
Pia Carlotta Schwade|when river reaches for my hand, he actually grabs me by my heart. it’s always been like this.
Forrest Curran, Purple Buddha Project: Purple Book of Self-Love|The universe and the law of attraction speak a language that knows no words, only discerning your intent through sacrifice and what you are willing to give up.
L.M. Montgomery, Kilmeny of the Orchard|This is eternity, Antanasia," he said, both warning and imploring. "Eternity.
N.R. Walker, Sense of Place|As a general rule, I preferred not to have my soul reaped.
Miguel Ruiz, The Four Agreements: A Practical Guide to Personal Freedom|In any kind of relationship we can make the assumption that others know what we think, and we don’t have to say what we want. They are going to do what we want because they know us so well. If they don’t do what we want, what we assume they should do, we feel hurt and think, “How could you do that? You should know.” Again, we make the assumption that the other person knows what we want. A whole drama is created because we make this assumption and then put more assumptions ontop of it.
Vironika Tugaleva|When your own approval means more than the approval of others, that is self-love.
Kurt Vonnegut Jr., Breakfast of Champions|He dabbed at his tuxedo with a damp rag, and the fungi came away easily. "Hate to do this, Bill," he said of the fungi he was murdering. "Fungi have as much right to life as I do. they know what they want, Bill. Damned if I do anymore."Then he thought about what Bill himself might want. It was easy to guess. "Bill," he said, "I like you so much, and I am such a big shot in the Universe, that I will make your three biggest wishes come true." He opened the door of the cage, something Bill couldn't have done in a thousand years.Bill flew over to the windowsill. He put his little shoulder against the glass. there was just one layer of glass between Bill and the great out-of-doors. Although Trough was in the storm window business, he had no storm windows on his own abode."Your second wish is about to come true," said Trout, and he again did something which Bill could never have done. he opened the window. But the opening of the window was such an alarming business to the parakeet that he flew back to his cage and hopped inside.Trout closed the door of the cage and latched it. "That's the most intelligent use of three wishes I ever heard of," he told the bird. "You made sure you'd still have something worth wishing for--to get out of the cage.
Jeremy Wade, River Monsters: True Stories of the Ones that Didn't Get Away|...I'm momentarily transfixed, torn between curiosity and fear. I can pull it up the gently sloping mud bank, but then what? Already thought is lagging behind events, as the blotchy brown mass slides up wet mud toward me, its amorphous margins flowing into the craters left by retreating feet. In the center of the yard-wide disc is a raised turret where two eyes open and close, flashing black. And it's bellowing. A loud rhythmic sound that is at first inexplicable until I realize that those blinking eyes are its spiracles, now sucking in air instead of water, which it is pumping out via gill slits on its underside. And all the while it brandishes that blade, stabbing the air like a scorpion...
Charles Stanley|If there is no God, everything is permitted.
Lorii Myers, No Excuses, The Fit Mind-Fit Body Strategy Book|When you stand at the bottom of the mountain and look up at the mountaintop, the path looks hard and stony, and the top is obscured by clouds. But when you reach the top and you look down, you realize that there are a thousand paths that could have brought you to that place.
Kim Stanley Robinson|When we, through our educational culture, through the media, through the entertainment culture, give our children the impression that human beings cannot control their passions, we are telling them, in effect, that human beings cannot be trusted with freedom.
James Joyce, Ulysses|We all got to die," she said. "But dying as your true self is always better. God'll take you however you come to Him. But it's easier on a soul to come to Him clean. You're forever free that way. From top to bottom.
Don J. Snyder, The Cliff Walk: A Memoir of a Job Lost and a Life Found|The cost of freedom is always high, but Americans have always paid it. And one path we shall never choose, and that is the path of surrender, or submission.
Diane Ackerman, A Natural History of the Senses|Symbolic of life, hair bolts from our head[s]. Like the earth, it can be harvested, but it will rise again. We can change its color and texture when the mood strikes us, but in time it will return to its original form, just as Nature will in time turn our precisely laid-out cities into a weed-way.
Pete Cashmore|After you're older, two things are possibly more important than any others: health and money.
Michelle Obama|If I didn't define myself for myself, I would be crunched into other people's fantasies for me and eaten alive.
Veronica Roth, Divergent|Without doubt, it is the greatest act of courage that is often the most fearful.
Nancy Gibbs|I believe indeterminate sentencing can be extremely useful, but I also believe that any such system should always take into consideration the special knowledge as to the facts in a case which only the trial judge possesses.
Marshall McLuhan|I think the biggest disease the world suffers from in this day and age is the disease of people feeling unloved. I know that I can give love for a minute, for half an hour, for a day, for a month, but I can give. I am very happy to do that, I want to do that.
|Do your best to find pleasure in working out on a regular basis. You deserve to look good, and you solely owe it to yourself.
Alain de Botton, The Architecture of Happiness|In literature, too, we admire prose in which a small and astutely arranged set of words has been constructed to carry a large consignment of ideas. 'We all have strength enough to bear the misfortunes of others,' writes La Rochefoucauld in an aphorism which transports us with an energy and exactitude comparable to that of Maillard bridge. The Swiss engineer reduces the number of supports just as the French writer compacts into a single line what lesser minds might have taken pages to express. We delight in complexity to which genius has lent an appearance of simplicity. (p 207)
V.E. Schwab, Vicious|Well, when you wonder something," said Eli, "doesn't that mean part of you wants to believe in it? I think we want to prove things, in life, more then we want to disprove them. We want to believe.
Kate Brady, One Scream Away|Probably nothing, but it was one of those thoughts like toothpaste: Once it’s out, you can’t squeeze it back in.
Ann Rule, The Stranger Beside Me: Ted Bundy The Shocking Inside Story|The LORD is my shepherd, I shall not be in want. He makes me lie down in green pastures, he leads me beside quiet waters, he restores my soul. He guides me in paths of righteousness for his name’s sake. Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever.
Deyth Banger|Person of Interest is an example of series which have a lot of reverses... what if somebody knows a lot of about you?? And you don't him??You are not famous and he doesn't exist as a person?? WOW, isn't it awesome??
Hiromu Arakawa, Fullmetal Alchemist, Vol. 1|To calculate sacrifice is to attempt to sacrifice safely, and safe sacrifice is one of the most outrageous oxymoron’s I can think of.
Mary Oliver|Written poetry is worth reading once, and then should be destroyed. Let the dead poets make way for others.
Laure Eve, The Graces|That night I think we were trying to fight against death, against boredom and banality, against everything that made us cry and stare at our futures full in the face with dread. We drank and played games to be in the now, to be in each moment as hard as we could, because the moment was all that mattered, at the end of it all. I remember I felt intoxicated on life and darkness. I felt powerful. It was the most natural thing in the world. This was why we were alive– to be powerful and free.
Sarah Waters, Fingersmith|But the more I think it, the more I want her, the more my desire rises and swells.
Colten Charles Baker|And then he leaned forward and my stomach collapsed, taking in that last breath. I closed my eyes and watched in awe as all the butterflies flew up into the sky, free, mingling with the exploding lights.
Ronald Mapamula|Each daily task, is but the future in a mask.
Gabrielle Zevin|I know he's a good person. And he said he was sorry. And I love him. And when you love a person, you have to forgive him sometimes.
Beth Revis, The Body Electric|I wish you could be kissed, Jane,” he said. “Because I would beg just one off you. Under all this.” He flailed an arm toward the stars.
William F. Buckley Jr.|At its core, sinfulness is selfishness. It's enthroning yourself - your desires, your needs, your plans - above all else. You may still seek God, but you don't seek Him first. You seek Him second or third or seventh. You may sing "Jesus at the center of it all," but what you really want is for people to bow down to you as you bow down to Christ. It's a subtle form of selfishness that masquerades as spirituality, but it's not Christ-centric. It's me-centric. It's less about us serving His purposes and more about Him serving our purposes.
Carla H. Krueger|It probably seems obvious, but as an editor, I love stories. But it’s a little bit more than that. I intensely believe that stories have power. They can spark an idea, or a realization. They can, by just offering another perspective, change a person’s mind. They can make us weep and cry and care. And they can connect us. That’s powerful stuff.
Paul Hoffman, The Last Four Things|Bravery and Stupidity are the same thing, the outcome determines your label.
Aurora Rose Reynolds, Until November|Life Lessons According to Camryn:One must handle stress like a dog; if you can't eat it or play with it, pee on it and walk away
Avi, Bright Shadow|As he drove away, I began to think that what kept us together was perhaps not even our romance with an imaginary France. That was just a veneer, an illusion. Rather, it was our desperate inability to lead ordinary lives with ordinary people anywhere--ordinary loves, ordinary homes, ordinary careers, watching ordinary television, eating ordinary meals, with ordinary friends--even ordinary friends we didn't have, or couldn't keep.
Tony Robbins|Diets, like clothes, should be tailored to you.
W. Somerset Maugham|I preyed on this sort of thing, discontentment, a clash of passions among the rivals, and the zealots. Open sores opened secrets. That’s how I roll.” Jackson Guild, The Trinity Conspiracy, Betrayal at Black Mesa
Emily Dickinson, Selected Poems|I many times thought peace had come,	When peace was far away;	As wrecked men deem they sight the land	At centre of the sea,	And struggle slacker, but to prove,	 As hopelessly as I,	How many the fictitious shores	Before the harbor lie.
Sara Sheridan, Operation Goodwood|Some dark Presence watching by my bed,The awful image of a nameless dread ―
Lisi Harrison, Monster High|You're right, Norah, anything can happen, anytime. But what goes wrong isn't your fault. You can't spend the rest of your life tiptoeing around to try and avert disaster. It won't work. You'll just end up missing the life you have.
Aaron Lauritsen, 100 Days Drive: The Great North American Road Trip|Life's trials will test you, and shape you, but don’t let them change who you are.”~ Aaron Lauritsen, ‘100 Days Drive
Melissa de la Cruz, Lost in Time|Listen, Legs, I'm going to die anyway. I'm human. And I don't know about you, but I don't believe in visions of the future. I believe we choose our own destiny. You didn't give me a choice last time. You just left. But I'm here now. And I love you. Stay with me. Don't fear the future; we'll face it together.
David Brooks|Almost every successful person begins with two beliefs: the future can be better than the present, and I have the power to make it so.
indonesia123|What "wasting time" means? At the time we glorify self instead of glorify God, at that time we are wasting our time as... God is Time.
Miranda Linda Weisz|When many voices are speaking at once, listen to the one most quiet and gentle. That’s the one worth listening to. ~ Miranda* ~
R. Y.S. Perez, I Hope You Fall in Love: Poetry Collection|Therefore, you should fall in love as often as you can. Fall in love with a thing, with a soul, with every person in your life. Fall in love with your very existence. Only then will you know you have lived.
Stephanie Clifford, Everybody Rise|Life has two phases one is light and one is darkness. When we are in dark, we can see everything in the light. But when we are in light we can't see what's in dark.
Anthony Liccione|Nowadays, a simple faulty brake light traffic stop, can get a black person killed. It's better to fix the broken light bulb, then having to face and cooperate with a senseless police officer.
Margaret Atwood, The Handmaid's Tale|Fraternize means to behave like a brother. Luke told me that. He said there was no corresponding word that meant to behave like a sister. Sororize, it would have to be, he said. From the Latin.
Hermann Hesse, The Glass Bead Game|His way had therefore come full circle, or rather had taken the form of an ellipse or a spiral, following as ever no straight unbroken line, for the rectilinear belongs only to Geometry and not to Nature and Life.
Robin McKinley, Sunshine|What this world doesn't have is the three-wishes, go-to-the-ball-and-meet-your-prince, happily-ever-after kind of magic. We have all the mangling and malevolent kinds. Who *invented* this system?
Ruth Ozeki, A Tale for the Time Being|IMPERCEPTIBLE IMPELLENTGod exists in the heart, not in the show of religious alignment
David Nicholls|Life would not be the same ever again. I would laugh again like a happy man would, seemingly with few worries in the world, yes, for memories fade, even of a deed like the one I had committed. However, the knowledge was there, sad and lingering, and I knew I had lost something.
Marie Lu, The Midnight Star|Like fear and fury. It is energy from another realm, threads from beneath the sur­face, an immortal place never meant to be disturbed. Raffaele trembles.Something is poisoning the world.
Lloyd Alexander, Taran Wanderer|Let us banish fear. We have been in this mental state for three centuries. I am a radical. I am ready to act, if I can find brave men to help me.
Stephen Adly Guirgis, The Motherfucker With the Hat|JACKIE. I swear to God: Being in love with Veronica - it's like feeding your love to Godzilla every morning, and every morning you go "Yo, 'Zilla, these shits are very delicate so please chew softly", - and every morning - the motherfucker just goes crunch!
Robert Winston|Israel is the strongest nation in the Middle East, but we have to apply our strength wisely.
J.G. Ballard|Science and technology multiply around us. To an increasing extent they dictate the languages in which we speak and think. Either we use those languages, or we remain mute.
Genesis|Some say their world's will end with fire, some say with ice. From what I've tasted with desire I hold with those who favor fire. My world may not be ending, even though it feels like it. I do know this however, what doesn't kill you only mke you stronger.
Suzanne Kelman, The Rejected Writers' Book Club|I soon forgot about my bedraggled appearance. Until, that is, an old man shuffled in and propped himself, hunched and wheezing, over the check-in desk. Karen asked him if he needed assistance. “No,” he grunted sucking on his teeth, “your wet-T-shirt librarian with the punk rock hair is helping me out just fine.
Dalai Lama XIV|The wonderful things in life are the things you do, not the things you have.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Don't you love meeting an approachable person? They roll out the proverbial “welcome mat.” Their energy and engaging openness make us feel safe. They project the messages, “I'm so glad to meet you. I like you. Tell me more about you. I'm so glad that you're here,” without even saying a word.
Bangambiki Habyarimana|When it comes to overcoming writing hurdles, getting sick is like suffering a review from a critic with an axe to grind; you can't let it get you down!
Billy Graham, Billy Graham in Quotes|The world judges the Christian by his life, not by his belief.
Tim Farrington, A Hell of Mercy: A Meditation on Depression and the Dark Night of the Soul|One thing is certain, whatever choices we make: we will not miss out on some critical purgation by seeking treatment for depression or any other form of physical suffering. If we are ripe for what the dark night brings, God will find a way to bring the process to fruition no matter how hard we try to avoid it.
Susan Reynolds|There were no public articulations of these humiliations, so we took refuge in accidental occasions to weave our resentments and hatreds into little stories that lost their impact as soon as they were told.
Martin Riggs|Life is short, Isobeli. If we gave time to everything sooner or later we'd run out of it. We only have now. And we would be foolish to not seize it while we have it. So, why would it matter if I love him today or five years from now?
Eric Hoffer, The True Believer: Thoughts on the Nature of Mass Movements|People buy things they don't need, with money they don't have, to impress people they don't like.
David Sedaris, Theft by Finding: Diaries 1977-2002|Once a cat loves you, it loves you till the end.
Courtney Nuckels, Exposing ELE|I look around the room at some of the familiar faces and some of those who are still strangers to me. Somewhere deep within, I find the strength. The strength I was born from, that I never knew I possessed. ~Willow Mosby (Exposing ELE
R.A.Delmonico|As we go through life, we essentially grow a personality. Our personality branches out in many directions to assist us organize our thoughts, feelings, values, ideas, and coping mechanisms. Our exhibited behavior – the way we organize and deal with life – becomes an external representation of our central self.
Fyodor Dostoyevsky, The Brothers Karamazov|The more stupid one is, the closer one is to reality. The more stupid one is, the clearer one is. Stupidity is brief and artless, while intelligence squirms and hides itself. Intelligence is unprincipled, but stupidity is honest and straightforward.
Kellie Elmore|Life is like a steering wheel, it only takes one small move to change your entire direction.
Max McKeown, #NOW: The Surprising Truth About the Power of Now|Pushing your limits is what allows you to grow stronger, so if you find yourself feeling passive, it can make sense to dial it up a little. Get moving. Accomplish something small. Do something you enjoy. Embrace what moves you. And start again.
Roger Kahn, The Boys of Summer|Whatever you want, at any moment, someone else is getting it. Whatever you have, someone else is longing for.
Pope Benedict XVI|I believe that the essence of marriage is choosing someone who loves you for who you are, embraces everything about you, and building a life with that person. Whether that life is with children or without children - it's honestly immaterial to building a life with someone that you love fully.
Audre Lorde|For the master’s tools will never dismantle the master’s house. They may allow us to temporarily beat him at his own game, but they will never enable us to bring about genuine change. Racism and homophobia are real conditions of all our lives in this place and time. I urge each one of us here to reach down into that deep place of knowledge inside herself and touch that terror and loathing of any difference that lives here. See whose face it wears. Then the personal as the political can begin to illuminate all our choices.
Dan Gilbert|When we grew up, we wanted to do two things: to own a sports team and a casino.
Coco Chanel|Of all religions, the Christian should of course inspire the most tolerance, but until now Christians have been the most intolerant of all men.
Linda Lappin, Signatures in Stone|With us, there were always too many false starts. I believe that what's meant to be usually has a way of working out... and with us, it never did. Call it timing, call it fate, call it what you want. It is what it is. Sometimes in the end, the girl doesn't always get the boy--and that's ok. Life goes on. You know better than anyone that some love stories never get their happy ending... but it doesn't make them any less of a love story though, does it? It doesn't make the love the two shared any less relevant.
Britney Spears|The first duty of man is to conquer fear; he must get rid of it, he cannot act till then.
Sarah J. Maas, The Assassin and the Underworld|I don't want people who want to dance, I want people who have to dance. 
|You weren't born a quitter, and it's your sole responsibility to never turn yourself into one.
Angela Y. Davis, Freedom Is a Constant Struggle: Ferguson, Palestine, and the Foundations of a Movement|No, I do not weep at the world – I am too busy sharpening my oyster knife.
Kelly Preston|It's well known I'm a Scientologist, and that has helped me to find that inner peace in my life and it's something that has given me great stability and tools that I use.
Scott Stabile|I recall a podcast featuring American white nationalist Jared Taylor. He claims that every important decision in their lives - where to live, whom to marry, where to send their children to school - 'liberals are not different from members of the Ku Klux Klan'.And, if you believe the Age article, in the only federal electorate held by the Greens, families are making their schooling decision as if they're in the UPF.
Robert Duchnik, jQuery Plugin Development In 30 Minutes|In my experience, requirements change quite often, or new situations will arise that weren’t anticipated at the start of the project. If the situation can be addressed with a plugin, I just whip open the standalone plugin page, make the updates and pop the new plugin back in. Because the plugin is self-contained, it’s easy to recreate the problem, fix it, and get it back into the codebase.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|Life should not be measured by duration alone but by donation also, by what you do during your lifetime.
John Updike, Rabbit, Run|Agnes: "I have a question for you, speaking of truth. You say God speaks the truth." Tóti: "Yes." Agnes: "And God said: 'Thou shalt not kill.'Tóti: "Yes. Tóti said carefully." Agnes: "Then Blondal and the rest are going against God. They're hypocrites. They say they are carrying out God's law but they are only doing the will of men.
Melina Marchetta, Saving Francesca|I miss the Stella girls telling me what I am. That I'm sweet and placid and accommodating and loyal and nonthreatening and good to have around. And Mia. I want her to say, "Frankie, you're silly, you're lazy, you're talented, you're passionate, you're restrained, you're blossoming, you're contrary."I want to be an adjective again. But I'm a noun. A nothing. A nobody. A no one.
Barack Obama, The Audacity of Hope: Thoughts on Reclaiming the American Dream|another tradition to politics, a tradition (of politics) that stretched from the days of the country’s founding to the glory of the civil rights movement, a tradition based on the simple idea that we have a stake in one another, and that what binds us together is greater than what drives us apart, and that if enough people believe in the truth of that proposition and act on it, then we might not solve every problem, but we can get something meaningful done.
Kelby Losack, Toxic Garbage|The water never stops, never gives up, and denies no faults in the path it takes,” he explained, my eyes still focused down the ravine, “It moves silently, only a mere trickle to entertain itself as it causes a massive gash in the world. This, Zack, is true power.
Princess Diana|Bring a wife home to your house when you are of the right age, not far short of 30 years, nor much above; this is the right time for marriage.
Jo Graham|He hadn't done it, and there was no point thinking about might-have-beens
Marilynne Robinson|37 is a lumpy number, a bit like porridge. Six is very small and dark and cold, and whenever I was little trying to understand what sadness is I would imagine myself inside a number six and having that experience of cold and darkness. Similarly, number four is a shy number.
Gabriel García Márquez, Love in the Time of Cholera|Imagine yourself near the end of your life. You are relaxing in a rocking chair reflecting on the decision you presently want to make. As the older, wiser you thinks about the outcome of your choice, ask yourself three simple questions.1. Did it cause harm?2. Did it bring about good?3. How did it shape the person I became?The Rocking Chair Test helps you to take a long view of your options. After imagining your answers to those questions, you should know better which way to go.
|[Y]ou have to learn to intake, to imbibe, to nourish yourself and not be afraid of fullness. The fullness is like a tidal wave which then carries you, sweeps you into experience and into writing.
Patrick Demarchelier|No man is so foolish but he may sometimes give another good counsel, and no man so wise that he may not easily err if he takes no other counsel than his own. He that is taught only by himself has a fool for a master.
Stacey Jay, Juliet Immortal|Love is beautiful, shattering, moving, haunting. Love is everything.
Lisa Kleypas, A Wallflower Christmas|I wrapped my arms around his neck and pulled him closer. I didn't care that we were out in public. I didn't care that he was Moroi. All that mattered was that he was Adrian, my Adrian. My match. My partner in crime.
Barbara Boxer|I have used Twitter for so many things, from places to stay, places to go, things to do, things I need, medical advice, you name it. Especially when I'm on tour, it really feels like I'm being taken care of by half a million people. It is like having a mom.
Henri Charrière|Adieu! but let me cherish, still, The hope with which I cannot part. Contempt may wound, and coldness chill, But still it lingers in my heart. And who can tell but Heaven, at last, May answer all my thousand prayers, And bid the future pay the past With joy for anguish, smiles for tears?
Idries Shah, The Sufis|Your medicine is in you, and you do not observe it. Your ailment is from yourself, and you do not register it.
Veronika Carnaby|I don’t want to re-write the same old book with the same tired techniques. I’d rather bring something new to the table that’s true to me and that people will have a genuine reaction to. That’s the whole point, isn’t it?
Terryl L. Givens, The God Who Weeps: How Mormonism Makes Sense of Life|Nothing against the music, it's awesome... but going deeper and deeper in Super Genes... it's kind of dry... isn't it???So I need something bloody!- Crime is a great choice!
Friedrich Engels, The Origin of the Family, Private Property and the State|No one, even as a joke, could call a member of the all-Union Communist Party a Neo-Hegelian, a Neo-Kantian, a Subjectivist, an Agnostic, or, God forbid, a Revisionist. But "epicurean" sounded so harmless it could not possibly imply that one was not an orthodox Marxist.
Dean Koontz, Relentless|I'm small, I'm young - and I'm so different. You've always respected that difference, and you've always trusted it. Trust me now. There's a reason I am the way I am, and there's a reason I was born to you. There's always a reason. We belong together.
Gustave Flaubert|Writing is a dog’s life, but the only one worth living.
Alice Taylor, To School Through The Fields|I'm a master of story. Almost a living fiction myself, so resilient am I! Spider-Man beats me down, I rise! Daredevil imprisons me, I escape! That's because stories have power! He who controls the narrative controls the audience, and you're all the audience, every one of you. As they say, the world's a stage...
Thomas Daniel Nehrer, The Illusion of "Truth": The Real Jesus Behind the Grand Myth|It is vital to see not only what Christianity asserts, but where its precepts came from – how they evolved from primitive, superstitious metaphysical claims into “Gospel Truth”.
Maureen Johnson, 13 Little Blue Envelopes|Baby, I could watch you watching paint dry, and I still wouldn’t be bored.” Garrett Graham, my own personal sweet-talker.
Joseph Conrad|The man up there raged aloud in two languages, and with a sincerity in his fury that almost convinced me I had, in some way, sinned against the harmony of the universe
Matshona Dhliwayo|Do not hire those who are incapable.Do not fire those who are capable.A small, devoted army is greaterthan a large, indifferent one.
Adele          Rose, Shattered|Man Iâ€™m hot,â€� I exclaimed, fanning myself. The combination of climbing out of the cave and the sun meant that I was perspiring like crazy. â€œWhy thank you,â€� retorted Blaine, smirking. â€œIâ€™m pleased that my presence causes that kind of reaction.
Michio Kaku, Parallel Worlds: A Journey Through Creation, Higher Dimensions, and the Future of the Cosmos|To resolve the discrepancy between waves of probability and our commonsense notion of existence, Bohr and Heisenberg assumed that after a measurement is made by an outside observer, the wave function magically “collapses,” and the electron falls into a definitestate—that is, after looking at the tree, we see that it is truly standing. In other words, the process of observation determines the final state of the electron. Observation is vital to existence.
Robin Wayne Bailey, Dragonkin, Book 3: Undersky|Do you get the same peace of mind that I do when you're causing random damage? Especially random, senseless, mindless damage that serves no real purpose. That's my favorite kind, you know! That's the best!
Michelle Franklin|Life is really a travesty of will: it is a parade of learning how to lose people and improve at feigning indifference.I suspect I shall always fail at this, and fail miserably. I do not know whether that is winning at life or failing at happiness.
Mary G. Thompson, Wuftoom|But it bothers you. It pisse you off that I'm not crippled with debt or saddled with some moody bitch. Instead, you PR your lives and act like I'm supposed to ency you.....
Grant  Walker|Sajib had said, What about happiness – can you measure that?Rodney had thought yes, you could measure it by ease of living –how much does a person suffer compared to the next? Now, to make more people happy, how do we eliminate suffering? But happiness, in its strength or fragility, was more complex than comfort. It had so many sources, so many nemeses, and so many pitfalls. He couldn’t, in his right mind, try to instruct the happiness of others.
Arthur I. Miller, Deciphering the Cosmic Number: The Strange Friendship of Wolfgang Pauli and Carl Jung|If the deep logic of what determines the value of the fine-structure constant also played a significant role in our understanding of all the physical processes in which the fine-structure constant enters, then we would be stymied. Fortunately, we do not need to know everything before we can know something.
Mary Lambert|You do not want to get married at 22! Especially if you're famous, because girls are going to be throwing themselves at you.
Ufuoma Apoki|And so it is, that both the Devil and the angelic Spirit present us with objects of desire to awaken our power of choice. There is an invisible strength within us; when it recognizes two opposing objects of desire, it grows stronger.
Sharon Salzberg, A Heart as Wide as the World: Stories on the Path of Lovingkindness|Vulnerability in the face of constant change is what we share, whatever our present condition.
Elif Shafak, The Bastard of Istanbul|It is so demanding to be born into a house full of women, where everyone loves you so overwhelmingly that they end up suffocating with their love; a house where you, as the only child, have to be more mature than all the adults around....But the problem is that they want me to become everything they themselves couldn't accomplish in life.....As a result, I had to work my butt off to fulfill all their dreams at the same time.
Stefan G. Dimov|Pina colada kisses and cocaine nipsnever lie, swear to me that this feeling is real.
Nana Awere Damoah, Excursions in my Mind|Loss taught me about the frailty and transient nature of man. It taught me humility. It taught me about the urgency of service, of touching lives, of mentoring, of legacy. Of making hay while there is still sunshine and life.
William Shakespeare, Antony and Cleopatra|There's a great spirit gone! Thus did I desire it.What our contempts doth often hurl from us,We wish it ours again. The present pleasure,By revolution lowering, does becomeThe opposite of itself. She's good, being gone.The hand could pluck her back that shoved her on.
Ozzy Osbourne|I like to be with my friends and my family, listen to music and read books. Things like that relax me.
Emma Donoghue, Room|Damn! - I'd rather walk into something of my own accord than to be frogmarched into it.""So it says here in the file. James Mowry, twenty-six, restless and pigheaded. Can be trusted to do anything at all - provided the alternative is worse.""You sound like my father. Did he tell you that?""The Service does not reveal its sources of information.
Max Barry, Machine Man|I read once that you need two things to be happy: any two of health, money, and love. You can cover the absense of one with the other two... But now I realized this was unmitigated bullshit, because health and money did not compare with love at all.
Sue Townsend|You know, we'd just had a birthday, he was... you know, he still had a future out of him, and all I can is he was just one of the most beautiful people in the world... a very gifted man, and it's a loss to the world, not just for us.
L. Frank Baum, The Emerald City of Oz|For ignorance is the first requisite of the historian──ignorance, which simplifies and clarifies, which selects and omits, with a placid perfection that unattainable by the highest art.
Daven Anderson, Vampire Syndrome|He kicked my ass, but he also treated me like a person and not just some girl.
Scott Stabile|A little creativity can make something ordinary, extraordinary, and something extraordinary that much more so.
Renny Harlin|If I had sat around and waited until I had an idea to be a successful photographer, I would still be in finance.
Anonymous|"So you want to become my son-in-law." "Not exactly. I just want to marry your daughter."
Beth Ramsay, #Networking is people looking for people looking for people|Great leaders build trust from their team because the leader is willing to put his/her people “first.” Once the team believes that, they will put their leader, and the company, first as well.
Victoria Schwab, The Unbound|Doubt is like a current you have to swim against, one that saps your strength.
David Levithan, How They Met, and Other Stories|The sun, the hero of every day, the impersonal old man that beams as brightly on death as on birth, came up every morning and raced across the blue dome and dipped into the sea of fire every evening.
Patricia Cornwell|The truth is women use contraception not only as a way to prevent unintended pregnancies, but also to improve their health and the health of their families. Increased access to contraception is directly linked to declines in maternal and infant mortality.
Neil Gaiman|I move from dreamer to dreamer, from dream to dream, hunting for what I need. Slipping and sliding and flickering through the dreams; and the dreamer will wake, and wonder why this dream seemed different, wonder how real their lives can truly be.
Baruch Spinoza, Theological-Political Treatise|Everyone is by absolute natural right the master of his own thoughts, and thus utter failure will attend any attempt in a commonwealth to force men to speak only as prescribed by the sovereign despite their different and opposing opinions.
Lailah Gifty Akita, Think Great: Be Great!|The fullness of existence is the experience of joy and sorrow, good times and dark times, pain and healing..
Roy T. Bennett, The Light in the Heart|You were not born on earth to please anyone; you have to live life to express yourself, not to impress someone. Don't pretend to be someone you're not, and never lose yourself in search of other people's acceptance and approval.
Chuck Lorre|Death is complicated."-Johann Kraus
