Joseph Prince|I like people and I like them to like me, but I wear my heart where God put it, on the inside.
Gudjon Bergmann, Living in the Spirit of Yoga: Take Yoga Off the Mat and Into Your Everyday Life|On the occasion of yoga day, I want to offer you the simplest form of yoga: Namaskar - Yoga for all.
Ilchi Lee, Calligraphic Meditation for Everyday Happiness|Don’t be confined by the self you have experienced, the self you know. Going beyond what you know and what you have experienced, challenge your brain with new questions and give it new tasks—then it will begin to manifest infinite creativity.
Jeremy Holmes, John Bowlby and Attachment Theory|So it is with grief where, if all goes well, can come a strengthening of the inner world, of memory and definition.
E M Bounds|To him who prays, and as he prays, the hour is sacred because it is God's hour
Richelle Mead, Succubus Blues|Well, that depends, I suppose. I heard someone once say that men dance the same way they have sex. So, if you want everyone here to think you're the kind of guy who just sits around and—" He stood up. "Let's dance.
P.K. Shaw|Frankly, I even worried about the fact that I was so worried. Worrying about the strength of my faith—how it stood up to others'—didn’t seem to be a healthy sign. I mean, didn't worrying about faith defeat the whole point of faith? Weren't we supposed to just "let go and let God"? I didn't "let go and let God" very well. I worried about that.
Ray Bradbury|Why can’t you remember your Shakespeare and forget the third-raters. You’ll find what you’re trying to say in him- as you’ll find everything else worth saying. 'We are such stuff as dreams are made on, and our little life is rounded with sleep.''- 'Fine! That’s beautiful. But I wasn’t trying to say that. We are such stuff as manure is made on, so let’s drink up and forget it. That’s more my idea.
Israelmore Ayivor, The Great Hand Book of Quotes|Give it a little more trial, a little more risk, a little more pushing up and a little more stretching out. Stretch it more and let all your ideal length be seen. Your maximum self can only be known if you stretch hard till you can't do it any longer!
Andrew Sheng|Too large a proportion of recent "mathematical" economics are mere concoctions, as imprecise as the initial assumptions they rest on, which allow the author to lose sight of the complexities and interdependencies of the real world in a maze of pretentious and unhelpful symbols.
Julie Kagawa, Talon|I doona understand them," Ryder said as he stopped beside Laith. "Doona get me wrong. I love the feel of a woman's thighs around me, but to be bound to a single woman for eternity?" Ryder shuddered. "It's no' for me. Human or Fae.
Jennifer Niven, American Blonde|I thought of the pieces of me I'd left behind, a piece here, a piece there, scattered like bread crumbs. How much of me was left?
Seyyed Hossein Nasr, Science  Civilization in Islam|All spiritual techniques seek to awaken fallen man from the dream in which he lives : he dreams continuously of individual state of being, and of the many forms through which the external world presents itself to him; he builds for himself a paradise of illusions, so as to forget the absence of God. To recover the vision of the spiritual world, the soul of man must "die" to this dream, this ceaseless flow of images which fallen man regards as normal, everyday state of his consciousness.
Michael J. Sullivan, Age of Myth|I wasn't trying to reach England. or Paris. I thought that if I made the broadcast powerful enough, my brother would hear me. That I could bring him some peace, protect him as he had always protected me." You'd play your brother's own voice to him? After he died?""And Debussy." Did he ever talk back?" The attic ticks. What ghosts sidle along the walls right now, trying to overhear? She can almost taste her great-uncle's fright in the air. "No," he says. "He never did.
Betty White, If You Ask Me|Animals are such agreeable friends―they ask no questions, they pass no criticisms.
Sean Kennedy, Tigers and Devils|I deserved to find pleasure that surpassed my imagination, better than any I had experienced.
Jean Paul|I always knew that St. Jude was an amazing organization but meeting the kids and seeing how the hospital works first hand was truly beautiful. It doesn't feel like a regular hospital all dreary and sad. It's a colorful, beautiful, comfortable, fun place to live and the energy is wonderful.
Huxley, Aldous, Brave New World|And if ever, by some unlucky chance, anything unpleasant should somehow happen, why, there's always soma to give you a holiday from the facts. And there's always soma to calm your anger, to reconcile you to your enemies, to make you patient and long-suffering. In the past you could only accomplish these things by making a great effort and after years of hard moral training. Now, you swallow two or three half-gramme tablets, and there you are. Anybody can be virtuous now. You can carry at least half your morality about in a bottle. Christianity without tears–that's what soma is.
Sharon  Lee|It is culture that is the bully."
Oscar Wilde, The Importance of Being Earnest|It took a lot of work to be perfect. If you didn’t want to break a sweat, there was no point in even bothering.
Kilroy J. Oldster, Dead Toad Scrolls|In the morning, people have a plan for that day. Hardworking people think of what they will do during the day, and idle people on what they should do.
H.S. Crow|The elasticity of our dreams can take us to unspoken worlds, but our innate horror of the unknown is what weighs us down. Fight it.Travel to the isolated coils of smoldering dust trapped in our dusky sky or explore the unseen timeless vibration of dancing particles that fashions existence. Whatever choice you make can change your life forever. The same applies to a story. Words are the atoms of a tale, and together they compose a universe.
Linda Howard, Kill and Tell|Death isn't peaceful; it is just nothing. Everything is gone. No more sunrises, no more hopes, no more fears. Nothing.
Christine M. Korsgaard, Creating the Kingdom of Ends|Man cannot bear to be in the wrong. As soon as he feels guilt or remorse, he bends his ethics to suit himself. Actions do not flow from ethics, but ethics from actions, and it is by refining our actions that we refine our ethics.
Vishal Chipkar, Enter Heaven|Most of the Mefditations Centres make you becomethe victim of Schizophrenic, which is the mental disorder of hallucinating.
Jack Ma|There's something so romantic about being broke in New York. You gotta do it. You have to live there once without any money, and then you have to live there when you have money. Let me tell you, of the two, the latter is far better.
Harper Bliss, Close Enough|Nat realised they had a lot of talking to do, but she did question Isabella’s timing. In her experience, matters of the heart should not be discussed when one party had a silicone cock strapped to their waist while the other's mouth went dry at the thought of it entering her.
Bediüzzaman Said Nursî|Do what you do only for God's sake, start for God's sake, work for God's sake, and act within the sphere of God's good approval.
Kristian Goldmund Aumann, From Poet's Hand|Love is the true wealth, which can do entirely without wealth.
Rasheed Ogunlaru|Gratitude is the best food and fuel to start anything that you need to do - it will nourish and sustain you...and others too. Hankering will leave you hungry - or with with heart, head or belly ache - and tends to have or leave a sour or bitter taste too.
Amanda  Carlson, Struck|Yes," he replied. "We are --- how do you say on Midgard -- between a hard place and tree.
Thomas Carlyle|I'm very confident that Nick Hornby always gets it right as a writer. He has the vernacular and passion. He is adroit and dry, and balances humor with the humanity of life.
Emma Donoghue, Slammerkin|For some people, she thought, trials were only temporary; they sailed towards happiness through the roughest weather.
Shaye Evans|City of memories, city of mirrors.
Alex Soojung-Kim Pang|Each little update - each individual bit of social information - is insignificant on its own, even supremely mundane. But taken together, over time, the little snippets coalesce into a surprisingly sophisticated portrait of your friends’ and family members’ lives, like thousands of dots making a pointillist painting.
Robert Tew|Never place your happiness in someone else's hands because if they walk away, so does your happiness.
Gary DePaul, Nine Practices of 21st Century Leadership: A Guide for Inspiring Creativity, Innovation, and Engagement|Coachable people seek out those who speak truth to them, even if it is a painful truth, because it protects them and it makes them a better person and leader.
John Scalzi, Old Man's War|For as much as I hate the cemetery, I’ve been grateful it’s here, too. I miss my wife. It’s easier to miss her at a cemetery, where she’s never been anything but dead, than to miss her in all the places where she was alive.
Matshona Dhliwayo|The great are like a rubber ball; the harder they hit the ground, the higher they rise.
Vera Wang|Contrary to popular opinion, the hustle is not a new dance step - it is an old business procedure.
Françoise Gilot, Life with Picasso|We mustn't be afraid of inventing anything...Everething there is in us exists in nature. After all, we're part of nature. If it resembles nature, that's fine. If it doesn't, what of it? When man wanted to invent something as useful as the human foot, he invented the wheel, which he used to transport himself and his burdens. The fact that the wheel doesn't have the slightest resemblance to the human foot is hardly a criticism of it.
Maralee McKee, Manners That Matter for Moms|Knowledge.Grace. True union with the divine. I find that sort of prayer so much more difficult than the other, because it requires an extreme emotional and spiritual vulnerability. It's frighting,because we're trained not to expose the weakest parts of ourselves, the things that cause us pain and shame and suffering. It's those same things that often block our access to God-- basically, we stand in our own way.
Sunday Adelaja|When we don’t see the value of a thing, we don’t put the protective edge.
Jim Davis|I am an enthusiast, but not a crank in the sense that I have some pet theories as to the proper construction of a flying machine. I wish to avail myself of all that is already known and then, if possible, add my mite to help on the future worker who will attain final success.
Marie Corelli|Curious that it is impossible for a man to be original without attracting around him a set of unoriginal minds, as though he were a honey-pot and they the flies!
Mehmet Murat ildan|By thinking continuously your past or your future, you kill your today which is the only substantial part of your life!
Melissa Bank, The Girls' Guide to Hunting and Fishing|You will say good-bye for all the right reasons. You're tired of living in wait for his apocalypse. You have your own fight on your hands, and though it's no bigger or more noble than his, it will require all of your energy.It's you who has to hold on to earth. You have to tighten your grip -- which means letting go of him.
Edith Pargeter, A Bloody Field by Shrewsbury|Well, do as you think best. That's every man's right and duty. But for me, I pledge you now I will not surrender one grain of my rights. What I took, I took and by God, I'll keep it, too. Take her home tomorrow, Archie, and never look back to watch what I do, for you know it before. I would not give him one knigh who had confided himself to me and none other, much less you. Only over my dead body," said Hotspur hardily, eye to eye with the friend he had made under Homildon Hill, "will King Henry ever claim you as his prisoner.
Michelle Geaney|Every person on the face of the earth makes mistakes, Lily. Every last one. We're all so human. Your mother made a terrible mistake, but she tried to fix it.''Good night,' I said, and rolled onto my side.'There is nothing perfect,' August said from the doorway. 'There is only life.
J. Sheridan Le Fanu, Carmilla|Although I felt very weak, I did not feel ill; and strength, one always fancies, is a thing that may be picked up when we please.
Octavio Paz, The Monkey Grammarian|Everyday you have a new chapter to write about your journey of life. As you write that chapter do it so well such that if others read it, you would still be proud of yourself.
Mango Wodzak|Everyone has it within their heart to be vegan, but each time they eat anything from an animal they deny that this is so, they deny that they have enough love in their hearts to show these animals mercy and free them from our tyranny.This is a blatant lie that they keep telling themselves, time and time again. They would rather argue that they don't care about animals and find excuses to justify and continue harming them, than acknowledge any 'sissy' ability they might have to feel compassion for them.What they don't understand is, that they hurt themselves by not acknowledging this latent ability within their hearts though, and with this they deny themselves love too, for what is given out always comes back multifold.
Matshona Dhliwayo|Water is soft, but can maneuver any obstacle; be shrewd, and be gentle, and you too will be able to do likewise.
Billy Graham, Billy Graham in Quotes|I have heard the hollow, shallow laughter of the world. I have heard the genuine laughter of the beaming young Christian. I know there is a difference.
Nadège Richards|That— we seemed to have decided without saying a word— might go a long way toward spoiling something that was special, and beautiful, by virtue of its strangeness and delicacy.
A.J. Flowers, Fallen to Grace|Gabriel drew the strength up his calves and thighs to spin himself in a dizzying turn. Most angels didn’t take the time to train their legs, but Gabriel wasn’t like most angels.
Riccardo Bruni, The Lion and the Rose|One thing that unites us all, one thing is universal among the human species; the anatomy. Big, small, fat, thin, colour or creed are irrelevant. Under the skin, under the flesh, we are one and the same. We desire the same things; love, money, power. All the things we can not have, not without cost.
Edith Sitwell|All day long you sit and sew,Stitch life down for fear it grow,Stitch life down for fear we guessAt the hidden ugliness.Dusty voice that throbs with heat,Hoping with your steel-thin beatTo put stitches in my mind,Make it tidy, make it kind,You shall not: I'll keep it freeThough you turn earth, sky and seaTo a patchwork quilt to keepYour mind snug and warm in sleep!
Sharon Olds, Stag's Leap: Poems|...when I thought he loved me, when I thought we were joined not just for breath’s time, but for the long continuance, the hard candies of femur and stone, the fastnesses.
DEB CALLETI|I remember the shift that occurred after Abby was born - there'd been the great big before, where dying grandparents and natural disasters on the news were sad but mostly distant concerns. But then I became a mother, and when that happens, you cross a line that makes all loss a crushing, personal matter.
Walter Pater, The Renaissance: Studies in Art and Poetry|Analysis goes a step farther still, and assures us that those impressions of the individual mind to which, for each one of us, experience dwindles down, are in perpetual flight; that each of them is limited by time, and that as time is infinitely divisible, each of them is infinitely divisible also; all that is actual in it being a single moment, gone while we try to apprehend it, of which it may ever be more truly said that it has ceased to be than that it is. To such a tremulous wisp constantly reforming itself on the stream, to a single sharp impression, with a sense in it, a relic more or less fleeting, of such moments gone by, what is real in our life fines itself down.
Evita Ochel|Whether it is in your work, or your relationships, or your food choices, or your interaction with any part of nature, or anything that you think, speak, or do, mindfulness has the power to align you with expressing your highest Self, for your personal and our collective highest good.Via mindfulness we can make the choices today, that will pre-pave the desired outcomes for all of our tomorrows. Via mindfulness we put ourselves in the flow of life, where life is no longer a series of "good" and "bad" moments, but about living with ease, contentment, wellbeing, and inner peace. Ultimately mindfulness requires action, with the first step being to make mindfulness a priority in your life.
Binoy Boban|Always stay young with your looks, your thoughts should speak your maturity
Werner Herzog|Your film is like your children. You might want a child with certain qualities, but you are never going to get the exact specification right. The film has a privilege to live its own life and develop its own character. To suppress this is dangerous. It is an approach that works the other way too: sometimes the footage has amazing qualities that you did not expect
Garry Crystal, Leaving London|Your problem is that you’re more like an empty book and you’re waiting on someone else to write your pages for you. For someone who doesn’t believe in fate, destiny and all that shit, you seem to spend an awful lot of time waiting for something to happen to you.
bell hooks, Talking Back: Thinking Feminist, Thinking Black|Feminist effort to end patriarchal domination should be of primary concern precisely because it insists on the eradication of exploitation and oppression in the family context and in all other intimate relationships. It is that political movement which most radically addresses the person – the personal – citing the need for the transformation of self, of relationships, so that we might be better able to act in a revolutionary manner, challenging and resisting domination, transforming the world outside the self.
William S. Burroughs, Junky|Junk turns the user into a plant. Plants do not feel pain since pain has no function in a stationary organism. Junk is a pain killer. A plant has no libido in the human or animal sense. Junk replaces the sex drive. Seeding is the sex of the plant and the function of opium is to delay seeding.Perhaps the intense discomfort of withdrawal is the transition from plant back to animal, from a painless, sexless, timeless state back to sex and pain and time, from death back to life.
Ruth Reichl|The smell of good bread baking, like the sound of lightly flowing water, is indescribable in its evocation of innocence and delight...[Breadmaking is] one of those almost hypnotic businesses, like a dance from some ancient ceremony. It leaves you filled with one of the world's sweetest smells... there is no chiropractic treatment, no Yoga exercise, no hour ofmeditation in a music-throbbing chapel. that will leave you emptier of bad thoughts than this homely ceremony of making bread.
Cyndi Lauper, Cyndi Lauper: A Memoir|All I want to convey to anyone who is suffering while they're young is that sometimes you get a reprieve when you're older. Maybe it's just your perception that changes, but somehow it eases up, because life ebbs and flows. When you're ebbing, maybe you're strengthening your perspective of the world. And when you're flowing, maybe you can use everything to create, to write, to sing, act, and eventually stand taller and see farther.
John C. Wright, Transhuman and Subhuman: Essays on Science Fiction and Awful Truth|On THE AMBER SPYGLASS:"If this plotline was a motorist, it would have been arrested for driving while intoxicated, if it had not perished in the horrible drunk accident where it went headlong over the cliff of the author's preachy message, tumbled down the rocky hillside, crashed, and burned.
Dr. Chitra Navada|When I was younger, I use to laugh at my mom when she was silly. Now that I'm older, I find myself just as silly as her. Thanks mom, for teaching us that even as adults, it's OK to be fun and enjoy life laughing. I now get to teach my nephews and stepdaughter the same thing.
Dillon Burroughs, Faith Acts: A Provocative Call to Live What You Believe|When God gives you a passion for a particular cause, there is a reason for it, and that reason is not to keep it to yourself. You are called to be a representative for those in need.
Deep Trivedi|Any feeling, emotion or impulse that originates from the 'mind' can never be suppressed.
John Burnside|To my way of thinking there's something wrong, or missing, with any person who hasn't got a soft spot in their heart for an animal of some kind. With most folks the dog stands highest as man's friend, then comes the horse, with others the cat is liked best as a pet, or a monkey is fussed over; but whatever kind of animal it is a person likes, it's all hunkydory so long as there's a place in the heart for one or a few of them.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|The government system we have now is set up just like that of Rome and is changing into a system I call Corpocracism (Babylon, United States). Corpocracism is a word derived from some entities of feudalism, democracy, capitalism, classism, and corporatism to form a government system into a dictatorship and police state. This system is being brought about by a group of people in our own government, corporations, financial institutions and foreign entities. It is an ideology of hypocrisy that is leading to an JerUSAlem (America) that will sale off every aspect of its nations people to be captive to foreign entities such as corporations, governments, lawyers, financial institutions, banks, individuals and groups of individuals.
Patrick Bryant, Hum A Radiant Sickness|Ego like bile over taste buds. Get it out or hold it in. It's the suspension will drive you nuts, churn your gut.
Charlotte Joko Beck|When I watch my mind and stay with my body, out of that comes some course of action.
Bob Massie|To modernize their sleeping habits, [Peter the Great] declared, 'Ladies and gentlemen of the court caught sleeping with their boots on will be instantly decapitated.
John Steinbeck, Tortilla Flat|The day here is a something without value, a mere torment suffered by living creatures as they await the night. Night is deliverance.
Robert Silverberg|If you give a man a fish, he'll eat for a day, but if you teach him to fish, he'll eat all the fish you might have caught for yourself.--Advice of Paul Slater, the evil mediator, to Suze
|No matter how difficult things get, never stop holding strong to your dreams; your time to shine is definitely coming.
Sunday Adelaja|God is able to really use a person, who puts all that he has got into his work, who works hard, sweating his guts out to the point of complete exhaustion, using the last of his strength
Ray Bradbury|I'd wrestled against the inner voice of my mother, the voice of caution, of duty, of fear of the unknown, the voice that said the world was dangerous and safety was always the first measure and that often confused pleasure with danger, the mother who had, when I'd moved to the city, sent me clippings about young women who were raped and murdered there, who elaborated on obscure perils and injuries that had never happened to her all her life, and who feared mistakes even when the consequences were minor. Why go to Paradise when the dishes aren't done? What if the dirty dishes clamor more loudly than Paradise?
Roderick MacKinnon|Surgical Anatomy is, to the student of medicine and surgery, the most essential branch of anatomical science, having reference more especially to an accurate knowledge of the more important regions, and consisting in the application of anatomy generally to the practice of surgery.
Lisa Schroeder, I Heart You, You Haunt Me|Come with me,' Mom says.To the library. Books and summertimego together.
N. Scott Momaday, House Made of Dawn|Everything from quarks to quasars, butterflies to brain cells, was created so that you and I might delight in the display of divine glory. We alone can glorify God by rejoicing in the beauty His creative handiwork and relishing the splendor of His-revelation in the Person and redemptive work of Jesus Christ.
Bangambiki Habyarimana, Pearls Of Eternity|He is an atheist anyone who does not believe in my god and the wrath of god is upon him; I am in my right to meet that wrath on him," thunders the fanatic
Munindra Misra, Chants of Hindu Gods and Godesses in English Rhyme|From Brahma Puranब्राह्मीं च वैष्णवीं भद्रां, षड्-भुजां च चतुर्मुखीम्। त्रि-नेत्रां खड्ग-त्रिशूल-पद्म-चक्र-गदा-धराम्॥पीताम्बर-धरां देवीं, नानाऽलंकार-भूषिताम्। तेजः-पुञ्ज-धरीं श्रेष्ठां, ध्यायेद् बाल-कुमारिकाम्॥Meditate on youthful Brahmi* and Vaishnavi* surely,With six hands, four faces, three eyes gives safety,With sword, trident, lotus, wheel, globe, mace be,Greatest – yellow dressed, well decorated elegantly.
Terry Pratchett, Small Gods|Fear is a strange soil. It grows obedience like corn, which grow in straight lines to make weeding easier. But sometimes it grows the potatoes of defiance, which flourish underground.
Danny Gregory, The Creative License: Giving Yourself Permission to Be The Artist You Truly Are|Birds sing, wolves howl, crickets chirp. But why? Money? Fame? Record contracts? Endorsements? What's it all for? They do it because they're alive. They do it because life is about making things.
Chris Matakas, #Human: Learning To Live In Modern Times|Clouds of confusionrolled into illusionHe veils perversionforcing her coercionHer body he takeswhile she flies awayunbelievable, she's invisible
D.H. Lawrence, The Complete Poems|Nobody knows you.You don't know yourself.And I, who am half in love with you,What am I in love with?My own imaginings?
Jake Byrne, First and Goal: What Football Taught Me About Never Giving Up|In our society, we often tend to ignore what our bodies are telling us and instead are encouraged to medicate the symptoms with sleeping pills, stool softeners, a few beers, and a burrito. The problem with this approach is that whatever your body is trying to tell you gets lost beneath your attempts to cover it up.
Debasish Mridha|In my imagination, I can feel your presence. I can feel the warmth of your passionate hug. I can hear your sweet voice. I can hear the song of your beating heart.
Lia Davis, Winter Eve|He raised his hand to brush a stray hair from her face. Instead of dropping his hand, he slid it behind her neck and drew her closer. His earthy pine scent enveloped her. When his lips touched hers, she lost any hope of control.
Scroobius Pip|Danger, Danger running cold              Knowing but fearing just the same               Death comes and yet you don’t let go              Standing while it’s steel bands hold              Don’t walk. Don’t walk where light can not shine              You know the warning has been told              It comes for what is mine and I know it will be so.             Let go, it’s all there is that’s left. Let go your sin has no wrath.              Danger was Hell’s last request.               Let go it’s all there is that’s left. Let go your sin has no wrath.              Forgiveness wasn’t given yet. Not yet. Not yet.              No regrets. 		~ Dank Walker
Aleksandra Ninkovic|The rain turns lighter, turns to snow. And I have a sense that we have not yet arrived, that we are still reaching. For each other. For who we are meant to be.
Kevyn Aucoin|When there's that forgiveness present and compassion, it just helps you live so much easier.
Sam Houston|When I'm alone, I can sleep crossways in bed without an argument.
Noah Hawley, Before the Fall|In this way he used her as the North Star on a journey where you always want to go south. It was helpful, aligning himself in this way. It gave him something to tune to, like a violin to a piano.
Chesley Sullenberger|It is difficult to think of anything more important than providing the best education possible for our children. They will develop the next technologies, medical cures, and global industries, while mitigating their unintended effects, or they will fail to do these things and consign us all to oblivion.
Miranda July, No One Belongs Here More Than You|I walked down the hall and saw that [she] was sitting on the floor next to a chair. This is always a bad sign. It's a slippery slope, and it's best just to sit in chairs, to eat when hungry, to sleep and rise and work. But we have all been there. Chairs are for people, and you're not sure if you are one.
Cynthia Hand, Hallowed|I have spoken here of heavenly help, of angels dispatched to bless us in time of need. But when we speak of those who are instruments in the hand of God, we are reminded that not all angels are from the other side of the veil. Some of them we walk with and talk with—here, now, every day. Some of them reside in our own neighborhoods. Some of them gave birth to us, and in my case, one of them consented to marry me. Indeed heaven never seems closer than when we see the love of God manifested in the kindness and devotion of people so good and so pure that angelic is the only word that comes to mind.
Pope John Paul I, Illustrissimi: Letters from Pope John Paul I|The Christian should be characterized by an effort to see things in the best light; if it is true that the word Evangelos means good news, then Christian means happy man, spreader of happiness. 'Grim faces,' Saint Philip Neri used to say, 'are not made for the merry house of Paradise!
Friedrich Nietzsche|For art to exist, for any sort of aesthetic activity or perception to exist, a certain physiological precondition is indispensable: intoxication.
Jamie McGuire, Beautiful Disaster|You've lived in America for twenty years. Eat badly, damn it.
Priya Ardis, My Merlin Awakening|Plus, I happened to be a history nerd. Why else would I be interested in a guy born in the year 519?
Ernest O. Lawrence|I am mindful that scientific achievement is rooted in the past, is cultivated to full stature by many contemporaries and flourishes only in favorable environment. No individual is alone responsible for a single stepping stone along the path of progress, and where the path is smooth progress is most rapid. In my own work this has been particularly true.
Mark Christensen, Aloha|In the new century science will defeat famine, boredom, and the plague, but . . . vital knowledge will become so elevated that nobody will know how anything works. . . . the good news is that everybody will be empowered; the bad news is nobody will understand why.
Julia Quinn, An Offer From a Gentleman|He gave me a small, secretive smile, a smile that said he knew many things but couldn’t share them all at once.
Ashton Eaton|We climbed the stairs to the third floor, where Osama bin Laden died early in the morning of May 2, 2011.
Plato, The Republic|That's what education should be," I said, "the art of orientation. Educators should devise the simplest and most effective methods of turning minds around. It shouldn't be the art of implanting sight in the organ, but should proceed on the understanding that the organ already has the capacity, but is improperly aligned and isn't facing the right way.
Rafael Nadal|America has the best hand ever dealt to any country on this planet, ever. Yes, we have problems, but you travel around the world, you'll see we have it all.
Peter Diamandis|It used to be that the only ones with access to cutting-edge technology were top government labs, big companies and the ultra-rich. It was simply too expensive for the rest of us to afford.
John Rush, Entheogens and the Development of Culture: The Anthropology and Neurobiology of Ecstatic Experience|Obscenity is a function of culture - a function in the mathematical sense, I mean, its value changing with that of the variables on which it depends.
Anonymous|What we gain in the world, we lose in the world, forgotten in death. We must rather fancy what we brought into the world, for therein lives our story, our legend.
Mark Kirk|For me, the biggest thing with money has always been independence - just the biggest.
Matthew Quick, The Silver Linings Playbook|It is all for naught, if not for love.
ravi nawandhar|Love, simple word with brimming of blood.
Diana Gabaldon, Dragonfly in Amber|When you hold a child to your breast to nurse, the curve of the little head echoes exactly the curve of the breast it suckles, as though this new person truly mirrors the flesh from which it sprang.
F. Scott Fitzgerald, The Great Gatsby|i think one has to even abandon the phrase "ally" and understand that you are not helping someone in a particular struggle; the fight is yours.
Wallace Stevens|She felt about a love set as a painter does about his masterpiece; each ace serve was a form of brushwork to her, and her fantastically accurate shot-placing was certainly a study in composition.
Muriel Barbery, The Elegance of the Hedgehog|The tears in my pus-filled eyes became a thousand little crystals of ever color. Like stained-glass windows, I thought. God is with you today, Papi! In the midst of nature's monstrous elements, in the wind, the immenseness of the sea, the depth of the waves, the imposing green roof of the bush, you feel your own infinitesimal smallness, and perhaps it's here, without looking for Him, that you find God, that you touch Him with your finger. I had sensed Him at night during the thousands of hours I had spent buried alive in dank dungeons without a ray of sun; I touched Him today in a sun that would devour everything too weak to resist it. I touched God, I felt Him around me, inside me. He even whispered in my ear: "You will suffer; you will suffer more. But this time I am on your side. You will be free. You will, I promise you.
Mercedes Lackey, Magic's Pawn|The great love is gone. There are still little loves - friend to friend, brother to sister, student to teacher. Will you deny yourself comfort at the hearthfire of a cottage because you may no longer sit by the fireplace of a palace? Will you deny yourself to those who reach out to you in hopes of warming themselves at your hearthfire?
Markus Zusak, The Book Thief|... none of them had it. They had no qualms about stealing, but they needed to be told. They liked to be told, and Viktor Chemmel liked to be the teller. It was a nice microcosm.
George Carlin|Have you ever noticed that anybody driving slower than you is an idiot, and anyone going faster than you is a maniac?
San Juan de la Cruz|The only permanent solution to your problems is to go inside and let go of the part of you that seems to have so many problems with reality. Once you do that, you'll be clear enough to deal with what's left.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|If you surrender your life to God, you have joy of His presence.
Sayara St. Clair, Hurt Me, Heal Me|He paused, giving her a sweet smile of understanding. "You don't have to start with the crown jewels, you know. You could start with my lips then work your way down.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|We all want good friends - kind, respected, nice. The kind of people you want to introduce to your parents, other friends, pastor. But never underestimate the value of immoral friends - the ones that create the most precious memories you never will tell anyone else!
Chuck Klosterman, Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto|I once loved a girl who almost loved me, but not as much as she loved John Cusack.
Lori Foster, Jude's Law|Manners, boy. I'll beat them into you if I have to.
Judy Allen, Fantasy Encyclopedia|Few humans see fairies or hear their music, but many find fairy rings of dark grass, scattered with toadstools, left by their dancing feet.
Marla Gibbs|October is a fine and dangerous season in America. a wonderful time to begin anything at all. You go to college, and every course in the catalogue looks wonderful.
Beth Underdown, The Witchfinder's Sister|I will lay it out in black and white, and my tale will contain more truth than the great dead histories on my father's bookshelves. For they say what happened, but not what it was like. They say what happened, but they do not say why.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|I loved him because I knew him. Because I'd seen the man he truly was inside, and it never failed to amaze me. I loved him for his heart and his strength. For his endless compassion and his unbreakable spirit even in the face of everything he'd been trough. I loved him because he was the person I wanted to be, and I was a better person just trough the privilege of knowing him.
Pearl Zhu, Thinkingaire: 100 Game Changing Digital Mindsets to Compete for the Future|An excellence mind pursues perfecting, not perfection.
Zeena Schreck|In life we are separated by boundaries political, cultural, ethical, linguistical and psychical. But in death we are all united, for all afterlife is similarly unknown
Pearl Zhu, Digital Valley: Five Pearls of Wisdom to Make Profound Influence|You need a strategy to assume leadership, but only the character can sustain leaders as who they really are.
Anita Borg|The 'silk' in silkpunk refers not to a source of power, but to an entirely different, expressive technology language.
David Knopfler|Learning is a result of listening, which in turn leads to even better listening and attentiveness to the other person. In other words, to learn from the child, we must have empathy, and empathy grows as we learn.
Nikki Rowe|It's a nice feeling, Knowing, Someone lived easier Because I was alive.
Terry Pratchett, Going Postal|Granny Weatherwax had a primal snore. It had never been tamed. No one had ever had to sleep next to it, to curb its wilder excesses by means of a kick, a prod in the small of the back, or a pillow used as a bludgeon. It had had years in a lonely bedroom to perfect the knark, the graaah, and the gnoc, gnoc, gnoc unimpeded by the nudges, jabs, and occasional attempts at murder that usually moderate the snore impulse over time
Overstreet|I have my own particular sorrows, loves, delights; and you have yours. But sorrow, gladness, yearning, hope, love, belong to all of us, in all times and in all places. Music is the only means whereby we feel these emotions in their universality.
Alisa Hope Wagner|People can change their external lives with religion, but a lasting internal change only happens through a daily relationship with Jesus.
Lemony Snicket, The Penultimate Peril|There are some who say that you should forgive everyone, even the people whohave disappointed you immeasurably. There are others who say you should not forgive anyone, and should stomp off in a huff no matter how many times they apologize. Of these two philosophies, the second one is of course much more fun, but it can also grow exhausting to stomp off in a huff every time someone has disappointed you, as everyone disappoints everyone eventually, and one can’t stomp off in a huff every minute of the day.
Criss Jami, Killosophy|The barrier during self-improvement is not so much that we hate learning, rather we hate being taught. To learn entails that the knowledge was achieved on one's own accord - it feels great - but to be taught often leaves a feeling of inferiority. Thus it takes a bit of determination and a lot of humility in order for one to fully develop.
Frankie Boyle|For 3 million you could give everyone in Scotland a shovel, and we could dig a hole so deep we could hand her over to Satan in person. (on Margaret Thatcher)
Nadje Al-Ali, What Kind of Liberation?: Women and the Occupation of Iraq|Facing a deteriorating economy and a weakening hold over the populace, the Iraqi state under Saddam Hussein opted to revitalize tribal leaders and conservative practices as a means of stabilizing state power; those conservative practices were not an inherent feature of a predominantly Muslim country.
Mohammed Zaki Ansari, Zaki's Save Me|Break up of some relation sometime don't just break connection between two person,for some one it can be disconnection with his soul.and the disconnect between body and soul its mean death of a person
