Rand Olson, Children of Promise: The Ultimate Guide to Raising Healthy Kids|To enjoy true, vibrant health, increased awareness, effort, and focus are required.
Craig D. Lounsbrough|Darkness should never be an excuse to quit, for with God, darkness is the exact stuff that light was built for.
Stephen Fry|It's now very common to hear people say, 'I'm rather offended by that.' As if that gives them certain rights. It's actually nothing more... than a whine. 'I find that offensive.' It has no meaning; it has no purpose; it has no reason to be respected as a phrase. 'I am offended by that.' Well, so fucking 
Northrop Frye, Anatomy of Criticism|We of this age have discovered a shorter, and more prudent method to become scholars and wits, without the fatigue of reading or of thinking.
E.W. Howe|When a friend is in trouble, don't annoy him by asking if there is anything you can do. Think up something appropriate and do it.
Terry Pratchett, Feet of Clay|It is a mystery,' said Detritus.Vimes grinned mirthlessly. It was a mystery. And he didn't like mysteries. Mysteries had a way of getting bigger if you didn't solve them quickly. Mysteries pupped.
Alistair Brownlee|Without your health, you've got nothing going on. I thank God every day for good health.
Craig D. Lounsbrough|To ‘pretend’ is to say that I’m willing to waste the precious energy that it takes to pretend, and I’m unwilling to cultivate the bravery that it takes to be real. And I am at a complete loss to pretend that either of these aren’t true.
Peter Frederick Strawson, Introduction to Logical Theory|You must sit down to speak this language,It is so heavy you can't be polite or chatter in it.For once you have begun a sentence, the whole course of your life is laid out before you"-quoted in "The Geography of Bliss
Swami Vivekananda|The knowing ones must have pity on the ignorant.One who knows is willing to give up his body even for an ant,because he knows that the body is nothing.
Shannon L. Alder|Half of the time, the Holy Ghost tries to warn us about certain people that come into our life. The other half of the time he tries to tell us that the sick feeling we get in a situation is not the other person’s fault, rather it is our own hang-ups. A life filled with bias, hatred, judgment, insecurity, fear, delusion and self-righteousness can cloud the soul of anyone you meet. Our job is never to assume,instead it is to listen, communicate, ask questions then ask more, until we know the true depth of someone’s spirit.
Emanuel Swedenborg|In the spiritual body moreover, man appears such as he is with respect to love and faith, for everyone in the spiritual world is the effigy of his own love, not only as to the face and the body, but also as to the speech and the actions
Alexa Vega|Teen authors love to flirt with taboo, to grapple - sensitively - with dark and frightening issues, and there is nothing darker and more frightening than cancer.
Andy Warhol|Beauty is also submitted to the taste of time, so a beautiful woman from the Belle Epoch is not exactly the perfect beauty of today, so beauty is something that changes with time.
Love L. Sechrest|If you’re looking for fast driving there’s a dragway in the southwestern part of the county. It opens next week.”“Do you race there?” he asks.“Yes.” And I plan on spending a lot of time there over the next six weeks.“Isaiah.” Beth attempts to step in between us, but Logan angles himself so that she can’t. “That’s not why I brought him here.”An insane glint strikes the guy’s eyes and all of a sudden, I feel a connection to him. A twitch of his lips shows he might be my kind of crazy. “How fast do the cars there go?”“Some guys hit speeds of 120 mph in an eighth mile.”“No!” Beth stomps her foot. “No. I promised Ryan nothing crazy would happen. Logan, this is not why I brought you here.”“Have you hit those speeds?” He swats his hand at Beth as if she’s a fly, earning my respect. Most guys would be terrified of having their balls ripped off and handed to them for dismissing Beth like that.“Not driving my car, I haven’t,” I answer honestly. But I hope to with Rachel’s car, and with mine, after a few modifications. “Speed can be bought. Just depends on how much you want to spend.”Logan offers his hand. “I’m Logan.”“Isaiah,” I say as we shake.“Shit,” mumbles Beth.
Dietrich Bonhoeffer, The Cost of Discipleship|My inward experience has often been a wilderness; but Thou hast owned me still as Thy beloved, and poured streams of love and grace into me to gladden me, and make me fruitful.
Walter Mosley, Black Genius: African-American Solutions to African-American Problems|The life most of us live are lives we are forced to live by immediate needs, influences, and pressures.
Rachel Caine, Kiss of Death|I can't leave her now. I like her too much. There, I said it. But I won't say it again.
Eudora Welty, On Writing|I didn't hit other people or hit purposefully, I just hit. Some object would be at fault. My anger was at myself, every time, all vanity. As an adolescent I was a slammer of drawers and a packer of suitcases. I was responsible for scenes.Control came imperfectly to all of us: we reached it at different times of life, frustrated, shot into indignation, by different things - some that are grown out of, and others not.Of all my strong emotions, anger is the one least responsible for any of my work. I don't write out of anger. For one thing, simply as a fiction writer, I am minus an adversary - except, of course, that of time - and for another thing, the act of writing in itself brings me happiness.
Ruskin Bond, Scenes from a Writer's Life|and when all the wars are over, a butterfly will still be beautiful.
George Michael Sinclair Kennedy|What I'm going to do up here, kid, is tell you a story. Like all stories, it's an attempt to make sense of something larger than itself. And, like most stories, it fails, to a certain degree. It's a gloss, a rendition, so it's not exact. But it'll do. -Silenus
Maurice Merleau-Ponty, Phenomenology of Perception|the real is coherent and probable because it is real, and not real because it is coherent...
M.F. Moonzajer|The ones who say "you can't" and "you won't" are probably the ones that are scared that you will.
Christopher Hitchens, Hitch-22: A Memoir|Let's just go in and enjoy ourselves,' Yvonne had said after a long moment when the Hitchens family had silently reviewed the menu—actually of the prices not the courses—outside a restaurant on our first and only visit to Paris. I knew at once that the odds against enjoyment had shortened (or is it lengthened? I never remember).
Pramoedya Ananta Toer, The Mute's Soliloquy: a Memoir|I came to see that man finds meaning in his existence only through the active demonstration of his human self, a cosmos comprising the entire constellation of life's factors: culture, civilization, tradition, history, ideals, facts, physical conditions, one's mental state, the ecology, and so on.
Alessandra Torre, Moonshot|I thought women enjoyed affairs. I thought they got sparks of pleasure at the buzz of their phone, thought they ran around with a glow, their world suddenly on fire with new love. I thought they were women with terrible husbands and unhappy lives, an affair the first step in an eventual ending of their marriage. I thought that they were horrible, selfish women. I never thought that I would be one of them. I never thought that I'd be so weak. It turned out being the perfect wife was only easy when there was no temptation, no mistake haunting and overshadowing your marriage.
Alex Woodard, For The Sender: Love Letters From Vietnam|Standing there shuffling the memories on the counter, I remember what I sometimes forget. Forgiveness. Compassion. Gratitude. Three roads leading to being here now, where we can give the next moment a chance to exist without prejudice, so we can love what’s here, while it’s still here: each other, ourselves, our freedom." - excerpt from FOR THE SENDER: Love Letters from Vietnam
Jones Kofi Apawu|Even if you aren't independent or career wise, at least show that you have a passion for life and an optimistic outlook.
Sumit Kumar Mallik|And, to be true, an enemy's lair is an enemy's lair, no matter how comfortable or fancy it might appear.
Henry Hazlitt, Thinking as a Science|The only way we could remember would be by constant re-reading, for knowledge unused tends to drop out of mind. Knowledge used does not need to be remembered; practice forms habits and habits make memory unnecessary. The rule is nothing; the application is everything.
Courtney Brooks, S.H.E. Serenity, Hope, & Encouragement: For Daily Motivation|Everything of value, doesn't come with a price tag
Bianca Giovanni, Revealed|I'm going to make love to you, Lanie. I'm not your first, but I will be the last.
Stanisław Lem, Solaris|Each of us is aware he's a material being, subject to the laws of physiology and physics, and that the strength of all our emotions combined cannot counteract those laws. It can only hate them. The eternal belief of lovers and poets in the power of love which is more enduring that death, the finis vitae sed non amoris that has pursued us through the centuries is a lie. But this lie is not ridiculous, it's simply futile. To be a clock on the other hand, measuring the passage of time, one that is smashed and rebuilt over and again, one in whose mechanism despair and love are set in motion by the watchmaker along with the first movements of the cogs. To know one is a repeater of suffering felt ever more deeply as it becomes increasingly comical through a multiple repetitions. To replay human existence - fine. But to replay it in the way a drunk replays a corny tune pushing coins over and over into the jukebox?
Craig Briggs, Journey to a Dream|As well as writing, 2004 saw my first attempt at wine making: the elixir of life. Unfortunately, my effort tasted more like the elixir of death.
Sushil Singh, व्यस्त लोगों के लिये ध्यान|Religion is a good time pass, better than philosophy, and a million times better than love; love is a wastage of an era.
G.K. Chesterton|The Mullahs and monks, they must worship you instead of empty rooms.
Molly Vonk|Do you not know? Dolls are nothing until someone decides to pick them up and use them. During that time they are whatever they are expected to be. Whatever is commanded of them. You say I am not a doll, but like everyone else that is exactly what you want me to be. A lovely toy you may amuse yourself with... But remember, General, that when playtime is over and the doll has been returned to her shelf, the pretty shell you see? That is what she really is. Everything else is pretend.
irak.ibrahim hussain didi|Even in times of famine, we have more than enough to eat.
Israelmore Ayivor, Leaders' Watchwords|A positive attitude creates a passion that wakes a leader up. To the leader, attitude is more powerful than an alarm clock. Positive attitude in true leadership is what makes an alarm clock unnecessary!
Deb Caletti, Stay|The way two people can and everything place, find each other in a crowd, and change your life the lives of the people around them forever... It makes you believe in fate. In fate love some extra authority. Some destined significance." Wow, very powerful.
Sunday Adelaja, The Mountain of Ignorance|No going around it, no short cuts, no laying of hands, no amount of service, no amount of prophecy, without hard work, everything else goes to waste.
Glenda Millard, A Small Free Kiss in the Dark|Sometimes I can see colour without opening my eyes. I saw that Billy's heart was no colour and every colour. Like water or diamonds or crystals, it's pure and reflects the light.
Debasish Mridha|To find love, be loving first.
Gary Reilly, Ticket To Hollywood|In that moment, Dan was reminded why he wanted to write in the first place. It was the same reason anybody does anything -- to impress women.(Jeremy Goodwin, Sports Night)
Ed Brubaker, Fatale, Book One: Death Chases Me|I loved you, you know... It's not my fault the world is what it is.
Michelle Lovric, The Undrowned Child|When the waiter brought the cheese-board, there was a large carrot carved in the shape of a mermaid sitting between the Dolcelatte and the Pecorino. Teo could have sworn that the carrot-mermaid flexed her tail and plunged her little hand inside a smelly Gorgonzola. 'Tyromancy, ye know,' remarked the mermaid. 'The Ancient Art of Divination by Cheese.' Then she pulled her tiny hand out and inspected the green cheese-mold on her tiny fingers. 'Lackaday!' she moaned. 'Stinking! It goes poorly for Venice and Teodora, it do!
Nicholas Sparks, Safe Haven|He thought of her often, and he missed the companionship they'd once shared and the friendship that had been the bedrock of their marriage at its best.
Sunday Adelaja|If you know who you are, you do not need to consider yourself to be worse or better than someone else
C.K. Webb|People ask me all the time, "Where do your ideas come from?" So, to clear up this question...I keep my ideas inside the mind of a tiny man who is tied up in my closet!
Dorothy Parker, The Portable Dorothy Parker|When you have a persistent sense of heartbreak and gutwrench, the physical sensations become intolerable and we will do anything to make those feelings disappear. And that is really the origin of what happens in human pathology. People take drugs to make it disappear, and they cut themselves to make it disappear, and they starve themselves to make it disappear, and they have sex with anyone who comes along to make it disappear and once you have these horrible sensations in your body, you’ll do anything to make it go away.
Friedrich Nietzsche|Family love is messy, clinging, and of an annoying and repetitive pattern, like bad wallpaper.
Idries Shah, Thinkers of the East|If you forsake a path, it is because you were hoping for conviction from it. You seek conviction, not self-knowledge.
Deyth Banger|How do you know that you know?How do you know that this books are really made by Einstein and also are saved as how they are made, I mean the text which is written by Einstein is the same as now you see it.
Kilroy J. Oldster, Dead Toad Scrolls|July 22, 2009At times I still feel lost, but I also feel the comfort of my Lord through the physical pain and the mental challenges. I know He’s there. I can feel Him in the sun beaming down on my brown skin. It feels like love and comfort. It feels like He’s holding me when I suffer and I’m not alone.
Jeaniene Frost, Destined for an Early Grave|Bones has always been smart," I muttered. "His intelligence was just camouflaged under a mountain of p**sy."Cat
Sam Starbuck, The Dead Isle|I'm American. Like I told you. And I'm American and not something else because they failed that day. They couldn't do it and most of them probably knew they couldn't do it before they even started, but they went anyhow. There's honor in that. I don't reckon there's much honor left in the world now, but they had it that day and I honor them on both sides by knowing what I can about it. Much as I can.
John Hegarty, Hegarty on Advertising|Advertising is far more than just a communications industry. It's a problem-solving industry that also teaches you about life, how it encourages you to focus your thinking and produce something of genuine value. Why? Because that will make the advertising task so much easier. You're not equipped with a unique set of insights and experiences across a broad range of markets, allowing you to bring clarity and inspiration to anything you wish to produce.
Oscar Wilde, The Picture of Dorian Gray|I never approve, or disapprove, of anything now. It is an absurd attitude to take towards life.
Frank Herbert, Dune Messiah|The two studied one another for what seemed hours, neither saying a word. Jaden’s first inclination was to yell and demand his freedom, but something held him back. Here was a new man, and a new set of mind games. He waited for the old man to speak first and introduce himself, as Dalton had upon their first formal meeting. The stranger remained silent.
Jacqueline Simon Gunn|She wasn’t broken.She was made up of a thousand tiny little cracks.She was always trying to keep herself glued together.But it was hard, she felt too much.No matter what she did, her emotions seeped through,sometimes in drips, other times in floods,She felt everything,the heaviness of the clouds right before rain,the rush of the subway cars as they left the station,the feeling of goodbye as she watched someone walk away,wondering if it was the last time she would see them,the feeling of a kiss lingering on her cheek for hours.She felt the loneliness of the sun as it hung in the sky,shedding light on the day,without companion.And she longed to give as much as the sun.If she could brighten someone’s day,bestow warmth were there was cold,make someone smile, give someone hope,then for a minute, an hour, maybe even a day,the cracks would fill with loveand the pain would become only a voice,reminding her that her pain was important.She knew how fragile life was, how hard,and how precious.She wanted to feel it all.
Marion Cotillard|Yes, I've been trepanned. That's quite an interesting experience, especially for my brain surgeon, who saw my thoughts flying around in my brain.
Lailah Gifty Akita|Whenever, you face a challenge, it is time for a change.
James Schannep, Infected|Money’ll always end up bad. Man’s greed and man’s killer instinct go hand-in-hand. Watch a barracuda attack something shiny and you’ll see what our fascination with gold is. Think about it. We give actually valuable things like food and shelter for stones. We kill for it. Make no mistake, behind every man who seeks his fortune is a predator.
Debasish Mridha|When someone is unkind, respond with kindness.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|All men and women on earth were created with two eyes. The left eye represents the moon (mind/ego) and the right eye represents the sun (heart/conscience). Both eyes represent the duality of human nature. The sun represents the light in the heart of man, and the moon represents the darkness in the mind of man. When you read in ancient and religious scriptures that the enemy of humanity will surface with only one eye, this simply means that this being will only see through his left eye and neglect the right. And without the light of the right eye, this being will be very dark and evil.
Thomas Angelo|You know, I think it's important to keep a balance in things. Yeah, balance, that's the right word. Cause the guy who wants too much risks losing absolutely everything. Of course, the one who wants too little from life, might not get anything at all.
Rick Yancey, The Monstrumologist|The monsters are gone.""Really?" Doubtful."I killed the monsters. That's what fathers do.
Paolo Giordano, The Solitude of Prime Numbers|I had a cup of tea, thought about my day and mostly about the horse whom, though I'd only known him a short time, I called my friend. I have few friends and am glad to have a horse for a friend. After the meal I smoked a cigarette and mused on the luxury it would be to go out, instead of talking to myself and boring myself to death with the same endless stories I'm forever telling myself. I am a very boring person, despite my enormous intelligence and distinguished appearance, and nobody knows this better than I. I've often told myself that if only I were given the opportunity, I'd perhaps become the centre of intellectual society. But by dint of talking to myself so much, I tend to repeat the same things all the time. But what can you expect? I'm a recluse.
Jagdish Joghee|There was no use feeling guilty about getting on to the ship when you are in the middle of the ocean. If you felt guilty or sorry, you had only one option – drown in the middle of the sea.
Annabel Fanning, She|I had a lot of nights alone,” Kelly said. Nick raised his head, and their noses brushed. Kelly’s breath was warm against his lips. “I called your name every damn time.
James Scott|We didn't install the [Code Red] patch on those DMZ systems because they were only used for development and testing. — Anonymous client, shortly after spending 48 continuous hours removing 2001's Code Red worm from internal corporate servers
William Christopher|I hope, by God's grace, that I am truly a Christian, not deviating from the faith, and that I would rather suffer the penalty of a terrible death than wish to affirm anything outside of the faith or transgress the commandments of our Lord Jesus Christ.
Merritt Y. Hughes, Ten Perspectives on Milton|God is the supreme uncreated light of which Wisdom is born, but there was never a time when God's Wisdom did not exist.
Sami Abouzid|I create my music for fun not because I have to, that is why it sounds magical and unique
A.E. Via|This fucking city is full of nothing but thugs, money grubbing porn-bitches, and hustlers. I’m calling the police.” Ex fumed as he struggled to pull his cell from his pocket.If Syn weren't so damn angry it would’ve been funny as shit the way the man’s jaw dropped when God and Day both pulled their gold badges out from under their shirts. Day smiled that sinister grin and kneeled in front of them, speaking in an official tone, “911, what is your emergency?
Garry Crystal, Leaving London|Well, you may think you have all your ducks in a row, that your life is sorted. You might have the perfect house, the perfect job, the perfect life, nothing to worry about and then something can come along and end all of that in a second. It’s absolutely beyond your control. You can’t plan for unexpected things. And then people start saying, as a way of coping with this latest catastrophe, that it was meant to happen, it was fate. It’s not fate, it’s not some greater force out there. It’s just life and you cannot control life.
Aidan Turner|Tell him he can have my title, but I want it back in the morning.
Keisha Keenleyside|He realized without being aware of it that he had had the possibility to know her, before – had he known her? – but now that had changed. The possibility was gone. Now no one would know her unless she herself willed it. And there was nothing quite like the will he sensed in her now.
Lauren Willig, The Temptation of the Night Jasmine|If the guy likes/loves you, he won't care if you are a good kisser or not.He should like you for what you are - not how you kiss.
David Llewellyn, Trace Memory|Stay in the car Nick""okay."Ash gets out abd goes to look at the dead body."For an immortal being with 11,000 years under his belt Ash sure is stupid." Nick gets out and sees the blood."That's a lot of blood." Nick's book starts sending him an alert. "What Lassie? You going to tell Timmy about the well?" pulls out book, and opens it. words start to appear.LOOK AND YOUWILL SEE THATWHICH WAS CANNEVER BE.WHEN THEYSEEK A BOYYOUR AGE...... RUN, YOUFLIPPINMORON, RUN!"I'm not gonna argue with my book on that. The safest place is with Ash.
Maureen Corrigan, Leave Me Alone, I'm Reading: Finding and Losing Myself in Books|If you want to be relevant only in your household, then you only need to know the things that are important in your house, and if you want to be relevant in your neighborhood, you need to know what's important in your neighborhood. The same thing applies to your city, state, and country. And if you want to be relevant to the entire world, program that computer known as your brain with all kinds of information from everywhere in order to prepare yourself.
H. Burke Peterson|The less you look to others,the more you find in yourself.What have you found in yourself.
Aleksandr Solzhenitsyn, The Gulag Archipelago|The face of "evil" is always the face of total need. A dope fiend is a man in total need of dope. Beyond a certain frequency need knows absolutely no limit or control. In the words of total need: "Wouldn't you?" Yes you would. You would lie, cheat, inform on your friends, steal, do anything to satisfy total need. Because you would be in a state of total sickness, total possession, and not in a position to act in any other way. Dope fiends are sick people who cannot act other than they do. A rabid dog cannot choose but bite.
Stevie Ray Vaughan|No true believer could be intolerant or a persecutor. If I were a magistrate and the law carried the death penalty against atheists, I would begin by sending to the stake whoever denounced another.
Dean Koontz, The Dead Town|...this refinement and delicacy were what Cale adored; but Cale had been beaten into shape, hammered in dreadful fires of fear and pain. How could she be with him for long? A secret part of Arbell had been searching for some time for a way to leave her lover—although she was unaware of this, it is only fair to record. And so as Cale waited for her to save him while he worked out a way of saving her, she had already chosen the bitter but reasonable path of the good, of the many over the one...
G.K. Chesterton, The Man Who Was Thursday: A Nightmare|Believe me, if all those endearing young charms,Which I gaze on so fondly to-day,Were to change by to-morrow, and fleet in my arms,Live fairy-gifts fading away,Thou wouldst still be adored, as this moment thou art,Let thy loveliness fade as it will,And around the dear ruin each wish of my heartWould entwine itself verdantly still.It is not while beauty and youth are thine own,And thy cheeks unprofaned by a tear,That the fervor and faith of a soul may be known,To which time will but make thee more dear!No, the heart that has truly loved never forgets,But as truly loves on to the close,As the sunflower turns on her god when he setsThe same look which she turned when he rose!
Ray Lamontagne|But everything I have to give, I'll give to you
Siddharth Dhanvant Shanghvi, The Last Song of Dusk|He felt that race was not a characteristic that was a part of his identity, but one that was projected upon him by the gaze of others who looked on him; as such it was ephemeral, there and gone as soon as the gaze was broken.
Thomas Merton, No Man Is an Island|You will say that these are very small sins; and doubtless, like all young tempters, you are anxious to be able to report spectacular wickedness. But do remember, the only thing that matters is the extent to which you separate the man from the Enemy. It does not matter how small the sins are provided that their cumulative effect is to edge the man away from the Light and out into the Nothing. Murder is no better than cards if cards can do the trick. Indeed the safest road to Hell is the gradual one-the gentle slope, soft underfoot, without sudden turnings, without milestones, without signposts.
Jerry Bridges, The Pursuit of Holiness|We are to count on this fact that we are dead to sin's rule, that we can stand up to it and say no. Therefore we are to guard our bodies so that sin does not reign in us. So we see that God has made provision for our holiness. Through Christ He has delivered us from sin's reign so that we can now resist sin. But the responsibility for resisting is ours.
Emily Browning|I like movies. Movies have afforded me a modicum of luxuries. The thing about the movies is, if you're bad in a movie, you're bad forever.
M. Latimer-Ridley, Temperance|But, it’s not what they think of you that matters, it’s what you think of yourself. If I’d said something mean to them, I wouldn't like myself very much.
Keira Andrews, Semper Fi|She’s a kid. Nothing to be afraid of. You’ve faced scores of bloodthirsty enemy soldiers happily willing to die if it meant killing you. You can handle one little girl.”~ CalExcerpt From: Andrews, Keira. “Semper Fi.” iBooks. This material may be protected by copyright.
Christine Celis, Snippets of Imagery|When things are finally falling into the right places, something happens that puts you back to square one.
Mehmet Murat ildan|As long as we are stronger than our troubles, we will always see them left behind us!
Mehmet Murat ildan|Anywhere in the world, if you see a law which is protecting the rapists, you must know that this law has been prepared by the rapists!
D.S. Mixell|You are Innocent, you can't be otherwise, there is no other way, even in your lust, greed, hatred, cunningness, you're INNOCENT, because you wanted to overpower others, nature with your stupidity. Stop this absurd ACT, Be Aware, Trust Existence!
Cyrus the Great|We love ourselves notwithstanding our faults, and we ought to love our friends in like manner.
Oscar Wilde, The Importance of Being Earnest|It is always painful to part from people whom one has known for a brief space of time. The absence of old friends one can endure with equanimity, But even a momentary separation from anyone to whom one has just been introduced is almost unbearable.
Barbara Katz Rothman|Whether I shall turn out to be the hero of my own life, or whether that station will be held by anybody else, these pages must show. To begin my life with the beginning of my life, I record that I was born (as I have been informed and believe) on a Friday, at twelve o’clock at night. It was remarked that the clock began to strike, and I began to cry, simultaneously.
Howard Schultz|My dad is the reason I actually started watching wrestling. My dad was never big into sports; we were all big into sports as kids, and he'd go to our Little League games or whatever and not really know what was going on, because he didn't know about sports, but he knew about wrestling.
Susan C. Young, The Art of Being: 8 Ways to Optimize Your Presence & Essence for Positive Impact|You will be stuck with you for the rest of your life so learn to be your own best friend. Take a moment, look at yourself in the mirror, and say, “I love you.” It feels awkward at first. Do it anyway. Begin a great friendship with YOU!
Joseph Brodsky, On Grief and Reason: Essays|The nature of the mind is to acquire, to absorb, is it not? Or rather the pattern it has created for itself is one of gathering in, and in that very activity the mind is preparing its own weariness, boredom. Interst, curiosity, is the beginning of acquisition, wich soon becomes boredom; and the urge to be free from boredom is another form of possession. So the mingd goes from boredom to interest to boredom again, til it is utterly weary; and these successive waves of interest and weariness are regarded as existence. "Commentaries on Living, Series II
V.S. Ramachandran, The Tell–Tale Brain – A Neuroscientist`s Quest for What Makes Us Human|It is difficult to overstate the importance of understanding mirror neurons and their function. They may well be central to social learning, imitation, and the cultural transmission of skills and attitudes—perhaps even of the pressed-together sound clusters we call words. By hyperdeveloping the mirror-neuron system, evolution in effect turned culture into the new genome. Armed with culture, humans could adapt to hostile new environments and figure out how to exploit formerly inaccessible or poisonous food sources in just one or two generations—instead of the hundreds or thousands of generations such adaptations would have taken to accomplish through genetic evolution.Thus culture became a significant new source of evolutionary pressure, which helped select brains that had even better mirror-neuron systems and the imitative learning associated with them. The result was one of the many self-amplifying snowball effects that culminated in Homo sapiens, the ape that looked into its own mind and saw the whole cosmos reflected inside.
Stefano Benni, Margherita Dolce Vita|When you value someone, it merely shows that you truly have no idea about the person that they aren't showing you.
Tobias Wolff, This Boy's Life|Believe me, Nóra. An old broom knows the dirty corners best
J.R. Ward, Lover Enshrined|Just once" Blay said softly. "Do it just once. So I'll know what it's like."Qhuinn started to shake his head. "No...I don't think–""Yes"After a moment, Qhuinn slid both his hands up Blay's thick neck and captured the male's sturdy jaw in his palms. "You sure?"When Blay nodded, Qhuinn titled his friend's head back and to the side and held it in place as he slowly closed the distance. Just before their mouths touched, Blay's eyelashes fluttered down and he trembled 
Peter Hart|It’s not just tougher out there. It’s become a situation where the contest is how much you can destroy the system, rather than how much you can make it work. It makes no difference if you have a ‘D’ or an ‘R’ after your name. There’s no sense that this is about democracy, and after the election you have to work together, and knit the country together. The people in the game now just think to the first Tuesday in November, and not a day beyond it.
Fynn, Mister God, This is Anna|A healthy argument, even with an idiot, is always good; it opens one's eyes to own misunderstandings.
G.S. Jennsen, Dissonance|We’ll go along with it for now. Valkyrie, keep close watch and be ready to swoop to the rescue.”‘Hopefully swooping will not be required, nor rescue. But I am ready to do both.’He squeezed her hand. “Alex?”“I’m ready, too.
J. J. Watt|The key is to get to know people and trust them to be who they are. Instead, we trust people to be who we want them to be - and when they're not, we cry.
Emily Giffin, Heart of the Matter|his unwavering confidence - but now, it feels like a brand of indifference
Keith Olbermann|Abraham Lincoln did not shoot John Wilkes Booth. Titanic did not sink a North Atlantic iceberg. And Fox News is neither fair nor balanced. These are simple historical facts intelligible to all adults, most children, and some of your more discerning domesticated animals. But not... to Bill O
Seneca, Epistulae Morales Ad Lucilium: Latin Text|The one who says he doesn't understand anything about art, doesn't know himself.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|Like it or not, your life—what works well and what doesn't—is largely the result of the first impressions you have created along the way.
Mahatma Gandhi|I have learnt through bitter experience the one supreme lesson to conserve my anger, and as heat conserved is transmuted into energy, even so our anger controlled can be transmuted into a power which can move the world.
Mary Oliver|Slowly, Anna put up a hand to his muzzle and began to scratch that spot behind the ear where large dogs keep their souls.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|A genius masters the art of observation, and unites with the source of imagination to create advancements in the cause for human evolution.
Arthur C. Clarke, Expedition To Earth|The truth is that Trout, like Vonnegut and Ray Bradbury and many others, writes parables. These are set in frames which have become called, for no good reason, science fiction. A better generic term would be 'future fairy tales'. And even this is objectionable, since many science fiction stories take place in the present or the past, far and near.
Lisa Kleypas, Mine Till Midnight|One mustn't refuse the unusual, if it is offered to one.
Wagner Moura|The good Lord is amazing; He opens up doors. I was close to abandoning the dream, and He was like, 'Hey, slow down there, buddy.'
Bram Stoker, Dracula|She has man's brain--a brain that a man should have were he much gifted--and woman's heart. The good God fashioned her for a purpose, believe me when He made that so good combination.
Ella Leya, The Orphan Sky|Fixate on whole cultures, not specific pieces of poverty. No specific intervention is going to turn around the life of a child or an adult in any consistent way, but if you can surround a person with a new culture, and different web of relationships, then they will absorb new habits of thought and behavior in ways you will never be able to measure or understand. And if you do surround that person with a new, enriching culture, then you had better keep surrounding them with it, because if they slip back into a different culture, and most of the gains will fade away.
EverSkeptic|Don't waste water on washing your shirt, use photoshop!
Deborah Tannen|For many young women, the dream of independence and a home of their own is a tantalising goal, while a lifetime devoted solely to catering for another person's needs would be hard to countenance.
Rae Hachton, Pretty In Black|We who are immortal, we are chained to this life by a chain of gold, and we dare not sever it for fear of what lies beyond the drop.
Lee  Goff|The prideful man qualifies himself by what people think of him, always looking for applause. There is another proud man; head bloodied by the world but eyes focused on what is good, never caring about spectators or the cost. He is proud that his wife can laugh, that his children can play, humbled by their love for him. His prayers say, "Please make me worthy of them" - In humility lies the foundation of strength.
Paul Graham|Energy and environmental regulation, transportation, and broadband policy all benefit when legislators have a basic grounding in the technical concepts behind business models, products, and innovation.
Euginia Herlihy|The good company counts in your life, make a right choice because bad company will eat you alive.
Mike Cernovich, Gorilla Mindset: How to Control Your Thoughts and Emotions to Live Life on Your Terms|Imagine a computer. The monitor, keyboard, and processor are the hardware. Without any software to run it, your computer would be worthless. Your body is your hardware and your mindset is your operating system. It gives you access to the power of the hardware, and determines what software you can run. It lets you get the most out of your computer, allowing you to balance your checkbook and even create 3-D designs. Your mindset determines how you perceive and interact with the world.
Hans Küng, On Being a Christian|Even manifestly senseless suffering and death can have a meaning, can acquire a meaning. a hidden meaning.
Leon Foucault|A small house must depend on its grouping with other houses for its beauty, and for the preservation of light air and the maximum of surrounding open space.
Christopher Hitchens, Hitch-22: A Memoir|Of course what I'm about to share isn't true for me but...Friends, somebody said, are "god's apology for relations." (p. 129)
Marguerite Kaye, The Widow and the Sheikh|There is nothing more effective in igniting a man's desire than a woman's passion. To see the fire in your eyes, to feel the fire in your blood as you touch me, it sets me on fire too. Do you imagine I would prefer to kiss a woman who responds only with -- with compliance? No, I would not. No red-blooded man would. Never apologize for passion. Restraint, Julia, has no place in lovemaking.
Tracie Miles, Stressed-Less Living: Finding God's Peace in Your Chaotic World|As we become more mature in faith, learning to trust that God is capable of all things, we will see God as bigger and bigger every time we encounter Him.
Pearl Zhu, Thinkingaire: 100 Game Changing Digital Mindsets to Compete for the Future|The paradox is the result of two opposing truths existing side by side, which can be both right.
Lana Axe|But if you don't understand that story is character and not just idea, you will not be able to breathe life into even the most intriguing flash of inspiration.
J.A. Ironside, I Belong to the Earth|How did you get so scratched up then, Emlynn?” He looked at me uncertainly again.I felt wildly like laughing. Too many swooping highs and plummeting lows. What a weird fewdays. Weird being a massive understatement.“Cr-Crawling through gorse bushes.” I took a perverse delight in answering his questions in a way that told him nothing at all. I’d never paid much attention to boys before. Maybe Grace was onto something after all.“Crawling through gorse,” he repeated. “Part of your action-girl antics, no doubt?”“N-no doubt.” I smirked again.
