Faisal Nawaz Maitlo|Those people make us strong and then valuable, whom we do not like initially.
Suzette R. Hinton|If you are feeling constrained by a group that you belong to, ask yourself,“How can I participate in this community and still be who I am?
Bill Bryson, A Short History of Nearly Everything|In France, a chemist named Pilatre de Rozier tested the flammability of hydrogen by gulping a mouthful and blowing across an open flame, proving at a stroke that hydrogen is indeed explosively combustible and that eyebrows are not necessarily a permanent feature of one's face.
Carl Sagan|You see, the religious people — most of them — really think this planet is an experiment. That's what their beliefs come down to. Some god or other is always fixing and poking, messing around with tradesmen's wives, giving tablets on mountains, commanding you to mutilate your children, telling people what words they can say and what words they can't say, making people feel guilty about enjoying themselves, and like that. Why can't the gods leave well enough alone? All this intervention speaks of incompetence. If God didn't want Lot's wife to look back, why didn't he make her obedient, so she'd do what her husband told her? Or if he hadn't made Lot such a shithead, maybe she would've listened to him more. If God is omnipotent and omniscient, why didn't he start the universe out in the first place so it would come out the way he wants? Why's he constantly repairing and complaining? No, there's one thing the Bible makes clear: The biblical God is a sloppy manufacturer. He's not good at design, he's not good at execution. He'd be out of business if there was any competition.
Craig Shoemaker|I also believe that man’s continued domestication (if you care to use that silly euphemism) of dogs is motivated by fear: fear that dogs, left to evolve on their own, would, in fact, develop thumbs and smaller tongues, and therefore would be superior to men, who are slow and cumbersome, standing erect as they do. This is why dogs must live under the constant supervision of people.... From what Denny has told me about the government and its inner workings, it is my belief that this despicable plan was hatched in a back room of none other than the White House, probably by an evil adviser to a president of questionable moral and intellectual fortitude, and probably with the correct assessment—unfortunately, made from a position of paranoia rather than of spiritual insight—that all dogs are progressively inclined regarding social issues.
Israelmore Ayivor|When dark situations arise, it is opportunity for you to reveal the leader in you. Rise and deal with them.
Ray Bradbury|I've had several really tangible dreams about UFOs, and they've been amazing!
Bernard Kelvin Clive|If building a disruptive, dynamic brand is not in your plans, neither is profit.
Robert De Niro|The mind of a writer can be a truly terrifying thing. Isolated, neurotic, caffeine-addled, crippled by procrastination, consumed by feelings of panic, self-loathing, and soul-crushing inadequacy. And that’s on a good
Craig D. Lounsbrough|The key to understanding if something is truly precious is to ask if we can hold it, for things truly precious cannot be held.
Kenzaburo Oe|A theme in a lot of my books - and in my own life - is making choices that you feel you should make, or what society wants you to make, as opposed to what is truly right for you.
Anne Brontë|Severed and gone, so many years! And art thou still so dear to me, That throbbing heart and burning tears Can witness how I cling to thee?
H.P. Lovecraft|If you can't feel the touch of the gods on your own, it greatly behooves you to work on that before some lecher tells you his touch is just as good.
Israelmore Ayivor, The Great Hand Book of Quotes|It's possible to walk out of your house with "local" footsteps, printing them one by one till they go on to make "global" consequences! Go, make a safe journey!
Mehmet Murat ildan|Losing myself interests me. The fertile topsoil interests me, sprawling beneath a light dusting of snow, and the snow that crams the trunks and branches of the pines and elms and redwoods, having frozen up their roots, subdues me to consider life and death. What lurks beneath the ground? Surely dead seeds and frozen worms reside deep below that earth, and surely all those presentiments of life lying dormant, dead or dying, scattered and mute, like memories.
Jose Carreras|Michael is not only my friend, he's my family.
Olga Grushin, The Dream Life of Sukhanov|Passion, emotion, love and romance they all look better in movies; in reality all you need is a big dick.
Donnie Harold Harris|Every time when we think we smart, and following for mainstream, we've been used to kill ourselves. 08.07.11
William James, The Varieties of Religious Experience|Whatever she says to you, it’s your jobnot to let her make you mad.
Wayne Dyer|The reproduction of mankind is a great marvel and mystery. Had God consulted me in the matter, I should have advised him to continue the generation of the species by fashioning them out of clay.
Beau Sides, Unseen Tears: The Challenges of Orphans and Orphanages in China|Wealth gives you options, and your decisions about what to do with your options say much about your character.
Patty Houser, A Woman's Guide to Knowing What You Believe: How to Love God With Your Heart and Your Mind|The superior weapon of choice to fight ineffective, unwarranted distrust and fear, is a commitment to believing in others, coupled with a charitable heart; it is then that logic and intellect can be most successfully employed to deal with such negative emotions.
Jaachynma N.E. Agu, The Prince and the Pauper|You are addressed by the way you dress. Your attire reflects your sense of value or taste and of course, your speech either makes or mars you.
Roy T. Bennett, The Light in the Heart|Always have a willing hand to help someone, you might be the only one that does.
T.S. Eliot, The Cocktail Party|Two people who know they do not understand each other, breeding children whom they do not understand and who will never understand them.
Amy Tan|Every sickness has an alien quality, a feeling of invasion and loss of control that is evident in the language we use about it.
Deyth Banger|Stephen King and Clive Barker can make amazing works, such people's book should be on your list.
Jackie Kennedy|If there's anything worse than a woman living alone, it's a woman saying she likes it.
David Mitchell|It's a very special talent that men have, to possess seeing eyes yet be so blind.
C.S. Lewis, The Problem of Pain|Smartass Disciple: Master, why heaven is up there and hell is down there ?Master of Stupidity: If otherwise, it wouldn't be celebrated as ascension day.
Jen Calonita, On Location|I was told very sternly at the hospital to avoid boys at all costs. Mess up your levels.""Oh, they do that!" Amy laughs. "Probably best to leave them alone for a while. The secret, though, is to start with one you're not that bothered about."What is the point in that?
Israelmore Ayivor, Michelangelo | Beethoven | Shakespeare: 15 Things Common to Great Achievers|By perceiving the end of those illusive ideas and statuses as real, see yourself as though you have already accomplished what you have had a revelation to do. Then go, make it happen.
Ellen Hopkins, Burned|Now, we see what we are shown. We have gotten used to being shown no matter what, within or beyond the limited range of human sight. This habituation to the monopoly of visualization-on-command strongly suggests that only those things that can in some way be visualized, recorded, and replayed at will are part of reality...The result is a strange mistrusts of our own eyes, a disposition to take as real only that which is mechanically displayed in a photograph, a statistical curve, or a table. Eyewitness testimony must be "substantiated" by records that have been acquired, and can be stored and then shown.
Richard Dawkins|The path to the CEO's office should not be through the CFO's office, and it should not be through the marketing department. It needs to be through engineering and design.
Ann Hood, The Knitting Circle|The only language she could speak was grief. How could he not know that? Instead, she said, "I love you." She did. She loved him. But even that didn't feel like anything anymore.
Abram Hoffer|Give me health and a day, and I will make the pomp of emperors ridiculous.
Nikki Giovanni|The mark of a legitimate revolution - the scientific, for example - was that it didn't brag about its revolutionariness but simply occurred.
Craig D. Lounsbrough|Calm for too long begs the question of whether we're in an all-out pursuit of life, or we're all-out of the pursuit of life.
Jane Leavy|The world is not kind to whistleblowers - a term of art with particular resonance in football, the most hierarchical and repressive of organized sports, a world of 'systems' and 'programs' and scripted plays, where reading a medical report requires a security clearance, and practice fields are patrolled like Guantanamo Bay.
Debasish Mridha|It is not our external actions that attract others, but it is the actions of our imaginations, visualizations, and subconscious minds that attract others.
Andrew Luck|One thing I longed to do was to design a complete look, from head to toe, so I started a make-up line in 1966.
Neil Gaiman, Anansi Boys|What a joke, coming from a woman who worked for the fashion industry. Really. Starving yourself to fit into a size zero — why did that size even exist? Zero referred to the absence of something, but what did it mean in terms of a model's measurements? Her fat? Or her presence? How much could you cut away before the person herself vanished? It was hypocritical, that's what it was. I said as much, adding, “If you're so keen on me being healthy then you should have no problem accepting me for the way I am. That's what's healthy, Mom. Not being focused on all this freaky weight-loss stuff.
Sri Chinmoy, The Jewels of Happiness: Inspiration and Wisdom to Guide Your Life-Journey|Love the moment for its simplicity, it may give or take nothing from you, but in the blinking of an eye it will have change so many things forever.
April White, Cheating Death|Look around you at the people you've been taught to hate, because hate is just a cloak that hides fear.
James C. Dobson, Life on the Edge: The Next Generation's Guide to a Meaningful Future|SYMPATHY FOR THE DEVILNow please let me introduce myselfI’m the wealthy charming manBeen here on earth for many, many yearsMany hearts, faiths and souls I stoleI was around and watched Jesus ChristHad his faith, doubt and painConned goddamn Pontus PilateTo wash his hands and doom his soulThrilled to meet youDo you guess my nameThought I’m in hell but no I’m right hereThat’s the puzzling nature of my game
Richard Branson|It is very important to generate a good attitude, a good heart, as much as possible. From this, happiness in both the short term and the long term for both yourself and others will come.
David Brooks|Abilene had gone from boomtown to Bible Belt, from whorehouses to schoolmarms, without any of the intervening phases.
Red Auerbach|The Japanese scored an important victory at Pearl Harbor, but the attack pulled the United States into World War II, and four years later, Japan was in ruins, utterly defeated.
Anna Politkovskaya|You will be flogged for being right and flogged for being wrong, and it hurts both ways--but it doesn't hurt as much when you're right.
Petra Hermans|Pain is only temporary, but victory lasts for ever.
Eloisa James, The Duke Is Mine|I'm fat," she blurted out. "You are not fat. You're the most beautiful, voluptuous woman I know." His eyes moved down her body, deliberately, slowly, then back up to her face. What she saw in them sent fire squirming through her stomach and lower."I want every inch of you," he said, growling it. "I want to fall on my knees and worship at your hips." He reach out, shaped her curves from breast to hips with a burning sweep of his hand that a man was allowed to give only his wife.
Authoress Redd|Rita has spent her whole life being chased by boys. Because of that, she never had a chance to stop running long enough to figure out who she was and what kind of guy she should let catch her.
Jason Fried, Rework|If you're not the hero of your talent story, you simply become a player in one you didn't choose.
Jon M. Huntsman Sr., Essential Lessons on Leadership|Most of us care about one another. Human beings have considerably more in common with one another than they do differences. One’s religion, political persuasion, family, financial and social status, or vocation does not hamper the common thread of personal decency running through most of humankind.
Harrison Ford|The impulse to dream was slowly beaten out of me by experience. Now it surged up again and I hungered for books, new ways of looking and seeing.
Ellen Hopkins, Triangles|Spilling a Secret What its size, will have varying consequences. It’s not possible to predict what will happen if you open the gunnysack, let the cat escape. A liberated feline might purr on your lap, or it might scratch your eyes out. You can’t tell until you loosen the knot. Do you chance losing a friendship, if that friend’s well-being will only be preserved by betraying sworn-to silence trust? Once the seam is ripped, can it be mended again? And if that proves impossible, will you be okay when it all falls to pieces?
Bat for Lashes|The video game market is huge, and the ability to tell stories, and tell different kinds of stories in the gaming space is quickly evolving and changing for the better.
Kevin Hearne, Hexed|The gods damn you, look what you've done! If I want to grow this back, I'll have to endure the most terrifying sex imaginable! Gaahhhhhhh!
Bryce Courtenay|Wind is on fire" - beautiful words. What causes the fire, what enhances it, and what finally extinguishes it by itself or by bringing in rainclouds, gets identified with it. Do breath and life have the same relationship with each other!
Oscar Wilde|What art seeks to disturb is monotony of type, slavery of custom, tyranny of habit, and the reduction of man to the level of a machine.
Jill Lepore|A great deal of what many Americans hold dear is nowhere written on those four pages of parchment, or in any of the amendments. What has made the Constitution durable is the same as what makes it demanding: the fact that so much was left out.
Sheryl Sandberg|I tend to be so lost in the work that I don't notice the weather. My partner will come home and say, 'Beautiful day, wasn't it?' and I'll say, 'Was it?' as I won't have noticed the real world at all.
James K.A. Smith, Who's Afraid of Postmodernism?: Taking Derrida, Lyotard, and Foucault to Church|The faculty of vision can vary from person to person. On the other hand, we can rely on what our reason tells us because that is the same for everyone
Elizabeth Gilbert, Big Magic: Creative Living Beyond Fear|[There is a] quiet glory [in] merely making things, and then sharing those things with an open heart and no expectations.
Malcolm X|Bennie's corner of Brooklyn looked different every time Sierra passed through it. She stopped at the corner of Washington Avenue and St. John's Place to take in the changing scenery. A half block from where she stood, she'd skinned her knee playing hopscotch while juiced up on iceys and sugar drinks. Bennie's brother, Vincent, had been killed by the cops on the adjacent corner, just a few steps from his own front door. Now her best friend's neighborhood felt like another planet. The place Sierra and Bennie used to get their hair done had turned into a fancy bakery of some kind, and yes, the coffee was good, but you couldn't get a cup for less than three dollars. Plus, every time Sierra went in, the hip, young white kid behind the counter gave her either the don't-cause-no-trouble look or the I-want-to-adopt-you look. The Takeover (as Bennie had dubbed it once) had been going on for a few years now, but tonight its pace seemed to have accelerated tenfold. Sierra couldn't find a single brown face on the block. It looked like a late-night frat party had just let out; she was getting funny stares from all sides--as if she was the out-of-place one, she thought. And then, sadly, she realized she was the out-of-place one.
Tony Dungy, Quiet Strength: The Principles, Practices & Priorities of a Winning Life|Is your cucumber bitter? Throw it away. Are there briars in your path? Turn aside. That is enough. Do not go on and say, "Why were things of this sort ever brought into this world?" neither intolerable nor everlasting - if thou bearest in mind that it has its limits, and if thou addest nothing to it in imagination. Pain is either an evil to the body (then let the body say what it thinks of it!)-or to the soul. But it is in the power of the soul to maintain its own serenity and tranquility. . . .
Sarah Dessen, The Truth About Forever|I saw the patterns of history and thought that a human might be eighty per cent chemicals, eighteen per cent his past, and two per cent feeling, creatures of habit. Which makes psychiatrists really pharmacists who have to listen longer.
Parker J. Palmer|When statesmen forsake their own private conscience for the sake of their public duties, they lead their country by a short route to chaos.
Nina LaCour, We Are Okay|There are degrees of obsession, of awareness, of grief, of insanity.
Dee Henderson|A romance book is designed to tell you something about love–its ability to endure, forgive, go the extra mile, care about someone, put someone else first.
Siouxsie Sioux|If somebody honks a horn in Cleveland, they're saying 'Hi.' It's so rare to be honked at in anger. When we have merging traffic, we just interweave. There's real courtesy.
Henri Poincaré, Science and Method|If we wish to foresee the future of mathematics, our proper course is to study the history and present condition of the science.
Toba Beta, Master of Stupidity|When our poor, faultily sensitive vision can perceive a thing, we say that it is visible. When the nerves of touch can feel it, we say that it is tangible. Yet I tell you there are beings intangible to our physical sense, yet whose presence is felt by the spirit, and invisible to our eyes merely because those organs are not attuned to the light as reflected from their bodies. But light passed through the screen, which we are about to use has a wavelength novel to the scientific world, and by it you shall see with the eyes of the flesh that which has been invisible since life began. Have no fear! ("Unseen - Unfeared")
Erin Morgenstern, The Night Circus|Someone needs to tell those tales. When the battles are fought and won and lost, when the pirates find their treasures and the dragons eat their foes for breakfast with a nice cup of Lapsang souchong, someone needs to tell their bits of overlapping narrative. There's magic in that. It's in the listener, and for each and every ear it will be different, and it will affect them in ways they can never predict. From the mundane to the profound. You may tell a tale that takes up residence in someone's soul, becomes their blood and self and purpose. That tale will move them and drive them and who knows what they might do because of it, because of your words. That is your role, your gift. Your sister may be able to see the future, but you yourself can shape it, boy. Do not forget that... there are many kinds of magic, after all.
Auliq-Ice|The hopelessness of life is like a weak fire, that can only be extinguished using the fire extinguisher called hope.
David Foster Wallace, A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments|OK, publishing a book and releasing a movie is all very well, but Tottenham beating Man. U. 3-2... priceless.
Soke Behzad Ahmadi, Dirty Fighting : Lethal Okinawan Karate|Patience and Forgiveness are at the heart of A warrior's success, they help engender necessary intervals of space and time to evaluate difficult encounters.
Paul Ryan|I tend to like to read history - recent history, because I find that much more intriguing than just a writer's imagination.
Jentezen Franklin, Believe That You Can: Moving with Faith and Tenacity to the Dream God Has Given You|We need to send our words out in the direction we want them to go. In other words, we need to start talking victory when we’re staring at defeat. We need to start talking healing when we’re feeling sick. We need to start blessing and prosperity when we don’t have anything. We need to speak about marching when we feel like quitting.
Arthur C. Brooks|I spent three days a week for 10 years educating myself in the public library, and it's better than college. People should educate themselves - you can get a complete education for no money. At the end of 10 years, I had read every book in the library and I'd written a thousand stories.
Rob Thomas Jennifer Graham|it was more overwhelming if I’m honest, one minute I’m just talking to him and the next I’m flat on my back and he’s-”“He’s?” they both said in unison“He’s touching places, with his …”Eyeing them both I give them a look as my chest redden further, I really don’t want to have to say specifically.
Alija Izetbegović|If the international community is not ready to defend the principles which it itself has proclaimed as its foundations, let it say so openly, both to the people of Bosnia and to the people of the world. Let it proclaim a new code of behavior in which force will be the first and the last argument.
Gordon B. Hinckley|Russians aren't perfect. Their politics are messed up, and they keep going through self-defeating economic cycles. But I have a lot of respect for Russia, and a lot of love for Russians.
William Shakespeare, Macbeth|No, take more! What may be sworn by, both divine and human, Seal what I end withal! This double worship, Where [one] part does disdain with cause, the other Insult without all reason; where gentry, title, wisdom, Cannot conclude but by the yea and no Of general ignorance— it must omit Real necessities, and give way the while To unstable slightness. Purpose so barr’d, it follows Nothing is done to purpose. Therefore beseech you— You that will be less fearful than discreet; That love the fundamental part of state More than you doubt the change on’t; that prefer A noble life before a long, and wish To jump a body with a dangerous physic That’s sure of death without it— at once pluck out The multitudinous tongue; let them not lick The sweet which is their poison. Your dishonor Mangles true judgment, and bereaves the state Of that integrity which should become’t; Not having the power to do the good it would, For th’ ill which doth control’t.
Carl Jung|'Hope and change' has become a cliche in our nation, and it is daunting to think that any American could hope for change from what God has blessed.
Alek Wek|For those who have made the ultimate sacrifice, we are grateful that such men and women were among us. For those who continue to serve, we honor their commitment. For those who return to civilian life, we honor their service.
Lujan Matus, Shadows in the Twilight: Conversations with a Shaman|We must remember that the only true wealth we have is the freedom of another human, not their entrapment.
Kevin Hart|The superfluous, a very necessary thing.
Sándor Márai, Embers|England will still be England, an everlasting animal stretching into the future and the past, and, like all living things, having the power to change out of recognition and yet remain the same.
Suzanne Brockmann, Do or Die|As Ian looked at her, he felt something in his chest slip and shift. The pressure came with a blood-tingling rush of triumph and satisfaction, pride and a deeply burning sense of possessiveness. His inner caveman warrior had been awakened and wanted to rush around the room, peeing into the corners, marking it—and her—as his own, while shouting Mine! and randomly smashing things for emphasis.But he knew that was he was feeling was the equivalent of emotional and hormonal indigestion. He hadn’t done this in a long time. And he particularly hadn’t done it with a woman he liked as much as this one. In fact, he’d never had sex with anyone that he genuinely liked as much as he liked Phoebe.
Brian Clevinger, 8-Bit Theater|If we were to plot the distance between where you are RIGHT NOW and the nearest good idea, it would describe a line too big to fit inside the universe.
Matt de la Pena, We Were Here|But when you read books you almost feel like you're out there in the world. Like you're going on this adventure right with the main character. At least, that's the way I do it. It's actually not that bad. Even if it is mad nerdy.
Jewel|Tiger Woods was a month away from 34 years of age when his debutantes began turning up in the news. He was a grown man with a wife and two children. Well, we supposed he had a wife, but that was before we learned she was only an ornament.
Cassandra Clare, The Bane Chronicles|Even the girl he'd danced with had thought it was some marvelous trick. She had been enveloped in real, bright fire and she had tipped back her head and laughed, the tumble of her black hair becoming a crackling waterfall of light, the heels of her shoes striking sparks like glittering leaping dust all over the floor, her skirt trailing flame as if he were following a phoenix tail. Magnus had spun and swung with her, and she'd thought he was marvelous for a single moment of bright illusion. But, like love, fire didn't last.
Timothy J. Keller, Walking with God through Pain and Suffering|As I took up life as a minister, I tried to understand why so many people resisted and rejected God, I soon realized that perhaps that main reason was affliction and suffering. ...But at the same time, I learned that just as many people find God through affliction and suffering. They find that adversity moves them toward God rather than away. ...When pain and suffering come upon us, we finally see not only that we are not in control of our lives, but that we never were.
Elon Musk|The will to win, the desire to succeed, the urge to reach your full potential... these are the keys that will unlock the door to personal excellence.
Steve Maraboli|Beneath the water, I can know her. She was fierce, uncompromising. When she loved, she loved deeply, passionately. She loved the blue-eyed water god. She owned him. His heart.But then she felt betrayal, she hated, and she was feared.Hate gave her power.
Kemi Sogunle|Without living, there will be no learning. Without learning, there will be no growth. Without growth, there will be no change. The only way you learn is by trying. You may make mistakes but you have to remember that doing so will lead to change. Be willing to learn from experiences, grow and live to become better not bitter.
Hermoine Granger|They think I'm a waste of space, actually, but I'm used to—""I don't think you're a waste of space."If Harry had not seen Dudley's lips move, he might not have believed it. As it was, he stared at Dudley for several seconds before accepting that it must have been his cousin who had spoken; for one thing, Dudley had turned red. Harry was embarrassed and astonished himself.
Orhan Pamuk, My Name is Red|Books, which we mistake for consolation, only add depth to our sorrow. 
Pablo|Did you have a rough month? I did :( but, you know what? There’s no time to dwell on a missed opportunity or worry about what I should’ve done or said, beating myself up & making myself miserable about my mistakes. That doesn’t work. So will take notes from that, put it behind me, move on & finish the year STRONG
John Milton, The Complete Poems|The story of Eve and the serpent, and of Noah and his ark, drops to a level with the Arabian Tales, without the merit of being entertaining, and the account of men living to eight and nine hundred years becomes as fabulous as the immortality of the giants of the Mythology.
Friedrich A. Hayek, The Road to Serfdom|Given a choice between patterns of subsistence that are relatively unfavorable to the cultivator but which yield a greater return in manpower or grain to the state and those patterns that benefit the cultivator but deprive the state, the ruler will choose the former every time. The ruler, then, maximizes the state-accessible product, if necessary, at the expense of the overall wealth of the realm and its subjects.
Anthon St. Maarten, Divine Living: The Essential Guide To Your True Destiny|Intuition goes before you, showing you the way. Emotion follows behind, to let you know when you go astray. Listen to your inner voice. It is the calling of your spiritual GPS system seeking to keep you on track towards your true destiny.
Adlai E. Stevenson|The more frightening and sort of dark and oppressive a movie is, the more free you are to explore the supernatural and explore faith. The two just somehow go hand-in-hand really nicely.
James Hudson Taylor|A man on a mission would bring his heaviest artillery, and it looked like this guy hadn’t even packed a pocket knife.
Jodi Picoult, Salem Falls|every now and then, i worry about people in the third world countries. and then i figure if they all started having sex, their lives would be considerably brighter.
George Eldon Ladd, A Theology of the New Testament|Jesus’ message of the Kingdom of God is the announcement by word and deed that God is acting and manifesting dynamically his redemptive will in history. God is seeking out sinners; he is inviting them to enter into the messianic blessing; he is demanding of them a favorable response to his gracious offer. God has again spoken. A new prophet has appeared, indeed one who is more than a prophet, one who bring to people the very blessings he promises.
Santosh Kalwar, Quote Me Everyday|See mirror, every time you will miss me and look deeper into your eyes till you will find me.
Stasi Eldredge, Captivating: Unveiling the Mystery of a Woman's Soul|We desire to possess a beauty that is worth pursuing, worth fighting for, a beauty that is core to who we truly are. We want beauty that can be seen; beauty that can be felt; beauty that affects others; a beauty all our own to unveil.
David Byrne|There's a certain amount of freedom involved in cycling: you're self-propelled and decide exactly where to go. If you see something that catches your eye to the left, you can veer off there, which isn't so easy in a car, and you can't cover as much ground walking.
Pierce Brown, Golden Son|I didn't mind that it was always about you, Darrow. That was what burned Tactus, but not me. I'm not in love with you like Mustang. I don't worship you like Sevro or the Howlers. I was a true friend. I was someone who saw your light and your dark and accepted both without judgement, without agenda...
Virginia Woolf, To the Lighthouse|Normally, it takes people about 60 to 90 minutes to reach REM sleep, so they wouldn’t enter this stage during a 20 minute nap. People with narcolepsy often enter REM sleep soon after falling asleep. If a person enters REM sleep in two or more of the five naps in eight minutes or less during the study, it’s highly suggestive of narcolepsy.
Michel Tournier, The Ogre|One understands then why woman has no sexual parts, properly speaking. It is because she is herself a sexual part - a sexual part of man, to cumbersome for him to carry around permanently and therefore deposited outside himself for most of the time and taken up when needed. Moreover the quality that distinguishes man from animals is this very power of equipping himself at any moment with an instrument, tool or arm that he needs, but that he can get rid of straight away, whereas the lobster has to drag his two pincers about with him everywhere. And just as mans hand is a sort of grappling hook that enables him to grasp a hammer, sword or fountain pen according to his needs, so his sex is the sort of grappling hook of the sexual parts rather than the sexual part itslef.
Joanna Faber, How to Talk so Little Kids Will Listen: A Survival Guide to Life with Children Ages 2-7|Instead of feeling an urge to fix the problem or make amends, punishment prompts a child to think selfishly. What television shows will she be forced to miss? What dessert will she have to give up? She’s likely to be filled with resentment instead of remorse.
Nikola Tesla|When Time is spent, Eternity begins.
Jacqueline Cochran|Creation destroys as it goes, throws down one tree for the rise of another. But ideal mankind would abolish death, multiply itself million upon million, rear up city upon city, save every parasite alive, until the accumulation of mere existence is swollen to a horror.
Samantha Chase, Wildest Dreams|We'll have all night for slow and sweet," she said softly. "But right now, I really want that hard and fast you mentioned earlier.
Philippe Cousteau, Jr.|Dad wouldn't let me fool with his guitar much, because I'm left-handed, and I'd pick it up upside down. But I remember learning to sing 'Paper Doll,' the Mills Brothers song - this was during the war - and I remember my dad taking me down to one of those little record booths where you could make spoken letters to send home.
Rachel Ward, Numbers|My best day ever. Got up. Had breakfast. Came to school. Bored, as usual. Wishing I wasn't there, like usual. Kids ignoring me, suits me fine. Sitting with the other retards—we’re so special. Wasting my time. Yesterday was the same, and it's gone, anyway. Tomorrow may never come. There is only today. This is the best day and the worst day. Actually it's crap.
Jan Ingenhousz, Experiments upon vegetables|I observed that plants not only have a faculty to correct bad air in six to ten days, by growing in it...but that they perform this important office in a complete manner in a few hours; that this wonderful operation is by no means owing to the vegetation of the plant, but to the influence of light of the sun upon the plant.
Alexander McQueen|She was wearing a sleeveless top that held her breasts in the most marvelous way, the balance between what it revealed and what it left to the imagination as poetic as a Shakespearean sonnet.
Marilynne Robinson|When you encounter another person, when you have dealings with anyone at all, it is as if a question is being put to you. So you must think, What is the Lord asking of me in this moment, in this situation? ... This is an emissary sent from the Lord, and some benefit is intended for me, first of all the occasion to demonstrate my faithfulness, the chance to show that I do in some small degree participate in the grace that saved me, you are free to act otherwise than as circumstances would seem to dictate.
Lailah Gifty Akita|In the end, we live to serve the Saviour, who liberates us.
Andy Andrews, The Noticer: Sometimes, All a Person Needs Is a Little Perspective|Instead of waiting for the right moment, BE the right moment. You won't be ready for anything if you aren't ready to be you.
Marilyn Johnson, This Book Is Overdue!: How Librarians and Cybrarians Can Save Us All|We have all sorts of conditions of booksellers: one is fanatic on the subject of libraries. He thinks that every public library should be dynamited. Another thinks that moving pictures will destroy the book trade. What rot! Surely everything that arouses people's minds, that makes them alert and questing, increases their appetite for books. - Roger Mifflin
Edgar Allan Poe, The Murders in the Rue Morgue|Thinking outside the box' is ridiculous nonsense, since whatever you can do in a 'box' or closed environment is not 'thinking'. If I 'think' about a problem but limit my thoughts to certain dimensions - then i am not thinking at all, because thinking implies that one at least tries to take all relevant factors into consideration, and as there's usually no way to tell which factors are and which are not relevant restricted thought is not 'thinking' and so 'thinking outside the box' is simply a eufemism for 'let's start to think', but the metafor implies a hidden desire to return to conformity immediately.
Ida Løkås, Det fine som flyter forbi|I was learning that when you're with someone who is dying, you may need to celebrate the past, live the present, and mourn the future all at the same time.
C.G. Jung|The psyche’s attachment to the brain, i.e., its space-time limitation, is no longer as self-evident and incontrovertible as we have hitherto been led to believe. … It is not only permissible to doubt the absolute validity of space-time perception; it is, in view of the available facts, even imperative to do so.
Tobias Wolff|So in my uncertainty, I went to graduate school and there it all happened.
James Hilton, Lost Horizon|Lost, so small amid that dark, hands grown cold, body image fading down corridors of television sky.
W. Bruce Cameron|The challenging part of parenting for me is to make sure that an individual person is an individual and not some sort of cookie-cutter version of me. At the same time, I want to make sure that I impart my sense of the world as an adult.
Elon Musk|You know, from age 17 on, my paycheck was coming from cooking and working in kitchens.
Barbara Bradley Hagerty, Life Reimagined: The Science, Art, and Opportunity of Midlife|Your thoughts and attitudes today chart your destiny tomorrow, and the day after that, and the day after that.
Kirstie Alley|My aunt is the director of the acapella group Black Voices. I was so struck by them as a child. They sang with such passion and conviction. By the time I turned 15, I had plucked up the courage to ask if I could join the group. Acapella is a different discipline from singing with an accompaniment - it is much more exposed.
Kelly Creagh, Nevermore|They meet in the girls' bathroom. The last time they were forced to meet in a place like this, they took separate, isolated stalls. Now they share one. They hold each other in the tight space, making no excuses for it. There's no time left in their lives for games, or for awkwardness, or for pretending they don't care about each others, and so they kiss as if they've done it forever. As if it is as crucial as the need for oxygen.
Anthony Liccione|Money makes a monster of a man, that makes money his master.
William Barrett, Irrational Man: A Study in Existential Philosophy|The more severely he struggles to hold on to the primal face-to-face relation with God, the more tenuous this becomes, until in the end the relation to God Himself threatens to become a relation to Nothingness.
Lisa Murkowski|We must recognize that as the dominant power in the world we have a special responsibility. In addition to protecting our national interests, we must take the leadership in protecting the common interests of humanity.
Julian Barnes, The Noise of Time|Art is the whisper of history, heard above the noise of time. Art does not exist for art's sake: it exists for people's sake.
Derek Blasberg|So as I look at transitioning to the communication platforms of the future, I see that the beauty of Internet protocols is you get the separation of the layers between service and technology.
Adam Levine|Remember, you and you alone are responsible for maintaining your energy. Give up blaming, complaining and excuse making, and keep taking action in the direction of your goals - however mundane or lofty they may be.
John Byrne, The Fantastic Four: The Trial of Galactus|Who are we to make such a decision? To allow another living being - any living being - to die, when ours is the power to prevent it? - Reed Richards (Mister Fantastic)
Daniel Handler|Boxing, for me, it's the beginning of all sports. I'm willing to bet that the first sport was a man against another man in a fight, so I think that's something innate in all of us.
Barack Obama|Tolerance says I am just going to stomach your right to be different. That if you disappear from the face of the earth, I am no better or worse off. But love - love knows that every American has worth and value, no matter what their background, race, religion, or sexual orientation.
N. Kazantzakis|The human heart is a dark, unyielding mystery. It is a perforated jug with a mouth forever open; though all rivers of the earth pour in, it will remain empty and thirsting. The greatest of hopes had not filled it. Would it be filled now by the greatest of despairs? (Report to Greco)
Billy Graham, Billy Graham in Quotes|Conscience tells us in our innermost being of the presence of God and of the moral difference between good and evil; but this is a fragmentary message, in no way as distinct and comprehensive as the lessons of the Bible.
Robin Bielman, Take a Risk Bundle|Still following the rules, huh?" He grabbed his shift off the back of the kitchen chair and pulled it on."Still breaking them?" she fired back.
Werley Nortreus|You're sad? I'll cheer you up. You're upset? I'd love to listen. All you have to do is come to me, you know I'll be there for you.
