Thomas Huxley|I'm not broke. Like everybody else, I owe money.
Trix Wilkins, The Courtship of Jo March: a variation of Louisa May Alcott's Little Women|There are no words that can be said to justify the beauty of a bride walking down the aisle in anticipation of sharing the rest of her life with the man she esteems and loves the most, nor of the look on that man’s face, when he beholds the one who will be entrusting her life to him to protect and her heart for him to love. All that can be said is that all who witnessed it found themselves overwhelmed with the joy that comes with seeing that one moment when all feels and is as it should be.
Confucius|If you make a mistake and do not correct it, this is called a mistake.
Andy Quan, The Lost Library: Gay Fiction Rediscovered|Stories, like conjuring tricks, are invented because history is inadequate for our dreams.
A.E. Samaan|Trade protection accumulates upon a single point the good which it effects, while the evil inflicted is infused throughout the mass. The one strikes the eye at a first glance, while the other becomes perceptible only to close investigation.
Action Bronson|Grown men can learn from very little children for the hearts of little children are pure. Therefore, the Great Spirit may show to them many things which older people miss.
Ljupka Cvetanova, The New Land|While the truth is putting on its shoes, the lie becomes a president!
Dillon Burroughs, Faith Acts: A Provocative Call to Live What You Believe|God does give times of peace in our Christian lives, but it is not all of the time.
Catherynne M. Valente, In the Night Garden|It’s one thing if a person learns you’re a witch. It’s quite another if he learns you’re a murderer. I almost forget I’m a witch now that I know I’m a murderer—murderess, actually. Murderess sounds so much worse.
Adam Johnson, The Orphan Master's Son|Love could be immortalized. It could be remembered and written forever into the world, inscribed on some inanimate object. It could be wonderful words given by a loved one, or simple letters combined to show an unbroken bond." Alexis from "The Shoreline
Anne Giardini, The Sad Truth About Happiness|It doesn't sound so far-fetched, right? When two people love each other? While a part of me still wants to believe it's possible, I know it's not going to happen
Ernest Agyemang Yeboah|If only you want the best, do it till you get the best though all see is the worst! Don't ever give up on the rest, and rest; time changes!
Niccolò Machiavelli, The Prince|He listened to their opinions, stated his own, and supported them with reasons; and from his being constantly occupied with such meditations, it resulted, that when in command no complication could ever present itself with which he was not prepared to deal.
Peter O'Donnell|On the whole I try to keep Modesty and Willie in timeless settings, which is why I avoid all the latest slang and in-words. It won't be long before 'brill' sounds as dated as 'super' does now. [Uncle Happy, 1990]
Peter S. Beagle, The Last Unicorn|Unicorns are immortal. It is their nature to live alone in one place: usually a forest where there is a pool clear enough for them to see themselves-for they are a little vain, knowing themselves to be the most beautiful creatures in all the world, and magic besides. They mate very rarely, and no place is more enchanted than one where a unicorn has been born. The last time she had seen another unicorn the young virgins who still came seeking her now and then had called to her in a different tongue; but then, she had no idea of months and years and centuries, or even of seasons. It was always spring in her forest, because she lived there, and she wandered all day among the great beech trees, keeping watch over the animals that lived in the ground and under bushes, in nests and caves, earths and treetops. Generation after generation, wolves and rabbits alike, they hunted and loved and had children and died, and as the unicorn did none of these things, she never grew tired of watching them.
Tim Hiller, Strive: Life is Short, Pursue What Matters|Without pain, how would we know what true joy feels like?
M.F. Moonzajer|What a face this girl possessed!—could I not gaze at it every day I would need to recreate it through painting, sculpture, or fatherhood until a second such face is born.
Debasish Mridha|The best Morning Prayer for endless peace would be, “Today I will forgive everyone for their mistakes. Today I will love everyone without judging them. Today I will be kind to everyone even if they do not deserve it. Today I will be a fountain of peace to create waves of joy around me.
Billy Marshall Stoneking|He said that I have to remember that even though I've changed a lot in here, I'm going back to a world that hasn't changed
Angela Carter|Why come back to this empty house, and this Manila with a strange face; the one I never knew? All those lonely islands. They will keep afloat without me.
David Attenborough|There's no question that as science, knowledge and technology advance, that we will attempt to do more significant things. And there's no question that we will always have to temper those things with ethics.
Tracy Sumner|Watching him, his hands buried in his pockets—to keep from circling her neck she supposed—she couldn't help but marvel at the curious mix of Southern courtesy and male arrogance, the natural assumption he shouldered of being lawfully in control. "Engaging in a moral battle isn't always hazardous to one's health, you know.""Doesn't look like it's doing wonders for yours.""Saints be praised, it can actually be rewarding."Looking over his shoulder, he halted in the middle of the room. "Irish.""I beg your pardon?""You. Irish. The green eyes, the tiny bit of red in your hair. Is Connor your real name?""Yes, why..." she said, stammering. Bloody hell. "Of course.""Liar."She felt the slow, hot roll of color cross her cheeks. "What could that possibly have to do with anything?""I don't know, but I have a feeling it means something. It's the first I've heard come out of that sassy mouth of yours that didn't sound like some damned speech." He tapped his head, starting to pace again. "What I wonder is, where are you in there?
Lisa Firestone, The Self Under Siege: A Therapeutic Model for Differentiation|To the extent that we retain the critical attitudes and destructive elements we have incorporated into our own personalities, we remain undifferentiated from our parents throughout our lifetime.
Toni Sorenson|When you’re rearranging the furniture to make way for the decorations and the tree, make sure you rearrange your heart to make room for the Savior of Mankind.
Brooke Shields|Admitting failure is quite cleansing, but never - pleasurable.
Wendy Vanderwal-Gritter, Generous Spaciousness: Responding to Gay Christians in the Church|One retired pastor, who felt that he was being called to write a book about homosexuality, interviewed me. He said he wanted his book to be pastorally compassionate toward gay people while exhorting the church to remain firm in holding to a traditional, biblical sexual ethic. He said, "You have to be careful to not love people too much. Loving people changes you." Indeed, loving people does change you. Loving people who are different than you changes you. But it seems to me that such change is consistent with the call of Christ. Allowing your heart to enter the beauty and brokenness of another's life (which really isn't so different from your own), to hear hopes and dreams and disappointments, fears and hurts and joys does change you. One ought not be afraid of that.
Munindra Misra, Eddies of Life|2. Humanity & Peace - 2.09 THE NUCLEAR QUESTIONAny act against the constitution,Must be declared to be but void,But atomic acts against humanity,Are the strength to be but tried.[22]	- 2The future of any of the countries,Does lie way above its people,And the future of humanity -On numerous BOMBS so ample.[23]	- 2
Israelmore Ayivor, The Great Hand Book of Quotes|Whenever you feel a little stricken down in pain, think about this. The knife has to be sharpened by striking and rubbing it against something strong before it can become useful! You are going to be great after the struggles.
Alberto Caeiro, The Collected Poems of Alberto Caeiro|She’s a manner of speaking.Even the flowers don’t come back, or the green leaves.There are new flowers, new green leaves.There are other beautiful days.Nothing comes back, nothing repeats itself, because everything is real.
Laurell K. Hamilton, Circus of the Damned|Can the sarcasm,' he said. 'Please, I always use fresh sarcasm, never canned.
Andrew Crumey, The Secret Knowledge|We are the unknown, he says, and you will join us.
Bob Beckel|There is a huge difference between gathering intelligence in foreign countries, even our allies, and secretly getting information on U.S. citizens.
Debasish Mridha|As a bird has the right to sing, so shall every human being have the right to think and express thoughts.
Thomas Jefferson, Letters of Thomas Jefferson|If once the people become inattentive to the public affairs, you and I, and Congress and Assemblies, Judges and Governors, shall all become wolves. It seems to be the law of our general nature, in spite of individual exceptions.
Rich Shapero, Too Far|-just on the verge ofbecoming a woman, and in these three years and almost five months, I'dreached maturity. I was older than the mountains outside. The wisdomof the attic was in my bones, etched on my brain, part of my flesh.
Robin Caldwell, When Women Become Business Owners|Cut the crap! I don’t care how many hours you work, I care how much work you do in those hours.
Krystal Sutherland, Our Chemical Hearts|Lola and I both highly believed in the value of metaphorical gifts, so while everyone else saw a demonic-looking cat skeleton dripping wax on the packaging, Lola saw the message: Our friendship is like this feline shaped candle - burn away all the shit, and you and me are still solid underneath. Always.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|I was raised in an era when part of respecting your elders was to call them by Mr. or Mrs. When my children were growing up, an occasional child would call me Susan. It was jarring, felt disrespectful, and I did not like it. We reached a mutual agreement and their friends began calling me Ms. Susan. Perhaps this is more prevalent in the South, however, your awareness and consideration can help prevent social missteps.
Arthur Conan Doyle, The Sign of Four|No: I am not tired. I have a curious constitution. I never remember feeling tired by work, though idleness exhausts me completely." ~ Sherlock Holmes
James A. Murphy, The Waves of Life Quotes and Daily Meditations|If you’re not doing what you want to do. However, you still think about it every day. This means you have not given up. Only you know what action will make it happen and thought is an action. Keep focusing on what you want to do and figure out how to turn your thoughts into reality…
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|You were born on a certain day, in a certain place, and on a certain time. God has a plan for you.
Future|If I'm the biggest artist in the world, cool, but I want to just be me.
Michael Moorcock|There is not a more powerful weapon upon this earth capable of inflicting more damage, pain and suffering than a betrayal of the heart.
Lemony Snicket, The Reptile Room|My name is Cammie!” I didn’t think about all the people I could have woken, all the alarms that might have gone off. I just snapped, “How did you know about Boston? Why are you working with Mr. Solomon now? Are you my friend or are you my enemy, Zach? Or, wait, let me guess, you can’t tell me.
V.E. Schwab|If you want a better answer, krasivyy, ask a better question. - Koldan Vasin
Casey Stengel|Well, the future for me is already a thing of the past.
Israelmore Ayivor, Daily Drive 365|Any blunder committed in the past opens the avenue for the success of the future. However, the success of the future massively is fueled by the how positively the mistakes of the past are handled!
Ryan Lilly|Personally, I like to imagine the Godhead dancing it a rhythm of its own, something even grander than a waltz, touching, tasting, smelling, seeing, and hearing, creating wonder after wonder, and when it's finished, looking upon the handiwork and saying, "This is great!
Anonymous, The Dhammapada|Research suggests that people are typically unaware of the reasons why they are doing what they are doing, but when asked for a reason, they readily supply one.
Erwin Panofsky, Meaning in the Visual Arts|These two developments throw light on what is perhaps the most fundamental difference between the Renaissance and all previous periods of art. We have repeatedly seen that there were these circumstances which could compel the artist to make a distinction between the "technical" proportions and the "objective;" the influence of organic movement, the influence of perspective foreshortening, and the regard for the visual impression of the beholder. These three factors of variation have one thing in common: they all presuppose the artistic recognition of subjectivity. Organic movement introduces into the calculus of artistic composition the subjective will and the subjective emotions of the thing represented; foreshortening the subjective visual experience of the artist; and those "eurhythmic" adjustments which alter that which is right in favor of what seems right, the subjective visual experience of a potential beholder. And it is the Renaissance which, for the first time, not only affirms but formally legitimizes and rationalizes these three forms of subjectivity.
Temitayo Olami|What do you see when you look in the mirror? I hope it goes beyond beauty. I hope what you see is that person who's worth it and deserves nothing less than the best, I hope that you see beyond the pain, I hope that you see the glory ahead of you, I hope that you see the strong woman who doesn't break to fail, but breaks to stand the tallest and I hope that you'll always remember that you need to love the person in the mirror first to make a change
Peter Heller, The Dog Stars|There is a pain you can’t think your way out of. You can’t talk it away. If there was someone to talk to. You can walk. One foot the other foot. Breathe in breathe out. Drink from the stream. Piss. Eat the venison strips. And. You can’t metabolize the loss. It is in the cells of your face, your chest, behind the eyes, in the twists of the gut. Muscles, sinew, bone. It is all of you. When you walk you propel it forward. When you let the sled and sit on a fallen log and. You imagine him curling in the one patch of sun maybe lying over your feet. Then it sits with you, the Pain puts its arm over your shoulders. It is your closest friend. Steadfast. And at night you can’t bear to hear your own breath unaccompanied by another and underneath the big stillness like a score is the roaring of the cataract of everything being and being torn away. Then. The Pain is lying beside your side, close. Does not bother you with sound even of breathing.
Salman Rushdie|When I was a boy, I would ask about my family history, about my bloodlines. We really didn't know that much. We had a little Indian in us from the Oklahoma Trail of Tears.
Dada Bhagwan|How long does the experience of pleasure or pain stay with you? For as long as there is weakness within. Then, further ahead they will not be there. There, one remains the ‘Knower’ of experience of pleasure and pain.
Stephen Hawking|Cecile was teaching in Berkeley and I was [at Livermore]. He probably had, could have had, some influence on Teller, [for] Teller was quite generous in allowing me one whole semester off to be at Berkeley to work on something and also a semester off at the Institute for Advanced Study. Then I won the Gravity Research Foundation first prize.
Scott Lynch, The Lies of Locke Lamora|Advice," Doña Vorchenza chuckled. "Advice. The years play a sort of alchemical trick, transmuting one's mutterings to a state of respectability. Give advice at forty and you're a nag. Give it at seventy and you're a sage.
Charles Baudelaire|Poetry fettered, fetters the human race. Nations are destroyed or flourish in proportion as their poetry, painting, and music are destroyed or flourish.
Steven Magee|If your government keep making big mistakes and in return you keep supporting your government, then you are the biggest mistake for your country!
Christopher Hitchens|It is always difficult to make the transition to a modern world. I moved from the world of faith to the world of reason - from the world of excision and forced marriage to the world of secual emancipation. Having made that journey, I know that one of those worlds is simply better than the other. Not because of its flashy gadgets, but fundamentally, because of its values. The message of this book, if it must have a message, is that we in the West would be wrong to prolong the pain of that transition unnecessarily, by elevating cultures full of bigotry and hatred toward women to the stature of respectable alternative ways of life.
Sharan Newman, The Devil's Door|A piece of advice his father had given him surfaced in Edgar's mind. Sometimes, he had said, it's better just to keep quiet and think with your heart.
Aristotle|Old wood best to burn, old wine to drink, old friends to trust, and old authors to read.
John Christopher, The Sword of the Spirits|A man faced death, but when death drew back forgot it until the next time.
Alan J. Heeger|Maybe that's the whole teen oeuvre, you know covering people in disgusting bodily fluids and whatnot.
James Patterson, Nevermore|If I was an eccentric old spinster in a Merchant Ivory movie, I'd want to share my lovely cottage with Holly and that's the truth. I'd do the cooking and leave the decorating to her, and we'd be inseparable.
Martin Rees|The sad fact is that spending rises every year, no matter what people want or say they want.
Pooja Hegde|I have written a memoir here and there, and that takes its own form of selfishness and courage. However, generally speaking, I have no interest in writing about my own life or intruding in the privacy of those around me.
Peter Kreeft, Prayer: The Great Conversation: Straight Answers to Tough Questions about Prayer|Praying anywhere" can easily become "praying nowhere", just as "praying anytime" can easily become "praying at no time". Everything in general becomes nothing in particular".
Will Rogers|Too many people spend money they haven't earned, to buy things they don't want, to impress people that they don't like.
Brian Eno|To love God with all your heart, soul, mind, and strength is all-consuming and all-encompassing. It is no lukewarm endeavor.
Henry Wadsworth Longfellow, Kavanagh|I have often felt that when an Atheist asks "Where is your God?" it means even he has an innermost desire to see 'The One' whom he has been rejecting all his life and when an unbeliever asks "Where is your God?" it means he is fed-up with the hand crafted God he has been meaninglessly serving all his life and in his heart even he wants to see the wonder working true living God in all His glory.
Cruce Stark|Be the character you want to be described as!(In a good way, of course!)
Napoleon Bonaparte|Trees bear fruits only to be eaten by others; the fields grown grains, but they are consumed by the world. Cows give milk, but she doesn't drink it herself - that is left to others. Clouds send rain only to quench the parched earth. In such giving, there is little space for selfishness.
Kakuzō Okakura, The Book of Tea|I had to make a large number of changes to clear Electromagnetic Hypersensitivity (EHS) up, it took years to figure it out. I kept on making change after change until one day I realized that EHS was no longer present.
Naveen Jain|Already from your own cells scientists can grow skin, cartilage, noses, blood vessels, bladders and windpipes. In the future, scientists will grow more complex organs, like livers and kidneys. The phrase 'organ failure' will disappear.
Barry White|Babies don't need fathers, but mothers do. Someone who is taking care of a baby needs to be taken care of.
Edmund A. Opitz, The Libertarian Theology of Freedom|Tom Paine generally took a critical stance when dealing with religion and the church, but in 1775, in an essay entitled, "Thoughts on Defensive War" he wrote as follows: "In the barbarous ages of the world, men in genernal had no liberty. the strong governed the weak a will; till the coming of Christ there was no sucht thing as political freedom in any part of the world... The Romans held the world in slavery and were themselves slaves of their emperors... Wherefore political as well as spiritual freedom is the gift of God through Christ
John Adams|Someone who has experienced trauma also has gifts to offer all of us - in their depth, their knowledge of our universal vulnerability, and their experience of the power of compassion.
Robert Morgan|Teaching writing over the years intrudes on your own writing in important ways, taking away some of the excitement of poetry.
Ann Brasco|Rather than idolizing perfection, we must choose to cherish what is real. To truly live is to love deeply, to get messy, to sometimes get hurt, and to stumble and fall. It is worth it. The alternative of living a life barren of these things in the pursuit of perfection would be tragically uninteresting.
Kelle Groom, I Wore the Ocean in the Shape of a Girl|No one has ever held me so tightly. It's a shock to matter this much. It isn't like arms are around me, it's more like a house, as if he has made a house around me. As he did around Tommy.
John Cena|I don't think we've got much of a chance to tell you the truth. But our main problem is our audience skews a little older than most shows, and I don't think our people can stay up that late. I certainly can't.
Ron Howard|Man is such an amazing animal, and the possibilities are infinite for each person.
A.E. Housman|Epitaph on an Army of Mercenaries These, in the day when heaven was falling, The hour when earth's foundations fled,Followed their mercenary callingAnd took their wages and are dead. Their shoulders held the sky suspended;They stood, and earth's foundations stay;What God abandoned, these defended,And saved the sum of things for pay.
Christopher Moore, You Suck|So I'm all, "Owned! Bee-yatch! Dog fucking owned you!" Doing a minor booty dance of ownage, perhaps, in retrospect, a bit prematurely. (I believe hip-hop to be the apprpriate language for taunting, at least until I learn French.)
Jonathan Guarino|I don't know where I am- somewhere between heaven and hell, a place of utter terror and endless confusion.
Roy Blount Jr., Where Books Fall Open: A Reader's Anthology of Wit & Passion|Summer flings always seemed amazing in movies, though that might be because the leading man did not ever call his romantic interest "dude.
Julia Cameron, The Prosperous Heart|Procrastination is not Laziness", I tell him. "It is fear. Call it by its right name, and forgive yourself.
Henry Ford|The job market of the future will consist of those jobs that robots cannot perform. Our blue-collar work is pattern recognition, making sense of what you see. Gardeners will still have jobs because every garden is different. The same goes for construction workers. The losers are white-collar workers, low-level accountants, brokers, and agents.
Kate McGahan, JACK McAFGHAN: Reflections on Life with My Master|You think the final act of love is setting them free to Rainbow Bridge? That is not the final act of love. The final act of love is releasing them from your leash of grief so they can be free in the heaven on the other side of the Bridge. Until you resolve your grief, you bind them to you in the land between Heaven and Earth while they wait, suspended between the worlds, for you to heal. When you are free of your grief, they are free of your grief.
Robert T. Kiyosaki, Rich Dad, Poor Dad|Emotions are what make us human. Make us real. The word 'emotion' stands for energy in motion. Be truthful about your emotions, and use your mind and emotions in your favor, not against yourself.
Lailah Gifty Akita, Think Great: Be Great!|Passion, patient, perseverance and persistent are four keys to great achievements.
Kate Jacobs|I sometimes think we expect too much of Christmas Day. We try to crowd into it the long arrears of kindliness and humanity of the whole year. As for me, I like to take my Christmas a little at a time, all through the year. And thus I drift along into the holidays - let them overtake me unexpectedly - waking up some find morning and suddenly saying to myself: 'Why, this is Christmas Day!
Terry Pratchett, Monstrous Regiment|Then, aided by the booze, like a fool I tossed off one of those throwaway lines that would have been better thrown away. "Ah, Frank! I thought you were going to be down here fucking Lana.
Kurt Cobain|Religious freedom opens a door for Americans that is closed to too many others around the world. But whether we walk through that door, and what we do with our lives after we do, is up to us.
Anthony Liccione|For us to change history, we first need to change the future.
Naomi Judd|If you want to do really important things in life and big things in life, you can't do anything by yourself. And your best teams are your friends and your siblings.
Thomas Szasz|I take it that the good of mankind means the attainment, by every man, of all the happiness which he can enjoy without diminishing the happiness of his fellow men.
Maggie Stiefvater, The Raven Boys|There was nothing particularly intimate about the way they sat, but something about the scene made Gansey feel strange, like he’d heard an unpleasant statement and later forgotten everything about the words but the way they had made him feel.
Alija Izetbegović|Yasunari Kawabata, the Japanese Nobel Prize winner for literature in 1968, committed suicide in 1971. Two years earlier, in 1969, another great Japanese novelist, Yukio Mishima, ended his life in the same way. Since 1895 ,thirteen Japanese novelists and writers have committed suicide, including the author of the Rashomon, Ryunosuko Akutagawa, in 1927. That "continuous tragedy" of Japanese culture during 70 years coincides with the penetration of Western civilization and materialistic ideas into the traditional culture of Japan. Whatever it be, for the poets and the writers of tragedies, civilization will always have an inhuman face and be a threat to humanity. A year before his death, Kawabata wrote "men are separated from each other by a concrete wall that obstructs any circulation of love. Nature is smothered in the name of progress." In the novel The Snow Country, published in 1937 , Kawabata places man's loneliness and alienation in the modern world at the very focus of his reflections.
Cecil Baldwin|I'm not abnegation, I'm not dauntless, I am Divergent
Lailah Gifty Akita|When you love someone, you can just live without it. You desire to connect and communicate.
Valencia Mackie|Never give advice unless you have walked the walk, because anybody can talk the talk.
|If you want to drive your passion to the territory of greatness, you must limit your time and energy with people who don't respect or understand the importance and power of having a strong passion in something.
Marianne Faithfull|Real heroes are those who face death for a principle - say, to save the lives of others - without any promise of reward.
Robert Louis Stevenson, A Christmas Sermon|To be honest, to be kind - to earn a little and to spend a little less, to make upon the whole a family happier for his presence, to renounce when that shall be necessary and not be embittered, to keep a few friends but these without capitulation - above all, on the same grim condition, to keep friends with himself - here is a task for all that a man has of fortitude and delicacy. He has an ambitious soul who would ask more; he has a hopeful spirit who should look in such an enterprise to be successful.
James C. Crumbaugh, Logotherapy: New Help for Problem Drinkers|But in actuality, the assumption that there is no freedom leads to the exact opposite of order in human behavior. If we all really felt we were not free to make our own choices of how to face and deal with the conditions set for us by heredity and environment, we would also feel no responsibility for our behavior. And we would be right. We couldn’t be blamed for action over which we had no control, so we would make no real effort to act responsibly. We would give free rein to our passions on the grounds that whatever we did was part of the cause-and-effect sequence of events preordained by the conditions. Instead of orderly human conduct, there would be chaos. In fact, much of the irresponsible antisocial behavior that characterizes our modern society stems from the fact that many people have studied or otherwise absorbed this scientific doctrine of determinism. As a result, they have unconsciously excused their own behavior as well as that of others on the grounds that it is determined by factors beyond control.
Neal Stephenson|Until a man is twenty-five, he still thinks, every so often, that under the right circumstances he could be the baddest motherfucker in the world. If I moved to a martial-arts monastery in China and studied real hard for ten years. If my family was wiped out by Colombian drug dealers and I swore myself to revenge. If I got a fatal disease, had one year to live, and devoted it to wiping out street crime. If I just dropped out and devoted my life to being bad.
Matshona Dhliwayo|Alone a candle can only light a room, but in thousands they can even light a city.
Sharon Salzberg, Real Love: The Art of Mindful Connection|What would I have wanted to say if I had had the opportunity to see him one more time? I would like to think that I would have kept it simple and said, “I love you,” then just held his hand in silence, letting that thought linger in the space of the time we had left together.
Corbin Bernsen|Natural gas obviously brings with it a number of quality-of-life environmental benefits because it is a relatively clean-burning fuel. It has a CO2 footprint, but it has no particulates. It has none of the other emissions elements that are of concern to public health that other forms of power-generation fuels do have: coal, fuel oil, others.
Yossi Ghinsberg, Jungle: A Harrowing True Story of Survival|Most of us spend all our working life dreaming of doing nothing, then when we end up doing nothing, we long for something. When we have neither longing, I think that is what they call living for the moment.
Jeffrey Fry|Do only work that matters, and you will end up pleasing those who are important enough to care about it.
B. B. King|I grew up around salsa, merengue, bachata, bass music, freestyle, hip-hop, techno, house, rave.
Cokie Roberts|I think it's a lovely idea, but it will not pass the Congress. I live in a world of realities. The policy of our country is that we can drill our way to independence. I think that's a march to folly.
Denis Diderot|Give someone who has faith in you a placebo and call it a hair growing pill, anti-nausea pill or whatever, and you will be amazed at how many respond to your therapy.
J.A. Redmerski, The Edge of Never|Best friends, no matter what they do or how much they hurt you, it only hurts as much as it does because they are your best friend. And none of us are perfect. Mistakes were made for best friends to forgive; it’s what makes being a best friend official.
Minae Mizumura, The Fall of Language in the Age of English|Writers are writing in every corner of the globe.Writers are writing, moreover, in rich countries and poor countries alike.
James Alexander Thom, The Art and Craft of Writing Historical Fiction: Researching and Writing Historical Fiction|The schoolroom . . . Olivia had always adored its confines and endless horizons. The melodious purr of the teacher's voice rising up and down her lessons like a musical score. And the sight of book spines--black, blue, green--lined up side by side like London townhouses. Each leather rectangle a gift waiting to be opened and explored and savored.
Herbert Hoover|And it’s all my fault, Gale. Because of what I did in the arena. If I had just killed myself with those berries, none of this would’ve happened. Peeta could have come home and lived, and everyone else would have been safe, too.”“Safe to do what?” he says in a gentler tone. “Starve? Work like slaves? Send their kids to the reaping? You haven’t hurt people – you’ve given them an opportunity. They just have to be brave enough to take it.
Tiffany Reisz, The Night Mark|Hope is something God gives us. Hope is...Hope is a bright light on a dark night. If your hope is guiding you into this shore, then this is where you should drop your anchor.
Debasish Mridha|Music is the sweetest language for hearts, kindest prayer for souls, peaceful breeze for minds, and a magical sail for imaginations.
Emery Lee, The Highest Stakes|To those who have fought for it, freedom has a flavor that the protected will never know.
Ben Lerner|All I ask the haters--and I, too, am one--is that they strive to perfect their contempt, even consider bringing it to bear on poems, where it will be deepened, not dispelled, and where, by creating a place for possibility and present absences (like unheard melodies), it might come to resemble love.
Dan Smith, The State of the World Atlas|Knowledge is not the same as wisdom. You can know all the facts and still not be able to act wisely. But without knowledge, it is harder to be wise –– even if what wisdom tells us is that knowledge is very often provisional and that we cannot wait to have certainty about every fact before we act.
A.D.  Evans, Born Wicked|I want to move my hands, but they’re fused to his rib cage. I feel his lung span, his heartbeat, his very life force wrapped in these flimsy bars of bone. So fragile yet so solid. Like a brick wall with wet mortar. A juxtaposition of hard and soft.He inhales again. “Jayme,” he says my name with a mix of sigh and inquiry.I open my eyes and peer into his flushed face. Roses have bloomed on his ruddy cheeks and he looks as though he’s raced the wind.“Mm?” I reply. My mind is full of babble, I’m so high.“Jayme,” he’s insistent, almost pleading. “What are you?”Instantaneous is the cold alarm that douses the flames still dancing in my heart. I feel the nervousness that whispers through me like a cool breeze in the leaves.“What do you mean?” I ask, the disquiet wringing the strength from my voice.“It doesn’t hurt anymore,” he explains, inhaling deeply.I feel the line of a frown between my brows. Gingerly, I lift the hem of his shirt. And as sure as I am that the world is round and that the sky is, indeed, blue the bruises and welts on his torso have faded to nothingness, the golden tan of his skin is sun-kissed perfection. Panic has me frozen as I stare.“I don’t understand,” I whisper.He looks down at his exposed abdomen. “I think you healed me.”He says it so simply, but my mind takes his words and scatters them like ashes. I feel like I’m waking from a coma and I have amnesia and everyone speaks Chinese.I can’t speak. If I had the strength to, I wouldn’t have the words. I feel the panic flood into me and fear spiked adrenaline courses through me, I shove him. Hard. Eyes wide with shock, he stumbles back a few steps. A few steps is all I need. Fight or flight instinct taking root, I fight to flee. The space between us gives me enough room to slide out from between him and the car.He shouts my name. It’s too late. I’m running a fast as my lithe legs will carry me. My Converse pound the sidewalk and I hear the roar of his engine. It’s still too late. I grew up here and I’m ten blocks from home. No newbie could track me in my own neighborhood. In my town. Not with my determination to put as much distance as I can between me and the boy who scares the shit out of me. Not when I’ve scared the shit out of myself. I run. I run and I don’t stop.
Emory R. Frie, Wonderland|In the last photograph of her, the bullet wound looked like a cheerful summer rose arranged just above her left ear. A few petals had fallen on her kaffan, the white shroud she was wrapped in before she was laid to rest.
Brian Selznick, The Marvels|Standing on the roof at night, beside the golden shipI look across the city and I dream a wild trip.The waves are high, the wind is strong, the moon is white and full.I smell the salt upon the sea, a strong magnetic pull.I shout into the endless dark, awaiting the reply:'Away! Away' It says: 'Away! Now spread your wings and fly.
Sydney Pollack|Well, the wonderful thing about making movies, oddly enough, is that they're sort of highly motivated graduate studies in one or another field.
William Law|America is God's Crucible, the great Melting-Pot where all the races of Europe are melting and re-forming!
Carl Sagan, Pale Blue Dot: A Vision of the Human Future in Space|The significance of our lives and our fragile planet is then determined only by our own wisdom and courage. We are the custodians of life's meaning. We long for a Parent to care for us, to forgive us our errors, to save us from our childish mistakes. But knowledge is preferable to ignorance. Better by far to embrace the hard truth than a reassuring fable. If we crave some cosmic purpose, then let us find ourselves a worthy goal.
Angelica Hopes, Rhythm of a Heart, Music of a Soul|I’m thinking, handsome, it might be good to end the biker lesson now seeing as this particular one might piss me off.” “Not surprised, babe, but we had a good run.” “Pardon?” “Took you to work, brought you to my house, you cooked, we ate, we watched TV, all good. No fights. No backtalk. All day. But all good things come to an end.
Debasish Mridha|Life is a present; life is a miracle. Life is a song divine.When you touch my heart, hold my soul.Oh my pure valentine.
Emil M. Cioran|The desire to die was my one and only concern; to it I have sacrificed everything, even death.
Cody Lundin, When All Hell Breaks Loose: Stuff You Need to Survive When Disaster Strikes|Such beauty, he thought, was too perfect to have come about by mere chance. That day in the center of the Pacific was, to him, a gift crafted deliberately, compassionately, for him and Phil. Joyful and grateful in the midst of slow dying, the two men bathed in that day until sunset brought is, and their time in the doldrums, to an end.
Jane Kenyon, Otherwise: New and Selected Poems|Just as I am watching a tongue of blue flame rising in the fire, and my lamp is burning low, the horrible contraction will begin in my chest. I shall only have time to reach the bell, and pull it violently, before the sense of suffocation will come. No one will answer my bell. I know why. My two servants are lovers, and will have quarrelled. My housekeeper will have rushed out of the house in a fury, two hours before, hoping that Perry will believe she has gone to drown herself. Perry is alarmed at last, and is gone out after her. The little scullery-maid is asleep on a bench: she never answers the bell; it does not wake her. The sense of suffocation increases: my lamp goes out with a horrible stench: I make a great effort, and snatch at the bell again. I long for life, and there is no help. I thirsted for the unknown: the thirst is gone. 0 God, let me stay with the known, and be weary of it. I am content. Agony of pain and suffocation - and all the while the earth, the fields, the pebbly brook at the bottom of the rookery, the fresh scent after the rain, the light of the morning through my chamber window, the warmth of the hearth after the frosty air - will darkness close over them for ever?Darkness-darkness-no pain-nothing but darkness: but I am passing on and on through the darkness: my thought stays in the darkness, but always with a sense of moving onward ... ("The Lifted Veil")
Joanna Gaines, The Magnolia Story|If you’re not proud of what you do, you’re not done.
Dan Simmons, A Winter Haunting|What, after all, is more real to us than the geography of our childhoods?
Elif Shafak|Identity politics divides us; fiction connects. One is interested in sweeping generalizations, the other in nuances. One draws boundaries, the other recognizes no frontiers. Identity politics is made of solid bricks; fiction is flowing water.
Terri Farley, Seven Tears Into the Sea|Beckon The Sea,I'll Come To The....Shed Seven Tears, Perchance Seven Years....
