Jules Renard|Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.
Lisa Shearin, The Grendel Affair|He does seem rather taken with you,” Jacques said, almost sending Ignatius off bleating with laughter. The man sounded quite perplexed and put out that the horseman had chosen another over him.“The same could be said of you,” Ignatius reminded him, thinking of a forced seduction by chicken.
Anaïs Nin, The Diary of Anaïs Nin, Vol. 1: 1931-1934|To be a STAR, you must shine your own light,follow your own path and don’t worry about the darkness,for that, is when stars shine brightest
James S.A. Corey|War without end. Well, what was history without that? And how would having the stars change anything?
E'yen A. Gardner, Love Letters|The key is to forgive and let go of the hate, but never forget. Never forget so that you can protect yourself in the future. We can't always avoid everything and everyone who would hurt us--for that would be avoiding life. But we can be smarter..We can choose not to ignore the signs, for there are always signs.
Kazue Kato, Blue Exorcist, Vol. 9|No, but I mean do you like him? You know, in the carnal sense."I rolled my eyes. "You've clearly been spending too much time with Dex.
Debasish Mridha|We are not here to fear, we are here to hope and dreams to win the world.
Tanya Gambhir|I am tired of all my emotionsI am tired of all your emotions,I don't want you to leaveI know you can't stay,I need you as much as you need me,But you need to walk awayand I need to watch you leave~
Catherynne M. Valente, Deathless|Fear of a bully, fear of a volcano; the power within you does not distinguish. It does not recognize degree.
Sunday Adelaja|If Jesus Christ is your Lord and Savior, if the Holy Spirit lives in you, then God guarantees your success
Auliq-Ice|Together, life can bloom into something unimaginable!
Kelli Swofford Nielsen, Journey to the Fringe|Learn from the past, he said. Remember it and realize that in a way it is responsible for making you who you are. But also realize that the only you who really matters is who you are right now. That is the you who has the ability to act, to change lives, to do something monumental, and to influence the future you.
Darynda Jones, The Curse of Tenth Grave|Should I leave you two alone?" he asked, changing the subject."He's taken," I said, accepting the fact that forgiving himself was something Reyes didn't do. "Osh. By someone very special.""And who might that be?"This might be a little hard for him to swallow. Tact was definitely in order. Or I could just blurt it out and watch his expression go from content to disbelief to horror to a bristly, murderous kind of fury. I chose door number two. "He's destined to be with our daughter."Reyes's expression slowly changed from content to disbelief to horror to a bristly, murderous kind of fury. "Oh, hell, no." He shot to his feet. "A Daeva? Are you fucking kidding me?"Just like a dad."Yes, a Daeva. But I wouldn't dismiss him so offhandedly."He whirled around and scowled. Not really at me. Just in general. "What do you mean?"I pressed one corner of my mouth together in thought. "Okay, you know how I was the grim reaper all of my life, then suddenly I'm also this god from another dimension? And how you're the son of Satan all your life, then suddenly you're a god from this dimension? Who does that? Our lives are so weird. I think that maybe Osh is something else, too." I traced one of the dark lines on his face. "I think there's more than meets the eye. I see greatness in him, Reyes. I see a power beyond our imaginings. I see him giving his life for our daughter.""Oh." He sat back down, satisfied. "As long as he dies in the end.
Murray Kempton|What do women do when they get together? We sit around and talk! Men, not so much. My theory is that this difference is genetic and dates back to the hunter-gatherer societies, when the men had to be quiet as they hunted, lest they scare away the bison and then everyone starved to death and it was all their fault.
Jacqueline Ripstein, The Art of HealingArt: The Keys to Power and Awareness|Harboring anger, hatred and resentment within you, is containing the venom within you. You are the only one affected...
Dada Bhagwan|If you want to travel on the path of moksha (ultimate liberation), ‘You’ (the Self) do not have to ‘do’ anything. And if you want to wander in the worldly life, ‘You’ have to ‘do’ everything.
Richard Dawkins|To become truly great, one has to stand with people, not above them.
Christopher Bollas, The Infinite Question|Why we ask questions: Questions are the basis of human freedom. Our mind, as a part of our  self experience, is curious and always challenging that part of us that can think about the essence of things. We interpret our lives all the time - with unconscious deep conceptualization - and these conceptualization raise questions.Why did I feel the way I felt yesterday when I spoke with X? What is the meaning of my answer? Why I chose to spend time in X's company and not Y's? And how it changed my attitude toward Y?(Interesting paragraph I translated from the Hebrew edition)
Kate Lattey, Dream On|Everyone's pain is relative. We've learned how to deal with grief, because we've had to. But Bree hasn't. And our grief was shared, because we all felt it at the same time. She had to deal with hers alone.
Natsuki Takaya, Fruits Basket, Vol. 10|OY! Stop playing around and lets cook already!"*smack*J-just now, that made a really loud noise.."Do you wanna hear it again?"N-no, you'll just hit me again!"Kyo and Tohru
Noor Iskandar|Carve your own adventure, bloom your own romance, thread your own signs
Nicholas Murray Butler|This world, for aught he knows, is very faulty and imperfect, compared to a superior standard; and was only the first rude essay of some infant deity, who afterwards abandoned it, ashamed of his lame performance: it is the work only of some dependent, inferior deity; and is the object of derision to his superiors: it is the production of old age and dotage in some superannuateddeity; and ever since his death, has run on at adventures, from the first impulse and active force which it received from him.
William James, The Principles of Psychology|Rock art sites were symbolic vaginas, and entry into the wall of a rock art site was thus akin to intercourse.
Augustine of Hippo, Confessions|Life is a misery, death an uncertainty. Suppose it steals suddenly upon me, in what state shall I leave this world? When can I learn what I have here neglected to learn? Or is it true that death will cut off and put an end to all care and all feeling? This is something to be inquired into.But no, this cannot be true. It is not for nothing, it is not meaningless that all over the world is displayed the high and towering authority of the Christian faith. Such great and wonderful things would never have been done for us by God, if the life of the soul were to end with the death of the body. Why then do I delay? Why do I not abandon my hopes of this world and devote myself entirely to the search for God and for the happy life?
Catharine Arnold, Necropolis: London and Its Dead|The Romans feared their dead. In fact, Roman funeral customs derived from a need to propitiate the sensibilities of the departed. The very word funus may be translated as dead body, funeral ceremony, or murder. There was a genuine concern that, if not treated appropriately, the spirits of the dead, or manes, would return to wreak revenge
Henry Rollins|With out art, without communicating, we wouldn't live beyond 30 because we'd be so sad and depressed.
Jennifer Egan, A Visit from the Goon Squad|My heart's with you, Bill, no matter how it turns out. My heart is with all of them, and I think that, even if we forget each other, we'll remember in our dreams.
Banana Yoshimoto, The Lake|Why were we so far apart, even when we were together? It was a nice loneliness, like the sensation of washing your face in cold water.
Julia A. Boyd, In the Company of My Sisters|When we place ourselves in a position of judgment, then we turn ourselves into oppressors. Healthy self-esteem cannot exist side-by-side with oppression of any kind.
Joan Rivers, I Hate Everyone... Starting with Me|My woman has a wandering eye;Yarrow, thyme and thorn.She eyes the ocean and the skyWhile stitching sails, forlorn.I got a kiss, and then a tearAs she bade me go;But on the waves, my heart's in fear:My woman's in the know.
Rudyard Kipling, The Gate of the Hundred Sorrows|All of his (Nanak's) progressive thinking attained absolution at the age of 30, when he had the transcendental experience, quite similar to that of Mohammed and Joan of Arc, that was about to rock the very foundation of orthodox Hinduism in India.
Emma Chase, Tangled|Actions win wars. Actions heal wounds. Not words. Words are cheap. Mine, particularly. -Drew Evans.
Martin Luther King Jr.|If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.
Lawrence M. Krauss|The one thing that I want every single child to have experienced at some point in their life, as part of their education, is to have some idea they hold to be true, and at the very basis of their being, proved to be wrong.Because that opens your mind to the realization that the world is different than you thought it would be, and you have to begin to open your mind to the possibilities of existence.And opening your mind frees you, it doesn't constrain you. It makes the world more wonderful, more exciting, and more worth living in.
Jennifer Grant|I'm sure there was some part of his soul was intrinsically happy, but he probably had to go through some permutations to really get that to blossom. I'm sure Dad had his challenges, but I think that joy was there from the beginning and he had to find a way to make his life support that and express that.
Nickolas Butler, Shotgun Lovesongs|No, the safest thing is to become an island. To make your house a citadel against all the garbage and ugliness in the world. How else can you be sure of anything?
Ellen G. White|I was a wife and mother, blameless in moral life, with a deep sense of duty and a proud self-respect; it was while I was this that doubt struck me, and while I was in the guarded circle of the home, with no dream of outside work or outside liberty, that I lost all faith in Christianity.
Sunday Adelaja|I am hearing a more resounding voice in the spirit saying,God is changing the guard in the Nigerian church.
C.S. Lewis, The Four Loves|The mark of Friendship is not that help will be given when the pinch comes (of course it will) but that, having been given, it makes no difference at all.
Dean Ornish|When you're changing your diet, or you're becoming a vegan, your system will become a bit more sensitive, and you just have to deal with it.
Doris Lessing|Oh, I simply can’t think. When I really want to depress myself, I think of all the brilliant men I know, married to their stupid wives. Enough to break your heart, it really is
Donna Grant, Dragon King|All I know is that I like how I feel when I'm with you. I love how protective you are and that you aren't afraid to say you're sorry. I like how you touch me and kiss me. I like how you hold me, but more than anything, I like the possibilities that are before us.""We're in the middle of a war," he warned. She shrugged and ran her hands up his chest and over his shoulders to clasp around his neck. "Every couple has their own issues to get through.
J.D. Salinger, Franny and Zooey|I’m just sick of ego, ego, ego. My own and everybody else’s. I’m sick of everybody that wants to get somewhere, do something distinguished and all, be somebody interesting. It’s disgusting.
Connie Britton|Just when you think we're living in a little bit of a divided world, music brings us together.
Gwyneth Lewis, Sunbathing In The Rain: A Cheerful Book About Depression|When you're in the middle of your depression, pay good attention to it, because, tended carefully, you never know where it might lead you.
Leon Wieseltier|Cole envisioned the next few weeks passing as a sort of painless montage: there'd be music, and different moments of the townspeople hard at work building a defensive wall around the perimeter of the town, and digging holes to serve as traps, and training with the few weapons they had. There'd be a wiping of perspiration and drinks raised to one another and the exchange of friendly smiles between comrades, and perhaps deeper, more meaningful glances between him and MaryAnn.But by midmorning of the first day, Cole had come to the unavoidable conclusion that the remainder of the experience would in fact drag on in exceedingly real time, with lots of heaving and hoing and digging and hauling under the hot sun, full of the kind of intense straining that raised the danger of a really spectacular hernia. And, judging from the few tense conversations he'd had so far, he foresaw a series of increasingly strident arguments with Nora regarding matters strategic. Plus, of course, at the end of all this effort they'd all probably be dead.
Veronica Roth, Insurgent|Because inside me is a beast that snarls, and growls, and strains toward freedom.. and as hard as I try, I cannot kill it.
Raymond A. Mar|Just as pilots gain practice with flight simulators, people might acquire social experience by reading fiction.
Shelena Griffiths|Conceit is to be dreaded, but so is cowardice
Barry López, About This Life|Stories do not give instruction, they do not explain how to love a companion or how to find God. They offer, instead, patterns of sound and associations, of event and image. Suspended as listeners and readers in these patterns, we might reimagine our lives. It is through story that we embrace the great breadth of memory, that we can distinguish what is true, and that we may glimpse, at least occasionally, how to live without despair in the midst of the horror that dogs and unhinges us.
Barack Obama|Do you want to be safe and good, or do you want to take a chance and be great?
Madeleine Urban, Cut & Run|What, you didn’t pack your lunch?” Ty asked sarcastically as he shifted around in the seat and wedged himself against the door. He kicked a foot up and propped it on the console between the two front seats. “Sure, in my SpongeBob SquarePants lunch box. I have the thermos, too,” Morrison shot right back. Zane kept his mouth shut, eyes moving between the two men, and occasionally back to the driver, who was casually paying attention. Ty stared at the kid and narrowed his eyes further. “Spongewhat?” he asked flatly. Zane didn’t even try to hold back the chuckle when Morrison looked at Ty like he’d lost his mind. “Spongewha … you’re yanking my chain, aren’t you?” Morrison said. “Henny, he’s yanking my chain.” “Yeah, well, that’s what you getting for waving it in his face,” the driver answered reasonably. “What the hell is a SpongeBob?” Ty asked Zane quietly in the backseat.
Paracelsus|His words had tossed the book that was her life into the air and the pages had been blown into disarray, could never be put back together to tell the same story.
Neil Gaiman, Norse Mythology|Are you ready to be rejoined for all time with your fellow gods? Oh yes, she explained, For not only was he a god, but so were all mortals gods in disguise, divorced from their divine lineage, their true identities, shrouded from their earthly selves. That is what she now revealed to him; He had been one of the rare humans who had not forgotten the connection with his divine self, and had lived like a god his mortal life.
Mehmet Murat ildan|A fish in a bowl thinks to know it all, for it has never seen the ocean.
Tessa Dare, Any Duchess Will Do|I know how mirrors work. They're all in league with the cosmetics trade. They tell a woman lies. Drawing her gaze from one imagined flaw to another, until all she sees is a constellation of imperfections. If you could get outside yourself, borrow my eyes for just an instant... There is only beauty.
Debasish Mridha|Now domestication and sophistication of men by women are the norm and acceptable by society, but they are terrible for manhood.
Shannon L. Alder|When you spend time worrying, you’re simply using your imagination to create things you don’t want.
Bryant A. Loney, Exodus in Confluence|You ought to give up detecting and try fantasy writing, Strike
Jane Fonda|Education is a kind of continuing dialogue, and a dialogue assumes different points of view.
Heraclitus|Insularity is the foundation of ethnocentrism and intolerance; when you only know of those like yourself, it is easy to imagine that you are alone in the world or alone in being good and right in the world. Exposure to diversity, on the contrary, is the basis for relativism and tolerance; when you are forced to face and accept the Other as real, unavoidable, and ultimately valuable, you cannot help but see yourself and your 'truths' in a new - and trouble - way.
Julio Alexi Genao, When You Were Pixels|There are those whose love awakens our own and those whose love undermines. As long as we are blind to this fact, true love will elude us.
Douglas Adams, Last Chance to See|When we told our guide that we didn't want to go to all the tourist places he took us instead to the places where they take tourists who say that they don't want to go to tourist places. These places are, of course, full of tourists.
Fennel Hudson, A Waterside Year - Fennel's Journal - No. 2|When we see marriage as our sole purpose, we find ourselves with nowhere to go when we finally arrive.
Sandip Thapa|If you thinks right the right things, then the right thinks will make the things right.
Andrew Stephen Damick, Orthodoxy and Heterodoxy|There should be as much difference between the worldling and the Christian, as between hell and heaven, between destruction and eternal life.
Yann Martel, Self|You only realise how small your world is, once you start to make it bigger
Jessica Warman, Breathless|My father is an apparition, and my mother is semiconscious.
Olga Núñez Miret, Teamwork|You must have been working very hard here, with so few distractions.”Mary’s eyes darkened and she looked away.“Not quite as much as I hoped for. At times the loneliness and the unanswered questions can get overwhelming, like very loud voices echoing inside my head, just asking ‘why’ ‘who’ and making me think about my wasted life.
Max Stirner, The Ego and Its Own|You call me the unhuman," it might say to him, "and so I really am—for you; but I am so only because you bring me into opposition to the human, and I could despise myself only so long as I let myself be hypnotized into this opposition. I was contemptible because I sought my 'better self' outside me; I was the unhuman because I dreamed of the 'human'; I resembled the pious who hunger for their 'true self' and always remain 'poor sinners'; I thought of myself only in comparison to another; enough, I was not all in all, was not—unique.[102] But now I cease to appear to myself as the unhuman, cease to measure myself and let myself be measured by man, cease to recognize anything above me: consequently—adieu, humane critic! I only have been the unhuman, am it now no longer, but am the unique, yes, to your loathing, the egoistic; yet not the egoistic as it lets itself be measured by the human, humane, and unselfish, but the egoistic as the—unique.
Adriana Trigiani|As much as I value an union of all the states, I would not admit the southern states into the union, unless they agreed to the discontinuance of this disgraceful trade, because it would bring weakness and not strength to the union.
John Bercow|I'm not an agent from any government, even if some of you may not believe it. I'm not. I'm a peacemaker.
Susane Colasanti, When It Happens|We’re never gonna understand women. They’re way too complex. You’ve got too many variables to consider. PMS, bad hair days, miscellaneous mood swings . . . there’s no way to tell what’s causing their attitude. - Mike
Heather M. Orgeron, Boomerangers|You’re stupid. First of all, I need for you to know that.” “Uhhh, thanks?” “That is the most romantic thing I’ve ever heard. What could possibly be more romantic than the man of your dreams swooping in like a white knight? This is your fucking fairytale, bitch, and you’re about to let it slip away...” Gina growls in frustration. Add a note
Sam Heughan|My most memorable meal was with my parents at Joel Robuchon's Restaurant Jamin in Paris. It was Christmas 1982, and the flavors - from cauliflower and caviar to crab and tomato - astounded me. It was the first time I remember thinking that I would like to really learn how to cook.
Joan D. Vinge, Catspaw|I stood where they'd left me. I watched them get smaller and smaller as they went down the hallway, leaving me there without a word, not even looking back. Only I was getting smaller and smaller, being swallowed up in the suffocating emptiness of the silent house; so that by the time they came back again, I would have disappeared.
Shoeburn Ruffet, Shoeburn and The Ill-Fitting Necklace|My father was a patient father. He was so patient that when he once saw a sign that read ‘Patient Entrance’ at the Welt Foot Hospital, he drove his automobile incredibly slow.
Thabiso Monkoe, The Azanian|Your biggest obstacle, is the man in the mirror
Derek Thompson, Hit Makers: The Science of Popularity in an Age of Distraction|The line from psychologists is, if you’ve seen it before, it hasn’t killed you yet.
Marilyn Manson, The Long Hard Road Out of Hell|Our relationship, however, soon went awry. Occasionally, something will happen that will change your opinion of someone irrevocably, that wil shatter the ideal you've built up around a person and force you to see them for the fallible and human creature they really are.
SWANSH|She has a fiery soul that cannot be tamed.She has free spirit that cannot be maimed.She moves with the wind and flows with the river.She howls at the moon and smiles at the sun.Just when you think she is finished, she declares, “I’ve just begun.”Like wild flowers, she grows where she decides to push through fallow ground.Like wild fires, she spreads with speed that can’t be drowned.She has mystery in her blood, magic in her touch and regardless of her frameshe can be too much-wild woman.She is not predictable, controllable nor the people pleasing kind.That’s why she is called wild woman and can never be defined.
Susan Sontag, Regarding the Pain of Others|Often something looks, or is felt to look, "better" in a photograph. Indeed, it is one of the functions of photography to improve the normal appearance of things. (Hence, one is always disappointed by a photograph that is not flattering.)
Jean-Francois Cope|In the state of Wisconsin it's mandated that teachers in the social sciences and hard sciences have to start giving environmental education by the first grade, through high school.
Julia Louis-Dreyfus|It's one of the worst-kept secrets of family life that all parents have a preferred son or daughter, and the rules for acknowledging it are the same everywhere: The favored kids recognize their status and keep quiet about it - the better to preserve the good thing they've got going and to keep their siblings off their back.
Craig  Stone, Life Knocks|Only one knows, speaks, and lives according to what he has within. One who has the universe within him knows the true meaning of the universe. Living as the will of the universe by becoming the universe is true life.
Angelica Hopes, Landscapes of a Heart, Whispers of a Soul|You can grow softly, lovely and delicately amidst the hard surfaces. Not all who passed tougher times in life have a hard heart, kindness and tenderness do breathe despite of worse times.
James C. Dobson, Life on the Edge: A Young Adult's Guide to a Meaningful Future|I'm delighted to tell you that Jesus Christ offers complete and total forgiveness to anyone who will repent and believe on His name. ...There are no sins that He cannot cleanse, and He's promised that they will be gone forever.
Nikki Rowe|The pathway to peace is an in describable journey of facing ones darkness, to find ones light. If they told you it's easier to give up, you met a fool; if they told you; it's easier to grow, you met the wise.
Daphne du Maurier, Rebecca|A solitary, unused to speaking of what he sees and feels, has mental experiences which are at once more intense and less articulate than those of a gregarious man. They are sluggish, yet more wayward, and never without a melancholy tinge. Sights and impressions which others brush aside with a glance, a light comment, a smile, occupy him more than their due; they sink silently in, they take on meaning, they become experience, emotion, adventure. Solitude gives birth to the original in us, to beauty unfamiliar and perilous - to poetry. But also, it gives birth to the opposite: to the perverse, the illicit, the absurd.
Joel Osteen|Let us more and more insist on raising funds of love, of kindness, of understanding, of peace. Money will come if we seek first the Kingdom of God - the rest will be given.
Drexel Deal, The Fight of My Life is Wrapped Up in My Father|The groups in different areas that were affiliated with us knew one thing for sure, and that is that they could trust and respect the base. When you look at it, people want to know they have someone in their corner for the worst. Scrooge, former leader of the Rebellion Raiders street gang that once boasted of having some ten thousand members
Sarah Micklem, Firethorn|And the cobwebs of timewould surrender,dormant, so that the rainbowsof new eras can emergeDespite the hollownessof you.
Amy Poehler|Dating in highschool was very different. Boys suddenly went up your shirt, girls were expected to give blow jobs and be sexy. You had to be hot, but not a slut. You had to be into sex, but never have it. Except when your boyfriend wanted it. If you had sex you had to keep it a secret, but also be very good at it. Except not too good, because this better be your first time.
Daniel Marques|I've never tried to be famous or become a bestseller, just rich and remembered. The rest is a bonus.
Jen Wang|He [Eugène Rougon] believed exclusively in himself; where another saw reasons, Rougon possessed convictions; he subordinated everything to the incessant aggrandisement of his own ego. Despite being utterly devoid of real self-indulgence, he nevertheless indulged in secret orgies of supreme power.
Kamand Kojouri|Life is a concept, like the “universe", that expands as soon as we reach what we think is its edge.
Heather  Marsh, Binding Chaos: Mass Collaboration on a Global Scale|All ponzi schemes are upheld by a centripetal force caused by those orbiting the circles of power, celebrity and wealth and trying to get in. When the ponzi scheme reaches its point of maximum growth, the force disperses and the ponzi scheme collapses.
William Shakespeare, Hamlet|The rest, is silence.
Leo Tolstoy|I don’t know when my time on earth will be up; but I DO know that today, I am one day closer. You can bet I’m going to make this day count! Will you?
Temple Grandin|I think using animals for food is an ethical thing to do, but we've got to do it right. We've got to give those animals a decent life and we've got to give them a painless death. We owe the animal respect.
Angelica Hopes, Landscapes of a Heart, Whispers of a Soul|Let our heart glow when you pray.Let our soul's innermost desire and need flow in silence, gratitude and humble petition.Let our daily prayers be a life attitude not only when we are in trouble but never forgetting to include all others who are also in difficulties.There are times prayers cannot change things for us but we grow and change with faith and strength, patience and serenity with a heart that extends for others.
Dorothy L. Sayers, Busman's Honeymoon|He wanders, like a day-appearing dream,Through the dim wildernesses of the mind; Through desert woods and tracts, which seem Like ocean, homeless, boundless, unconfined.
Tim Burton|Biologically inspired materials could revolutionize materials science. People looking at spider silk and abalone shells are looking for new ways to make materials better, cheaper, and with less toxic byproducts.
Jack Kerouac, On the Road|It seemed like a matter of minutes when we began rolling in the foothills before Oakland and suddenly reached a height and saw stretched out ahead of us the fabulous white city of San Francisco on her eleven mystic hills with the blue Pacific and its advancing wall of potato-patch fog beyond, and smoke and goldenness in the late afternoon of time.
John Harington|The Chinese have always enjoyed gambling, and Macau is the only place in Greater China where gambling is legal. So I believe the government understands that there has to be a place for it.
Ellen DeGeneres|I wanted to be the next Dana Carvey. This was my ultimate goal. If I ever cut into a birthday cake and made a wish, I would wish to be on 'Saturday Night Live.' If I threw a coin into a fountain, I would wish to be on 'Saturday Night Live.' If I saw a shooting star, I would wish to be on 'Saturday Night Live.'
Alice Oswald|As far as I am concerned, poetry is a statement concerning the human condition, composed in verse.
Sharad Vivek Sagar|Every man should stand under the blue and stars, under the infinite flag of nature, the peer of every other man.
Ally Blake, A Night with the Society Playboy|His own parents, the estimable Gilchrists, a couple who had taken the 'till death' part of their own wedding vows so seriously he wouldn't be surprised if they one day throttled one another, had naturally wangled the next best seat in the house: row two, on the aisle.
Natalie Angier|More often than not, the ideal breast is an invented breast. Decolletage, the tushy breast, is an artifact of clothing. Naked breasts don't dance cheek to cheek--they turn away from each other. Breasts vary in size and shape to an outlandish degree, but they can be whipped into an impressive conformity, and because we are human and we can't leave anything alone, we have whipped away.
Jenny Han, To All the Boys I've Loved Before|It will get easier each time, I think. I hope. I just have to keep trying.
Thomas Parker Boyd|The free-will of man cannot impune the sovereignty of God, and conversely the sovereignty of God would not impune the free-will of men".
William L. Lane, The Gospel of Mark|The people come to Jesus, not because they recognized his dignity and function but because it is rumored that a miracle worker has come in their midst. Jesus had come to preach repentance and the nearness of the kingdom but the people think only of relief from pain and affliction.
Munia Khan|When sadness knows the reason of tears, heart prepares to carry the ache for years
Ellie Wade, A Beautiful Kind of Love|I know, at the time it was an imperfect solution in an imperfect world.
Kilroy J. Oldster, Dead Toad Scrolls|Undergoing personal change is a difficult but necessary process of maturing into the ultimate manifestation of a desirable self. True personal transformation requires a person honestly to assess their inner spirituality and adopt a clear vision of who they want to be. An earnest person experiencing inner transformation of their values and belief system is apt to feel conflicted, confused, and disorientated. Change of self is displacement, disarticulation, and loss of self. Alteration of our self-image results in disrupting, dislocating, and modifying a person’s perspective of what is significant.
Hank Bracker|I served our country in its military for a total of 40 years 6 months and 7 days. At a time when we have fake news and people have accepted that lies are as valid as the truth all I can say is that my DD-214 shows that I served and retired from the United States Naval Reserve, before joining the United States Army in its Military Intelligence Corps, and served as such until retiring in 1987. I personally don’t know of anyone else that actually served in two branches of our military and retired from each, and although I frequently receive thanks for my service it is appreciated but not necessary. What is however necessary, is that we as citizens give a long hard look at where we are going as a nation. Yes, our infrastructure needs repair and our people need good jobs. We certainly want to feel secure but we definitely don’t need one man to fix our Constitution, which by the way is not broken! We do not need a crude iron fist to run our country! What we do need is a clear understanding of where we are going and what our country stands for…. “The pursuit of happiness” for “We the People!” Our government is based on a system of checks and balances, not the blind following of an autocrat. That’s been tried before and failed each time. Let’s not go down that “Rabbit hole!” Stand up and protect our democracy and cherish our freedom! What we have is priceless! Don’t let anyone take that away from us…. “Stand up for what is right!
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|What they teach you as history is mythology, and true mythology is far from fantasy - every kind reveals true fragments of our real history. A bulk of our real history can be found in Egyptian and Greek mythology. Yes, myths reveal to us worlds of other dimensions that make up our true reality. History books teach us that the minds of the past operated on the same frequency, dimension, or level of consciousness as we do now. Not true at all.
Jack London, The Sea Wolf|An artist owed a duty to nothing except his own irresponsibility. It was OK for an artist to frolic in the water, no matter how bloody the waves or how high the tide rose. An ethicist had an obligation to drown.
Nick Harkaway, The Gone-Away World|Children, bored and opinionated, are scholars of the most dogmatic stripe.
Louise Penny|Try to be pleasant to one another, get plenty of fresh air, read a good book now and then, depose your government when it suspends the free press, try to use the mechanism of the state to adjudicate fairly and employ diplomatic means wherever possible to avoid armed conflict.
Glyncora Murphy|And if one day there's distanceBetween your hand and mine,When our hands join once again,My heart and soul will shine.
Eraldo Banovac|The older the friendship, the stronger the trust.
Kate Morton, The Forgotten Garden|I was just stock in the middle, vague and undefined.
Donald L. Hicks, Look into the stillness|pussy pothel pussy pothel wer had u been i have been inside the pussy to see the depth ....pussy pothel pussy pothel wat did u do there .....i have been in and out in and out to show my length...lolzzzzzzzzzzzz,,
Gabor Maté|The distressing internal state is not examined: thefocus is entirely on the outside: What can Ireceive from the world thatwill make me feel okay, if only for a moment? Bare attention can showher that these moods and feelings have only the meaning and powerthat she gives them. Eventually she will realize that there is nothing torun away from. Situations might need to be changed, but there is nointernal hell that one must escape by dulling or stimulating the mind.
Kerrelyn Sparks, All I Want for Christmas is a Vampire|Whenever you appreciate a certain thing you become conscious of its real quality, and whenever you become conscious of the quality of anything, you begin to develop that quality in yourself. When we appreciate the worth of a person, we tend to impress the idea of that worth in our own minds, and thereby cause the same effect to be produced, in a measure, in ourselves.
Og Mandino|I learned early that crying out in protest could accomplish things. My older brothers and sister had started to school when, sometimes, they would come in and ask for a buttered biscuit or something and my mother, impatiently, would tell them no. But I would cry out and make a fuss until I got what I wanted. I remember well how my mother asked me why I couldn't be a nice boy like Wilfred; but I would think to myself that Wilfred, for being so nice and quiet, often stayed hungry. So early in life, I had learned that if you want something, you had better make some noise.
Esther Verhoef, Close-up|You arrange your life based on what "everyone" thinks of you or what you think they think of you,whoever everyone is...
Gerald Morris, The Savage Damsel and the Dwarf|Don't make yourself so special," the dwarf said with a snort. "As if getting lost was some trick that only women knew. I've known men who could get lost in their own bedrooms. The only difference is that men with no sense of direction don't brag about it, the way women do.
Elon Musk|It doesn't matter whether you are pursuing success in business, sports, the arts, or life in general: The bridge between wishing and accomplishing is discipline.
Jamie Vardy|At times, you are mentally but not physically prepared; at times, you are physically but not mentally prepared. I would be lying if I said it doesn't affect your performance. But the sooner you get over it, the better. So you discipline yourself. That is why fitness counts.
Christopher Morley|If we discovered that we had only five minutes left to say all that we wanted to say, every telephone booth would be occupied by people calling other people to stammer that they loved them.
Christopher Paolini, Brisingr|When an orphan is depressed," wrote Wilbur Larch, "he is attracted to telling lies. A lie is at least a vigorous enterprise, it keeps you on your toes by making you suddenly responsible for what happens because of it. You must be alert to lie, and stay alert to keep your lie a secret. Orphans are not the masters of their fates; they are the last to believe you if you tell them that other people are also not in charge of theirs. When you lie, it makes you feel in charge of your life. Telling lies is very seductive to orphans. I know," Dr. Larch wrote. "I know because I tell them, too. I love to lie. When you lie, you feel as if you have cheated fate--your own, and everybody else's.
John Foster Dulles|The Iraq War was the biggest issue for people of my generation in the West. It was also the clearest case, in my living memory, of media manipulation and the creation of a war through ignorance.
Leora Tanenbaum, Slut!: Growing Up Female with a Bad Reputation|Humans are not a commodity, nor is our humanity. Fight to save the lives of those who can not save themselves, and in turn, you will have saved your soul.
Cassandra Clare, City of Lost Souls|You don't even like me, remember?" That's what I try to say. What actually comes out of my mouth is closer to a baby's first attempt at babbling. "Shh." He runs his fingertips along my cheek, caressing my face. "Hush. I'm right here." He looks at me with deep anguish in his eyes. Like there's so much he wants to tell me but feel it's too late now. I want to stroke his face and tell him that it will be okay. That everything will be all right. And I wish so badly that it would be.
Wendell Berry, Bringing it to the Table: On Farming and Food|We can say without exaggeration that the present national ambition of the United States is unemployment. People live for quitting time, for weekends, for vacations, and for retirement; moreover, this ambition seems to be classless, as true in the executive suites as on the assembly lines. One works not because the work is necessary, valuable, useful to a desirable end, or because one loves to do it, but only to be able to quit - a condition that a saner time would regard as infernal, a condemnation.
Hubert Selby Jr., Requiem for a Dream|For weeks Tyrone thought he was going to die any minute, and there were also times when he was afraid he wasnt going to die.
Annie Dillard, The Maytrees|Gamache nodded. It was what made his job so fascinating, and so difficult. How the same person could be both kind and cruel, compassionate and wretched. Unraveling a murder was more about getting to know the people than the evidence. People who were contrary and contradictory, and who often didn't even know themselves.
James C. Dobson, Life on the Edge: A Young Adult's Guide to a Meaningful Future|Each year, more responsibility and freedom (they are companions) must be given to the child so that the final release in early adulthood is merely a small, final release of authority.
