Victoria Schwab, Our Dark Duet|If you want to prosper, prosper God.
Cristiane Serruya, Trust: Betrayed|It was all about money. Dirty, bloody money. It can come and go so easily. They don't see that life is what's important. Love, friendship, trust, respect, a daily routine, someone to grow old with, siblings to cherish, family, a home; things people don't give a damn about until they lose them, things money can't bring back.
Jonathan Kozol, The Shame of the Nation: The Restoration of Apartheid Schooling in America|There is something deeply hypocritical in a society that holds an inner-city child only eight years old "accountable" for her performance on a high-stakes standardized exam but does not hold the high officials of our government accountable for robbing her of what they gave their own kids six or seven years before.
Ann Hood|I have a 6-year-old niece who doesn't look like the majority of girls on the covers of magazines. I hope that by the time she's 16, the world will have changed.
Atul Gawande, Being Mortal: Medicine and What Matters in the End|The great error of physicians has been that of attributing recovery to the operations of their poisons, while they have left out of account the healing powers of the body itself.
Noam Chomsky|One of the difficulties in raising public concern over the very severe threats of global warming is that 40 percent of the US population does not see why it is a problem, since Christ is returning in a few decades. About the same percentage believe that the world was created a few thousand years ago. If science conflicts with the Bible, so much the worse for science. It would be hard to find an analogue in other societies.
Eliel Pierre|Easy and difficult things are juat small parts of life, the rest are what have to be done.
Ufuoma Apoki|Sometimes, we get too keen and in a haste to make new relationships, learn new things, stumble upon new ideas . . . . Always tending to the unknown and easily excited by the mysterious, that we lose value for and forget to appreciate the things and people that have brought and kept us going this far. Keep the things and people which are sure, else they, too, become mysterious and unknown.
Brandon Sanderson, The Bands of Mourning|How many times have I told you never listen to a person's words; watch their actions to see what is in their heart. A person can say many things they do not mean." Charlie to Beth
e. e. cummings|Chilling out on the bed in your hotel room watching television, while wearing your own pajamas, is sometimes the best part of a vacation.
Jean-Pierre Jeunet|Every person makes a difference. And the choices we make, the things we do—they matter.” She looked up into Will’s eyes. “And now I do believe in fate. Especially the kind we make ourselves.
Israelmore Ayivor, The Great Hand Book of Quotes|Your mental make-ups are the contents of your everyday thinking; they carry a charge that can either transform, reform or destroy you. Watch your thoughts, they determine your life!
Pooja Ruprell|Being a messenger of love is all about caring for every person in your orbit unconditionally and ceaselessly. The harder the other person makes it for you, the more love you need to send their way.
G. Adithyan|If we lose all our sweet memories, it means we are dead even if we are alive!
Anthony T. Hincks|It takes my breath away!" that's all that I can say.
Innocent Mwatsikesimbe, The Reason|Those that know where they are going will not take any path they see in front of them, but they will take the one that goes in the direction they want.
David L. Lloyd|Just as Man developed morals and ethical behavior over thousands of years of evolution; so, too, did he invent an authority figure to enforce these behaviors - God.
Melina Marchetta, Finnikin of the Rock|If you don't hunt it down and kill it, it will hunt you down and kill you.
Chris Mentillo|I Do Not Like Canadians, I Love Them.
Mark Knopfler|Our constitution is a ray of hope: H for harmony, O for Opportunity, P for people's participation and E for equality.
Amelia Beamer, Loving Dead, The|Shawshank’s good,” he says. “But you can’t beat the way Woody Harrelson kills zombies. He takes such joy in it.”“Uh-huh,” I say, making a face. “I’ve always found zombies to be the least threatening of the scary monsters. I mean, come on. They’re slow. They’re brain-dead. They don’t plot evil or try to take over the world. They just—” I put my arms out in front of me and give him my best zombie groan. I shake my head. “So not scary.”“But they just. Keep. Coming,” Christian says. “You can run, you can kill them, but more of them always pop up, and they never stop.” He shudders. “And they try to eat you, and if you get bitten, that’s it—you’re infected. You’re doomed to become a zombie yourself. End of story.”“Okay,” I concede, “they’re kind of scary,” and now I’m vaguely disappointed that we’re not here to watch a zombie movie.
Pearl S. Buck, The Good Earth|But ask us to prove even to ourselves we are right in our belief, and we are in a quandary.
Teresa Heinz Kerry|A man is not hurt so much by what happens, as by his opinion of what happens.
Yasmin Tirado-Chiodini, Antonio's Will|In Sing Sing Prison, in a ghastly white room stands a chair. Its parts are heavy joinings of oak, riveted and screwed together; its strong legs fastened to the floor with teeth and claws of steel. It bites into the marrow of men with fangs of fire. For this is the faldstool of bloody human justice, the prayer-chair of man’s vengeance upon man. Into it are strapped ... men who have killed other men. In it, for a high moral purpose, erring human lives are shocked across the barrier into night and the grave. - Edward H. Smith (1918)
Stephen Jay Gould|We are here because one odd group of fishes had a peculiar fin anatomy that could transform into legs for terrestrial creatures; because the earth never froze entirely during an ice age; because a small and tenuous species, arising in Africa a quarter of a million years ago, has managed, so far, to survive by hook and by crook. We may yearn for a ‘higher answer’– but none exists
Lee Spetner|Life is so diversified that to any statement I could make about living organisms there are exceptions. Because of the many exceptions, I should qualify everything I say with hedging phrases such as 'generally,' 'usually,' and 'almost always' But I'm afraid the constant repetition of these hedges will slow me down and bore you. So let's make a pact now that I forego the hedging phrases and you are to understand that almost all my statements may have rare exceptions.
Mark Twain, The Gilded Age|Beard is like Niqab, that covers cheeks
Terry Pratchett, Equal Rites|She killed her sons first. Hammering a long fence nail through each of their hearts. Then, taking an ax, she methodically beheaded each one of her brothers-in-law. Going out to the pens, she drove the livestock into the barn, bolting it shut, and while the goat kids and spring lambs panicked and brayed, she put all the buildings to flame.
Henri J.M. Nouwen, Bread for the Journey: A Daybook of Wisdom and Faith|Jesus, the Blessed Child of God, is merciful. Showing mercy is different from having pity. Pity connotes distance, even looking down upon. When a beggar asks for money and you give him something out of pity, you are not showing mercy. Mercy comes from a compassionate heart; it comes from a desire to be an equal. Jesus didn’t want to look down on us. He wanted to become one of us and feel deeply with us.When Jesus called the only son of the widow of Nain to life, he did so because he felt the deep sorrow of the grieving mother in his own heart (see Luke 7:11-17). Let us look at Jesus when we want to know how to show mercy to our brothers and sisters.
Maya Angelou, Mom & Me & Mom|My mother described her reactions better than I ever could mine: she said she was "surprised with thunder" that her boy had come back, and that the happiness in her heart was "as deep as the sea".
Martin Rees|In our interconnected world, novel technology could empower just one fanatic, or some weirdo with a mindset of those who now design computer viruses, to trigger some kind of disaster. Indeed, catastrophe could arise simply from technical misadventure - error rather than terror.
Summerlyn Guthrie|As I look back on my life, I can reflect on those times when I allowed myself to be held back by what others said to me...at one point in my life, I felt intimidated by some people. As I stand now...I don't allow intimidation...I have come to realize in my life that I have CHOICE as to how my life will go...God and I are the writers and I dare not give anyone else a pen to write their version of how it should go. I remember as a child, as I lay asleep before waking in the morning, I would hear a voice within me gently asking me, "Are you ready to start this day?! It's time to get up!!" No, it wasn't anyone trying to wake me, but I felt it was a heavenly presence. As I grew up, that same presence was with me...like a guardian angel I guess you can say...Something...someone was always there with me.I thank God for this journey I've been on...I've been allowed to live and experience so much more than most. I've been allowed to make mistakes and learn from them. I thank God for having that presence in my life...protecting me and guiding me like a compass, as I make my way Home.
Eileen Anglin|If knowing something got you where you needed to go, you'd be there already. Put your hand to your heart, take a deep breath in...listen to your heart. It knows.
Spike Jonze|Don't differentiate between "This is a job" and "This is what I'm doing for fun." It's all simultaneous.
Auliq-Ice|For the grateful, there is no room for disappointment; Each moment offers life.
Theresa  Smith, Somebody I Used to Know|That's what love is like when you're young. Like spinning, filling you with excitement and joy, losing yourself in the moment. But if you don't have a focus point to keep you stable, you lose your balance and before you know it, you're falling and you can't see who you're taking down with you because you've been too busy spinning to see what else has been going on." (Nora)
Jim Butcher, Blood Rites|Thomas was an annoying wiseass who tended to make everyone he met want to kill him, and when I have that much in common with someone, I can't help but like him a little.
Bryan Cranston, A Life in Parts|Because we had known the good times, I think my brother and I felt the loss more acutely. My father's waning presence, his chronic absence, his disappearance. Now he was just a memory.
Catherine Ryan Hyde, Chasing Windmills|Flushed with his impassioned gibberish, he saw himself standing alone on the last barrier of civilization.
Eleesha, The Soulful Pathway to Fatherhood: Soulfully Empowering Your Life's Journey & Purpose as a Father Through Positive Inspiration|Your loss, serves as a stark reminder that, although I feel so alone—I am not alone.
Irfa Rahat|I consider whoever my words land on to be my target, that’s why I like flash fiction, it’s a lot like using a shotgun.
Daniel Alexander Brackins, Private Property, Law, and the State|My paper was a direct discussion and comparison of half-a-dozen ethical systems, concentrating on what seemed to me to be their flaws. I finished by saying that it struck me that all the ethical systems I was discussing were after the fact. That is, that people act as they are disposed to, but they like to feel afterwards that they were *right* and so they invent systems that approve of their dispositions
Steven Magee|In India, all along, development as a process was always affected from the top down style of functioning. Naturally, because along with our freedom we had inherited a bureaucracy, which was designed by the British to rule, not to serve. The British way of doing things had always been to get things done through a government department and after independence we Indians merely continued this system.
David Mezzapelle, Contagious Optimism: Uplifting Stories and Motivational Advice for  Positive Forward Thinking|Somehow I find the energy to continue the run. Part of the high that comes after finishing a long run is overcoming the wall, that point when your body crashes but your mind keeps moving you forward.
Brandon Stanton|Quite frankly, I didn't become an actor to become a movie star. I have never dreamed about being the most famous person on the planet. I just want to do really good work.
Chandan Sharma|The stories are not made, they are discovered.
Jeffrey Eugenides, The Marriage Plot|No,' the professor replied. 'Her Majesty s alive and well - at least I assume so if she hasn't met a certain van driver from Yeovil.' ~Professor Hamilton
bertie gilbert|if you don't have any weird moments, you're weird
R.K. Narayan, The English Teacher|We should live lives of intentionality, for every life ends in death, but not every death ends in peace. The type of death one wishes to experience determines the type of life one ought to live. We should begin with the end in view, and in our journey we should never lose sight of the destination. The meaning of death holds the key to the meaning of life.
Elizabeth Gilbert|Face it, I didn't become famous until I took my clothes off.
Francesca Lia Block, I Was a Teenage Fairy|This was a quarrel they did not need | It was one they knew they could never win. Beat us with a bat and we come back with Jiggers | Stick us with a knife and we bring the heaters | Plug one of us, and you'd better murder us all. We were the authentic spectacle, and the fact they left with their lives intact, no bones broken, or a limb missing, was miracle enough.
Debasish Mridha|Be a butterfly and always look for kindness, softness and beauties.
Chip Ingram, The Invisible War: What Every Believer Needs to Know about Satan, Demons, and Spiritual Warfare|Pray when you feel like praying," somebody has said. "Pray when you don't feel like praying. Pray until you do feel like praying.
Harry Styles|Why are you looking at me like that?"Augustus half smiled. "Because you`re beautiful. I enjoy looking at beautiful people, and I decided a while ago not to deny myself the simpler pleasures of existence.
Ann Brashares, The Second Summer of the Sisterhood|Lena knew she had spent too much of her life in a state of passive dread, just waiting for something bad to happen. In a life like that, relief was as close as you got to happiness. 
Debasish Mridha|You can never hurt anyone without hurting yourself. Never hurt an innocent, loving, and kind animal.
Félix J. Palma, The Map of the Sky|The source for any mental trauma is never the other person, but its your own MIND psyching YOU into believing that you're vulnerable at first, thereby gradually increasing the intensity of suffering as it justifies through illusionary reasons as falsity forms its very foundation with fabrication as prime element - all thanks to the unconscious recess, thus driving one into a life-negative state with violent mood swings followed by depression and onset of suicidal tendencies! Beware of your MIND, for it's not YOU!
Jodi Picoult, Nineteen Minutes|Myrnin came in from the back room, carrying a load of books, which he dropped with aloud bang on the floor to glare at the two of them. "Excuse me," he said, "but when did my labbecome appropriate for snogging?""What's snogging?" Shane asked."Ridiculous displays of inappropriate affection in front of me. Roughly translated. Andwhat are you doing here?
Balajinnatha Pandita, Specific Principles of Kashmir Saivism|In his discussion of Trika Yoga Abhinavagupta begins with the most advanced approach, and then presents successively easier methods one by one in descending order. This is another example of his particular approach to yoga. His intention is to make the best and the quickest method of yoga immediately available to all aspirants. If they succeed at the highest level, they need not go through the long chain of lower stages. However, if certain aspirants feel that they cannot handle the most advanced path successfully, then they are free to move along a more structured path and to choose any of the methods that accommodate their psychophysical capacity. The important point is that spiritual students should not assume that they are not fit for the most advanced method. Why should people resort to riding on a bullock cart when an airplane is at their disposal? If, however, they are unable to handle the superior vehicle successfully, they can choose some other more appropriate form of transportation.— B. N. Pandit, Specific Principles of Kashmir Shaivism (3rd ed., 2008), p. 94–95.
Noel Gallagher|I could have been a dental hygienist with nothing bad ever appearing in print about me, but that's not how I've chosen to lead my life. I knew that you put yourself under a microscope the more famous you become.
Francis Mandewah, FRIENDSHIP: A True Story of Adventure, Goodwill, and Endurance|As children in a small village in Sierra Leone, my friends and I dreamed of travelling the world like the missionaries who opened our village school. As a British subject, I dreamed of walking the streets of London. I imagined my self in the United States of America visiting the places where the cowboy movies were made.
Demetri Martin|I'm very happy with the way I look. I wake up some morning, catch myself in the bathroom mirror, and go, 'hey girl, you're alright'. But on the other hand, I find the website stuff, and the polls, something completely removed from my own personal life. You can't take anything like that too seriously, otherwise you'd end up in the loony bin.
Harrish Sairaman|If you can’t see a solution it does not mean it doesn’t exist, you are just blind to it
James Scott, Sr. Fellow, Institute for Critical Infrastructure Technology|No matter what we are or who created us, we’re all energy. And energy that becomes bound together by love cannot be torn apart. Not by time. Not by grief and pain. Not even the veil of death.
Robert Penn, It's All About the Bike: The Pursuit of Happiness on Two Wheels|Gratitude makes you a better, stronger, wiser person. Ingratitude makes you a negative, angry, miserable person. Which person do you choose to be?
Kevin James Shay, It's a Mad, Mad, Mad, Mad Trip: On the Road of the Longest Two-Week Family Road Trip in History|The moon, almost full, shines high in the sky in front of me. I roll down the window and rest my arm on top of the door frame. The night air blowing in softly through the open window feels cool on my face. For the moment, all seems right with the world.
Justin K. McFarlane Beau|If there’s no sacrifice, there’s no love.
Ty Burrell|The great paradox of the 21st century is that, in this age of powerful technology, the biggest problems we face internationally are problems of the human soul.
Nancy Atwell|For students of every ability and background, it is the simply miraculous act of reading a good book that turns them into readers. The job of adults who care about reading is to move heaven and earth to put that book into a child's hands.
Steve Jobs|Don’t let the noise of others’ opinions drown out your own inner voice.", 2005]
Jason Medina, A Ghost In New Orleans|The house, and all the objects in it, crackled with static electricity; undertows washed through it, the air was heavy with things that were known but not spoken. Like a hollow log, a drum, a church, it was amplified, so that conversations whispered in it sixty years ago can be half-heard today.
Guy de Maupassant, The Complete Short Stories of Guy de Maupassant, Part One|Is he safe?" I whispered as soon as the baker was out of earshot."I very much doubt it," Hal said in a low voice.I frowned. "You're meant to say 'yes, I'd trust him with my life.' That sort of thing. Something reassuring."He blinked twice at me. "I beg your pardon. Next time I'll read between your very vague lines, and lie. Will that make you happy?
Terence McKenna|I guess I should say a little bit about my method - I really am a fence sitter. I *loathe* Science and am always keen to attack it in most situations, though not here, because I love Reason and I'm perfectly aware of the difference. I also know what a concept means like Rules of Evidence. I'm not sure that's a concept as widely circulated in these circles as it needs to be - in other words, how *do* you tell shit from shinola? That's very critical. I think reason can only take us a certain distance, and then we have to go with the divine imagination, but with all safety systems fully in operation, or the divine imagination will lead us into complete paranoia.
Sevyn Streeter|More and more, there are things in my life that I find hard to say. Like, 'David Bowie and Lorde were at my birthday party.' She's a phenomenal spirit.
Elizabeth Kostova, The Historian|To you, perceptive reader, I bequeath my history.
Chris Burkmenn|If you're looking for an excuse to quit you will find it, but if you are looking for the reason to continue you must fight for it.
Ludwig von Mises, Bureaucracy|What they wanted from a hog was all the profits that could be got out of him; and that was what they wanted from the workingman, and also that was what they wanted from the public. What the hog thought of it, and what he suffered, were not considered; and no more was it with labor, and no more with the purchaser of meat.
Blaize Clement, Even Cat Sitters Get the Blues|Understanding’s not enough. Understanding’s from outside; merely a function of the mind. [. . .] To enter, that’s the secret. To become the bridge, to crawl into its sap, to sway with it, to rot over centuries as its heartwood rots. When you are the bridge you will know what the bridge knows. It takes time. A lifetime. And skill.
Nora Roberts, Bed of Roses|Nodding, Parker ate. “He’s an exceptional kisser.”“He really is. He . . . How do you know?” When Parker just smiled, Emma’s jaw dropped. “You? You and Jack? When? How?”“I think it’s disgusting,” Mac muttered. “Yet another best pal moving on my imaginary ex.”“Two kisses, my first year at Yale, after we ran into each other at a party and he walked me back to the dorm. It was nice. Very nice. But as exceptional a kisser as he is, it was too much like kissing my brother. And as exceptional a kisser as I am, I believe he felt it was too much like kissing his sister. And that’s how we left it. I gather that wasn’t an issue for you and Jack.
Shawn Kirsten Maravel, Severance|Writing is easy, its marketing that is truly hell!
Charles Darwin|False facts are highly injurious to the progress of science, for they often endure long; but false views, if supported by some evidence, do little harm, for everyone takes a salutary pleasure in proving their falseness; and when this is done, one path towards error is closed and the road to truth is often at the same time opened.
Nenia Campbell, Black Beast|Psychological imprisonment was no less uncomfortable than its physical counterpart. In some ways, it was even worse; it provided the illusion of physical freedom, but garnered none of the benefits of it.
Harvey Weinstein|The technology keeps moving forward, which makes it easier for the artists to tell their stories and paint the pictures they want.
Wayne Gerard Trotman|If you're not aiming at perfection, you're not trying hard enough.
Mehmet Murat ildan|Songs can be like photos - they hold a memory, a moment, and thoughts that keep you warm inside.
David Kofi Awusi|Everyday of your life is a another lesson. If you learn the lesson well and apply it; whether positive or negative, you determine what happens in your tomorrow.
Tove Jansson, The Summer Book|She started thinking about all the euphemisms for death, all the anxious taboos that had always fascinated her. It was too bad you could never have an intelligent discussion on the subject. People were either too young or too old, or else they didn't have time.
Anonymous.|Do you know that feeling? When everything you do seems like a struggle. Where you dont wanna leave the house because you know everyone is judging you. Where you cant even ask for directions in fear that they critise you. Where everyone always seems to be picking out your flaws. That feeling where you feel so damn sick for no reason.Do you know that feeling where you look in the mirror and completly hate what you see. When you grab handfuls and handfuls of fat and just want to cut it all off. That feeling when you see other beautiful girls and just wish you looked like them. When you compare yourself to everyone you meet. When you realise why no one ever showed intrest in you. That feeling where you become so self conscious you dont even turn up at school. That feeling when you feel so disappointed in who you are and everything you have become. That feeling when every bite makes you wanna be sick. When hunger is more satifying that food. The feeling of failure when you eat a meal. Do you know that feeling when you cant run as far as your class. Fear knowing that everyone thinks of you as the"Unfit FAT BITCH" That feeling when you just wanna let it all out but you dont wanna look weak. The fear you have in class when you dont understand something but your too afraid to ask for help. The feeling of being to ashamed to stand up for yourself.  Do you know the feeling when your deepest fear becomes a reality. Fear that you will NEVER be good enough. When you feel as if you deserve all the pain you give yourself. When you finally understand why everyone hates you. FINALLY realising the harsh truth. Understanding that every cut, every burn, every bruise you have even given yourself, you deserved. In fact you deserved worse. That feeling when you believe you deserve constant and brutal pain. Do you know what it feels like to just want to give up. When you just want all the pain to end but you want it to continue? Or am i just insane
John Green, The Fault in Our Stars|She said she couldn't handle it,’ he told me. ‘I’m about to lose my eyesight and she can’t handle it.’I was thinking about the word handle, and all the unholdable things that get handled. . . .'Well, to be fair,' I said, 'I mean, she probably can't handle it. Neither can you, but she doesn't have to handle it. And you do.''I kept saying “always” to her today, “always always always”, and she just kept talking over me and not saying it back. It was like I was already gone, you know? “Always” was a promise! How can you just break a promise?''Sometimes people don't understand the promises they're making when they make them', I said.Isaac shot me a look. ‘Right, of course. But you keep them anyway. That’s what love is. Love is keeping the promises anyway. Don’t you believe in true love?’I didn’t answer. I didn’t have an answer. But I thought that if true love did exist, that was a pretty good definition of it.
Leon Spinks|When all is said and done, the real citadel of strength of any community is in the hearts and minds and desires of those who dwell there.
Rachel Allord, The Ground Beneath Us|This woman is so didactic I think I may scream. If it's bleeding, bandage it. If it's crying, hug it. If it's hopeless, pray for it. If it's dead, resurrect it.
Emma Donoghue|In the West, they will either accept or reject. In the East, they will always accept also provide guidance and patience.
Edgar Mitchell|There's a rule of thumb in politics. If you're at a point where you're complaining about the other guy being mean and unfair and uncivil, that's probably a sign that you're losing.
Lúcia Ramos|Oh, Confucius, "real knowledge" is to know we will ever be able to measure the extent of our, or one's, ignorance.
Chris Prentiss, The Alcoholism and Addiction Cure|Ultimately, we are much more addicted than the junkie because we are responsible for not only our own demise, but the breakdown of the entire natural world. There is no other appropriate response to a situation this grave, this utterly overwhelming, than powerlessness. It has taken countless generations to arrive in this predicament; a solution cannot arise overnight. It will take work. It will take time.
Jennifer Salaiz|Longing, whether for a passion or person, is one of the most powerful, yet painful, emotions there is. It can drive you to its source under the most extreme conditions, or it can cripple you from obtaining your dreams. When it comes to the pull you feel, always go after it, if not, it'll eat you alive.
Chris Thrall, Eating Smoke: One Man's Descent Into Crystal Meth Psychosis in Hong Kong's Triad Heartland|Drugs, what a devil-inspired poison! It’s death on the installment plan.
Tara Brach, Radical Acceptance: Embracing Your Life With the Heart of a Buddha|When someone says to us, as Thich Nhat Hanh suggests, "Darling, I care about your suffering," a deep healing begins.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|People certainly will love what you write, when you represent them in your words.
OMOSOHWOFA CASEY|As one attains the age of 18 having fully acquired the basic education, one becomes responsible for whatever decision he makes, whatever opinion he chooses to accept and whatever style of life he chooses to live.Above age 18, the waywardness of a child depends on the child.
Guy Davenport, The Geography of the Imagination: Forty Essays|These are all direct quotes, except every time they use a curse word, I'm going to use the name of a famous American poet:'You Walt Whitman-ing, Edna St. Vincent Millay! Go Emily Dickinson your mom!''Thanks for the advice, you pathetic piece of E.E. Cummings, but I think I'm gonna pass.''You Robert Frost-ing Nikki Giovanni! Get a life, nerd. You're a virgin.''Hey bro, you need to go outside and get some fresh air into you. Or a girlfriend.'I need to get a girlfriend into me? I think that shows a fundamental lack of comprehension about how babies are made.
Dada Bhagwan|The kashays (inner anger, pride, deceit and greed) that keep one entrenched in the coolness of the worldly life are the very thing that makes one wander life after life.
Swami Satchidananda, The Yoga Sutras|Temples and churches have become social centers. They have lost their original purpose because the minds of the people are more attracted to worldly things than to prayer. The lips repeat the prayer mechanically like a phonograph record, but the mind wanders to other places. (23-24)
William Hague|I'm a huge fan of the first 'Independence Day.' It is amazing. When it came out in 1995, just how explosive and big it was... I loved it.
Lin-Manuel Miranda|Meaning is something we experience more than we attain. It's like finding a nice, easy current in a river that carries you through life.
Han Kang, The Vegetarian|Life is such a strange thing, she thinks, once she has stopped laughing. Even after certain things have happened to them, no matter how awful the experience, people still go on eating and drinking, going to the toilet and washing themselves - living, in other words. And sometimes they even laugh out loud. And they probably have these same thoughts, too, and when they do it must make them cheerlessly recall all the sadness they'd briefly managed to forget.
Carrie Snyder, Girl Runner|Choices, Choices, Choices!Listen to your instincts; you will make the best-choices.
E.M. Swift-Hook|Real affection does not see anything in terms of 'rights', nor does it even care if it is reciprocated. It merely waits by the door and hopes."From 'A Walking Shadow
Criss Jami|Perhaps not everything happens for a reason. That is, until you make it so; because for everything there is a season, which can, in fact, become beautiful.
J.A. ANUM|He pulled me close and said, "Katie, don't leave me, you're my breath, I refuse to live without you."It was the most beautiful thing I had ever heard, but I still walked away, because my name is Anne Marie.
R. Alan Woods|You can walk in the Light or you can grope around in the dark because there is no walking with Jesus by candle light".~ R. Alan Woods [2012]
Bhavik Sarkhedi|Be different and make a difference.." - Sivaprakash Sidhu
Rebecca O'Dwyer - Centred Woman|My job as a Mind Body Spirit Coach is not to 'fix' people, it is to 'break' them and empower them to connect to their spirit and trust that they will be re-built slightly differently given a little time and patience.
Ellen F. Davis|It is appropriate to speak of the artisans as possessed of wisdom (and not just "skill"), because the biblical writers share the understanding common to most traditional societies that the active form of wisdom is good work. Wisdom does not consist only in sound intellectual work; any activity that stands in a consistently productive relationship to the material world and nurtures the creative imagination qualifies as wise.
C.S. Lewis|The rule of the universe is that others can do for us what we cannot do for ourselves, and one can paddle every canoe except one's own. 
Mary Roach, Packing for Mars: The Curious Science of Life in the Void|Borman's dumping urine. Urine [in] approximately one minute." Two lines further along, we see Lovell saying, "What a sight to behold!
Jonathan Kellerman, Time Bomb|At first, when a child meets something that scares him, the fear grows, like a wave. But when he goes into the water and swims - gets used to the water - the wave grows small. If we pull the child away when the wave is high, he never sees that, never learns how to swim and remains afraid. If he gets a chance to feel strong, in control, that's called coping. When he copes, he feels better.
Julie Walters|It wasn't being an alcoholic - it was going wild. It happened when I got famous. It was like having my teens in my early thirties: blotting out your life, not having to think about anything.
Priyavrat Thareja|When we pray for miracles to everyone or everybody, we are spreading corruption through the pulpit.
Greg Dutilly|Every single one of us is born with a unique and perfect set of tools which enable us to affect the world in an awesome and profound way. Unfortunately, most people do not open their toolbox.
Eowyn Ivey, The Snow Child|Friendship is the underlying element, the common denominator of every relationship.
Reinhold Niebuhr|However much I might try to expound or explain Love, when I come to Love itself, I am ashamed of my explanations... Love alone can explain the mysteries of love and lovers.
Jay Woodman|If people don't appreciate your REAL self it's hard to be with them, but you only find TRUE friends by SHOWING that self & TRUSTING.
J. Budziszewski, What We Can't Not Know: A Guide|Yet our common moral knowledge is as real as arithmetic, and probably just as plain. Paradoxically, maddeningly, we appeal to it even to justify wrongdoing; rationalization is the homage paid by sin to guilty knowledge.
Yasmin Mogahed|A three-quarter moon, glowering bone, with a hint of something bruised, battered, scarred. The moon has endured more than anybody can know.
Ursula K. Le Guin, A Wizard of Earthsea|But you must not change one thing, one pebble, one grain of sand, until you know what good and evil will follow on that act. The world is in balance, in Equilibrium. A wizard's power of Changing and Summoning can shake the balance of the world. It is dangerous, that power...It must follow knowledge, and serve need.
C.G. Jung, The Essential Jung: Selected Writings|We are still living in a wonderful new world where man thinks himself astonishingly new and "modern." This is unmistakable proof of the youthfulness of human consciousness, which has not yet grown aware of its historical antecedents.
John Stuart Mill, On Liberty|It is a bitter thought, how different a thing the Christianity of the world might have been, if the Christian faith had been adopted as the religion of the empire under the auspices of Marcus Aurelius instead of those of Constantine.
Dani Harper|There is nothing like the moment you connect with a reader! Nothing like the response that you get when what you have written touches someone in some way. It's a moment in which your work is almost a co-creation, you and the reader joining forces to make your words live.
Shelby Foote, The Civil War, Vol. 1: Fort Sumter to Perryville|Sometimes we have to inspire and encourage ourselves, through our personal narrative. And we start with what we know.
Shannon L. Alder|I wish I were like you pa. I wish I had not been afraid, all my life! Pg.55
Mark Andrew Poe, Halloween Nightmares|Besides, two kinds of people have the courage to make someone else's decisions: the hero, who comes to your rescue when you can't even cry out for help, and the tyrant. The only difference between them is the hero listens. As soon as you can talk, he'll put you down if you say so.
Sue Richardson, Creative Responses to Child Sexual Abuse: Challenges and Dilemmas|It is often said that Vietnam was the first television war. By the same token, Cleveland was the first war over the protection of children to be fought not in the courts, but in the media. By the summer of 1987 Cleveland had become above all, a hot media story. The Daily Mail, for example, had seven reporters, plus its northern editor, based in Middlesbrough full time. Most other news papers and television news teams followed suit. What were all the reporters looking for? Not children at risk. Not abusing adults. Aggrieved parents were the mother lode sought by these prospecting journalists. Many of these parents were only too happy to tell — and in some cases, it would appear, sell— their stories. Those stories are truly extraordinary. In many cases they bore almost no relation to the facts. Parents were allowed - encouraged to portray themselves as the innocent victims of a runaway witch-hunt and these accounts were duly fed to the public. Nowhere in any of the reporting is there any sign of counterbalancing information from child protection workers or the organisations that employed them. Throughout the summer of 1987 newspapers ‘reported’ what they termed a national scandal of innocent families torn apart. The claims were repeated in Parliament and then recycled as established ‘facts’ by the media. The result was that the courts themselves began to be paralysed by the power of this juggernaut of press reporting — ‘journalism’ which created and painstakingly fed a public mood which brooked no other version of the story. (p21)
Louise Penny, A Rule Against Murder|On old maps, cartographers would draw strange beasts around the margins and write phrases such as "Here be dragons." That's where monsters exist: in the unmapped spaces, in the places where we haven't filled in all the gaps...
Greg Grandin|I think the media can be a very positive influence by essentially holding people to task about the importance of high quality medical care. And when the media is scrutinizing you, then I think that's a very good, positive thing for the field of medicine.
Paul Di Filippo|I need your help. I am injured, near death, and too weak to hike out of here. I am all alone. This is no joke. In the name of God, please remain to save me. I am out collecting berries close by and shall return this evening. Thank you, Chris McCandless.
Rory Harrison, Looking for Group|You’re going to turn the next page, because you still have hope. You hope there’s a little something more, and it’s nothing personal. People do it at the end of every book. I think that’s why publishers put in all those extra pages. So you have a chance to shuffle and flip through them while it sinks in. It’s over. The trip is done.You know it’s over, but you’re going to turn the page anyway.
Joseph Conrad, Heart of Darkness|I don't think a single one of them had any clear idea of time, as we at the end of countless ages have. They still belonged to the beginnings of time—
Mokokoma Mokhonoana|In any sane society, a farmer is a billion times more important than an economist.
Frederick Douglass|People might not get all they work for in this world, but they must certainly work for all they get.
Debasish Mridha|Best friends are those people who reveal to you what is wonderful inside of you, and you can all still laugh together.
Alex Lane|When the emergency brappers went of they did what any dedicated, well-trained and quick-minded Service personnel would do; they paniced.From the short story What Makes Us Human.
Jean Baudrillard|Democracy is the menopause of Western society, the Grand Climacteric of the body social. Fascism is its middle-aged lust.
