David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|I made up my mind not to care so much about the destination, and simply enjoy the journey.
Susie Morgenstern, Secret Letters From 0 To 10|That's the way it is--you have a thought, a dream, an idea in your head . . . and you do nothing to make it happen. Then one day, boom, just like that, you get up and go.
brother Billy|Jesus says we are blessed when we are hated, ostracized, insulted, and ridiculed on earth, because of Him.
Anthony D. Ravenscroft, Polyamory: Roadmaps for the Clueless and Hopeful: An Introduction on Polyamory|(In reference to swingers) In the meantime, if you wish to declare yourself polyamorous, get used to the fact that the confusion is gong to remain as a pejorative. Sure, clear up the misunderstanding as much as you can, but don't put too much effort into setting yourself up as a "good", responsible, community-oriented polyamorist by contrasting yourself to the "bad" swingers - they may not be your siblings, but they're definitely your cousins.
Charles Frazier, Cold Mountain|Inman's only thought looking on the enemy was, "Go home.
Mark Twain, Pudd'nhead Wilson|Behold, the fool saith, "Put not all thine eggs in the one basket" - which is but a matter of saying, "Scatter your money and your attention"; but the wise man saith, "Pull all your eggs in the one basket and - WATCH THAT BASKET." - Pudd'nhead Wilson's Calendar
E.F. Benson, Lucia in London|On the doorstep Adele met Tony Limpsfield. She hurried him into her motor, and told the chauffeur not to drive on."News!" she said. "Lucia's going to have a lover.""No!" said Tony in the Riseholme manner"But I tell you she is. He's with her now.""They won't want me then," said Tony. "And yet she asked me to come at half-past five.""Nonsense, my dear. They will want you, both of them. . . . Oh Tony, don't you see? It's a stunt."Tony assumed the rapt expression of Luciaphils receiving intelligence."Tell me all about it," he said."I'm sure I'm right," said she. "Her poppet came in just now, and she held his hand as women do, and made him draw his chair up to her, and said he scolded her. I'm not sure that he knows yet. But I saw that he guessed something was up. I wonder if he's clever enough to do it properly. . . . I wish she had chosen you, Tony, you'd have done it perfectly. They have got--don't you understand?--to have the appearance of being lovers, everyone must think they are lovers, while all the time there's nothing at all of any sort in it. It's a stunt: it's a play: it's a glory.""But perhaps there is something in it," said Tony. "I really think I had better not go in.""Tony, trust me. Lucia has no more idea of keeping a real lover than of keeping a chimpanzee. She's as chaste as snow, a kiss would scorch her. Besides, she hasn't time. She asked Stephen there in order to show him to me, and to show him to you. It's the most wonderful plan; and it's wonderful of me to have understood it so quickly. You must go in: there's nothing private of any kind: indeed, she thirsts for publicity."Her confidence inspired confidence, and Tony was naturally consumed with curiosity. He got out, told Adele's chauffeur to drive on, and went upstairs. Stephen was no longer sitting in the chair next to Lucia, but on the sofa at the other side of the tea-table. This rather looked as if Adele was right: it was consistent anyhow with their being lovers in public, but certainly not lovers in private."Dear Lord Tony," said Lucia--this appellation was a halfway house between Lord Limpsfield and Tony, and she left out the "Lord" except to him--"how nice of you to drop in. You have just missed Adele. Stephen, you know Lord Limpsfield?"Lucia gave him his tea, and presently getting up, reseated herself negligently on the sofa beside Stephen. She was a shade too close at first, and edged slightly away."Wonderful play of Tchekov's the other day," she said. "Such a strange, unhappy atmosphere. We came out, didn't we, Stephen, feeling as if we had been in some remote dream. I saw you there, Lord Tony, with Adele who had been lunching with me."Tony knew that: was not that the birthday of the Luciaphils?
Margaret Atwood, Oryx and Crake|Nobody wanted to be sexless, but nobody wanted to be nothing but sex
Laura Anderson Kurk, Glass Girl|This angered me. “Nothing has changed!?!?” I screamed at him. I was furious with him. He had duped me. “Your a mermaid! Your a freak!” Calling him a freak hurt his feelings. “I am the same boy you fell in love with. I can't help who I was born as, but that doesn't affect the boy in which I want to be.”“And what is that?” I asked, really emotional right now. “A boy who wants to be given the chance to love you.” With these tender words, I instantly ran into his arms. “Oh Trysten, I don't care who you are, or what you can become, but I love you for loving me.
Abraham Ruiz|If you are a winner by the judgements of few judges and not by your performance, you are not a real winner.
Martine Millman, Homeschooling: A Family's Journey|Fifteen minutes later, Betsy came thundering down the stairs. "I'm going to the mall with Sierra to see a movie."Michael leaned forward, switched off the television. "Can you please rephrase that in the form of a question?""Sure. Can I have some money?
Michael Bassey Johnson|Insurgence and all forms of evil in a society doesn't describes her as a failure, but vividly shows a lack of love for one another.
Matshona Dhliwayo|The heart is seldom wiser than the mind, but when it is, listen to it.
Batuhan Ibal|The master in us all lives behind the masks and roles and wounds and beliefs. It calls us to live deep, full, radical lives. It asks us not to wait until we are told by anyone that we have arrived. It invites us forward, across the line of fear and unworthiness, to experience mastery in this moment--as much as we can right now. To learn from stumbling. To rise again and keep walking until we no longer notice our feet in their effortless dance. But mostly not to wait until some distant, perfect someday. Mastery is now.
Vera Nazarian, The Perpetual Calendar of Inspiration|There are stories in the air as thick as birds around me, he would say. I will save those stories from starving he would say. I have a great hunger for stories, he would say.
Craig D. Lounsbrough, Flecks of Gold on a Path of Stone: Simple Truths for Profound Living|God would have us cherish even the smallest of blessings, for in taking a blessing for granted we are well on our way to taking it to its grave.
Stephen Richards, Insanity: My Mad Life|One lunatic in Rampton used to have bouts of hysteria. Where he would let out a scream, and run at a wall and dive headfirst…crash! He was given a crash helmet! (Well it is a mad house.)
Akshay Vasu|And her heart burst like the stars do in the end, and She fell on her knees. But the whole world looked her in awe. She lit the whole universe with her fire for a moment. In the end, she was as beautiful as the stardust falling from the sky and her heart didn't ache anymore.
Will Cohu, The Wolf Pit: A Moorland Romance|The place of horror turns out to be no more than a green scoop, sometimes shadowed, sometimes shining with the bilberries and grass within it, as if a mouth had opened from which streamed a beam of light. So my uncle Robert's death, which had looked from a distance to be an all-consuming tragedy was, close-up, the story of a man finding release from his pain and how his brother had showed such defiant love. The past was a grave, a trap - and yet, also neither of these. Just light, coming and going.At the wolf pit you imagine you will stare into a hole littered with bones, but what draws you to that place is not what you take from it. The wolf pit seems a delicate illusion. You walk towards it; there is nothing, just a curve of the moor; then it is a soft green light, and then it is nothing again.
Seamus Heaney|In poetry, everything can be faked but the intensity of utterance.
Lailah Gifty Akita|I give up my control, God guide my step in every circumstance.
Francis Bacon|Thirty years ago, we used to ask: Can a computer simulate all processes of logic? The answer was yes, but the question was surely wrong. We should have asked: Can logic simulate all sequences of cause and effect? And the answer would have been no.
Stephen King, On Writing: A Memoir of the Craft|You’re allowed to manipulate the environment, but not the character.
Keith Richards|No, I do a bunch of things to entertain myself. I paint, I make music, I take photographs.
Bangambiki Habyarimana, Pearls Of Eternity|They're talking as if nothing's happened, Soledad said to herself, and the jealousy ran from her ears into her heart, where it settled into her aorta and reshaped itself as longing and desire, the kind of want that makes one capable of poor but magnanimous decisions.
Sara Craven, Dark Summer Dawn|I must have you. We must have each other. You know that, don't you? You'rein my blood, God help us both.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Because it's not muscles that make men strong. Secret do. The more secret you keep, the stronger you are on the inside.
Billy Graham, Billy Graham in Quotes|[The] love of God that reaches to wherever man is, can be entirely rejected. God will not force Himself upon anyone against his will. It is your part to believe. It is your part to receive. Nobody else can do it for you.
Ashly Lorenzana|Love is an awfully personal thing for most of us, so why isn't hate?
M. Rickert, American Fantastic Tales: Terror and the Uncanny from the 1940's Until Now|Horror is not unimaginable, it has neither the face of a monster nor the bat-wings of a demon. It is calm and tranquil, and it is durable, lasting whole days and nights, months; years, perhaps. It is not mortal. It strikes at the eyes, only the eyes.
Robert Vanleeuwen|We grow not through the words we read or the lessons we see, but through the love we feel & and the paths we lead.
LouAnne Johnson, Dangerous Minds|I know you kids are angry, because the world isn't fair. Well, get over it, because it's never going to be fair. The white boys have all the money and all the power and that's the way it is. And they aren't going to give it up - to you or to me. And you can't blame them for it because if you had it, you wouldn't give it to them, either. But fighting each other isn't going to fix anything. All it's going to do is let everybody go on insisting that black and Hispanic kids are ignorant and violent. That's perfect. It's easy. If you're ignorant and violent, people who don't like you can kick you out of school or put you in jail. And it's you own fault.
Henry Fairfield Osborn|Today the earth speaks with resonance and clearness and every ear in every civilized country of the world is attuned to its wonderful message of the creative evolution of man, except the ear of William Jennings Bryan; he alone remains stone-deaf, he alone by his own resounding voice drowns the eternal speech of nature.
Christopher Hitchens, Hitch-22: A Memoir|Every article and review and book that I have ever published has constituted an appeal to the person or persons to whom I should have talked before I dared to write it. I never launch any little essay without the hope—and the fear, because the encounter may also be embarrassing—that I shall draw a letter that begins, 'Dear Mr. Hitchens, it seems that you are unaware that…' It is in this sense that authorship is collaborative with 'the reader.' And there's no help for it: you only find out what you ought to have known by pretending to know at least some of it already.It doesn't matter how obscure or arcane or esoteric your place of publication may be: some sweet law ensures that the person who should be scrutinizing your work eventually does do so.
Glenn Greenwald|...if anybody was going to blow up the Superland™ Wal-Mart, it was going to be me. Not some fucking crusty punk.
Sara Ramirez|If you go on a journey to Mars and get into deep space, there is several hundred times, maybe 300 times the radiation.
Elie Wiesel|The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.
Honoré de Balzac, The Atheist’s Mass|The Man of Power is one who presides—By persuasion. He uses no demeaning words or behavior, does not manipulate others, appeals to the best in everyone, and respects the dignity andagency of all humankind—men, women, boys, and girls.By long-suffering. He waits when necessary and listens to the humblest or youngest person. He is tolerant of the ideas of others and avoids quick judgments and anger. By gentleness. He uses a smile more often than a frown. He is not gruff or loud or frightening; he does not discipline in anger.By meekness. He is not puffed up, does not dominate conversations, and is willing to conform his will to the will of God.By love unfeigned. He does not pretend. He is sincere, giving honest love without reservation even when others are unlovable.By kindness. He practices courtesy and thoughtfulness in little things as well as in the more obvious things. By pure knowledge. He avoids half-truths and seeks to be empathetic. Without hypocrisy. He practices the principles he teaches. He knows he is not always right and is willing to admit his mistakes and say ‘I’m sorry.'Without guile. He is not sly or crafty in his dealings with others, but is honest and authentic when describing his feelings.
Michael Fossel|I think there's a kind of desperate hope built into poetry now that one really wants, hopelessly, to save the world. One is trying to say everything that can be said for the things that one loves while there's still time.
Bruce Lee|I suppose I have become a sort of living monument in Portugal. But I come from a family with roots all over the world, so the idea of patriotism is not very strong in me. My country is the country of Chekhov, Beethoven, Velasquez - writers I like, painters and artists I admire.
William Barrett|If science could comprehend all phenomena so that eventually in a thoroughly rational society human beings became as predictable as cogs in a machine, then man, driven by this need to know and assert his freedom, would rise up and smash the machine. What the reformers of the Enlightenment, dreaming of a perfect organization of society, had overlooked, Dostoevski saw all too plainly with the novelist's eye: namely, that as modern society becomes more organized and hence more bureaucratized it piles up at its joints petty figures like that of the Underground Man, who beneath their nondescript surface are monsters of frustration and resentment.
Kelsea Ballerini|It's been really cool to me to watch someone like Sam Hunt, whose lyrics and roots are in country but you can hear that he listens to Drake and Justin Timberlake - and that's OK. It allows songwriters to be more honest because it's like, 'This is who I'm listening to.'
Charles Dickens, Oliver Twist|I have seen enough, too, to know that it is not always the youngest and best who are spared to those that love them; but this should give us comfort rather than sorrow, for Heaven is just, and such things teach us impressively that there is a far brighter world than this, and that the passage to it is speedy.
Felipe VI of Spain|If you're an original thinker, you are going get told 'no' a lot, and you have to be able to hear 'no' many times from the bankers and trust that at some point, someone is going to recognize that you are an artist and not a can of soda.
Marion Zimmer Bradley, The Mists of Avalon|The room had lost its morning light, the glow of expectation and potential. The daylight was now gray, and the new day was already used, a little soiled by mistaken thoughts and makeshift undertakings.
Jasper Fforde, Shades of Grey|No one who cooks, cooks alone. Even at her most solitary, a cook in the kitchen is surrounded by generations of cooks past, the advice and menus of cooks present, the wisdom of cookbook writers.
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|Why should i blame world, if i get wrong to recognize true and real faces of people
Hans Haacke|Sometimes, homely things are done for the best reasons in the world and thus achieve a beauty of their own.
T.A. Miles, Blood Lilies|Which was just well: goodbyes had never been my strong suit anyway, and lately my life had felt like an unbroken series of them. Goodbye, goodbye, goodbye.
Jesse Andrews, Me and Earl and the Dying Girl|I'd grown up hearing stories about the special hazards that girls faced. I knew where the bodies were found: naked on beaches or cut into pieces, parts frozen in freezers or buried in cement. These stories were never kept from us girls. Instead they were spread around like ghost stories, our parents hoping that fear would do the job that our judgment might not.
Alice Hoffman, Here on Earth|Children would beg for a peppermint drop each time he walked into town, and they'd follow behind, asking for a second and a third. When he died suddenly, while working late at his office, every boy and girl in the village reported smelling mint in the night air, as if somehing sweet had passed them right by.
Fannie Flagg, Fried Green Tomatoes at the Whistle Stop Cafe|After the boy at the supermarket had called her those names, Evelyn Couch had felt violated. Raped by words. Stripped of everything. She had always tried to keep this from happening to her, always been terrified of displeasing men, terrified of the names she would be called if she did. She had spent her life tiptoeing around them like something lifting her skirt stepping through a cow pasture. She had always suspected that if provoked, those names were always close to the surface, ready to lash out and destroy her.
Christine Kenneally, The First Word: The Search for the Origins of Language|But there is no agency in evolution; it is inadvertent. We survived, modified, and multiplied, just like any animal alive today, and out of the wildly dodgem course we took, language arose.
Steve Backley, The Champion in all of Us: 12 Rules for Success|If you want to continue to be the best in the world, then you have to train and compete like you are second best in the world.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|Find the beauty in situations where it is not obvious, and you will create voluminous joy in your life.
William Shakespeare, Romeo and Juliet|It is not true that fate slips silently into our lives. It steps in through the door that we have opened, and we invite it to enter. No one is strong enough or cunning enough to avert by word or deed the misfortune that is rooted in the iron laws of his character and his life.
John Cornyn|From age nine, my friends and I were on the streets, walking home, going to each other's houses, going to the store. I really wanted to write about that: the independence that's a little bit scary but also a really positive thing in a lot of ways.
David Rakoff, Don't Get Too Comfortable: The Indignities of Coach Class, The Torments of Low Thread Count, The Never-Ending Quest for Artisanal Olive Oil, and Other First World Problems|When you're making something, you're in a different state. You go into a deep level of concentration, to the point where you're not self-conscious anymore, it's just flowing out of you.
Karel Čapek|When things get bad enough, then something happens to correct the course. And it's for that reason that I speak about evolution as an error-making and an error-correcting process. And if we can be ever so much better - ever so much slightly better - at error correcting than at error making, then we'll make it.
Maggie Stiefvater, The Dream Thieves|Love doesn't measure that way... you may blame me for your feelings, but it isn't fair to blame me for how you've chosen to behave.
Debasish Mridha|Are deepest desires are: someone to understand us, someone to appreciate us, someone to inspire us, and someone to enjoy what we are.
Robinson Jeffers, Selected Poems|Stone-cutters fighting time with marble, you fore defeated Challengers of oblivion Eat cynical earnings, knowing rock splits, records fall down, The square-limbed Roman letters Scale in the thaws, wear in the rain. The poet as well Builds his monument mockingly; For man will be blotted out, the blithe earth die, the brave sun Die blind and blacken to the heart: Yet stones have stood for a thousand years, and pained thoughts found The honey of peace in old poems.
Charles Haddon Spurgeon, Morning and Evening, Based on the English Standard Version|Sticks and stones may break your bones, and words – can cut your insides.
Arthur Conan Doyle, The Hound of the Baskervilles|It is not my intention to be fulsome, but I confess that I covet your skull.
Sunday Adelaja|If you submit to your gift, people will seek and invite you, you will get well paid because you have perfected your gift
S.Ragle|Nobody ever kills everybody anywhere, big man. Somebody always gets away.
Talon P.S., Dear Soldier, With Love|Needs? I guess that is what bothers so many folks. They keep expanding their needs until they are dependent on too many things and too many other people... I wonder how many things in the average American home could be eliminated if the question were asked, "Must I really have this?" I guess most of the extras are chalked up to comfort or saving time.Funny thing about comfort - one man's comfort is another man's misery. Most people do't work hard enough physically anymore, and comfort is not easy to find. It is surprising how comfortable a hard bunk can be after you come down off a mountain.
Max Lerner|The game is my wife. It demands loyalty and responsibility, and it gives me back fulfillment and peace.
Delano Johnson, Love Quotes|You are my reality, fantasy, daydream, fairytale, music, more than the princess in Cinderella; you are much more than a traditional myth.
Daniel Yergin, The Quest: Energy, Security, and the Remaking of the Modern World|Tragedy's language stresses that whatever is within us is obscure, many faceted, impossible to see. Performance gave this question of what is within a physical force. The spectators were far away from the performers, on that hill above the theatre. At the centre of their vision was a small hut, into which they could not see. The physical action presented to their attention was violent but mostly unseen. They inferred it, as they inferred inner movement, from words spoken by figures whose entrances and exits into and out of the visible space patterned the play. They saw its results when that facade opened to reveal a dead body. This genre, with its dialectics of seen and unseen, inside and outside, exit and entrance, was a simultaneously internal and external, intellectual and somatic expression of contemporary questions about the inward sources of harm, knowledge, power, and darkness.
Simone Weil|At the very best, a mind enclosed in language is in prison. It is limited to the number of relations which words can make simultaneously present to it; and remains in ignorance of thoughts which involve the combination of a greater number. These thoughts are outside language, they are unformulable, although they are perfectly rigorous and clear and although every one of the relations they involve is capable of precise expression in words. So the mind moves in a closed space of partial truth, which may be larger or smaller, without ever being able so much as to glance at what is outside.
Amy Leigh Mercree|Perseverance, secret of all triumphs.
Axel Munthe, The Story of San Michele|Dogs needed no words to console you. Dogs were the ultimate practitioners of the therapy of touch. Dogs knew and accepted the hard realities of life that human beings could not acknowledge until those obvious truths were exhaustively described with words, and even then there was often more bitter acknowledgment than humble acceptance.
Neal Shusterman, Red Rider's Hood|The dark, twisting clouds that had settled over Vendona’s streets seemed to open up and glide past the winking moon. The wind moaned slowly as it died while the trees began dancing with a melody only known to nature. The city became alive, and time raced forward as the sky warmed slightly. It was no longer snowing.
Shashi Tharoor, Riot|How do I pray? Not in any organized form, really; I go to temples sometimes with my family, but they leave me cold. I think of prayer as something intensely personal, a way of reaching my hands out towards my maker. I recite some mantras my parents taught me as a child; there is something reassuring about those ancient words, hallowed by use and repetition over thousands of years.
John Green, The Fault in Our Stars|The eyes witness what is carved on the surface, but the hearts are witness to something much deeper.
Amy Engel, The Book of Ivy|My father might not have held my hand or expressed his love openly, but he taught Callie and me that we had inherent values, that we were fully formed human beings without a boy by our side.
Elizabeth Kolbert, The Sixth Extinction: An Unnatural History|[S]he realized quite abruptly that this thing which took him off, which kept him out so many hours day after day, this thing that was against her own little will and instincts—was enormous as the sea. It was no mere prettiness of single Trees, but something massed and mountainous. About her rose the wall of its huge opposition to the sky, its scale gigantic, its power utterly prodigious. What she knew of it hitherto as green and delicate forms waving and rustling in the winds was but, as it were the spray of foam that broke into sight upon the nearer edge of viewless depths far, far away. The trees, indeed, were sentinels set visibly about the limits of a camp that itself remained invisible. The awful hum and murmur of the main body in the distance passed into that still room about her with the firelight and hissing kettle. Out yonder—in the Forest further out—the thing that was ever roaring at the center was dreadfully increasing.
Cassandra Clare, City of Heavenly Fire|The idea was fantastically, wildly improbable. But like most fantastically, wildly improbable ideas it was at least as worthy of consideration as a more mundane one to which the facts had been strenuously bent to fit.
Steven Pinker|I don't want anyone as president who promises to take care of me. I may be stupid, but I want a chance to try to be a grown-up and take care of my family.
Rami Ollaik|We chose younger and younger politicians to lead us because they looked good on television and were sharp. But really we should be looking for wisdom, and choosing people who had acquired it; and such people, in general, looked bad on television - gray, lined, thoughtful.
Julie March, Firefly Night|Atreyu was fighting not for himself, but for his friend, whom he was trying to save by defeating him.
Mitch Albom, Tuesdays with Morrie|Because if you've found meaning in your life, you don't want to go back. You want to go forward.
Aimee Agresti, Illuminate|Before we can begin to see the cross as something done for us, we have to see it as something done by us.
Rick Pitino|In brokenness comes beauty, divine fragility.
David Bowie|I took in a deep breath, and smoke twisted around my head as I let it slip through my teeth. “Do you know what my favorite show was when I was a little kid?”The look again. “I would have no idea.”“Doctor Who. British sci-fi show.”“I am familiar with it. Christopher Eccleston, David Tennant, and Matt—““No,” I said. “The new show’s great, but I grew up on the old one. The low-budget, rubber monster show with Tom Baker and Peter Davison. I watched it on PBS all the time as a kid.”I looked out at the dark ruins of Hollywood, at the stumbling shadows dotting the streets as far as you could see. The only other living person within half a mile was standing behind me, her eyes boring into my head.“The Doctor didn’t have super-powers or weapons or anything like that. He was just a really smart guy who always tried to do the right thing. To help people, no matter what. That struck me when I was a kid. The idea that no matter how cold and callous and heartless the world seemed, there was somebody out there who just wanted to make life better. Not better for worlds or countries in some vague way. Just better for people trying to live their lives, even if they didn’t know about him.”I turned back to her and tapped my chest. “That’s what this suit’s always been about. Not scaring people like you or Gorgon do. Not some sort of pseudo-sexual roleplay or repressed emotions. I wear this thing, all these bright colors, because I want people to know someone’s trying to make their lives better. I want to give them hope.
Avina Celeste|As long as you have food, water, and shelter, all that matters is what goes on inside your mind. A happy mind makes for a happy life. Find the little pleasant moments that happen in your day and summon all the happiness you can from each and every one. There may be bad days but if you can find a tiny speck of happiness then it is not all for nothing. Live in the moment. Let go of the bad in your past and enjoy every happy moment to the fullest extent.
Stephen King, Just After Sunset|Damp veils of mist swirled around them. They were dreadfully cold (Moomintroll thought longingly of his woolly trousers) and surrounded completely by an awful floating emptiness."I always thought clouds were soft and woolly and nice to be in," said Sniff, sneezing. "Ugh! I'm beginning to be sorry I ever came on this expedition.
Aspen Matis, Girl in the Woods: A Memoir|The night Junior stayed, my right to myself was taken from me in a way that had felt more final than ever before. Then the school had denied my rape—my word. The subsequent silencing and exile—misplaced shame—were the catalysts for me to finally break free of my mother's grasp and my voicelessness and do what I truly wanted, alone. I wished to prove myself as independent and valid and strong—to my mother, and to the world. I'd believed I had needed something huge and external that no one could deny was impressive, so I could show my family I was able—so they could finally know that I was strong.Instead I had shown myself.And it felt wonderful.
Zadie Smith, Swing Time|But singing isn’t just about belting it out, is it? It’s not just who has the most wobble or the highest note, no, it’s about phrasing, and being delicate, and getting just the right feeling from a song, the soul of it, so that something real happens inside you when a man opens his mouth to sing, and don’t you want to feel something real rather than just having your poor earholes bashed in?
Andrew Rilstone, Where Dawkins Went Wrong|The Christian who is not diligently involved in a serious study of Scripture is simply inadequate as a disciple of Christ. To be an adequate Christian and competent in the things of God we must do more than attend “sharing sessions” and “bless me parties.” We cannot learn competency by osmosis. Biblically illiterate Christians are not only inadequate but unequipped. In fact, they are inadequate because they are not equipped.
Debbie Ford|Beauty and brains, pleasure and usability - they should go hand in hand.
Nikos Kazantzakis, The Last Temptation of Christ|You will, Judas, my brother. God will give you the strength, as much as you lack, because it is necessary—it is necessary for me to be killed and for you to betray me. We two must save the world. Help me."Judas bowed his head. After a moment he asked, "If you had to betray your master, would you do it?"Jesus reflected for a long time. Finally he said, "No, I'm afraid I wouldn't be able to. That is why God pitied me and gave me the easier task: to be crucified.
Rashedur Ryan Rahman|when you become addict in to MATERIAL things in life then the TRUE natural life start to run away from you, YES! it's can give you certain pleasure in the society but in the same time it will sabotage your true HAPPINESS of life which we could have simply with GRATITUDE and FORGIVENESS
Barbara De Angelis|Everyone has a purpose in life and a unique talent to give to others. And when we blend this unique talent with service to others, we experience the ecstasy and exultation of own spirit, which is the ultimate goal of all goals.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|We want a money-back guarantee before we take a step of obedience, but that eliminates faith from the equation. Sometimes we need to take a flying leap of faith.We need to step into the conflict without knowing if we can resolve it. We need to share our faith without knowing how our friends will react to it. We need to pray for a miracle without knowing how God will answer. We need to put ourselves in a situation that activates a spiritual gift we've never exercised before. And we need to go after a dream that is destined to fail without divine intervention.If we want to discover new lands, we've got to lose sight of the shore. We've got to leave the Land of Familiarity behind. We've got to sail past the predictable. And when we do, we develop a spiritual hunger for the unprecedented and lose our appetite for the habitual. We also get a taste of God's favor.
E.L. Konigsburg, Silent to the Bone|Friendship depends on interlocking time, place, and state of mind.
Gregory Maguire, Out of Oz|What a mystery we are to ourselves, even as we go on, learning more, sorting it out a little. The further on we go, the more meaning there is but the less articulable. You live your life, and the older you get – the more specificity you harvest – the more precious becomes every ounce and spam. Your life and times don’t drain of meaning because they become more contradictory, ornamented by paradox, inexplicable. Rather the opposite, maybe. The less explicable, the more meaning. The less a mathematics equation (a sum game); the more like music (significant secret).
Darynda Jones|You take a universal concept, something that has been done a million times (because everything has been done a million times), and add a fresh twist to it. Something no one saw coming. But mostly fresh writing! Keep it clean, simple, and compelling.
Eloisa James, Duchess By Night|The theme of the book is simple: a man is dying: you feel him sinking throughout the book; his thought and his memories pervade the whole with greater or lesser distinction (like the swell and fall of uneven breathing), now rolling up this image, now that, letting it ride in the wind, or even tossing it out on the shore, where it seems to move and live for a minute on its own and presently is drawn back again by grey seas where it sinks or is strangely transfigured.
Mary Catherine Bateson, Composing a Life|... as we age we have not only to readdress earlier developmental crises but also somehow to find the way to three affirmations that may seem to conflict. ... We have to affirm our own life. We have to affirm our own death. And we have to affirm love, both given and received. [p. 88]
Danny Castillones Sillada|The contemplation of suicide, however brooding and painful it might be, is an essential act that may ascend toward something other than what was originally thought of as an end itself, that is, to hastily commit the act without the pleasure of justifying. Like a spiritual meditation, the contemplation of suicide involves a meticulous process of intellectual and emotional planning over some dark and unbearable sleepless nights. Once the thought of suicide has already been decided upon, it becomes irreversible that no amount of justification can change the decision to consummate the act. But life itself is already an act of suicide, to invoke the French-Romanian philosopher Emil Cioran. So why rush, there’s always a romantic way—a particular time or place—to die. (Danny Castillones Sillada, The Pain and the Pleasure of Contemplating Suicide)
Richard Nelson, The Island Within|I breathe in the soft, saturated exhalations of cedar trees and salmonberry bushes, fireweed and wood fern, marsh hawks and meadow voles, marten and harbor seal and blacktail deer. I breathe in the same particles of air that made songs in the throats of hermit thrushes and gave voices to humpback whales, the same particles of air that lifted the wings of bald eagles and buzzed in the flight of hummingbirds, the same particles of air that rushed over the sea in storms, whirled in high mountain snows, whistled across the poles, and whispered through lush equatorial gardens…air that has passed continually through life on earth. I breathe it in, pass it on, share it in equal measure with billions of other living things, endlessly, infinitely.
Thomas Jefferson|Nationalism is a form of cultural self-centeredness, and as a collective thought-form, can only exist because the dominant in-group is itself comprised of self-centered and narcissistic individuals.
Terry Pratchett, Interesting Times: The Play|Rincewind could scream for mercy in nineteen languages, and just scream in another forty-four.
Walter Isaacson, Steve Jobs|Think about this for a second. Why is it that we would not invest even a single dollar without diversifying it and managing risk, but do exactly the opposite, putting all of our eggs in one basket, with our regular income in our careers?" - Chris Lutz, Modular Career Design
Daniel Radcliffe|I'm lucky because I have a job I love. I really miss being away from home, being in my own bed, seeing my animals and siblings, having my moms cookies. I have a couple cats. I got a kitten about a year ago and now Im going on the road so I wont see him for a while. I feel bad.
Archibald Marwizi, Making Success Deliberate|The aim is to produce specific results by your actions, so you begin to do things on purpose. If I leave things to chance, I am losing the plot to make success deliberate, meaning I am increasing my chances of failing in any given task.
Agatha Christie, Nemesis|But he had been the victim of the world’s most common crime—his youth had been kidnapped by a thing called time. It had likely also been raped, dismembered, and buried somewhere never to be seen again
Poppet, Sveta|Like opium, nerve annihilation stretches up my veins to pump incinerating anguish through my body.
Ezekiel Emanuel|The future of communicating with customers rests in engaging with them through every possible channel: phone, e-mail, chat, Web, and social networks. Customers are discussing a company's products and brand in real time. Companies need to join the conversation.
JJM|Long time ago I had this thing called hope, but like I said it was long ago
Rebecca Wells, Divine Secrets of the Ya-Ya Sisterhood|I like your glasses,” he said. “I like your Simon Snow T-shirts. I like that you don’t smile at everyone, because then, when you smile at me... Cather.
J.K. Rowling, Harry Potter: The Prequel|You'll stay with me? Until the very end, said James. They won't be able to see you? asked Harry. We are part of you, said Sirius. Invisible to anyone else.
Dean Koontz|Narcissists are everywhere in this ripe age of self-love, which amazes me because so much in life would seem to foster humility.
Martin M. Stupak|A key to the brighter future is to reassess goals, priorities and do best to make things happen.
Charles Vest|For whatever reason, I didn't succumb to the stereotype that science wasn't for girls. I got encouragement from my parents. I never ran into a teacher or a counselor who told me that science was for boys. A lot of my friends did.
Caroline George, The Vestige|It wouldn’t be very ladylike to punch a guy in the balls, but it isn’t very manlike to harass a woman because she has different parts and a sweet face.
James Scott, Sr. Fellow, Institute for Critical Infrastructure Technology|Many members of Isis are not sophisticated attackers. The majority of members do not have a technical background. The UCC is predominately capable of hacking soft targets, such as Twitter accounts, and spreading propaganda or defacing websites
Jiddu Krishnamurti|Instead of hating, I have chosen to forgive and spend all of my positive energy on changing the world.
Thomm Quackenbush, Find What You Love and Let It Kill You|My mother was a pathetic patchwork witch who had used magic so much to meddle in her own life that she had no integrity left and was nothing but a coil of hatreds consuming themselves in futility. We had already hedged her power, with the help of the fairies.
Hector Avalos|By Hays' reasoning, penetrating a rectum with a penis is a violation of how God meant humans to function. However, penetrating a human body with a sword, a common way to kill people in biblical times, is acceptable. Apparently human bodies were designed to be penetrated by metal implements, but not by flesh.
