Tim O'Brien, The Things They Carried|Men killed, and died, because they were embarrassed not to.
Danika Stone, All the Feels|... all decisions and actions that will affect your relationship must be made by answering this single question: Will the action I am considering have a negative impact on my relationship? If the answer is yes, don't do it.
Elana Johnson, Elevated|LAST YEAR, Honesty and I still talked, Laughed, Planned weekend activities together. Last year, I used to have friends, Speak, Live. Last year, Honesty lived, Loved, Laughed. But now— Now I live with the knowledge that Some things Kill others
James     Baldwin, Sonny's Blues|I had never before thought of how awful the relationship must be between the musician and his instrument. He has to fill it, this instrument, with the breath of life, his own. He has to make it do what he wants it to do. And a piano is just a piano. It's made out of so much wood and wires and little hammers and big ones, and ivory. While there's only so much you can do with it, the only way to find this out is to try; to try and make it do everything.
Richelle E. Goodrich, Slaying Dragons|This feeling of guilt is your conscience calling your attention to the higher road, and your heart wishing you had taken it.
Jeff Buckley|Turn your head away from the screen, my friend. It will tell you nothing more.
Thomm Quackenbush, A Creature Was Stirring|No thanks. This is a lovely dream, but it's a child's dream. I know some who'd argue the point, but I grew up long ago. - Rose Red (Fables: Vol.21, Happily Ever After)
Carlos Wallace, Life Is Not Complicated-You Are: Turning Your Biggest Disappointments Into Your Greatest Blessings|Unable to understand why you think so, when you chose a different path.
Julie Kagawa, Legion|I didn't fall in love with how you looked," he murmured as his hand rose, gently brushing my cheek. "I fell in love with you."My eyes watered. And everything inside me melted into molten goo. "You are getting entirely too good at making a dragon cry," I saw and kissed him.
Sarah Pinborough, Behind Her Eyes|Go figure, that happened to be his same style of flirtation as well—annoy her half to death until, before she could stop herself, she confessed her deep darks and bonded with him to a degree she never had before.
Victoria Aveyard, Red Queen|You want me to pin my entire operation, the entire revolution on some teenaged love story? I can't believe this.
Carl M. Tomlinson, Essentials of Young Adult Literature|This is home, it's the only place I want to be, but at the same time everything familiar feels strange. It's the same as it ever was except without the people who most belong here.
Terry Pratchett|Death: "THERE ARE BETTER THINGS IN THE WORLD THAN ALCOHOL, ALBERT."Albert: "Oh, yes, sir. But alcohol sort of compensates for not getting them.
Tracy Rees, Amy Snow|Combinations of people, who should have nothing to say to each other. Yet, with hearts that do not recognize it.
Ray Bradbury|In writing the short novel Fahrenheit 451 I thought I was describing a world that might evolve in four or five decades. But only a few weeks ago, in Beverly Hills one night, a husband and wife passed me, walking their dog. I stood staring after them, absolutely stunned. The woman held in one hand a small cigarette-package-sized radio, its antenna quivering. From this sprang tiny copper wires which ended in a dainty cone plugged into her right ear. There she was, oblivious to man and dog, listening to far winds and whispers and soap-opera cries, sleep-walking, helped up and down curbs by a husband who might just as well not have been there. This was not fiction.
Anita Clenney, Awaken the Highland Warrior|I'm looking for a man" Bree started."Aren't we all, dear? All I got's bread and doughnuts, but they're the next best thing""I don't know about that .. well maybe doughnuts. I've lost my .. friend. He's tall-sixfour-longish dark hair, wearing a kilt""Oh him" She smacked a hand over her heart "I'd take him over doughnuts any day
Sunday Adelaja|The more you die to self on daily basis, the more you enjoy life.
Cole Younger|Joe Smith and Brigham Young laid out Independence, but very soon thereafter enough citizens of the county collected to drive them off, after several stubborn fights.
Michelle Franklin|I went closer this time and touched him. He let out a deafening shriek, as if something had pierced into his heart. I held his hand and sat there, admiring the intricate network of life on them. The creases and folds in his body were testament to the cruelty that he had been subjected to in this world. The watery eyes screamed of the pain, the agonising wait to leave this godforsaken place forever, that had given him nothing but pleadings for mercy.
Richelle Mead, Bloodlines|Piece by piece, my mother is being stolen from me.
Udayveer Singh|Years later, on a Steve Jobs discussion board on the website Gawker, the following tale appeared from someone who had worked at the Whole Foods store in Palo Alto a few blocks from Jobs' home: 'I was shagging carts one afternoon when I saw this silver Mercedes parked in a handicapped spot. Steve Jobs was inside screaming at his car phone. This was right before the first iMac was unveiled and I'm pretty sure I could make out, 'Not. Fucking. Blue. Enough!!!
Mary Berry|When I started, you had cochineal food colouring that would turn things pink, but you could never make it red. Now, red is no problem - and if you look at supermarket bakery sections since 'Bake Off' began, you can get everything.
Joseph J. Ellis, Founding Brothers: The Revolutionary Generation|All right,” he said. “Since you asked, Webmind is an emergent quantum-computational system based on a stable null-sigma condensate that resists decoherence thanks to constructive feedback loops.” He turned to the blackboard, scooped up a piece of chalk, and began writing rapidly. “See,” he said, “using Dirac notation, if we let Webmind’s default conscious state be represented by a bra of phi and a ket of psi, then this would be the einselected basis.” His chalk flew across the board again. “Now, we can get the vector basis of the total combined Webmind alpha-state consciousness...
Anonymous|How many times do two people have to fuck before one of them deserves to die?" _Eric Packer
Jettie Necole, Ruby|Ruby's eyes shot open when she woke, for she felt a constraint around her wrists and ankles. Feeling with her fingers, she touched cold metal. Her small movement gave the chains a slight jingle. A sinking feeling washed over her at the realization that she was chained.
Israelmore Ayivor, Shaping the dream|Be a good listener. With rapt attention, let every communication or conversation you have with your mentor, friends or even strangers be well understood.
Debbie  Johnson, Christmas at the Comfort Food Cafe|One of the few advantages of reaching my age is that I've seen it all. Learned not to judge anyone until I've walked in their shoes. That's why we all need friends, isn't it, to help us out with the weak spots? And sometimes the weak spots nobody can see are the ones that hurt the most.
Ravi Teja|Tommie Aaron taught me how to have a good attitude, to be easy going and not get uptight.
Jasleen Kaur Gumber, Ginger and Honey|Each drop that fell,had a story to tell.each smile that curved,said a million words.(Poem: Our Existence, Book: Ginger and Honey)
Abraham Lincoln|We love life, not because we are used to living but because we are used to loving.
Shania Twain, Shania Twain - Up!|Daylight fades away as I watch you.Darkness claims the sky and I wish you knewthat nothing you can do can keep me from you.But I stay out of sight and only whisper to you.Words I can’t say. Words you don’t need to hear.Words I can’t keep from tangling my way.Now, I can’t stand alone.Now, I am under your influence.You’ve taken over me and Now, I can’t ignore what I’ve been shown.You’ve claimed me and I don’t care who knows.You’ve claimed me and I don’t care if it shows.I’m weakened and I’m strengthened in your arms.You’ve claimed me and I need to feel you close.”“You stand wanting more than you could ever understand. I stand helpless needing to give in to your every command.Wanting to see you smile has consumed me and tied both my hands.Nothing I offer could ever be worthy of your love.It’s a miracle that you saw me and never ran.I will spend my whole life trying to be the man you think I am. Now, I can’t stand alone. Now, I am under your influence.You’ve taken over me and Now, I can’t ignore what I’ve been shown.You’ve claimed me and I don’t care who knows.You’ve claimed me and I don’t care if it shows.I’m weakened and I’m strengthened in your arms.You’ve claimed me and I need to feel you close.”“You hold fire within your gaze. It mesmerizes everyone you allow into your maze.I know nothing of your thoughtsbut I need to bask within the warmth of your rays.Nothing you do could ever be wrong.You’re forever perfect in every way. Now, I can’t stand alone. Now, I am under your influence.You’ve taken over me and Now, I can’t ignore what I’ve been shown.You’ve claimed me and I don’t care who knows.You’ve claimed me and I don’t care if it shows.I’m weakened and I’m strengthened in your arms.You’ve claimed me and I need to feel you close.” 	 ~ Dank
Peter Kreeft, Jesus-Shock|If Christianity is true, this changes EVERYTHING. Christ's very last words to us in scripture were: "Behold, I make all things new." (Rev. 21:5) I hope you remember that most moving line in the most moving movie ever made, The Passion Of The Christ, when Christ turns to His mother on the way to Calvary, explaining the need for the Cross and the blood and the agony: "See, Mother, I make all things new." I hope you remember that line with your tear ducts, which connect to the heart, as well as with your ears, which connect to the brain. Christ changed every human being he ever met. In fact, He changed history, splitting it open like a coconut and inserting eternity into the split between B.C. and A.D. If anyone claims to have met Him without being changed, he has not met Him at all. When you touch Him, you touch lightning.
Zig Ziglar|Ability can take you to the top, but it takes character to keep you there
Alberto D. Bautista|What might be your current goal can motivate you in some situations. For like when you priority something and you have loose ends on it, it will make your back itch.
Bluenscottish|The Leader who grows his team not just in numbers but by nurturing the roots of their success,has planted a field of dreams
Sara Baume, A Line Made by Walking|I decided that if I didn't allow myself to fall asleep, then I wouldn't have to wake up again and despair.
Bruce Edwin|People that love quotes are those short on time, but long on big ideas.
Woo Myung, Where You Become True Is The Place Of Truth|Truth is the world and falseness is man who lives within his mind world which has copied the world of Truth. Therefore, man must cleanse and discard his mind. He must become “poor in spirit” in order to go to the real world that is heaven.
Michelle Madow, The Secret Diamond Sisters|Hanging with people who make you feel unappreciated, for the mere sake of appearing to be popular, is the loneliest place to be.
C.S. Lewis|In God you come up against something which is in every respect immeasurably superior to yourself. Unless you know God as that-and, therefore, know yourself as nothing in comparison-you do not know God at all. 
Lailah Gifty Akita, Think Great: Be Great!|Time is Money, I am No Ones Honey, Trust Me. I can Make It Dollars Every Second.
Aaron Neville|The way I look at it is that somebody in the world, no matter what your field is - teacher, violinist, football player - has to be the best. Why not me?
Chuck Wendig, Invasive|We’re here to change the world, not participate in its tedium.
Amie Kaufman, This Shattered World|Life is pain. We are all in pain, all the time.""There are other things this universe has to offer," says the creature, "Light, live, touch, sensation. The way you are all made of the same pieces; the same fragments of stardust and yet you are all so different.
Tyconis D. Allison Ty|Success appeals to the eye, but it's the journey that captures the heart.
Susan May Warren, Baroness|It's because when God adopts you into His family, you belong to Him. He stamps His name on you. A name that comes with His protection. And His birthright, which is eternity and the power to live with joy on this earth.
Runaway Bunny|And inside, inside I feel a dark chasm. And its getting wider, deeper. It’s breaking my heart apart more and more. The chasm is filling up. Filling up with gallons and gallons tears. Tears that were unshed, but piled up. And the endless supply of hurt, anger, and sadness grew and grew. And now its going to burst out. The tears will empty from the chasm, and fall out as a stream from my blood shot eyes. And the chasm will expand, and expand and it will be too much for my small heart that can only take so much. And my heart will crack in two. But no one will know. No one will know the about the expanding chasms, or the gallons of tears, because I will appear fine on the outside. I will keep pretending. Even though inside I’m crying, and I’m breaking in two.
Heather Wolf, Kipnuk the Talking Dog|There is no such thing as tough love. Love is kind, love is compassionate, love is tender.
Shakira|To know yourself as the Being underneath the thinker, the stillness underneath the mental noise, the love and joy underneath the pain, is freedom, salvation, enlightenment.
Connie Kerbs|We have indeed, felt the effects of the epic journey that has been our life. We have covered a lot of ground, parenting, marriage, career, family and otherwise, and at times, surely, have felt the worse for the wear, especially when different circumstances have chewed us up and spit us out! When it felt as if the kiln was stoked to maximum heat levels, and that we would shatter into a billion pieces that would never all be found! There are some differences now, having a little more seasoning to us. First of all, now we understand there is no such thing as being finished. There is always more firing, refining and glazing we can experience, and it is only a matter of when and how, not if we will do so. Secondly, we look forward to it, knowing now it would take more heat than possible to break us beyond repair.
Lailah Gifty Akita, Think Great: Be Great!|Tell me, who in this life, were never guided in course of their realization of their goal?
Mariano Ngan, Cracks in the Armor|Greed is a suit that’s tailor made: it finds a way to fit every lifestyle, no matter how much or how little you earn.
Pamela Clare, Defiant|You think Diana would come to your bed?” Ned threw his head back and laughed. “You’re mad! First of all, she would never break her marriage vows. Secondly, she’s certainly deduced by now what a whoremonger you are. She wouldn’t touch you with gloves, my friend.” from THE DEVIL YOU KNOW (DEVIL DEVERE book #3)
Willem Lange|My mother gave me a disappointed look. Then I gave her one back. Mine was for everything, not just the sandwich.
Corinne Meier|In passion we trust, for passion finds infinity and says that is how many ways I can exist.
Robert J. Braathe|No war is ever glorious. Heroes are usually dead. Besides, they rarely turn into heroes because they are super-humans, but because of circumstances.
Lewis Grizzard|New York is large, glamorous, easy-going, kindly and incurious, but above all it is a crucible - because it is large enough to be incurious.
Cassandra Clare, City of Bones|I can sit here and say I've survived heart break and all those nights I thought I couldn't bare to live without you, yeah I just want to thank them, because I did & now I couldn't imagine a life with you.
Terry Pratchett, The Color of Magic|It was octarine, the colour of magic. It was alive and glowing and vibrant and it was the undisputed pigment of the imagination, because wherever it appeared it was a sign that mere matter was a servant of the powers of the magical mind. It was enchantment itself.But Rincewind always thought it looked a sort of greenish-purple.
Juanes|I've got no problem with anybody's religion. But if you go claiming the Earth is only 10,000 years old, that's just wrong.
Becca Fitzpatrick, Crescendo|She clenched her fist in his T-shirt, put her other arm around those too-broad, too-real shoulders. When he tried to pull away, she held on tight. Kami felt the surrender in his mind a moment before he laid his face in the curve of her neck. The whole world was so real it hurt.Kami whispered into Jared's hair, "I'm always on your side.
Chloe Thurlow, Katie in Love|If you are open to change and welcome surprise, you know the secret of creativity and the secret of life.
Cameron Adams, Breaking Convention: Essays on Psychedelic Consciousness|In the words of Lynne McTaggart: "Living consciousness somehow is the influence that turns the possibility of something into something real. The most essential ingredient in creating our universe is the consciousness that observes it.
Billy Graham, Billy Graham in Quotes|When our faith becomes nothing more than a series of rules and regulations, joy flees and our love for Christ grows cold.
Ardiana Bani Cohn|There's this idea that to live out of conformity with how I feel is hypocrisy; but that's a wrong definition of hypocrisy. To live out of conformity to what I believe is hypocrisy. To live in conformity with what I believe, in spite of what I feel, isn't hypocrisy; it's integrity.
Failte, The Girl For Me|What the hell happened to your leg?" Ang asked him. Matt looked down at his shin, which was scraped and oozing and seemed to be caked in mud. "Crashed.""Crashed what?" Ang asked. "My mountain bike. We just got back.""You crashed, then what? Rolled in dirt?"He laughed. "Something like that actually. It's not a successful ride if you don't bleed." He must not have noticed the look of horror on my face, because he asked, suddenly enthusiastic, "You guys ride?"Angelo and I just looked at each other, and he seemed to realize that was a "no." "Too bad. Well, make yourselves at home. Beer's in the fridge. I have to get cleaned up. Kickoff's in ten minutes.""Football?" Angelo asked. Matt looked at his as if he had just asked if the sky was really blue. "Yeah! First game of the regular season!" We just stared blankly at him, and he just laughed and disappeared down the hall. Angelo looked at me with a smile on his face. "Four fags watchin' football. Must be pretty fuckin' cold in hell right now.
Mensah Oteh|Passion is the feeling of excitement, energy and enthusiasm you feel towards something or someone you care about.
Saim Cheeda|Don’t waste your time dying over the past, spend it living in the present.
Jon Krakauer|Alex here. (...) Ron, I really enjoy all the help you have given me and the times we spent together. I hope that you will not be too depressed by our parting. It may be a very long time before we see each other again. But providing that I get through the Alaskan Deal in one piece you will be hearing form me again in the future. I’d like to repeat the advice I gave you before, in that I think you really should make a radical change in your lifestyle and begin to boldly do things which you may previously never have thought of doing or been to hesitant to attempt. So many people live within unhappy circumstances and yet will not take the initiative to change their situation because they are conditioned to a life of security, conformity, and conservatism, all of which may appear to give one piece of mind, but in reality nothing is more damaging to the adventurous spirit within a man than a secure future. The very basic core of a man’s living spirit is his passion for adventure. The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun. (...) Once you become accustomed to such a life you will see its full meaning and its incredible beauty. (...) Don’t settle down and sit in one place. Move around, be nomadic, make each day a new horizon. (...) You are wrong if you think joy emanates only or principally from human relationships. God has placed it all around us. It is in everything and anything we might experience. We just have to have the courage to turn against our habitual lifestyle and engage in unconventional living.Ron, I really hope that as soon as you can you will get out of Salton City, put a little camper on the back of your pickup, and start seeing some of the great work that God has done here in the American West. you will see things and meet people and there is much to learn from them. And you must do it economy style, no motels, do your own cooking, as a general rule spend as little as possible and you will enjoy it much more immensely. I hope that the next time I see you, you will be a new man with a vast array of new adventures and experiences behind you. Don’t hesitate or allow yourself to make excuses. Just get out and do it. Just get out and do it. You will be very, very glad that you did.Take care Ron,Alex
Sandra Rodriguez Barron, Stay with Me: A Novel|Acuerdate de lo que te digo, mi niño. No tengas miedo. Todo lo que te ha pasado te ayudará. Vas a salir adelante.
Dr. Russ Hill, Medical Investigation 101: A Book to Inspire Your Interest in Medicine and How Doctors Think|Having a system for thinking deeper can provide greater insight into solving everyday problems. Such a system is shared in my book, Medical Investigation 101.
Bridget Allison, Maid in the Shade|When you see me in a scarf you may think “Oh, she went to some trouble there.” But no, when I wear a scarf it means "this grey blouse was unwrinkled and those mocha pants make my behind look fine and voila I have a vivid grey and brown silk scarf which means I have transformed self from bone lazy to coordinated accessory maven.(Maid in Waiting publish date June 2014)
Sherry Turkle, Alone Together: Why We Expect More from Technology and Less from Each Other|This was the face that Ga had shown the world, that of a boy who had swallowed the things that had happened to him, but who wouldn’t understand what they meant for a long, long time.
Todd Misura, Divergence: Erotica from a Different Angle|Ghost shook his head as he sat on the very edge of the bed, poised to take flight if need be. The spiral under his hair felt warm, almost painful, but he resisted the urge to rub it. It never helped when he did, and he was not sure what Gerry would do if the man saw it. The Witch had a symbol she called a triskele, the ink a vivid scarlet still, but no male that had ever come for healing bore a mark like hers, or like his. He had never found the words to ask the Witch about it, about why he was marked like a witch.
Bill  Nye, Undeniable: Evolution and the Science of Creation|It's survival of the hang-in-there's, or the made-the-cuts, or the just good-enoughs.
Mokokoma Mokhonoana, The Use and Misuse of Children|As we all know, as if forever exploiting or attempting to exploit each other were not enough, a group of sane human beings who have just reached the end of a war against a common enemy of theirs will sooner or later start or continue killing and/or fighting against each other.
Kayla Krantz, The Council|The way I see it, you can live your life as is, continuing to feel like an underdog, or you can step up. Be someone who matters, and make a change.
Deepak Chopra, The Book of Secrets: Unlocking the Hidden Dimensions of Your Life|At this moment, you are seamlessly flowing with the cosmos. There is no difference between your breathing and the breathing of the rain forest, between your bloodstream and the world’s rivers, between your bones and the chalk cliffs of Dover.
John Podhoretz|I had no precise plan when I started 'Electronica,' but I think it has been a very positive journey for me.
Stuart Dybek|Language has been mobilised and sent into battle; it directs the human carnage of conflict with its enunciation of emotion, stimulating souls to abandon peace.
Sarah Addison Allen, The Peach Keeper|We're connected, as women. It's like a spiderweb. If one part of that web vibrates, if there's trouble, we all know it, but most of the time we're just too scared, or selfish, or insecure to help. But if we don't help each other, who will?
Marianne Williamson|Humility and Trustworthiness are not rooted only in Presentation, Voice modulation or Nice Jorganbut in Actions and Intentions that speak louder than you do and they last longer
Annette Vaillancourt, How to Manifest Your Soulmate with Eft: Relationship as a Spiritual Path|No, you don’t have to be perfect or completely healed and whole to manifest your SoulMate, and neither do they.
Justin Go, The Steady Running of the Hour|I may not believe in God, but I still fear him.
Shel Silverstein|Israel is a country that respects freedom - freedom of assembly, freedom of speech and freedom of worship.
Jakaya Kikwete|I believe the reason for my early independence is sport, through which I learnt at an early stage to take care of myself and be disciplined.
Terry W. Glaspey, Book Lover's Guide to Great Reading: A Guided Tour of Classic & Contemporary Literature|Let me begin with a heartfelt confession.I admit it. I am a biblioholic, one who loves books and whose life would seem incomplete without them. I am an addict, with a compulsive need to stop by nearly any bookstore I pass in order to get my fix. Books are an essential part of my life, the place where I have spent many unforgettable moments. For me, reading is one of the most enjoyable ways to pass a rainy afternoon or a leisurely summer day. I crave the knowledge and insights that truly great books bring into my life and can spend transported hours scouring used book stores for volumes which "I simply must have". I love the smell and feel of well-loved books and the look of a bookcase full of books waiting to be taken down and read.
David Brin, Glory Season|But evil is always illusion. It insists on the lie that we can have something for ourselves. This is the sole principle at work in hell. Lucifer chose to believe it; or, since it is unimaginable that he actually could have believed it, then we may say that he chose to pretend it might be. Very well, says Truth, you may pretend this. But the pretense will be, literally, your undoing. It will unmake you. You will have opted for something that is not, namely, a lie. Hell is built of lies.
Amy Sandas, Luck Is No Lady|Perhaps... Perhaps he could make her happy. Not with the Granville money or his social cachet, but just by being the man he was, at his core. Sometimes, when he looked deep into those blue eyes, it felt like anything was possible.
Silvina Faiella Miller|We act as a conduit for the observers’ unexpressed desires, the silent appreciation they may contain for anything; a lover, a river, a building even
Ashleigh Z., Louisiana Sky|It follows that a tender heart that reaches for love and understanding is often the easiest to break. Hearts that are open and trusting are usually the ones that are wounded the most. This world is filed with men and woman who have rejected the love offered to them from a heart that is gentle and tender. Those strong, hard-shelled hearts that trust no one, hearts that give so little, hearts that demand love be constantly proved, hearts that are always calculating hearts that are always manipulating and self-serving, hearts that are afraid to risk are the ones that seldom get broken. They don't get wounded, because there is nothing to wound. They are too proud and self-centered to allow anyone else to make them suffer in any way. They go about breaking other hearts and trampling on the fragile souls who touch their lives, simply because they are so thick and dull at heart themselves, and they think everyone should be just as they are.
Alan Hollinghurst|Yes, I am an author. I have written some beautiful love stories and witnessed some ugly relationships.
Immanuel Kant, Fundamental Principles of the Metaphysic of Morals|Since in early youth it cannot be known what ends are likely to occur to us in the course of life, parents seek to have their children taught a great many things, and provide for their skill in the use of means for all sorts of arbitrary ends, of none of which can they determine whether it may not perhaps hereafter be an object to determine their pupil, but which it is at all events possible that he might aim at; and this anxiety is so great that they commonly neglect to form and correct their judgement on the value of the things which may be chosen as ends.
J.D. Stroube, Caged in Spirit|In that smooth fortress of glass, I caught a glimpse of my corruption gripping steel, which before I had thought of as my salvation, but now represented my obliteration.
Jean-Paul Sartre, Existentialism and Human Emotions|For I do not exist: there exist but the thousands of mirrors that reflect me. With every acquaintance I make, the population of phantoms resembling me increases. Somewhere they live, somewhere they multiply. I alone do not exist.
Cassandra Clare, Clockwork Prince|So you’re suggesting we take the train up to York, meet a ninety-year-old man, leap on him, and yank out his hair? I’m sure the Clave will beecstatic.”“They’ll just say you’re mad,” said Jessamine. “They already think it, so what’s the difference, really?
Stefan Bachmann, A Drop of Night|The Gay' is not infectious, the world is not coming to an end, and people are happy. Gosh, how about that.
Rinsai Rossetti|Pale sky, white land; like somewhere past the end of the world
Meghan Daum|The search for happiness has long been a dominant feature of American life. It's a byproduct of prosperity, not to mention the most famous line in the Declaration of Independence.
Richard Stallman|I want people to come to me open and vulnerable. When they come to the gallery, they have to leave their watches, their computers, their Blackberrys, iPads, iPhones, because we are so incredibly used to technology, and I wanted to remove that.
Dana Glossbrenner, Women Behind Stained Glass|In the end, notwithstanding a surreal detour in the 1970s, Patricia led the life she for which she was destined back in Hillsborough. The story of Patricia Hearst, as extraordinary as it once was, had a familiar, even predictable ending. She did not turn into a revolutionary. She turned into her mother.
Cardwell C. Nuckols|Nurturing words show that you believe in the other party's capacity to learn, change and grow. One's mind is like a computer. Every message you send goes into one of two files: discounting or nurturing. The file with the most data will direct how one sees and feels about himself or herself. Messages that nurture are based on unconditional love which must be worked at, especially if you come from a discounting family. You will need to rely on Jesus to fill the void in your life with His presence and help you learn how to love unconditionall like He loves us.
Vinita Kinra|I love it as it is, because it is a story, and it isn't stuck in one place.
Dashama Konah Gordon, Journey to Joyful: Transform Your Life with Pranashama Yoga|In every moment we are faced with choices that will serve our highest intentions, or gratify our unconscious desires.
Denise Riley, War in the Nursery: Theories of the Child and Mother|The best tactic against evil isn't confront with him, otherwise is to get away from him
C.S. Lewis, Letters to Children|Have you ever loved someone so intensely, so entirely ,that it's painful to be apart from them? I'm not talking about being in a long-distance relationship or even a particularly painful case of unrequited love. I'm talking about being in a completely different world from the other person, a world where you can see them and hear them but you can't touch them and they can't see or hear you.
Azar Nafisi, Reading Lolita in Tehran|But I realized that not only did I need to keep tuning my skills as a doctor, I also had to figure out a way to live with the uncertainty of medicine and its attendant anxiety.
Terry Pratchett|Anyone with half a mind could see that," said Tiffany.Miss Tick sighed. "Yes. But sometimes it's so hard to find half a mind when you need one.
Pansy Schneider-Horst|This is the hardest stuff in the world to photograph. You need a three-hundred-and-sixty-degree lens, or something. You see it, and then you look down in the ground glass and it's just nothing. As soon as you put a border on it, it's gone.
shaikh mustafa|All POOR wish to become RICH,BUT all RICH wish the POOR remain POOR.
Vishwas Mudagal, Losing My Religion|If you follow your passion, the world will follow yours…
John W. Campbell Jr.|Write me a creature that thinks as well as a man or better than a man, but not like a man.
James Wood|Narrative secrets are not the same as human mysteries, a lesson that novelists seem fates to forget, again and again; the former quickly confess themselves, and fall silent, while the true mysteries go on speaking.
Christy  Hall, The Little Silkworm|This is the strange life of books that you enter along as a writer, mapping an unknown territory that arises as you travel. If you succeed in the voyage, others enter after, one at a time, also alone, but in communion with your imagination, traversing your route. Books are solitudes where we meet.
Christina Engela, Loderunner|Timaset didn’t need a ship – especially not a flying museum piece! And as far as he knew, a dodgy plasma injector could drop you smack into a wormhole ending somewhere on the other side of the universe with no way back. Well, he could always sell the damn thing. Couldn’t he? He could use the money. Damn, he could always use the money! Maybe the crew would want to buy it over from him?
Billy Graham, Billy Graham in Quotes|Gratitude is one of the greatest Christian virtues; ingratitude, one of the most vicious sins.
David Benioff, City of Thieves|The front door is usually unlocked and there is no alarm system. They don't wear their seat belts in the car; they don't wear suntan lotion in the sun. They have decided nothing can kill them but God himself, and they don't even believe in him.
Rachael Ray|McDonald's revolutionized fast food. They introduced a way to eat food without knives, forks or plates. Most fast foods can be eaten while steering the wheel of a car and the restaurants are usually drive through.
Marcel Proust|A book is no mere book anymore than man can be mere man. A book was like an individual man, unmatched and with no cause of existence beyond himself.
Ha-Joon Chang|While Texas women have the right to safe, legal abortion, in reality there are already very few facilities in Texas to provide this essential care. In 2008, 92 percent of Texas counties had no abortion provider.
Eric Bishop-Potter, Jimmy, Mrs Fisher and Me|I catch sight of Janice. Her eyes are so full of excitement that I half expect her to jump up and down. This is something she'll never forget, I tell myself. As an old lady with all the spirit knocked out of her and nobody believe in she'll remember a happy day in July when a horny young guy strutted his stuff and made her heart beat fast.
Lewis Thomas|Statistically, the probability of any one of us being here is so small that the mere fact of our existence should keep us all in a state of contented dazzlement.
Colleen Houck, Tiger's Destiny|I'm not some possession." I pushed at his chest once more. "No, you're not." His mouth returned to mine. "You are my wife." I continued to struggle with the mass of him. He pulled his head back. "You're the only woman I've loved since I lost my mother and sister." His eyes intent on mine. Torn by my anger and his admission, I stopped protesting. His mouth moved against my neck and his body pressed into mine. "I have loved you for so long.
Nancy B. Brewer, Lizzie After the War|Soeur Seraphina gently removed my lace fontanges. It was named for the King’s mistress Angelique de Fontanges, who had lost her hat while hunting one day and had hastily tied up her curls with her garter. The King had admired the effect, and the next day all the court ladies had appeared with their curls tied back with lace
Carlos Ruiz Zafón, The Shadow of the Wind|The biggest opportunity one can get in life, it is a chance to make friends!
Rabindranath Tagore, Collected Poems and Plays of Rabindranath Tagore|Let me not pray to be sheltered from dangers,but to be fearless in facing them. Let me not beg for the stilling of my pain, butfor the heart to conquer it.
Jean Piaget|When I got hired to do 'Guardians,' it was the dream of a lifetime for me. This is what I've been working towards. I've always wanted to create a space adventure, and especially a space adventure with a raccoon. Now that I'm finally able to do it, I created exactly the movie I wanted to make.
Gloria E. Anzaldúa|Though we tremble before uncertain futuresmay we meet illness, death and adversity with strengthmay we dance in the face of our fears.
Renee Ahdieh, Flame in the Mist|You are first and foremost a person. A reckless, foolish person, but a person nonetheless. If I ever say you are not permitted to do something, rest assured that the last reason I would ever say so would be because you are a girl.
Frances Hardinge|Zeal was like gas, most dangerous when you could not see it. The wrong spark could light it at any time.
Emma Watson|If you're lucky enough to experience love, what you find is that it can sustain you through the most difficult times.
A.J. Compton, The Counting-Downers|The captain was amusing. He said that he himself couldn't draw and proved his words by drawing his own house for his prisoner to see. It was just such a house as the babies drew in the kindergarten: a square box with four square windows, a door and two chimneys, each with a neat curl of smoke. "That's best I can do," said the Captain, laughing.Max laughed with him for politeness' sake, though inwardly he was shocked that an important man like the Captain made a fool of himself. "Vater does not draw," he said kindly, "nor does Mutti; but they are both very keen on photography. Perhaps you are good at that?""Not brilliant," said the Captain.
Zhuangzi, The Complete Works of Chuang Tzu|We are only different because there exists something to be different from, and it is this difference that bonds us.
Ron Baratono|Whatever made me the way I am left me hollow, empty inside, unable to feel. It doesn't seem like a big deal.
Stephen Colbert, I Am America|Here's an easy way to figure out if you're in a cult: If you're wondering whether you're in a cult, the answer is yes.
Isabella Bird|I was brought up Catholic and know the stench of the Catholic Church. I moved away from religion early, but the impression remains.
Visar Zhiti, The Condemned Apple: Selected Poetry|SOWING LIGHTNINGSeizeBolts of lightning from the skyAnd plant them in fields of life.They will grow like tender sprouts of fire.Charge somber thoughtsWith unexpected flash,You, my lightning in the soil!
Finn Aaserud, Love, Literature, and the Quantum Atom: Niels Bohr's 1913 Trilogy Revisited|For the first time (but how long will it take us to acknowledge this?) in the history of ideas, a philosopher had dedicated a whole book to the question of atheism. He professed it, demonstrated it, arguing and quoting, sharing his reading and his reflections, and seeking confirmation from his own observations of the everyday world. His title sets it out clearly: Memoir of the Thoughts and Feelings of Jean Meslier; and so does his subtitle: Clear and Evident Demonstrations of the Vanity and Falsity of All the Religions of the World. The book appeared in 1729, after his death. Meslier had spent the greater part of his life working on it. The history of true atheism had begun.
Liimu McGill, The MomStar Manifesto|I believe there are no wrong decisions, just different consequences.
